"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eh_Proportion" "Transition_he_Proportion" "Transition_eg_Proportion" "Transition_go_Proportion" "Transition_eo_Proportion" "Transition_ec_Proportion" "Transition_oe_Proportion" "Transition_jh_Proportion" "Transition_ih_Proportion" "Transition_jo_Proportion" "Transition_hg_Proportion" "Transition_gc_Proportion" "Transition_hi_Proportion" "Transition_jj_Proportion" "Transition_ej_Proportion" "Transition_io_Proportion" "Transition_ic_Proportion" "Transition_ij_Proportion" "Transition_ch_Proportion" "Transition_ie_Proportion" "Transition_ee_Proportion" "Transition_ji_Proportion" "Transition_ig_Proportion" "Transition_hh_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_oi_Proportion" "Transition_cg_Proportion" "Transition_se_Proportion" "Transition_oc_Proportion" "Transition_ge_Proportion" "Transition_gh_Proportion" "Transition_gj_Proportion" "Transition_oo_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_co_Proportion" "Transition_cc_Proportion" "Transition_gg_Proportion" "Transition_ce_Proportion" "Transition_ii_Proportion" "Transition_og_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ehe_Proportion" "Transition_seh_Proportion" "Transition_oes_Proportion" "Transition_jis_Proportion" "Transition_eis_Proportion" "Transition_eee_Proportion" "Transition_egs_Proportion" "Transition_igg_Proportion" "Transition_ese_Proportion" "Transition_ooo_Proportion" "Transition_jos_Proportion" "Transition_ics_Proportion" "Transition_ogg_Proportion" "Transition_cos_Proportion" "Transition_hsg_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_gig_Proportion" "Transition_ghs_Proportion" "Transition_igi_Proportion" "Transition_hgs_Proportion" "Transition_iig_Proportion" "Transition_sih_Proportion" "Transition_csi_Proportion" "Transition_ihs_Proportion" "Transition_sig_Proportion" "Transition_ggi_Proportion" "Transition_sgi_Proportion" "Transition_jjs_Proportion" "Transition_igs_Proportion" "Transition_iei_Proportion" "Transition_gie_Proportion" "Transition_ges_Proportion" "Transition_ish_Proportion" "Transition_gii_Proportion" "Transition_isi_Proportion" "Transition_isg_Proportion" "Transition_csc_Proportion" "Transition_osc_Proportion" "Transition_sso_Proportion" "Transition_ssc_Proportion" "Transition_cis_Proportion" "Transition_osg_Proportion" "Transition_soo_Proportion" "Transition_hso_Proportion" "Transition_sse_Proportion" "Transition_chs_Proportion" "Transition_cso_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_gse_Proportion" "Transition_esg_Proportion" "Transition_gsi_Proportion" "Transition_cgi_Proportion" "Transition_ocs_Proportion" "Transition_scc_Proportion" "Transition_ggg_Proportion" "Transition_ses_Proportion" "Transition_sos_Proportion" "Transition_gis_Proportion" "Transition_scs_Proportion" "Transition_sis_Proportion" "Transition_iis_Proportion" "Transition_jcs_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_ccs_Proportion" "Transition_jgs_Proportion" "Transition_sgg_Proportion" "Transition_osi_Proportion" "Transition_oso_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_iii_Proportion" "Transition_sii_Proportion" "Transition_ogj_Proportion" "Transition_isj_Proportion" "Transition_ssg_Proportion" "Transition_ces_Proportion" "Transition_ssi_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 385.5 317.25 36.75 26.3333333333333 3.58333333333333 0.833333333333333 0.75 0.360723434594782 0.0455436960579914 0.0815799781860123 0.0207907866914863 0.0113471525721252 0.253297476121186 0.0451247242820006 0.181592751494417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00045045045045045 0.00045045045045045 0.00045045045045045 0.00045045045045045 0.000527426160337553 0.000527426160337553 0.000578703703703704 0.000636132315521628 0.000672043010752688 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.00105485232067511 0.00111711711711712 0.00114155251141553 0.00114947995941147 0.00114947995941147 0.00119946917109024 0.00141242937853107 0.00172271508149371 0.00245450191570881 0.00262787673772482 0.00545536084370432 0.00679894841608993 0.00733797007809535 0.0117410830905716 0.0233075434350838 0.0358530801787994 0.0524541712197368 0.139689618886268 0.168864549431372 0.525132713092256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00136612021857923 0.00141242937853107 0.00141242937853107 0.00173611111111111 0.00173611111111111 0.00181159420289855 0.00181159420289855 0.00193798449612403 0.00193798449612403 0.00225225225225225 0.00225225225225225 0.00314854048964218 0.00333333333333333 0.00367409560723514 0.00627994575116813 0.00804986742656767 0.0183316579204277 0.0304024874513454 0.0425491654789859 0.109069246657197 0.13275108576826 0.184134345607453 0.434932894819736
2 359.833333333333 281.333333333333 37.4166666666667 31.5833333333333 4 3.91666666666667 1.58333333333333 0.342854353742934 0.0714391204374577 0.0597092293572222 0.0160892422938749 0.00984971528008609 0.235625237863086 0.043476116106795 0.220956984918545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000304136253041363 0.00030750307503075 0.00030750307503075 0.000470809792843691 0.000470809792843691 0.000608272506082725 0.000608272506082725 0.000631313131313131 0.0018655125770223 0.000304136253041363 0.000304136253041363 0.00109056653113725 0.0011326044937468 0.000786430278095884 0.00159668064261172 0.000922509225092251 0.00123958563739586 0 0.000304136253041363 0.000470809792843691 0.000825101418716051 0.00343140707365299 0.00363090340144823 0.000983147691916213 0 0.00249487849944688 0.000778312867874441 0.00153751537515375 0.00490880215310592 0.00030750307503075 0.00705173851384142 0.000478927203065134 0.000662113004108764 0.00746202852729074 0.00591873160552431 0.0118050438573405 0.015124730703951 0.0173889915879917 0.0276022620338933 0.0494891701849084 0.134472566848344 0.130187702065785 0.476399360904939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00115740740740741 0.00115740740740741 0.00122549019607843 0.00122549019607843 0.00125621047877145 0.00126262626262626 0.0013550135501355 0.0013550135501355 0.00205057270432926 0.00235161632220456 0.00238233660489758 0.00296160130718954 0.00307734204793028 0.0046971514197124 0.00695934176751008 0 0 0.000578703703703704 0 0.00122549019607843 0.00262927640803296 0 0.00112612612612613 0.00205057270432926 0.003879033736707 0.000578703703703704 0.00112612612612613 0 0 0.00218009605838633 0 0.00408716643472741 0.00717418032453652 0.00672285862661518 0.0261541871280656 0.0351950638259892 0.0252959769048434 0.0699366220486616 0.103543344114453 0.117670298307701 0.457291621758502
3 401.25 310.166666666667 43.0833333333333 35 6.91666666666667 4.08333333333333 2 0.342263955091904 0.042890569535452 0.0623416064798994 0.0322855873132534 0.0235293210322537 0.306448754060903 0.0311829254607352 0.159057281025599 0 0 0 0 0 0 0 0 0.000484496124031008 0.000484496124031008 0.000502008032128514 0.000735500140095265 0.00118477623607583 0.00120772946859903 0 0 0 0 0.000439753737906772 0 0 0.000484496124031008 0.00629444170230238 0 0.00120772946859903 0.00302438314241373 0 0.00120772946859903 0.00163074131293068 0 0 0.000704372992984394 0 0 0 0.00524144576992858 0.00133706123296746 0 0 0.000936430233248556 0.000251004016064257 0 0.017757700589651 0 0.00266652291998974 0.000484496124031008 0.00514732086545899 0.00850383419720502 0.0101376839707174 0.0252190165763632 0.0109835847337894 0.0425923651654401 0.0167224828637943 0.0303183777779691 0.104825186192224 0.212099569603322 0.485183263093108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000511247443762781 0.000905797101449275 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00146198830409357 0.00236778540554284 0.00378787878787879 0.00378787878787879 0.0102931488801054 0 0 0 0 0.000905797101449275 0.0019148868548182 0.014405833699312 0 0 0 0 0 0.000825082508250825 0 0 0 0.000452898550724638 0.000511247443762781 0 0 0 0 0.00597165694830353 0 0 0 0.0130454911433172 0 0.00242613429858099 0.00450762384774046 0.000896057347670251 0.00571617077685363 0.00260247674670128 0 0 0 0 0 0.0175523629296135 0.000511247443762781 0 0.00660968337431236 0.00572315329336829 0.000905797101449275 0.00127798105897546 0 0 0.00975666284431666 0 0.000452898550724638 0.0154480566365986 0.00561127811250802 0.0248601152687437 0.0859639581732494 0.0161316864306527 0.0430657754410363 0.0940094241713365 0.181375082342019 0.408357715913381
4 267 200.833333333333 29.4166666666667 29 4.5 2.5 0.75 0.402808611376885 0.0219374956544013 0.0744439866248705 0.0325821034640936 0.0266801035028238 0.273876317229053 0.0246399562321891 0.143031425915684 0 0 0 0 0 0 0 0.0105611520082655 0 0 0.000367107195301028 0.00031210986267166 0 0.000957854406130268 0 0 0 0 0.000292397660818713 0 0 0.00191570881226054 0.000679217057972688 0 0 0.00134034628221323 0 0.00031210986267166 0.000734214390602056 0 0 0 0 0 0.000957854406130268 0.000584795321637427 0.00132275132275132 0.00427350427350427 0.00126996426880193 0 0.000292397660818713 0 0.0024087223505893 0 0.00172788092449581 0.000367107195301028 0.00228444037568237 0.0127978132778772 0.00264176103499081 0.0115791498079127 0.00414607323815264 0.017015207967231 0.0101062375379402 0.0395841866031102 0.0673775758454297 0.151400335658415 0.483723356723654 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0.000656167979002625 0.00101626016260163 0.00152422353455818 0.00277777777777778 0.00277777777777778 0 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0 0 0 0 0 0.000621890547263682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0 0.00235800165837479 0.000868055555555556 0 0.000621890547263682 0 0 0.00277777777777778 0.00214611408182186 0 0 0.00239227909011374 0 0 0.000621890547263682 0 0 0.00173611111111111 0 0.000621890547263682 0.00990050964784074 0.0240299850094958 0.0104342129425508 0.0355096217186472 0.00751428634387119 0.0698565476894365 0.0762021965186101 0.145279616099563 0.343906967573263
5 100.416666666667 77.0833333333333 8.5 12.6666666666667 0.833333333333333 1.08333333333333 0.25 0.437181950578409 0.0384266036111213 0.0767254244322097 0.0422095717745283 0.0381290153534953 0.179139843450095 0.0414077716957442 0.146779819104398 0 0 0 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0104166666666667 0 0 0 0 0 0 0.0038563829787234 0 0 0.00260416666666667 0 0.00126262626262626 0 0 0.00177304964539007 0 0 0 0.00122549019607843 0.00126262626262626 0 0 0 0 0.00208333333333333 0 0 0 0 0.0033459595959596 0.00501336898395722 0 0 0 0.00208333333333333 0.00925925925925926 0 0.00254824151882975 0.00925925925925926 0.00340608465608466 0.0147937849487341 0.00484867860187553 0.00867484455582383 0.033005404874729 0.0405903365301368 0.0126930800632983 0.0500218338332877 0.0592782684499286 0.134363482998917 0.571460871307084 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.0208333333333333 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0.00297619047619048 0 0 0 0 0.00297619047619048 0.0078781512605042 0.0153735632183908 0.0746276355103967 0.0384000020451657 0.0148809523809524 0.0557090026693071 0.0613834816952834 0.159855988957048 0.422250884152786
6 95.25 74.3333333333333 7.33333333333333 11.5833333333333 1.08333333333333 0.583333333333333 0.333333333333333 0.547171009589546 0.0386114096759082 0.108395966588974 0.0395260729893351 0.0247014702749066 0.119860473536197 0.0254488286868661 0.0962847686582666 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0.00231481481481481 0 0 0 0.000946969696969697 0 0.00122549019607843 0 0 0.00681818181818182 0 0 0.000946969696969697 0 0 0 0 0.00396825396825397 0.00198412698412698 0.00357744107744108 0.00662515964240102 0.00388776200135226 0 0.000946969696969697 0 0 0.00198412698412698 0 0 0 0 0.0122672806496336 0.00462962962962963 0.0121867277039691 0.0223605098605099 0.0271606970897032 0.0156883965707495 0.0374118734919952 0.0543219928317821 0.067250442875498 0.709512055734717 0 0 0 0 0 0 0 0 0.00177304964539007 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0.00177304964539007 0.00555555555555556 0 0 0 0 0 0 0 0.00297619047619048 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.0112715298885512 0.0472069597069597 0.0504002026342452 0.0130952380952381 0.0730693242927285 0.0424960382407191 0.0943444912061933 0.611209765411893
7 238.583333333333 182.833333333333 23.75 26.3333333333333 3.25 2.16666666666667 0.25 0.427800884303993 0.0330774780984387 0.0481884819462207 0.0327075919891572 0.0225565602132674 0.264865395629779 0.0244022405375373 0.146401367281607 0 0 0.00238095238095238 0 0 0 0 0 0.00238095238095238 0.00195868945868946 0 0 0 0 0 0 0 0.000496031746031746 0 0 0.00476190476190476 0 0.00287698412698413 0.000801282051282051 0.00238095238095238 0.0012973137973138 0 0 0.00476190476190476 0 0.00238095238095238 0.000303030303030303 0 0.00595238095238095 0.00395327942497754 0.00165343915343915 0.00119908765070055 0 0 0.00259339674662255 0 0 0.00875499271828786 0 0.00327700972862263 0 0.00238095238095238 0.0209798678975262 0.0041273747495484 0.00540222269495709 0.00619253333479219 0.0321943436229689 0.0117804892575016 0.019211142856152 0.079539940793631 0.168574412767129 0.595452182738859 0 0 0 0 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.00696798493408663 0.00555555555555556 0 0.00185185185185185 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0.000641025641025641 0 0 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0 0 0 0 0 0 0 0 0.00185185185185185 0.00141242937853107 0 0.00386340977068794 0.00245098039215686 0 0.00185185185185185 0.00185185185185185 0 0 0.00282485875706215 0 0 0.00141242937853107 0.00579839429081177 0 0 0 0 0.00282485875706215 0 0 0.00141242937853107 0.0121225953269297 0.0144682550762406 0.0558778427173243 0.0106200974346538 0.0320235410971822 0.0828760719032282 0.179446061072642 0.5386105821179
8 108.916666666667 83.5833333333333 8.91666666666667 13 1.25 1.75 0.416666666666667 0.567121226893833 0.026639362837001 0.0541112569004464 0.0341778662271981 0.00933206992424667 0.158238972699167 0.0241425533070817 0.126236691211026 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00258811443021969 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0.00132275132275132 0 0 0 0.00903774587985114 0.0134454187494293 0 0.00424672793093846 0.00465608465608466 0.0222209210095537 0.0173474720743964 0.0304228880734018 0.0736311757113366 0.120186899499682 0.697420256695854 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0.0036231884057971 0.0133798743721605 0.0111989459815547 0.0332685907282681 0.0256410256410256 0.0466849624195347 0.0625957765158326 0.0993598578451313 0.695465859526168
9 59 47 4.66666666666667 5.91666666666667 0.666666666666667 0.583333333333333 0.166666666666667 0.520453121221055 0.0916749326358258 0.0686566927306117 0.0396437286304451 0.0277061612895859 0.137895397092747 0.0175573231777001 0.0964126432220296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00938644688644689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0187728937728938 0.00416666666666667 0 0 0 0.00189393939393939 0 0 0 0 0.0101942039442039 0 0.00718494468494469 0.011276455026455 0.101298701298701 0.0109355044699872 0.0392582433530709 0.0698594110232041 0.0939264040557144 0.538512852090438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0.0231481481481482 0.0458333333333333 0.014021164021164 0.0981481481481482 0.0214285714285714 0.156349206349206 0.444312169312169
10 56.0833333333333 44.1666666666667 4.5 6.08333333333333 0.583333333333333 0.416666666666667 0.333333333333333 0.656162913049603 0.0299129989107454 0.0381625384544792 0.041064869563083 0.00430833633958634 0.141187142519905 0.0323372450222779 0.0568639561403197 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.0107808857808858 0.00641025641025641 0 0 0 0 0 0 0.00757575757575758 0 0.00606398809523809 0 0 0 0 0.0240293560606061 0 0 0 0 0.00961538461538462 0.00757575757575758 0.00849358974358974 0.017256268037518 0.0205245275557776 0.00238095238095238 0.00968051046176046 0.0720251103063603 0.157716849123099 0.634284725690976 0 0 0.00595238095238095 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0333333333333333 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.0552083333333333 0.0223135964912281 0 0.0190972222222222 0.0615993107769424 0.0649305555555555 0.613309314954052
