"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_ec_Proportion" "Transition_ch_Proportion" "Transition_ih_Proportion" "Transition_eo_Proportion" "Transition_oo_Proportion" "Transition_cc_Proportion" "Transition_ji_Proportion" "Transition_oe_Proportion" "Transition_oc_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_jg_Proportion" "Transition_ij_Proportion" "Transition_jc_Proportion" "Transition_go_Proportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_gg_Proportion" "Transition_ho_Proportion" "Transition_ic_Proportion" "Transition_ei_Proportion" "Transition_io_Proportion" "Transition_hi_Proportion" "Transition_ce_Proportion" "Transition_jh_Proportion" "Transition_ig_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_cg_Proportion" "Transition_se_Proportion" "Transition_gc_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_iii_Proportion" "Transition_ssj_Proportion" "Transition_isg_Proportion" "Transition_isi_Proportion" "Transition_eos_Proportion" "Transition_gsj_Proportion" "Transition_jgs_Proportion" "Transition_igs_Proportion" "Transition_jis_Proportion" "Transition_gcs_Proportion" "Transition_scc_Proportion" "Transition_ccc_Proportion" "Transition_oes_Proportion" "Transition_ogs_Proportion" "Transition_jsj_Proportion" "Transition_sjj_Proportion" "Transition_ggs_Proportion" "Transition_ssc_Proportion" "Transition_sgg_Proportion" "Transition_sos_Proportion" "Transition_shs_Proportion" "Transition_his_Proportion" "Transition_isc_Proportion" "Transition_shi_Proportion" "Transition_gis_Proportion" "Transition_csi_Proportion" "Transition_hos_Proportion" "Transition_csh_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_sig_Proportion" "Transition_jhs_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_scs_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 381.583333333333 312.416666666667 37.3333333333333 27.5 2.75 1.58333333333333 0 0.404295224560573 0.0454176574626861 0.0407542201720553 0.00982886446928611 0.00489010645219109 0.303473732221703 0.0264426343221341 0.164897560339371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000356125356125356 0.000356125356125356 0.000356125356125356 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000612745098039216 0.000694444444444444 0.000809061488673139 0.001027338796215 0.00122549019607843 0.0014767767061345 0.00246018813979979 0.00277777777777778 0.00798898306031756 0.0082440449278269 0.0135690124289952 0.0201262455300884 0.0245210691693748 0.0247200705011427 0.139366428588991 0.198907213162271 0.548656482167202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00185185185185185 0.00203252032520325 0.00231481481481481 0.00416666666666667 0.00952739999750228 0.0206382929472638 0.0260512220443781 0.0378311601850251 0.0493907034277743 0.148185445006538 0.208753033893228 0.482766858062288
2 284.583333333333 232.333333333333 25.4166666666667 24.0833333333333 1.58333333333333 1.08333333333333 0.0833333333333333 0.447641731713791 0.0620502858922411 0.0515292141819189 0.00564557392298515 0.00862467563095149 0.227782811156637 0.0321476771470386 0.164578030354436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000356125356125356 0.000356125356125356 0.000356125356125356 0.000356125356125356 0.000356125356125356 0 0 0 0 0 0.000555555555555556 0.000356125356125356 0 0.000672043010752688 0 0.00311262026032824 0.00437887469722676 0.000672043010752688 0.00299582646073874 0.00499892811390175 0.00552982221299053 0.00764104383189991 0.0338203256860385 0.0139775571231985 0.049499157822242 0.109414354893199 0.212768980468276 0.547826114716146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.00148809523809524 0.00171821305841924 0 0 0 0 0.00148809523809524 0.00416666666666667 0 0.000859106529209622 0 0.00260416666666667 0.0111511752136752 0.0106461944412975 0.0715351897052928 0.10438967354238 0.0995273060511462 0.163437992062348 0.437641046548907
3 365 294.333333333333 34.9166666666667 30.25 3.83333333333333 1.41666666666667 0.25 0.380022005496454 0.0456322371521341 0.0411729118335373 0.0165444371289583 0.00950329545875237 0.31881638417039 0.0240231811852009 0.164285547574573 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000360750360750361 0.000360750360750361 0.000360750360750361 0.000582750582750583 0.00193798449612403 0.00324223580037534 0 0 0 0 0 0 0 0.000476190476190476 0 0.00152203856749311 0 0 0 0.00133082583138077 0.000360750360750361 0.00322256175197352 0.00224949869162393 0.00342787999037999 0.000786163522012579 0.00878081426894899 0.00801231679388517 0.0218862374252028 0.00927148617366557 0.0182183760765295 0.0314714220349292 0.111206633831594 0.211127521522812 0.559804060719127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.0016025641025641 0.00189393939393939 0 0 0 0 0 0 0 0 0.0034965034965035 0 0 0 0.000801282051282051 0 0.00366075917546506 0 0.00483911513323278 0.000801282051282051 0.00674171653773172 0.0380794147871947 0.0315867924857488 0.0130943644344973 0.0493330681898044 0.133186877778908 0.210268865736133 0.499812172594431
4 275.5 216.416666666667 29.25 24.5833333333333 2.58333333333333 2.25 0.416666666666667 0.394707272705076 0.0467871568549001 0.0632912643743919 0.0163494590765764 0.0142396050606454 0.242531290171798 0.0375553767663323 0.184538574990279 0 0 0 0 0 0 0 0 0 0 0 0.000502008032128514 0.00571918832058596 0 0 0.000470809792843691 0 0 0.000952458482578965 0 0 0 0 0 0 0 0.00103964244073066 0 0.00189393939393939 0 0 0 0.00101626016260163 0 0.00255962120085279 0.00220417373989573 0.0014436276178159 0.000502008032128514 0.00655735912652945 0.00472728466511508 0.0125392885510416 0.0294754377271178 0.0141903897358288 0.0392585054274363 0.126842732736891 0.16686809742427 0.581237167389669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00189393939393939 0.00109649122807018 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.00347744360902256 0 0 0 0 0 0.00476190476190476 0 0 0.00109649122807018 0.00559459728867624 0.0191690605983543 0.0152199830341381 0.0674759782447552 0.070472017229027 0.0969426412757463 0.172221154291946 0.534432555937509
5 104.833333333333 83 10.25 9.75 1.16666666666667 0.5 0.166666666666667 0.433529208169875 0.0677576387613942 0.068570696669238 0.0186815131637793 0.00975644211755323 0.154285987060809 0.0821943613142008 0.16522415274315 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00277777777777778 0 0.00252525252525253 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0.000925925925925926 0.00173611111111111 0.00277777777777778 0 0.0277777777777778 0.0053030303030303 0.039880735061458 0.0537348347212805 0.0233839216896446 0.0274034268386678 0.155226932260065 0.11656966973232 0.534673796194881 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.00595238095238095 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0.00277777777777778 0.00277777777777778 0 0 0.0043859649122807 0 0 0.101904121863799 0.0427330345093503 0.102882373945617 0.0523905529953917 0.183842865538536 0.133341210760566 0.355504002458587
6 145.666666666667 116.5 13 13.9166666666667 1.33333333333333 0.833333333333333 0.0833333333333333 0.516756475257647 0.0428381830988836 0.0421495542240651 0.0352285377658168 0.0218964009872579 0.173518586173364 0.0217806862666188 0.145831576226347 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000496031746031746 0 0 0 0 0.0282738095238095 0.00201118326118326 0.000496031746031746 0 0.000496031746031746 0.00424153704034805 0.00918711913957988 0.0372487525202876 0.0120962040173555 0.0353783320061403 0.101071059924253 0.0900255323832744 0.651200597167896 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0.00151515151515152 0.00151515151515152 0 0 0.00308641975308642 0 0 0.00855654761904762 0.0201306216931217 0.0803005250921918 0.0640201619368286 0.105247164101331 0.0997905208050135 0.445051751120592
7 320.5 260.333333333333 30.0833333333333 24.5833333333333 3.75 1.16666666666667 0.583333333333333 0.37549613899623 0.0536292389525842 0.0473183189760907 0.0221697054810118 0.0111425635360757 0.285271792094996 0.0274410056380275 0.177531236324984 0 0 0 0 0 0 0.00129198966408269 0.00244282186191345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0 0.00374779541446208 0 0 0 0 0.000672043010752688 0.00487059637146708 0.00710599556327714 0.00461424880029531 0.000599520383693046 0.00865328447849321 0.0157405059168598 0.0185496029888779 0.0187546978457214 0.0149949366369364 0.0339981648007298 0.123025680386292 0.188265324924067 0.552214915494204 0 0 0 0 0 0 0 0.00100401606425703 0.00146198830409357 0.00170068027210884 0.00203252032520325 0.00203252032520325 0 0 0 0 0 0.00203252032520325 0 0.00320512820512821 0.00146198830409357 0 0 0 0 0 0 0 0 0.00785906725365781 0 0 0 0 0 0.00203252032520325 0 0 0 0.00511894007828967 0.0376911110594427 0.0167702422828653 0.0325523651267399 0.0466457880922799 0.160883458468849 0.209279901074587 0.466235244112794
8 176.583333333333 139 18.4166666666667 17.0833333333333 1.16666666666667 0.833333333333333 0.0833333333333333 0.353949831738305 0.0451400909547231 0.0681102970855085 0.0163844955497824 0.0173909840869579 0.228853303278556 0.0542299302276146 0.215941067078552 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0 0.00701688823096869 0 0 0 0 0 0.00381773399014778 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0.000730994152046784 0.000757575757575758 0.00333516081871345 0 0.00888792712294764 0.00686238056006793 0.0146972035858378 0.0174636383509114 0.0242596395528845 0.0590507507918112 0.138712954981319 0.127568824501268 0.501879362957036 0 0 0 0 0 0.00260416666666667 0.00860323886639676 0 0 0 0 0 0 0 0 0.00260416666666667 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.0247867063492063 0.0167723997493734 0.0407811669324827 0.102571794068505 0.148852549991288 0.143797513868141 0.417058836523813
9 90.8333333333333 69.8333333333333 8.16666666666667 11.5 0.583333333333333 0.666666666666667 0.0833333333333333 0.52669389334064 0.0298161139920429 0.0639038532184642 0.00454124759598086 0.00563955055832713 0.169762541029383 0.0226888631337404 0.176953937131422 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0040650406504065 0.00333333333333333 0.00120772946859903 0 0.0197262479871176 0.00333333333333333 0.0081750631509144 0.0420193832357706 0.00631729290265876 0.10675004250524 0.104033098763568 0.118425141562033 0.580414500146364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.0218535818582752 0 0.0871360665478313 0.0600840336134454 0.0567662590503642 0.133600396960848 0.552324367851589
10 127.583333333333 100.5 11 14.1666666666667 0.75 1.08333333333333 0.0833333333333333 0.574813457178236 0.035693322235382 0.0435572543589694 0.0259684160995423 0.00550129330768498 0.134009851022206 0.0252309109299541 0.155225494868025 0 0 0 0 0.00120772946859903 0.00268817204301075 0 0 0 0 0 0 0.0178921568627451 0 0.000957854406130268 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0.00120772946859903 0 0 0 0 0 0 0.00461656426688617 0 0.00320725054139597 0.0028958389022543 0.0368617771633023 0.0290060154490955 0.0298781897173689 0.0344912331059398 0.093917226048959 0.0900650288248549 0.64989950426226 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.0186055416318574 0.0260157970684286 0.0750598086124402 0.0651151236677553 0.0934732664995823 0.0890029682792841 0.624700798713957
