"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_ei_Proportion" "Transition_go_Proportion" "Transition_ih_Proportion" "Transition_ce_Proportion" "Transition_oo_Proportion" "Transition_eg_Proportion" "Transition_oh_Proportion" "Transition_ge_Proportion" "Transition_ic_Proportion" "Transition_jh_Proportion" "Transition_oj_Proportion" "Transition_je_Proportion" "Transition_jo_Proportion" "Transition_hi_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_ie_Proportion" "Transition_ji_Proportion" "Transition_gh_Proportion" "Transition_ij_Proportion" "Transition_co_Proportion" "Transition_se_Proportion" "Transition_oi_Proportion" "Transition_sj_Proportion" "Transition_jc_Proportion" "Transition_hc_Proportion" "Transition_jj_Proportion" "Transition_oc_Proportion" "Transition_io_Proportion" "Transition_jg_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_so_Proportion" "Transition_gg_Proportion" "Transition_og_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hcs_Proportion" "Transition_eis_Proportion" "Transition_isj_Proportion" "Transition_sjg_Proportion" "Transition_osg_Proportion" "Transition_jgs_Proportion" "Transition_sjs_Proportion" "Transition_ics_Proportion" "Transition_soo_Proportion" "Transition_iso_Proportion" "Transition_gig_Proportion" "Transition_gii_Proportion" "Transition_igi_Proportion" "Transition_igg_Proportion" "Transition_sie_Proportion" "Transition_hsg_Proportion" "Transition_osh_Proportion" "Transition_cis_Proportion" "Transition_ses_Proportion" "Transition_ogs_Proportion" "Transition_jso_Proportion" "Transition_ssc_Proportion" "Transition_csi_Proportion" "Transition_jis_Proportion" "Transition_scg_Proportion" "Transition_jsc_Proportion" "Transition_hcg_Proportion" "Transition_cgs_Proportion" "Transition_ghs_Proportion" "Transition_sig_Proportion" "Transition_jos_Proportion" "Transition_sjj_Proportion" "Transition_csg_Proportion" "Transition_sso_Proportion" "Transition_igs_Proportion" "Transition_hgs_Proportion" "Transition_osi_Proportion" "Transition_sos_Proportion" "Transition_gsi_Proportion" "Transition_ssg_Proportion" "Transition_iis_Proportion" "Transition_isi_Proportion" "Transition_iii_Proportion" "Transition_ijs_Proportion" "Transition_jcs_Proportion" "Transition_jsi_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_ggg_Proportion" "Transition_scs_Proportion" "Transition_ios_Proportion" "Transition_ocs_Proportion" "Transition_sgs_Proportion" "Transition_isg_Proportion" "Transition_ess_Proportion" "Transition_shs_Proportion" "Transition_ssh_Proportion" "Transition_sis_Proportion" "Transition_gis_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 324.25 267 26.4166666666667 26.8333333333333 2.16666666666667 1.33333333333333 0.5 0.330748576327388 0.0402054308536566 0.119203857522166 0.0282081576230112 0.0128729656053897 0.210478675564704 0.0562617146966297 0.202020621807056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000425170068027211 0.0006265664160401 0.0006265664160401 0.0006265664160401 0.000764525993883792 0.00152905198776758 0.00201765882596399 0.00215561840380768 0.00228707227079479 0.00260145600530672 0.00315181894129263 0.00419191919191919 0.0110584999960077 0.0114197100102563 0.0143384669085282 0.01550930629878 0.034034289602314 0.0372775393368395 0.0783624191623365 0.12468660750677 0.141913697681512 0.510395472559773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00151515151515152 0.00185185185185185 0.00193798449612403 0.00193798449612403 0.00216596343178622 0.00296296296296296 0.00416666666666667 0.0043859649122807 0.0043859649122807 0.00450798833195065 0.00564168819982774 0.0289401899974674 0.0476589800937135 0.0886746549986173 0.103096293127622 0.127197882447627 0.174434819228005 0.392314786107718
2 317.833333333333 251.833333333333 24.75 35.25 2.91666666666667 2.75 0.333333333333333 0.354427477473025 0.0410178901336128 0.104018921327363 0.024279693920146 0.014250492873932 0.189206205601969 0.0549328527097658 0.217866465960187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0002210433244916 0.000443262411347518 0.000443262411347518 0.000443262411347518 0.000505050505050505 0.000534188034188034 0.000534188034188034 0.000578703703703704 0.000984638484638485 0.00148250095058606 0.00198412698412698 0 0 0 0 0.00299911980946464 0.000955500955500956 0.000948312916398023 0.00200660459968971 0 0.00500795997861295 0 0.00148250095058606 0.00803063681594496 0.00651483766395725 0.0311599810813139 0.00488445186191088 0.0258298126045937 0.0124893868428351 0.0525589234076419 0.16481179938499 0.145590731818864 0.52657521205268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00045045045045045 0.00045045045045045 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00136612021857923 0.00136612021857923 0.0016025641025641 0.00164092664092664 0.00312018367573923 0.004704132560423 0.00333801234184376 0.00378846279229421 0.00045045045045045 0 0 0 0.00324349074349074 0.00045045045045045 0.012678046461061 0 0.00119047619047619 0.00776492974238876 0 0.0759612835430545 0.0394380211524235 0.0160283261603845 0.132586658339791 0.178708754072268 0.0972799860399179 0.409305283448907
3 486.416666666667 392.916666666667 46.9166666666667 38.3333333333333 4.58333333333333 2.83333333333333 0.833333333333333 0.3330085983441 0.0363625395335865 0.0638241966574348 0.0247275858154007 0.0139629423256237 0.292204289641144 0.036333395859321 0.199576451823389 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000452898550724638 0.000465549348230912 0.000574712643678161 0.00107185990338164 0.00162487115817091 0 0 0 0.000455373406193078 0 0 0.000809061488673139 0 0.00253019811715118 0.000465549348230912 0.000325520833333333 0.00108225108225108 0 0 0.000541125541125541 0.00267626726141646 0.0049654881260312 0.000651041666666667 0.00340028416661407 0.0032233112717874 0.00646193152417161 0.000325520833333333 0.000574712643678161 0.0122081793372801 0.0108553426446612 0.0133414366601761 0.00748396141206348 0.021470193634458 0.0299162225229538 0.0494664513000331 0.130724938708734 0.192953714284644 0.498902030580152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.00104166666666667 0.00104166666666667 0.00114155251141553 0.00136612021857923 0.00138888888888889 0.00238095238095238 0.00250767272999476 0.00275091112980095 0.00378787878787879 0.00378787878787879 0.00161812297734628 0.00225225225225225 0 0 0 0 0 0.00104166666666667 0 0.00459694027655193 0.00711454105320697 0.00367199391171994 0.00309216651150419 0 0.00104166666666667 0 0 0.00581098339719029 0.000809061488673139 0.00783866057838661 0 0 0.00679489065411396 0 0.0311720843927159 0.0172183142037356 0.0314946569241685 0.148789044496835 0.201603919568212 0.0715523491500083 0.429673373083977
4 275.583333333333 221.666666666667 23.5 26.3333333333333 1.66666666666667 2.08333333333333 0.333333333333333 0.331177510354707 0.0410787679296543 0.11671328171963 0.0406780269743634 0.016889114404031 0.202544296386046 0.0541592582264403 0.196759744005128 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000771604938271605 0.000980392156862745 0.00115740740740741 0.00111111111111111 0 0 0.00119047619047619 0.000706214689265537 0 0 0.00188271604938272 0 0 0.00128205128205128 0 0.000505050505050505 0.00147781962753714 0.00388718404670548 0 0 0 0.000968992248062015 0.00119047619047619 0.000797448165869219 0.00213932126926823 0.000398724082934609 0.00591242822881241 0.0027560940351638 0.00156905310414082 0 0.00243945868945869 0.00411483821571541 0.00446109366344276 0.0141236110512711 0.00723879987422693 0.03746922878221 0.0395811238779585 0.108090705753084 0.120253566657489 0.133332937840223 0.497705019761021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00177304964539007 0.00193798449612403 0.0028735632183908 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0.000859106529209622 0 0 0.000859106529209622 0 0.00114155251141553 0 0.000859106529209622 0.000859106529209622 0 0 0.000859106529209622 0.000859106529209622 0.00929322572756175 0 0 0.00447488584474886 0 0.00897721238608249 0 0 0.00114155251141553 0 0.0246160825855436 0.0446696786734455 0.0519970761261971 0.144471558194124 0.188984626397758 0.206997049252858 0.296849650389907
5 53 44.25 4.25 4.16666666666667 0 0.333333333333333 0 0.477291175698168 0.0314589304683975 0.108117624873628 0.0214274786131927 0.0157834716104901 0.123011939973473 0.0396742734081941 0.183235105354457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0.00555555555555556 0 0 0 0.00694444444444444 0.0132902298850575 0 0 0 0 0 0.0465209359605911 0 0.0459944270289098 0.0180555555555556 0.0713259441707717 0.1688996561123 0.108380016641511 0.425952774875189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.144070512820513 0.047008547008547 0.0375 0.173584401709402 0.136965811965812 0.106410256410256 0.233627136752137
6 101.916666666667 81.8333333333333 6.75 11.3333333333333 0.75 0.666666666666667 0.583333333333333 0.451287067995992 0.0363064092213205 0.0971890437702594 0.0497242489324943 0.0200428446749709 0.120737956991903 0.0612595502832899 0.16345287812977 0 0 0 0 0 0 0 0 0.000457875457875458 0 0 0 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0 0.00462962962962963 0.00225225225225225 0 0.00271012771012771 0.00151515151515152 0 0 0 0 0 0 0 0.0119047619047619 0.000915750915750916 0 0 0.00316800316800317 0 0.00137362637362637 0.00490196078431373 0 0.00212454212454212 0.018800875050875 0.0262798421621951 0.0204464163287693 0.00754578754578755 0.0652129064077594 0.0613094980190569 0.103473333785834 0.108740909880616 0.549206445952769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0104166666666667 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.0176245210727969 0 0 0.000957854406130268 0 0 0 0.000957854406130268 0.000957854406130268 0 0.000957854406130268 0.00191570881226054 0.000957854406130268 0.000957854406130268 0 0 0.0215686274509804 0 0.0454980842911877 0 0 0 0 0.0559246112237999 0.0028735632183908 0.0435922357448727 0.0938427515126298 0.16774641996498 0.0836186309183267 0.443883926249545
7 427.916666666667 340.5 42 37.25 4.25 3.25 0.666666666666667 0.350366059270672 0.0405005337760788 0.0609093168389926 0.0383879261458471 0.0101457973469104 0.268140827767756 0.0382291676891712 0.193320371164572 0 0 0 0 0 0 0.000328083989501312 0.00108565974707707 0 0.000328083989501312 0.00043630017452007 0 0 0 0 0.00104033470175202 0.000328083989501312 0.000718390804597701 0 0.000328083989501312 0.00104904527255929 0.00102466977466977 0.000328083989501312 0 0 0 0.00178010419152151 0 0 0.000757575757575758 0 0 0.00043630017452007 0.00181964902709584 0.00250269197119591 0.00106837606837607 0.00269920472948618 0.0028570850340887 0.00711158672807508 0.000656167979002625 0.00104904527255929 0.0123004293662986 0.011698706262804 0.013593080423764 0.00489847337835574 0.0307519365789464 0.0450505905248641 0.0398407902189162 0.146927507671449 0.162769819990952 0.50243605822747 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000505050505050505 0.000505050505050505 0.000850340136054422 0.000850340136054422 0.00135539064110493 0.00170068027210884 0.00173611111111111 0 0 0 0 0 0.000957854406130268 0 0 0 0 0.000505050505050505 0.000505050505050505 0 0.00252525252525253 0.00170068027210884 0 0.00135539064110493 0.000850340136054422 0 0 0.000505050505050505 0.00185185185185185 0.000505050505050505 0.00303030303030303 0 0 0 0.00185185185185185 0.00163398692810458 0.00399088928500693 0.00202020202020202 0.00252525252525253 0.00696355562426991 0.000505050505050505 0 0 0 0.0087262181012181 0.00173611111111111 0.00486527944511138 0 0 0.0035525321239607 0.000505050505050505 0.0256447139913889 0.0377523225275688 0.0534267337132449 0.168792201400503 0.181220485431221 0.0660724820089859 0.405915192206304
8 189.833333333333 152.916666666667 16.25 17.9166666666667 1.41666666666667 1.08333333333333 0.25 0.39636081759414 0.0420682017928131 0.0869359487776477 0.0463125367514286 0.0259800566205713 0.160792128706994 0.0527662075281254 0.18878410222828 0 0 0 0 0.000718390804597701 0.00115740740740741 0 0 0 0.000718390804597701 0.00106837606837607 0 0 0 0 0 0 0.000718390804597701 0 0 0.00434524640513751 0 0 0 0.00106837606837607 0 0.00109649122807018 0 0 0 0 0 0.00132063882063882 0 0 0.00106837606837607 0.000757575757575758 0.00187579821200511 0.000718390804597701 0.000718390804597701 0.0014367816091954 0.0014367816091954 0.00416471196870471 0.0211230829651882 0.0195991747715886 0.0459539990166124 0.0470426062644756 0.0810685589043121 0.128645859975261 0.152413599884108 0.479764602972407 0 0 0 0 0 0 0 0.00177304964539007 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00524527186761229 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0.0028735632183908 0.00177304964539007 0.0036231884057971 0 0 0.00177304964539007 0.0028735632183908 0.0277344519491425 0.0442644676107176 0.08359105568566 0.146739457178425 0.179557471050296 0.179785804413993 0.30760008036303
9 37.8333333333333 31.75 2.33333333333333 2.91666666666667 0.25 0.416666666666667 0.166666666666667 0.648771131600725 0.0156494554741399 0.0582367234085327 0.0260770174970736 0.00624134319786494 0.103114640022073 0.0299223298907731 0.111987358908818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0.00855654761904762 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.0257523148148148 0.00833333333333333 0 0.020679012345679 0.0590856481481481 0.0445023148148148 0.0944940476190476 0.560992614638448 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0493055555555556 0 0.00555555555555556 0.0645833333333333 0.104861111111111 0.124305555555556 0.473611111111111
10 95 75.3333333333333 7.41666666666667 11 0.5 0.666666666666667 0.0833333333333333 0.440213494871025 0.0265914024718382 0.0810221303725937 0.0729344162386503 0.0143179935932542 0.141596281070604 0.0416081628417386 0.181716118540296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0 0 0.000946969696969697 0.000946969696969697 0 0 0 0 0.000946969696969697 0 0 0 0 0 0.00224905303030303 0 0 0.00159801136363636 0.0132352941176471 0.0254284274193548 0.0142595307917889 0.0407050521821632 0.05611443838288 0.0587064359997828 0.131729374708502 0.0910637646228253 0.561122738593238 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0.00666666666666667 0 0 0.00148809523809524 0 0.0660171261487051 0.0414494569757728 0.0581944444444444 0.142269997911445 0.137634972848789 0.0939880952380952 0.440386382623225
