"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ho_Proportion" "Transition_ee_Proportion" "Transition_io_Proportion" "Transition_oh_Proportion" "Transition_ij_Proportion" "Transition_cj_Proportion" "Transition_je_Proportion" "Transition_co_Proportion" "Transition_ie_Proportion" "Transition_gh_Proportion" "Transition_oo_Proportion" "Transition_go_Proportion" "Transition_ih_Proportion" "Transition_jo_Proportion" "Transition_oe_Proportion" "Transition_oc_Proportion" "Transition_jc_Proportion" "Transition_jh_Proportion" "Transition_gc_Proportion" "Transition_so_Proportion" "Transition_ei_Proportion" "Transition_ec_Proportion" "Transition_ci_Proportion" "Transition_cg_Proportion" "Transition_hg_Proportion" "Transition_ig_Proportion" "Transition_eo_Proportion" "Transition_eg_Proportion" "Transition_ch_Proportion" "Transition_jg_Proportion" "Transition_hh_Proportion" "Transition_hc_Proportion" "Transition_cc_Proportion" "Transition_hi_Proportion" "Transition_ii_Proportion" "Transition_ge_Proportion" "Transition_gi_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_gj_Proportion" "Transition_jj_Proportion" "Transition_oi_Proportion" "Transition_ji_Proportion" "Transition_sj_Proportion" "Transition_og_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsg_Proportion" "Transition_oso_Proportion" "Transition_eis_Proportion" "Transition_osh_Proportion" "Transition_ios_Proportion" "Transition_gos_Proportion" "Transition_sjj_Proportion" "Transition_csj_Proportion" "Transition_iso_Proportion" "Transition_ohh_Proportion" "Transition_ioh_Proportion" "Transition_eos_Proportion" "Transition_eio_Proportion" "Transition_gjs_Proportion" "Transition_jhs_Proportion" "Transition_cgg_Proportion" "Transition_jso_Proportion" "Transition_esg_Proportion" "Transition_cso_Proportion" "Transition_ggo_Proportion" "Transition_ssh_Proportion" "Transition_sjg_Proportion" "Transition_ijs_Proportion" "Transition_osg_Proportion" "Transition_gsh_Proportion" "Transition_jci_Proportion" "Transition_shg_Proportion" "Transition_cse_Proportion" "Transition_osi_Proportion" "Transition_sco_Proportion" "Transition_cos_Proportion" "Transition_hgs_Proportion" "Transition_esi_Proportion" "Transition_osc_Proportion" "Transition_sos_Proportion" "Transition_jgs_Proportion" "Transition_ssj_Proportion" "Transition_hsh_Proportion" "Transition_soc_Proportion" "Transition_hcs_Proportion" "Transition_ocs_Proportion" "Transition_sjs_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_jcs_Proportion" "Transition_ggi_Proportion" "Transition_iig_Proportion" "Transition_chs_Proportion" "Transition_gsj_Proportion" "Transition_jsc_Proportion" "Transition_jsi_Proportion" "Transition_cgs_Proportion" "Transition_hsc_Proportion" "Transition_jos_Proportion" "Transition_ses_Proportion" "Transition_cis_Proportion" "Transition_jis_Proportion" "Transition_gii_Proportion" "Transition_igi_Proportion" "Transition_gsc_Proportion" "Transition_sgi_Proportion" "Transition_isg_Proportion" "Transition_igg_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_sig_Proportion" "Transition_igs_Proportion" "Transition_sec_Proportion" "Transition_hhs_Proportion" "Transition_hsg_Proportion" "Transition_gig_Proportion" "Transition_sci_Proportion" "Transition_isc_Proportion" "Transition_ccs_Proportion" "Transition_csg_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_csi_Proportion" "Transition_isi_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_seg_Proportion" "Transition_sse_Proportion" "Transition_egg_Proportion" "Transition_sch_Proportion" "Transition_csh_Proportion" "Transition_shh_Proportion" "Transition_ogs_Proportion" "Transition_hsi_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_shs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 431.25 354.75 36.4166666666667 34.0833333333333 3.33333333333333 1.91666666666667 0.75 0.309281256470268 0.0657314157896256 0.0963541699312528 0.0150117048016221 0.00864970979513495 0.26916486499945 0.0470002405930828 0.188806637619563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000385802469135802 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000786163522012579 0.000856612261979494 0.00100957049486461 0.00106837606837607 0.0011152162014231 0.00118920059744139 0.00133315498484038 0.00146520146520147 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00185453959038865 0.00216987504221547 0.00278262014025468 0.00358572986985343 0.00454914436832676 0.00525418989566276 0.0064328020080957 0.00746028072636558 0.0190849100007524 0.0250488799185223 0.0385967779097618 0.0631138938127027 0.119634879725646 0.16789406244172 0.516798534954876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.00171894382420698 0.00225225225225225 0.00265044331258253 0.0028735632183908 0.00347393060223524 0.00349279496744935 0.0043505227715754 0.0046113714078119 0.00462962962962963 0.0366742778591366 0.0480751816448075 0.0551725813480527 0.112997554806104 0.113643614596404 0.171242628186767 0.421496634412389
2 525.583333333333 421.666666666667 46.6666666666667 48.25 3.75 3.58333333333333 1.66666666666667 0.320148072555887 0.0573510279585872 0.0815423835196895 0.0121232112457137 0.00935628220106291 0.298958673574011 0.0410952226068415 0.179425126338207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0002210433244916 0.000319284802043423 0.000394944707740916 0.000443262411347518 0.000789889415481833 0.00112726869880208 0.00153527953932502 0.00153649721915644 0.00188143190498327 0 0 0 0.0002210433244916 0.000394944707740916 0.000838207119088434 0.000462962962962963 0 0.00189262084103738 0 0.00136482609888075 0 0.00162043490381935 0 0 0.000309789343246592 0.000801282051282051 0.00203030759708419 0 0.00283571592939345 0.0183406661440717 0.00499240798325757 0.00170750742559253 0.0153599378747342 0.0114406677724672 0.0111037225651152 0.0335053940708941 0.0308911062251839 0.0417907081692708 0.101860418706667 0.21334860980064 0.494637816359706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.00104166666666667 0.00106837606837607 0.00106837606837607 0.00148809523809524 0.00156432748538012 0.00177266081871345 0.00177266081871345 0.0019017094017094 0.00232142857142857 0.00500802597624457 0.011919710051753 0.0123887380026259 0 0 0 0 0 0 0 0.000455373406193078 0.00156432748538012 0.00260599415204678 0.0118349092049098 0.000833333333333333 0 0.00308641975308642 0.00249870351624511 0.00596603688708952 0.0123846448824879 0.00447358188413583 0.00391975308641975 0.0161567335361195 0.0319408687289392 0.0720430309825554 0.105149813160256 0.064003228209364 0.227346297113124 0.387921175510232
3 569.666666666667 437.833333333333 64.8333333333333 49.0833333333333 8.33333333333333 5.33333333333333 4.25 0.367165460804935 0.0405543186658425 0.0459432233278573 0.0100446993372997 0.00760282928481663 0.363158052590074 0.0240380549303142 0.14149336105886 0 0 0 0 0 0 0 0 0 0 0 0 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.000321750321750322 0.000711158421438795 0.000389408099688474 0 0 0 0 0.000184774575018477 0.000184774575018477 0.000263713080168776 0.00744771797858083 0 0 0 0.000184774575018477 0 0 0.00131506417828175 0 0.00398560231838645 0 0.00507726177741756 0 0.000184774575018477 0.000334672021419009 0.000184774575018477 0.000149611011370437 0.000718410163961879 0.0009899275540845 0 0.000384024577572965 0.0233010797137894 0.00353479679580799 0.00356519720715418 0.0258994184236652 0.0134080428060874 0.00811142188734744 0.0145992000276513 0.0131257709415807 0.0304292836249634 0.0680809849609512 0.255221938804626 0.517156346702106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000289351851851852 0.000348675034867503 0.000348675034867503 0.000348675034867503 0.000348675034867503 0.000348675034867503 0.000348675034867503 0.000563063063063063 0.000697350069735007 0.000868055555555556 0.00151434353378729 0.00182347619586113 0.0018630185686548 0.00231481481481481 0.00318287037037037 0.00440874359468994 0.00498451434812617 0 0 0 0.00104602510460251 0 0 0 0 0.00283095595595596 0.00439222141166517 0.000348675034867503 0.000911738097930567 0.0133612914412101 0.00773730520454001 0.0110456961652199 0 0 0 0 0 0 0 0.000289351851851852 0.00337835913072807 0.00369487134193017 0.0107482055184646 0.00138005652711535 0.00133537695645436 0.00347222222222222 0.0106911439343602 0.0101366483920889 0.0145219642865218 0.00520509395378642 0 0.0129094004899241 0.0133951226445178 0.0207033705112304 0.0690943164985442 0.0368811716155021 0.204457763936523 0.511429999596528
4 524.75 401.666666666667 60.25 46.1666666666667 9.08333333333333 5.08333333333333 2.5 0.339063388341351 0.0475629950865576 0.0650332010076041 0.0099176886186821 0.00825229415895195 0.31655968780253 0.0331854136335953 0.180425331350728 0 0 0 0 0 0 0 0 0 0.000170415814587594 0.000295508274231678 0.000382262996941896 0 0 0.00136612021857923 0.000170415814587594 0.00137515622263566 0.00116155481324021 0.000633378777550557 0.000636339903406866 0 0 0.000295508274231678 0.00123899287579096 0.000342935528120713 0.00225405913728684 0 0 0.000493096646942801 0.000554605989388598 0 0.000170415814587594 0.000170415814587594 0 0.00242069192981269 0.000295508274231678 0.00331406736707973 0 0.000225225225225225 0.000520733499456904 0.000170415814587594 0 0.000633378777550557 0.00236853363962338 0.000170415814587594 0.00172493450918946 0.0168761095483815 0.00752835155171506 0.00415086303388934 0.0255754677006316 0.0114868346419469 0.00943186047672336 0.0121098513217548 0.0266212398875607 0.0454546860813556 0.103750469439035 0.233933488389807 0.479525690159156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000315656565656566 0.000315656565656566 0.000315656565656566 0.00068870523415978 0.00068870523415978 0.00068870523415978 0.000946969696969697 0.00126262626262626 0.00132001836547291 0.00163398692810458 0.00232269216226435 0.00241545893719807 0.000868055555555556 0 0 0 0.000527426160337553 0.00068870523415978 0.00120772946859903 0.000315656565656566 0.00068870523415978 0 0.0015233860342556 0.00284090909090909 0.000315656565656566 0 0 0 0.00181502525252525 0 0 0.000868055555555556 0.000315656565656566 0 0 0 0 0 0.00137050888633167 0.000315656565656566 0.00147439585730725 0.0149617331616271 0.00315656565656566 0.00734895690405834 0 0 0 0 0 0 0.000315656565656566 0 0.00252525252525253 0.00213068181818182 0.00544811592813106 0 0.00475358851674641 0.00273111550285463 0.00479032962334608 0.00724506993308277 0.0163870135221733 0.00773925272588374 0.00163398692810458 0.0138422392067682 0.0196478883145065 0.0186748658872771 0.122611384791023 0.0844620375499496 0.234601100045145 0.396942798549258
5 304.5 246.666666666667 24.75 29.6666666666667 2.16666666666667 1.08333333333333 0.166666666666667 0.344338592155671 0.0926634232628441 0.0870141638737519 0.0209467331523795 0.0124390794217802 0.222124199773711 0.0398629254854055 0.180610882874457 0 0 0 0 0 0 0 0 0.000347222222222222 0 0 0 0 0 0 0 0 0 0 0.00137602880658436 0 0 0.000347222222222222 0 0 0.000871331236897275 0 0 0 0.000347222222222222 0.00203252032520325 0 0 0 0.000347222222222222 0 0 0 0.000524109014675052 0 0.000645994832041344 0 0.000524109014675052 0.00119065714140954 0 0.00434000314739196 0.00134043927648579 0.00937558138390208 0.00557077274189433 0.0106106349917239 0.00791557486298221 0.0240550878827847 0.0710141661561106 0.025573403532702 0.0597624391766189 0.0951474417776667 0.141934719268595 0.534806096540767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.00166666666666667 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0.000833333333333333 0 0 0 0 0.000833333333333333 0 0.00154320987654321 0 0.00166666666666667 0 0 0 0 0 0.00490196078431373 0 0.000833333333333333 0.00333333333333333 0 0.00166666666666667 0 0 0.00933954933954934 0 0.000833333333333333 0.005 0.00280583613916947 0 0.0297763964430631 0.0250422685637739 0.142852727718319 0.0840203761614261 0.121850909269473 0.153697165421549 0.397171679902546
6 413.583333333333 327.75 42 36.6666666666667 3 3.25 0.916666666666667 0.364389721115475 0.0728963721608991 0.0688832888275816 0.023441641637552 0.00878276517921251 0.238808561285524 0.0446310924405472 0.178166557353209 0 0 0 0 0.00037202380952381 0.00037202380952381 0.000410509031198686 0.000621890547263682 0 0 0 0.000360750360750361 0 0 0 0.000992063492063492 0.000757727820152549 0 0 0.000628930817610063 0 0 0.000443262411347518 0 0.00155933383991895 0.000314465408805031 0 0 0.00037202380952381 0.000744047619047619 0.000360750360750361 0 0.000621890547263682 0.000764525993883792 0.00243813139526888 0 0.000746244337993287 0 0.000443262411347518 0 0.000314465408805031 0 0.000821018062397373 0.00369814587030861 0 0.00174036872816659 0.00729595933071315 0.00277941192491639 0.00348625926447342 0.0188386142994669 0.00991979499682031 0.00969561000924657 0.0289538086278317 0.0131281517835852 0.0327295427370153 0.138428462220524 0.180272851164713 0.534573677747779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000771604938271605 0.000771604938271605 0.000925925925925926 0.000925925925925926 0.00108225108225108 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00124378109452736 0.00193798449612403 0.00193798449612403 0.00296296296296296 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0.00108225108225108 0 0 0 0.00175429409300377 0.000925925925925926 0 0 0 0.00111111111111111 0 0 0 0 0 0.000672043010752688 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.00159796893667861 0 0.00185185185185185 0.0059075314764237 0.00309042809042809 0.00293410293410293 0 0 0 0 0 0.000771604938271605 0 0 0 0.00159796893667861 0.00277978194644861 0 0.000672043010752688 0.000672043010752688 0.000925925925925926 0.00529024752580642 0.0171861837526715 0.00764957264957265 0 0.0109730045887593 0.0123894708289268 0.0527315985167995 0.204180781448088 0.0610674814019493 0.15363362198683 0.422931286863445
7 491.75 391.666666666667 44.9166666666667 44.6666666666667 5.33333333333333 3.33333333333333 1.83333333333333 0.345744449417051 0.0589950929918512 0.0478572068222013 0.015574565949852 0.0143750925460403 0.337180077498343 0.0273352870863866 0.152938227688275 0 0 0 0 0 0 0 0 0.000431778929188256 0 0 0 0 0 0 0 0.00132904716516617 0 0.000382262996941896 0.00099683016349683 0 0 0.000599276885830785 0.000225225225225225 0 0.00314578276907044 0 0 0 0.000442239114114114 0 0 0.000225225225225225 0 0.00189065212000992 0 0.00267507014888578 0 0 0.0006057427290304 0 0 0.00103155917047184 0.0010113887472378 0 0.000431778929188256 0.0159560598099666 0.00844374480067245 0.00220429887181129 0.0187293803735123 0.00771674940840132 0.0111728132700352 0.0132255620254149 0.0116997094460544 0.0423825577235774 0.0858239592901208 0.231371901987998 0.535849402673352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.00213675213675214 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0.00146042713567839 0 0 0 0 0 0 0.00147099069512863 0 0 0 0 0.000837520938023451 0.00213675213675214 0 0.000418760469011725 0.00213675213675214 0.00354757609782735 0 0 0 0 0 0 0 0 0.000837520938023451 0.000418760469011725 0.00193798449612403 0 0.00813433928362017 0.00173520861010031 0.0118042804535613 0 0 0 0 0 0 0 0 0.0039216328243431 0.000418760469011725 0.0100520796998877 0.000418760469011725 0.000837520938023451 0.00104166666666667 0.0110783522778844 0.00319426590315921 0.0129583504618303 0 0 0.0176959805424224 0.0138762807640523 0.0225691220310428 0.0812793579007523 0.0703296568044318 0.248556960032448 0.459364592674878
8 420.25 336.833333333333 42.25 33.5 3.83333333333333 2.91666666666667 0.916666666666667 0.307099444593346 0.0606550835000293 0.0692385081662097 0.0141399976935375 0.012843165349688 0.28580423605978 0.0350856071124732 0.215133957524936 0 0 0 0 0 0 0.000656167979002625 0 0 0 0 0 0 0 0 0 0.00133842403279153 0.00185185185185185 0 0 0.00023084025854109 0 0.000490196078431373 0.000980392156862745 0 0.00180010454987371 0 0 0 0.00179048005134962 0 0 0 0 0.00150611161691494 0 0.00200485673362852 0 0.000574712643678161 0.000887008237543714 0.000582750582750583 0 0.0018794868347239 0.00700406082236242 0.000490196078431373 0 0.00893663845090733 0.00228813667646969 0.00258493378457412 0.0159572990946876 0.00905300669184891 0.0173414396020203 0.0229498136890964 0.0271716494292389 0.0440011891588013 0.115529013457715 0.210283942461249 0.499835296994653 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0.000481695568400771 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0.000481695568400771 0 0 0 0.000963391136801541 0 0 0 0 0.000963391136801541 0 0 0 0 0 0 0 0 0 0.00317752027509504 0 0 0.00663540631968629 0.000481695568400771 0.00389657308009909 0 0 0 0 0 0 0 0 0 0.0016894250369998 0.00428460562131082 0.000481695568400771 0 0 0.000963391136801541 0.0052694802474898 0.00865930280099735 0.0042663588394817 0 0.0189784766163924 0.0186164286749287 0.0403946756284152 0.129772689415298 0.0762819555935678 0.219940014671453 0.439858980126018
9 215 177.416666666667 16.3333333333333 18.75 0.75 1.41666666666667 0.333333333333333 0.415897051257726 0.101779796824447 0.0538992292494236 0.0102308868234891 0.00965060871406657 0.178905166644585 0.0382524345065254 0.191384825979738 0 0.0016025641025641 0.0016025641025641 0.0021333496651968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000530785562632696 0.0016025641025641 0 0 0 0 0 0.0016025641025641 0 0 0 0.0016025641025641 0 0 0 0.00149681364991263 0 0 0 0 0 0.000591016548463357 0 0.00267434988179669 0.00234257871064468 0.000530785562632696 0 0.00112180211109605 0.00423728813559322 0.00196736822671467 0.00517700053618671 0.00418681916335588 0.00567912870892467 0.0992411238586382 0.0375961687942539 0.0267146468916606 0.0900286946323861 0.181890191603147 0.523847267243943 0 0 0 0 0 0 0 0 0.00138888888888889 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0.00138888888888889 0 0 0 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00641025641025641 0 0.0121557454890788 0.100986975986976 0.211524673662355 0.0839719995517097 0.0481847929311697 0.087216058230551 0.338284065639138
10 317.083333333333 258.416666666667 29 25.25 2.66666666666667 1.5 0.25 0.389606015321758 0.0672887729697189 0.0903657661960888 0.0262663009252078 0.00659238564279999 0.211072214300679 0.0363962132382876 0.17241233140546 0 0 0.000425170068027211 0 0 0 0 0 0 0 0 0.000931098696461825 0 0.00051440329218107 0 0 0 0 0 0.00150646678424456 0 0 0 0.000992063492063492 0 0.00187067205667011 0 0 0 0.00172578589634664 0 0 0 0 0.000939573360208281 0 0.00226757369614512 0 0 0.000465549348230912 0.000778816199376947 0 0.00189393939393939 0.002229549079573 0 0.000786163522012579 0.00365409800854621 0.00177087969144044 0.0014576128402944 0.0113479490505838 0.00539723526899901 0.0247598894720313 0.054764432628124 0.0175848187559636 0.0584959002968257 0.107621820584903 0.166076293253728 0.529742245263079 0 0 0 0 0.00108225108225108 0.00119047619047619 0.00219298245614035 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0.00308641975308642 0 0.00108225108225108 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0 0.00119047619047619 0 0.00327380952380952 0 0 0 0 0.00166666666666667 0 0 0 0 0.00108225108225108 0.00631023850363473 0 0.00525092191758858 0 0.00208333333333333 0.00546821599453178 0.00384505431675243 0.00219298245614035 0 0.0147857095887549 0.0239980007854884 0.162417632648103 0.0749316592414904 0.128681597498215 0.119107868375081 0.425954744787499
