"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ic_Proportion" "Transition_jc_Proportion" "Transition_cg_Proportion" "Transition_ei_Proportion" "Transition_oo_Proportion" "Transition_ci_Proportion" "Transition_io_Proportion" "Transition_go_Proportion" "Transition_co_Proportion" "Transition_eg_Proportion" "Transition_cc_Proportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_ig_Proportion" "Transition_gj_Proportion" "Transition_jj_Proportion" "Transition_hc_Proportion" "Transition_oi_Proportion" "Transition_sh_Proportion" "Transition_ji_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_ce_Proportion" "Transition_ie_Proportion" "Transition_so_Proportion" "Transition_gi_Proportion" "Transition_ge_Proportion" "Transition_gc_Proportion" "Transition_se_Proportion" "Transition_ii_Proportion" "Transition_oe_Proportion" "Transition_ee_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_jg_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_csg_Proportion" "Transition_sjj_Proportion" "Transition_ics_Proportion" "Transition_ssj_Proportion" "Transition_ios_Proportion" "Transition_jcs_Proportion" "Transition_jos_Proportion" "Transition_iii_Proportion" "Transition_sgg_Proportion" "Transition_gsj_Proportion" "Transition_iis_Proportion" "Transition_sei_Proportion" "Transition_ggi_Proportion" "Transition_soo_Proportion" "Transition_esg_Proportion" "Transition_cis_Proportion" "Transition_sci_Proportion" "Transition_igs_Proportion" "Transition_jis_Proportion" "Transition_cos_Proportion" "Transition_isg_Proportion" "Transition_ssc_Proportion" "Transition_jgj_Proportion" "Transition_sos_Proportion" "Transition_sjs_Proportion" "Transition_igj_Proportion" "Transition_jgs_Proportion" "Transition_hcs_Proportion" "Transition_ssg_Proportion" "Transition_osc_Proportion" "Transition_shs_Proportion" "Transition_sgs_Proportion" "Transition_isi_Proportion" "Transition_scs_Proportion" "Transition_sis_Proportion" "Transition_gsi_Proportion" "Transition_ssi_Proportion" "Transition_hsi_Proportion" "Transition_oes_Proportion" "Transition_ies_Proportion" "Transition_ees_Proportion" "Transition_soe_Proportion" "Transition_see_Proportion" "Transition_ces_Proportion" "Transition_sie_Proportion" "Transition_sso_Proportion" "Transition_ggs_Proportion" "Transition_ses_Proportion" "Transition_gis_Proportion" "Transition_osi_Proportion" "Transition_sii_Proportion" "Transition_gcs_Proportion" "Transition_eee_Proportion" "Transition_ese_Proportion" "Transition_ggg_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 193 150.416666666667 17.3333333333333 21.8333333333333 1.75 1.16666666666667 0.5 0.513720620736421 0.0743734237212871 0.0640827055824227 0.0128464206214032 0.0175042025972407 0.184670497838606 0.01866614621411 0.114135982688509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000527426160337553 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000841750841750842 0.000841750841750842 0.00126262626262626 0.00136877625815679 0.00206809474050853 0.00252525252525253 0.00315656565656566 0.00447406437135629 0.00462962962962963 0.00705717893217893 0.0118777056277056 0.0148945109831964 0.0176945790235066 0.040365431347942 0.0644153443378745 0.0645499301512434 0.124954034101808 0.629970095681357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00166666666666667 0.00166666666666667 0.00193798449612403 0.00231481481481481 0.00231481481481481 0.00387596899224806 0.00807692307692308 0.00901559454191033 0.0217556759545924 0.0634695775913646 0.0691580378345984 0.122641346268497 0.125461814180944 0.552755225210946
2 224.166666666667 171.583333333333 20.75 26.3333333333333 1.83333333333333 2.83333333333333 0.833333333333333 0.525767615531656 0.0671706489718812 0.056041224033394 0.0151822711724491 0.0139079690391335 0.190608824016407 0.0233498481813661 0.107971599053713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000360750360750361 0.000360750360750361 0.000666666666666667 0.00126262626262626 0.00169408369408369 0 0 0 0 0.00193798449612403 0 0.00193798449612403 0 0.000859106529209622 0 0 0 0.0113125159790528 0.00162337662337662 0.0069256151194594 0.00367864040071973 0.0120033439343166 0.00735336197183463 0.0347223626153706 0.0513454899530081 0.060920186155675 0.133692040846531 0.667343113534321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.000694444444444444 0.00136612021857923 0.00136612021857923 0.00138888888888889 0.00177304964539007 0.00206056466302368 0.00206056466302368 0.00282485875706215 0.00282485875706215 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00282485875706215 0.00490196078431373 0 0 0 0.019725275522723 0.00761134001771878 0.0114733987594086 0.0761664103151638 0.0680882633626252 0.112098794462066 0.102518097233391 0.572635725300716
3 305.833333333333 237.083333333333 24.6666666666667 32.5833333333333 2.58333333333333 7 1.91666666666667 0.504409628624731 0.0327820477210691 0.0306622123956597 0.0170377550250581 0.00787312768953491 0.288681304037232 0.0150552124037172 0.103498712102998 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0.000651041666666667 0.000833333333333333 0.000833333333333333 0.0015 0 0 0 0 0.001484375 0.00222222222222222 0 0 0.000478927203065134 0.000968992248062015 0 0 0.000207296849087894 0 0 0 0.00045045045045045 0.00299447091533173 0.00601668700163912 0.00838088127622202 0.0069259483486474 0.0135698145748605 0.00840254383440235 0.0250454825443549 0.00865592985123314 0.0540404578319648 0.163013647031926 0.69267312281653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00104166666666667 0.00185185185185185 0.00894973921289711 0 0.00225225225225225 0 0 0.0045045045045045 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000345781466113416 0.00219298245614035 0 0 0 0 0 0 0.0159865942574419 0.00662191647208713 0.00546594982078853 0.042343666866801 0.0421402028415452 0.137099753519321 0.0141701433694715 0.710178215651168
4 127.333333333333 90.9166666666667 12.0833333333333 14.5833333333333 2.58333333333333 4.91666666666667 2.25 0.627077974424606 0.034962348627157 0.02364617213948 0.00591140341934249 0.0116830124759496 0.163271123958493 0.013076283513175 0.120371681441797 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0.000440917107583774 0 0.00108225108225108 0 0 0 0 0 0 0 0 0 0 0 0.00225596000243888 0.00349035362813685 0.00221294745942633 0.00257936507936508 0.00704501492927702 0.00460174223952546 0.00483181615810724 0.0121068119087485 0.0137310757820045 0.0568044494298577 0.100022724760554 0.786190403766057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00373376623376623 0 0 0 0.000750750750750751 0.000757575757575758 0 0 0.00492424242424242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0.0103331451157538 0 0.048732888741583 0.0162695016674478 0.101862233106928 0.0238017263049355 0.78795697691456
5 127.083333333333 99.9166666666667 9.91666666666667 14.25 1.08333333333333 1.58333333333333 0.333333333333333 0.63637969044381 0.030069479404304 0.0366619628463622 0.0143886013172603 0.0119743293535722 0.154072993491664 0.0133424444642517 0.103110498678775 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0.00138888888888889 0.00219298245614035 0.000859106529209622 0 0 0 0 0.00138888888888889 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0.00154320987654321 0.00219298245614035 0.00942951486186162 0.00550306937750684 0.00352564102564103 0.00245098039215686 0.0325849373731929 0.0204293179150349 0.0626241277688999 0.108972043682345 0.741388667481909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00490196078431373 0 0 0 0 0 0 0 0 0.00446122168840082 0 0.00268817204301075 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00490196078431373 0.00462962962962963 0.0470363725233395 0.0489699237215966 0.0583248165288986 0.0336508288830509 0.77726891425496
6 158.166666666667 120.75 13.25 18.4166666666667 3 2.16666666666667 0.583333333333333 0.607450755005874 0.0593090787884911 0.0274178128534027 0.0180906053120182 0.0100812426938836 0.151107540881692 0.0166750519166658 0.109867912547973 0 0 0 0 0 0.000599520383693046 0.000771604938271605 0.00157232704402516 0.00252525252525253 0 0 0 0 0.000599520383693046 0 0.000599520383693046 0 0 0.00034435261707989 0.00219298245614035 0.000599520383693046 0.00157232704402516 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.000599520383693046 0.000943873000772935 0.00245098039215686 0.0046863504798114 0.00260538489526483 0.023541969913509 0 0.0249144666720565 0.0339571718926086 0.0814038928601315 0.104560637027085 0.707386497279318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00520833333333333 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.00133333333333333 0 0 0.000666666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0.0259638447971781 0.00375308641975309 0 0.0927378747795414 0.0331626644959978 0.103041034744982 0.0682603276353276 0.655026272947326
7 272.166666666667 206 29.6666666666667 28.8333333333333 3.5 3.16666666666667 1 0.498284519908434 0.0357554293056506 0.0236294066473791 0.0235830089613174 0.0107478740797655 0.287386728854794 0.0129545316917183 0.107658500550941 0 0.000530785562632696 0.000651041666666667 0.000825082508250825 0.000980392156862745 0.000744047619047619 0 0 0 0 0 0 0 0.00179889993972272 0 0.000445632798573975 0 0 0.00089126559714795 0 0.00154212402664415 0.00201476292587242 0 0 0.00285684166139574 0.0021391369047619 0 0 0.000825082508250825 0.00127147377938517 0 0 0.00373547436447697 0.00474417598634089 0.00165016501650165 0.0107305875141071 0.00539286887003605 0.0146713452402693 0.00620181414843219 0.00790459145295514 0.00588333800162075 0.0655368768920799 0.219807309832854 0.63622488302511 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.00105485232067511 0.00189393939393939 0.00252525252525253 0.00308641975308642 0.00308641975308642 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0.00189393939393939 0 0.00403338945005612 0 0 0.00831108015016061 0 0 0 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0 0 0 0.00308641975308642 0.00673981191222571 0 0 0 0.00252525252525253 0 0 0 0 0.0148160093109988 0.000946969696969697 0.00284090909090909 0.0583143547483173 0.0122448442760943 0.209932973033034 0.0135311447811448 0.642083691063622
8 120.583333333333 86.25 12.6666666666667 15.1666666666667 2.08333333333333 3.25 1.16666666666667 0.650129992910284 0.0256468921385108 0.0120155810902768 0.00652512311455213 0.00708077234828757 0.217325825839653 0.00653271706625574 0.0747430954921802 0 0.000672043010752688 0 0 0 0 0 0 0 0 0 0 0.00237272328286153 0 0 0 0 0 0 0 0.00320512820512821 0.000712250712250712 0 0 0.000936329588014981 0 0 0 0.00141242937853107 0.00480769230769231 0 0 0.00414145779314319 0.0102710749312132 0 0.0140505273295419 0.00141242937853107 0.00622593018242695 0.00414145779314319 0.00589333884616002 0.00859914816385206 0.0401642554711521 0.133454740873308 0.757527042752297 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00297619047619048 0.00467687074829932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00467687074829932 0 0 0.0160533910533911 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0.00297619047619048 0.0146111280333029 0.00333333333333333 0.0100340136054422 0.0346527908112841 0.00462962962962963 0.136374239047901 0.0172085306307055 0.733404497312214
9 126.25 96.6666666666667 7.83333333333333 17.3333333333333 1.66666666666667 2.16666666666667 0.583333333333333 0.660771382885589 0.0355882402188577 0.0200294717085457 0.0105226408045964 0.0148290844192575 0.159133782448631 0.00989398505966679 0.0892314124548558 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0 0.0021011396011396 0.000712250712250712 0 0.0021011396011396 0.00957468457468457 0.0105510230510231 0 0.0070498903362725 0.0127229052875605 0.0537225218608095 0.127664839304961 0.770094518141109 0 0 0 0 0.00141242937853107 0 0 0 0.00141242937853107 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0189927294140969 0.0158063687724705 0 0.0497327781976467 0.00852514919011083 0.190992971485259 0.0252354370775423 0.683952025202028
10 122.5 94.4166666666667 10.5 14.4166666666667 1.33333333333333 1.41666666666667 0.416666666666667 0.702713646712157 0.0423207628899477 0.0190540240124242 0.0110171746333936 0.00403222510972744 0.13507489395542 0.0172461178413681 0.0685411548455621 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0.0016025641025641 0 0 0.0014367816091954 0 0.00333333333333333 0.000980392156862745 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00196078431372549 0.0124896257078027 0.00113378684807256 0.0150336367743282 0.0016025641025641 0.0231134358599147 0.009973604826546 0.0440413988802215 0.110858751188798 0.769693304331858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0.00177304964539007 0 0.0104166666666667 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0142285628019324 0 0 0.0538910071709563 0.0353422619047619 0.123259974517384 0.015450861195542 0.731433070642821
