"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ic_Proportion" "Transition_jc_Proportion" "Transition_ce_Proportion" "Transition_ho_Proportion" "Transition_jj_Proportion" "Transition_hc_Proportion" "Transition_ji_Proportion" "Transition_ch_Proportion" "Transition_io_Proportion" "Transition_gc_Proportion" "Transition_jh_Proportion" "Transition_he_Proportion" "Transition_ci_Proportion" "Transition_hh_Proportion" "Transition_eh_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_oc_Proportion" "Transition_sc_Proportion" "Transition_ee_Proportion" "Transition_ec_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_hi_Proportion" "Transition_eg_Proportion" "Transition_gj_Proportion" "Transition_so_Proportion" "Transition_ih_Proportion" "Transition_sh_Proportion" "Transition_oi_Proportion" "Transition_ij_Proportion" "Transition_ei_Proportion" "Transition_hg_Proportion" "Transition_se_Proportion" "Transition_es_Proportion" "Transition_ge_Proportion" "Transition_sj_Proportion" "Transition_os_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_ii_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ogs_Proportion" "Transition_ccs_Proportion" "Transition_ssc_Proportion" "Transition_geg_Proportion" "Transition_jjs_Proportion" "Transition_ces_Proportion" "Transition_hgg_Proportion" "Transition_jjg_Proportion" "Transition_isj_Proportion" "Transition_hcs_Proportion" "Transition_chs_Proportion" "Transition_ios_Proportion" "Transition_gcs_Proportion" "Transition_ssj_Proportion" "Transition_sos_Proportion" "Transition_cgs_Proportion" "Transition_sso_Proportion" "Transition_jgs_Proportion" "Transition_ghe_Proportion" "Transition_see_Proportion" "Transition_hee_Proportion" "Transition_ghh_Proportion" "Transition_ees_Proportion" "Transition_eig_Proportion" "Transition_ihe_Proportion" "Transition_eeg_Proportion" "Transition_gie_Proportion" "Transition_ese_Proportion" "Transition_hie_Proportion" "Transition_gee_Proportion" "Transition_iih_Proportion" "Transition_ieg_Proportion" "Transition_egs_Proportion" "Transition_ehs_Proportion" "Transition_shi_Proportion" "Transition_ghs_Proportion" "Transition_iei_Proportion" "Transition_ige_Proportion" "Transition_sgh_Proportion" "Transition_ehi_Proportion" "Transition_eih_Proportion" "Transition_eei_Proportion" "Transition_hih_Proportion" "Transition_hhh_Proportion" "Transition_his_Proportion" "Transition_ges_Proportion" "Transition_ish_Proportion" "Transition_hii_Proportion" "Transition_sie_Proportion" "Transition_eee_Proportion" "Transition_scs_Proportion" "Transition_ieh_Proportion" "Transition_ihi_Proportion" "Transition_iee_Proportion" "Transition_hsg_Proportion" "Transition_csc_Proportion" "Transition_scc_Proportion" "Transition_ocs_Proportion" "Transition_shs_Proportion" "Transition_csi_Proportion" "Transition_shg_Proportion" "Transition_gih_Proportion" "Transition_hse_Proportion" "Transition_ies_Proportion" "Transition_ggh_Proportion" "Transition_hig_Proportion" "Transition_ghi_Proportion" "Transition_sse_Proportion" "Transition_gge_Proportion" "Transition_ise_Proportion" "Transition_ses_Proportion" "Transition_hgs_Proportion" "Transition_gsh_Proportion" "Transition_iie_Proportion" "Transition_egg_Proportion" "Transition_seg_Proportion" "Transition_hsi_Proportion" "Transition_sih_Proportion" "Transition_gse_Proportion" "Transition_gei_Proportion" "Transition_eis_Proportion" "Transition_sei_Proportion" "Transition_esi_Proportion" "Transition_eii_Proportion" "Transition_ihs_Proportion" "Transition_gig_Proportion" "Transition_gsi_Proportion" "Transition_ess_Proportion" "Transition_gis_Proportion" "Transition_ois_Proportion" "Transition_iis_Proportion" "Transition_isi_Proportion" "Transition_igi_Proportion" "Transition_sgi_Proportion" "Transition_isg_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_sii_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_igs_Proportion" "Transition_ggi_Proportion" "Transition_iig_Proportion" "Transition_iii_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_gii_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 494.666666666667 420.5 37.8333333333333 29.9166666666667 2.83333333333333 1.83333333333333 1.75 0.317797929391688 0.0517457014589832 0.0531972560019436 0.00627506397953495 0.00790567390612649 0.306403171750851 0.0375271576882318 0.219148045822641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000212585034013605 0.000212585034013605 0.000212585034013605 0.000212585034013605 0.000212585034013605 0.000212585034013605 0.000425170068027211 0.000434027777777778 0.000434027777777778 0.000637755102040816 0.000646612811791383 0.000672043010752688 0.000672043010752688 0.000850340136054422 0.000884628044766294 0.00106292517006803 0.00174382589057128 0.00176925608953259 0.00184948979591837 0.00478022473137529 0.00603415117561488 0.00726856090704049 0.00793093899763922 0.0107619225658611 0.0167513875762121 0.023151176647049 0.0235649230591044 0.0359539844188906 0.0427371622799942 0.146961918548677 0.196148128762875 0.464597865439754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.00029868578255675 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000597371565113501 0.000896057347670251 0.000896057347670251 0.001194743130227 0.00130208333333333 0.00184115265964086 0.00208333333333333 0.00209080047789725 0.00209080047789725 0.00213983844219761 0.00213983844219761 0.00249682646356033 0.00263216845878136 0.00263216845878136 0.00268817204301075 0.00277777777777778 0.00293085424133811 0.00427120669056153 0.00491761621997539 0.00521630200253214 0.00567502986857826 0.00597196605130577 0.00691706136327639 0.0069907169094283 0.0070373865629528 0.00823313274244958 0.00904188300992938 0.00914922321303571 0.0134008983053162 0.013801790480887 0.0211205340095961 0.0661184890392238 0.079802803643596 0.142537106812786 0.198882335989952 0.347926528042374
2 478 390.833333333333 41.25 36.75 4.41666666666667 2.25 2.5 0.327393111479067 0.0616063377073928 0.0491349483476362 0.00449833195398833 0.0137901856465472 0.302992401357204 0.0326573429839897 0.207927340524175 0 0 0 0 0 0 0 0 0 0 0 0.000193798449612403 0.000387596899224806 0.000581395348837209 0.000581395348837209 0.00103624445729709 0.00157232704402516 0.00177822701407607 0.00182240797930967 0.00193798449612403 0 0 0.000924792601659187 0.00140647785708803 0.00232558139534884 0.00298597071565066 0.000387596899224806 0 0 0.00135658914728682 0.00202847852018611 0 0 0.00213178294573643 0.00148909313242081 0.00185563790214953 0.00696585213063589 0.00135658914728682 0.00266937706847412 0.00402106661621667 0.00476288332769385 0.00747845620850541 0.0164743964487197 0.00917508417508417 0.0158629783649996 0.0238544235216576 0.0125254101002271 0.0287248902014257 0.0342772733225334 0.150453958822164 0.172705386098092 0.481908596292189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.00102880658436214 0.00128600823045267 0.00132346478085421 0.00163398692810458 0.00163398692810458 0.00231481481481481 0.00243238335334291 0.0028735632183908 0 0 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.000257201646090535 0.00051440329218107 0.000771604938271605 0.000809061488673139 0.000809061488673139 0.00205761316872428 0 0 0.000257201646090535 0.000257201646090535 0.00051440329218107 0.000771604938271605 0.000771604938271605 0.00102880658436214 0.00102880658436214 0.00128600823045267 0.00051440329218107 0.00154320987654321 0.00334362139917695 0.0132053466067197 0.00213252626952735 0 0.00154320987654321 0.00257201646090535 0.00158066642694474 0.00205761316872428 0.00311246548939939 0.000771604938271605 0.00257201646090535 0.00231481481481481 0 0.00102880658436214 0.00336966713548992 0.00183786807303528 0.00205761316872428 0.00308641975308642 0.00257201646090535 0.00821049737476941 0.00551360421910584 0.0105172582827003 0.00308641975308642 0.00414127207376153 0.00542840305245915 0.00684152213662977 0.0056958927643933 0.0355374061422126 0.0592559320938262 0.0689940682376676 0.152617675667787 0.176186456293949 0.366435593103108
3 507.166666666667 431.083333333333 37.1666666666667 31.0833333333333 3.25 2.75 1.83333333333333 0.381732740320028 0.0461594152866936 0.0449796909567455 0.0113115051792701 0.00867013924201011 0.342928354009351 0.0247191303557278 0.139499024650173 0 0 0 0 0 0 0 0 0 0 0 0.000530785562632696 0 0 0 0 0.000693168673879023 0 0 0.000530785562632696 0 0 0.000301932367149758 0.00120829233770045 0.00120829233770045 0.000530785562632696 0 0 0.000301932367149758 0 0.00170449448282049 0 0 0.000530785562632696 0.000530785562632696 0.00120829233770045 0.00581749631189026 0.00189428905504785 0.000850340136054422 0.0158923331537268 0.00644118793751115 0.00735117659999926 0.00861603593155185 0.0069145562272883 0.0183589021725809 0.0203891293212057 0.0259090271399766 0.0133795607163817 0.0316899312090771 0.0842737804436684 0.210111884576592 0.532830036350183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.00124378109452736 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.0014367816091954 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.00124378109452736 0.00124378109452736 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00436265641489522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00187509422584049 0.00516812489277749 0.00697872520604931 0.0014367816091954 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0 0.00231397459165154 0 0.00087719298245614 0.00692251085768977 0 0.00527450090744102 0.00460853626603823 0.00660490650197289 0.00248756218905473 0.00392434379825013 0.00497854250170256 0.0047638960370561 0.0303551113430713 0.00455565692956326 0 0.0136889960361532 0.0123407666420783 0.0122147621349886 0.0095277920741122 0.00829003958945567 0.0186581225934082 0.0463757177555473 0.0611069985956433 0.181876156145129 0.521208372453076
4 358 301.416666666667 29.1666666666667 22.1666666666667 2.66666666666667 1.75 0.833333333333333 0.317354629900005 0.0554129685753941 0.0623727507535523 0.0128692337117968 0.0106305458904799 0.298759683520944 0.0353803357461629 0.207219851901666 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0 0 0 0.00051440329218107 0 0 0 0 0.00051440329218107 0 0 0.00146137298915077 0 0.00102880658436214 0.00102880658436214 0.00146137298915077 0 0 0.00102880658436214 0 0 0 0 0 0.00308688739244295 0.00672723685767012 0 0.00196850393700787 0.00795533509091381 0.00118644630293376 0.00146137298915077 0.0122271623490012 0.0118312757201646 0.0111506257070206 0.0297801404123511 0.00184261428193638 0.0256418140626283 0.0387414378679119 0.145864312812466 0.177341706276108 0.515498987645539 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000825082508250825 0.000825082508250825 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0.000825082508250825 0 0 0 0.000825082508250825 0.00165016501650165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00165016501650165 0.000825082508250825 0 0 0.000825082508250825 0 0.00219298245614035 0.000825082508250825 0.00165016501650165 0.00219298245614035 0 0 0 0.000825082508250825 0 0 0 0.00165016501650165 0.00503401360544218 0 0 0.00412541254125413 0.00412541254125413 0.000825082508250825 0 0 0.000825082508250825 0 0.0033003300330033 0.00185185185185185 0.00165016501650165 0.00219298245614035 0 0 0.0107260726072607 0 0.0033003300330033 0.00545068027210884 0.006744394677563 0.000825082508250825 0.000825082508250825 0 0.00165016501650165 0 0.0360856214839233 0.0427509164347227 0.0667624305633137 0.136889567389499 0.185026064076574 0.457118874946181
5 123.583333333333 101.833333333333 7.91666666666667 12.3333333333333 0.75 0.5 0.25 0.356351141346123 0.0657935296692412 0.088974423681106 0.00410928610919365 0.0245540925812655 0.175363649116919 0.0608695684075928 0.223984309088559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0285152409046214 0 0.000968992248062015 0 0 0 0.00213675213675214 0.000737463126843658 0 0 0 0 0 0 0.000968992248062015 0 0 0 0 0.00141242937853107 0.0135984699011635 0 0 0.0076819075712881 0.00141242937853107 0.000968992248062015 0.00834328323266376 0.00305227794165847 0.000968992248062015 0.0464366242921065 0 0.0653235986864654 0.0962070449891715 0.112850306681578 0.0659779736453682 0.542438229141009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0198155019583591 0 0 0 0 0 0 0 0 0 0.00608664518438954 0 0.00608664518438954 0.00252525252525253 0 0 0 0 0.0043859649122807 0.0155895691609977 0 0 0 0 0 0 0.0609600389863548 0.145352818825563 0.211180966937546 0.111867769170401 0.0745187847866419 0.331385491596958
6 173 141.166666666667 13.3333333333333 16.3333333333333 1.16666666666667 0.916666666666667 0.0833333333333333 0.412173366749409 0.0718917325008496 0.0876420111785841 0.014912352841228 0.0184526667124611 0.188129649305403 0.0474495774324985 0.159348643279567 0 0 0 0 0 0.000368731563421829 0.000368731563421829 0.00109649122807018 0.00109649122807018 0.00170068027210884 0 0 0 0 0 0 0 0 0.000737463126843658 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0.0327761389708292 0 0.000737463126843658 0.00397414339809325 0.00240125188862508 0 0.00354433808921799 0.00443377221382833 0.00350744657889057 0.035560645403688 0.00664616159435931 0.0661839159673199 0.0459116745474538 0.128760262970795 0.122225103069918 0.536268412926093 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00260416666666667 0.00260416666666667 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.0287037037037037 0.000925925925925926 0 0 0 0 0 0.000925925925925926 0 0 0.000925925925925926 0 0 0 0.00489417989417989 0 0.00396825396825397 0.00396825396825397 0.000925925925925926 0.00320512820512821 0.00277777777777778 0.00396825396825397 0.00396825396825397 0.000925925925925926 0 0.00396825396825397 0.0472582972582973 0.169246956746957 0.0886692163830322 0.223244336073283 0.101813509954957 0.291909777600567
7 409.75 353.166666666667 29.5 23.6666666666667 1.58333333333333 1.66666666666667 0.166666666666667 0.372932773166398 0.0430767413748975 0.0431498118897911 0.0186206044554644 0.00856551631949345 0.312552576622899 0.0260254975648598 0.175076478606196 0 0 0 0 0.00185786435786436 0 0.00213675213675214 0 0 0 0 0 0.00193460368581142 0 0 0 0 0 0.0022914328469884 0 0 0.00108225108225108 0.00126262626262626 0 0 0 0 0 0 0 0.000551876379690949 0 0 0 0 0 0.00465834554640108 0 0.00328874432382574 0.0193111951731526 0 0.00158068296405309 0.00606231244568257 0 0.012741124956206 0.0202227650614668 0.000905797101449275 0.0277613757414448 0.039844575353631 0.130499621970142 0.183734031651909 0.538272020958651 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00543478260869565 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0.00146198830409357 0.0036231884057971 0.0288659283411907 0.00558608058608059 0 0 0 0 0 0.00902200414944043 0.0626950697977685 0.039218631609936 0.126900236140846 0.195502892317972 0.514847380551535
8 233.916666666667 196.166666666667 18.3333333333333 16.5833333333333 1.41666666666667 1.33333333333333 0.0833333333333333 0.299882893117988 0.0678166172508008 0.0621137400953863 0.0103721011909994 0.0119819798161098 0.284663379174568 0.0410405009272884 0.22212878842686 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0.00420393870050621 0 0 0 0.00117370892018779 0 0.00335480407944176 0 0.00311169341631182 0.00820779405066881 0 0 0.00991093340062717 0.00193798449612403 0.0115406865916818 0.0233749580932277 0.00567409030844104 0.0536799348150443 0.0573429982453386 0.129833139431179 0.196712602067241 0.483795952239198 0 0 0 0 0 0 0.00333333333333333 0.0043859649122807 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00333333333333333 0.0160223616473616 0.00771929824561404 0 0.00416666666666667 0 0 0 0.0346373553786344 0.126413306788784 0.109974217445643 0.126676813651128 0.187093445652692 0.358622643914602
9 67.8333333333333 53.8333333333333 4.91666666666667 7.58333333333333 0.75 0.75 0 0.468765408872293 0.0534082645215171 0.0721307003743072 0.012670276324447 0.00890253537312361 0.158869140713745 0.0223309044569931 0.202922769363574 0 0 0.00238095238095238 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00665445665445665 0 0 0 0 0 0.0111111111111111 0 0.00087719298245614 0.0188430562572439 0 0.0938310735793573 0.0148488207698734 0.160979161951702 0.0756505603473567 0.604042728184605 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025 0.196270858770859 0.0238705738705739 0.15991045991046 0.0614417989417989 0.513135938135938
10 167.5 137.916666666667 12.25 15 0.916666666666667 1.25 0.166666666666667 0.519100814756876 0.0356871701638824 0.0508252431385762 0.0177419324886008 0.00305208159503709 0.199014459356118 0.0370181734637189 0.137560125037191 0 0 0 0 0.000992063492063492 0 0 0.00154320987654321 0.00154320987654321 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0.000886524822695035 0.00616703796528358 0.00198412698412698 0.00297999148573861 0.00191348469212246 0.00297619047619048 0.0135425498424146 0.0275546728570939 0.00198412698412698 0.0497983719671805 0.0400158726018087 0.0933319471452478 0.0875674607980542 0.662418037684587 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0.00225225225225225 0.00225225225225225 0 0 0 0.00189393939393939 0.00198412698412698 0.00347222222222222 0 0 0.00225225225225225 0.00225225225225225 0.00496031746031746 0.00870066495066495 0.00225225225225225 0.00225225225225225 0.00225225225225225 0 0.00225225225225225 0 0.0325597919347919 0.107900067275067 0.0716078497328497 0.0739017645267645 0.0737130455880456 0.512230384105384
