"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_og_Proportion" "Transition_ih_Proportion" "Transition_jj_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_hg_Proportion" "Transition_gc_Proportion" "Transition_gi_Proportion" "Transition_gh_Proportion" "Transition_jo_Proportion" "Transition_oo_Proportion" "Transition_cg_Proportion" "Transition_gg_Proportion" "Transition_ig_Proportion" "Transition_oi_Proportion" "Transition_eg_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ggs_Proportion" "Transition_ses_Proportion" "Transition_csg_Proportion" "Transition_hsi_Proportion" "Transition_osi_Proportion" "Transition_iis_Proportion" "Transition_jcs_Proportion" "Transition_shs_Proportion" "Transition_jgs_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_gsg_Proportion" "Transition_soo_Proportion" "Transition_cgs_Proportion" "Transition_hso_Proportion" "Transition_igs_Proportion" "Transition_iii_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_sos_Proportion" "Transition_ois_Proportion" "Transition_jsc_Proportion" "Transition_ssg_Proportion" "Transition_egs_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_scs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 414.166666666667 331.416666666667 39.4166666666667 36.9166666666667 3.41666666666667 2.33333333333333 0.666666666666667 0.387677923349364 0.0360630373098411 0.045083778674588 0.0122142231495591 0.0045764372139634 0.292394619203201 0.0311571390616361 0.190832842037847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000434027777777778 0.000434027777777778 0.00043630017452007 0.00045045045045045 0.00045045045045045 0.000508130081300813 0.000508130081300813 0.000566893424036281 0.000900900900900901 0.0013207784027483 0.00185479941910627 0.00218553297755884 0.00383838225022265 0.00622767857142857 0.00996755180289568 0.0118232303011863 0.01666483952464 0.0186953992320822 0.0401110939668498 0.144178517942195 0.213654123578054 0.524788760912517 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00117370892018779 0.00117370892018779 0.00128205128205128 0.00260416666666667 0.0031961260741839 0.00331186681492464 0.00599325117370892 0.0126190476190476 0.0231133914183859 0.02419816658234 0.0338560438244634 0.0729932660368802 0.128377942628461 0.2161154820309 0.460635054861412
2 354.333333333333 283.083333333333 33.1666666666667 34.0833333333333 2.58333333333333 1.08333333333333 0.333333333333333 0.380135737485755 0.0501624830458371 0.0524293496422259 0.0196607441425895 0.00909526455554304 0.280110553269171 0.0331770186674009 0.175228849191477 0 0 0 0 0 0 0 0 0 0 0.000396825396825397 0.000448028673835126 0.000496031746031746 0.00109649122807018 0 0 0.000905371544906429 0 0.000448028673835126 0 0 0 0 0.00154320987654321 0.00199123855037834 0.000396825396825397 0.00687757807317302 0.00413122452596137 0.0149119802685884 0.0064383573115655 0.031663730887349 0.0205308570163035 0.0438966828986302 0.132172045457879 0.17750313838659 0.55415235408671 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0.00726010101010101 0.00520833333333333 0.00490060378218273 0.00711980920314254 0.029087782162226 0.0445918488424098 0.0190216493796 0.0919262403034222 0.139686873917268 0.198654291954886 0.449458050527013
3 348.166666666667 274.333333333333 28.8333333333333 40.6666666666667 2.16666666666667 1.75 0.416666666666667 0.417942639357278 0.0314132224811332 0.0418464771725977 0.0191158808683481 0.00970875818802813 0.319855246647154 0.0267681569240081 0.133349618361453 0 0 0 0 0 0 0 0 0 0.000394944707740916 0 0.000915750915750916 0 0 0 0 0.000563063063063063 0 0 0 0 0 0 0.00170461557447859 0.00170461557447859 0.00197830842992133 0.00669039839082527 0.00454685930085056 0.00900014801769984 0.015155302491337 0.0174151929510414 0.0214081484858139 0.0285876287714528 0.0747135008091644 0.212101043096953 0.603120479419429 0 0 0 0 0 0 0 0 0 0.0014367816091954 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0.00512008738521718 0 0.00134408602150538 0.00297619047619048 0.0215480713563379 0.0211169967456192 0.0288733163781862 0.0514741325194257 0.105502744590347 0.276573594836952 0.480460464335076
4 202.833333333333 158.166666666667 20.6666666666667 20.0833333333333 2 1.5 0.416666666666667 0.376354205313397 0.0362849570636781 0.0725089348527967 0.0254168695079622 0.0198528713701627 0.234421246325373 0.0418900068608684 0.193270908705762 0 0 0 0 0 0 0 0.00146198830409357 0.00171821305841924 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0 0.00128427659723683 0.000905797101449275 0.00170722135007849 0.0151143438805604 0.0200026329340959 0.0121366167079876 0.0175688024065461 0.0244714894285543 0.0304144269853781 0.0571829321329251 0.159298102533482 0.176367918718315 0.479506131331668 0 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0.00439814814814815 0 0.0138888888888889 0.0150793650793651 0.0232882041705571 0.0318452380952381 0.0557364612511671 0.168088624338624 0.172220276999689 0.149097416744476 0.357197323373794
5 92.0833333333333 74.9166666666667 8.08333333333333 7.83333333333333 0.333333333333333 0.75 0.166666666666667 0.570568490648448 0.0285698649046149 0.0319051846509627 0.0166937535613336 0.0145200745215189 0.15065379260248 0.0182600183221201 0.168828820788522 0 0 0 0 0 0 0.00115740740740741 0.00563973063973064 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0.000957854406130268 0 0.00280970625798212 0.0167635924101441 0.0159984491881044 0.00353835978835979 0.0109126984126984 0.00300925925925926 0.0275951219916737 0.0991664386060938 0.189570790001825 0.538589403891128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0.0249194847020934 0.039573268921095 0.0164230019493177 0.0043859649122807 0.0485708534621578 0.0641664547843038 0.155591575557251 0.477891134841936
6 124.666666666667 98.8333333333333 10.75 13.4166666666667 0.583333333333333 1 0.0833333333333333 0.543010469136924 0.0220302945751193 0.0495859348615093 0.0270370567752185 0.0172252402066739 0.171366023440545 0.0371545744750095 0.132590406529 0 0 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0.00112612612612613 0.000757575757575758 0.00501281471430725 0.00200135685210312 0.00177304964539007 0.000612745098039216 0.00477750477750478 0.0189739508193779 0.0289488782849187 0.0142537157299994 0.0175016530965858 0.027662211790883 0.192522587049536 0.117347831064516 0.48102475863915 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0.0222953216374269 0 0 0.00308641975308642 0.0201575138356748 0.0108906525573192 0.0253679377242596 0.0668584776116537 0.17101394130281 0.105841751569217 0.403095902271643
7 219.833333333333 171.083333333333 21.75 22.6666666666667 2.66666666666667 1.25 0.416666666666667 0.424676490373308 0.0359613615117757 0.0424301691175982 0.0269531473887053 0.0240042518731747 0.252748419509356 0.031074705320384 0.162151454905698 0 0 0.000599520383693046 0.000683060109289617 0.00174041907912876 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0.000672043010752688 0.00195462350373535 0.0026011336283873 0.000672043010752688 0.00462962962962963 0.0102972938233396 0.00820183346906397 0.00659586123779394 0.0114620070709525 0.020623746036583 0.0353892330557119 0.0351828128022374 0.11706220707648 0.163613731203468 0.576446474824975 0 0 0 0.00141242937853107 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0.00318547902392114 0.00333333333333333 0.00245098039215686 0 0 0 0 0 0.010526748865191 0 0.00823529411764706 0.0121207478936144 0.0167629456154046 0.0177922784394773 0.0695823127750928 0.0594429228813582 0.14093141948032 0.192249674136646 0.460200384021916
8 65.0833333333333 50.75 5.5 7.58333333333333 0.5 0.75 0 0.390937978255286 0.0489031604598044 0.0726875156302305 0.0689009892960512 0.0375057693442298 0.21092318364321 0.033197801840191 0.136943601530997 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.0109375 0.0317857142857143 0.0072337962962963 0.0123927131336406 0.0223015873015873 0.0363153108465608 0.121105244068954 0.101634797960403 0.567676437958696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0.00297619047619048 0.0148809523809524 0.067775974025974 0.0233134920634921 0.0494227994227994 0.0749777183600713 0.161602898735252 0.12496021135727 0.393780239368475
9 63.5833333333333 50.5833333333333 5.16666666666667 6.41666666666667 0.666666666666667 0.583333333333333 0.166666666666667 0.605920987694656 0.0245773715869043 0.0359895671726403 0.0112103945854157 0.016474287516839 0.148133463344053 0.0264021819442576 0.131291746155234 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0.00333333333333333 0.0100308641975309 0.00468898385565052 0.0168067226890756 0.0206657848324515 0 0.0250437525437525 0.0958928571428571 0.116950130479542 0.70151278460102 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0284090909090909 0 0 0.0242424242424242 0.00297619047619048 0.0335016835016835 0 0.0551316738816739 0.105723905723906 0.127389971139971 0.615049302549303
10 80.6666666666667 63.25 7.58333333333333 8.16666666666667 1 0.583333333333333 0.0833333333333333 0.559073590466732 0.0243956494640357 0.0521053384732202 0.0310852548086358 0.026006548958884 0.133479604061739 0.0290397719808952 0.144814241785858 0 0 0 0 0 0 0 0.00231481481481481 0 0.00416666666666667 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0.00377680311890838 0 0 0.00203252032520325 0.0245351285672481 0.00644502674964516 0.0043859649122807 0.0279684416238825 0.0401032841502526 0.0492687454521771 0.120637529360841 0.0674302622925371 0.640524555555287 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0.00520833333333333 0.0127115261813538 0.0181921906693712 0.0144335511982571 0.0649514499286305 0.128534905341447 0.119981124633762 0.0681931297423184 0.559691937119675
11 137.166666666667 105.083333333333 11.5833333333333 17.25 1.5 1.41666666666667 0.333333333333333 0.477117145946311 0.0323145826547108 0.0498492193254652 0.0426248746061254 0.012007785424949 0.2180378572673 0.0293626833950589 0.13868585138008 0 0.000868055555555556 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0.00231481481481481 0 0.00130208333333333 0.000578703703703704 0.00651041666666667 0.0100668706948188 0.015375548810874 0.00260416666666667 0.0120725182149362 0.0216851662112933 0.0287699658019891 0.096509646715338 0.146872093916683 0.651431754448882 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0.00238095238095238 0 0 0 0 0 0 0 0.00347222222222222 0.00108225108225108 0.00825281803542673 0.0344354256854257 0.0156914643327687 0.0298088545914633 0.0702177792967267 0.128034553060297 0.172763347034952 0.527286833312712
12 40.4166666666667 31.3333333333333 3 5.25 0.416666666666667 0.25 0.166666666666667 0.556931307067806 0.0351242231089319 0.0325958018290561 0.0192207877458717 0.031257893093338 0.163509592831344 0.0375435323729275 0.123816861950725 0.00320512820512821 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0.00555555555555556 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.0396092333592334 0.0124643874643875 0.0173611111111111 0.0130876068376068 0.00641025641025641 0.0459029396529397 0.0404016474668649 0.167947943763161 0.64122587356283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.0649140211640212 0.025 0.00833333333333333 0.00833333333333333 0.106316137566138 0.0572751322751323 0.220800264550265 0.499768518518519
13 33.6666666666667 26.25 2.75 3.33333333333333 0.583333333333333 0.5 0.25 0.655235587001042 0.0282025455837001 0.0129863922627081 0.0261405411907676 0.0196504884004884 0.150621512724342 0.0155523691707902 0.0916105636661622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00778985507246377 0 0 0 0 0 0 0 0 0 0 0.0111111111111111 0 0.00268817204301075 0.0166666666666667 0.0280934343434343 0.00555555555555556 0.0596709323992117 0.0909157316503039 0.694175207824909 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0.0138888888888889 0 0.0555555555555556 0.0486111111111111 0.0138888888888889 0.0798611111111111 0.148200757575758 0.461174242424242
