"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_oe_Proportion" "Transition_eg_Proportion" "Transition_ec_Proportion" "Transition_ee_Proportion" "Transition_oc_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_og_Proportion" "Transition_ch_Proportion" "Transition_jo_Proportion" "Transition_ic_Proportion" "Transition_ei_Proportion" "Transition_gj_Proportion" "Transition_ij_Proportion" "Transition_gc_Proportion" "Transition_hg_Proportion" "Transition_jh_Proportion" "Transition_oo_Proportion" "Transition_ci_Proportion" "Transition_ce_Proportion" "Transition_ih_Proportion" "Transition_hc_Proportion" "Transition_ii_Proportion" "Transition_ji_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_hh_Proportion" "Transition_so_Proportion" "Transition_oi_Proportion" "Transition_ge_Proportion" "Transition_se_Proportion" "Transition_sj_Proportion" "Transition_jc_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_io_Proportion" "Transition_gi_Proportion" "Transition_jj_Proportion" "Transition_ig_Proportion" "Transition_eo_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_eee_Proportion" "Transition_gsh_Proportion" "Transition_sso_Proportion" "Transition_ghs_Proportion" "Transition_see_Proportion" "Transition_jsh_Proportion" "Transition_his_Proportion" "Transition_ois_Proportion" "Transition_cgs_Proportion" "Transition_sse_Proportion" "Transition_hsc_Proportion" "Transition_jsc_Proportion" "Transition_scs_Proportion" "Transition_jjj_Proportion" "Transition_iii_Proportion" "Transition_ssj_Proportion" "Transition_jis_Proportion" "Transition_jos_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_gso_Proportion" "Transition_gsj_Proportion" "Transition_sij_Proportion" "Transition_jsg_Proportion" "Transition_jjs_Proportion" "Transition_igg_Proportion" "Transition_jsj_Proportion" "Transition_jsi_Proportion" "Transition_jhs_Proportion" "Transition_hgs_Proportion" "Transition_sig_Proportion" "Transition_jcs_Proportion" "Transition_sjh_Proportion" "Transition_jgs_Proportion" "Transition_ssi_Proportion" "Transition_oos_Proportion" "Transition_shs_Proportion" "Transition_ces_Proportion" "Transition_sce_Proportion" "Transition_gsc_Proportion" "Transition_sjj_Proportion" "Transition_isi_Proportion" "Transition_igi_Proportion" "Transition_ggg_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_sjs_Proportion" "Transition_shh_Proportion" "Transition_isg_Proportion" "Transition_ssh_Proportion" "Transition_gsi_Proportion" "Transition_gig_Proportion" "Transition_ggs_Proportion" "Transition_csc_Proportion" "Transition_scg_Proportion" "Transition_cgg_Proportion" "Transition_sos_Proportion" "Transition_igs_Proportion" "Transition_ese_Proportion" "Transition_ges_Proportion" "Transition_ses_Proportion" "Transition_gis_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_eos_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 304.083333333333 240.25 33.3333333333333 25.3333333333333 2.91666666666667 2 0.25 0.359933180802429 0.0953372033853927 0.0359291577957766 0.00841015902450053 0.00551984729659694 0.264084549068016 0.0333292172463986 0.19745668538089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.000396825396825397 0.000473484848484848 0.000636132315521628 0.000764525993883792 0.000764525993883792 0.000793650793650794 0.00152905198776758 0.00163483623919404 0.00174764146229338 0.00208333333333333 0.00246274082151945 0.00271946564885496 0.00367063492063492 0.00416666666666667 0.00514410708218048 0.00528619528619529 0.00670551806581218 0.00718314278021502 0.0120470557572735 0.0174523814975471 0.0185613872581313 0.0874963598636024 0.114595247900393 0.187791991369429 0.512781985605595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00112612612612613 0.00187265917602996 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00296884991321823 0.00351935646053293 0.0040227493411014 0.00533803898972438 0.00556595921764461 0.00627436857773936 0.00888595452265864 0.00925925925925926 0.0114537614537615 0.0179591971010786 0.0353999339112773 0.125115714331817 0.134895323824482 0.170661319148294 0.438569052147551
2 333.416666666667 255.333333333333 38.0833333333333 33.6666666666667 3.16666666666667 1.91666666666667 1.25 0.432526644905963 0.102197425503014 0.0245129824324223 0.00435628647416183 0.00421652266179545 0.25319220660951 0.028845077850841 0.150152853562292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000259605399792316 0.000259605399792316 0.000324254215304799 0.000583859615097115 0.000706214689265537 0.000965820089057852 0.00378787878787879 0 0.000706214689265537 0.00106386848039572 0 0.000715307582260372 0 0 0.000681908006434985 0.00129327546642722 0 0.00132293364746063 0.00228647517358518 0 0.00401014582348449 0.000324254215304799 0.0012657676215321 0.000412541254125413 0.00123236804570671 0.00521398423111821 0.00170796705669092 0.00627851292811414 0.0121639748175533 0.00724897745775461 0.0126737420857582 0.0576537299191752 0.0862463478461879 0.177411943323176 0.6111985221323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.00072463768115942 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.00159269323671498 0.00208333333333333 0.00208333333333333 0 0 0.00072463768115942 0.00072463768115942 0.00072463768115942 0.000868055555555556 0.00347222222222222 0 0 0 0.000936329588014981 0.000936329588014981 0 0 0.000868055555555556 0 0 0.00347222222222222 0.00269396551724138 0.00344410333001438 0.00246074879227053 0.00857858630634793 0 0.00157246190353661 0.00264034649341996 0.0143519937343133 0.0842608530741083 0.0931625969974439 0.159814595351835 0.601964157491009
3 480.916666666667 380.25 51 40.75 3.5 4.08333333333333 1.33333333333333 0.440585812134835 0.0371346259312276 0.0203326643631018 0.00920727854689439 0.00496390174843222 0.354981191055318 0.0213966290178303 0.111397897202361 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000262054507337526 0.000262054507337526 0.000262054507337526 0.000387596899224806 0.00108204134366925 0 0 0 0 0 0.000524109014675052 0 0 0 0.00153691427276333 0 0.000387596899224806 0 0 0 0.00174266247379455 0.000694444444444444 0 0.000750750750750751 0 0.00157256888096438 0.000789480667675079 0.00157232704402516 0 0.00238817998280577 0.00314797123371281 0.00713472233989084 0.00511331318154486 0.0134020661365203 0.0105689669347856 0.0196124929166057 0.0255870949292849 0.0790554821750947 0.219583329670784 0.602579724285747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000859106529209622 0.000859106529209622 0.00127226463104326 0.00181159420289855 0.00181159420289855 0.00213675213675214 0.00308641975308642 0 0 0 0 0 0 0 0.000636132315521628 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.00381679389312977 0 0 0 0 0.00127226463104326 0 0 0 0.000636132315521628 0.00171821305841924 0.00389291228985886 0.00373843272221135 0.00127226463104326 0.00127226463104326 0.00676461473217198 0 0.00786357622470816 0.0064559446642157 0.0269868947391825 0.0532082592679788 0.0344898202639484 0.17174306953383 0.658578778207944
4 325.166666666667 244.25 36.1666666666667 36.75 4.08333333333333 3.16666666666667 0.75 0.39866334823875 0.0413960611643208 0.0368407428344005 0.00421614547078397 0.00903286401428238 0.292479501893579 0.0276739066595236 0.18969742972436 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0 0.00031210986267166 0.00034435261707989 0 0 0 0 0 0 0 0 0.000700280112044818 0 0 0.00378787878787879 0 0 0 0.00031210986267166 0 0.0073679625067596 0 0.00065646247975155 0.00138888888888889 0 0 0 0 0 0.00604662593638011 0.00218064686568847 0.0035785066222219 0.00440837408561829 0.010081034300606 0.0253558443262402 0.0257004704900651 0.0471028513162682 0.0875903139581513 0.204946642553239 0.567329582939102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000677506775067751 0.000677506775067751 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000677506775067751 0 0 0 0 0 0 0 0 0 0.00261739795576959 0.00312848716722461 0.00150258928331858 0.00156254563509448 0.00605384067818546 0.00590836234614297 0 0 0.0203192758459892 0.0289471810457279 0.0775842683655563 0.0900795588049978 0.183086047969848 0.574400146799164
5 195.583333333333 145.333333333333 26.5833333333333 19.5833333333333 2.75 1.08333333333333 0.25 0.488773108250876 0.0690641722832818 0.023850557957044 0.00645607556604832 0.00177727887101731 0.234806883712693 0.0265272569796783 0.148744666379362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000410509031198686 0 0 0 0.00103239957846237 0 0.00156886024423338 0 0 0 0.00115740740740741 0 0.00131630613264796 0.00127391661312201 0 0 0 0.00115740740740741 0 0.000452898550724638 0.00677624977193943 0.00486172408023982 0.00639883431300223 0.0054602225177094 0.0152708359293033 0.0178801968063587 0.0747889935928554 0.108047138555031 0.15940256755836 0.592743531909997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0.00146198830409357 0.00146198830409357 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0.00102880658436214 0 0 0.00308641975308642 0 0.00695200919874122 0.0191523652995961 0.0382892029456357 0.114470699674518 0.105225318611112 0.0898279308474527 0.608514725076043
6 278.083333333333 213.333333333333 34.9166666666667 24.3333333333333 3.41666666666667 1.66666666666667 0.416666666666667 0.521636055943817 0.0501511880678425 0.0259270973300288 0.0130657724369095 0.00424907669393597 0.24635157069507 0.0218884231889596 0.116730815643436 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0.000968992248062015 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0.000348675034867503 0.000771604938271605 0 0 0 0 0.000968992248062015 0 0 0.000968992248062015 0.000380517503805175 0 0 0.00146198830409357 0.00138888888888889 0.000380517503805175 0.000380517503805175 0 0 0.00385802469135802 0.00153926330708266 0.00770559215046108 0.00550101709516447 0.0117166057113178 0.0107378786325812 0.0144454785021074 0.0415496806441709 0.0861963055887641 0.193713269275797 0.611467815263423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0 0.000980392156862745 0 0 0 0 0 0 0 0.000980392156862745 0 0 0 0 0 0 0.00193824656299301 0 0 0 0 0 0 0.00196078431372549 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0.00238095238095238 0 0 0 0 0 0.0139880952380952 0 0 0.00294117647058824 0 0.0122098264593194 0 0.0053579968572795 0.0030411877394636 0.0254200649982449 0.0734313538984419 0.0623709036460113 0.110512182164708 0.677361923883655
7 424.333333333333 325.166666666667 45.25 43.5833333333333 5.58333333333333 4 0.75 0.443865085870965 0.0387246688891161 0.0311381355941721 0.00938811660278494 0.00513057321671712 0.321068049260587 0.0177750645663277 0.132910305999329 0 0 0 0 0 0 0 0 0 0.000262054507337526 0 0 0 0 0 0 0 0.000262054507337526 0 0 0 0 0 0.000790349696251197 0.0013622274825105 0 0 0.00183574879227053 0 0.000741078002092455 0 0.000262054507337526 0.000423011844331641 0.0025100519143848 0.000266240681576145 0.000318066157760814 0.00106568558012644 0 0.00106211377680843 0.00053248136315229 0.000636132315521628 0 0.00106837606837607 0.00392722917086604 0.0103408434609616 0.00599994928419198 0.00935921055457971 0.012733974556069 0.0190965089392555 0.0200593151495938 0.0845648901689631 0.208118765851088 0.612401585667256 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0.000631313131313131 0.00111111111111111 0 0 0 0.000631313131313131 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.00118686868686869 0 0.000778816199376947 0 0 0 0.000555555555555556 0 0 0 0 0 0 0 0 0 0.000631313131313131 0 0.00135683760683761 0 0 0 0.000778816199376947 0.00155763239875389 0 0 0 0.000778816199376947 0.00277777777777778 0 0.00189393939393939 0.00196568488624563 0.000631313131313131 0.00498757040813116 0 0.0122192887500654 0.00885561219673369 0.0236520159351736 0.0601478596769285 0.0306005717800172 0.215490815856999 0.623350038081532
8 320.083333333333 231.583333333333 39.0833333333333 37.8333333333333 5.75 5.08333333333333 0.75 0.452396514324976 0.0395713564677425 0.0191736898303627 0.00737548945655861 0.00581876115802039 0.278500744871436 0.0273021522905457 0.169861291600358 0 0 0 0 0 0 0 0 0.000354609929078014 0.0005175983436853 0 0 0 0 0 0.00045045045045045 0 0.000354609929078014 0 0 0 0 0 0.00029655990510083 0.000633941821430115 0 0 0.000872208272763314 0 0 0 0 0.000337381916329285 0 0.00045045045045045 0.000709219858156028 0.00234859350200896 0 0.000633941821430115 0.000337381916329285 0 0 0.00142438622821211 0.00245609191537911 0.00769482584583085 0.00662213871645042 0.0107533686111235 0.0202843293826184 0.0112242129253707 0.0204010132353523 0.107096592622406 0.200569928479998 0.603176163920969 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.00163461538461538 0 0 0 0 0 0 0.000718390804597701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00235300618921309 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0.00189209972478549 0 0 0 0 0 0 0 0 0.000801282051282051 0.000586854460093897 0.000586854460093897 0.000718390804597701 0.00455245974112565 0.000586854460093897 0.0193382948426595 0 0.0153029444306393 0.00893308600469203 0.0171782919011133 0.116670984646799 0.0314471750621285 0.162149659516429 0.612590066056351
9 255.333333333333 194.583333333333 29 26.5833333333333 3.25 1.41666666666667 0.5 0.571110921203254 0.0344821648846734 0.0268298814262288 0.00681823320779501 0.00416952854868022 0.213378903021481 0.0177633584862158 0.125447009221672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0 0 0.000595238095238095 0 0 0.000378787878787879 0 0 0.000974025974025974 0.000378787878787879 0 0 0.00124123292727944 0 0.000631313131313131 0 0 0 0.00156926406926407 0.00696839296640687 0.0040114825442341 0.00353266577426784 0.0103989439024557 0.0089466387085025 0.0195348943975551 0.0494761890071958 0.081042207805454 0.150843351448061 0.658881345395933 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0.00163398692810458 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00620039682539683 0 0 0 0.000992063492063492 0 0 0 0.00163398692810458 0 0 0 0.0118853096794273 0.00163398692810458 0.0118853096794273 0.000925925925925926 0 0.00245098039215686 0.00141242937853107 0.0302250655441084 0.0703122279985441 0.0919946509677317 0.114581421080673 0.647330297467386
10 369.583333333333 270.75 48.3333333333333 41 4.83333333333333 3.91666666666667 0.75 0.513293184840844 0.0558599550107694 0.0337853557517252 0.0143036325410924 0.00828437252132449 0.232979965319081 0.0194124928745515 0.122081041140612 0 0 0 0 0 0.000217580504786771 0.000330687830687831 0.000350140056022409 0 0.00120772946859903 0.000217580504786771 0.000330687830687831 0 0 0 0 0 0 0 0.000350140056022409 0 0 0 0.000373692077727952 0.00636102656247176 0.000350140056022409 0 0 0.000217580504786771 0.000350140056022409 0.000350140056022409 0 0.000723832133750361 0.000833961242385325 0 0.00105167773905248 0.00102643359208827 0 0 0 0.000217580504786771 0 0.000350140056022409 0.00334711343196983 0.00954878392961264 0.00641299290656714 0.0170055640010995 0.0158955800502363 0.00824855116880696 0.0200457894392312 0.0597976753140302 0.19430215239093 0.650184906534784 0 0 0 0 0 0.000505050505050505 0.000737463126843658 0.000925925925925926 0.000925925925925926 0.000925925925925926 0 0 0.000505050505050505 0 0 0 0 0.000505050505050505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0 0 0 0 0 0 0.000915750915750916 0 0.00101010101010101 0 0.000505050505050505 0 0.000505050505050505 0.000915750915750916 0 0.00244107744107744 0 0.00101010101010101 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00202020202020202 0.00599747474747475 0.00597643097643098 0.00498737373737374 0.01625666000666 0 0.00915497154435208 0.0176222171797393 0.0139969011650428 0.0500300715344963 0.0370699854881271 0.180499385488324 0.642624074958146
