"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_jc_Proportion" "Transition_ie_Proportion" "Transition_io_Proportion" "Transition_gc_Proportion" "Transition_ji_Proportion" "Transition_ce_Proportion" "Transition_ih_Proportion" "Transition_jh_Proportion" "Transition_jj_Proportion" "Transition_ic_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_hi_Proportion" "Transition_eg_Proportion" "Transition_je_Proportion" "Transition_oo_Proportion" "Transition_ec_Proportion" "Transition_ei_Proportion" "Transition_cc_Proportion" "Transition_oe_Proportion" "Transition_jg_Proportion" "Transition_ge_Proportion" "Transition_og_Proportion" "Transition_ee_Proportion" "Transition_ij_Proportion" "Transition_gj_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sce_Proportion" "Transition_csc_Proportion" "Transition_ces_Proportion" "Transition_jjs_Proportion" "Transition_ssh_Proportion" "Transition_csi_Proportion" "Transition_hsg_Proportion" "Transition_cso_Proportion" "Transition_gce_Proportion" "Transition_sos_Proportion" "Transition_hsi_Proportion" "Transition_cce_Proportion" "Transition_sih_Proportion" "Transition_ihs_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_ooo_Proportion" "Transition_ics_Proportion" "Transition_shh_Proportion" "Transition_shs_Proportion" "Transition_gsh_Proportion" "Transition_scs_Proportion" "Transition_jsi_Proportion" "Transition_ghi_Proportion" "Transition_hig_Proportion" "Transition_igi_Proportion" "Transition_egs_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_iis_Proportion" "Transition_ggi_Proportion" "Transition_gei_Proportion" "Transition_gig_Proportion" "Transition_sgi_Proportion" "Transition_jgs_Proportion" "Transition_sjs_Proportion" "Transition_gsi_Proportion" "Transition_ssc_Proportion" "Transition_iii_Proportion" "Transition_igs_Proportion" "Transition_csg_Proportion" "Transition_ges_Proportion" "Transition_ige_Proportion" "Transition_isi_Proportion" "Transition_sig_Proportion" "Transition_ogs_Proportion" "Transition_gis_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_esg_Proportion" "Transition_gse_Proportion" "Transition_ses_Proportion" "Transition_ggg_Proportion" "Transition_isg_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 472.666666666667 395.25 37.75 33.8333333333333 3.25 2.16666666666667 0.416666666666667 0.332752465488352 0.0697199656609527 0.0452200107375985 0.00640215730111591 0.00733445906607918 0.299853504186094 0.0382778496494335 0.200439587910373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0.000511247443762781 0.000786163522012579 0.000925925925925926 0.000931426588273722 0.000957854406130268 0.00104543547795082 0.00133206761391475 0.00146011396011396 0.00169942557298466 0.00186075498575499 0.00304755953340859 0.00332098552073544 0.00400541393953886 0.00552456108555128 0.0086190510535672 0.012380172225408 0.0130693639328772 0.0296622566960574 0.0299399721778043 0.0306682472778337 0.142699542160877 0.194317780100014 0.510834037773862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.00117370892018779 0.00117370892018779 0.00132275132275132 0.00132275132275132 0.00216577241225129 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00233614951356887 0.00315783590431478 0.00332821300563236 0.00456706706706707 0.00666214995483288 0.00753696721438657 0.00788620612564274 0.00796540321188209 0.00891489401120603 0.0306241460471444 0.0630782772689503 0.0636923471965826 0.158537323041286 0.206742979084091 0.407086337730272
2 366.333333333333 294.583333333333 34.5 30.6666666666667 2.75 2.91666666666667 0.916666666666667 0.365425300543418 0.0858671181486511 0.0468534431305607 0.00530578168222178 0.00908675218989701 0.268920412946848 0.0379574003973959 0.180583790961007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000324254215304799 0.000389408099688474 0.000574712643678161 0.00219298245614035 0.00258239055582882 0.000389408099688474 0 0 0 0 0 0.00392629262433374 0.00194552529182879 0 0.00953102873179144 0.00460865589689355 0.00124378109452736 0.00312995944277905 0.00458899775646798 0.00299395210688138 0.009405237770264 0.00581000906637205 0.0211692896087018 0.0193113069229857 0.0246217520205241 0.0325492877873074 0.123038115608902 0.190130437147676 0.535543215051435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00122549019607843 0.00127226463104326 0.00138888888888889 0.00190839694656489 0.00266865264072488 0.00275237127371274 0 0 0.000636132315521628 0.000636132315521628 0 0.00228852479364488 0 0.00127226463104326 0.00315301229935376 0 0 0 0.00378914461487539 0.000636132315521628 0.00795203624137973 0.00416927246195539 0.00237224342663274 0.00554653531492657 0.00533730528144976 0.00464689941017057 0.0167273774049264 0.0106678332070362 0.0633248084610392 0.0546682353461618 0.139526195109397 0.21664451565133 0.43907190169257
3 401.166666666667 326.166666666667 35.3333333333333 30.0833333333333 5.16666666666667 3.33333333333333 1.08333333333333 0.366102327516785 0.0628267179295971 0.0408839832371916 0.0129422704961614 0.00805014503837824 0.35329237808902 0.0241666858577954 0.131735491835072 0 0 0 0 0 0 0 0 0 0 0 0 0.000368731563421829 0.000368731563421829 0.000445632798573975 0.000445632798573975 0.000445632798573975 0 0 0 0 0 0 0 0 0.00109649122807018 0.000493096646942801 0 0.000445632798573975 0.00298279457695388 0.00199746028741344 0 0.00248089584535829 0 0.000793650793650794 0.0013946320744678 0.0118081710376142 0.0207159117187363 0.00777310781270923 0.0217885084596924 0.0187583345715674 0.0211223092535843 0.0168712398553398 0.0753494730030368 0.246029824177474 0.546024104336249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0.000771604938271605 0.000886524822695035 0.000886524822695035 0.000886524822695035 0.000886524822695035 0 0 0 0 0 0 0 0.00165812976096664 0 0.000886524822695035 0.00142450142450142 0 0 0 0.00148809523809524 0.00177304964539007 0 0.000886524822695035 0.000712250712250712 0.000886524822695035 0.00901539613564595 0 0 0 0.00545680022630377 0.00248530035764078 0.00220034595034595 0.0141328366231737 0.00528676570343237 0.00913676223959912 0.00581671415004748 0.0155938604379578 0.0162909778746697 0.0169111065743057 0.0289156328005336 0.027058273477763 0.0814879776553188 0.247371416389465 0.498034922987184
4 280.583333333333 221.25 26.5833333333333 27.0833333333333 3.33333333333333 1.83333333333333 0.5 0.36103645352192 0.0653931178994831 0.0703620088083872 0.0165381702851505 0.0118111858029942 0.258607333909588 0.0402341372009071 0.17601759257157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00256410256410256 0 0.000555555555555556 0 0 0.000555555555555556 0 0.000917751508803432 0.000555555555555556 0 0.00151263392908191 0.00144517766914098 0.00121951219512195 0.00132716049382716 0.00394388454100861 0.0136719523304132 0.00339864054378249 0.00614334280703236 0.00723931856369883 0.0357255542032169 0.0199695523951231 0.0373936896977747 0.106800678850017 0.170361393345172 0.584698987696017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0.00208333333333333 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0.00117370892018779 0 0 0 0 0 0.00126262626262626 0 0 0.00126262626262626 0.00126262626262626 0 0 0 0 0 0.00483405483405483 0.00200803212851406 0.00325704225352113 0.00200803212851406 0 0.0202922077922078 0.00460858585858586 0.0293147775542142 0.0788034101805701 0.0288476516405474 0.115310302655897 0.19199231160716 0.503778382304044
5 127.833333333333 104.083333333333 10.9166666666667 10.5 1.25 0.916666666666667 0.166666666666667 0.392353574725543 0.0600396745858878 0.0461370437254805 0.0147698817043734 0.0104178050362809 0.254996511762533 0.0379626788428154 0.183322829617086 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.00219298245614035 0.00308641975308642 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0.0058641975308642 0.00402155887230514 0.0142628075565257 0 0.00308641975308642 0.00270576939862093 0 0.0113990977014569 0 0.00926187930998344 0.00312931204415533 0.0114611605819464 0.0625196783127419 0.0294552324135188 0.11187327274855 0.125463207602478 0.592064710789205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0.00520833333333333 0.00694444444444444 0.00757575757575758 0 0.00757575757575758 0 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0.0171840354767184 0 0.0155741869918699 0.0599870657797487 0.109064897670081 0.153905001292512 0.0588305521574025 0.521572300789342
6 146.5 118.583333333333 11.9166666666667 14.1666666666667 0.75 0.833333333333333 0.25 0.369758728249041 0.064653017738278 0.0584763041378501 0.037622166931842 0.0107880571311398 0.206077157194404 0.0436395369984631 0.208985031618982 0 0 0 0 0 0 0.00170068027210884 0.00340136054421769 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.0119047619047619 0.0035968660968661 0 0 0 0 0 0 0 0 0 0.00136612021857923 0 0.000608272506082725 0 0.00871920918844798 0.00544075291026094 0 0.0166517799327118 0.00333453496755588 0.0298747206783774 0.048279253516774 0.0416523041006669 0.155548956046302 0.11856022466024 0.464326188850604 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0.00138888888888889 0 0.0212962962962963 0 0 0.00724206349206349 0.00462962962962963 0.0227410600255428 0.108757474401491 0.0940107010974151 0.082869704763721 0.0693290726252187 0.389586960631585
7 341.75 286.333333333333 26.75 24.25 2.58333333333333 1.41666666666667 0.416666666666667 0.348915298501754 0.0755972758372517 0.0516080010168552 0.022115295125034 0.00570327734435559 0.324791051489508 0.0208648918601615 0.15040490882508 0 0 0 0 0 0 0.000786163522012579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0 0.000651041666666667 0 0 0 0.00195987244220037 0 0 0 0.00352282419253161 0.000825082508250825 0 0.00287562335795129 0.00221783424908425 0.0222036138244153 0.00172249311002756 0.00410207590598878 0.00606307622371298 0.00978650243963091 0.0344502130788591 0.031021955631915 0.103742138662094 0.209270221149804 0.563862938446839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00529233870967742 0 0 0 0.00260416666666667 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0.0035987404408457 0 0.00213675213675214 0 0 0.028013900720243 0.00185185185185185 0.00634815550406414 0.0608237230064612 0.0802327508834775 0.111074848897985 0.226380116337687 0.470180666540195
8 257.416666666667 208.916666666667 24.9166666666667 20.25 1.33333333333333 1.66666666666667 0.333333333333333 0.309031362286029 0.0741023438592638 0.0640384990890362 0.0177521761518884 0.00885943096406318 0.287751588093955 0.0329256444800988 0.205538955075665 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0 0 0 0 0 0 0.000957854406130268 0 0 0.00425446958474172 0 0 0 0.00690622564488263 0.0166142343261177 0 0.00504376597559447 0.00254286544609125 0.0172186508414562 0.0347448830151603 0.0429241038360675 0.124013129292942 0.187754526059153 0.555171379817863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0116263578602173 0 0.00277777777777778 0 0 0.0168738711099503 0 0.0180492918136729 0.0894112541155122 0.0627453261887224 0.113992936638371 0.149439504526163 0.535083679969613
9 102.916666666667 82.4166666666667 8.16666666666667 11.1666666666667 0.75 0.25 0.166666666666667 0.488147362312973 0.0684940025845023 0.034282043504517 0.0131720236850211 0.0137111782009612 0.224033609045946 0.0261865927318443 0.131973187934235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.0014367816091954 0.0153256704980843 0 0 0.0014367816091954 0.0028735632183908 0.0106034482758621 0.00925925925925926 0.00333333333333333 0.00473743520396664 0.00630857648099027 0.035452510358697 0.021837238432066 0.0893601889078029 0.126662325042943 0.643595109992436 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0.0277777777777778 0.0266097714014381 0.00347222222222222 0.00949667616334283 0.0503887701804369 0.0826596628679962 0.092143196309863 0.126087030253697 0.575192053317053
10 174.666666666667 138.916666666667 15.5 17 1.33333333333333 1.66666666666667 0.25 0.465370456248188 0.0771324088650756 0.044284427934791 0.039048135808454 0.0252580939783321 0.161336815503591 0.0324150248083111 0.155154636853257 0 0 0 0.00128205128205128 0.00757575757575758 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.00072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00144927536231884 0 0 0 0.00317599067599068 0.00348124098124098 0.00535929951690821 0 0.00531919435904943 0.00347572951739618 0.0206606413581051 0.0427198874662643 0.0244644747362139 0.0974587627214439 0.0933514150905455 0.598592550766464 0 0 0 0 0 0 0 0.00181159420289855 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0.00120772946859903 0 0.00134408602150538 0 0 0.00778985507246377 0.00134408602150538 0.0129822063552779 0.0490475406236276 0.0820730780612735 0.119704987777101 0.0865324686006079 0.52884002090407
