"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_ij_Proportion" "Transition_eg_Proportion" "Transition_hh_Proportion" "Transition_cj_Proportion" "Transition_og_Proportion" "Transition_cc_Proportion" "Transition_ho_Proportion" "Transition_ec_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_ge_Proportion" "Transition_eh_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_ei_Proportion" "Transition_jc_Proportion" "Transition_hg_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_jo_Proportion" "Transition_ch_Proportion" "Transition_jh_Proportion" "Transition_hi_Proportion" "Transition_cg_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_sj_Proportion" "Transition_sg_Proportion" "Transition_ji_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_igi_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_gso_Proportion" "Transition_ise_Proportion" "Transition_gos_Proportion" "Transition_ish_Proportion" "Transition_osc_Proportion" "Transition_egs_Proportion" "Transition_sis_Proportion" "Transition_esh_Proportion" "Transition_shh_Proportion" "Transition_his_Proportion" "Transition_sgg_Proportion" "Transition_ccs_Proportion" "Transition_ges_Proportion" "Transition_hos_Proportion" "Transition_csc_Proportion" "Transition_ggg_Proportion" "Transition_scs_Proportion" "Transition_ees_Proportion" "Transition_gei_Proportion" "Transition_eii_Proportion" "Transition_ese_Proportion" "Transition_sge_Proportion" "Transition_isg_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_shs_Proportion" "Transition_ssg_Proportion" "Transition_jsh_Proportion" "Transition_sos_Proportion" "Transition_ess_Proportion" "Transition_sjs_Proportion" "Transition_iii_Proportion" "Transition_gig_Proportion" "Transition_iis_Proportion" "Transition_igs_Proportion" "Transition_sgs_Proportion" "Transition_ssi_Proportion" "Transition_ssj_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 113.916666666667 94.5833333333333 11.3333333333333 6.08333333333333 1 0.666666666666667 0.25 0.422408103543952 0.0426719994768545 0.110777616209695 0.0629384195810494 0.0250959086537475 0.139873591064341 0.0392576438678025 0.156976717602559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000992063492063492 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00250721500721501 0.00426136363636364 0.00446428571428571 0.00555555555555556 0.00555555555555556 0.00694444444444444 0.00925925925925926 0.0313732563732564 0.0317890442890443 0.0492409211159211 0.104507298257298 0.123104557479557 0.156927331927332 0.455815827690828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0.00641025641025641 0.0208333333333333 0.0225 0.0644300144300144 0.0661646686646687 0.0994766344766345 0.106568709068709 0.183848096348096 0.344768287268287
2 66.1666666666667 53.8333333333333 6.25 4.66666666666667 0.833333333333333 0.416666666666667 0.166666666666667 0.461143139966034 0.0479149520522443 0.116001467185473 0.0642187221561821 0.0173433048433048 0.0915904249576672 0.0442373078892771 0.157550680949817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0.00163398692810458 0.00595238095238095 0 0 0 0 0 0.00833333333333333 0 0.000816993464052288 0.00284951378925554 0 0.000816993464052288 0.00319794584500467 0.000816993464052288 0.00238095238095238 0.0885339094987588 0.0673835092056039 0.142611035545038 0.0606638220698479 0.0577425722691146 0.47129873752901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00416666666666667 0 0 0 0 0.233275058275058 0.147698135198135 0.0537587412587413 0.0601981351981352 0.0495629370629371 0.358537296037296
3 71.9166666666667 59.6666666666667 6.5 4.66666666666667 0.583333333333333 0.25 0.25 0.444518431708496 0.0811970897010013 0.107958808144124 0.0515620826209961 0.0214147870362115 0.122005585160137 0.0350177824163483 0.136325433212686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00273224043715847 0.00490196078431373 0.00833333333333333 0.0104166666666667 0 0 0 0.0180327868852459 0 0 0 0 0.00833333333333333 0.0398823803811809 0.00101626016260163 0 0.00101626016260163 0 0.00238238038118086 0.00101626016260163 0.0325 0.00746368119418899 0.0807337947174072 0.0574083699853392 0.0569889135848928 0.0493244140252396 0.11872970746342 0.498787256339294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00416666666666667 0.00416666666666667 0.113636363636364 0 0 0 0 0 0.00252525252525253 0 0 0.0166666666666667 0.00505050505050505 0.130555555555556 0.12209595959596 0.0242424242424242 0.071969696969697 0.126388888888889 0.376010101010101
4 55.9166666666667 44.4166666666667 6.16666666666667 4.08333333333333 0.916666666666667 0.166666666666667 0.166666666666667 0.39388011681075 0.0651143147355155 0.103526149135979 0.0835069641012656 0.0220372776713155 0.136372478735274 0.0363907592690739 0.159171939540827 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00757575757575758 0.00757575757575758 0 0.0028735632183908 0 0 0 0.00808189655172414 0 0 0 0 0.000896057347670251 0 0.0439742250087078 0.00610439068100358 0 0.00753924113212211 0 0 0 0 0.036519779272143 0.0426057060755337 0.0374586732171549 0.0746868012718958 0.0445648082605813 0.110360863722237 0.477228456100814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.00595238095238095 0.0104166666666667 0.0104166666666667 0.0166666666666667 0.00595238095238095 0 0 0.105952380952381 0 0 0 0 0 0.00476190476190476 0 0 0 0.04375 0.0337301587301587 0.0342261904761905 0.0952380952380952 0.0829365079365079 0.0683862433862434 0.285185185185185
5 52.1666666666667 44.5833333333333 3.75 2.83333333333333 0.416666666666667 0.333333333333333 0.25 0.558548023768599 0.0933919760521678 0.0742911568093109 0.0527353279142348 0.0197701919922162 0.100804380233068 0.0133232841417558 0.0871356590886472 0 0 0 0 0 0 0 0 0.00146198830409357 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0.0113425925925926 0 0 0 0 0 0 0 0 0.0035453216374269 0.00925925925925926 0.00902777777777778 0.00701754385964912 0.0043859649122807 0.00208333333333333 0.103009259259259 0.0267543859649123 0.0812987329434698 0.0394127680311891 0.153216374269006 0.367629142300195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0.00297619047619048 0.0078781512605042 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0.0202991452991453 0 0 0 0.00297619047619048 0 0.102124183006536 0.0394491129785247 0.0108543417366947 0.0386321195144725 0.0886168569992099 0.172363176039647
6 50.4166666666667 42.75 4.16666666666667 2.58333333333333 0.666666666666667 0.166666666666667 0.0833333333333333 0.557382728010103 0.103325100535431 0.0506285442013738 0.0298255904371789 0.0171611009413703 0.111014947540995 0.0397349037117569 0.090927084621792 0 0 0 0 0 0.000992063492063492 0.000992063492063492 0.00268817204301075 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.000992063492063492 0 0.0218253968253968 0 0.000992063492063492 0.000992063492063492 0.00268817204301075 0.0297619047619048 0 0.000992063492063492 0.0185611879160266 0.0637992831541219 0.0427867383512545 0.066884280593958 0.033531746031746 0.121793394777266 0.48357654889913 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0.00694444444444444 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0.0416666666666667 0 0 0 0.00252525252525253 0.00252525252525253 0 0 0 0 0.00505050505050505 0.0902777777777778 0.123106060606061 0.0928030303030303 0.00505050505050505 0.220959595959596 0.109848484848485
7 39.1666666666667 32.5833333333333 4 1.91666666666667 0.333333333333333 0.25 0.0833333333333333 0.453855957814286 0.102363624941731 0.066638012575559 0.0635993929641273 0.0145840964590965 0.149379618200287 0.0242555981732811 0.125323698871632 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0.00695652173913044 0.00203252032520325 0.02 0.00333333333333333 0.00833333333333333 0.00333333333333333 0 0.00666666666666667 0.0325866030399434 0.0627642276422764 0.03795245669848 0.107219276540591 0.141789501590668 0.0789996465182043 0.397452869093908 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00757575757575758 0.00757575757575758 0 0.00925925925925926 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0.0925925925925926 0.0961538461538461 0.0268065268065268 0.0367132867132867 0.0400802900802901 0.399054649054649
8 45.6666666666667 38.8333333333333 3.75 2.25 0.5 0.166666666666667 0.166666666666667 0.479184736652678 0.0609862363600655 0.0479035915100255 0.0423977247954166 0.00778568575178745 0.229736611024245 0.01686571169399 0.115139702211792 0 0 0.00198412698412698 0.00694444444444444 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0.00694444444444444 0.0138888888888889 0 0.00198412698412698 0.00416666666666667 0.00615079365079365 0.00347222222222222 0.0471230158730159 0.0447420634920635 0.0817791005291005 0.0558862433862434 0.0695436507936508 0.465112433862434 0 0 0 0 0 0 0 0.0138888888888889 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0866402116402116 0.0702614379084967 0.0396241830065359 0.0555555555555556 0.0782135076252723 0.366001400560224
9 63.3333333333333 53.75 4.33333333333333 4.41666666666667 0.416666666666667 0.0833333333333333 0.25 0.425568390611868 0.0507063153685868 0.0522296509235396 0.0394023027023312 0.0213587166471102 0.202752844785447 0.0224616624730371 0.102186783154746 0 0.00277777777777778 0 0.00555555555555556 0 0 0 0 0 0 0 0.00555555555555556 0 0.00126262626262626 0.00297619047619048 0 0 0.0166666666666667 0 0 0.00617283950617284 0 0 0 0 0 0 0.00949667616334283 0.00277777777777778 0 0.00434904601571268 0.00308641975308642 0.00126262626262626 0 0.00378787878787879 0.00934343434343434 0.0818742985409652 0.0154060445727112 0.0439022397355731 0.052166506333173 0.106371098037765 0.458542075208742 0 0 0 0 0 0.00694444444444444 0.00757575757575758 0 0.0104166666666667 0 0 0 0 0.0028735632183908 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0.0028735632183908 0.00862068965517241 0.172413793103448 0.0155651340996169 0.0155651340996169 0.0874695228143504 0.0902933273622929 0.311736515400309
10 43.5833333333333 35 3.91666666666667 3.83333333333333 0.5 0.25 0.0833333333333333 0.474013211123305 0.120604289843931 0.0561853115870973 0.0250327106906954 0.0029348544973545 0.123733366375025 0.0175030637254902 0.179993192157101 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0.00108225108225108 0 0 0 0.00108225108225108 0 0.00616039426523297 0 0 0 0 0 0 0.00108225108225108 0.00108225108225108 0.00108225108225108 0 0 0 0.00108225108225108 0.0216901154401154 0.05072000132484 0.0292309616906391 0.123571455426294 0.0171734627379789 0.097772277006148 0.477048936726356 0 0 0 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.110243055555556 0.116119123931624 0.194778311965812 0.0185630341880342 0.093349358974359 0.203058226495726
