"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_sj_Proportion" "Transition_eg_Proportion" "Transition_ji_Proportion" "Transition_jo_Proportion" "Transition_jj_Proportion" "Transition_og_Proportion" "Transition_ic_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_hh_Proportion" "Transition_sh_Proportion" "Transition_oj_Proportion" "Transition_gc_Proportion" "Transition_jg_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_oo_Proportion" "Transition_ie_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_jc_Proportion" "Transition_ii_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gis_Proportion" "Transition_ogs_Proportion" "Transition_shs_Proportion" "Transition_jos_Proportion" "Transition_hsh_Proportion" "Transition_shh_Proportion" "Transition_iig_Proportion" "Transition_gig_Proportion" "Transition_osg_Proportion" "Transition_igg_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_scs_Proportion" "Transition_igi_Proportion" "Transition_ssg_Proportion" "Transition_sig_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_sgs_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_oss_Proportion" "Transition_jcs_Proportion" "Transition_iii_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_ess_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 65 49.8333333333333 6.66666666666667 6.25 1.08333333333333 0.75 0.416666666666667 0.608212611734733 0.0276607252466349 0.0303894697979679 0.038887846069149 0.00956961607092352 0.186837627183301 0.021437998640586 0.0770041052567045 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.0016025641025641 0.00320512820512821 0.00373134328358209 0.00421997157071784 0.00582089552238806 0.00641025641025641 0.00892857142857143 0.0100633197648123 0.0117957291464754 0.0166666666666667 0.0324211702476628 0.0406114573651887 0.0452414500921964 0.133062432117886 0.671243919697794 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00617283950617284 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.0119047619047619 0.0166666666666667 0.0194444444444444 0.0233245149911817 0.0270061728395062 0.0291666666666667 0.0641263057929725 0.152370777370777 0.603211911545245
2 36.4166666666667 26.4166666666667 4.83333333333333 3.75 0.5 0.666666666666667 0.166666666666667 0.601067915725938 0.00918788008159989 0.0400404355495889 0.0317807982694837 0.013526275120478 0.151949833843427 0.0134907736547706 0.0556227544213814 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0.0028735632183908 0 0 0.0918655255705481 0.00921934865900383 0.0014367816091954 0.00595238095238095 0.0014367816091954 0.00347222222222222 0.0014367816091954 0.0116995073891626 0.00887725779967159 0.0353550903119869 0.0359024356869184 0.0899639465981295 0.527889329144951 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00396825396825397 0.00694444444444444 0 0 0 0 0.00396825396825397 0.00396825396825397 0.00396825396825397 0 0.00396825396825397 0.00793650793650794 0.0468253968253968 0 0 0.00396825396825397 0.0123015873015873 0.0138888888888889 0.00396825396825397 0.0162698412698413 0.0742063492063492 0.539880952380952
3 50 37.3333333333333 6.16666666666667 4.83333333333333 1.33333333333333 0.166666666666667 0.166666666666667 0.578617462625945 0.0297620262109974 0.0436278256548991 0.0713782176682686 0.00997067052460475 0.141917217844562 0.011710163220985 0.113016416249738 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0.00120772946859903 0.00163398692810458 0.0036231884057971 0 0 0.0183645922136971 0.00120772946859903 0 0 0.0036231884057971 0.0155228758169935 0 0.00284171639670361 0.0298251052726756 0.0453124596347103 0.0382792115528688 0.0898208426980805 0.747103386809269 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0 0 0 0 0 0.00308641975308642 0.0043859649122807 0 0 0 0.0043859649122807 0.00308641975308642 0.00308641975308642 0.0259259259259259 0 0.00308641975308642 0.0043859649122807 0.0586176088369071 0.0460526315789474 0 0.0334632878492528 0.137849252761533 0.663328460038986
4 34.6666666666667 25.1666666666667 3 5 0.5 0.583333333333333 0.416666666666667 0.613881126726821 0.0276432470358419 0.0341697718632703 0.0512331195794878 0.0175047089133776 0.161180127449035 0.0254721238842366 0.0689157745479295 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0.00245098039215686 0 0 0.0101851851851852 0.0101851851851852 0.00245098039215686 0 0 0.00925925925925926 0.00320512820512821 0.0210700519524049 0.0345776772247361 0.0648197662903545 0.0368241235888295 0.0897913717331287 0.705921031332216 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.0166666666666667 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0.0287114845938375 0 0 0.00555555555555556 0.0986928104575163 0.0238095238095238 0 0.0493464052287582 0.0901387827858416 0.670272048213225
5 33.8333333333333 25.5833333333333 3 4.08333333333333 0.666666666666667 0.333333333333333 0.0833333333333333 0.576429541905691 0.0345614238066646 0.0389032786449651 0.0364381798624059 0.0160261868587808 0.124275601902002 0.0171350384237487 0.0728974152624088 0 0 0 0 0.00277777777777778 0.00277777777777778 0.00490196078431373 0.00490196078431373 0.00833333333333333 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0.0114676173499703 0.00595238095238095 0 0 0 0.00934343434343434 0.00490196078431373 0.0546451914098973 0.025036075036075 0.0576983065953654 0.0131313131313131 0.0410181117901706 0.614223909260674 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0.0304232804232804 0 0 0.0152116402116402 0.0304232804232804 0.0211640211640212 0 0.0360449735449735 0.0590277777777778 0.635085978835979
6 32.3333333333333 22.6666666666667 3.08333333333333 5 0.5 0.833333333333333 0.25 0.690009872158848 0.00766394099727433 0.0316919320556462 0.0307737783935901 0.00931425169230047 0.114230354530209 0.0244605094385796 0.0918553607335521 0 0 0.00347222222222222 0.00347222222222222 0 0.00347222222222222 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00347222222222222 0 0 0 0.0145833333333333 0 0.0175925925925926 0.00694444444444444 0.034775641025641 0.0152006172839506 0.0720500949667616 0.816322412155746 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0128205128205128 0 0 0.0208333333333333 0 0.0321428571428571 0 0.0300937766410912 0.0717783601735009 0.815664493222038
7 30.4166666666667 22.6666666666667 2.58333333333333 3.5 0.583333333333333 0.916666666666667 0.166666666666667 0.656351526457225 0.0263517850834027 0.0309354869097516 0.0671167774798289 0.00860058038366862 0.129268425224308 0.0179529223646871 0.0634224960971285 0.00396825396825397 0.00833333333333333 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.017718253968254 0.0255499860763019 0.0131578947368421 0.0535801308827625 0.0403317321080479 0.0308531746031746 0.698041631857421 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0730218855218855 0 0 0 0.0277777777777778 0.0214646464646465 0.00595238095238095 0.00925925925925926 0.0214646464646465 0.736892736892737
8 38.1666666666667 30.25 3.16666666666667 3.33333333333333 0.666666666666667 0.416666666666667 0.333333333333333 0.576784588714594 0.0374956808361769 0.0300045293781304 0.0531204889132444 0.0286834605504025 0.187595629311303 0.0233395242927206 0.0629760980034281 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0.0016025641025641 0.00937796771130105 0.00320512820512821 0 0 0.00903880070546737 0.00208333333333333 0.00917832167832168 0.0248270248270248 0.0216990571157238 0.00837488129154796 0.0552422885756219 0.768832170915504 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.00297619047619048 0 0 0.0180735930735931 0 0 0.00297619047619048 0.0345238095238095 0.0119047619047619 0 0.0180735930735931 0.0442640692640693 0.774945887445887
9 21 14.75 2.08333333333333 3.5 0.25 0.166666666666667 0.25 0.596315359477124 0.0184095860566449 0.0388337742504409 0.0683278867102396 0 0.172402155306567 0.00944081336238199 0.0962704248366013 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0.00833333333333333 0 0.0520833333333333 0.0319444444444444 0.129482323232323 0.767739898989899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0.0166666666666667 0 0 0 0.0230769230769231 0.103632478632479 0.745512820512821
10 28.8333333333333 20.5 3.08333333333333 4.16666666666667 0.333333333333333 0.333333333333333 0.333333333333333 0.631392810987532 0.0315826117612402 0.0318816059319488 0.0267632213968743 0.00219298245614035 0.145881823967714 0.00502440424921045 0.0419472059160066 0 0 0 0 0 0 0 0 0.0172222222222222 0 0 0 0 0 0 0 0 0 0 0.00780682643427741 0 0 0 0 0.00903880070546737 0 0 0.0189594356261023 0.0354813777362797 0.0311974789915966 0.0918796036933292 0.705080921257392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00915750915750916 0 0 0.030982905982906 0 0 0 0.0295634920634921 0.0267857142857143 0 0.0277777777777778 0.119444444444444 0.672954822954823
