"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ji_Proportion" "Transition_ci_Proportion" "Transition_gc_Proportion" "Transition_cg_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_ei_Proportion" "Transition_og_Proportion" "Transition_oh_Proportion" "Transition_oi_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_jj_Proportion" "Transition_jc_Proportion" "Transition_sh_Proportion" "Transition_jo_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_se_Proportion" "Transition_si_Proportion" "Transition_gj_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_igs_Proportion" "Transition_cis_Proportion" "Transition_ohs_Proportion" "Transition_gcs_Proportion" "Transition_gii_Proportion" "Transition_igg_Proportion" "Transition_gsg_Proportion" "Transition_ses_Proportion" "Transition_jcs_Proportion" "Transition_sog_Proportion" "Transition_ois_Proportion" "Transition_ssg_Proportion" "Transition_isg_Proportion" "Transition_ggi_Proportion" "Transition_ggg_Proportion" "Transition_sgs_Proportion" "Transition_jsg_Proportion" "Transition_sgg_Proportion" "Transition_jgs_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 138 115.545454545455 10.7272727272727 9.81818181818182 0.818181818181818 0.818181818181818 0.272727272727273 0.290720423810837 0.094795964410177 0.152111900587818 0.0558933241184566 0.0322150446108657 0.137131263221128 0.0674966238487004 0.169635455392017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104493207941484 0.00104493207941484 0.00104493207941484 0.00233100233100233 0.00479752636540082 0.00606060606060606 0.00695349847892221 0.00801282051282051 0.0091165896250642 0.0214939103593368 0.0290806746003443 0.03908916392873 0.0766715223429469 0.0851052328285259 0.102959993261948 0.1317454670457 0.473447196020408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0053475935828877 0.012987012987013 0.0313216195569137 0.0405335405335405 0.0496873496873497 0.0844928491987316 0.08530206177265 0.122566975508152 0.125503690209573 0.260439125145007
2 70.4545454545455 59.5454545454545 4.72727272727273 5.36363636363636 0.363636363636364 0.272727272727273 0.181818181818182 0.523052788775944 0.0934178101142742 0.090860792744449 0.0179552108818107 0.0135240461255455 0.112708436266207 0.0516112642721586 0.0968696508196119 0 0 0 0 0 0 0 0 0 0 0 0 0.00227272727272727 0.00478468899521531 0.0103305785123967 0 0 0.00227272727272727 0 0 0 0.00227272727272727 0.00826446280991736 0 0.0334710743801653 0.00206611570247934 0.00227272727272727 0.0984220192354164 0.0732746121502102 0.0564049586776859 0.0640828301115382 0.639807750334066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0169059011164274 0 0 0.0987240829346093 0.168367889420521 0.0825624667729931 0.132535885167464 0.500903774587985
3 43.8181818181818 36.0909090909091 3.36363636363636 3.72727272727273 0.454545454545455 0.181818181818182 0 0.493998527995576 0.0698348003784648 0.0839720451382311 0.0317626452494874 0.0120192307692308 0.105014923442735 0.0418786357638196 0.161519191262455 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00363636363636364 0.0101010101010101 0 0.00413223140495868 0.00505050505050505 0 0.00909090909090909 0 0.0142332415059688 0 0.00413223140495868 0.0268686868686869 0 0.0202020202020202 0.122424242424242 0.0424058769513315 0.084811753902663 0.0715151515151515 0.49048668503214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0227272727272727 0 0 0.0375 0.0284090909090909 0 0.128246753246753 0.0965909090909091 0.0300324675324675 0.155032467532468 0.410551948051948
4 19.2727272727273 17.7272727272727 0.636363636363636 0.818181818181818 0 0.0909090909090909 0 0.517484817618508 0.0426948051948052 0.0738944062473474 0.0567821067821068 0.0179017061370003 0.126582285806885 0.020995670995671 0.143664201217677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0181818181818182 0.0484848484848485 0.0681818181818182 0.0303030303030303 0.0863636363636364 0.0454545454545455 0.612121212121212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0454545454545455 0.0757575757575757 0.0909090909090909 0 0.136363636363636 0.378787878787879
5 31.1818181818182 27.0909090909091 1.81818181818182 1.45454545454545 0.454545454545455 0.363636363636364 0 0.624864843704737 0.0369576356584347 0.0486665055265233 0.0339319775069997 0.0386227870098838 0.12023435214616 0.0324069227058277 0.0643149757414333 0 0 0 0 0 0 0 0 0 0.0025974025974026 0.0025974025974026 0.0207792207792208 0 0 0 0 0 0 0 0 0 0 0.0151515151515152 0.0207792207792208 0 0 0.053030303030303 0.0584415584415584 0.0512987012987013 0.0177489177489178 0.0827922077922078 0.583874458874459 0 0 0 0 0 0 0 0 0 0 0 0 0.0053475935828877 0.0053475935828877 0.0053475935828877 0.0053475935828877 0.0053475935828877 0.0106951871657754 0.0303030303030303 0.035650623885918 0 0 0.0454545454545455 0 0.0909090909090909 0 0.0470588235294118 0.0508021390374332 0 0.0454545454545455 0.435115864527629
6 31.7272727272727 25.3636363636364 3.09090909090909 2.90909090909091 0.181818181818182 0.0909090909090909 0.0909090909090909 0.61720323536113 0.0217855244171034 0.0356813751550594 0.0836443381180223 0.0433044733044733 0.10661932609301 0.0187187666135035 0.0730429609376978 0 0 0 0 0 0 0 0 0.00454545454545455 0 0.00363636363636364 0.00727272727272727 0 0 0.00363636363636364 0 0.00454545454545455 0 0 0 0 0 0 0.00909090909090909 0.0415151515151515 0 0.0333333333333333 0.0408452950558214 0.0120574162679426 0.0335725677830941 0.03 0.594130781499203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0101010101010101 0.0101010101010101 0 0 0 0 0 0 0.0593434343434343 0 0 0.0303030303030303 0.0284664830119376 0.0227272727272727 0.0650826446280992 0.592056932966024
7 24.0909090909091 19.1818181818182 2.18181818181818 2.36363636363636 0.181818181818182 0.181818181818182 0 0.566906588163273 0.0427498608871158 0.0700095878571814 0.0300126616303087 0.022082262657129 0.097348324086292 0.0414544605721076 0.129436254146593 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00395256916996047 0 0 0 0 0 0 0 0 0 0.00395256916996047 0.00757575757575758 0.0192687747035573 0.0378787878787879 0.0702992659514399 0.04199604743083 0.0708874458874459 0.105143045360437 0.548136645962733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0681818181818182 0.0392561983471074 0.065702479338843 0.107438016528926 0.053030303030303 0.0863636363636364 0.307300275482094
8 33.0909090909091 26.5454545454545 2.18181818181818 3.63636363636364 0.454545454545455 0.181818181818182 0 0.52154224769231 0.0267237215215057 0.0755040687118253 0.056878635624816 0.00804600411009333 0.084542322832253 0.030483212158425 0.105370696439681 0 0 0 0 0 0 0 0.0101010101010101 0 0 0 0 0 0.00193423597678917 0 0 0.0137373737373737 0 0.00193423597678917 0.00193423597678917 0 0.00909090909090909 0.0055705996131528 0 0.0101160541586074 0.00773694390715667 0.0808231248656781 0.0427218998495594 0.013752417794971 0.0364893617021277 0.0756361487212551 0.50660326670965 0 0 0 0 0 0 0 0 0 0.00454545454545455 0.00454545454545455 0.0303030303030303 0 0 0 0 0 0 0 0 0 0 0.0101010101010101 0.00909090909090909 0.0767676767676768 0.0181818181818182 0.0555555555555556 0.0338383838383838 0.0964646464646465 0.0611111111111111 0.417676767676768
9 47.9090909090909 38.4545454545455 3.90909090909091 4.63636363636364 0.272727272727273 0.363636363636364 0.181818181818182 0.452473818919198 0.0267734017635066 0.09055789864939 0.0612701848221964 0.0113280950385671 0.115960511663088 0.0350836270893449 0.115643371145618 0 0 0 0.00121212121212121 0.00121212121212121 0.00121212121212121 0.00606060606060606 0 0 0 0.00121212121212121 0.00363636363636364 0 0 0 0 0.0921212121212121 0 0 0 0 0 0 0.00545454545454545 0.0197101449275362 0 0.0661065197428834 0.0931983870323791 0.0182776380404839 0.0764279155188246 0.0414484768634966 0.481800614844093 0 0 0 0 0 0 0.00267379679144385 0.00267379679144385 0.00267379679144385 0 0 0 0 0 0 0.00267379679144385 0.00267379679144385 0.00267379679144385 0 0 0 0 0 0.0151515151515152 0.142424242424242 0 0.125719378660555 0.0434343434343434 0.033630421865716 0.160758848994143 0.28102028690264
10 49.8181818181818 41.5454545454545 3.63636363636364 4.09090909090909 0.272727272727273 0.0909090909090909 0.181818181818182 0.606015392514902 0.0328879839219299 0.102412886487704 0.0515162415358794 0.0184779773099484 0.0800721164965056 0.0183381630190141 0.0902792387141167 0 0.00252525252525253 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0.00459136822773186 0 0 0 0 0 0 0 0 0.00606060606060606 0.0101010101010101 0 0.0915977961432507 0.0547750229568411 0.0252984389348026 0.0965564738292011 0.0654269972451791 0.453673094582186 0 0 0 0 0 0.0151515151515152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00649350649350649 0.0918003565062389 0 0.0658263305322129 0.048637636872931 0.137254901960784 0.0551311433664375 0.306977336389101
