"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_oi_Proportion" "Transition_ic_Proportion" "Transition_og_Proportion" "Transition_ij_Proportion" "Transition_cj_Proportion" "Transition_gi_Proportion" "Transition_gc_Proportion" "Transition_oo_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_jh_Proportion" "Transition_se_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_ho_Proportion" "Transition_ee_Proportion" "Transition_io_Proportion" "Transition_hg_Proportion" "Transition_ge_Proportion" "Transition_cc_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_hh_Proportion" "Transition_ji_Proportion" "Transition_si_Proportion" "Transition_ig_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sgi_Proportion" "Transition_ggg_Proportion" "Transition_sie_Proportion" "Transition_ihs_Proportion" "Transition_jhs_Proportion" "Transition_cis_Proportion" "Transition_ccs_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_gsh_Proportion" "Transition_sse_Proportion" "Transition_hsi_Proportion" "Transition_shs_Proportion" "Transition_see_Proportion" "Transition_jig_Proportion" "Transition_iig_Proportion" "Transition_eis_Proportion" "Transition_gii_Proportion" "Transition_sei_Proportion" "Transition_gcs_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_soo_Proportion" "Transition_gso_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gei_Proportion" "Transition_sig_Proportion" "Transition_ige_Proportion" "Transition_jis_Proportion" "Transition_ssg_Proportion" "Transition_gee_Proportion" "Transition_sge_Proportion" "Transition_gjs_Proportion" "Transition_isg_Proportion" "Transition_igs_Proportion" "Transition_scs_Proportion" "Transition_sgg_Proportion" "Transition_jss_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_ess_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 135.916666666667 114.916666666667 10.6666666666667 8.25 0.916666666666667 0.833333333333333 0.333333333333333 0.41639266358036 0.0592219173107743 0.0746115533059222 0.0355326021630147 0.0162469511175564 0.19366014043566 0.0321278762209462 0.172206295865767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00245098039215686 0.00347503373819163 0.00707163207163207 0.0142025196705956 0.0238422333407869 0.0267760817740516 0.0316050335400181 0.0330753119237106 0.0416676541073841 0.0976196903498583 0.122530559048475 0.580828852578713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0.00148809523809524 0.0036231884057971 0.00659937888198758 0.0104166666666667 0.0140398550724638 0.0199922360248447 0.0404761904761905 0.0454365079365079 0.0738612836438923 0.0899327122153209 0.131362146307798 0.56128364389234
2 55.6666666666667 46 5.58333333333333 3.08333333333333 0.416666666666667 0.583333333333333 0 0.40488155817485 0.119866882482613 0.0836165366559761 0.0534402389085102 0.02113701593333 0.138312014174857 0.0288731572893225 0.149872596380541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00378787878787879 0.00378787878787879 0.0043859649122807 0.00555555555555556 0.00757575757575758 0.00925925925925926 0 0 0.00833333333333333 0 0.00297619047619048 0.0106481481481481 0 0 0 0 0.0119047619047619 0.00277777777777778 0 0.00954184704184704 0.0621031746031746 0.0205896686159844 0.0402958152958153 0.00954184704184704 0.0215788840788841 0.0735747196273512 0.222450381003013 0.467942267284373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.00925925925925926 0.0208333333333333 0.037037037037037 0 0 0.0277777777777778 0.0379166666666667 0 0 0 0.120092592592593 0.0125925925925926 0 0.0771296296296296 0.298194444444444 0.349907407407407
3 38.75 32.4166666666667 3.33333333333333 2.25 0.5 0.25 0 0.427009445154453 0.0794715488332486 0.0586859939906074 0.0470464112031649 0.0255779562483812 0.216639891758577 0.0214634715077081 0.124105281303861 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00555555555555556 0.0104166666666667 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0.0319444444444444 0.00416666666666667 0 0 0 0 0.00308641975308642 0.00555555555555556 0 0.0147435897435897 0.0586038190204857 0 0.070679012345679 0.0575947971781305 0.00416666666666667 0.0465608465608466 0.0770070207570208 0.602665852665853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0119047619047619 0 0 0 0 0 0 0.0119047619047619 0.112073112073112 0 0 0.0257936507936508 0.106481481481481 0.0260942760942761 0 0.0952380952380952 0.102813852813853 0.415103415103415
4 48.5833333333333 40.25 4.08333333333333 3.58333333333333 0.416666666666667 0.166666666666667 0.0833333333333333 0.568885758239817 0.0470511828062437 0.0346147858425057 0.0359558881275121 0.0149847109577493 0.138024162803312 0.0553772517738683 0.105106259448992 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00378787878787879 0.00899621212121212 0.0138888888888889 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0.00277777777777778 0 0 0.00189393939393939 0.00378787878787879 0 0.00845959595959596 0.00378787878787879 0.0102272727272727 0.111153198653199 0.0104166666666667 0.0336489898989899 0.0135416666666667 0.00983796296296296 0.0522306397306397 0.122590488215488 0.499957912457912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0 0 0 0.0397395002658161 0 0 0 0.06234335839599 0.0277777777777778 0.0119047619047619 0.0595206450469608 0.1446001367054 0.455527075263917
5 69.9166666666667 57.8333333333333 6.25 4.08333333333333 0.75 0.5 0.5 0.546852059593387 0.101126734774996 0.0481659238205194 0.0354753081743741 0.0153050475103352 0.133536811162935 0.00953757613725693 0.110000538826195 0 0 0 0 0 0.00130208333333333 0.00185185185185185 0.00185185185185185 0.00396825396825397 0 0.00185185185185185 0.00130208333333333 0 0.00315393518518519 0 0.00130208333333333 0 0 0.00130208333333333 0 0 0.00185185185185185 0 0.0146723646723647 0.00219298245614035 0 0 0.00208333333333333 0.00260416666666667 0 0.00130208333333333 0.00219298245614035 0 0.00130208333333333 0.00771233974358974 0.00630787037037037 0.00677083333333333 0.0914166927736007 0.00630787037037037 0.0207499250262408 0.0298975771426429 0.0248130341880342 0.0327531067251462 0.10518010102714 0.622002723154039 0 0 0 0 0 0 0 0 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00595238095238095 0.0119047619047619 0.0119047619047619 0.0119047619047619 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0.00462962962962963 0 0.0907587782587782 0 0.0119047619047619 0.00974025974025974 0.0158730158730159 0.0259139009139009 0.00775613275613276 0.0376683501683502 0.0952080327080327 0.61252405002405
6 35.3333333333333 28.75 4 2.25 0.166666666666667 0.166666666666667 0 0.560376552920607 0.087399338822731 0.0655545879730662 0.0311999411184194 0.024169481981982 0.115159950572713 0.0138748123123123 0.102265334298169 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0.00396825396825397 0.00396825396825397 0.0248015873015873 0 0 0 0 0 0 0.0102777777777778 0.0874603174603175 0.00630952380952381 0.0750925925925926 0.0251322751322751 0.00928571428571429 0.029484126984127 0.16542328042328 0.368320105820106 0 0 0 0 0 0 0.00641025641025641 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.224664224664225 0 0 0.00641025641025641 0.0396825396825397 0.0341880341880342 0 0.0728021978021978 0.0952380952380952 0.242826617826618
7 20.5833333333333 16.9166666666667 1.83333333333333 1.33333333333333 0.25 0.0833333333333333 0.0833333333333333 0.596437557002073 0.0411911682072972 0.0296563502208664 0.0595487957383119 0.00240384615384615 0.120079608809448 0.0127133292455873 0.0546360112892371 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0.0138888888888889 0 0.00694444444444444 0.103513071895425 0.00490196078431373 0.0520833333333333 0.0138888888888889 0.0200534759358289 0.0633169934640523 0.0901515151515151 0.365348336304219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0.0138888888888889 0.0590277777777778 0.0138888888888889 0 0 0 0 0 0.09375 0.0138888888888889 0.375
8 31.6666666666667 25.5 2.5 2.91666666666667 0.333333333333333 0.333333333333333 0.0833333333333333 0.728233733922129 0.0383495200080923 0.0173718944099379 0.021092132505176 0.0286180363852465 0.0793080706836414 0.00971337592336988 0.0773132361624072 0 0 0.00595238095238095 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0.029029304029304 0.0128968253968254 0.00694444444444444 0.0357142857142857 0 0 0.0358669108669109 0.0619200244200244 0.703586691086691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0259259259259259 0 0 0.0138888888888889 0.0166666666666667 0 0.00925925925925926 0.0583333333333333 0.0703703703703704 0.722222222222222
9 20.75 17.8333333333333 1.33333333333333 1.08333333333333 0.166666666666667 0.25 0.0833333333333333 0.706330207555698 0.056744204415773 0.0284823727470786 0.0211408961408961 0.0117424242424242 0.0901338476338476 0.0336976095799625 0.05172843768432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0270833333333333 0.0787037037037037 0 0 0.0104166666666667 0.0104166666666667 0.0583333333333333 0.0364583333333333 0.667476851851852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.0277777777777778 0 0 0 0.0277777777777778 0.0416666666666667 0.569444444444445
10 22.75 18.9166666666667 1.5 1.83333333333333 0.333333333333333 0.166666666666667 0 0.693637479683231 0.0814797091676177 0.026132443718228 0.0380621693121693 0.0107843137254902 0.0733423461977383 0.0122021648165439 0.0643593733789812 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0833333333333333 0.0119047619047619 0 0 0 0 0 0.0393963675213675 0.01875 0 0.0277777777777778 0.0104166666666667 0.0104166666666667 0.0470899470899471 0.146974206349206 0.49336334961335 0 0 0 0.0119047619047619 0.0119047619047619 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0.0166666666666667 0.0444444444444444 0 0 0 0.0416666666666667 0.0166666666666667 0 0.0416666666666667 0.16468253968254 0.439285714285714
