"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_og_Proportion" "Transition_co_Proportion" "Transition_oi_Proportion" "Transition_gi_Proportion" "Transition_ie_Proportion" "Transition_ig_Proportion" "Transition_gc_Proportion" "Transition_ce_Proportion" "Transition_ei_Proportion" "Transition_oo_Proportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_so_Proportion" "Transition_jj_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_ji_Proportion" "Transition_cj_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_os_Proportion" "Transition_je_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_se_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_jsi_Proportion" "Transition_ggg_Proportion" "Transition_ogs_Proportion" "Transition_csc_Proportion" "Transition_shs_Proportion" "Transition_gsh_Proportion" "Transition_ssg_Proportion" "Transition_ces_Proportion" "Transition_ggi_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_isi_Proportion" "Transition_osg_Proportion" "Transition_sgg_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_gce_Proportion" "Transition_jgs_Proportion" "Transition_eis_Proportion" "Transition_sgs_Proportion" "Transition_jos_Proportion" "Transition_sjs_Proportion" "Transition_sos_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_jjs_Proportion" "Transition_scs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 82.4166666666667 69.5 7.66666666666667 4.16666666666667 0.666666666666667 0.416666666666667 0 0.237757656721807 0.0751206705234218 0.12691615418402 0.043433253410087 0.0393240291195066 0.158214909877294 0.116270514004064 0.202962812159799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00333333333333333 0.00347222222222222 0.00490196078431373 0.00666666666666667 0.00666666666666667 0.00692535823349777 0.00694444444444444 0.0072093023255814 0.0075 0.0119047619047619 0.0138888888888889 0.0262435400516796 0.0277777777777778 0.0427688774593699 0.0635365206688736 0.0682938876748726 0.0793054988027628 0.0833333333333333 0.145489801276395 0.382322005969407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.0138888888888889 0.0277777777777778 0.0587962962962963 0.0898148148148148 0.0910714285714286 0.0970899470899471 0.116402116402116 0.333862433862434
2 52.25 43.75 5 3.08333333333333 0.25 0.166666666666667 0 0.204642231460633 0.113036427223734 0.159785418686347 0.0844609993120055 0.0602156286158802 0.110042967080506 0.058731917341631 0.209084410279263 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.0142857142857143 0 0.020145850737956 0 0 0.00347222222222222 0.0235256981580511 0 0 0.00833333333333333 0.0182687109931692 0 0.00146198830409357 0.0217000835421888 0 0.0608043150806309 0.044067480793487 0.0787932863203761 0.0651397042070417 0 0.118126439836966 0.266973211400456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0208333333333333 0.0277777777777778 0.0472222222222222 0 0.00490196078431373 0.0166666666666667 0.0465686274509804 0.0569852941176471 0.110498366013072 0.0465686274509804 0.100898692810458 0.177328431372549
3 35.4166666666667 30.4166666666667 2.75 1.75 0.166666666666667 0.0833333333333333 0.0833333333333333 0.162713138969491 0.127697116915128 0.155252116316403 0.0652894887952007 0.0349991616733733 0.0914682460318095 0.0297941033138402 0.166119961318087 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00520833333333333 0 0 0 0.106359649122807 0.00520833333333333 0.00520833333333333 0 0.00219298245614035 0.00219298245614035 0 0 0.0166666666666667 0 0 0.0140977443609023 0 0.00520833333333333 0.0357769423558897 0.10020276385408 0.0081453634085213 0 0.0554902882205514 0.302514967975494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0.0138888888888889 0 0.158333333333333 0.0583333333333333 0.00555555555555556 0.0361111111111111 0.305555555555556
4 44.5833333333333 37.9166666666667 3.5 2.75 0.166666666666667 0.0833333333333333 0.166666666666667 0.380469428719729 0.092259062694277 0.106870908555576 0.0561964795737563 0.0189380636823957 0.122396636054751 0.0752381588465646 0.147631261872951 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0.0277777777777778 0 0 0 0 0 0.00177304964539007 0 0.0036231884057971 0 0 0 0 0.00694444444444444 0.0036231884057971 0 0 0.0557803988076883 0 0.0208333333333333 0.0564664919313393 0.0604083153458732 0.0697348134443417 0 0.0794570356665639 0.435800185013876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0208333333333333 0.0277777777777778 0 0 0 0 0 0 0 0.0972222222222222 0.0833333333333333 0.0625 0.0513888888888889 0.0300925925925926 0.0861111111111111 0.364814814814815
5 29.5 24.5833333333333 2.41666666666667 2 0.166666666666667 0.25 0 0.278353777147749 0.0953397933546499 0.125046084711385 0.0510012607626166 0.0295497373067387 0.132627751941277 0.0266042743074847 0.178143987134766 0 0 0 0 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00694444444444444 0.0102777777777778 0 0 0 0 0 0 0 0 0.0185130718954248 0.0249019607843137 0.00694444444444444 0 0 0 0 0.00490196078431373 0.0302777777777778 0.00694444444444444 0 0.0519864612511671 0 0.0236111111111111 0.103057889822596 0.0413888888888889 0.224028944911298 0.0138888888888889 0.0960550887021475 0.242943510737628 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.00925925925925926 0.00925925925925926 0.00925925925925926 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0 0 0 0 0 0.00925925925925926 0.0202380952380952 0 0 0.0294973544973545 0.0119047619047619 0.0404761904761905 0.0185185185185185 0.0666666666666667 0.300925925925926 0.0580687830687831
6 27 22.6666666666667 2.16666666666667 1.58333333333333 0.333333333333333 0.166666666666667 0.0833333333333333 0.308943180823018 0.130869200673767 0.154416696492935 0.0678332485511278 0.0418257181415076 0.106408633362968 0.0469056173874285 0.142797704567248 0 0 0.00245098039215686 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0.00245098039215686 0 0 0.0277777777777778 0 0 0.00245098039215686 0.0476190476190476 0 0 0.0897525676937442 0 0.141277622159975 0.0740196078431373 0.0143557422969188 0.074813258636788 0 0.023615001556178 0.407679738562091 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0.122481684981685 0.0808150183150183 0.0272435897435897 0.00641025641025641 0.0119047619047619 0.137820512820513 0.26717032967033
7 29.75 26.1666666666667 1.83333333333333 1.41666666666667 0.25 0.0833333333333333 0 0.231222451485389 0.18061636446549 0.171611018528368 0.0918644340167981 0.0251493930905696 0.113442489865144 0.0584262950481305 0.127667553500111 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0.00520833333333333 0 0 0.0166666666666667 0.0228009259259259 0 0.034375 0.0427083333333333 0.0729166666666667 0.137384259259259 0 0.114467592592593 0.27337962962963 0 0 0.0166666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.104166666666667 0.0791666666666667 0.106944444444444 0.104166666666667 0.197222222222222
8 25.8333333333333 22.6666666666667 2 0.833333333333333 0.0833333333333333 0.166666666666667 0 0.236221750543456 0.112692956551586 0.129512816278422 0.0644856515751049 0.00773809523809524 0.0984344744289665 0.0472722099175588 0.220308712133478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.00462962962962963 0.0442538126361656 0 0.0215686274509804 0.0473039215686274 0.0354575163398693 0.0329520697167756 0 0.0837962962962963 0.225408496732026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0327380952380952 0.0416666666666667 0.0327380952380952 0.134920634920635 0.216269841269841
9 12.0833333333333 10.0833333333333 1 0.416666666666667 0.25 0.0833333333333333 0 0.256668581857159 0.0659286833855799 0.0574759940331061 0.0528279511038132 0.0126138229586505 0.204714167537443 0.026396197193611 0.0733746019306364 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.00757575757575758 0.0611471861471861 0.0277777777777778 0.0416666666666667 0 0.0654761904761905 0.0353535353535354 0 0.029040404040404 0.307720057720058 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0486111111111111 0.0833333333333333 0.0902777777777778 0.0277777777777778 0.0277777777777778 0 0.138888888888889
10 10.75 8.41666666666667 0.833333333333333 1.16666666666667 0.0833333333333333 0.166666666666667 0 0.271481566273233 0.134758470695971 0.074872459073848 0.0946979717813051 0.00633680555555555 0.100554926683399 0.0485367063492063 0.185427760254149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0.0166666666666667 0 0 0 0 0 0.0119047619047619 0 0 0.0833333333333333 0 0.0333333333333333 0.00595238095238095 0.0428571428571429 0.0678571428571429 0 0.157142857142857 0.402380952380952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.0833333333333333 0.0555555555555556 0.0694444444444444 0.111111111111111 0.0138888888888889 0.236111111111111
