"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gc_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_ch_Proportion" "Transition_ce_Proportion" "Transition_oc_Proportion" "Transition_cg_Proportion" "Transition_jh_Proportion" "Transition_ie_Proportion" "Transition_ee_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_co_Proportion" "Transition_se_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_eg_Proportion" "Transition_ig_Proportion" "Transition_oi_Proportion" "Transition_jc_Proportion" "Transition_gg_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_jj_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_scg_Proportion" "Transition_gsi_Proportion" "Transition_osg_Proportion" "Transition_ggg_Proportion" "Transition_jse_Proportion" "Transition_see_Proportion" "Transition_osi_Proportion" "Transition_ogs_Proportion" "Transition_sii_Proportion" "Transition_sos_Proportion" "Transition_ceg_Proportion" "Transition_egs_Proportion" "Transition_cgs_Proportion" "Transition_jsg_Proportion" "Transition_ssi_Proportion" "Transition_jis_Proportion" "Transition_cis_Proportion" "Transition_ess_Proportion" "Transition_sie_Proportion" "Transition_jjj_Proportion" "Transition_iee_Proportion" "Transition_hsi_Proportion" "Transition_shs_Proportion" "Transition_gsg_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_igs_Proportion" "Transition_sgs_Proportion" "Transition_sjs_Proportion" "Transition_sgg_Proportion" "Transition_jjs_Proportion" "Transition_scs_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_sis_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 262.916666666667 199.666666666667 32.3333333333333 23.0833333333333 3.83333333333333 3.08333333333333 0.916666666666667 0.364468486636316 0.0572736258782249 0.0669654492241157 0.0360682433455265 0.0128620485520562 0.23739111013964 0.0412242040056565 0.183746832218464 0 0 0 0 0 0 0 0 0 0 0 0 0.000342935528120713 0.00036231884057971 0.00036231884057971 0.000857356960239795 0.00087719298245614 0.00163888897958858 0.00177304964539007 0.00177304964539007 0.00188571083484459 0.0020054770916598 0.00272760706113109 0.00287776802263194 0.00317001468887208 0.00324629233952044 0.00336853687080051 0.0111229004756666 0.0117775733060468 0.0219752957866704 0.0223675293474233 0.034889794458475 0.0449492858879315 0.146986468282686 0.173943178813156 0.504719455310139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0.00174281424281424 0.00184240362811791 0.00191570881226054 0.00198412698412698 0.00198412698412698 0.00198412698412698 0.00266645956301129 0.0036231884057971 0.00458104281192737 0.00462962962962963 0.00462962962962963 0.00591817186644773 0.0191378289288506 0.0374420914288724 0.0580669398065211 0.0683402048570056 0.132574505119027 0.140111294470774 0.505833642354869
2 74.75 57.75 7.75 7.25 0.75 0.916666666666667 0.333333333333333 0.498969873250336 0.0528605581314351 0.0731704509761993 0.0426707161663183 0.0141384294775022 0.123222167446705 0.0387705924893881 0.156197212062115 0 0 0 0 0 0 0 0 0.00213675213675214 0.00213675213675214 0.0028735632183908 0.0102258852258852 0 0 0 0 0 0 0 0.000946969696969697 0 0.00297619047619048 0.00189393939393939 0.00641025641025641 0 0.00213675213675214 0.00378787878787879 0.021035956380784 0 0.0545192168036996 0.0442263461660013 0.0623007931831461 0.0382768037686902 0.10069141827509 0.0777173455165342 0.565707180286288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.0646825396825397 0.113937282229965 0.0609126984126984 0.0684830300683959 0.0863433991482772 0.0695847851335656 0.506245967221577
3 62.1666666666667 48.8333333333333 6.33333333333333 6.33333333333333 0.166666666666667 0.416666666666667 0.0833333333333333 0.468428158432423 0.0886485542319665 0.0842822581708517 0.0364325963944246 0.0229385222155086 0.10990363030094 0.0305528138730187 0.158813466380867 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.00219298245614035 0.0142485678836356 0 0 0.00268817204301075 0 0 0 0 0 0 0.00490196078431373 0.0399261153736857 0 0.00219298245614035 0.00136612021857923 0 0.00696167631651503 0.00273224043715847 0.0370894080453602 0.00978311528346483 0.0859365205784533 0.0402781740035915 0.145324754986694 0.0828801572298497 0.516867422273778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00833333333333333 0.115740740740741 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0.00641025641025641 0.0222222222222222 0.0711524495838221 0.0946455505279035 0.0697530864197531 0.175617283950617 0.0866571699905033 0.341479526283448
4 59.25 48.3333333333333 4.83333333333333 4.83333333333333 0.416666666666667 0.583333333333333 0.166666666666667 0.457506318236871 0.0536768106656882 0.078018842006203 0.0641444340276376 0.0274067445515104 0.0970860273643506 0.0221624881907494 0.116665001623657 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.0166666666666667 0 0 0.00277777777777778 0 0 0 0 0.00277777777777778 0.00268817204301075 0 0.00685483870967742 0 0 0 0.00416666666666667 0.00674603174603175 0.00268817204301075 0.00988084859052601 0.00694444444444444 0.0415770609318996 0.0679478119350036 0.0675917751581888 0.0836159867172676 0.58957596879205 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0138888888888889 0 0.00925925925925926 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0.0168350168350168 0.0147243107769424 0.0578042328042328 0.102792492595124 0.0483555796055796 0.109457671957672 0.525692071086808
5 55.0833333333333 43.3333333333333 5.91666666666667 4.83333333333333 0.333333333333333 0.666666666666667 0 0.440855608767035 0.0427836480255973 0.0903743649560854 0.0488178396128323 0.022894250568214 0.147532261543414 0.0414152034028195 0.165326823124002 0 0 0 0 0.00694444444444444 0.00925925925925926 0.00925925925925926 0 0 0 0 0 0 0 0 0.0185185185185185 0.00694444444444444 0 0 0 0 0 0.0165123456790123 0 0.00308641975308642 0 0 0.00163398692810458 0.00829475308641975 0.0592679878219094 0.0219195156695157 0.0411787400145243 0.0680578249818446 0.0954040626221999 0.12616508854254 0.507553348974918 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0138888888888889 0.0138888888888889 0.0277777777777778 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.154906204906205 0.00297619047619048 0.200396825396825 0.0490800865800866 0.0742424242424242 0.446176046176046
6 50.8333333333333 41.1666666666667 4.66666666666667 4.25 0.333333333333333 0.416666666666667 0 0.480076306088846 0.039181221047012 0.0692149453100794 0.0618587777566807 0.013166681277103 0.142511109006294 0.0441079340073919 0.149883025506593 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0.013763197586727 0 0.00245098039215686 0 0 0 0.012636165577342 0.0282875258365454 0.0121020142949968 0.0669327500080854 0.0549906797326818 0.0680353787938927 0.0997486908993617 0.62740739270667 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0.0330357142857143 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0.0202380952380952 0.0488095238095238 0.16359126984127 0.0847222222222222 0.049702380952381 0.0620039682539683 0.434722222222222
7 52.0833333333333 42.75 3.58333333333333 4.5 0.75 0.416666666666667 0.0833333333333333 0.467086526845096 0.0575983210600831 0.102968948616851 0.0467408987350545 0.0325144317865461 0.125815064287595 0.0470130961129089 0.120262712555865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00876068376068376 0 0 0 0.00231481481481481 0 0.0043859649122807 0.0407762528650686 0.0287946428571429 0.0282242063492063 0.0677863529014845 0.0585156467557783 0.115229982006298 0.559563304629094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0263888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0101851851851852 0.0712719298245614 0.0111111111111111 0.162244152046784 0.0481481481481481 0.0416666666666667 0.462317251461988
8 49.1666666666667 40.4166666666667 3.5 4.08333333333333 0.333333333333333 0.666666666666667 0.166666666666667 0.517303824336565 0.0361931336002696 0.0791931221115912 0.0647746737825333 0.0171492177706607 0.126442630190075 0.0281251570360736 0.130818241172231 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.00320512820512821 0 0.0036231884057971 0 0 0 0 0 0 0 0.00320512820512821 0.00490196078431373 0.00231481481481481 0.00231481481481481 0 0.00231481481481481 0.00462962962962963 0.00490196078431373 0.0224436392914654 0.0346060943887031 0.102786680911681 0.0319456284929431 0.0725998426126303 0.0553600964726284 0.634957688482305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0.0541310541310541 0.226190476190476 0.0810185185185185 0.047008547008547 0.047708078958079 0.524267399267399
9 52.8333333333333 41.5 5.08333333333333 4.66666666666667 0.833333333333333 0.666666666666667 0.0833333333333333 0.432316906993627 0.0493548050579132 0.106281308959349 0.0523036068260914 0.0194949942231964 0.116719801398985 0.0549559773909931 0.168572599149845 0 0.00260416666666667 0.0043859649122807 0 0 0 0.00260416666666667 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0.00540123456790123 0 0 0 0.00925925925925926 0.0113760964912281 0.015546679197995 0.0757384719355194 0.039302672636006 0.0646710669449491 0.0461884224667708 0.0991964718925031 0.0781907868069346 0.543502019230116 0 0 0 0 0 0 0.00490196078431373 0.00490196078431373 0.0119047619047619 0 0 0 0 0 0.0119047619047619 0 0 0.00520833333333333 0 0 0 0 0 0 0.00490196078431373 0 0 0 0.00490196078431373 0 0 0 0 0 0 0.00490196078431373 0.0396825396825397 0.138541666666667 0.0823412698412698 0.0657242063492064 0.0417162698412698 0.0360352474323063 0.542431139122316
10 49.75 39.6666666666667 4.33333333333333 4.33333333333333 0.833333333333333 0.5 0.0833333333333333 0.487648789154577 0.0383327766796603 0.0825676523137671 0.0509735480568814 0.0189308265080737 0.137846356621529 0.0428152629033123 0.140884787762199 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0.00873015873015873 0.00277777777777778 0.00268817204301075 0.00277777777777778 0 0.00546594982078853 0 0.0565058004929921 0.0213459032007419 0.0805020248568636 0.0465054961378491 0.0651082788179562 0.178481934731935 0.524060220561644 0 0 0 0 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.0216880341880342 0.113591038591039 0.100462962962963 0.118864931364931 0.0825757575757576 0.0348193473193473 0.411544936544937
