"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ji_Proportion" "Transition_oo_Proportion" "Transition_oi_Proportion" "Transition_gj_Proportion" "Transition_jg_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_ei_Proportion" "Transition_ge_Proportion" "Transition_gi_Proportion" "Transition_eg_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_hh_Proportion" "Transition_ih_Proportion" "Transition_ii_Proportion" "Transition_co_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_isg_Proportion" "Transition_osi_Proportion" "Transition_sos_Proportion" "Transition_jgs_Proportion" "Transition_gii_Proportion" "Transition_iis_Proportion" "Transition_gei_Proportion" "Transition_gis_Proportion" "Transition_esg_Proportion" "Transition_osg_Proportion" "Transition_egs_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_igs_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_sih_Proportion" "Transition_ihh_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_csg_Proportion" "Transition_jss_Proportion" "Transition_sgs_Proportion" "Transition_css_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 80.5833333333333 62.4166666666667 8.08333333333333 7.41666666666667 1.75 0.583333333333333 0.333333333333333 0.551829169817341 0.0113032497682299 0.0151260001075069 0.0284839495225269 0.0134696350265961 0.275503663041169 0.0181948465171213 0.0860894861995084 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0.00193798449612403 0.00252525252525253 0.00260416666666667 0.00565222505246985 0.00669191919191919 0.0123346860188965 0.0123667904917905 0.0150401600982996 0.0200795759093228 0.0228181178762574 0.061313463719863 0.166974776921672 0.666736904423279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00378787878787879 0.00378787878787879 0.0104166666666667 0.0138888888888889 0.0154839713663243 0.016062675070028 0.0204545454545455 0.0250496031746032 0.0590370617944147 0.121590201737261 0.700636706702883
2 43.9166666666667 33.4166666666667 3.5 4.25 1.25 1 0.416666666666667 0.595675825475661 0.01103140183143 0.0220813578823828 0.0135663423018886 0.0177424980560828 0.207088361269688 0.00277765940146323 0.0467032204480703 0 0 0 0 0 0 0 0 0 0 0 0 0.0162109666816076 0 0 0 0 0.00333333333333333 0 0.00505050505050505 0.00741106719367589 0.0152891209592241 0.000859106529209622 0.0200741238773511 0.0339435743962862 0.0252321350147437 0.0996297191030494 0.689633014527681 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00828853046594982 0.00828853046594982 0.0138888888888889 0.0297531769305963 0 0 0 0.00828853046594982 0 0 0 0.00757575757575758 0.0196572580645161 0.00694444444444444 0.00134408602150538 0.00891984359726295 0.0363155363155363 0.125046839361355 0.637146910735621
3 45.6666666666667 33.4166666666667 4 5.5 1.16666666666667 1.25 0.333333333333333 0.670380734861091 0.00812215724496426 0.0134301885927358 0.0207521433650112 0.00846734892787524 0.228407629508044 0.00557937825970421 0.0448604192405742 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0.00170068027210884 0 0.00170068027210884 0.0036231884057971 0.0109882311971072 0.0254271394248353 0.00477150537634409 0.024445555814299 0.135681418549846 0.784717156243109 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0.0166666666666667 0 0 0 0 0 0.0166666666666667 0 0 0 0 0.0228395061728395 0.00308641975308642 0.0171296296296296 0.0101851851851852 0.0108349577647823 0.112816764132554 0.786687784275504
4 38.1666666666667 26.5 4.5 4.66666666666667 0.916666666666667 1.25 0.25 0.609971929588664 0.0073110384504679 0.0156468578696022 0.0295767809736325 0.0198352451641925 0.190748296927463 0.00255862480127186 0.0410178928913725 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00166666666666667 0 0 0 0 0 0 0.0112068965517241 0.00520833333333333 0 0.00115740740740741 0.0289207551707552 0.0269376026272578 0.0563657407407407 0.116661856661857 0.660965649931167 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.0028735632183908 0.0028735632183908 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0231972688869241 0.00833333333333333 0 0.0157563025210084 0.1 0.139296591020729 0.601259121390967
5 45.75 31.75 5.58333333333333 5.33333333333333 1.08333333333333 1.16666666666667 0.833333333333333 0.71059140390175 0.0083458548532078 0.00908208927510398 0.0101525721011015 0.00391646241830065 0.193676787567728 0.0164973761940674 0.0477374536887405 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0.00682831661092531 0 0 0 0 0 0.00181159420289855 0.00347222222222222 0.00252525252525253 0 0.00181159420289855 0.0158215596665992 0.0126132925045969 0.0166021843653423 0.131131238505104 0.71647365428507 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.0119047619047619 0 0 0 0 0.0060626102292769 0.00297619047619048 0 0 0 0 0.00297619047619048 0 0 0 0.00641025641025641 0.0179608880589273 0.0036231884057971 0.00297619047619048 0.0122354497354497 0.015527950310559 0.0801829185780592 0.667410318518588
6 31.5 21.1666666666667 3.58333333333333 5.16666666666667 0.333333333333333 0.833333333333333 0.333333333333333 0.661973251137297 0 0.011019536019536 0.0192000115742254 0.016024594437469 0.174492583269097 0.00645424836601307 0.0275024418630289 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0.0123456790123457 0 0 0 0 0.0243055555555556 0 0 0.0043859649122807 0.00378787878787879 0.00462962962962963 0.027760241301908 0.00829475308641975 0.0402146464646465 0.139295735129068 0.647858703999055 0 0 0 0 0 0 0 0.00925925925925926 0.00925925925925926 0.00277777777777778 0 0.00925925925925926 0 0.00694444444444444 0.00277777777777778 0.00277777777777778 0 0 0 0 0 0.00277777777777778 0 0 0 0 0.00972222222222222 0.0104166666666667 0 0 0.0439814814814815 0.0665873015873016 0.656792328042328
7 40.4166666666667 28.75 4.16666666666667 4.83333333333333 0.75 1.33333333333333 0.5 0.685388515540788 0.0145705208557756 0.00117370892018779 0.0184912660557688 0.0104634922394001 0.133458009925086 0.00398838317698729 0.049132769952673 0 0 0 0 0 0 0.0016025641025641 0.00163398692810458 0.00163398692810458 0 0 0 0 0 0 0 0 0.00163398692810458 0.00490196078431373 0.0166666666666667 0 0.0093114871519384 0.00163398692810458 0.0171183135862158 0.0166666666666667 0.0248810483097349 0.0714915100021197 0.747490501684028 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0.0072463768115942 0 0 0 0 0.0036231884057971 0 0 0 0.0036231884057971 0 0 0 0.0416666666666667 0.0108695652173913 0 0.0036231884057971 0 0.00757575757575758 0.068541522889349 0.76627402388272
8 41.25 28.75 4.41666666666667 5.41666666666667 1.08333333333333 1 0.583333333333333 0.80639479935036 0.00224085365853659 0.00203252032520325 0.022492677452027 0.00412847992116285 0.134396017709134 0.00126262626262626 0.0270520253209492 0 0 0 0 0.00148809523809524 0.00333333333333333 0 0 0 0.00219298245614035 0 0 0.0119163718118826 0 0 0.00219298245614035 0 0 0 0 0 0 0 0.0215126347414789 0.00885964912280702 0.0119747284878864 0.0998068836110632 0.753389005407839 0 0 0 0.00260416666666667 0.00396825396825397 0.00396825396825397 0 0 0 0 0 0 0 0 0 0.0123015873015873 0 0 0 0 0 0.017203548085901 0 0 0 0 0.0153186274509804 0 0 0 0.00657242063492063 0.0889324319471378 0.765797376642965
9 45.8333333333333 31.5 4.58333333333333 8.08333333333333 0.666666666666667 0.666666666666667 0.333333333333333 0.758710714442238 0.00680981659242529 0.00641319059923711 0.035485830086399 0.000645994832041344 0.149464595514754 0.00433388303079911 0.0381359749021063 0 0 0.0016025641025641 0.00193798449612403 0 0 0 0 0 0 0 0 0.00674567680381634 0 0 0 0 0 0 0 0.0104166666666667 0 0.02 0.0088118664281455 0.0325618664281455 0.0302776316251008 0.0825156605770565 0.805130082872381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00641025641025641 0 0 0 0 0.00320512820512821 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0.0304487179487179 0.0324582824582825 0.0648074148074148 0.796965071965072
10 33.1666666666667 24.25 2 4.91666666666667 0.583333333333333 0.833333333333333 0.5 0.678109493857733 0.012931801994302 0.00479060706833594 0.0394849616529304 0.0138888888888889 0.150788392660092 0.00258413461538462 0.0140883859289999 0 0.00238095238095238 0 0 0 0.00297619047619048 0 0 0 0 0 0 0.0123015873015873 0 0 0 0 0 0.00421997157071784 0.0208333333333333 0 0 0 0.0291436589944053 0.0524068322981366 0.009378701729448 0.131228839478353 0.568463265770209 0 0.00490196078431373 0.00490196078431373 0 0 0 0 0 0 0 0 0.00490196078431373 0.00490196078431373 0 0.0087719298245614 0.0043859649122807 0.0043859649122807 0 0 0 0 0.0087719298245614 0 0 0 0.0416666666666667 0.0158382066276803 0 0 0.00980392156862745 0.0141898864809082 0.0507770809628395 0.488467271749006
