"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gc_Proportion" "Transition_ei_Proportion" "Transition_og_Proportion" "Transition_ie_Proportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_gh_Proportion" "Transition_ij_Proportion" "Transition_oe_Proportion" "Transition_gj_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_cj_Proportion" "Transition_cg_Proportion" "Transition_go_Proportion" "Transition_so_Proportion" "Transition_oi_Proportion" "Transition_gi_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_ji_Proportion" "Transition_js_Proportion" "Transition_jh_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gis_Proportion" "Transition_sjg_Proportion" "Transition_ssj_Proportion" "Transition_ogc_Proportion" "Transition_ogs_Proportion" "Transition_eis_Proportion" "Transition_csg_Proportion" "Transition_egs_Proportion" "Transition_sos_Proportion" "Transition_eso_Proportion" "Transition_jjs_Proportion" "Transition_jgs_Proportion" "Transition_gsi_Proportion" "Transition_gos_Proportion" "Transition_gsg_Proportion" "Transition_scs_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ggg_Proportion" "Transition_cgs_Proportion" "Transition_ssi_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_ggs_Proportion" "Transition_ess_Proportion" "Transition_jis_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 113.333333333333 86.9166666666667 10.5 11.9166666666667 1.91666666666667 1.41666666666667 0.666666666666667 0.545165398736795 0.0276862159678696 0.0490743224033039 0.0544372763868754 0.0206772153287305 0.190766178718427 0.0188227020147832 0.0933706904432156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0.00108225108225108 0.00124378109452736 0.00128205128205128 0.00252583237657865 0.00255987504338771 0.00302023557837511 0.0042920087455475 0.00757575757575758 0.00761582254119568 0.0117976703026883 0.0181040477484924 0.0231097302514411 0.0454981569352513 0.0794339149551971 0.0921115567836017 0.698125417156393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00219298245614035 0.00273224043715847 0.00378787878787879 0.0053343741868332 0.0060515873015873 0.010149947957325 0.0145109614884205 0.0244315964090554 0.0535444656723777 0.0681895063042604 0.139680321954912 0.66720115458791
2 98.75 78.6666666666667 9.66666666666667 8.25 1.08333333333333 0.666666666666667 0.416666666666667 0.515689579295484 0.0193309071839585 0.0498228783930916 0.0720724319065978 0.011773944257127 0.178168153542487 0.0252684303543537 0.127873675066901 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00268817204301075 0.00396825396825397 0.00396825396825397 0.00417626728110599 0 0 0 0 0.00268817204301075 0.0101828579222196 0 0.00705891330891331 0 0.0147438476208814 0.00469322344322344 0.00932609057609058 0.0265345765345765 0.0691883609222319 0.0853818703593647 0.0812780255119563 0.669658828782621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00925925925925926 0.00925925925925926 0 0.0080091533180778 0 0 0.0087719298245614 0 0.0206766917293233 0.0080091533180778 0.034905096880688 0.0899501168379887 0.0494815944854084 0.140133950011906 0.615370955569277
3 77.3333333333333 59.3333333333333 8 8 0.833333333333333 0.916666666666667 0.25 0.505044848040424 0.0255632487375672 0.0716416307718316 0.0903600458049585 0.0278486748805974 0.1417482374922 0.0241875260540074 0.113605788218414 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00219298245614035 0 0.00138888888888889 0.00641025641025641 0 0 0 0.00189393939393939 0 0 0.00219298245614035 0 0.00348119437266724 0.0043859649122807 0 0.00814488104784817 0 0.00441677309493401 0.00520833333333333 0.0389937864943668 0.0461679857518994 0.0683518166145859 0.0615066258257813 0.0935253198142905 0.649800284636523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0180555555555556 0.0222222222222222 0.0675004042363974 0.102310547875064 0.056962481962482 0.118738240395711 0.614210547752568
4 55.5833333333333 41.6666666666667 6.16666666666667 6.16666666666667 0.583333333333333 0.75 0.25 0.539348617414797 0.0164320452710876 0.0567296097069457 0.0886757159045726 0.0250853495523398 0.129062997571215 0.0284401664400571 0.116225498138986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0 0 0 0.0154727095516569 0 0.0246739834239834 0.00821593124224703 0.00476190476190476 0.0195646945646946 0.0470493663256821 0.0590743661796293 0.196492014320962 0.620065399999611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0.0115740740740741 0 0 0.0166666666666667 0 0.0462962962962963 0 0.0282407407407407 0.0493945868945869 0.0499417249417249 0.0735630110630111 0.636359936359936
5 72.8333333333333 56.0833333333333 7.91666666666667 7.16666666666667 1 0.416666666666667 0.25 0.53890602454362 0.0250281091758552 0.0320948072638746 0.040288169807203 0.0331551986270575 0.161572486302786 0.0321327492567562 0.136822455022849 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0.00177304964539007 0 0.0138888888888889 0.00308641975308642 0 0 0.00629154795821462 0 0.0262820512820513 0 0.0353853478410216 0.00177304964539007 0.0211923777497548 0.0144711424597484 0.0361594809753454 0.0670884144555811 0.118957291034956 0.652284818091992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0.00925925925925926 0.00925925925925926 0 0 0 0.00925925925925926 0 0 0 0 0.0643939393939394 0.039520202020202 0.0242592592592593 0.0187698412698413 0.0577705627705628 0.0733068783068783 0.688249158249158
6 63.25 49.4166666666667 7.16666666666667 4.83333333333333 1.08333333333333 0.333333333333333 0.416666666666667 0.585595228240727 0.0193100035063684 0.0414661360639835 0.0722901900829835 0.018295889710746 0.149775898458373 0.0247653792936252 0.0885012746431929 0 0 0 0 0 0 0 0.00173611111111111 0.00595238095238095 0 0.00173611111111111 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0.00411585365853659 0.00957556935817805 0 0.00980392156862745 0.0104166666666667 0.0120135283726296 0.0446465588723051 0.00173611111111111 0.0127009045943338 0.0360391615995992 0.0813526450713659 0.0807373658823235 0.685404589744517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00378787878787879 0 0.0833333333333333 0 0.00833333333333333 0 0.00577200577200577 0.0422348484848485 0.0558712121212121 0.0560515873015873 0.736282467532468
7 53 38.6666666666667 5.91666666666667 6.16666666666667 1.16666666666667 0.833333333333333 0.25 0.583699783592472 0.0252829537826617 0.0246641979031175 0.0671545826456937 0.0163386746204723 0.136552157169196 0.0334520042732565 0.11285564601313 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.00560731538992409 0 0.00826210826210826 0.00826210826210826 0 0.00396825396825397 0 0.0157985051699297 0.0256166056166056 0.0301162439613527 0.0180555555555556 0.0536992466068553 0.0607471047788553 0.105983795423155 0.564809082931223 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.0104166666666667 0.0416666666666667 0 0 0 0 0 0 0 0.0194583681425787 0 0.0104166666666667 0.0243055555555556 0 0.00757575757575758 0.00555555555555556 0.0153508771929825 0.123162071846282 0.0533980152401205 0.0957088111693375 0.505863775600618
8 80.8333333333333 60.6666666666667 7.5 9.25 1 1.83333333333333 0.583333333333333 0.548284437837052 0.0259684939464351 0.0426234649819514 0.090813100892727 0.0195146875414849 0.151048046304127 0.0135004602043142 0.108247308291909 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0.00308641975308642 0 0 0.00166666666666667 0 0.00617370892018779 0 0 0.00784037558685446 0 0.0105417751430927 0.00483883237697792 0.0157372009836799 0.0367140652557319 0.0551253413551801 0.0854952054020659 0.0747451590266409 0.691160249529835 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.0089524765729585 0.00347222222222222 0 0.00873760192284289 0 0.0164141414141414 0.0268308080808081 0.0330100162554982 0.0652433262461611 0.0755244462699282 0.0877552896843294 0.667115226886666
9 76.3333333333333 57.3333333333333 7.25 8.91666666666667 1 1.25 0.583333333333333 0.572181738383846 0.0261123943020678 0.0529248930541702 0.0382829709587357 0.045758167955273 0.135724631007272 0.0245153827064118 0.104499821632223 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.00305510092744135 0 0 0 0 0.0305868739902236 0.0167151390061607 0.00743104934281405 0.0153659571422729 0.0138967780238118 0.158081062957224 0.105426962376027 0.639637154665397 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0.00490196078431373 0 0 0.0043956043956044 0.0254083953680728 0.013986013986014 0.0640488701684148 0.061963649096002 0.715447021353093
10 44.4166666666667 32 3.75 6.58333333333333 1 0.666666666666667 0.416666666666667 0.683120015014448 0.00977034806442446 0.0242560872067513 0.0326505662771439 0.0164091477041273 0.104859702992176 0.00653032711856241 0.122403805622366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0 0.00268817204301075 0 0 0.005875 0.00898152914819582 0.0304659498207885 0.00533867200533867 0.0299600970017637 0.0904542136222243 0.0678267366829195 0.674409629675759 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.00115740740740741 0 0.0145833333333333 0.00694444444444444 0 0 0.0105769230769231 0.061965811965812 0.104861111111111 0.0250890313390313 0.514405270655271
