"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ie_Proportion" "Transition_eh_Proportion" "Transition_jh_Proportion" "Transition_jg_Proportion" "Transition_gj_Proportion" "Transition_og_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_gc_Proportion" "Transition_oc_Proportion" "Transition_jj_Proportion" "Transition_ei_Proportion" "Transition_ig_Proportion" "Transition_jo_Proportion" "Transition_so_Proportion" "Transition_ge_Proportion" "Transition_ji_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_jc_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_ho_Proportion" "Transition_gi_Proportion" "Transition_hg_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_eg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_cgs_Proportion" "Transition_gsi_Proportion" "Transition_jis_Proportion" "Transition_jhs_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_sig_Proportion" "Transition_eis_Proportion" "Transition_sgc_Proportion" "Transition_ggg_Proportion" "Transition_ssi_Proportion" "Transition_iis_Proportion" "Transition_ses_Proportion" "Transition_ehs_Proportion" "Transition_gsg_Proportion" "Transition_ges_Proportion" "Transition_jgs_Proportion" "Transition_ogs_Proportion" "Transition_sjs_Proportion" "Transition_ssj_Proportion" "Transition_igs_Proportion" "Transition_ccc_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_sso_Proportion" "Transition_hsg_Proportion" "Transition_sos_Proportion" "Transition_ocs_Proportion" "Transition_sjj_Proportion" "Transition_jsj_Proportion" "Transition_jos_Proportion" "Transition_ggs_Proportion" "Transition_csg_Proportion" "Transition_isg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_cis_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_shs_Proportion" "Transition_hos_Proportion" "Transition_sho_Proportion" "Transition_sis_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 123.083333333333 98.5 13.25 9.16666666666667 1.16666666666667 0.833333333333333 0.166666666666667 0.443665567379146 0.0494588726900492 0.0494843553323808 0.01304186450289 0.0160971010329972 0.236511525167537 0.0285311518030138 0.163209562091986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.0016025641025641 0.00177304964539007 0.00252525252525253 0.00308641975308642 0.00518720795085272 0.00697416182490809 0.00757575757575758 0.00942926844668138 0.00954907337290634 0.0120549867970374 0.0127555951120368 0.0241098521003517 0.0277088532436791 0.0286383571382835 0.105366626777139 0.182579999138868 0.554107850117096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.0036231884057971 0.00520833333333333 0.00520833333333333 0.00833333333333333 0.0257158023330884 0.0296955031877893 0.0381144393241167 0.0455709218901715 0.0896418093165989 0.243462789645293 0.497361029768113
2 82.4166666666667 65.3333333333333 7.83333333333333 7.5 0.666666666666667 0.583333333333333 0.416666666666667 0.457605262240102 0.0285287444297604 0.0284439445716655 0.0111241145410741 0.0333055625500733 0.180359516873201 0.0258684487381801 0.15143107272261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.0033993783993784 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0.00451770451770452 0.00642135642135642 0.00757575757575758 0.0106060606060606 0.0135508935508935 0.0110528360528361 0.0226995226995227 0.116536241536242 0.140818070818071 0.57521534021534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0416666666666667 0 0 0 0 0 0 0.00462962962962963 0.0270288671023965 0.0226244343891403 0.0167483660130719 0.0642312480547775 0.106814413799708 0.0930601941631353 0.533452590437885
3 100.833333333333 77.8333333333333 11 8.83333333333333 1.75 1.16666666666667 0.25 0.512491791590891 0.0273771230943073 0.0598453425813409 0.0163958182777786 0.0142221692259571 0.185566677055539 0.0249977454321258 0.15910333274206 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00173611111111111 0.00185185185185185 0.00203252032520325 0.00245098039215686 0.00333333333333333 0.00225225225225225 0.00198412698412698 0 0 0 0 0 0 0 0.00109649122807018 0 0.00203252032520325 0 0.0059053835730665 0.0119641280631993 0.0104075977237742 0.0103955802968961 0.0122620687590861 0.0280241721527684 0.0354495592595438 0.100598960736297 0.126347712222184 0.638778158181805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0.0043859649122807 0.0043859649122807 0.00490196078431373 0.00694444444444444 0.0115196078431373 0.00490196078431373 0 0 0 0 0 0 0.00396825396825397 0.019812091503268 0.0196545284780579 0.0272177899499881 0.0447350307644425 0.0810746543331683 0.126176481613788 0.635419304923949
4 87.6666666666667 68.8333333333333 8.66666666666667 7.25 1.58333333333333 1 0.25 0.384912275988255 0.0505028689770241 0.0470618148380903 0.0145684577540613 0.0350459980437433 0.195154896116967 0.0257775435344492 0.163642811414077 0 0 0 0 0 0 0 0 0.00087719298245614 0.00189393939393939 0.00087719298245614 0 0 0 0.000925925925925926 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0.00555555555555556 0.000925925925925926 0 0.00701058201058201 0.00440728557504873 0.0216754533640499 0.0155125028480292 0.0233019417229944 0.00783239664818612 0.0150106959317486 0.0796612480274761 0.178069582099187 0.46741495995882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00198412698412698 0.00198412698412698 0.0036231884057971 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.0119047619047619 0 0 0 0.0242531795326826 0.0314810706891452 0.00702454895001479 0.0216692957376187 0.0681216931216931 0.114956127378488 0.530458197771862
5 93.4166666666667 71.9166666666667 10.75 8.58333333333333 1.08333333333333 0.916666666666667 0.166666666666667 0.510789628377339 0.0379591484793007 0.0417004184015333 0.0219737430773145 0.0111789369180712 0.196069907625989 0.0366472721545365 0.143680944965916 0 0 0 0 0 0 0 0.00136612021857923 0.00238095238095238 0 0 0 0 0 0 0 0 0.00423728813559322 0 0 0 0 0 0 0 0 0 0.0055327868852459 0 0.00136612021857923 0.00868817982392057 0.0168350168350168 0.0116466422887324 0.0268436242120453 0.0354124876957694 0.0354837039878658 0.107017946749486 0.159562318956655 0.583626811611559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0173313528576686 0.00320512820512821 0 0 0 0 0 0 0 0.0208818958818959 0.0281169447836114 0.0307928913192071 0.082972582972583 0.0892233497496655 0.148604709131025 0.574485180186935
6 94.6666666666667 74 11.3333333333333 6.66666666666667 1 1.16666666666667 0.5 0.448853998379046 0.0290148065706647 0.0415080827915754 0.0211457254676016 0.0140740801558725 0.25423783608249 0.0307539543718076 0.160411516180942 0 0 0 0 0.00396825396825397 0.0040227493411014 0.00595238095238095 0 0.000936329588014981 0 0 0 0.00527131782945736 0 0.00245098039215686 0 0.00520833333333333 0.00297619047619048 0 0 0.00193798449612403 0.00308641975308642 0 0 0 0.000936329588014981 0 0.00974264705882353 0 0.0170828678760261 0.0105273753086288 0.0258285555824397 0.0158352442100436 0.0251822426654758 0.0213818388168786 0.0266789806463479 0.108843615415565 0.177423461901382 0.524725900800274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00490196078431373 0.00555555555555556 0.00555555555555556 0.00555555555555556 0 0 0.00694444444444444 0 0 0 0 0.00694444444444444 0 0.0238095238095238 0.0160130718954248 0.015527950310559 0 0.0118464052287582 0.0188492063492063 0 0 0 0.0119047619047619 0.00208333333333333 0.0293584825234442 0.0272844394167924 0.0362920168067227 0.0841432810582427 0.168408486583039 0.512771524440322
7 87.5833333333333 67.6666666666667 10.1666666666667 7 1.33333333333333 1 0.416666666666667 0.544518419367331 0.0187227922490023 0.0303619876593432 0.0187638472844919 0.0292374508590498 0.192534077659028 0.0258960136309444 0.139965411290809 0 0 0.00114155251141553 0.00114155251141553 0 0 0 0 0 0 0 0.00347222222222222 0.00219298245614035 0 0 0 0 0.00128205128205128 0 0.00114155251141553 0.00114155251141553 0.00726291252607042 0 0 0 0 0.00114155251141553 0.0047542735042735 0 0.0068067571897781 0.0121501842155681 0.0254973255301586 0.0076688756610791 0.00995198068391015 0.0136039739986491 0.0313151946198981 0.0953903109821382 0.132454555783828 0.640488636787157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0.00347222222222222 0 0 0.0111721611721612 0.0107142857142857 0.00238095238095238 0.00833333333333333 0.00833333333333333 0 0 0 0 0.00238095238095238 0.00634920634920635 0.0136321195144725 0.0513332255979315 0.080734067131126 0.139097775862482 0.657304460245637
8 118.25 90.1666666666667 13.75 10 2.66666666666667 1.08333333333333 0.583333333333333 0.493433484910675 0.030953113687686 0.0444613860956791 0.0172937249049404 0.0144667270856957 0.224436826279745 0.0222363355496867 0.152718401485892 0 0.00111111111111111 0 0 0 0 0 0.00260416666666667 0 0 0 0 0.00130208333333333 0 0.00198412698412698 0.00203252032520325 0.00151515151515152 0 0 0 0.00396825396825397 0 0 0 0.00138888888888889 0 0.000886524822695035 0.00679899776641798 0 0.00843227583586626 0.00533223959234273 0.0253168048667769 0.00723958333333333 0.0142180352153756 0.0119959745834606 0.0353229089098393 0.111245143478448 0.167455266008141 0.589849942794568 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00467229902713774 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0.00225225225225225 0.00268817204301075 0.0264579095224256 0 0.00423637923637924 0.00198412698412698 0 0 0 0 0.0191299384847772 0.0166083916083916 0.0202991452991453 0.0513791650888425 0.0790387814581363 0.195400061529094 0.562237488850392
9 117.166666666667 90.3333333333333 13.1666666666667 10.4166666666667 1.83333333333333 1.16666666666667 0.25 0.48334415117753 0.0344348363096795 0.0431049309015202 0.0109845665229275 0.0231771476185932 0.247768698654873 0.0240892557871671 0.133096413027709 0 0 0 0.00225225225225225 0 0 0 0 0.00136612021857923 0 0 0.00136612021857923 0.00320961718020542 0 0 0 0 0 0.00203252032520325 0 0 0.00552702895450007 0 0 0 0 0 0.0139961355645177 0 0.00677115579602861 0.0123685350208925 0.0187338826938233 0.017131110445424 0.0133186918153858 0.0112035280637667 0.0357135190353365 0.10101681510452 0.142883368211023 0.52777626576663 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.00347222222222222 0.00416666666666667 0.00595238095238095 0.0119047619047619 0 0.00694444444444444 0 0 0 0 0 0.00245098039215686 0 0 0 0 0.0028735632183908 0 0 0 0 0 0.00607416879795396 0 0.00347222222222222 0.00709541062801932 0.00416666666666667 0 0.00245098039215686 0.0128676470588235 0 0 0 0.00416666666666667 0.0028735632183908 0.0313554780149608 0.0140342775041051 0.058477702675273 0.102550284439946 0.122863985257605 0.500705466886071
10 101.333333333333 78.3333333333333 11.1666666666667 8.83333333333333 2 0.833333333333333 0.166666666666667 0.452372856643182 0.0351769111689903 0.0360602610797954 0.0216373770027394 0.0173302297229085 0.298031146412333 0.0259004525581889 0.113490765411862 0 0 0 0.00208333333333333 0 0 0 0 0 0 0.00297619047619048 0 0.00245098039215686 0 0 0 0 0.00193798449612403 0.00122549019607843 0 0 0 0 0 0 0 0.00122549019607843 0.0085171568627451 0 0.00122549019607843 0.0115023618953639 0.00651602104256337 0.0169986302851377 0.00938958426095417 0.0131971331680294 0.0193005397198956 0.0867218619629367 0.151035445548163 0.580362972634837 0 0 0 0 0 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.00714285714285714 0.00818452380952381 0 0 0 0.00297619047619048 0 0 0 0.00520833333333333 0.0343477668845316 0.0078781512605042 0.0239408263305322 0.0848973806694395 0.157313329372153 0.570946775174716
