"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_eh_Proportion" "Transition_ii_Proportion" "Transition_jg_Proportion" "Transition_ei_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_og_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_co_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_sj_Proportion" "Transition_so_Proportion" "Transition_cs_Proportion" "Transition_gg_Proportion" "Transition_jc_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_isg_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_scs_Proportion" "Transition_ses_Proportion" "Transition_ogs_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_iss_Proportion" "Transition_sjs_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 76.3333333333333 58.75 8.25 7 0.916666666666667 1.25 0.166666666666667 0.537176595183017 0.0286496859331078 0.0159497066324949 0.0131964661175575 0.000448028673835126 0.307190692560721 0.0182742600983045 0.0791145648009621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00136612021857923 0.00591473743647657 0.00595238095238095 0.00839438339438339 0.00967668488160291 0.00990953490953491 0.0109682330815617 0.0127843841611958 0.0201790359399055 0.0388351091724815 0.17520851815221 0.699603148231088 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00641025641025641 0.00855263157894737 0.0198717948717949 0.0285250162443145 0.146562810159301 0.787884508279245
2 50.25 38.8333333333333 4.66666666666667 5.25 0.833333333333333 0.416666666666667 0.25 0.62571504892548 0.025381014435048 0.0135283291986236 0.0105725644749502 0.00693063446969697 0.22324044348619 0.0134483674964358 0.0811835975135759 0 0 0 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0.00347222222222222 0.00757575757575758 0.00757575757575758 0.00909090909090909 0 0 0.00347222222222222 0 0 0.00694444444444444 0 0.00513833992094862 0.0151972624798712 0.025462962962963 0.0224820670472844 0.250012491821498 0.640545259605819 0 0 0 0 0 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.0208333333333333 0.0303819444444444 0 0.0210526315789474 0.00833333333333333 0.00260416666666667 0.0285714285714286 0.196378968253968 0.600698360484545
3 46.8333333333333 37.4166666666667 3.66666666666667 4.5 0.333333333333333 0.833333333333333 0.0833333333333333 0.668511378975588 0.0270923715417657 0.0286904016489295 0.00729995765385047 0.00238480437679828 0.194833565417713 0.0261908990925362 0.0449966212928187 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00694444444444444 0 0.0121578690127077 0 0 0 0 0 0 0.014520202020202 0 0 0.0261363636363636 0 0.00520833333333333 0.0077386770935158 0.0113673478910041 0.019193687726158 0.103078802367852 0.704944595055065 0 0 0 0.00520833333333333 0.0138888888888889 0 0 0 0.0119047619047619 0.00520833333333333 0 0.0416666666666667 0.0416666666666667 0 0.0203598484848485 0.133815836940837 0.642947330447331
4 26.5833333333333 19.1666666666667 2.5 3.58333333333333 0.333333333333333 0.833333333333333 0.166666666666667 0.673548399590066 0.00959270282186949 0.0200243610957897 0.0243384009009009 0.00170068027210884 0.190266839969221 0.0325243610957897 0.0480042542542543 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0291666666666667 0 0 0.0240384615384615 0 0 0.011039886039886 0.00231481481481481 0.101851851851852 0.186463742407139 0.624291243347847 0 0 0 0 0 0 0 0 0 0 0 0.0472222222222222 0 0 0.0170634920634921 0.204426129426129 0.481288156288156
5 30.5 25.0833333333333 2.66666666666667 2 0.333333333333333 0.416666666666667 0 0.670710153553883 0.00908821225317389 0.00689578467356245 0.0132957376314864 0.00859830628349147 0.234865483176438 0.00555555555555556 0.0509907668724094 0 0 0 0 0 0 0.0138888888888889 0.00694444444444444 0 0.0107323232323232 0 0 0 0 0 0.00833333333333333 0.0176767676767677 0.010662177328844 0 0.00694444444444444 0 0 0.00378787878787879 0.0939955106621773 0.0290965207631874 0.0840768799102132 0.630527497194164 0 0.0166666666666667 0.0166666666666667 0 0 0 0 0.0208333333333333 0.00595238095238095 0.0208333333333333 0 0.0208333333333333 0.0119047619047619 0 0 0.0446428571428571 0.675
6 20.4166666666667 15 1.83333333333333 2.66666666666667 0.583333333333333 0.25 0.0833333333333333 0.773153034830666 0.0224660165484634 0.010747408619749 0.00409165302782324 0.00368589743589744 0.146765115872059 0.00448717948717949 0.0346036941781623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0135416666666667 0 0.0118634259259259 0.0109375 0.0043859649122807 0.0192708333333333 0.0902534113060429 0.59974719785575 0 0 0 0 0 0 0 0 0 0.0347222222222222 0 0 0 0 0.0263888888888889 0.0828703703703704 0.606018518518519
7 23.5833333333333 18.9166666666667 2.33333333333333 1.41666666666667 0.166666666666667 0.583333333333333 0.166666666666667 0.706062225760427 0.00950176366843033 0.011682431886167 0.0144434183873832 0.00416666666666667 0.164626422542449 0.0100454227812718 0.0794716483072053 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.00320512820512821 0 0 0 0 0 0.00694444444444444 0 0 0.06002331002331 0.00757575757575758 0 0.0152380952380952 0.0296300921300921 0.0528083028083028 0.0844078144078144 0.640167055167055 0.00641025641025641 0 0 0 0 0 0 0 0.00641025641025641 0.0416666666666667 0 0.0972222222222222 0 0 0.046875 0.0532852564102564 0.664797008547009
8 24.1666666666667 18.4166666666667 2.33333333333333 2.75 0.5 0.0833333333333333 0.0833333333333333 0.683726021373258 0.00601851851851852 0.00138888888888889 0.0283267139957647 0.0162994891443167 0.153532632807545 0.0899862568715642 0.0207214784001442 0 0 0 0.0119047619047619 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.0363425925925926 0.00757575757575758 0.00308641975308642 0.00925925925925926 0.0127840909090909 0.00925925925925926 0.0860886506001449 0.714439948886788 0 0 0 0 0 0 0 0 0.0138888888888889 0.0166666666666667 0 0.113888888888889 0.0166666666666667 0 0.0166666666666667 0.054029304029304 0.684859584859585
9 18 13.6666666666667 2 1.66666666666667 0.333333333333333 0.25 0.0833333333333333 0.708198737230476 0.0173814192343604 0.0078125 0.0211287707769465 0.00639005602240896 0.180540306488277 0.00499392795092721 0.0535542822966036 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0.0160233285233285 0.00490196078431373 0.0119047619047619 0.0360449735449735 0.00297619047619048 0.0287114845938375 0.0818107546048722 0.54300533344651 0 0 0 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0 0.0291666666666667 0 0 0.105555555555556 0.0694444444444444 0.451388888888889
10 27.0833333333333 22.5 1.75 2.33333333333333 0.0833333333333333 0.25 0.0833333333333333 0.660731571669072 0.017775974025974 0.00520833333333333 0.0368356180856181 0.00689935064935065 0.107115800865801 0.016504329004329 0.065595689033189 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.0257936507936508 0.0277777777777778 0.0138888888888889 0.00416666666666667 0.00925925925925926 0.0284090909090909 0.0681577681577682 0.725324675324675 0 0 0 0 0 0 0 0 0.0277777777777778 0.0416666666666667 0 0.0285714285714286 0 0 0.0119047619047619 0.136904761904762 0.66984126984127
