"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_hh_Proportion" "Transition_gi_Proportion" "Transition_je_Proportion" "Transition_jj_Proportion" "Transition_jh_Proportion" "Transition_co_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_sh_Proportion" "Transition_hi_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_og_Proportion" "Transition_sj_Proportion" "Transition_ji_Proportion" "Transition_gg_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_hhh_Proportion" "Transition_sjs_Proportion" "Transition_eee_Proportion" "Transition_jjs_Proportion" "Transition_jsc_Proportion" "Transition_csi_Proportion" "Transition_sos_Proportion" "Transition_ogs_Proportion" "Transition_scs_Proportion" "Transition_jsi_Proportion" "Transition_jcs_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_jsh_Proportion" "Transition_shs_Proportion" "Transition_jgs_Proportion" "Transition_osg_Proportion" "Transition_ggs_Proportion" "Transition_his_Proportion" "Transition_sgs_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_ess_Proportion" "Transition_ssi_Proportion" "Transition_sis_Proportion" "Transition_jis_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 286.666666666667 240.083333333333 24.3333333333333 18.8333333333333 2.08333333333333 1.25 0.0833333333333333 0.293107430107376 0.0569712751599528 0.0900585016556829 0.0366645539791684 0.0139236189561544 0.226475472165242 0.0505922702705083 0.232206877705914 0 0 0 0 0 0 0 0 0 0 0 0.000591016548463357 0.000712250712250712 0.000712250712250712 0.000712250712250712 0.000712250712250712 0.00174105729661285 0.00238143838878683 0.00313434552564987 0.00332050340493434 0.00351227447500739 0.00674961451013037 0.00694444444444444 0.00802321836857813 0.0164452731561936 0.0244161359208673 0.0389909636353873 0.0426556130852235 0.0781276819157445 0.126349920300278 0.14137830637065 0.492389189804045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00193798449612403 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00308641975308642 0.00326073581887535 0.00326073581887535 0.00490196078431373 0.0217844914749839 0.060794665246821 0.096342240251089 0.115712254041768 0.130265474328144 0.130731928956155 0.417373907693089
2 125.583333333333 101.583333333333 11.8333333333333 10 1.08333333333333 0.916666666666667 0.166666666666667 0.397848355495204 0.0383119644928383 0.10178207623174 0.0187222530762943 0.0131218371012464 0.161390082189777 0.0492777937406977 0.219545637672202 0 0 0 0 0 0 0 0 0 0.00208761562178828 0.00268817204301075 0 0 0 0 0.000599520383693046 0 0.00308641975308642 0 0.000599520383693046 0 0.0271402368360184 0.00595238095238095 0.0114162807414623 0.00337729816147082 0.0585631960182572 0.0475065566961451 0.0494248555445779 0.061820826108145 0.0734310107594038 0.11943392077266 0.532872189224207 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00520833333333333 0.00520833333333333 0.00641025641025641 0.0104166666666667 0 0 0 0.00925925925925926 0 0 0 0.0234820156695157 0 0.00138888888888889 0 0.0240607193732194 0.0637990481740482 0.0892753658378658 0.115104166666667 0.103279995467495 0.0855769230769231 0.451974472286972
3 54.8333333333333 43 5.16666666666667 5.58333333333333 0.583333333333333 0.416666666666667 0.0833333333333333 0.459298935870277 0.050732229119478 0.112371522162905 0.0327238523293756 0.0103364186590825 0.114268152930904 0.051880935876076 0.168387953051902 0 0 0 0 0 0 0 0 0.0036231884057971 0 0.00231481481481481 0 0 0 0 0 0 0.00231481481481481 0 0 0.0036231884057971 0.0183862433862434 0.0243055555555556 0.0196946169772257 0.0110708534621578 0.0189642282033586 0.048582355647573 0.0198268921095008 0.0692287784679089 0.0769999424890729 0.0808287324591672 0.600235794801012 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0.0480769230769231 0 0 0 0 0 0 0 0 0.0492424242424242 0 0.00490196078431373 0 0.00980392156862745 0.0179924242424242 0.0888122294372294 0.145527572917279 0.0537141779788839 0.120209753481812 0.454142854694325
4 57.75 45.5 5.66666666666667 5.16666666666667 0.666666666666667 0.583333333333333 0.166666666666667 0.537581119508796 0.0244296096024258 0.0780465687434292 0.0153451488960583 0.00869792736968011 0.131871058962841 0.0520466639329247 0.151981902983846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00432027649769585 0 0 0.00694444444444444 0.0478395061728395 0 0.0154405779405779 0.00297619047619048 0.0085978835978836 0.0299431836788159 0.0100308641975309 0.0392161756177329 0.0734755518311321 0.112043820377154 0.649171525168003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01875 0 0 0 0.00925925925925926 0.00833333333333333 0.0613425925925926 0.0769345238095238 0.0435185185185185 0.0519675925925926 0.646560846560847
5 50.75 38 5 6.33333333333333 0.5 0.833333333333333 0.0833333333333333 0.468795634376808 0.0419676935618091 0.124654379884441 0.0244074152415653 0.0154579688892323 0.14614219966658 0.0395140150036957 0.139060693375869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.0299707602339181 0 0.0101851851851852 0.00396825396825397 0.0174812224812225 0.00347222222222222 0 0.00462962962962963 0.0182443482443482 0.0810269469808944 0.0247279341029341 0.0528227924609503 0.101188735728209 0.0973289113420692 0.553216946309052 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0.00757575757575758 0.0244973544973545 0.205905736563631 0.126634642160958 0.0486471861471861 0.147936507936508 0.41430546062125
6 46.75 37.8333333333333 3.25 4.58333333333333 0.416666666666667 0.333333333333333 0.333333333333333 0.531149930414077 0.041756583271203 0.070014951726451 0.0158487770768073 0.0144235291881578 0.151228896668783 0.0446841999060411 0.130893131748479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00238095238095238 0.00163398692810458 0.00163398692810458 0.0476761757334513 0.0308110963683719 0.0306440119907612 0.0371345029239766 0.0694716961744826 0.066523818458803 0.543789118518221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0.0791666666666667 0.0468462823725982 0.0586208576998051 0.0510129490392648 0.0944047619047619 0.0916026176552492 0.407293233082707
7 60 48.8333333333333 5.5 5.16666666666667 0.25 0.25 0 0.463906688316206 0.0470870832112797 0.0964759935798992 0.0466895704250739 0.00839501109018616 0.134306608904155 0.0353137387977483 0.167825305675452 0 0 0 0 0 0 0.00163398692810458 0.00490196078431373 0 0.00833333333333333 0 0 0 0 0 0 0 0 0.00798838053740015 0.00555555555555556 0 0.0221807241415085 0.00641025641025641 0 0 0.0303506587820313 0.0355352688579458 0.0682836258496958 0.0692340552314977 0.160162698120925 0.0918478895674122 0.48758160590002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0119047619047619 0 0 0 0.0119047619047619 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0.0202380952380952 0.0309757236227824 0.0748015873015873 0.130894024276377 0.0889122315592904 0.121907096171802 0.389017273576097
8 62.8333333333333 48.5833333333333 5.83333333333333 6.83333333333333 0.75 0.666666666666667 0.166666666666667 0.497668680312859 0.0387825659751253 0.0838975259859115 0.0351362198127781 0.0125629181469246 0.122808544001981 0.0576934279085859 0.151450117855835 0 0 0 0 0.00198412698412698 0.00757575757575758 0 0 0.00333333333333333 0 0.00412087912087912 0 0 0 0.0014367816091954 0 0 0 0.0028735632183908 0 0.00357353374594754 0.00977011494252874 0 0.00342090859332239 0.0063034188034188 0.0295920522644661 0.0568100880600881 0.0239333607006021 0.0508903835627973 0.085136053282605 0.0689984345156759 0.640247209686865 0 0 0 0 0 0.00462962962962963 0.00595238095238095 0.00595238095238095 0.00833333333333333 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0.0208333333333333 0 0 0 0 0.00416666666666667 0 0 0 0.0253256003256003 0.0275462962962963 0.0936304436304436 0.0684523809523809 0.0676205738705739 0.0816798941798942 0.579924704924705
9 47.75 38.6666666666667 3.66666666666667 4.25 0.583333333333333 0.333333333333333 0.25 0.500202613038277 0.036889921391661 0.109590542968043 0.0224426474804575 0.022878440553747 0.105971404173511 0.0319632102181416 0.170061220176163 0 0 0.00378787878787879 0.00462962962962963 0 0 0 0 0.00555555555555556 0 0.0148809523809524 0 0 0.0333333333333333 0.0166666666666667 0 0 0.00320512820512821 0.00320512820512821 0 0 0.00378787878787879 0.0131313131313131 0.005501443001443 0.00378787878787879 0.0263197450697451 0.0590763403263403 0.0144300144300144 0.0563411125911126 0.0466575091575092 0.0737177174677175 0.611984774484775 0 0 0 0.00694444444444444 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.00462962962962963 0 0 0 0.012962962962963 0.0296296296296296 0.117361111111111 0.111574074074074 0.0173611111111111 0.0548611111111111 0.554398148148148
10 81.3333333333333 67.9166666666667 7 5.25 0.75 0.166666666666667 0.25 0.456446113928307 0.0289070613251955 0.135061189183711 0.0372313389582085 0.00863892608071514 0.116821411922656 0.0657000060142001 0.151193952587007 0 0 0 0 0 0 0 0.00170068027210884 0.00416666666666667 0 0.00371531406014165 0 0 0 0 0.00170068027210884 0 0 0.000841750841750842 0.0237068965517241 0.0028735632183908 0.00574371162606457 0 0.0028735632183908 0.00340136054421769 0.0504496643659205 0.0413643235071806 0.0142299343980016 0.0734441651965558 0.0896444837077987 0.133655977194082 0.463153931025563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0 0.00213675213675214 0 0 0 0 0.00520833333333333 0 0 0 0.0146901709401709 0.0132478632478632 0.0509259259259259 0.109410612535613 0.0464565527065527 0.0779202279202279 0.344533475783476
