"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hc_Proportion" "Transition_hj_Proportion" "Transition_ih_Proportion" "Transition_jh_Proportion" "Transition_cc_Proportion" "Transition_ic_Proportion" "Transition_ei_Proportion" "Transition_go_Proportion" "Transition_so_Proportion" "Transition_jo_Proportion" "Transition_ej_Proportion" "Transition_cg_Proportion" "Transition_ie_Proportion" "Transition_gc_Proportion" "Transition_sc_Proportion" "Transition_hi_Proportion" "Transition_jc_Proportion" "Transition_gj_Proportion" "Transition_hg_Proportion" "Transition_gh_Proportion" "Transition_ge_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_ee_Proportion" "Transition_gi_Proportion" "Transition_jg_Proportion" "Transition_ci_Proportion" "Transition_jj_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_ji_Proportion" "Transition_se_Proportion" "Transition_os_Proportion" "Transition_sh_Proportion" "Transition_cs_Proportion" "Transition_eg_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_icc_Proportion" "Transition_cgs_Proportion" "Transition_hcs_Proportion" "Transition_shc_Proportion" "Transition_csc_Proportion" "Transition_igo_Proportion" "Transition_scc_Proportion" "Transition_osc_Proportion" "Transition_ihj_Proportion" "Transition_jih_Proportion" "Transition_jsg_Proportion" "Transition_jhs_Proportion" "Transition_jjj_Proportion" "Transition_ose_Proportion" "Transition_esi_Proportion" "Transition_eis_Proportion" "Transition_iei_Proportion" "Transition_igg_Proportion" "Transition_gse_Proportion" "Transition_sjj_Proportion" "Transition_jgj_Proportion" "Transition_hgs_Proportion" "Transition_ghs_Proportion" "Transition_hig_Proportion" "Transition_iig_Proportion" "Transition_hii_Proportion" "Transition_ghi_Proportion" "Transition_ogs_Proportion" "Transition_igi_Proportion" "Transition_gjo_Proportion" "Transition_gsj_Proportion" "Transition_egs_Proportion" "Transition_gig_Proportion" "Transition_scg_Proportion" "Transition_shs_Proportion" "Transition_ies_Proportion" "Transition_ise_Proportion" "Transition_gsc_Proportion" "Transition_sig_Proportion" "Transition_jgs_Proportion" "Transition_igj_Proportion" "Transition_ses_Proportion" "Transition_sgi_Proportion" "Transition_iii_Proportion" "Transition_gsi_Proportion" "Transition_csi_Proportion" "Transition_iis_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_ssj_Proportion" "Transition_hsg_Proportion" "Transition_ssi_Proportion" "Transition_ges_Proportion" "Transition_his_Proportion" "Transition_sjs_Proportion" "Transition_jcs_Proportion" "Transition_ggi_Proportion" "Transition_gii_Proportion" "Transition_esg_Proportion" "Transition_eee_Proportion" "Transition_jsj_Proportion" "Transition_igs_Proportion" "Transition_gis_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_ggs_Proportion" "Transition_css_Proportion" "Transition_hss_Proportion" "Transition_isg_Proportion" "Transition_cis_Proportion" "Transition_oss_Proportion" "Transition_sis_Proportion" "Transition_ggg_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 145.5 114 13.0833333333333 13.6666666666667 2 1.58333333333333 1.16666666666667 0.533651959943463 0.0208283803199834 0.0187890389216354 0.00577769406301618 0.0107302750219146 0.324614536831208 0.0106827258236313 0.0749253890751476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000527426160337553 0.00102880658436214 0.00122549019607843 0.00122549019607843 0.00130208333333333 0.00136612021857923 0.00163398692810458 0.00163398692810458 0.00225429678044057 0.00268883924877968 0.00285947712418301 0.00402891373104595 0.00563363531066435 0.00733340316814633 0.00940839963034394 0.0235893828717363 0.0349033704424447 0.0387856396689953 0.116766506472199 0.658471411672709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00193798449612403 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00416666666666667 0.00416666666666667 0.00599339649727247 0.00712636252932965 0.00757575757575758 0.00763888888888889 0.0144103015696453 0.0316537467700258 0.0316537467700258 0.0358705627585348 0.112454543729819 0.642827399492751
2 90.5833333333333 70.5 7.91666666666667 7.5 2.16666666666667 1.75 0.666666666666667 0.50213456530668 0.0331596318372069 0.045894016677949 0.0870577311743931 0.00964888592098016 0.169031724813631 0.0112819642539726 0.0584581466818538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00183150183150183 0.00400217066883734 0.00429046262379596 0 0.00154320987654321 0 0.0016025641025641 0.0026701368806632 0 0.00245896079229413 0.00484645425121616 0.0016025641025641 0.00171894382420698 0.00154320987654321 0.00254243111385969 0.00719032429558745 0.00559008892342226 0.00503663003663004 0.0268014230733529 0.0184870035747229 0.0496065396128053 0.0628010530266169 0.538110884288829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00260416666666667 0.00320512820512821 0.00336734693877551 0.00340136054421769 0.00430484693877551 0.00430484693877551 0.00427083333333333 0 0 0.00170068027210884 0.00260416666666667 0.00580929487179487 0.0117001114827202 0.0181228741496599 0.00340136054421769 0.00690901360544218 0.00811093668236525 0.00762088907469342 0.0137840136054422 0.0223937074829932 0.0245430858710321 0.0644247294059324 0.528314565902932
3 86.5833333333333 68.25 7.5 7.41666666666667 1.91666666666667 1.08333333333333 0.416666666666667 0.654039891188922 0.0302948630860372 0.0154818771491908 0.0064859693877551 0.0157935011736855 0.192095137992754 0.00762302347123776 0.078185736550418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000915750915750916 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.00165016501650165 0.00846228239845261 0 0 0.000886524822695035 0 0.00625054665249388 0 0.00359268527585359 0.0135549269212636 0.00522549040033767 0.0211038961038961 0.0127214170692432 0.026698106253615 0.0532374378068684 0.0878588868584839 0.669998836942719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00193798449612403 0.00208333333333333 0 0 0.0119047619047619 0 0 0 0 0 0 0.00934343434343434 0.0134086696081135 0.00378787878787879 0 0 0.00181159420289855 0.0297157622739018 0.00555555555555556 0.0361471861471861 0 0.0257936507936508 0.00945610043815302 0.0166666666666667 0 0.0393421704405021 0.0903691326087686 0.617531190862839
4 127.5 97.1666666666667 11.5 13.1666666666667 2.5 2.08333333333333 1.08333333333333 0.679235011234671 0.0252393044691785 0.00744409864136502 0.00578916145513161 0.0179474577474075 0.184388319056564 0.00920852202556793 0.0707481253701145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0.00117370892018779 0.00170068027210884 0.00114155251141553 0 0.00808599695585997 0 0.000666666666666667 0 0.00117370892018779 0 0 0.0104166666666667 0.00185185185185185 0 0.00615072041444067 0 0.00330236389094803 0.00443482537611696 0.00327334376630151 0.00493871667767675 0.0266810985636817 0.0321243941939102 0.041113395503256 0.104929536149341 0.662333730445861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00198412698412698 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.0186507936507937 0 0 0.0181818181818182 0.00735294117647059 0 0 0 0.00177304964539007 0.00683261183261183 0.0113780663780664 0.00859899904017551 0.00151515151515152 0.00429292929292929 0.00732860520094563 0.00834776334776335 0.021984126984127 0.0367232102774886 0.110387606157977 0.647041937707902
5 116.25 86.1666666666667 11.25 13.0833333333333 2.25 2.25 1.25 0.62792752630814 0.0416620714520653 0.0136511382198809 0.0193869228644695 0.0260488619336032 0.173578082923314 0.00392935113168138 0.0938160451668457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0 0 0.014515455304929 0 0 0 0 0.00790057688642594 0 0.0424528301886792 0 0 0 0.0448944218572446 0.00149462197159566 0.00354918151528321 0.0006265664160401 0.00181502525252525 0 0.00213675213675214 0 0.000868055555555556 0.00995841488176394 0.00612096009533602 0.0165544510995002 0.0254096552542081 0.0507738056939825 0.0325069481314084 0.134182565202962 0.603515074874649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00114155251141553 0.00163398692810458 0.00185185185185185 0.00185185185185185 0.00416666666666667 0.00416666666666667 0.00787037037037037 0.00833333333333333 0.0833333333333333 0 0.00185185185185185 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.00114155251141553 0.00527650938609843 0 0.00208333333333333 0 0 0 0.00208333333333333 0.00391709195093563 0.0078042328042328 0.0327787680728857 0.00382972455442628 0.0088680926916221 0.0131914430363262 0.0396649818084145 0.0243391596987487 0.0717953211672507 0.554772326663004
6 87.1666666666667 62.8333333333333 10.1666666666667 9.16666666666667 2.16666666666667 1.41666666666667 1.33333333333333 0.580615416949047 0.0290294545592147 0.0105423340314533 0.0112223940977209 0.0183789936725921 0.17639893081093 0.0181738377134398 0.072305304832268 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0.000868055555555556 0.00465593434343434 0 0 0 0 0 0 0 0.00613026819923372 0 0.00173611111111111 0.00144276819923372 0.000868055555555556 0 0.000574712643678161 0.00695789871436423 0 0.000868055555555556 0.00611807584064305 0.000574712643678161 0.00412389415896137 0 0.00368798079201352 0.0155040071015743 0.00342991022144295 0.0175768696809024 0.0256415857170167 0.0374799050472998 0.0692436739421324 0.0806813639522947 0.627928115047307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00119047619047619 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0 0 0.00166666666666667 0 0.00285714285714286 0 0 0.0104166666666667 0.0120833333333333 0 0.00213675213675214 0 0 0 0 0 0 0 0.00332722832722833 0 0 0.00594017094017094 0.00166666666666667 0 0 0.00452380952380952 0.00919962950855399 0.00238095238095238 0 0.00166666666666667 0.00648033126293996 0.00119047619047619 0.00925925925925926 0.0281882067208154 0.00333333333333333 0 0.00285714285714286 0.0237096759922847 0.0151994301994302 0.117269965605206 0.0612919876335208 0.580973552890029
7 87 63.9166666666667 9.58333333333333 8.75 1.5 2 1.16666666666667 0.612505711026689 0.0207573757626212 0.0214057054812028 0.0136286243167859 0.0139819162328641 0.183079673628048 0.00249285413973569 0.0488148060787198 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0.00595238095238095 0 0 0.000737463126843658 0 0 0 0 0.00595238095238095 0 0.00163352047451391 0.00490196078431373 0 0 0.00412781662781663 0.0047440611956741 0.00326271565209618 0.00252525252525253 0.00641025641025641 0.0016025641025641 0.0117851657899985 0 0.00322502531589838 0.00595238095238095 0.00889781859931114 0.00326271565209618 0.0147058722565431 0.0394316138547973 0.0301888687895527 0.124661716121333 0.626752735578281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.00617283950617284 0.00154320987654321 0 0 0 0.0200617283950617 0 0.00308641975308642 0 0.0119047619047619 0 0.0103202160493827 0.0279778791814784 0.00311553692056837 0 0.0153769841269841 0.0428817093368809 0.0164930555555556 0.0327512748255502 0.0860409134182035 0.595730261273227
8 91.6666666666667 68.8333333333333 9.25 9.75 1.25 1.16666666666667 1.33333333333333 0.591698672708024 0.028584046690521 0.00986337318097229 0.0239744956728609 0.0146131495750605 0.17794135878994 0.00971848455489459 0.0602730854943927 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00268817204301075 0.000946969696969697 0 0 0 0.00189393939393939 0 0.00193798449612403 0 0.000946969696969697 0 0.00166666666666667 0.00284090909090909 0.00666666666666667 0.00530180840664712 0.00229105571847507 0 0 0.00550334952159092 0.00743657505285412 0 0.00428030303030303 0.00193798449612403 0 0.0021209740769835 0.0036046511627907 0.00356536502546689 0.00587719298245614 0.00504385964912281 0.00467741935483871 0.0147410147991543 0.0413334540135076 0.0421064367043343 0.105225332402269 0.640093628022368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00252525252525253 0.0041592394533571 0.00462962962962963 0.00641025641025641 0.00715488215488215 0 0 0 0 0 0 0 0.0028735632183908 0 0.00252525252525253 0 0 0 0 0.00163398692810458 0 0 0 0 0.00505050505050505 0 0 0.00193798449612403 0 0 0.00163398692810458 0 0.00757575757575758 0 0.00462962962962963 0.00252525252525253 0.00252525252525253 0.00505050505050505 0.00163398692810458 0.00193798449612403 0.00481154771451484 0 0 0 0.00252525252525253 0.0065359477124183 0.0247747078629432 0.00878886908298673 0.00505050505050505 0.00632394940840473 0.0265770449593979 0.0145820954644484 0.0370234886605756 0.083200572382721 0.623523830079595
9 82.0909090909091 57.1818181818182 11.6363636363636 8.36363636363636 2.81818181818182 1.36363636363636 0.727272727272727 0.653637678689577 0.0323193553286932 0.0135088939545646 0.0154175413343495 0.0115045608184982 0.213255724920527 0.00540856584150302 0.0549476791122878 0 0 0 0 0 0 0 0 0 0 0 0 0.000778816199376947 0 0 0 0 0 0.00158787768805009 0.00942760942760943 0.00087719298245614 0 0.0151515151515152 0 0.00781118622406081 0.00087719298245614 0 0 0.0023813885326983 0.003328173374613 0 0 0.00189393939393939 0 0.00168625447112928 0.000778816199376947 0.00615468409586057 0.0112930033060503 0.00332671300893744 0.00253320216428923 0.0312105855104621 0.0364504360821257 0.0427423713894698 0.12361712278543 0.529425252363427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00392909356725146 0.00396825396825397 0 0 0 0 0 0 0 0 0.00173611111111111 0.00520833333333333 0 0 0.00173611111111111 0 0 0 0 0 0 0.00297619047619048 0.0138888888888889 0.00173611111111111 0 0.0138888888888889 0 0 0 0.00793650793650794 0 0 0 0 0 0 0 0 0 0 0 0.00793650793650794 0 0 0.00892857142857143 0.00157232704402516 0.00520833333333333 0 0 0 0.00793650793650794 0.0111215538847118 0.0265827698176258 0.0156700714049274 0.00157232704402516 0.00612084456424079 0.017202006588799 0.0176138065289009 0.0329528617140335 0.103933920887123 0.511976432827351
10 62 45 6.7 7.1 1 1.4 0.8 0.608231615610729 0.0500236004597728 0.0209609493252123 0.0168557881820077 0.0270057680330745 0.219609509218538 0.0143220457079153 0.0429907234627499 0 0 0 0 0 0 0 0 0.00262353687366661 0 0 0 0 0 0.00203252032520325 0 0 0.00308641975308642 0.000591016548463357 0 0 0 0.00308641975308642 0.000591016548463357 0.00617283950617284 0.00308641975308642 0 0.00117370892018779 0.0845070422535211 0.00426845285001313 0 0.00262353687366661 0 0.0028735632183908 0.00462962962962963 0.00117370892018779 0.00574712643678161 0 0.00816740474367085 0.00462962962962963 0.0274335842323125 0.0157904070839959 0.0167426004120758 0.129397991676029 0.502904757392013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00114155251141553 0.00225225225225225 0.00595238095238095 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0.00595238095238095 0 0.00641025641025641 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0.00595238095238095 0 0 0.00225225225225225 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0.00114155251141553 0 0.0287158300856931 0.00925925925925926 0 0 0 0 0 0.00114155251141553 0.0168210543433891 0.00709393346379648 0.00925925925925926 0.0126839167935058 0.0146457423854684 0.008235485975212 0.00476474091721263 0.111037048410485 0.47628847243201
