"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cj_Proportion" "Transition_jg_Proportion" "Transition_ec_Proportion" "Transition_ij_Proportion" "Transition_gh_Proportion" "Transition_ei_Proportion" "Transition_gg_Proportion" "Transition_ci_Proportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_cc_Proportion" "Transition_jh_Proportion" "Transition_hh_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_ji_Proportion" "Transition_ic_Proportion" "Transition_oo_Proportion" "Transition_io_Proportion" "Transition_jc_Proportion" "Transition_se_Proportion" "Transition_cg_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_hc_Proportion" "Transition_sg_Proportion" "Transition_ie_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_cjs_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_cis_Proportion" "Transition_ssh_Proportion" "Transition_jsi_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_ggs_Proportion" "Transition_isg_Proportion" "Transition_ess_Proportion" "Transition_sis_Proportion" "Transition_jhs_Proportion" "Transition_jos_Proportion" "Transition_jis_Proportion" "Transition_jsh_Proportion" "Transition_shh_Proportion" "Transition_ios_Proportion" "Transition_sso_Proportion" "Transition_gso_Proportion" "Transition_sic_Proportion" "Transition_soo_Proportion" "Transition_jso_Proportion" "Transition_gis_Proportion" "Transition_scs_Proportion" "Transition_sos_Proportion" "Transition_hcg_Proportion" "Transition_iis_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 133.333333333333 111.333333333333 12.6666666666667 7.66666666666667 1 0.5 0.166666666666667 0.283805640701307 0.0401255920850941 0.108994014575904 0.076940312884213 0.0275451369811636 0.204695349584542 0.0564261457523022 0.201467807435473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00132275132275132 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00520833333333333 0.00520833333333333 0.00548941798941799 0.00595238095238095 0.00742775742775743 0.0085978835978836 0.0191265374192203 0.0369270817822647 0.0626781867635526 0.0865359177859178 0.11314051378838 0.159539118571131 0.464533947308338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.00641025641025641 0.00641025641025641 0.00785818713450292 0.00833333333333333 0.0166666666666667 0.0208790204678363 0.0344742063492063 0.0708523110661269 0.103267812231628 0.120188190829638 0.187960896924713 0.392210558082269
2 53.5833333333333 44.9166666666667 5.83333333333333 2.08333333333333 0.5 0.166666666666667 0.0833333333333333 0.305444791450015 0.0514593145868642 0.106682183549981 0.0776452196298048 0.0198619882774008 0.165857928586333 0.110825048181296 0.162223525738304 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00252525252525253 0.0036231884057971 0 0 0 0 0.00252525252525253 0 0 0 0 0.00641025641025641 0 0 0.0036231884057971 0 0.00252525252525253 0 0.0257339279078409 0.0228151075977163 0.0546542917866447 0.0989820867538259 0.1675502814889 0.105545524263555 0.327761751722749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0.0206766917293233 0.0952380952380952 0.0674603174603175 0.0826023391812866 0.0797827903091061 0.298976608187135
3 42.25 34.6666666666667 4.33333333333333 2.33333333333333 0.666666666666667 0.25 0 0.360845307001321 0.0804001234985942 0.0761995394059216 0.0756126782093784 0.0191453289751753 0.18689235676244 0.0180441580819341 0.182860508065235 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0.0014367816091954 0.0014367816091954 0 0 0.0153256704980843 0.0437883501858093 0.0191885964912281 0.0907913641863279 0.0468466424682396 0.133448293866851 0.0777658045977011 0.480891254717253 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0820261437908497 0.166071428571429 0.0432773109243697 0.00980392156862745 0.0494864612511671 0.408321661998133
4 40 34.0833333333333 3.08333333333333 2.25 0.25 0.333333333333333 0 0.427323490425446 0.0683362527660773 0.0560602591852592 0.0342458960661644 0.0217862944948137 0.226298558090996 0.0487058466225133 0.117243402348731 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0.00308641975308642 0.0119047619047619 0 0.00308641975308642 0 0.0497685185185185 0.0231481481481482 0.0705467372134039 0.0428240740740741 0.063839709673043 0.155391907475241 0.570230463980464 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0 0 0.0166666666666667 0.0861111111111111 0.0284090909090909 0 0.0353535353535354 0.107575757575758 0.619823232323232
5 29.6666666666667 25.8333333333333 2.5 1.08333333333333 0.166666666666667 0 0.0833333333333333 0.355565521033968 0.0609696781213385 0.0543523367727407 0.0641704571965327 0.0161318150448585 0.225623140680056 0.0258658626169752 0.19732118853353 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.00347222222222222 0 0 0 0.00347222222222222 0 0 0 0 0 0.0293981481481481 0 0 0 0 0.00347222222222222 0.00641025641025641 0 0.00347222222222222 0.00694444444444444 0.0315043752543753 0.0501602564102564 0.0747150997150997 0.350546906796907 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0583333333333333 0.0166666666666667 0.0736111111111111 0.0486111111111111 0.348611111111111
6 40.5833333333333 33.5 2.91666666666667 3.16666666666667 0.583333333333333 0.333333333333333 0.0833333333333333 0.447286026198541 0.035360000976472 0.0413152452671865 0.0255070935991589 0.00754336260801778 0.2822327251001 0.0327613117954303 0.127994234455093 0 0 0 0 0 0 0.00314465408805031 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0.00471698113207547 0 0 0 0.00157232704402516 0.00157232704402516 0.00314465408805031 0.0417088676522639 0.018407343879042 0.0549200799200799 0.0441261219563106 0.0514861274295237 0.0705306747759578 0.536430847279904 0 0 0 0 0 0 0.00416666666666667 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0.00416666666666667 0.0646825396825397 0.0410714285714286 0.0723214285714286 0.0694444444444444 0.0648809523809524 0.500099206349206
7 21 16.6666666666667 2.5 1.58333333333333 0.0833333333333333 0.166666666666667 0 0.496473071020972 0.0365527345471932 0.0350273999586659 0.0355759803921569 0.021521164021164 0.205806063696889 0.03250058356676 0.1365430027962 0 0 0 0 0.00595238095238095 0.0208333333333333 0 0 0 0 0 0 0 0 0.00833333333333333 0.0208333333333333 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0.0128968253968254 0.0166666666666667 0 0 0.00595238095238095 0.0521825396825397 0 0.0242424242424242 0.00595238095238095 0.107738095238095 0.186688311688312 0.44244227994228 0 0 0 0 0 0.0208333333333333 0 0 0.0277777777777778 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.152777777777778 0.0486111111111111 0.0277777777777778 0 0.118055555555556 0.3125
8 46.9166666666667 37.5833333333333 4.75 3.75 0.583333333333333 0.166666666666667 0.0833333333333333 0.510708171334993 0.0301946935659493 0.0395870824205061 0.0738116523506789 0.0107268713937188 0.200230467716575 0.0324057982468121 0.102335262970767 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0.0455510388437218 0 0.00185185185185185 0 0 0.0104166666666667 0 0.0401557396984226 0.0232371794871795 0.0368641859495518 0.0203985998193315 0.0510431867139184 0.191285538084319 0.571246600057576 0 0 0 0 0.00555555555555556 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.0583333333333333 0.0666666666666667 0.025 0.111111111111111 0.0444444444444444 0.0671296296296296 0.527314814814815
9 21 16.4166666666667 2.5 1.5 0.25 0.25 0.0833333333333333 0.46563398275733 0.0577766903573754 0.0424471760871882 0.0482553525053146 0.0169262288185505 0.221791557416513 0.038246538461652 0.108922473596077 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.0407407407407407 0 0.0043859649122807 0.0210526315789474 0 0 0 0.0446428571428571 0.01364522417154 0.025062656641604 0.00901559454191033 0.0711396546922863 0.16641081871345 0.484020815928711 0 0 0 0 0 0 0 0 0 0 0 0 0.0333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0972222222222222 0.0805555555555556 0.0444444444444444 0.00833333333333333 0.0208333333333333 0.448611111111111
10 19.8333333333333 14.8333333333333 1.66666666666667 2.58333333333333 0.416666666666667 0.333333333333333 0 0.49368217045041 0.0770452177357548 0.0380742556106417 0.0153053999377529 0.0159397454634028 0.191789985884329 0.0464061652328916 0.121757059684817 0 0 0 0 0 0 0.00396825396825397 0.00694444444444444 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0.0257936507936508 0.00490196078431373 0 0 0 0.0391281512605042 0 0.0188492063492063 0.0322420634920635 0.0586873638344227 0.138689503579209 0.65641048085901 0 0.00833333333333333 0.00833333333333333 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09375 0.106944444444444 0.0166666666666667 0.0333333333333333 0.170833333333333 0.545138888888889
11 20.0909090909091 15.7272727272727 1.72727272727273 2.09090909090909 0.363636363636364 0.0909090909090909 0.0909090909090909 0.498613481133331 0.0328405725056443 0.0486958376230965 0.0391511510990916 0.0113151275601868 0.236310948949809 0.0363323478176817 0.0967405333111595 0 0.00641025641025641 0.0104166666666667 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0.0152777777777778 0.0104166666666667 0.0277777777777778 0.0342592592592593 0.0469195156695157 0.11860754985755 0.537321937321937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0444444444444444 0.116071428571429 0.0902777777777778 0.0652777777777778 0.0654761904761905 0.451785714285714
12 24.8181818181818 20.7272727272727 1.63636363636364 2.09090909090909 0.181818181818182 0.181818181818182 0 0.465077190595965 0.0401203237912724 0.0718839415232696 0.0289442039442039 0.0383313656040929 0.187687843283199 0.0251876472232203 0.142767484034777 0 0 0 0 0 0 0 0 0 0 0 0.0243055555555556 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0394408831908832 0.00641025641025641 0.0461538461538462 0.0416666666666667 0.110042735042735 0.0711538461538461 0.466381766381766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0583333333333333 0.0166666666666667 0.0722222222222222 0.0652777777777778 0.104166666666667 0.433333333333333
13 27.4545454545455 21.6363636363636 2.54545454545455 2.36363636363636 0.545454545454545 0.272727272727273 0.0909090909090909 0.5736066213376 0.0301370851370851 0.0771476410063367 0.030656957776523 0.00466089466089466 0.155716187496079 0.0226063429324299 0.105468269653052 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00972222222222222 0 0 0.0138888888888889 0.0231481481481482 0 0.0373677248677249 0.0277777777777778 0.0606481481481482 0.120701058201058 0.615079365079365 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.037037037037037 0.037037037037037 0.0462962962962963 0.118055555555556 0.55787037037037
