"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cc_Proportion" "Transition_ce_Proportion" "Transition_cg_Proportion" "Transition_ch_Proportion" "Transition_ci_Proportion" "Transition_cj_Proportion" "Transition_co_Proportion" "Transition_cs_Proportion" "Transition_ec_Proportion" "Transition_ee_Proportion" "Transition_eg_Proportion" "Transition_eh_Proportion" "Transition_ei_Proportion" "Transition_eo_Proportion" "Transition_es_Proportion" "Transition_gc_Proportion" "Transition_ge_Proportion" "Transition_gg_Proportion" "Transition_gh_Proportion" "Transition_gi_Proportion" "Transition_gj_Proportion" "Transition_go_Proportion" "Transition_gs_Proportion" "Transition_hc_Proportion" "Transition_hg_Proportion" "Transition_hh_Proportion" "Transition_hi_Proportion" "Transition_hj_Proportion" "Transition_hs_Proportion" "Transition_ic_Proportion" "Transition_ie_Proportion" "Transition_ig_Proportion" "Transition_ih_Proportion" "Transition_ii_Proportion" "Transition_ij_Proportion" "Transition_io_Proportion" "Transition_is_Proportion" "Transition_jc_Proportion" "Transition_je_Proportion" "Transition_jg_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_jo_Proportion" "Transition_js_Proportion" "Transition_oc_Proportion" "Transition_oe_Proportion" "Transition_og_Proportion" "Transition_oh_Proportion" "Transition_oi_Proportion" "Transition_oj_Proportion" "Transition_oo_Proportion" "Transition_os_Proportion" "Transition_sc_Proportion" "Transition_se_Proportion" "Transition_sg_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_sj_Proportion" "Transition_so_Proportion" "Transition_ss_Proportion" "Transition_cci_Proportion" "Transition_ccs_Proportion" "Transition_cgs_Proportion" "Transition_cis_Proportion" "Transition_cos_Proportion" "Transition_cse_Proportion" "Transition_csg_Proportion" "Transition_csi_Proportion" "Transition_css_Proportion" "Transition_ecs_Proportion" "Transition_eis_Proportion" "Transition_esi_Proportion" "Transition_ess_Proportion" "Transition_gcg_Proportion" "Transition_gci_Proportion" "Transition_gcs_Proportion" "Transition_ges_Proportion" "Transition_ggg_Proportion" "Transition_ggi_Proportion" "Transition_ggj_Proportion" "Transition_ggs_Proportion" "Transition_ghs_Proportion" "Transition_gis_Proportion" "Transition_gjs_Proportion" "Transition_goj_Proportion" "Transition_gsc_Proportion" "Transition_gsg_Proportion" "Transition_gsh_Proportion" "Transition_gsj_Proportion" "Transition_gss_Proportion" "Transition_hgi_Proportion" "Transition_hgs_Proportion" "Transition_hhs_Proportion" "Transition_hse_Proportion" "Transition_hsg_Proportion" "Transition_hsi_Proportion" "Transition_hso_Proportion" "Transition_hss_Proportion" "Transition_ics_Proportion" "Transition_igg_Proportion" "Transition_igs_Proportion" "Transition_iii_Proportion" "Transition_iis_Proportion" "Transition_ios_Proportion" "Transition_isc_Proportion" "Transition_isg_Proportion" "Transition_ish_Proportion" "Transition_iss_Proportion" "Transition_jcs_Proportion" "Transition_jec_Proportion" "Transition_jgs_Proportion" "Transition_jhs_Proportion" "Transition_jis_Proportion" "Transition_jjg_Proportion" "Transition_jjs_Proportion" "Transition_jos_Proportion" "Transition_jse_Proportion" "Transition_jsg_Proportion" "Transition_jsi_Proportion" "Transition_jss_Proportion" "Transition_ocs_Proportion" "Transition_ogs_Proportion" "Transition_ohs_Proportion" "Transition_ois_Proportion" "Transition_oji_Proportion" "Transition_oos_Proportion" "Transition_osg_Proportion" "Transition_osh_Proportion" "Transition_oss_Proportion" "Transition_scc_Proportion" "Transition_scs_Proportion" "Transition_sec_Proportion" "Transition_see_Proportion" "Transition_seg_Proportion" "Transition_ses_Proportion" "Transition_sgg_Proportion" "Transition_sgi_Proportion" "Transition_sgj_Proportion" "Transition_sgs_Proportion" "Transition_shs_Proportion" "Transition_sic_Proportion" "Transition_sig_Proportion" "Transition_sii_Proportion" "Transition_sis_Proportion" "Transition_sjg_Proportion" "Transition_sjj_Proportion" "Transition_sjs_Proportion" "Transition_soo_Proportion" "Transition_sos_Proportion" "Transition_ssc_Proportion" "Transition_sse_Proportion" "Transition_ssg_Proportion" "Transition_ssh_Proportion" "Transition_ssi_Proportion" "Transition_ssj_Proportion" "Transition_sso_Proportion" "Transition_sss_Proportion"
1 102.552447552448 87.3636363636364 8.31468531468532 5.67132867132867 0.727272727272727 0.384615384615385 0.0769230769230769 0.324796564095164 0.0757898111964589 0.105328447251509 0.049780322435629 0.0213284654113271 0.172555549569615 0.0507676997012894 0.185667126352993 0.000837789661319073 0 0.00185444315533318 0 0.00150089605734767 0 0 0.0811375891025967 0 0 0.00155038759689922 0.000434027777777778 0 9.01875901875902e-05 0.0101986494525338 0.00064484126984127 0 0.00127684911539078 0 0.000169376693766938 0 0.000771604938271605 0.103620505263542 0 0 0 0.001137102014295 5.93542260208927e-05 0.0240133634819125 0 0 0.00116144018583043 0.000217013888888889 0.00115301669577985 0 0.000771604938271605 0.120654551227042 0.00146220417538247 0 0.00349981960846574 0.000413004121709601 0.000555385972052639 0.00174544652052528 0.00114293981481481 0.0480637315746755 0 0 5.93542260208927e-05 0.000267094017094017 0.000816993464052288 5.42534722222222e-05 0.000204248366013072 0.0451583717605448 0.00526245827806366 0.00249359947761111 0.00556545372082016 0.00281072365620496 0.0076061080532076 0.00364902811020368 0.0024460622059324 0.471802458404867 0 0.00197012057807512 0.00219907407407407 0.00231481481481481 0 0 0.00118473698019153 0.000169376693766938 0.129395232641716 0 0 0.000841750841750842 0.0106917145187073 0 0 0 0 0 0 0 0.000578703703703704 0 0 0 0 0 0.000462962962962963 0 0 0.0885820709391302 0 0 0 0.00138888888888889 0 0 0 0.0208624288036764 0 0 0 0 0 0 0 0 0 0.0961311950063322 0 0 0.00199314574314574 0 0 0 0 0.000578703703703704 0 0 0.00166245791245791 0.0868706738821364 0 0.000154320987654321 0 0.00173611111111111 0 0 0 0 0.0526899998486864 0 0.00264550264550265 0 0 0.000462962962962963 0 0.000178062678062678 0 0 0.00786494557925978 0.00068870523415978 0 0 0.000505050505050505 0.00331449546388571 0 0 0.00224116161616162 0.000496031746031746 0.000178062678062678 0 0 0.0012001887001887 0 0.000863821138211382 0 0.000496031746031746 0.386128714891964
2 52.4755244755245 43.7972027972028 4.75524475524475 3.21678321678322 0.447552447552448 0.167832167832168 0.0839160839160839 0.329732169213253 0.0768259815934314 0.129809323738809 0.0680576864857804 0.0226412442649203 0.130111083863468 0.0506904427851431 0.185139061062188 0.000578703703703704 0 9.13742690058479e-05 0 0.000668004834671501 0 0 0.0790475838351554 0.00138888888888889 0 0.000124192747143567 0 0 0 0.00819846534303442 0 0 0.000227686703096539 0 0.000631313131313131 0 0.000534188034188034 0.100620881604422 0 0 0.000496031746031746 0 0 0.0419323447333072 9.13742690058479e-05 0 0.0023305853223886 0 0.0022033248184564 0 0 0.112406162052485 0.0078125 0 0.00416746671786994 0.00235615079365079 0.00522138487077511 0.00080154742039988 0 0.0503662588581192 0.000496031746031746 0 0.000385802469135802 0.000992063492063492 0.000280583613916947 0.00347222222222222 0 0.0624622842613847 0.0108067854242864 0.00358270202020202 0.00581573086160707 0.00149007483939317 0.0056736300679163 0.00328106288861548 0.00146296488239974 0.408057202069268 0 0 0 0.00160889194980104 0 0.00138888888888889 0 0.00173611111111111 0.0944102485581391 0 0 0 0.0125054460093972 0 0 0 0 0.000119731800766284 0 0 0 0 0.00138888888888889 0 0 0 0 0 0.000119731800766284 0.0821896780050516 0 0 0 0 0 0.000198412698412698 0 0.0316697636920338 0.000198412698412698 0.000119731800766284 0.00231481481481481 0.000231481481481481 0.00138888888888889 0 0.00115740740740741 0.000520047215449514 0 0.087385101377395 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0.0894723212913195 0.000868055555555556 0.000771604938271605 0.00231481481481481 0 0 0 0 0.000631313131313131 0.0871569964332177 0.00115740740740741 0.00065289648622982 0.00347222222222222 0 0 0.00173611111111111 0.000239463601532567 0 0 0.00245344368009598 0 0.000198412698412698 0.000280583613916947 0.00216600529100529 0.000462962962962963 0.00173611111111111 0.000119731800766284 0.00106534090909091 0 0.00367063492063492 0 0 0.000987787356321839 0 0.000512065095398429 0 0 0.292562943570323
3 46.3916083916084 39.0909090909091 3.95104895104895 2.60839160839161 0.412587412587413 0.237762237762238 0.041958041958042 0.344954642353109 0.0789741088988462 0.102184709161262 0.0491647429048989 0.0171975668266407 0.154250535292244 0.0390512307738932 0.165271414838056 0.000267094017094017 0.000868055555555556 0.000712250712250712 0 0 0.000178062678062678 0 0.0673728278155121 0 9.92063492063492e-05 0 0 0 0 0.00965115131781798 0 0.00231481481481481 0.00154875988209322 0 0.0027281746031746 0 0.000187687687687688 0.0697255836609827 0 0.000231481481481481 0.000110229276895944 0 0 0.0325662973774976 0 0 0 0 0.0011941308509936 0 0.00021043771043771 0.0988998917882988 0.00260315139701105 0 0.00596440596440596 0.000946969696969697 0.000534188034188034 0.00281836219336219 0 0.0607456143642856 0.00021043771043771 0 0.002609311268367 0 0 0 0 0.0559429066791711 0.00369560922966496 0.000126262626262626 0.0092612837347334 0.00285979452646119 0.00510379854727941 0.00349757833310465 0.00205640968508616 0.406324445096018 0 0 0.00138888888888889 0 0 0 0 0 0.0928192549263998 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0.00193903318903319 0 0.00347222222222222 0 0 0.000385802469135802 0.000385802469135802 0 0 0.0769349754872138 0 0 0.000301932367149758 0 0 0 0 0.0218567083301383 0 0 0 0 0 0 0 0 0 0.0710756614768561 0 0 0.00916719276094276 0 0 0.00173611111111111 0.00173611111111111 0 0 0 0 0.0888329958934905 0.000992063492063492 0.000868055555555556 0 0 0 0 0.000385802469135802 0 0.0617956475952194 0.000771604938271605 0.00434203142536476 0 0 0 0.000434027777777778 0.000385802469135802 0 0 0.00385802469135802 0.000229568411386593 0 0 0 0.00237417625452385 0 0 0.00393518518518518 0 0 0.000771604938271605 0 0.000385802469135802 0 0 0 0 0.32358437427125
4 49.7832167832168 41.9090909090909 4.20979020979021 2.92307692307692 0.412587412587413 0.251748251748252 0.034965034965035 0.417292719444885 0.0650651228226715 0.0845428265358333 0.0532226052734078 0.0202006378934992 0.135485712495948 0.0323324548610743 0.149899878714639 0 0 0.00401334776334776 0 0.00248419150858175 0.000330687830687831 0.000694444444444444 0.0494760958336282 0 0 0 0 0 0 0.00908634914179407 0.00187392214831239 0.000694444444444444 0.00554446636789591 0 0 0 0 0.0740446722526898 0 9.38438438438438e-05 0 0.000187687687687688 0 0.0274495402433013 0 0 0.000301932367149758 0 0.00144703422142447 0 0 0.120288295524176 0.000387217738648406 0 0.00321156131844538 0 0.000705557309330894 0.000837839506830483 0 0.052047542971084 0 2.18378756114605e-05 0.000578703703703704 0.000992063492063492 0 0 0.000578703703703704 0.0351093779873262 0.0119098978978011 0.000245852212529023 0.0140850703136557 0.000446608293075684 0.00365394705059604 0.00865102514745008 0.00468756389809021 0.424949785067756 0 0 0 0 0 0 0.00138888888888889 0 0.0798090536233919 0 0 0 0.012372010705344 0 0.000408496732026144 0.000631313131313131 0.00115740740740741 0.00173611111111111 0 0 0.000534188034188034 0 0 0 0 0.00126262626262626 0 0 0 0.0555817830725919 0 0 0 0 0 0 0 0.0251592312008979 0 0 0 0 0 0 0.00189393939393939 0 0 0.0704452751542212 0 0 0.00543981481481481 0 0 0 0 0 0 0 0 0.0790523474445576 0 0 0 0 0 0 0 0 0.0518641240039365 0 0.00801767676767677 0 0 0 0.000534188034188034 0 0 0 0.00342770655270655 0.000771604938271605 0 0 0 0.00173611111111111 0 0.000992063492063492 0.000757575757575758 0 0.00289351851851852 0 6.03864734299517e-05 0.000277777777777778 0 0 0.00105244996549344 0 0.340742329629931
5 30.1901408450704 25.0633802816901 2.47183098591549 2.07746478873239 0.309859154929577 0.154929577464789 0.0704225352112676 0.410313819101531 0.0763192936218376 0.0824562269886049 0.0683052386171609 0.0187445954869788 0.129886466848811 0.0458011463215136 0.125919691886801 0 0 0.000942684766214178 0.000551470588235294 0 0 0 0.0527142290467721 0 0 0.000204248366013072 0 0 0 0.013164658378185 0 0 0.00143259518259518 0 0 0 0.000301932367149758 0.0915005665570301 0 0 0 0 0.000204248366013072 0.0188154351115425 0 0 0.00123152709359606 0 0.000267094017094017 0 0 0.0942971700429781 0 0 0.00225505736714976 0 0 0.00223214285714286 0 0.033353627089925 0 0 0 0 0.000694444444444444 0 0 0.0410621262476154 0.00237071631914586 0.00248062521769418 0.00643538560205227 0.000958994708994709 0.0115841067201445 0.00133939793866264 0.00106726830517153 0.43735137861157 0 0 0.00138888888888889 0 0 0.00347222222222222 0 0 0.0924055759756517 0 0 0 0.0224426807760141 0 0 0 0 0 0 0 0.000631313131313131 0 0 0 0 0 0.000267094017094017 0 0 0.0969763524214282 0 0 0 0 0.00694444444444444 0 0 0.00764305139305139 0 0 0 0 0 0 0 0 0 0.0624945656195656 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0.0494986494986495 0 0 0 0 0 0 0 0 0.0633994477744478 0 0.000267094017094017 0 0 0 0 0 0 0 0.00138888888888889 0 0 0.00231481481481481 0 0 0 0 0 0 0.000771604938271605 0 0 0 0 0.000385802469135802 0 0 0.328342862244377
6 31.8028169014085 26.8732394366197 2.37323943661972 1.99295774647887 0.274647887323944 0.176056338028169 0.0633802816901408 0.446418764829954 0.0679985740659117 0.0745628468969349 0.0712639181897975 0.0218934531998415 0.107506583299098 0.028427177382315 0.13263290748826 0.000277777777777778 0 0.00173611111111111 0 0.000277777777777778 0 0 0.0454332233208629 0 0 0 0 0.00347222222222222 0 0.00722759571214207 0 0 0.00178704005504853 0 0.000117702448210923 0 0.000165343915343915 0.0731911350587094 0.000231481481481481 0.000117702448210923 0.00138888888888889 0 0 0.0163678782985051 0.000385802469135802 0 0.000503504917346725 0 0.000133547008547009 0.000165343915343915 0.00393518518518518 0.0631490427055175 0 0 0.00625046811219713 0.00173611111111111 0.000165343915343915 0.000165343915343915 0.0015542328042328 0.0327834543423447 0 0 0.000165343915343915 0 0 0.000165343915343915 0 0.0535274426514655 0.000117702448210923 0.00188492063492064 0.0206377121477997 0.000408496732026144 0.00745648928201587 0.00279658896386838 0.0108620398514016 0.415142496923499 0.000578703703703704 0 0 0 0 0 0 0 0.0558500259367777 0 0 0.000248015873015873 0.00124007936507937 0 0 0 0 0.000315656565656566 0 0 0 0 0 0 0.000365497076023392 0 0.000563672438672439 0 0 0.0391916821143296 0.000248015873015873 0 0 0 0 0 0 0.0158730468972987 0.000694444444444444 0 0.000248015873015873 0 0 0.000992063492063492 0 0 0 0.0188482813482813 0 0 0 0 0 0 0 0 0 0 0 0.0540999888007112 0 0 0 0 0.000365497076023392 0 0 0 0.0760586313085961 0 0 0 0 0 0 0.000563672438672439 0 0 0.0027281746031746 0 0.000694444444444444 0 0 0.000330687830687831 0 0.000365497076023392 0.00133928571428571 0 0.00152625152625153 0 0 0 0 0 0.000868055555555556 0 0.334388471210054
7 34.6737588652482 29.0141843971631 3.02127659574468 2.12056737588652 0.25531914893617 0.134751773049645 0.099290780141844 0.440227061369736 0.0697351471521517 0.0763604728064906 0.0675001851460625 0.0263415620603912 0.135104513483219 0.0394799334611625 0.116882330194545 0.00473484848484848 0 0.000408496732026144 0 0.00111531986531987 0.000224014336917563 0.00115740740740741 0.039715118498023 0.000771604938271605 0.000102124183006536 0 0 0 0 0.0101808808192902 0 0 0.00102778825205296 0.00067886396011396 0 0.000204248366013072 0 0.0911831297606944 0 0 0 0 0 0.0242374920623802 0.000165343915343915 0 0 0 0.000391476034858388 0.000385802469135802 0 0.05500275512709 0 0 0.00730994152046784 0.000545634920634921 0.00111170135483637 0.000102124183006536 0.000102124183006536 0.051520212631845 0 0.000102124183006536 0.00125915750915751 0 0.00200875173301644 0 0 0.0603563574767341 0.00113447830461719 0.000428262702930635 0.00398005259982923 0 0.00508537596911253 0.00732078466898201 0.00530394427897986 0.424303872728659 0 0 0.00138888888888889 0.00173611111111111 0 0 0.000992063492063492 0.000771604938271605 0.0549629479316979 0 0 0 0.00386203302869969 0 0 0 0 0 0 0.000187687687687688 0 0.000496031746031746 0 0.000187687687687688 0 0 0 0 0 0.0458156715969216 0 0 0 0 0 0 0.000496031746031746 0.0189429012345679 0 0 0 0 0 0 0 0 0 0.0535679686721353 0 0 0 0.000868055555555556 0 0 0.000187687687687688 0 0.000187687687687688 0 0 0.0777936080019413 0 0 0 0 0 0 0.000631313131313131 0 0.0527730178771845 0 0.000631313131313131 0 0.000187687687687688 0 0 0.000187687687687688 0 0 0.00446428571428571 0 0 0 0.000771604938271605 0 0 0 0.0025025025025025 0 0 0 0.000187687687687688 0 0 0 0 0 0.360824291553458
8 31.6170212765957 26.7021276595745 2.40425531914894 1.99290780141844 0.326241134751773 0.127659574468085 0.049645390070922 0.455335165147774 0.0670035513836194 0.0765137899815929 0.0570687927036048 0.0184316813035004 0.136203904053607 0.039609939971694 0.135648778291486 0 0 0 0 0 0 0 0.0308141701115744 0 0.000868055555555556 0 0 0 0 0.00899185010704619 0 0 0.00479445522548971 0.000694444444444444 0.00176115718284393 0.000694444444444444 0 0.0730463744211182 0 0.000793650793650794 0 0 0 0.021186280944043 0 0.00347222222222222 0.00175939229459344 0.00694444444444444 0 0 0 0.0834441783529362 0 0 0.00259930361033302 0 0.000771604938271605 0.000578703703703704 0 0.0702901939161419 0 0 0.000231481481481481 0 0.00236742424242424 0 0.000582750582750583 0.0466917355670852 0.00983796296296296 0.00202546296296296 0.0174225715012558 0.00132974863578312 0.00549768518518519 0.00100871069430907 0.00274170274170274 0.457237634709037 0 0 0 0 0 0 0 0 0.0433709848580538 0 0 0 0.0112934904601571 0 0 0 0 0.00173611111111111 0.000473484848484848 0 0 0 0 0 0 0.00115740740740741 0.00501543209876543 0 0 0.0593453773769866 0 0.000868055555555556 0 0 0 0 0 0.0127504865292222 0 0 0 0 0 0 0 0 0 0.0539264594760284 0 0 0.00138888888888889 0 0.00173611111111111 0 0 0 0 0 0 0.0871515331465044 0 0.000631313131313131 0 0.00231481481481481 0 0.00189393939393939 0.000330687830687831 0 0.0648669657290347 0 0.00462962962962963 0 0.00173611111111111 0 0 0.00301376863876864 0 0.00138888888888889 0.0109147451101474 0 0 0.00173611111111111 0 0 0 0 0.000694444444444444 0 0 0 0.00173611111111111 0.00292254440961337 0 0 0 0 0.376026606827613
9 25.6241134751773 21.0425531914894 2.25531914893617 1.84397163120567 0.212765957446809 0.141843971631206 0.0638297872340425 0.426798762028427 0.0607482736599039 0.102575638194 0.0603820357969998 0.0218048222843066 0.125308031823602 0.0301792172483201 0.108373431730398 0.000365497076023392 0 0 0 0.00694444444444444 0 0 0.0681872739157373 0.000694444444444444 0 0.00231481481481481 0 0 0 0.0074647750547852 0.000534188034188034 0 0.000925925925925926 0 0.000231481481481481 0 0 0.0753456290031459 0 0 0 0.000992063492063492 0 0.0136136302264819 0.00173611111111111 0 0.00229892883079158 0 0.000730994152046784 0 0 0.0634498268561428 0.000315656565656566 0.000694444444444444 0.0070000567736075 0 0 0.000771604938271605 0 0.0306611807371501 0.000992063492063492 0 0.00188492063492063 0 0.000942460317460317 0 0 0.0536384551579812 0.00568637569235655 0 0.00446428571428571 0.000785621224499901 0.00284204302844654 0.00551026570048309 0.00238095238095238 0.404538978273185 0 0 0 0 0 0 0 0 0.0710925263008596 0.00138888888888889 0 0 0.00833333333333333 0 0 0.000868055555555556 0 0 0 0 0.000496031746031746 0 0 0 0 0 0 0.000496031746031746 0 0.0810651154401155 0 0 0 0 0 0 0 0.0163748096039763 0.00694444444444444 0 0.00127314814814815 0.000868055555555556 0 0 0 0 0.00189393939393939 0.0464005901505901 0.000771604938271605 0.00138888888888889 0.00347222222222222 0 0 0 0 0 0 0 0 0.0407820767195767 0 0 0 0 0 0 0 0 0.0470810824977492 0 0.000462962962962963 0 0 0 0 0 0 0 0.00173611111111111 0.000744047619047619 0 0 0.000868055555555556 0.00462962962962963 0 0 0.00694444444444444 0 0 0.000694444444444444 0 0 0 0.000868055555555556 0 0 0.316834130375797
10 31.2198581560284 26.0851063829787 2.60283687943262 2.17021276595745 0.148936170212766 0.120567375886525 0.0780141843971631 0.459071697444749 0.0575114150908825 0.0846087588731175 0.0511635145343425 0.0191593527464504 0.139103394716509 0.0438849742099698 0.131312495220858 0 0 0.00067039442039442 0 0.00347222222222222 0 0 0.0401241072984153 0 0 0 0 0 0 0.0141224371693122 0.000505050505050505 0 0.000785098522167488 0 0 0 0 0.103739135561638 0 0.000347222222222222 0 0.000578703703703704 0 0.0213386761129817 0 0 0 0 0.0027281746031746 0 0 0.0769570803774951 0 0 0.00447130503144654 0.00138888888888889 0 0 0 0.036360995965038 0.000347222222222222 0 0.00115740740740741 0 0 0 0.000110229276895944 0.0389173480232266 0.0109257984380919 9.78090766823161e-05 0.0113718555591154 0 0.00201891439570651 0.00132678410117435 0.00467232406786397 0.417550673413322 0 0 0.00108225108225108 0 0 0 0 0 0.0381772837502004 0 0 0 0.00238603988603989 0.00108225108225108 0 0 0 0 0 0 0 0 0 0 0 0 0.000365497076023392 0 0 0.0865712748186626 0 0 0 0 0 0 0 0.0189672017797018 0 0 0 0 0 0 0 0 0 0.0657025127387615 0 0 0 0 0 0 0 0 0 0.000408496732026144 0 0.0592100122175694 0.000771604938271605 0 0 0 0 0 0 0 0.0599644761103094 0 0 0 0 0 0 0.000408496732026144 0 0 0.00195030663780664 0 0 0 0 0.000496031746031746 0 0 0 0.000289351851851852 0 0 0 0.000365497076023392 0 0 0 0.000289351851851852 0.310501960882239
