"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cj_Proportion" "Transition_ii_Proportion" "Transition_cg_Proportion" "Transition_gc_Proportion" "Transition_gi_Proportion" "Transition_cc_Proportion" "Transition_jo_Proportion" "Transition_sh_Proportion" "Transition_ei_Proportion" "Transition_jh_Proportion" "Transition_oc_Proportion" "Transition_sc_Proportion" "Transition_og_Proportion" "Transition_jg_Proportion" "Transition_os_Proportion" "Transition_jj_Proportion" "Transition_sj_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_ji_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_csj_Proportion" "Transition_iis_Proportion" "Transition_isg_Proportion" "Transition_jgs_Proportion" "Transition_jos_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_jjs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jse_Proportion" "Transition_ess_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 63.1666666666667 53.25 6.16666666666667 3.16666666666667 0.416666666666667 0.166666666666667 0 0.285708178358372 0.0822716901801306 0.15135679159341 0.0492464645719599 0.0180012088397182 0.174844842682028 0.0534707608679161 0.185100062906465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0.0036231884057971 0.00555555555555556 0.00694444444444444 0.0171878972794305 0.0180311890838207 0.0217592592592593 0.0421008741660916 0.0786656822311015 0.0926716227715689 0.104523228749235 0.121387646892425 0.399454173066032 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0208333333333333 0.0277777777777778 0.0972222222222222 0.118518518518519 0.183333333333333 0.201851851851852 0.25787037037037
2 31.75 26.5 3.41666666666667 1.33333333333333 0.333333333333333 0.166666666666667 0 0.199416674175988 0.137512337111511 0.120565266986149 0.10168819021668 0.0342861605447519 0.1938483329384 0.0470307640142043 0.165652274012316 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.0119047619047619 0.0119047619047619 0.0416666666666667 0.0968879268879269 0 0.0138888888888889 0 0 0 0 0.0166666666666667 0.0244107744107744 0.0252380952380952 0.0938558201058201 0.0390740740740741 0.10913961038961 0.0835672198172198 0.345128066378066 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0.0722222222222222 0.194444444444444 0.169444444444444 0.111111111111111 0.202777777777778
3 30.1666666666667 25 3 1.66666666666667 0.416666666666667 0.0833333333333333 0 0.260409558117425 0.101121685202732 0.091406007232575 0.0937871628573616 0.0268966202587073 0.112571164254745 0.0617370981326748 0.252070703943779 0 0 0 0 0 0 0.00555555555555556 0.00595238095238095 0.00833333333333333 0.0198412698412698 0 0 0.0138888888888889 0.00595238095238095 0.0369565217391304 0.0138888888888889 0.0115079365079365 0 0 0 0.00833333333333333 0.055952380952381 0 0.0353692201518288 0.12123878536922 0.0579882677708765 0.0454451345755694 0.217512077294686 0.252950310559006 0 0 0 0 0.0138888888888889 0.0208333333333333 0.0277777777777778 0.0416666666666667 0.05 0.00833333333333333 0 0 0.0277777777777778 0.0291666666666667 0.184722222222222 0.140277777777778 0.122222222222222
4 30 25.3333333333333 2.91666666666667 1.33333333333333 0.25 0.0833333333333333 0.0833333333333333 0.198810216131822 0.090980359288101 0.0842997241587385 0.150754060381076 0.056446598517125 0.153913685850146 0.0555863417454257 0.209209013927566 0 0 0 0 0.00252525252525253 0.0166666666666667 0 0 0 0 0 0 0 0.00252525252525253 0.128968253968254 0 0 0 0 0 0 0.00946969696969697 0 0.0534632034632035 0.0395743145743146 0.140764790764791 0.0318362193362193 0.124981962481962 0.365891053391053 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0.061965811965812 0.103632478632479 0.31517094017094
5 16.8333333333333 13.8333333333333 2.08333333333333 0.75 0.166666666666667 0 0 0.314033942799823 0.0394743351526473 0.156975505001821 0.0783539377289377 0.0230562314273748 0.177511729423027 0.0296142793987622 0.180980039067607 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0347222222222222 0 0.0416666666666667 0 0 0 0.0277777777777778 0.0138888888888889 0.0833333333333333 0.0568181818181818 0.0555555555555556 0.0422979797979798 0.091540404040404 0.086489898989899 0.277777777777778 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.0555555555555556 0.125 0.194444444444444
6 19.6666666666667 16.3333333333333 1.66666666666667 1.33333333333333 0.0833333333333333 0.166666666666667 0.0833333333333333 0.338311176670552 0.101147349674135 0.087356108673073 0.0560669997165533 0.0455468341182627 0.130570984075448 0.0588534481391624 0.182147098932813 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.0322751322751323 0 0 0 0 0 0 0 0.00757575757575758 0.00490196078431373 0.0852212602212602 0.0326797385620915 0.0992735478029596 0.0565486800780918 0.509301700478171 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0138888888888889 0.0654761904761905 0.058531746031746 0.107638888888889 0.0119047619047619 0.200892857142857
7 12.4166666666667 10.25 1.33333333333333 0.666666666666667 0.0833333333333333 0.0833333333333333 0 0.311953222458812 0.0874278132662279 0.0747713414634146 0.0743126129177958 0.00694444444444444 0.166070689228718 0.0503956155632985 0.228124260657289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0.0833333333333333 0 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0652777777777778 0.169444444444444 0.1 0.415277777777778 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.125 0.0833333333333333 0.0625 0.0416666666666667 0.25
8 11.75 9.5 1.41666666666667 0.666666666666667 0.0833333333333333 0.0833333333333333 0 0.371405085927145 0.0766822638146168 0.0981523378582202 0.0804094394167924 0.0235294117647059 0.178358243064125 0.0526897938662645 0.11877342428813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.0208333333333333 0 0.0396825396825397 0.0654761904761905 0 0.114087301587302 0.056547619047619 0.0702380952380952 0.383134920634921 0 0 0 0 0 0 0 0 0 0.0694444444444444 0 0.0277777777777778 0.0416666666666667 0 0 0.208333333333333 0.236111111111111
9 8.5 7 0.5 0.833333333333333 0.0833333333333333 0 0 0.321929012345679 0.100004409171076 0.0725440917107584 0.0302777777777778 0.0345899470899471 0.0665343915343915 0.01 0.280787037037037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0300925925925926 0 0 0 0 0 0 0 0.00925925925925926 0 0.0833333333333333 0.0419973544973545 0.113756613756614 0.0833333333333333 0.30489417989418 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0208333333333333 0 0.0208333333333333 0.166666666666667 0.0902777777777778 0.0763888888888889
10 10.25 8.33333333333333 0.75 0.833333333333333 0 0.166666666666667 0.0833333333333333 0.372057978155539 0.138751627776018 0.0455759687467005 0.0463687396614226 0.00962059620596206 0.0863359201773836 0.0172805288658947 0.200675307077746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0267094017094017 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0.00641025641025641 0.0208333333333333 0.0267094017094017 0.144764957264957 0.00641025641025641 0.338675213675214 0 0 0.0104166666666667 0 0 0.0104166666666667 0.0104166666666667 0 0.0520833333333333 0.0119047619047619 0 0 0.0104166666666667 0.135416666666667 0 0 0.258928571428571
