"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_hg_Proportion" "Transition_oh_Proportion" "Transition_jc_Proportion" "Transition_ci_Proportion" "Transition_ih_Proportion" "Transition_jh_Proportion" "Transition_eh_Proportion" "Transition_ec_Proportion" "Transition_hh_Proportion" "Transition_ge_Proportion" "Transition_gh_Proportion" "Transition_gj_Proportion" "Transition_je_Proportion" "Transition_ji_Proportion" "Transition_se_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_hi_Proportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_cg_Proportion" "Transition_gi_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_igs_Proportion" "Transition_osg_Proportion" "Transition_jcs_Proportion" "Transition_jsi_Proportion" "Transition_jjs_Proportion" "Transition_ogs_Proportion" "Transition_sig_Proportion" "Transition_ihs_Proportion" "Transition_igg_Proportion" "Transition_sih_Proportion" "Transition_hsi_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_hhs_Proportion" "Transition_ssi_Proportion" "Transition_ges_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_ggg_Proportion" "Transition_gsi_Proportion" "Transition_eis_Proportion" "Transition_jis_Proportion" "Transition_ses_Proportion" "Transition_ssg_Proportion" "Transition_scs_Proportion" "Transition_csg_Proportion" "Transition_sgg_Proportion" "Transition_igi_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_sos_Proportion" "Transition_his_Proportion" "Transition_ggs_Proportion" "Transition_scc_Proportion" "Transition_gsg_Proportion" "Transition_jgs_Proportion" "Transition_ssc_Proportion" "Transition_iii_Proportion" "Transition_iis_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 201.333333333333 157.916666666667 20 18.4166666666667 2.41666666666667 1.58333333333333 1 0.41646323915211 0.0380877417604924 0.0466178233157568 0.00940608080401909 0.0114488365301714 0.270349820317927 0.0291125583364916 0.178513899783031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000778816199376947 0.000925925925925926 0.00100401606425703 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00130208333333333 0.00130208333333333 0.00165056360708535 0.00208333333333333 0.00308905567057741 0.00325269331293428 0.00379302536231884 0.00416666666666667 0.00709090247006744 0.00740433577074528 0.0115751360352955 0.0129855092194015 0.01724014332583 0.0257542615193849 0.0389918314315228 0.108572665063096 0.156735694987535 0.587176257367978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00193798449612403 0.00193798449612403 0.00219298245614035 0.00219298245614035 0.00219298245614035 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00497623291740939 0.00608664518438954 0.00611365235749472 0.00748398774714564 0.020967358697912 0.0533629852791728 0.0609782669965455 0.0725037201856225 0.162433677055865 0.566088500831583
2 112.5 86.8333333333333 12.0833333333333 10.25 1.5 1.58333333333333 0.25 0.459016982243942 0.0343701954030809 0.064177510208781 0.0229231576836161 0.0176815550882295 0.204996383512079 0.0286434754658619 0.16819074039441 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00136612021857923 0.00268817204301075 0.00320512820512821 0.00345499645641389 0 0 0 0 0 0.00245098039215686 0.00177304964539007 0.00364145658263305 0 0 0 0.00835695724072762 0.00200803212851406 0.00245098039215686 0.00414318592822633 0.00590597684857075 0.0173136587884952 0.0121308316905884 0.0166917631437417 0.0268909207928899 0.0465630690589391 0.0999010892835418 0.13171291259372 0.6061602423761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00297619047619048 0.00641025641025641 0.00641025641025641 0.00245098039215686 0 0.00641025641025641 0 0 0 0 0 0.00641025641025641 0 0 0 0.00245098039215686 0 0 0 0.00245098039215686 0 0.00683694530443757 0.0218864468864469 0.0212178172704488 0.0323349852761617 0.0463643718100424 0.0896032346409356 0.0905524858698233 0.0681079666086657 0.584674608647194
3 104.416666666667 80.75 12 9.41666666666667 0.833333333333333 1.08333333333333 0.333333333333333 0.47961365071926 0.0503755619405113 0.0700805060495819 0.0194334054604126 0.0143833301441098 0.180890483888578 0.0306843085323077 0.154538753265239 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00490196078431373 0 0.00112612612612613 0 0 0 0.00595238095238095 0 0 0 0.00252525252525253 0 0.00185185185185185 0.0087018837018837 0 0 0 0.00844214502751088 0.00185185185185185 0.00252525252525253 0.00598086124401914 0.0166171433340881 0.0196867457580665 0.00112612612612613 0.0269925875330617 0.0432080008072986 0.0555142759496003 0.113053614849847 0.129427995543113 0.547988690983103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.00833333333333333 0 0 0 0.00595238095238095 0 0 0.0103383458646617 0 0 0 0 0 0 0.00462962962962963 0.0087719298245614 0.0115079365079365 0.00462962962962963 0 0 0 0 0.00676691729323308 0 0 0.012719298245614 0.0481659544159544 0.101994837521153 0.0919887860677334 0.0739541160593792 0.0556095098858257 0.550251429856693
4 98.25 77.4166666666667 10.4166666666667 8.41666666666667 0.833333333333333 0.666666666666667 0.5 0.496329192976179 0.0425671320397321 0.0476516672854666 0.0160760569095307 0.00870831184699002 0.2008238610019 0.0296395323044274 0.158204245635774 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0.00793650793650794 0 0.00710978835978836 0 0 0 0.00746058558558559 0.00264550264550265 0.0016025641025641 0.0160435969259499 0.0134856131179661 0.0154172029172029 0.0141609046020811 0.0166392353892354 0.0376553933539228 0.03249801999802 0.114000363081245 0.152561360649596 0.557807170858642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00347222222222222 0.00555555555555556 0.00757575757575758 0 0 0 0 0 0.0119047619047619 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0.00297619047619048 0 0.0176697530864198 0.0148148148148148 0.0145833333333333 0.00617283950617284 0.0338955026455026 0.0915343915343915 0.084810405643739 0.0732834295334295 0.126984126984127 0.485917708834376
5 96.25 72.4166666666667 12.0833333333333 8.83333333333333 0.833333333333333 1.75 0.333333333333333 0.454696519938335 0.0438945780299398 0.060418527996361 0.0189692430559957 0.0167297023188081 0.212872949685198 0.0256913739728927 0.16672710500247 0 0 0 0 0 0 0.00120772946859903 0.00130208333333333 0.00213675213675214 0.00213675213675214 0 0 0 0 0 0 0 0 0.00328282828282828 0 0 0 0 0.0028735632183908 0 0.00384794776119403 0.00189393939393939 0 0.00138888888888889 0.00310166886253843 0.00263266998341625 0 0.00375359389645973 0.00585429440728354 0.0143991115732274 0.00828401097958483 0.0297840781233986 0.0375389184404295 0.0295252673573192 0.11863650466606 0.102844684261862 0.623574712827742 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00416666666666667 0.00520833333333333 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0.00268817204301075 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00847763347763348 0.0307980214230214 0.0098970473970474 0.0955041486291486 0.0490289840088227 0.0785635735232509 0.0465814315612703 0.655918017913986
6 80.9166666666667 65.4166666666667 7.75 5.58333333333333 0.916666666666667 1 0.25 0.489246277632765 0.0322808680987084 0.0584160458557158 0.0148904641364566 0.00949524482712519 0.201055732579901 0.035229192262083 0.159386174607245 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00505050505050505 0 0.00820811506295377 0.0104997341839447 0.00500298685782557 0.00757575757575758 0.00146198830409357 0.0130735492577598 0.0144140899658726 0.018391315016029 0.0043859649122807 0.0200776319197372 0.0288428200327514 0.0146424458393898 0.100067376659057 0.111506757707023 0.631279018635075 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0.0043859649122807 0 0.0043859649122807 0 0 0.0393518518518519 0.0456196581196581 0.0246527777777778 0.0583333333333333 0.137727264207527 0.633185728744939
7 105.583333333333 83.6666666666667 11.75 7.66666666666667 0.916666666666667 0.916666666666667 0.666666666666667 0.497518487728906 0.0366592583111594 0.0463680116095209 0.0166918168184194 0.0139533466989127 0.185781886837103 0.0340743307119167 0.168952861284062 0 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0.00256410256410256 0 0.00185185185185185 0 0 0 0 0.00128205128205128 0 0 0 0.00245576020223908 0.00396825396825397 0.00128205128205128 0 0.00369896144544032 0.00231481481481481 0 0.00252525252525253 0.0104497354497355 0.0148268398268398 0.0107083210531486 0.0109853258746619 0.0212190522049677 0.0303804925361853 0.108415446691656 0.15497246468375 0.614817170460947 0 0 0 0 0.00277777777777778 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00555555555555556 0 0.00555555555555556 0.0119047619047619 0.0342592592592593 0.0386604136604137 0.0312590187590188 0.0532166907166907 0.0906265031265031 0.709475709475709
8 83.1666666666667 66.3333333333333 8.33333333333333 7.5 0.25 0.583333333333333 0.166666666666667 0.479218620785126 0.0254696299201213 0.0593189831353926 0.0148270305894986 0.0116276390173549 0.215279283499317 0.0260874720823574 0.168171340970832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0.00416666666666667 0 0 0 0.0036231884057971 0 0.00203252032520325 0.0112359008965584 0.0172057047456664 0.0159680259452065 0.00203252032520325 0.0176346926118731 0.043017590890438 0.0230095857324621 0.104619339535284 0.148330403077056 0.603651638620363 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0.00416666666666667 0.00416666666666667 0 0 0.0246212121212121 0 0.021875 0.0256628787878788 0.0723905723905724 0.0524305555555556 0.0954545454545454 0.0695601851851852 0.615088383838384
9 91.75 68 11.4166666666667 10.25 0.916666666666667 1.08333333333333 0.0833333333333333 0.431387608227432 0.0448605159259773 0.0709838200765564 0.025032181273271 0.0192729714902868 0.199029356968611 0.0369796021495458 0.172453943888319 0 0 0.00157232704402516 0.00260416666666667 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0.00363297325102881 0 0 0 0.00786163522012579 0.00334362139917695 0 0.00205761316872428 0.00513131507854272 0.0137419453152212 0.0113787243504225 0.0152488028493324 0.0296604412941036 0.0613272268808632 0.123043857002127 0.141760211896549 0.572274932751186 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0.00416666666666667 0 0 0 0 0 0 0.00416666666666667 0.00268817204301075 0.00757575757575758 0.0175871619420007 0.0180067994939911 0.0670735262172644 0.157646595620979 0.127469827944211 0.1064944990704 0.467639032641405
10 94.5833333333333 76.75 8.41666666666667 7.83333333333333 0.416666666666667 0.75 0.416666666666667 0.475970330416977 0.0334046944928966 0.0627694358263579 0.0275660595329099 0.0139421891523531 0.180962369895194 0.0290684870759465 0.176316433607365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0.00225225225225225 0 0 0.00952380952380952 0.00166666666666667 0.00416666666666667 0 0.00728291316526611 0.0082016210739615 0.0180872889696419 0.00277777777777778 0.0179767533490938 0.0314866918590323 0.0386890994337803 0.113217041241134 0.142122086998495 0.60016837864147 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0128824476650564 0 0.00833333333333333 0.00833333333333333 0.0427070090685651 0.0534757592906999 0.0268888458289248 0.119314410187851 0.130354096437916 0.581044098187654
11 94 70.75 10 9.75 2 1 0.5 0.543364004391558 0.0441515611484982 0.0456404287226703 0.0143334938566337 0.0116097231096774 0.164246038816181 0.0279812915378574 0.148673458416924 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0.00765432098765432 0 0 0.00320512820512821 0 0.0208333333333333 0 0.00615819209039548 0.0185328564096727 0.0177287581699346 0.00945917335295911 0.0190003970762197 0.0276868157646366 0.0336096596581421 0.0535343002136187 0.0904909794746386 0.687785097609345 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0178571428571429 0 0 0 0 0 0.0202898550724638 0 0.0104993386243386 0.0128965623895369 0.037402950310559 0.0526274954131529 0.0581938342675352 0.0357492481498314 0.0699526068958731 0.680907777613769
12 91.1666666666667 69.4166666666667 8.91666666666667 9.66666666666667 1.75 0.5 0.916666666666667 0.540930946545648 0.0257399770448503 0.0503972209044777 0.0145801441149042 0.0123951970413227 0.194063535870232 0.0306866040047989 0.131206374473767 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0.00193798449612403 0 0.00347222222222222 0 0 0 0 0 0 0 0 0.00170068027210884 0 0.00347222222222222 0.00354054859868813 0.0016025641025641 0 0 0.0044085518102372 0.0123754896789454 0.0100802638437605 0.0121335733433983 0.0236867896238729 0.0169105704372628 0.0430445035399494 0.0528813142914877 0.161089012418011 0.645963028827036 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.00825281803542673 0 0 0.00333333333333333 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0.0106337704163791 0 0.00555555555555556 0.0477642276422764 0.0154970760233918 0.0233659735529468 0.0627895324501899 0.0829736648679552 0.136006875324283 0.583033522004611
13 82.8333333333333 63.6666666666667 8.91666666666667 8.08333333333333 0.75 1 0.416666666666667 0.536065658377757 0.0302072459436801 0.0537348220495822 0.0252303815138703 0.0175968826382283 0.161710732848683 0.0290803354278597 0.14637394120034 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00115740740740741 0 0 0 0.00115740740740741 0.00115740740740741 0 0.00496031746031746 0.0142640485312899 0.00899128808611567 0.00640707671957672 0.0130190658638934 0.0381727018567789 0.0523627075351213 0.09974751194452 0.164715097158682 0.587497906599073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0.00462962962962963 0 0 0 0 0 0 0.0195532514080901 0.00333333333333333 0.00462962962962963 0.0129659498207885 0.00462962962962963 0.0871260027308414 0.0681643625192012 0.0587361518409905 0.0610678016726404 0.589142752408881
