"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_co_Proportion" "Transition_hg_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_eg_Proportion" "Transition_gg_Proportion" "Transition_jc_Proportion" "Transition_se_Proportion" "Transition_ei_Proportion" "Transition_sj_Proportion" "Transition_gj_Proportion" "Transition_oc_Proportion" "Transition_ji_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sos_Proportion" "Transition_hgs_Proportion" "Transition_cos_Proportion" "Transition_hsg_Proportion" "Transition_ssh_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_jso_Proportion" "Transition_jcs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_jgs_Proportion" "Transition_oss_Proportion" "Transition_iig_Proportion" "Transition_igs_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 140.416666666667 113.916666666667 13.25 10.9166666666667 1.33333333333333 1 0 0.372399108601069 0.0546962004420476 0.0572131679878361 0.0181776275680731 0.0119562010719684 0.281931303629772 0.0239490976745443 0.179677293024689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00126262626262626 0.00198412698412698 0.00366698903932946 0.00479189485213582 0.0051706827309237 0.00555555555555556 0.00555555555555556 0.00653846153846154 0.00670546330982192 0.0176280280003684 0.0216227029329439 0.0321143868852036 0.0621794190231393 0.0944509414018552 0.198854734788093 0.530914415075603 0 0 0 0 0 0 0 0 0 0.0078125 0.00872507122507122 0.00992063492063492 0.0104166666666667 0.0119047619047619 0.0119047619047619 0.0299336080586081 0.0349136396011396 0.100974893162393 0.151526887464387 0.169669855607356 0.45229671948422
2 64.5 53.3333333333333 4.25 5.25 0.75 0.833333333333333 0.0833333333333333 0.347277387587575 0.0558815699466106 0.106912897994533 0.0167959886506864 0.0269058929376967 0.200703427546767 0.0317464005558966 0.213776434780234 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00490196078431373 0.00595238095238095 0 0 0 0 0.00193798449612403 0.00648013565891473 0 0 0.00396825396825397 0.00181159420289855 0.0144627860834256 0.0317413071564993 0.0408325795350159 0.0823820708347377 0.0547746612126482 0.104360443579184 0.561248913999371 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.00994152046783626 0.00320512820512821 0.0467628740655056 0 0 0.0296174463937622 0.0376958689458689 0.0361737677527151 0.154280733885997 0.0819200779727095 0.512683284064863
3 44.5 35.6666666666667 3.75 4.33333333333333 0.583333333333333 0.166666666666667 0 0.397134516069759 0.110994830417201 0.0393011350047601 0.0513679008931792 0.0594761691036324 0.18177809847739 0.0231072490073417 0.136840101026736 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00378787878787879 0.0833333333333333 0 0 0 0 0 0 0.00899621212121212 0 0 0.00219298245614035 0.00757575757575758 0.0210788439955107 0.0402462121212121 0.0418445366362033 0.0313210688758934 0.0771206741601478 0.0862130072656389 0.510763176881598 0 0 0 0 0 0 0 0 0.00757575757575758 0 0.0119047619047619 0 0.0242424242424242 0 0 0.0277777777777778 0.0880050505050505 0.0512626262626263 0.0652777777777778 0.0498737373737374 0.50741341991342
4 48 39.5833333333333 4.08333333333333 3.5 0.583333333333333 0.25 0 0.415461251397284 0.0619078531774005 0.0617686292465851 0.0562528530700442 0.0120911808176851 0.160713907373521 0.0401788059876148 0.191625518929865 0 0 0 0 0 0 0 0.00641025641025641 0.00833333333333333 0.00833333333333333 0 0 0 0 0 0 0 0.00490196078431373 0 0.0117424242424242 0 0 0 0.00833333333333333 0.0208333333333333 0.125520833333333 0.0364583333333333 0.0449383949383949 0.128371995651407 0.0385281385281385 0.557294329445065 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0.0208333333333333 0.0583333333333333 0.220634920634921 0.096031746031746 0.0243055555555556 0.446527777777778
5 42.3333333333333 34.9166666666667 3.83333333333333 3.08333333333333 0.25 0.166666666666667 0.0833333333333333 0.370477198032986 0.107983778846757 0.0875498643841139 0.0281825287322501 0.0135162206456742 0.190158813098869 0.019496081251311 0.182635515008038 0 0 0 0 0 0 0.00833333333333333 0.00957556935817805 0 0 0 0 0 0 0.00490196078431373 0 0 0.0036231884057971 0.00333333333333333 0.0305555555555556 0 0 0.00333333333333333 0.00333333333333333 0.00833333333333333 0.0105797101449275 0.0329089026915114 0.0460130718954248 0.138109649656964 0.115755998051394 0.581309726789266 0 0 0 0 0 0 0 0 0 0 0 0 0.03125 0 0 0.0208333333333333 0.127938034188034 0.0808150183150183 0.105120573870574 0.117521367521368 0.516521672771673
6 50 41.3333333333333 4.58333333333333 3.5 0.5 0.0833333333333333 0 0.354218576046829 0.0444460421059877 0.116864103962564 0.0485708002373042 0.012043960278929 0.201841576146576 0.0351873945416145 0.186827546680195 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0.0445402298850575 0.0028735632183908 0 0 0.00852514919011083 0.0136566332218506 0.0334325396825397 0.0449787973660229 0.0662643391091667 0.0235888294711824 0.152140128381971 0.105838547103209 0.406939021148277 0 0 0 0 0 0 0 0 0 0 0 0 0.130787037037037 0 0 0 0.0763227513227513 0.0756283068783069 0.0543650793650794 0.0561838624338624 0.356712962962963
7 42.0833333333333 35.8333333333333 3.25 2.25 0.333333333333333 0.166666666666667 0.25 0.434706277896314 0.0460074868729523 0.0681735484106244 0.0299949580752223 0.0216746332556556 0.212636661581688 0.027233286132301 0.159573147775243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.0263988095238095 0 0.0299145299145299 0.00547008547008547 0.13661858974359 0.0867460317460317 0.112999847374847 0.080485347985348 0.507477869352869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0905797101449275 0.1 0.202724358974359 0.0661231884057971 0.415572742474916
8 48.75 39.5 4.08333333333333 4.33333333333333 0.333333333333333 0.5 0 0.51781320912205 0.035147489600324 0.0401706989289234 0.0441392065253748 0.0135912904732247 0.175665304424554 0.0233525391578945 0.150120261767655 0 0 0 0 0.00252525252525253 0.00694444444444444 0 0.00252525252525253 0 0 0.00595238095238095 0 0 0 0 0 0 0 0.00252525252525253 0 0 0.0166666666666667 0 0.00595238095238095 0.0541005291005291 0.0570286195286195 0.0303811928811929 0.0376013832910385 0.111189273689274 0.116305086994742 0.550302283922974 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.0868055555555556 0 0 0.0444444444444444 0.0565705128205128 0.0758547008547008 0.0871972934472934 0.138283475783476 0.504433760683761
9 49.75 40.9166666666667 4.33333333333333 3.25 0.583333333333333 0.583333333333333 0.0833333333333333 0.401736824883674 0.0379459889957323 0.078382200507977 0.07939786658903 0.0103326368121054 0.157438951777823 0.0474333479190985 0.18733218251456 0 0 0.00416666666666667 0.00757575757575758 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0.0105846774193548 0 0.0102783048703352 0.112538402457757 0.0713302121924038 0.0280127732096423 0.116148860978083 0.127894850511074 0.505805131599724 0 0 0 0 0.00595238095238095 0.00641025641025641 0.0128205128205128 0 0 0 0 0 0.0223214285714286 0 0 0 0.0480769230769231 0.105952380952381 0.0703983516483516 0.0672237484737485 0.49417735042735
10 48.1666666666667 38.1666666666667 4.41666666666667 4.5 0.666666666666667 0.25 0.166666666666667 0.512805621496935 0.0429499822442329 0.0453890830744159 0.026194107443326 0.0155753502168231 0.14139349134146 0.0491143241864125 0.166578039996395 0 0 0 0 0 0 0 0.00462962962962963 0 0.00238095238095238 0 0 0 0 0.00462962962962963 0 0 0 0.0277777777777778 0.0508267195767196 0 0 0.0190006827103601 0.00198412698412698 0.0448743386243386 0.0779596560846561 0.0276124338624339 0.0566260240655402 0.0792989417989418 0.0780325334760819 0.524366553398811 0 0 0 0 0 0 0 0 0 0 0.0415100250626566 0 0.0267073934837093 0 0 0.0381944444444444 0.0510129490392648 0.0138888888888889 0.154265873015873 0.0826806599832916 0.425073099415205
