"all_dataset$Group" "CBendsProportion" "EBendsProportion" "IBendsProportion" "Length4BoutCount" "OBendsProportion" "TimeFactor" "Length6PlusBoutCount" "Transition_oss_Proportion" "Transition_ss_Proportion" "Transition_es_Proportion" "Transition_css_Proportion" "GBendsProportion" "Transition_iss_Proportion" "Transition_hss_Proportion" "Transition_gss_Proportion" "Length2BoutCount" "Transition_sss_Proportion" "Transition_gs_Proportion" "TotalBoutCount" "Transition_os_Proportion" "Transition_sgs_Proportion" "Transition_cs_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Length3BoutCount" "Length5BoutCount" "JBendsProportion" "HBendsProportion" "ScootsProportion" "Transition_jss_Proportion" "Transition_ess_Proportion" "Transition_gg_Proportion" "Length1BoutCount" "Transition_is_Proportion"
"Aripiprazole_10microM" 0.0486929234242495 0.0063668816255345 0.184816758496946 4.16666666666667 0.0147109810880358 1 0.666666666666667 0.035322645496929 0.491918610886193 0.00369186438766763 0.0678557439941713 0.293315057836296 0.0945303496537895 0.0210963548643161 0.200715877402578 46.6666666666667 0.400489744929085 0.203303010862574 471.916666666667 0.017507960408985 0.00750229699228358 0.0368604522232463 0.0207718415654193 0.0226399340776059 0.0223590679092324 35.8333333333333 3.75 0.0407500052560312 0.036242767931513 0.375104624341394 0.0434626276400024 0.00445488631858141 0.0190250845895641 380.833333333333 0.112774835442061
"Aripiprazole_10microM" 0.0369268755846829 0.0083109203687591 0.152151458365593 6.08333333333333 0.0115130203453351 2 0.833333333333333 0.0277154456075134 0.535552127381555 0.00306529172700232 0.034962679710945 0.326756088168644 0.111539047917972 0.0134637683945308 0.199641585551327 45.0833333333333 0.480736011371138 0.228864803540383 465.916666666667 0.0151828780860835 0.0162088030222462 0.0216324081389176 0.0160324113954205 0.0260708119873075 0.0148732525812978 39.75 2.66666666666667 0.0529177129801034 0.0236093011201319 0.387814623066751 0.0513519536945288 0.00443016712857983 0.00793381727705928 371.5 0.0976803112352801
"Aripiprazole_10microM" 0.0392076269780403 0.00962945294569505 0.134462915029337 5.16666666666667 0.0127889146359653 3 1.91666666666667 0.0211900205469686 0.59670980137165 0.0067002940164688 0.0455700541352448 0.30159750403158 0.0896704484978494 0.0119846144726311 0.181270445934109 40.1666666666667 0.536274517418453 0.190919411390742 407.75 0.0177843965305559 0.00833270373397376 0.0273700836226773 0.0143685450076471 0.0127067863151786 0.00921909908885345 39.9166666666667 4.75 0.0415369028895437 0.0201522834322719 0.440624400057566 0.0216805811461588 0.005229182297906 0.0128621603126415 315.833333333333 0.0733489018171407
"Aripiprazole_10microM" 0.0533102491750739 0.0168476972690337 0.168896230514854 3.08333333333333 0.0177284690057154 4 0.916666666666667 0.0228281949126913 0.585222913984542 0.00853305758697305 0.0537186518253975 0.234043339600712 0.115774266090156 0.0134992069833027 0.155137290718304 28.25 0.525969861507001 0.137812698860253 260.833333333333 0.0125239353892889 0.00295563925507428 0.0319742530409904 0.0138812404122707 0.0299659578029287 0.0168076967529598 28.1666666666667 3.08333333333333 0.0601581876356483 0.0327239509438526 0.41629187585511 0.0612491420985171 0.0151407746592957 0.00532943108971939 197.333333333333 0.131967405233275
"Aripiprazole_10microM" 0.048501741443955 0.0139882075774065 0.145230857230909 3.08333333333333 0.0143009368395074 5 0.666666666666667 0.0228541361455168 0.612907637463924 0.00391293147309689 0.0730441308768921 0.21656447215704 0.108366999909715 0.0166703264529352 0.129010378729105 25.9166666666667 0.585882177262803 0.158560787627908 234.833333333333 0.0129796961251284 0.00285087719298246 0.0355528225254749 0.0100258945955501 0.00528275379419285 0.0161563255491807 22.3333333333333 2.33333333333333 0.0407090815432721 0.0266147785248042 0.494089924683106 0.00927177958070407 0.00347222222222222 0.00560978916683615 180.5 0.106140708958715
"Aripiprazole_10microM" 0.0388174860026072 0.0130946938846487 0.155585289787975 4.33333333333333 0.0169710179624718 6 0.583333333333333 0.0221728221050976 0.605861881121737 0.00308043069317186 0.0437492469591366 0.237264596628954 0.11019501134043 0.00734156076898012 0.177128383348413 27.5 0.544836838590966 0.162546095952024 255.583333333333 0.0153631506619531 0.00454921422663358 0.0246099277448044 0.00666944054367989 0.0193397288489599 0.0114797447605009 24.8333333333333 3.66666666666667 0.0558080954317574 0.0257874835781164 0.456671336723469 0.0316459974247248 0.00333450333450334 0.00518633117160765 194.666666666667 0.107568114833362
"Aripiprazole_10microM" 0.0366731217240216 0.0141345396098915 0.13318377287904 5.75 0.012224421439462 7 0.916666666666667 0.0110240311438942 0.598500185262519 0.00706705082469639 0.0328268459880855 0.250659493934734 0.0867492974525302 0.0100943965414051 0.166162591698417 32.6666666666667 0.593687619505387 0.18909384963925 257 0.00933858554826297 0.00943948955997149 0.0176584652589119 0.0161276943003352 0.0128613072706215 0.00767757495216967 24.25 3.33333333333333 0.0369557308109882 0.0219415652256074 0.494227354376255 0.022257525828455 0.00967941603346709 0.0105092531800806 190.083333333333 0.0980718207985916
"Aripiprazole_10microM" 0.0386245832216585 0.00932173342527022 0.136599629010394 4.33333333333333 0.010321935239652 8 0.5 0.021230040837884 0.624279200757128 0.00866121061025882 0.0604940182404971 0.222600103238775 0.0958730390171981 0.0105707654727263 0.139294443423137 24.3333333333333 0.624837344424475 0.173693548608004 203.583333333333 0.0104634262691157 0.00213675213675214 0.0366758859116674 0.0142987994138774 0.00705706479786668 0.00865829686473106 19.6666666666667 3.16666666666667 0.0335235506638175 0.0244756887942021 0.524532776406231 0.0106480302558734 0.00865805463982763 0.00254452926208651 151.583333333333 0.0896999516174296
"Aripiprazole_10microM" 0.021004165169967 0.00994224973420053 0.081400692919218 4.5 0.0107509141316317 9 0.916666666666667 0.00574712643678161 0.714500854053523 0.00475592541104589 0.0227166850802818 0.236787800080876 0.0716948677201329 0.00798969630062558 0.130807658098518 24.3333333333333 0.716391206517617 0.142579389673704 218.75 0.00829059829059829 0.00994201559934319 0.0147333335406872 0.00857562164831721 0.00791271398959201 0.00537248227655205 25.6666666666667 3.58333333333333 0.032837738468919 0.0152191578728658 0.592057281622322 0.00914986235534031 0.00626318565400844 0.00661448633972877 159.75 0.0691806074052906
"Aripiprazole_10microM" 0.0148026258349941 0.00826652983646115 0.072540680729278 3.41666666666667 0.00746213869409906 10 1.16666666666667 0.00923376954273684 0.6956963418799 0.00446243694906797 0.0185991047135928 0.239563862255671 0.0538449266752905 0.0218399446583679 0.123720882010855 23.8333333333333 0.71577980188395 0.167226296404479 189.416666666667 0.00834832588466402 0.00848047065775375 0.0101819224116364 0.0121525648298773 0.000505050505050505 0.0213018782392184 22.8333333333333 2 0.0247670322657709 0.0127331517640685 0.619863978619657 0 0.00680551635592892 0.00564362081423005 136.166666666667 0.0540019312767211
