"CBendsProportion" "Transition_jej_Proportion" "Transition_ihg_Proportion" "Transition_gie_Proportion" "Transition_se_Proportion" "IBendsProportion" "Group" "Transition_og_Proportion" "Transition_jij_Proportion" "Transition_oho_Proportion" "Length4BoutCount" "Transition_iji_Proportion" "Transition_ici_Proportion" "Transition_och_Proportion" "Transition_so_Proportion" "TimeFactor" "Transition_hoc_Proportion" "Transition_ecj_Proportion" "Transition_iic_Proportion" "Transition_ccg_Proportion" "Transition_cij_Proportion" "Transition_jee_Proportion" "Transition_sjg_Proportion" "Transition_shj_Proportion" "Transition_jch_Proportion" "Transition_hos_Proportion" "Transition_jhh_Proportion" "Transition_oij_Proportion" "Transition_coc_Proportion" "Transition_hjg_Proportion" "Transition_ogc_Proportion" "Transition_gjo_Proportion" "Transition_see_Proportion" "Transition_oce_Proportion" "JBendsProportion" "Transition_shi_Proportion" "Transition_sco_Proportion" "Transition_hig_Proportion" "Transition_oic_Proportion" "Transition_cgj_Proportion" "Transition_igo_Proportion" "Transition_egg_Proportion" "Transition_sih_Proportion" "Transition_eso_Proportion" "Transition_seh_Proportion" "Transition_hci_Proportion" "Transition_ois_Proportion" "Transition_cie_Proportion" "Transition_chg_Proportion" "Transition_cc_Proportion" "OBendsProportion" "Length1BoutCount" "Transition_ce_Proportion" "Transition_iec_Proportion" "Transition_hgs_Proportion" "Transition_cgc_Proportion" "Transition_sie_Proportion" "Transition_go_Proportion" "Transition_gjj_Proportion" "Transition_eg_Proportion" "Transition_hoo_Proportion" "Transition_hc_Proportion" "Transition_jce_Proportion" "Transition_cgs_Proportion" "Transition_oih_Proportion" "Transition_cj_Proportion" "Transition_cih_Proportion" "Transition_csj_Proportion" "Transition_ioo_Proportion" "Transition_ogs_Proportion" "Transition_isj_Proportion" "Transition_jc_Proportion" "Transition_ee_Proportion" "Transition_oee_Proportion" "Transition_jih_Proportion" "Transition_coe_Proportion" "Transition_ooo_Proportion" "Transition_ojj_Proportion" "Transition_jio_Proportion" "Transition_jhi_Proportion" "Transition_ich_Proportion" "Transition_ccc_Proportion" "Transition_cjc_Proportion" "Transition_sgi_Proportion" "Transition_cjs_Proportion" "Transition_cej_Proportion" "Transition_gch_Proportion" "Transition_css_Proportion" "Transition_gos_Proportion" "Transition_eeg_Proportion" "Transition_oio_Proportion" "Transition_jcg_Proportion" "Transition_eci_Proportion" "Transition_jei_Proportion" "Transition_eho_Proportion" "Transition_cgi_Proportion" "Transition_hec_Proportion" "Transition_cgo_Proportion" "Transition_eh_Proportion" "Transition_egh_Proportion" "Transition_hhj_Proportion" "Transition_jsj_Proportion" "Transition_cge_Proportion" "Transition_eeo_Proportion" "Transition_jjj_Proportion" "Transition_oes_Proportion" "Transition_shg_Proportion" "Transition_eec_Proportion" "Transition_sg_Proportion" "Transition_eio_Proportion" "Transition_jse_Proportion" "Transition_shh_Proportion" "Transition_ego_Proportion" "Length3BoutCount" "Transition_oge_Proportion" "Transition_jig_Proportion" "Transition_esj_Proportion" "Transition_eos_Proportion" "Transition_ssc_Proportion" "Transition_jss_Proportion" "Transition_gc_Proportion" "Transition_egj_Proportion" "Transition_sgc_Proportion" "Transition_oo_Proportion" "GBendsProportion" "Transition_joe_Proportion" "Transition_iej_Proportion" "Transition_iij_Proportion" "Transition_hjj_Proportion" "Transition_ic_Proportion" "Transition_jgc_Proportion" "Transition_cis_Proportion" "Transition_oeo_Proportion" "Transition_gec_Proportion" "Transition_ejg_Proportion" "Transition_ogh_Proportion" "Transition_ece_Proportion" "Transition_jh_Proportion" "Transition_osg_Proportion" "Transition_eij_Proportion" "Length2BoutCount" "Transition_sje_Proportion" "Transition_ej_Proportion" "Transition_hgo_Proportion" "Transition_soe_Proportion" "Transition_js_Proportion" "Transition_iog_Proportion" "Transition_ioe_Proportion" "Transition_sge_Proportion" "TotalBoutCount" "Transition_sjj_Proportion" "Transition_ghi_Proportion" "Transition_cji_Proportion" "Transition_scc_Proportion" "Transition_cgh_Proportion" "Transition_soj_Proportion" "Transition_hii_Proportion" "Transition_ocj_Proportion" "Transition_oog_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_she_Proportion" "Transition_sjo_Proportion" "Transition_gjs_Proportion" "Transition_coj_Proportion" "Transition_gi_Proportion" "Transition_cs_Proportion" "Transition_ohh_Proportion" "Transition_egs_Proportion" "Transition_gsj_Proportion" "Transition_geh_Proportion" "Transition_hog_Proportion" "Transition_oig_Proportion" "Transition_ccs_Proportion" "Transition_gse_Proportion" "Transition_sc_Proportion" "Transition_hso_Proportion" "Transition_ogi_Proportion" "Transition_goo_Proportion" "Transition_gge_Proportion" "Transition_ci_Proportion" "Transition_jog_Proportion" "Transition_hio_Proportion" "Transition_hj_Proportion" "Transition_eii_Proportion" "Transition_sij_Proportion" "Transition_sei_Proportion" "Transition_eje_Proportion" "Transition_jii_Proportion" "ScootsProportion" "Transition_ehe_Proportion" "Transition_ges_Proportion" "Transition_ghj_Proportion" "Transition_ojo_Proportion" "Transition_oci_Proportion" "Transition_oi_Proportion" "Transition_iee_Proportion" "Transition_ssh_Proportion" "Transition_jsg_Proportion" "Transition_gih_Proportion" "Transition_seg_Proportion" "Transition_hsj_Proportion" "Transition_gsi_Proportion" "Transition_iho_Proportion" "Transition_isc_Proportion" "Transition_ssi_Proportion" "Transition_eic_Proportion" "Transition_coo_Proportion" "Transition_jes_Proportion" "Transition_ijc_Proportion" "Transition_ijh_Proportion" "Transition_gic_Proportion" "Transition_goc_Proportion" "Transition_oje_Proportion" "Transition_icg_Proportion" "Transition_his_Proportion" "Transition_jje_Proportion" "Transition_isg_Proportion" "Transition_ehh_Proportion" "Transition_cci_Proportion" "Transition_sej_Proportion" "Transition_ese_Proportion" "Transition_gho_Proportion" "Transition_ec_Proportion" "Transition_ggs_Proportion" "Transition_eco_Proportion" "Transition_igs_Proportion" "Transition_sog_Proportion" "Transition_hsg_Proportion" "Transition_hgh_Proportion" "Transition_hcc_Proportion" "Transition_hoi_Proportion" "Transition_ssg_Proportion" "Transition_sjh_Proportion" "Transition_ooh_Proportion" "Transition_eej_Proportion" "Transition_eji_Proportion" "Transition_jgg_Proportion" "Transition_oc_Proportion" "Transition_sso_Proportion" "Transition_ohi_Proportion" "Transition_hhc_Proportion" "Transition_jjc_Proportion" "Transition_jgs_Proportion" "Transition_sch_Proportion" "Transition_sio_Proportion" "Transition_jeg_Proportion" "Transition_cch_Proportion" "Transition_coh_Proportion" "Transition_ige_Proportion" "Transition_sho_Proportion" "Transition_ihj_Proportion" "Transition_ohc_Proportion" "Transition_eog_Proportion" "Transition_ejj_Proportion" "Transition_hsh_Proportion" "Transition_scs_Proportion" "Transition_jic_Proportion" "Transition_ih_Proportion" "Transition_esh_Proportion" "Transition_ojs_Proportion" "Transition_soo_Proportion" "Transition_gog_Proportion" "Transition_sse_Proportion" "Transition_ehs_Proportion" "Transition_ohe_Proportion" "Transition_jhg_Proportion" "Transition_iig_Proportion" "Transition_hic_Proportion" "Transition_hco_Proportion" "Transition_gss_Proportion" "Transition_sis_Proportion" "Transition_oej_Proportion" "Transition_ghs_Proportion" "Transition_gsc_Proportion" "Transition_jcj_Proportion" "Transition_soh_Proportion" "Transition_ogj_Proportion" "Transition_jie_Proportion" "Transition_hsi_Proportion" "Transition_oe_Proportion" "Transition_ei_Proportion" "Transition_gis_Proportion" "Transition_ieo_Proportion" "Transition_ss_Proportion" "Transition_oeh_Proportion" "Transition_jge_Proportion" "Transition_eoe_Proportion" "Transition_cje_Proportion" "Transition_sig_Proportion" "Transition_gh_Proportion" "Transition_hhe_Proportion" "Transition_ji_Proportion" "Transition_hoe_Proportion" "Transition_geo_Proportion" "Transition_ohs_Proportion" "Transition_ggc_Proportion" "Transition_ijs_Proportion" "Transition_soc_Proportion" "Transition_iso_Proportion" "Transition_ioc_Proportion" "Transition_igh_Proportion" "Transition_csh_Proportion" "Transition_jo_Proportion" "Transition_ico_Proportion" "Transition_heg_Proportion" "Transition_sss_Proportion" "Transition_ie_Proportion" "Transition_hss_Proportion" "Transition_shs_Proportion" "Transition_gce_Proportion" "Transition_ooe_Proportion" "Transition_eeh_Proportion" "Transition_jso_Proportion" "Transition_iih_Proportion" "Transition_joi_Proportion" "Transition_oco_Proportion" "Transition_ies_Proportion" "Transition_cee_Proportion" "Transition_ij_Proportion" "Transition_ggg_Proportion" "Transition_ooi_Proportion" "Transition_hee_Proportion" "Transition_hei_Proportion" "Transition_soi_Proportion" "Transition_es_Proportion" "Transition_ehg_Proportion" "Transition_ohg_Proportion" "Transition_ieh_Proportion" "Transition_ooc_Proportion" "Transition_csg_Proportion" "Transition_eoi_Proportion" "Transition_gg_Proportion" "Transition_oei_Proportion" "Transition_sgj_Proportion" "Transition_gii_Proportion" "Transition_hih_Proportion" "Transition_igc_Proportion" "Transition_ejo_Proportion" "Transition_oss_Proportion" "Transition_heo_Proportion" "Transition_ggo_Proportion" "Transition_iis_Proportion" "Transition_ihi_Proportion" "Transition_jeh_Proportion" "Transition_jgi_Proportion" "Transition_csc_Proportion" "Transition_cse_Proportion" "Transition_iii_Proportion" "Transition_gj_Proportion" "Transition_si_Proportion" "Transition_ogo_Proportion" "Transition_he_Proportion" "Transition_eie_Proportion" "Transition_hho_Proportion" "Transition_ecs_Proportion" "Transition_ig_Proportion" "Transition_ghe_Proportion" "Transition_gcj_Proportion" "Transition_gco_Proportion" "Transition_sos_Proportion" "Transition_hse_Proportion" "Transition_seo_Proportion" "Transition_eih_Proportion" "Transition_hoj_Proportion" "Transition_ooj_Proportion" "Transition_jhe_Proportion" "Transition_hje_Proportion" "Transition_je_Proportion" "Transition_goj_Proportion" "Transition_ose_Proportion" "Transition_gij_Proportion" "Transition_scg_Proportion" "Transition_chc_Proportion" "Transition_ieg_Proportion" "Transition_eoc_Proportion" "Transition_eo_Proportion" "Transition_cho_Proportion" "Transition_sj_Proportion" "Transition_eei_Proportion" "Transition_sh_Proportion" "Transition_hhh_Proportion" "Transition_cso_Proportion" "Transition_ees_Proportion" "Transition_egc_Proportion" "Transition_cig_Proportion" "Transition_cg_Proportion" "Transition_coi_Proportion" "Transition_ish_Proportion" "Transition_jhs_Proportion" "Transition_eig_Proportion" "Transition_joc_Proportion" "Transition_hch_Proportion" "Transition_hhi_Proportion" "Transition_jci_Proportion" "Transition_jjs_Proportion" "Transition_cii_Proportion" "Transition_ejc_Proportion" "Transition_scj_Proportion" "Transition_hhs_Proportion" "Transition_goh_Proportion" "Transition_cjo_Proportion" "Transition_hes_Proportion" "Transition_co_Proportion" "Transition_oh_Proportion" "Transition_igj_Proportion" "Transition_isi_Proportion" "Transition_hh_Proportion" "Transition_iie_Proportion" "Transition_ghc_Proportion" "Transition_iss_Proportion" "Transition_gee_Proportion" "Transition_goe_Proportion" "Transition_hce_Proportion" "Transition_goi_Proportion" "Transition_gs_Proportion" "Transition_esi_Proportion" "Transition_ios_Proportion" "Transition_hi_Proportion" "Transition_gio_Proportion" "Transition_jsh_Proportion" "Transition_osj_Proportion" "Transition_gci_Proportion" "Transition_hge_Proportion" "Transition_sce_Proportion" "Transition_jcs_Proportion" "Transition_che_Proportion" "Transition_hie_Proportion" "Transition_igi_Proportion" "Transition_cog_Proportion" "Transition_sec_Proportion" "Transition_ggi_Proportion" "Length6PlusBoutCount" "Transition_ogg_Proportion" "Transition_ch_Proportion" "Transition_gig_Proportion" "Transition_cei_Proportion" "Transition_sgs_Proportion" "Transition_gej_Proportion" "Transition_ess_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_ioi_Proportion" "Transition_eee_Proportion" "Transition_hgc_Proportion" "Transition_joo_Proportion" "Transition_gje_Proportion" "Transition_ihs_Proportion" "Transition_eoo_Proportion" "Transition_gso_Proportion" "Transition_ehi_Proportion" "Transition_ses_Proportion" "Transition_iei_Proportion" "Transition_ggj_Proportion" "Transition_osi_Proportion" "Transition_ii_Proportion" "Transition_ecg_Proportion" "HBendsProportion" "Transition_hoh_Proportion" "Transition_eoj_Proportion" "Transition_shc_Proportion" "Transition_esc_Proportion" "Transition_cgg_Proportion" "Transition_iio_Proportion" "Transition_eoh_Proportion" "Transition_jco_Proportion" "Transition_icc_Proportion" "Transition_os_Proportion" "Transition_ojh_Proportion" "Transition_hcj_Proportion" "Transition_hgj_Proportion" "Transition_ise_Proportion" "Transition_gcs_Proportion" "Transition_cco_Proportion" "Transition_ceh_Proportion" "Transition_ejh_Proportion" "Transition_hji_Proportion" "Transition_eis_Proportion" "Transition_gjc_Proportion" "Transition_icj_Proportion" "Transition_hgg_Proportion" "Transition_oj_Proportion" "Transition_cos_Proportion" "Transition_ces_Proportion" "Transition_cec_Proportion" "Transition_chj_Proportion" "Length5BoutCount" "Transition_ihh_Proportion" "Transition_gcg_Proportion" "Transition_csi_Proportion" "Transition_jho_Proportion" "Transition_ceo_Proportion" "Transition_esg_Proportion" "Transition_jji_Proportion" "Transition_ge_Proportion" "Transition_gsg_Proportion" "Transition_sjs_Proportion" "Transition_jgo_Proportion" "Transition_ohj_Proportion" "Transition_heh_Proportion" "Transition_osc_Proportion" "Transition_ijg_Proportion" "Transition_jgj_Proportion" "Transition_occ_Proportion" "Transition_jg_Proportion" "Transition_oso_Proportion" "Transition_jeo_Proportion" "Transition_cic_Proportion" "Transition_cio_Proportion" "Transition_ccj_Proportion" "Transition_chh_Proportion" "Transition_sgo_Proportion" "Transition_jjg_Proportion" "Transition_jjo_Proportion" "Transition_jgh_Proportion" "Transition_ech_Proportion" "Transition_hhg_Proportion" "Transition_ghh_Proportion" "Transition_ocs_Proportion" "Transition_chi_Proportion" "Transition_ehj_Proportion" "Transition_ho_Proportion" "Transition_ghg_Proportion" "Transition_sgg_Proportion" "Transition_oie_Proportion" "Transition_hcg_Proportion" "Transition_jcc_Proportion" "Transition_gei_Proportion" "Transition_sjc_Proportion" "Transition_hjc_Proportion" "Transition_oii_Proportion" "Transition_ojg_Proportion" "Transition_ije_Proportion" "Transition_ijj_Proportion" "Transition_ioj_Proportion" "Transition_jsc_Proportion" "Transition_ejs_Proportion" "Transition_ggh_Proportion" "Transition_ihc_Proportion" "Transition_jis_Proportion" "Transition_gcc_Proportion" "Transition_ics_Proportion" "Transition_jec_Proportion" "Transition_ehc_Proportion" "Transition_ocg_Proportion" "Transition_hsc_Proportion" "Transition_chs_Proportion" "Transition_hjs_Proportion" "Transition_sgh_Proportion" "Transition_hgi_Proportion" "Transition_oec_Proportion" "Transition_sji_Proportion" "Transition_io_Proportion" "Transition_jhc_Proportion" "Transition_ssj_Proportion" "EBendsProportion" "Transition_cjg_Proportion" "Transition_is_Proportion" "Transition_ihe_Proportion" "Transition_gjg_Proportion" "Transition_hij_Proportion" "Transition_ice_Proportion" "Transition_geg_Proportion" "Transition_oos_Proportion" "Transition_sci_Proportion" "Transition_egi_Proportion" "Transition_cjj_Proportion" "Transition_igg_Proportion" "Transition_cce_Proportion" "Transition_ioh_Proportion" "Transition_hcs_Proportion" "Transition_jos_Proportion" "Transition_ecc_Proportion" "Transition_ceg_Proportion" "Transition_sic_Proportion" "Transition_osh_Proportion" "Transition_oeg_Proportion" "Transition_gsh_Proportion" "Transition_ege_Proportion" "Transition_hs_Proportion"
0.0224768621435073 0 0 0 0.0013550135501355 0.0817561648563138 "Aripiprazole_10microM" 0 0 0 3.5 0 0 0 0.00271223587787055 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0.0222721856526224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0156599506965424 71.4166666666667 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0.002710027100271 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.0184000861326443 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0 0 0 0 0 0 0.0453260263640059 0 0 0 0 16.4166666666667 0 0 0 0 0 0.00912627424255331 0 0 0 0 0.154911667977084 0 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0.00154320987654321 0 15.1666666666667 0 0 0 0 0.00532454874560138 0 0 0 114.833333333333 0.00193798449612403 0 0 0 0 0 0 0 0 0.000925925925925926 0.000946969696969697 0 0 0 0 0.00446538556294654 0.00990823943327153 0 0 0 0 0 0 0 0 0.00167796384901648 0 0 0 0 0.000730994152046784 0 0 0.000730994152046784 0 0 0 0 0 0.671434719684628 0 0 0 0 0 0.000465549348230912 0 0 0 0 0 0 0 0 0 0.00796783625730994 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0.0029320987654321 0 0 0 0 0 0 0.0122204879934091 0 0 0 0 0 0 0 0.0169201391350473 0 0 0 0 0 0.00320512820512821 0.00124378109452736 0 0 0 0 0.00138888888888889 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0.0964509514373563 0.00423899444835405 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0.687380288675618 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.650173778750494 0.000730994152046784 0.00708964832528051 0 0 0 0 0 0 0 0 0 0 0 0.00869385589534843 0 0 0 0 0.0157520140008701 0 0 0 0 0 0 0.0225448819737697 0 0 0 0 0 0 0.0136694251933801 0 0 0.00387596899224806 0 0 0 0.00138888888888889 0 0 0 0.00929878784714184 0 0 0 0 0 0.00351841586597684 0 0 0 0.000574712643678161 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0 0 0 0 0 0 0.00187289562289562 0 0.00162447647203745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000946969696969697 0 0 0.0405770724727265 0 0 0 0 0.10482195394825 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.75 0 0.000730994152046784 0.00219298245614035 0 0.0305076278321851 0 0.00782272846294841 0 0.00657894736842105 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0.00656565656565657 0 0.0100739634167107 0 0 0 0 0 0 0 0 0 0.013796716759384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58333333333333 0 0 0 0 0 0 0 0.000677506775067751 0.0121658218486915 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.0123480550220651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0.00193798449612403 0.0214144855725915 0 0.040066298983042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00580363724219738
0.0182381330837991 0 0 0 0.00672964904213038 0.0984426966606122 "Aripiprazole_10microM" 0 0 0 5.5 0 0 0 0.0015361309321554 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00164473684210526 0 0.00820530335898029 0 0 0 0 0 0 0.000548245614035088 0 0 0 0 0 0 0 0.000683060109289617 0.00659131160921043 64.5 0 0 0.00377756365704176 0 0 0 0 0.00258122984457602 0 0 0 0 0 0 0 0 0 0 0 0.000330687830687831 0.00175658948594728 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.00216107948555766 0 0 0 0.0190777583209149 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0 0 0 0 0 0 0 0 0 0.0602758024111829 0 0 0 0 19 0 0 0 0 0.00134408602150538 0 0.00183334513044658 0 0.00134408602150538 0.00229357798165138 0.178872719215314 0 0 0 0 0 0 0.000936329588014981 0 0 0 0 0 0 0 0 19.1666666666667 0 0 0 0 0 0 0 0 120 0 0 0 0 0 0 0 0 0 0 0.00221221009264488 0 0 0 0 0.0051095502664443 0.0109267691662898 0 0 0 0.000548245614035088 0 0 0 0.00136523907808738 0.00217645009311676 0 0 0 0 0.000527426160337553 0 0 0 0 0 0 0 0 0.640594462663058 0 0.000936329588014981 0 0 0 0 0 0.000548245614035088 0 0 0 0 0.00181087187666135 0 0 0.00509313324612141 0 0 0 0 0 0 0 0 0 0 0 0.00650226965365767 0 0 0 0 0 0 0.0112367532653652 0 0.00289387684898521 0 0.00179202670856245 0 0 0 0.031093668152895 0 0 0 0 0 0.000527426160337553 0.00109649122807018 0 0 0 0 0 0 0 0 0 0.000548245614035088 0 0 0 0 0 0 0.00304476629361422 0 0 0 0 0.00109649122807018 0 0.00164473684210526 0.000548245614035088 0 0 0.00189233163554046 0 0 0.120984810531011 0.00743023444380966 0 0 0 0 0 0 0 0.00109649122807018 0.000330687830687831 0 0.00136523907808738 0 0.629439609511281 0 0 0 0 0.00142602495543672 0.000457875457875458 0 0.000330687830687831 0 0 0 0 0 0 0 0 0 0 0 0 0 0.586500836429956 0.00229489560022079 0.00476653602501517 0.00272835629657743 0 0 0 0 0 0 0 0 0 0 0.00444985360571661 0 0 0 0 0.0152618708461552 0 0 0 0 0 0 0.027544959864647 0 0 0.000548245614035088 0 0 0 0.00431323642560551 0 0 0.000816993464052288 0 0 0 0 0 0.00224892588614393 0 0.0170924635445632 0 0 0 0 0 0.00774178484624519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000320512820512821 0 0.000527426160337553 0 0.00340104262685019 0 0 0 0 0 0.000527426160337553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0.0497191493865365 0 0 0 0 0.127520997609566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000548245614035088 5.66666666666667 0 0 0.000816993464052288 0 0.0457397320321311 0 0.0115406873636447 0 0.00501903686308603 0 0.00109649122807018 0 0 0 0 0 0 0 0.00234027232259754 0 0 0 0.00712776610109706 0 0.0122575912258451 0 0 0 0 0 0 0 0 0 0.00389001435143966 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0 6.16666666666667 0 0 0 0 0 0 0 0.00118880182171321 0.0129675553644903 0 0 0 0 0 0 0 0 0.000683060109289617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0190301545554725 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.0367977821831812 0 0.0490682033236298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.00508863321424858
0.0210817923749795 0 0 0 0.0137562223424044 0.0892561085493229 "Aripiprazole_10microM" 0.00135582010582011 0 0 6 0 0 0 0.00158730158730159 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0039160558589633 0 0.0146686248756889 0 0 0 0 0 0 0.00162852112676056 0 0 0 0 0 0 0 0.00040650406504065 0.0314692252475566 52.1666666666667 0.000661375661375661 0 0.00208333333333333 0 0.000833333333333333 0 0 0.00611340060237637 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0.00378919860627178 0 0 0 0 0 0 0 0 0 0 0.00200704225352113 0 0 0 0.00590223859960702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0.0558370291584131 0 0 0.00104166666666667 0 18.8333333333333 0 0 0 0 0 0 0.000341530054644809 0 0 0.000661375661375661 0.193794487902854 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 14.5833333333333 0 0 0 0 0 0 0 0.00208333333333333 103.5 0 0 0 0.000586854460093897 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0.00513865643022523 0.00505735509640525 0 0.00276362120088955 0 0 0 0 0 0.0024618544600939 0.00256231196980068 0 0 0 0 0 0 0 0 0.000833333333333333 0 0.000833333333333333 0 0 0.562409999219079 0 0.00162852112676056 0 0 0 0 0 0 0 0 0 0.000548245614035088 0.00113510007412898 0 0 0.00662613068221833 0 0 0.000833333333333333 0 0 0 0 0 0 0.000833333333333333 0 0.00415377365201309 0 0 0 0.000833333333333333 0 0.000760290523656534 0.0175531930559687 0 0.0130405601560272 0 0.000586854460093897 0 0 0 0.0257711393606787 0 0 0 0 0 0.000418760469011725 0.00270469633636587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00167508417508418 0 0.000748034119685459 0.00104166666666667 0 0.00100401606425703 0 0.00283578034623783 0 0 0 0 0 0 0.10185405684268 0.0100313766720099 0 0 0 0 0 0 0 0.000548245614035088 0 0.00189293200897274 0.00276315789473684 0 0.552034310989696 0 0 0 0 0.00592309811248443 0 0 0.000566893424036281 0 0 0 0 0 0 0 0 0 0 0 0 0 0.486204878802506 0.000418760469011725 0.0067625895797669 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0.0554738210536636 0 0 0 0 0.0347259385104301 0 0 0 0 0 0 0.0857448938451537 0 0 0.00117370892018779 0 0 0 0.00279717150017902 0 0 0.000548245614035088 0 0 0 0 0 0.00234741784037559 0 0.0181765135344298 0 0 0 0 0.00138157894736842 0.0191538763525263 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0 0 0 0 0 0 0.00110182057830134 0 0.00231481481481481 0 0 0.000586854460093897 0 0 0.000548245614035088 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0 0 0.0586702093876241 0.00104166666666667 0 0 0 0.103510792604718 0.000586854460093897 0 0.000418760469011725 0 0 0 0 0 0.00100401606425703 0 0 0 0.00200704225352113 0 0 0.000548245614035088 5.91666666666667 0 0 0.00113510007412898 0 0.0411537890540655 0 0.0356507357771224 0 0.00404324979364804 0 0 0 0 0 0.000548245614035088 0 0 0 0.0118951440297025 0 0 0 0.00718634324473396 0 0.0134265563944872 0 0 0 0.000586854460093897 0 0 0 0 0 0.0026449605343048 0 0 0 0.00174908424908425 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0.00349620470499255 0.0151717496179853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0218828523433557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0738932054360322 0 0.0542129125503752 0 0 0 0 0 0 0 0 0 0.00425596813966506 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.000833333333333333 0.00904056058084569
