"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_io_Proportion" "Transition_hc_Proportion" "Transition_je_Proportion" "Transition_ij_Proportion" "Transition_jc_Proportion" "Transition_jo_Proportion" "Transition_og_Proportion" "Transition_go_Proportion" "Transition_ei_Proportion" "Transition_gc_Proportion" "Transition_se_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_hi_Proportion" "Transition_oh_Proportion" "Transition_jj_Proportion" "Transition_he_Proportion" "Transition_oi_Proportion" "Transition_ig_Proportion" "Transition_ic_Proportion" "Transition_hh_Proportion" "Transition_gi_Proportion" "Transition_ci_Proportion" "Transition_gg_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_jh_Proportion" "Transition_ce_Proportion" "Transition_oo_Proportion" "Transition_sj_Proportion" "Transition_ii_Proportion" "Transition_co_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_ee_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gsg_Proportion" "Transition_hcs_Proportion" "Transition_sse_Proportion" "Transition_scc_Proportion" "Transition_gsc_Proportion" "Transition_gsh_Proportion" "Transition_iji_Proportion" "Transition_hsc_Proportion" "Transition_csh_Proportion" "Transition_hsg_Proportion" "Transition_osi_Proportion" "Transition_ssc_Proportion" "Transition_sso_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_goh_Proportion" "Transition_gcc_Proportion" "Transition_eis_Proportion" "Transition_sgc_Proportion" "Transition_ggg_Proportion" "Transition_jso_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_gse_Proportion" "Transition_ses_Proportion" "Transition_csg_Proportion" "Transition_sgs_Proportion" "Transition_jgs_Proportion" "Transition_ccs_Proportion" "Transition_cgs_Proportion" "Transition_sos_Proportion" "Transition_isc_Proportion" "Transition_hes_Proportion" "Transition_ces_Proportion" "Transition_iic_Proportion" "Transition_cce_Proportion" "Transition_gis_Proportion" "Transition_ccc_Proportion" "Transition_ois_Proportion" "Transition_ggs_Proportion" "Transition_cis_Proportion" "Transition_iis_Proportion" "Transition_ish_Proportion" "Transition_his_Proportion" "Transition_jhs_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_jis_Proportion" "Transition_gsj_Proportion" "Transition_sjj_Proportion" "Transition_shs_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_scs_Proportion" "Transition_sjs_Proportion" "Transition_sis_Proportion" "Transition_ees_Proportion" "Transition_sco_Proportion" "Transition_esc_Proportion" "Transition_cos_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 179.583333333333 140.083333333333 18.25 16.9166666666667 2.08333333333333 1.41666666666667 0.833333333333333 0.3968852214701 0.0678615139199236 0.0722718612635665 0.0256842137548552 0.0111874252049825 0.200795363810775 0.0368534379006307 0.188460962675167 0 0 0 0 0 0 0 0 0 0 0 0.000440917107583774 0.000440917107583774 0.000925925925925926 0.000925925925925926 0.000936329588014981 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00105485232067511 0.0013668430335097 0.00189393939393939 0.00189393939393939 0.00198077824660103 0.00284090909090909 0.0043859649122807 0.00467020220345805 0.00471453036108209 0.0053329346092504 0.00721623389423508 0.00790945981279186 0.00793146567797866 0.0087719298245614 0.00981871533742464 0.0199583643260571 0.0203126092764552 0.0365912894563156 0.0407244174339311 0.0821665912779512 0.157653178943119 0.476231744609409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00231481481481481 0.00231481481481481 0.00252525252525253 0.00268817204301075 0.00268817204301075 0.0029487917146145 0.00352792632204397 0.00420875420875421 0.00432215897111533 0.00479787668436096 0.00795244577820899 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.00996732026143791 0.0100140056022409 0.0190400887206906 0.0305954403076878 0.043798469105317 0.0857843982093375 0.105986058163568 0.12412880119402 0.396037573684212
2 152.833333333333 120.333333333333 16.25 13.5 1.33333333333333 1 0.416666666666667 0.369550814706618 0.108317439673262 0.0662375383404262 0.015517348089313 0.0253912389779099 0.233575376645686 0.0214917089893098 0.159918534577475 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0 0.00109170305676856 0 0 0 0 0 0 0 0 0 0.000363901018922853 0.000363901018922853 0 0.00443387361992013 0.00378787878787879 0.0195402298850575 0 0 0 0.00521470828233374 0.000363901018922853 0 0.0045687134502924 0.00727704764117044 0.00905241830117761 0 0.00190862109466761 0.0256036225139826 0.0295401814832325 0.0428420455931006 0.0707227556594819 0.113200430761717 0.113256313882902 0.462888424764173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.000957854406130268 0.000957854406130268 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00435921495034795 0.00520833333333333 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0.0104166666666667 0 0.00265853467823911 0 0 0 0 0.0043888523151196 0.0107767203614441 0.0584291187739464 0.0697382747438365 0.133347688712942 0.0639714040768122 0.114811943038246 0.336259109636109
3 193.666666666667 154.5 19.0833333333333 16.5833333333333 2.41666666666667 0.916666666666667 0.166666666666667 0.463498249325227 0.0854610428018739 0.052258356439428 0.0029613166697687 0.00508960133636608 0.200333283105085 0.0321347335207586 0.158263416801493 0 0 0 0 0 0 0 0.000476190476190476 0.000980392156862745 0.000980392156862745 0 0.00193798449612403 0.00193798449612403 0 0.000476190476190476 0 0 0 0 0 0 0.00119047619047619 0 0.00726829773999585 0 0 0.000980392156862745 0.00276280323450135 0 0 0 0.0033116108697504 0.000476190476190476 0 0.00358633614447568 0.00878258995906055 0.0119968882007186 0 0.00581138751586851 0.00719026071967248 0.0196605024851418 0.0364981343217648 0.0708454312278992 0.0790147478023856 0.144751972340576 0.589082844356305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00260416666666667 0.00260416666666667 0.00260416666666667 0.00320512820512821 0 0.00626808100289296 0.00626808100289296 0 0 0.00260416666666667 0.00320512820512821 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0.00117370892018779 0.00626808100289296 0 0.00626808100289296 0 0 0 0 0.0109776304888152 0.0118849645762964 0.0112196655099352 0.081498317252951 0.146351115019802 0.0903485508401185 0.105684929019889 0.492354324769859
4 168.5 135 15.0833333333333 15.8333333333333 1.16666666666667 1.25 0.166666666666667 0.592760584763219 0.0556800733720937 0.0416648597923654 0.00176992719955077 0.00346514538764954 0.149058883316613 0.031654610759372 0.123945915409137 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0 0 0 0 0 0 0 0.000683060109289617 0 0 0 0 0.000683060109289617 0 0.00128205128205128 0 0 0 0.000548245614035088 0 0 0.000548245614035088 0.00722144116257295 0.0212414476573515 0 0.000548245614035088 0.00250733883456996 0.00731131585316227 0.0172011634884895 0.0456315946290437 0.0798524878292857 0.124796831399459 0.606105086964945 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00136612021857923 0.00136612021857923 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0.00306680049068808 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0.00170068027210884 0 0 0 0 0.00170068027210884 0.00306680049068808 0.0054336622659604 0.0296336604568613 0.0790754107081892 0.137549909590558 0.113285552301086 0.533939009953374
5 174 137 17.6666666666667 16.6666666666667 1.58333333333333 0.75 0.333333333333333 0.477724679043737 0.096866524587944 0.0341682910312491 0.0334498002975694 0.0385807800855843 0.165256680170454 0.0208619821996046 0.133091262583857 0 0 0 0 0 0 0.000656167979002625 0.000448028673835126 0 0 0 0 0.000487329434697856 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0.00157232704402516 0.00110419665283775 0.00109649122807018 0.00460180964221578 0 0 0 0 0.000448028673835126 0 0.00357636923850846 0.0113010173388768 0.00849436169291383 0 0.0050625233296006 0.00694094497143413 0.0100098573673045 0.0235181270515998 0.082321748137036 0.0535038868520943 0.10475860401152 0.595192520303233 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.0043859649122807 0.00297619047619048 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00484867860187553 0.0036231884057971 0 0 0.00292617046818727 0 0.00122549019607843 0.00420168067226891 0 0.0036231884057971 0 0 0 0 0.0103383458646617 0.00995071941820206 0.00887855142056823 0.043290521950407 0.0967033471040451 0.0601728424536724 0.0764784677479618 0.490569207712209
6 168 136 14.25 14.75 1.33333333333333 1.5 0.166666666666667 0.567717577802428 0.0632716584873039 0.0288599206246527 0.0114170237932071 0.00560468879240147 0.16838883452205 0.0226948470431841 0.132045448934773 0 0 0 0 0 0.00100401606425703 0 0 0 0 0 0 0.000591016548463357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0.00189393939393939 0 0 0.000591016548463357 0 0.00718239189353062 0 0.00310166886253843 0.00401049154991845 0.0209167331881129 0.0255352009611518 0.0444195602126214 0.0708183471361623 0.100655503911468 0.63215890160816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00586091410559496 0 0 0 0 0.00268817204301075 0.0503841607565012 0.00769115890083632 0.072878125120175 0.0718129486746508 0.0314143301388783 0.0673281203108474 0.598672228679664
7 149.916666666667 118.75 14.75 14.1666666666667 0.666666666666667 1.33333333333333 0.25 0.508215303662473 0.0864444546899939 0.0257161254552322 0.00789822510137782 0.00552130803291322 0.190584065846354 0.0195577417642856 0.156062775447371 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0.000778816199376947 0 0 0 0 0 0.00192055945983189 0 0 0 0.000508130081300813 0 0 0 0 0 0 0 0 0 0 0 0 0.00820533277223498 0.00344975637031712 0 0.01327104879529 0.00960776316884422 0.0197027024493974 0.0198444648683642 0.0763949373931486 0.0690272340486171 0.10236776482947 0.673318925461243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00706057752667922 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00564814814814815 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0195402298850575 0.00929331630481056 0.0189383780332056 0.037442716209154 0.113717056199279 0.0578574321204119 0.0962031580333499 0.634298987539904
8 165.916666666667 132.166666666667 15.6666666666667 16 1.08333333333333 0.916666666666667 0.0833333333333333 0.598482888954769 0.0711138622997131 0.0215470317291513 0.0038011519690994 0.0121068700113548 0.181640470097521 0.019332170068396 0.0919755548699953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0.00145903479236813 0.000957854406130268 0 0 0 0 0 0 0 0 0 0.00264135608963195 0.00452441077441077 0.00319514590347924 0 0.00315656565656566 0.00257786195286195 0.0123039542938968 0.0159264779869918 0.0504785999503714 0.0609414305894191 0.126181510279719 0.631165056583413 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00574712643678161 0.0117099242099242 0.00721677559912854 0.0316644717807509 0.107297908904706 0.0617245372204333 0.107138790637423 0.572903750555998
9 169.916666666667 137.833333333333 12.3333333333333 17.0833333333333 1.16666666666667 1.25 0.25 0.542374003099167 0.0760019170983078 0.0261774625863709 0.00173839534869507 0.0575380929167351 0.16812783110106 0.0141439381587478 0.113898359690916 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0.00520833333333333 0.000771604938271605 0 0.00244611457742484 0 0 0 0.00193798449612403 0 0 0 0.000508130081300813 0.00271800662451069 0 0.000771604938271605 0.0102025745257453 0.0141498847608698 0.00890401987353207 0.0689946421511935 0.0546342577473226 0.0997065756584333 0.637795010192604 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.018969298245614 0.0240893365893366 0.0177897334147334 0.123505454813504 0.0475150018396922 0.106301808285167 0.563069446177031
10 170.583333333333 137.333333333333 16.25 14.75 0.75 1.41666666666667 0.0833333333333333 0.580311638494352 0.0648065306877785 0.0285265994706507 0.00537158375496507 0.00449885113990227 0.190947715193358 0.0219886172485803 0.103548464010413 0 0 0.00132275132275132 0 0 0 0 0 0 0 0.00132275132275132 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0 0.000574712643678161 0.00132275132275132 0 0 0.00366236347000629 0.000574712643678161 0 0.00258133285864442 0.00290683382497542 0.000737463126843658 0 0.00124378109452736 0.0108261588852512 0.0179000813715173 0.011426871934263 0.0584366618799277 0.0688141280529317 0.0977398334253657 0.716018426981752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0.005600019029635 0.00163398692810458 0 0 0 0 0 0.0028735632183908 0.0102759622367466 0.0139846743295019 0.0185922694436626 0.127431437687414 0.0585992343446269 0.0472169642549927 0.708932419128448
