"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oj_Proportion" "Transition_ej_Proportion" "Transition_cj_Proportion" "Transition_jc_Proportion" "Transition_ho_Proportion" "Transition_hj_Proportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_eg_Proportion" "Transition_oh_Proportion" "Transition_eo_Proportion" "Transition_co_Proportion" "Transition_ee_Proportion" "Transition_hc_Proportion" "Transition_ec_Proportion" "Transition_ch_Proportion" "Transition_ei_Proportion" "Transition_ij_Proportion" "Transition_gj_Proportion" "Transition_gc_Proportion" "Transition_oi_Proportion" "Transition_oo_Proportion" "Transition_ie_Proportion" "Transition_io_Proportion" "Transition_ge_Proportion" "Transition_hh_Proportion" "Transition_oc_Proportion" "Transition_sh_Proportion" "Transition_gh_Proportion" "Transition_ic_Proportion" "Transition_hi_Proportion" "Transition_se_Proportion" "Transition_cc_Proportion" "Transition_ih_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_ci_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_gg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgi_Proportion" "Transition_esc_Proportion" "Transition_jsg_Proportion" "Transition_jgs_Proportion" "Transition_gos_Proportion" "Transition_gsc_Proportion" "Transition_shg_Proportion" "Transition_ggj_Proportion" "Transition_hsc_Proportion" "Transition_gsh_Proportion" "Transition_jjs_Proportion" "Transition_iog_Proportion" "Transition_cso_Proportion" "Transition_ish_Proportion" "Transition_ise_Proportion" "Transition_hsi_Proportion" "Transition_geo_Proportion" "Transition_sie_Proportion" "Transition_igi_Proportion" "Transition_iee_Proportion" "Transition_ogi_Proportion" "Transition_cog_Proportion" "Transition_eii_Proportion" "Transition_eis_Proportion" "Transition_sgj_Proportion" "Transition_csc_Proportion" "Transition_gso_Proportion" "Transition_oig_Proportion" "Transition_igh_Proportion" "Transition_ese_Proportion" "Transition_jsc_Proportion" "Transition_hgg_Proportion" "Transition_iho_Proportion" "Transition_sei_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_ies_Proportion" "Transition_sos_Proportion" "Transition_sjs_Proportion" "Transition_sge_Proportion" "Transition_ses_Proportion" "Transition_scc_Proportion" "Transition_eee_Proportion" "Transition_gse_Proportion" "Transition_shs_Proportion" "Transition_ges_Proportion" "Transition_hsg_Proportion" "Transition_ocs_Proportion" "Transition_gig_Proportion" "Transition_soc_Proportion" "Transition_goo_Proportion" "Transition_seg_Proportion" "Transition_cij_Proportion" "Transition_occ_Proportion" "Transition_iic_Proportion" "Transition_sgc_Proportion" "Transition_soh_Proportion" "Transition_esi_Proportion" "Transition_jos_Proportion" "Transition_gcs_Proportion" "Transition_oso_Proportion" "Transition_gsj_Proportion" "Transition_egs_Proportion" "Transition_hgs_Proportion" "Transition_isc_Proportion" "Transition_ogs_Proportion" "Transition_ois_Proportion" "Transition_jgj_Proportion" "Transition_cig_Proportion" "Transition_gih_Proportion" "Transition_shi_Proportion" "Transition_his_Proportion" "Transition_osg_Proportion" "Transition_ogg_Proportion" "Transition_gge_Proportion" "Transition_iig_Proportion" "Transition_cgs_Proportion" "Transition_eos_Proportion" "Transition_sso_Proportion" "Transition_ics_Proportion" "Transition_cos_Proportion" "Transition_ssc_Proportion" "Transition_see_Proportion" "Transition_csj_Proportion" "Transition_cis_Proportion" "Transition_ggi_Proportion" "Transition_gie_Proportion" "Transition_esg_Proportion" "Transition_ghg_Proportion" "Transition_ggh_Proportion" "Transition_sgh_Proportion" "Transition_ghs_Proportion" "Transition_iso_Proportion" "Transition_cse_Proportion" "Transition_jsi_Proportion" "Transition_sse_Proportion" "Transition_soo_Proportion" "Transition_ecs_Proportion" "Transition_chh_Proportion" "Transition_ioc_Proportion" "Transition_ihg_Proportion" "Transition_eih_Proportion" "Transition_gch_Proportion" "Transition_scg_Proportion" "Transition_osi_Proportion" "Transition_csg_Proportion" "Transition_gii_Proportion" "Transition_osj_Proportion" "Transition_igg_Proportion" "Transition_hse_Proportion" "Transition_ihs_Proportion" "Transition_ccs_Proportion" "Transition_osc_Proportion" "Transition_iii_Proportion" "Transition_scs_Proportion" "Transition_sgi_Proportion" "Transition_csi_Proportion" "Transition_gis_Proportion" "Transition_iis_Proportion" "Transition_sig_Proportion" "Transition_ssi_Proportion" "Transition_gsi_Proportion" "Transition_ess_Proportion" "Transition_ssj_Proportion" "Transition_igs_Proportion" "Transition_sjj_Proportion" "Transition_sii_Proportion" "Transition_isg_Proportion" "Transition_isi_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 550.416666666667 404.75 67.5 56.25 11.1666666666667 6.75 4 0.367145778148511 0.0521598253624441 0.0729419309714492 0.0190568650332397 0.0128468711550408 0.292235005058504 0.0315151978954905 0.152098526375321 0 0 0 0 0 0 0.000170415814587594 0.000170415814587594 0.000170415814587594 0.000170415814587594 0.000229568411386593 0.000238095238095238 0.000255623721881391 0.000377073906485671 0.000457875457875458 0.000457875457875458 0.000457875457875458 0.000498499804088906 0.000570776255707763 0.000628291272463052 0.000628291272463052 0.000638079464069425 0.000660089301586306 0.000695970695970696 0.000708601493306487 0.000713499179756849 0.000818550024365639 0.00112842865659567 0.00132017860317261 0.00135635948793855 0.00142210067306334 0.00143140471541771 0.0014349173158789 0.0014380149797385 0.00160757858085365 0.00189272377061267 0.00200737213462063 0.00204778347692961 0.00211279746743769 0.00218500940807057 0.00243580713578192 0.00397620990265354 0.00465238494725699 0.00565268234159058 0.00651465415003781 0.00748416230602938 0.00828209420269952 0.015440005706919 0.0176886949906999 0.0191805108307011 0.0237844059344995 0.024609963143176 0.0262398036076466 0.0411516612167089 0.106054558889717 0.178498207160147 0.477253224589801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000325520833333333 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000378787878787879 0.000445632798573975 0.000445632798573975 0.000445632798573975 0.000566893424036281 0.000566893424036281 0.000612745098039216 0.000612745098039216 0.000651041666666667 0.000757575757575758 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000892414257369615 0.000938265931372549 0.000992063492063492 0.000992063492063492 0.00101252622261026 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00111168435534591 0.00111168435534591 0.00113636363636364 0.00115885416666667 0.00135432741769547 0.00142201206140351 0.00147527910685805 0.00164155168240136 0.00170923632610939 0.0017863823419379 0.00207205277944511 0.00211190317527123 0.00211675579322638 0.00240384032400839 0.00254498106060606 0.00257226250839842 0.00320857764051187 0.00338310531142872 0.00367862408712082 0.00423593350383632 0.00475826475020423 0.00517419943520887 0.00590221901751722 0.00613451799895577 0.00645289305631524 0.00707277017025401 0.0074246508062954 0.00810278295287902 0.00867225316520638 0.0104166531055464 0.0108009669437212 0.01638324876927 0.0183866475194609 0.0203282429121667 0.0508684579943364 0.07276107059437 0.0901273320701929 0.178529603432797 0.397354504461319
2 484.083333333333 340.833333333333 63.5833333333333 55 11.5833333333333 7.5 5.58333333333333 0.39960921641384 0.0398693005591618 0.0651170440620546 0.0218819536286006 0.0142451258358251 0.279825077380985 0.0369579097995495 0.142494372319983 0 0 0 0.000133120340788072 0.000215889464594128 0.000460405156537753 0 0 0 0.000215889464594128 0.000155763239875389 0.000371652704469517 0.000623052959501558 0.000215889464594128 0 0 0.000288883580663462 0.000977403281860733 0.000266240681576145 0.000290360046457607 0.00139531494427672 0 0.00118519743234146 0 0.00134372568534592 0.000251004016064257 0.00102530442651408 0.000790891612791976 0.00105443564972203 0.000550785430886639 0.000133120340788072 0.00164836760200828 0.00079898692690538 0.000780788734570456 0.00238930423678603 0.00174456317350428 0.00186492337944072 0.000460405156537753 0.000757253527115992 0.000460405156537753 0.00229089368164588 0.00241733268717471 0.00941780547779695 0.00150390777538676 0.00820521808967835 0.00327368584996882 0.00999931408042048 0.0127736264461892 0.0238095298908079 0.0193269641945631 0.0135967716800901 0.028729781555557 0.0188234600021485 0.0408086401073207 0.100165816351965 0.19384193337105 0.488165990940586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000256410256410256 0.000256410256410256 0.000256410256410256 0.000256410256410256 0.000256410256410256 0.000256410256410256 0.000256410256410256 0.000262054507337526 0.000262054507337526 0.000262054507337526 0.000385802469135802 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000518464763747783 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.00068870523415978 0.00068870523415978 0.000743739691108112 0.000743739691108112 0.000749383942035382 0.000769230769230769 0.000774875020158039 0.00087369420702754 0.00100579419844564 0.00126262626262626 0.00126262626262626 0.00139780322170259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000256410256410256 0.00148190045248869 0.00178673527730131 0 0 0 0 0 0 0.000256410256410256 0.000256410256410256 0.00148747938221622 0.00196922988718654 0 0 0 0 0.000262054507337526 0 0.000262054507337526 0.00173127901258261 0.00166550197996739 0 0.000262054507337526 0.000487329434697856 0 0 0.000743739691108112 0 0 0 0 0 0 0 0 0 0 0 0 0.000262054507337526 0.00178631346953095 0.00153554746404796 0 0.00136021560549862 0 0 0 0 0.0030260062418775 0.000786163522012579 0.00101143844937291 0.00068870523415978 0.00784649772236664 0.00275882686342799 0.000743739691108112 0.00499225673345073 0.00722498539630886 0.00423765034825844 0.00126262626262626 0.00575889047752669 0.00126262626262626 0.00915744514392216 0.00697024383115683 0.00703847923482053 0.0102261410753968 0.012614122947031 0.00625525502180583 0.0119181875439963 0.0140433337107111 0.00793542082312357 0.0248522332327098 0.0191835308196382 0.0198266083000549 0.0299825098163799 0.061972866091469 0.100700162846068 0.173062157172215 0.322252780651642
3 415 287.75 52.8333333333333 53.3333333333333 9.58333333333333 8 3.5 0.416175974344625 0.0407977952690017 0.0561661149917511 0.0205134167142574 0.0196269873651013 0.291962556112423 0.0202443485942117 0.134512806608629 0.000252525252525253 0.000416666666666667 0.000418760469011725 0 0 0 0 0.000244379276637341 0.000656167979002625 0 0 0 0 0.000420875420875421 0 0 0.000252525252525253 0.000907256743832619 0.00123917050753045 0.000667177612702905 0.000252525252525253 0.000252525252525253 0.000252525252525253 0.000496904529162594 0 0 0 0.00114541295977219 0 0.00259055713658494 0.000414652360177652 0.00119099901708597 0.000162127107652399 0.000179597701149425 0.00107569830348166 0.00107181194042213 0.00214650964582054 0.000341724808801825 0.000837592946161716 0.000900547255639966 0 0.00208388672433291 0.00461906044505562 0.00784572540806137 0.00563702507493669 0.00545155293001358 0.00407177485244981 0.00927884896623751 0.00944509400902178 0.0129200831665841 0.0175260705509819 0.0209885363082122 0.012997652716685 0.0367416455757773 0.100917709940918 0.207313816848229 0.523374299831704 0 0 0 0 0 0.000304136253041363 0.000304136253041363 0.000304136253041363 0.000304136253041363 0.000304136253041363 0.000320512820512821 0.000487329434697856 0.000559284116331096 0.000608272506082725 0.000677506775067751 0.00137251232141743 0 0 0 0 0 0 0.000559284116331096 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000559284116331096 0.000998019595580571 0.00122549019607843 0 0 0.000304136253041363 0 0.000559284116331096 0.000863420369372459 0 0 0 0.00321111571553112 0 0 0 0 0 0 0 0 0 0 0.000559284116331096 0.000677506775067751 0.00106837606837607 0.00122549019607843 0.00168152283932478 0 0.00149134549895488 0 0 0 0 0.000304136253041363 0.000863420369372459 0.00100401606425703 0 0 0.000912408759124088 0.000974658869395711 0 0.000304136253041363 0.00212258429691922 0 0.000559284116331096 0 0 0 0.00116755662241382 0.000559284116331096 0.000677506775067751 0 0 0 0 0 0 0 0 0.000559284116331096 0 0 0 0 0 0 0.00116483620976561 0 0.0018737167699903 0.000608272506082725 0 0 0 0.000320512820512821 0 0 0.000304136253041363 0.000677506775067751 0.00172684073874492 0.000677506775067751 0.00297630286948428 0.00313084267863205 0.000863420369372459 0.000928785326595546 0.00576514881124689 0.00888975080593091 0 0.00312657893256686 0 0.00216557621799439 0.00219818804027456 0.00450335500004948 0.00956212480466812 0.0035909420753831 0.00221417017344277 0.0060309271204179 0.00815979175369794 0.00919645447803459 0.00867457426223704 0.0111537064532227 0.0146849295536179 0.0354769941886868 0.071611784518225 0.0911666991683996 0.241532264058725 0.414505423667149
4 271.25 202.583333333333 32.9166666666667 28.1666666666667 3.66666666666667 3.08333333333333 0.833333333333333 0.411067651254931 0.0581902954359504 0.0479018351462432 0.0282832152406487 0.0292247186364823 0.240907082322455 0.0344207313373718 0.150004470625918 0 0 0 0.000617283950617284 0 0 0.00141856600189934 0.000832419954829281 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0.00405541200114844 0 0 0 0 0 0 0.00290359515605246 0 0.000778816199376947 0 0.000968992248062015 0.000617283950617284 0 0.000431778929188256 0 0.000431778929188256 0 0.000570776255707763 0 0 0.00239865533489025 0.000617283950617284 0.0012211486849168 0.00166634683042282 0.0183498519533178 0.000400641025641026 0.0224202225540233 0.0158026430471621 0.00746811946298248 0.0294537305540163 0.0127431994454659 0.00483422820052538 0.0347341933684345 0.0873775459657814 0.182063037322392 0.564247736079045 0 0 0 0 0.00258458646616541 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0.00148809523809524 0 0 0.00109649122807018 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0.00173611111111111 0.00120772946859903 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0.00120772946859903 0 0 0 0 0.0278939222922112 0 0 0 0 0 0 0 0.00124378109452736 0 0.00694444444444444 0.00120772946859903 0 0.014182730723027 0.00775518089073364 0.0263165637062326 0.0618833583915055 0.0738653984666633 0.0758308382251663 0.186760944679286 0.486133267607672
5 189.5 144.333333333333 18.5 21.75 2.16666666666667 2.58333333333333 0.166666666666667 0.407384187284159 0.10747085019942 0.0677183510368147 0.0300818545462571 0.025353862058422 0.221946106117752 0.0270294852966653 0.11301530346051 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0.000582750582750583 0 0 0 0 0 0 0.000452898550724638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00103564913347522 0 0 0.00352438682340895 0.000582750582750583 0.000582750582750583 0.00113099619678567 0.00154060498888085 0 0.0119072730714033 0.00195899857088999 0.013878537595832 0.00732537548899105 0.00490893439978108 0.0703504186696756 0.00911326148182237 0.000548245614035088 0.0255955631507854 0.0721925150663913 0.166049462489402 0.605494845864936 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0.0110086015538291 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00157232704402516 0 0.00157232704402516 0.000980392156862745 0 0.00666491963661775 0.0103341965717104 0.0260412812923912 0.137575618996725 0.0525973369781176 0.0810869438621011 0.129726401392143 0.531261561228265
6 134.666666666667 104.333333333333 12.25 15.25 0.75 1.91666666666667 0.166666666666667 0.420544743141323 0.090096390349339 0.0726069666765515 0.0297506649095516 0.0417194029888475 0.190432113553661 0.0381412416959953 0.116708476684731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0 0 0 0.000551876379690949 0 0 0 0.00158730158730159 0.000793650793650794 0 0.000793650793650794 0.00788412746194203 0 0.00490196078431373 0.00259184799747714 0.00420168067226891 0.0022075055187638 0.0166080488013917 0.00134552717334174 0.012666099821045 0.0234018467971029 0.0037119061953499 0.0405369628996218 0.0121826916170485 0.00341856757419671 0.0499177975576021 0.0877725798757852 0.130532541029784 0.59159817787502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.0208333333333333 0.00115740740740741 0 0.00115740740740741 0 0.00115740740740741 0.00296900161030596 0 0.0103642257818459 0 0.00115740740740741 0 0.00181159420289855 0.00520833333333333 0.00115740740740741 0.00231481481481481 0.00115740740740741 0 0 0 0 0.0190447813374015 0 0.0215982286634461 0.0853591935757267 0.131273836765828 0.0576690821256039 0.143959233833376 0.406159155436901
7 104.833333333333 79.25 9.25 12.6666666666667 1 2.08333333333333 0.583333333333333 0.488782521170683 0.0845432134751017 0.057849588825631 0.0307777822354035 0.0313089014639928 0.183257898824436 0.019607743133018 0.103872350871734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0 0 0 0 0 0 0 0 0.000730994152046784 0.000730994152046784 0 0 0.000730994152046784 0.00117370892018779 0.00234741784037559 0 0.00456137427756852 0 0.0119047619047619 0 0.00117370892018779 0.000850340136054422 0.0096264500391969 0.000730994152046784 0.0186436569200144 0.00986120716235216 0 0.0317367851908269 0.00486334884831125 0.0138427464008859 0.0300156189451032 0.0577937353568929 0.1136921761345 0.684257992242546 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0.00163398692810458 0 0 0 0 0.00423815359477124 0.00225225225225225 0 0.00225225225225225 0 0 0 0 0 0 0 0.0028735632183908 0 0.00961062530935489 0.00163398692810458 0.0317181612979027 0.0713162400552307 0.0536868171116063 0.0563338817073671 0.158320988177466 0.596553818125393
8 108.5 84.5 8.08333333333333 13.0833333333333 1.16666666666667 1.58333333333333 0.0833333333333333 0.522889310289889 0.0686033283784114 0.0578441829269973 0.0274605706487694 0.0211119336549145 0.178185219456818 0.0204982784633623 0.103407176180838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0 0 0 0 0 0 0.000859106529209622 0 0.00161812297734628 0 0.00277777777777778 0.0100471407172438 0 0 0 0.00409013349392753 0 0.00678074185463898 0.000915750915750916 0.0166389897058 0.0214807884709407 0.000915750915750916 0.0497460100642872 0.028232347966274 0.00188791311357176 0.0439204047759776 0.0748795535282172 0.132156140294109 0.602024520314815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0.00203252032520325 0.00245098039215686 0 0 0.00203252032520325 0 0 0 0 0 0 0.0416666666666667 0.00408496732026144 0.0344498910675381 0 0.0340995137892555 0.107197845262766 0.0916435849407514 0.0899545732311156 0.126722132250289 0.459998297175485
9 89.4166666666667 68.75 8 9.41666666666667 0.833333333333333 1.91666666666667 0.5 0.455925643482195 0.0678686024375951 0.06655446436459 0.0646981633517812 0.0362626729703124 0.175580023287182 0.0325955258062553 0.100514904300088 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0.0110249391727494 0 0 0 0.00260416666666667 0 0 0.000608272506082725 0 0.0138459158415842 0 0 0.000608272506082725 0.0170015200179684 0.000608272506082725 0.0277480695656751 0.025094771904091 0.000608272506082725 0.0197093274153961 0.00464579418708294 0 0.0349707550006676 0.107593079268972 0.0961222799103468 0.635164663504053 0.00132275132275132 0.00163398692810458 0.00163398692810458 0 0.00163398692810458 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0.0153186274509804 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0.023098633392751 0 0.0204292575616105 0.0421396386837563 0.0636322079336785 0.153598025068613 0.0892444578841638 0.534148434626376
10 89.9166666666667 68.5833333333333 7.66666666666667 11 1 1.41666666666667 0.25 0.529990248001041 0.0674999742423916 0.0506442093907061 0.0465840635571539 0.0405759570940447 0.143731213639125 0.0206035729071254 0.100370761168413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0.0104166666666667 0 0 0 0 0 0 0 0.00136612021857923 0 0 0 0 0 0 0 0.00557081807081807 0 0.00367668729737695 0 0 0 0.0189245715969854 0 0.0233832130277862 0.014993894993895 0.00191570881226054 0.0201086270051787 0.0016025641025641 0 0.0550751685347502 0.081965762515099 0.126520034722483 0.62406349576889 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00497076023391813 0 0 0 0 0 0 0 0.0194775132275132 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.0162037037037037 0 0.048070987654321 0.0460526315789474 0.109665947275596 0.0672479810637705 0.151683607166063 0.521824236517219
