"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ei_Proportion" "Transition_hh_Proportion" "Transition_go_Proportion" "Transition_jj_Proportion" "Transition_ch_Proportion" "Transition_hc_Proportion" "Transition_jo_Proportion" "Transition_oo_Proportion" "Transition_ee_Proportion" "Transition_oc_Proportion" "Transition_oi_Proportion" "Transition_ge_Proportion" "Transition_co_Proportion" "Transition_ij_Proportion" "Transition_hi_Proportion" "Transition_ie_Proportion" "Transition_hg_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_og_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_cg_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_gh_Proportion" "Transition_eg_Proportion" "Transition_ii_Proportion" "Transition_ic_Proportion" "Transition_jh_Proportion" "Transition_ig_Proportion" "Transition_sh_Proportion" "Transition_se_Proportion" "Transition_ih_Proportion" "Transition_ji_Proportion" "Transition_je_Proportion" "Transition_gi_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_shs_Proportion" "Transition_csh_Proportion" "Transition_gig_Proportion" "Transition_chs_Proportion" "Transition_ocs_Proportion" "Transition_scc_Proportion" "Transition_osc_Proportion" "Transition_jos_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_sei_Proportion" "Transition_jsh_Proportion" "Transition_eii_Proportion" "Transition_sse_Proportion" "Transition_jso_Proportion" "Transition_jhs_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_jsi_Proportion" "Transition_esi_Proportion" "Transition_sgi_Proportion" "Transition_csg_Proportion" "Transition_hsi_Proportion" "Transition_gii_Proportion" "Transition_csc_Proportion" "Transition_egs_Proportion" "Transition_sge_Proportion" "Transition_gee_Proportion" "Transition_ois_Proportion" "Transition_iis_Proportion" "Transition_gsj_Proportion" "Transition_jgs_Proportion" "Transition_scs_Proportion" "Transition_gse_Proportion" "Transition_ccs_Proportion" "Transition_hgs_Proportion" "Transition_hsc_Proportion" "Transition_ses_Proportion" "Transition_csi_Proportion" "Transition_ggi_Proportion" "Transition_cgs_Proportion" "Transition_eso_Proportion" "Transition_ssc_Proportion" "Transition_sos_Proportion" "Transition_sig_Proportion" "Transition_hsg_Proportion" "Transition_igg_Proportion" "Transition_sjs_Proportion" "Transition_ics_Proportion" "Transition_ghs_Proportion" "Transition_igh_Proportion" "Transition_egg_Proportion" "Transition_osg_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_igs_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_isg_Proportion" "Transition_ggg_Proportion" "Transition_ihs_Proportion" "Transition_gis_Proportion" "Transition_sis_Proportion" "Transition_ggs_Proportion" "Transition_gsi_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 267.666666666667 209.666666666667 25.3333333333333 26.3333333333333 2.91666666666667 2.16666666666667 1.25 0.387432156608646 0.0361188459961834 0.0516034055970555 0.00413290784228474 0.0129313088870891 0.240987010906963 0.0507131262657401 0.216081237896038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000292397660818713 0.000292397660818713 0.000292397660818713 0.000325520833333333 0.000484496124031008 0.00091031615497076 0.00161812297734628 0.00173611111111111 0.00202850877192982 0.0020716877512994 0.00378787878787879 0.00405701754385965 0.00564900182967197 0.00594732273391813 0.00617660641245547 0.00982450393237763 0.0117234942781059 0.0117536148575834 0.0232951385197759 0.0239421137600757 0.0310078792680029 0.14131122604338 0.143391279621595 0.568080965704842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.00170068027210884 0.00170068027210884 0.00191995037008514 0.00273139558853845 0.00283446712018141 0.00490196078431373 0.00603574763238629 0.00603574763238629 0.0063267445342917 0.00925925925925926 0.00928097558825322 0.0107299047662929 0.0240716433385606 0.0255038126361656 0.0524453592185874 0.0651663240644886 0.144715174082293 0.150937907603017 0.469167117844392
2 231.833333333333 162.416666666667 26.25 32.0833333333333 4.5 4 2.58333333333333 0.369017981977802 0.0423401474468469 0.0739911770711627 0.00782884972286723 0.0403773330411014 0.214647125341514 0.0424946272483963 0.20930275815031 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000149880095923261 0.000149880095923261 0.000149880095923261 0.000149880095923261 0.000149880095923261 0.000149880095923261 0.0005175983436853 0.0005175983436853 0.000558559363689173 0.000667478439608562 0.00144209510935007 0.00622141344020909 0 0 0.00249274264798687 0.0138888888888889 0 0.00526248852804999 0.00118329593750742 0.000149880095923261 0.00219298245614035 0.000149880095923261 0 0.000449640287769784 0.00972769916339053 0.00602068345323741 0.00344945355191257 0.00619208027085384 0.00630813471835119 0.00611764935877385 0.0506501916993954 0.0302104673516746 0.0325348284280038 0.126150458587806 0.171775021919291 0.514269508943353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000509683995922528 0.000651041666666667 0.000651041666666667 0.000651041666666667 0.000651041666666667 0.000764525993883792 0.00105557241100324 0.00127420998980632 0.0104493207941484 0.0208333333333333 0 0 0 0 0 0.000509683995922528 0.000905883664627931 0.00116072566258919 0.00167874073414289 0.00310263947032451 0.00272598206951496 0.00193358273210415 0.00178389398572885 0 0.000254841997961264 0.00313051281385153 0.0028032619775739 0.00101936799184506 0.00298915514310739 0.0174513693748402 0.0100600147786176 0.00845294882689974 0.0714515614341615 0.0718410940176786 0.14496873530469 0.256822046674281 0.355679250179044
3 206.833333333333 152.25 18.5 29.25 2.66666666666667 2.5 1.66666666666667 0.378953873491347 0.0448613632283348 0.0860033025275739 0.0143364011480018 0.0189138210760773 0.20224368282995 0.0582764296106726 0.196411126088042 0 0 0 0 0 0 0 0.000190258751902588 0.000276854928017719 0.000276854928017719 0.000276854928017719 0.000553709856035437 0.000666666666666667 0 0 0 0 0 0.000276854928017719 0 0.000553709856035437 0 0 0.000467113679920306 0.000856925418569254 0 0.000276854928017719 0.00131474486364579 0 0.00381344715769969 0.00114155251141553 0.00166574381690661 0 0.000553709856035437 0.000190258751902588 0 0.00122814868753066 0.0115030991926846 0.00538123050005815 0.00772348566466214 0.00758187700056129 0.018018483542934 0.00841369536272372 0.0497717618411535 0.0430637724889823 0.0453048690204439 0.1195239796422 0.109068283127028 0.560065198102214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000365497076023392 0.000365497076023392 0.000365497076023392 0.000365497076023392 0.000591016548463357 0.000591016548463357 0.000591016548463357 0.000591016548463357 0.00109649122807018 0.00136612021857923 0.00641025641025641 0 0 0 0 0 0 0.000591016548463357 0.000365497076023392 0 0 0 0.00118203309692671 0 0 0 0 0 0 0 0 0 0.00118203309692671 0.00154753017295011 0.00154753017295011 0.000730994152046784 0.00268813091908938 0.00300951847704367 0.00132201070051014 0.00168750777653353 0.00168750777653353 0 0.000730994152046784 0.0119888225291361 0.00213854672141346 0.00118203309692671 0.00745363316247057 0.0116389963464432 0.0542972534128703 0.0142543859649123 0.0906669250963672 0.0986838524117313 0.13080244987153 0.147080364212476 0.398841510700826
4 111.75 85.25 9 13.5833333333333 1.33333333333333 2.08333333333333 0.5 0.386708117939628 0.041064220288893 0.0665625021743533 0.0110551545586132 0.0198632477987554 0.176556632780856 0.0480107615296508 0.250179362929251 0 0 0 0 0 0.000360750360750361 0.00471576227390181 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.00193798449612403 0 0 0.000721500721500722 0 0 0.00107300107300107 0 0.000712250712250712 0 0 0 0.000712250712250712 0.0133237133237133 0.00179450179450179 0 0.00286750286750287 0.0163385956149114 0.00733756983756984 0.0823860451934222 0.0382033570558161 0.0413829653314123 0.143640353382864 0.0963153867390428 0.542686480019435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.0016025641025641 0.0016025641025641 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0 0 0.000712250712250712 0.00142450142450142 0 0 0.000712250712250712 0.000712250712250712 0.00231481481481482 0.00320512820512821 0.000712250712250712 0 0.0016025641025641 0.00320512820512821 0.000712250712250712 0 0.00213675213675214 0.027795584045584 0.0281733312983313 0.00828800828800829 0.160009666259666 0.0927388583638584 0.192825220270872 0.101029214344432 0.357882023371154
5 90.1666666666667 69.3333333333333 8.16666666666667 10.1666666666667 0.666666666666667 1.75 0 0.37760279219707 0.0435958345021836 0.050491135400016 0.0127779284403411 0.0221468736814005 0.164915512774886 0.0505750743237758 0.194561515346994 0 0 0 0.000410509031198686 0.000410509031198686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.0027590025585214 0.000410509031198686 0 0 0 0 0 0 0 0 0 0 0 0 0.00994713781420183 0.000410509031198686 0 0.00485471549939316 0.0117409183879238 0.0247160645867542 0.0320385168445746 0.0355907014812847 0.0399009445427114 0.0883916166480335 0.12377797853465 0.53640507285951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0.00100401606425703 0.00757575757575758 0.0443580024196608 0.00794846050870147 0.0731876065504698 0.0794221576911159 0.126166174757599 0.09197074777337 0.48001366300445
6 66.5 50.75 6.75 7.16666666666667 0.666666666666667 1 0.0833333333333333 0.397070837998569 0.0336266280719697 0.0455092288947087 0.0142256441064757 0.00772244603309852 0.1779042592805 0.0336779801361615 0.206929642145183 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0 0 0.0028735632183908 0 0.00320512820512821 0.00694444444444444 0 0.0060795385824867 0.0467769778114606 0.0622540154466187 0.0378756346306769 0.14941881368514 0.130373342861144 0.46435179781949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.0225164203612479 0 0.100992063492063 0.0879789272030651 0.111001642036125 0.127463054187192 0.377825670498084
7 45.25 35 4 5.08333333333333 0.25 0.833333333333333 0.0833333333333333 0.433787012428043 0.0366596301725661 0.0697145506417597 0.047945165369118 0.0361818122449843 0.161488770761025 0.0526977927033467 0.161525265679157 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.0547255939412802 0.00833333333333333 0 0.00490196078431373 0.00347222222222222 0.0134259259259259 0.0337009803921569 0.0264297385620915 0.0714772019919079 0.074143777881523 0.13936222637203 0.563854199087042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0.00641025641025641 0 0 0 0 0 0 0.0555555555555556 0.0341880341880342 0 0.0575534759358289 0.207657456922163 0.0583519013666072 0.142275698158051 0.425187108642991
8 78.8333333333333 61 6.83333333333333 9.25 0.583333333333333 0.833333333333333 0.333333333333333 0.448508697440786 0.0518485836609358 0.0452427605988216 0.0395599532397927 0.0192681975962198 0.164467252224494 0.0489609218878872 0.182143633351063 0.000825082508250825 0.00134408602150538 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0.000825082508250825 0 0 0 0.00247524752475248 0 0 0 0.00134408602150538 0.000825082508250825 0.00134408602150538 0 0 0 0.0286258320532514 0 0.00833333333333333 0.0033003300330033 0 0.00825309962694755 0.0353993725848336 0.0557098556712156 0.0349087899381336 0.0980313979390039 0.12774876524848 0.584673054616192 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.0036231884057971 0.0303030303030303 0.0910600570926658 0 0.0669649392475479 0.0557659932659933 0.0841476357780706 0.114450666081101 0.519172705314009
9 82.3333333333333 61.8333333333333 7.33333333333333 10.8333333333333 0.75 1.33333333333333 0.25 0.478300683013284 0.0514780458755176 0.0568799308197603 0.0133433966813163 0.0257331211307546 0.164419706393875 0.0275458456763273 0.182299270409165 0 0 0 0 0 0 0.000694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0022453285111513 0 0 0 0.000694444444444444 0 0 0 0.0016025641025641 0 0 0 0 0 0.0163326300984529 0 0 0.00518510146674704 0.0066468253968254 0.0022453285111513 0.068556803604272 0.015403355435001 0.0483801651564809 0.0681890186761939 0.122385534186001 0.641438455966271 0 0 0 0 0 0 0 0.00141242937853107 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0.00566436251920123 0 0 0.00268817204301075 0.0291902071563089 0.0070767918977323 0.00141242937853107 0.172747055811572 0.0959020712819661 0.0638003100822744 0.0773051936640795 0.535613955612165
10 50.6666666666667 38.5833333333333 4.83333333333333 5.91666666666667 0.416666666666667 0.75 0.166666666666667 0.468991736201741 0.0498407757815729 0.0702261490388855 0.0331576283756706 0.0275245971819166 0.142679766858553 0.0309003533774941 0.176678993184166 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0.00948731983214742 0 0 0 0 0 0 0 0.00198412698412698 0 0 0.00198412698412698 0 0 0.0216201423097975 0.00520833333333333 0.00808189655172414 0 0.0109126984126984 0.0112679466127742 0.0389685346581898 0.020165115854771 0.0451948514448514 0.147000038594866 0.100686725471208 0.572427827600241 0 0 0 0 0.00416666666666667 0.00595238095238095 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0392857142857143 0.0291666666666667 0 0.0816468253968254 0.0977904040404041 0.177714646464646 0.0829274891774892 0.468452380952381
