"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gh_Proportion" "Transition_ej_Proportion" "Transition_oh_Proportion" "Transition_ji_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_ij_Proportion" "Transition_ce_Proportion" "Transition_hg_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_eg_Proportion" "Transition_cg_Proportion" "Transition_ih_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_cc_Proportion" "Transition_ee_Proportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_hc_Proportion" "Transition_gi_Proportion" "Transition_hi_Proportion" "Transition_ie_Proportion" "Transition_gj_Proportion" "Transition_hh_Proportion" "Transition_se_Proportion" "Transition_ec_Proportion" "Transition_jc_Proportion" "Transition_oo_Proportion" "Transition_je_Proportion" "Transition_ge_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_igg_Proportion" "Transition_sig_Proportion" "Transition_sse_Proportion" "Transition_esi_Proportion" "Transition_sjs_Proportion" "Transition_hgs_Proportion" "Transition_ois_Proportion" "Transition_csg_Proportion" "Transition_esg_Proportion" "Transition_ces_Proportion" "Transition_jsg_Proportion" "Transition_gsi_Proportion" "Transition_jgs_Proportion" "Transition_his_Proportion" "Transition_ees_Proportion" "Transition_sge_Proportion" "Transition_gee_Proportion" "Transition_eee_Proportion" "Transition_gsh_Proportion" "Transition_egs_Proportion" "Transition_gis_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_scc_Proportion" "Transition_igs_Proportion" "Transition_cgs_Proportion" "Transition_ihs_Proportion" "Transition_gih_Proportion" "Transition_ggg_Proportion" "Transition_scs_Proportion" "Transition_isi_Proportion" "Transition_ggs_Proportion" "Transition_ccs_Proportion" "Transition_gsg_Proportion" "Transition_hcs_Proportion" "Transition_sjj_Proportion" "Transition_isj_Proportion" "Transition_ssj_Proportion" "Transition_ecs_Proportion" "Transition_sis_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssh_Proportion" "Transition_esc_Proportion" "Transition_isg_Proportion" "Transition_iis_Proportion" "Transition_shh_Proportion" "Transition_ges_Proportion" "Transition_cse_Proportion" "Transition_shs_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_ssc_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 576.416666666667 507.5 34.25 29 2.91666666666667 2.33333333333333 0.416666666666667 0.548411516872543 0.0649150471705135 0.03938824237966 0.00484360003928964 0.0105601094055541 0.205482040944194 0.0209913622024647 0.105408080985781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0.000537634408602151 0.000555555555555556 0.000555555555555556 0.000672043010752688 0.00068870523415978 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.000793650793650794 0.000793650793650794 0.000825082508250825 0.000905797101449275 0.00142279376150344 0.0017308796097001 0.00219020673566128 0.00233805233805234 0.00331293578322441 0.00356039427002971 0.00476287094107708 0.0057113573351029 0.00730945312674708 0.00747739668774475 0.00782525242077001 0.0115240706786822 0.0212768155761517 0.0282957568597495 0.100230049833439 0.169700443881758 0.612213708538125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00130208333333333 0.00130208333333333 0.00173611111111111 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00203252032520325 0.00203252032520325 0.00208333333333333 0.00238095238095238 0.00238095238095238 0.00297619047619048 0.00367409560723514 0.00392645971914265 0.00491417497231451 0.00491417497231451 0.00535714285714286 0.00877313046430694 0.0375006695500881 0.0466485529167215 0.10811759560829 0.159049761409412 0.578475249210476
2 392.666666666667 320.333333333333 32.5833333333333 30.75 4.33333333333333 3.5 1.16666666666667 0.484003524573399 0.0450786024659117 0.0394334248145332 0.00735868643644246 0.0117304071864657 0.256021449545919 0.0243349038614984 0.13203900111583 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0.000574712643678161 0.0006265664160401 0.000730994152046784 0.000968992248062015 0.00177599170339642 0.00211841753541834 0.00229885057471264 0 0 0 0.00130570679572494 0.000563063063063063 0 0 0.000574712643678161 0.00177599170339642 0 0 0 0 0.00130570679572494 0.00134187926244001 0.00299340439400144 0.00674311020161657 0.0020005630327098 0.00245140919378264 0.00841721623774663 0.00585991840699394 0.00561436103466384 0.00902464082551853 0.0181465903931787 0.0164415423172623 0.0205372500097587 0.0327470043544682 0.092068579337723 0.199749551845896 0.56066856023362 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00134408602150538 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00221783424908425 0.00264616935483871 0.00273886494252874 0.00343883547008547 0.00486400360392296 0 0 0.00109649122807018 0 0 0.00251831501831502 0.00320512820512821 0.00634348290598291 0.00768756892748828 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0 0 0.00233088991769547 0 0 0.00130208333333333 0.00130208333333333 0.00694948174388964 0.00305250305250305 0.00835523972859499 0.00820013083936632 0.0199187562549947 0.0267048579384736 0.0599908970830924 0.0868843680534983 0.190523496543577 0.522251082048269
3 287.5 252.666666666667 14.8333333333333 16.25 1.75 1.58333333333333 0.416666666666667 0.677547022346573 0.0631357918711464 0.0233070419859234 0.00502611466983318 0.0129252100466531 0.132714431101523 0.0155418787274147 0.0698025092509326 0 0 0 0 0 0 0 0 0.000925925925925926 0.00297619047619048 0 0 0 0 0.0103835978835979 0.00163398692810458 0 0 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00337582906390246 0 0.00722526180631783 0.00163398692810458 0.00564904750074572 0.00601662683421993 0.0101569818920062 0.00969291854745001 0.00567138471550236 0.0275176322498233 0.0167691611471681 0.0592238834304605 0.108159522034532 0.722223536642064 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0.00166666666666667 0.0040650406504065 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0.00166666666666667 0 0.00333333333333333 0 0.00333333333333333 0.00333333333333333 0.00571428571428571 0.00404761904761905 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.0062962962962963 0.00462962962962963 0.00695488721804511 0 0.0608231396014879 0.0332282928980083 0.0701823424301494 0.105057196118118 0.677652064046747
4 180.583333333333 153.5 10.4166666666667 12.5833333333333 1.33333333333333 2.33333333333333 0.333333333333333 0.679673690420523 0.0398589550624523 0.0270529616820923 0.00411812451177316 0.0109259335067138 0.0906744953047693 0.0143127955006328 0.0500497106777103 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0.00394917582417582 0 0.000578703703703704 0 0 0 0 0 0 0 0 0 0.000744047619047619 0 0 0 0 0 0 0 0 0 0 0.00454545454545455 0.00227272727272727 0.0016025641025641 0.00189393939393939 0.0126750564250564 0.0176594239094239 0.0177604041171114 0.0177293771043771 0.0469637549668037 0.0972700712792176 0.606086068967167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00681918390251724 0.00848765432098765 0 0.00154320987654321 0.00462962962962963 0.00906385281385281 0.0303070059637089 0.0348228663446055 0.0584501632961778 0.115700984133955 0.563508783051356
5 172.5 150.75 8.16666666666667 11.4166666666667 0.916666666666667 1 0.25 0.687256195380347 0.0513528578564706 0.0304763093242299 0.0147189549628541 0.0117221980022279 0.120038434570328 0.0148197149433056 0.069615334960237 0 0 0 0 0.00117370892018779 0.00119047619047619 0.00136612021857923 0.00833333333333333 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0.00833333333333333 0 0.0101449275362319 0.00602881863127765 0.00601205136098925 0.00117370892018779 0.0295029755227733 0.00317771442147779 0.00736991766403531 0.0218291792089559 0.0485878761833876 0.118131867536265 0.715838435462953 0 0 0 0 0 0 0.0028735632183908 0.00757575757575758 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.00320512820512821 0.00757575757575758 0 0.0101799242424242 0.00320512820512821 0.00835129310344828 0.0348156250400441 0.041541168518305 0.101079446436455 0.732183414775712
6 112.083333333333 98.75 5.08333333333333 6.58333333333333 0.583333333333333 0.916666666666667 0.166666666666667 0.81790686300555 0.0352301529523547 0.0140342623397988 0.00582311142917541 0.00583805018857657 0.0733390003224968 0.00787730719677155 0.039951252565276 0 0 0.00268817204301075 0.00347222222222222 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00297619047619048 0.0110215053763441 0.00268817204301075 0 0.0086479564542877 0.00124378109452736 0.0110125211264253 0.0111355186433424 0.0407501802974778 0.0701721390085174 0.826622314672482 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.00595238095238095 0 0 0.00694444444444444 0 0.0239197530864198 0.0221560846560847 0.0418198273461431 0.113379513598812 0.77293117051889
7 119.666666666667 103.666666666667 5.83333333333333 8.58333333333333 0.5 0.666666666666667 0.416666666666667 0.802261005151841 0.0486347670208413 0.0224265532310958 0.0072422820376483 0.0051999189112466 0.0729218785373445 0.0115336485804403 0.0297799465295423 0.00148809523809524 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0.000980392156862745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00196078431372549 0.0181038694547586 0.00595238095238095 0 0.0146226611344976 0.00514966461881813 0.0308775783040489 0.0197022995244609 0.0151687942218789 0.0723824977290828 0.803789553779961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0.00308641975308642 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00553740014524328 0.00490196078431373 0.00617283950617284 0.00617283950617284 0.0305374001452433 0 0.0638707334785766 0.0417483660130719 0.0180598555211558 0.0928873791231892 0.720851966517601
8 90.7272727272727 78.4545454545455 4.27272727272727 6.72727272727273 0.636363636363636 0.363636363636364 0.181818181818182 0.72370839858449 0.0403249905293026 0.0141938294891099 0.0176839239870178 0.0224983920803728 0.0484344307781716 0.0188779728354782 0.0233689708069661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00333333333333333 0.00112612612612613 0.00112612612612613 0.00225225225225225 0 0.00112612612612613 0.0127067977067977 0.00404040404040404 0.0132063882063882 0.0165276774100304 0.0433025204348734 0.643016954119895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0.00925925925925926 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0.00231481481481481 0.0126941457586619 0.00707413695529145 0.022700119474313 0.0096326164874552 0.0411759685953234 0.547926716432659
9 107.909090909091 98 4 4.27272727272727 0.727272727272727 0.727272727272727 0.181818181818182 0.814972136403167 0.0394467894713128 0.0211507546085468 0.00955201364292273 0.0222714154532336 0.0568831669406986 0.00580890069526433 0.0299148227848545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.00378787878787879 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00120772946859903 0.00620333772507686 0 0.00483091787439614 0.0210189367798063 0.00925925925925926 0 0.0186100131752306 0.0304143320447668 0.0384094568877178 0.692015713754844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.00260416666666667 0 0 0.00520833333333333 0.0166666666666667 0 0.0315393518518519 0.0285796957671958 0.0372632575757576 0.603896103896104
10 76.7272727272727 66.6363636363636 3.63636363636364 5.18181818181818 0.454545454545455 0.636363636363636 0.181818181818182 0.844796829226449 0.0209634731067515 0.0105083889034037 0.00197828339179569 0.00925068301002954 0.0840076383555387 0.00491440377804014 0.023580300227992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00245098039215686 0.00659937888198758 0.00245098039215686 0 0.00542717086834734 0.0138888888888889 0.0087719298245614 0.00490196078431373 0.00905035927414444 0.0274817656531211 0.746882747505308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00490196078431373 0.00490196078431373 0.00555555555555556 0 0.0208333333333333 0.00980392156862745 0.0194444444444444 0.0150122549019608 0.743075980392157
