"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_he_Proportion" "Transition_ie_Proportion" "Transition_ec_Proportion" "Transition_jc_Proportion" "Transition_ei_Proportion" "Transition_co_Proportion" "Transition_je_Proportion" "Transition_gj_Proportion" "Transition_hi_Proportion" "Transition_ji_Proportion" "Transition_oe_Proportion" "Transition_jj_Proportion" "Transition_oc_Proportion" "Transition_ic_Proportion" "Transition_ge_Proportion" "Transition_cc_Proportion" "Transition_oi_Proportion" "Transition_io_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_oj_Proportion" "Transition_gc_Proportion" "Transition_oh_Proportion" "Transition_og_Proportion" "Transition_so_Proportion" "Transition_ch_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_ii_Proportion" "Transition_jo_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_igi_Proportion" "Transition_hgs_Proportion" "Transition_gse_Proportion" "Transition_ies_Proportion" "Transition_jcs_Proportion" "Transition_jes_Proportion" "Transition_hes_Proportion" "Transition_gcs_Proportion" "Transition_sgc_Proportion" "Transition_gsh_Proportion" "Transition_csg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_iec_Proportion" "Transition_eii_Proportion" "Transition_ese_Proportion" "Transition_igc_Proportion" "Transition_scc_Proportion" "Transition_jsi_Proportion" "Transition_iii_Proportion" "Transition_cis_Proportion" "Transition_jis_Proportion" "Transition_isg_Proportion" "Transition_ioe_Proportion" "Transition_iig_Proportion" "Transition_cgs_Proportion" "Transition_ocs_Proportion" "Transition_icg_Proportion" "Transition_ges_Proportion" "Transition_ggi_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_igg_Proportion" "Transition_sig_Proportion" "Transition_gsi_Proportion" "Transition_gis_Proportion" "Transition_ios_Proportion" "Transition_gig_Proportion" "Transition_gsg_Proportion" "Transition_iis_Proportion" "Transition_ses_Proportion" "Transition_isi_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_jgs_Proportion" "Transition_chs_Proportion" "Transition_egs_Proportion" "Transition_hsi_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_ohs_Proportion" "Transition_ssc_Proportion" "Transition_shs_Proportion" "Transition_igs_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_scs_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_ggg_Proportion" "Transition_sjs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 384.583333333333 302.416666666667 37.1666666666667 38 3.25 3.16666666666667 0.5 0.382775951550803 0.0474546866118147 0.0458757700020841 0.00827035395253275 0.00875426584427127 0.236619625884936 0.0282219023615431 0.158694110458681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000334672021419009 0.000334672021419009 0.000414593698175788 0.000414593698175788 0.000520833333333333 0.000520833333333333 0.000520833333333333 0.000544662309368192 0.000855505354752343 0.000879334330787201 0.000879334330787201 0.000968992248062015 0.00114711447492904 0.00151526751649249 0.00172419636351312 0.00200004202595846 0.00249792703150912 0.00271328946813308 0.00614067375386687 0.0076552312056838 0.00809937530463076 0.00821403201591547 0.0218030902236523 0.0266276030341921 0.0331172749278043 0.106331625909707 0.148672724534105 0.531218338863627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.000896057347670251 0.000980392156862745 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00128205128205128 0.00128205128205128 0.00136612021857923 0.00136612021857923 0.00229831144465291 0.00229831144465291 0.00256410256410256 0.00324256972311223 0.00333333333333333 0.00358834244080146 0.0037485005997601 0.00538041193778899 0.00574130361364404 0.00672399416301855 0.0227539554519628 0.0572825754676037 0.0593943759886993 0.103274241493768 0.168341609053504 0.453076322537243
2 400.833333333333 312.666666666667 41.4166666666667 38.8333333333333 3.75 3.25 0.833333333333333 0.389495071523392 0.0432310766707435 0.0350471823048124 0.00443694295687767 0.00446645154216232 0.263990437061988 0.0225842482223146 0.153415256384377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000333333333333333 0.000333333333333333 0.000595238095238095 0.000813008130081301 0.000859106529209622 0 0.000595238095238095 0 0.000478927203065134 0 0 0 0 0.000812260536398467 0 0.00154800615043355 0 0.00161163153786105 0.00173629951166576 0.00161705159206159 0.00245392264550119 0.000333333333333333 0.00254659637599746 0.00330362351975158 0.0108206715369336 0.0045539343347154 0.00804318435616178 0.01248988970151 0.0272257867465263 0.022594300939188 0.103003100066676 0.17775150580371 0.530213383258743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.00087719298245614 0.00087719298245614 0.00138888888888889 0.00193798449612403 0.0021209740769835 0 0 0 0 0 0.000833333333333333 0.00124378109452736 0.00226608187134503 0 0 0 0.00138888888888889 0.00087719298245614 0.0017911877394636 0.00225225225225225 0.0067556803627584 0.00271224037104255 0.00419023674837628 0.00689823585888925 0.00138888888888889 0.000833333333333333 0.00560059764300905 0.0128387728925221 0.0517891807322228 0.0497335258504275 0.11099475710085 0.18618421723195 0.458058714729888
3 335.25 260.916666666667 32.1666666666667 34.1666666666667 3.66666666666667 3.41666666666667 0.833333333333333 0.445846881319524 0.0456608034514119 0.0274306978362433 0.00447654994426957 0.00982781690608551 0.250939516235953 0.0245758328609046 0.107908568112275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000431778929188256 0 0 0 0.00250035911800618 0 0 0 0 0.00036231884057971 0 0 0 0 0 0 0.00113122171945701 0 0 0.010752688172043 0.00142384242125175 0.000789615160611084 0 0.0025403090748028 0.000774860094705123 0.00829382992867175 0.00239256576605298 0.00573466566113625 0.0110695211993703 0.0551099736925702 0.0150515828178436 0.0654159033042426 0.175011103564181 0.557880527201953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00459431345353675 0 0 0.00473092361186383 0.000809061488673139 0 0.000809061488673139 0 0 0 0 0 0 0.000809061488673139 0 0 0.00087719298245614 0 0 0.00330162466084796 0.00188341750841751 0.00087719298245614 0.00919446659578239 0.00175438596491228 0.00161812297734628 0.00242718446601942 0.00336700336700337 0 0.00250365497076023 0.00934115469118024 0.104988733233496 0.0230173277535311 0.0734167431056802 0.189697673101799 0.472603059330193
4 253.916666666667 195.083333333333 25.4166666666667 25.8333333333333 4.58333333333333 2.58333333333333 0.416666666666667 0.466416260380653 0.0751560872860879 0.0603604169483166 0.0216575677967325 0.0174153092941968 0.192408956024232 0.0354231627936756 0.131162239476105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000389408099688474 0 0 0 0 0.00171919533373103 0 0 0 0 0 0 0 0.000338753387533875 0 0 0 0.000389408099688474 0 0 0.0130367501264111 0.000389408099688474 0.000886524822695035 0.00596149359927682 0.00775646604410649 0.00416666666666667 0.00702545736399019 0.00803274604243316 0.00507861894551652 0.018061919517458 0.0739176188265898 0.0200866084642628 0.0686067728154147 0.125109460161736 0.639046723583113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00177304964539007 0 0 0 0 0 0.00265957446808511 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0 0.000925925925925926 0.00468601396701177 0.000925925925925926 0.00944307244174265 0.00177304964539007 0.000886524822695035 0 0.00757575757575758 0.0193801265395586 0.14851579200254 0.0324651625634244 0.0931250679772637 0.148969788376358 0.523309667728921
5 210.545454545455 156.545454545455 21.8181818181818 25.5454545454545 3.27272727272727 2.90909090909091 0.454545454545455 0.443949060477186 0.0813438559693011 0.0373932586585609 0.0124753555661696 0.0178294905962707 0.230919348532749 0.018677189185536 0.157412441014227 0 0 0 0 0 0 0 0 0 0.000345781466113416 0.000431778929188256 0.000641025641025641 0.00225225225225225 0.00225225225225225 0 0 0 0.000431778929188256 0.000345781466113416 0.00259067357512953 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0.00233268118590502 0 0 0.00539415562351342 0.000641025641025641 0.00328223650735637 0 0.00346284738081746 0.000683060109289617 0.00600734231410039 0.00326249089681533 0.00431778929188256 0.0183719162377481 0.0856134228142806 0.0447148132274605 0.0752418931470786 0.106898265624513 0.544899149901365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0.000886524822695035 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.0036231884057971 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0.000936329588014981 0 0 0.00187265917602996 0.000936329588014981 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0 0 0 0.00187265917602996 0.000936329588014981 0 0 0.00182285441071002 0.000886524822695035 0.00604761323190732 0.00280898876404494 0 0 0 0.0244520670482581 0.194617843418544 0.0286092750859383 0.0896972115059213 0.134715845461807 0.408342957705824
6 184.181818181818 142.181818181818 14.3636363636364 23 2.54545454545455 1.81818181818182 0.272727272727273 0.521046226500509 0.0907254455463448 0.025047042514554 0.00111556361884397 0.00760412540118967 0.201067459169914 0.0267218897539177 0.126672247494727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000455373406193078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0 0 0.00141741741741742 0.00163538449354558 0.00157232704402516 0.00166759741871432 0.00305890176654041 0.00256507804754329 0.0039055777088564 0.00360511392927106 0.00584667775401917 0.0273020231602262 0.0863364349490939 0.00665074951225428 0.0520168483778674 0.122561626145676 0.595402868868757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.00163398692810458 0 0 0 0.00134408602150538 0 0 0.00112612612612613 0 0.00333333333333333 0.00381429816913688 0.00112612612612613 0.00269845317015128 0 0 0.00296121593291405 0.0053763440860215 0 0 0.00519116677653263 0.00296121593291405 0.178624400092305 0.013911125323028 0.0519825407783691 0.125813496572645 0.509610367106811
7 174.454545454545 132.727272727273 16.8181818181818 20.6363636363636 1.72727272727273 2.18181818181818 0.363636363636364 0.502303759966258 0.0814414605298346 0.0298933793599341 0.0041208627843162 0.0124687185675393 0.189345940871084 0.0301283549784266 0.150297522942607 0 0 0 0 0 0 0 0.000744047619047619 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00051440329218107 0 0 0 0 0.00051440329218107 0 0.00641025641025641 0.000771604938271605 0 0.00906646688331485 0.00108225108225108 0.00051440329218107 0.000706214689265537 0.00959242651374664 0.00718186134852802 0.00154320987654321 0.00051440329218107 0 0.0120512707391827 0.0862487569908558 0.0341956630717113 0.0604023161037064 0.0955836285396553 0.587726995358273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0.0053763440860215 0 0 0.00163398692810458 0.0222953216374269 0.0137649881234262 0.172420394600464 0.0777957679477422 0.0593231750833688 0.0678188710375053 0.488467006595422
8 197.818181818182 149.090909090909 18.0909090909091 25.0909090909091 1.45454545454545 3.72727272727273 0.363636363636364 0.490673065782899 0.0734158828025577 0.0357085284971601 0.00774695401840559 0.0244965343945158 0.18156303089139 0.0336573417176597 0.152738661895412 0 0 0.00068870523415978 0.000730994152046784 0.00166666666666667 0.00252525252525253 0.00252525252525253 0 0 0 0 0.00401493930905696 0 0 0 0 0 0 0 0.00040453074433657 0 0.00252525252525253 0.00671717171717172 0 0 0 0 0 0 0.00040453074433657 0 0.00247572815533981 0 0.00068870523415978 0.00204900355886165 0.00445214979195562 0 0.00068870523415978 0.00513847808967514 0.00166666666666667 0.0104093317685551 0.00481058340797043 0.00040453074433657 0.0282629482882999 0.0831335116152896 0.0253686353221966 0.100361965624336 0.0800987104770954 0.544453716544236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0.00520833333333333 0 0 0 0 0.00104166666666667 0.00104166666666667 0 0 0 0 0.00104166666666667 0.00208333333333333 0.00451388888888889 0.00208333333333333 0 0.00326114488348531 0 0 0 0.00347222222222222 0.0242925972424122 0.188126850328635 0.0622715317240063 0.107457592442381 0.0784189718717136 0.420199089285145
9 192.818181818182 144.909090909091 18.7272727272727 24.6363636363636 1.90909090909091 2.09090909090909 0.545454545454545 0.566915474018471 0.0587742433959657 0.0150003171609758 0.00264752885335668 0.0170059657321265 0.190283969597211 0.0278777833842774 0.121494717857616 0 0.000425170068027211 0.000425170068027211 0 0 0 0 0 0 0.000427350427350427 0 0 0 0.000425170068027211 0 0 0 0 0 0.000427350427350427 0 0 0 0 0 0 0 0 0 0 0 0.000427350427350427 0 0.00163289953662624 0.00273594026651757 0.000427350427350427 0.000645994832041344 0.00563350340136054 0.00357088403275028 0.00179347064592966 0.0108772664623558 0.00384179312750741 0.00214232980013711 0.013289166570057 0.0477903341493984 0.00915716074458822 0.0674121870740115 0.119339970681083 0.457152186762152 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0.00130208333333333 0.00130208333333333 0 0.00245098039215686 0.00214957819597664 0.00260416666666667 0.000905797101449275 0.00220788043478261 0 0.00393195313753812 0.0265192716579385 0.100401084111189 0.0170453959784426 0.0877759391472986 0.117474417473303 0.37717923225248
10 191.909090909091 147.818181818182 15.7272727272727 22.2727272727273 2.72727272727273 3.18181818181818 0.0909090909090909 0.471268936459444 0.0627230903357492 0.0255863030553892 0.00204565836943679 0.0116360063675647 0.182903474814935 0.0279790106212481 0.124948429067142 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0.000603864734299517 0 0 0.000825082508250825 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0.00405099296699946 0.00105485232067511 0.000825082508250825 0.00295187129086481 0.0118514859890648 0.000301932367149758 0.00325624222999574 0.00426799973915267 0.00135678468782486 0.0111476940868546 0.0508764709994328 0.00710605924426562 0.0707694431916826 0.101883271701009 0.55726941561796 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00551209103840683 0.0272699169757993 0 0 0 0.000603864734299517 0.0208406317810981 0.0897496755703488 0.011575873446022 0.0669339642297049 0.0958570910251417 0.506129594934457
