"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eg_Proportion" "Transition_ce_Proportion" "Transition_ch_Proportion" "Transition_ee_Proportion" "Transition_oc_Proportion" "Transition_ei_Proportion" "Transition_jj_Proportion" "Transition_ic_Proportion" "Transition_jo_Proportion" "Transition_go_Proportion" "Transition_jc_Proportion" "Transition_co_Proportion" "Transition_ho_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_gc_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_gg_Proportion" "Transition_sj_Proportion" "Transition_cc_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_oi_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gos_Proportion" "Transition_ssj_Proportion" "Transition_igs_Proportion" "Transition_chs_Proportion" "Transition_gis_Proportion" "Transition_jsc_Proportion" "Transition_ees_Proportion" "Transition_esi_Proportion" "Transition_ses_Proportion" "Transition_gse_Proportion" "Transition_gcs_Proportion" "Transition_shs_Proportion" "Transition_jcs_Proportion" "Transition_jos_Proportion" "Transition_gsi_Proportion" "Transition_cis_Proportion" "Transition_sic_Proportion" "Transition_ccs_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_csi_Proportion" "Transition_ggs_Proportion" "Transition_csc_Proportion" "Transition_scs_Proportion" "Transition_isi_Proportion" "Transition_cos_Proportion" "Transition_sse_Proportion" "Transition_sos_Proportion" "Transition_cgs_Proportion" "Transition_iis_Proportion" "Transition_isg_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 451.583333333333 381.166666666667 39.0833333333333 27.1666666666667 2.41666666666667 1.33333333333333 0.416666666666667 0.39092311411829 0.04097220170714 0.0465297754981274 0.0128840375765068 0.00241336239051142 0.316808372937632 0.0293441073657836 0.160125028406008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000502008032128514 0.000534188034188034 0.000548245614035088 0.000608272506082725 0.000608272506082725 0.000694444444444444 0.000694444444444444 0.000718390804597701 0.00103619606631655 0.00119645247657296 0.00122039883672622 0.00136438563663904 0.00158444168035164 0.00169070615430585 0.00558140156193104 0.00721126166978648 0.0171572157976705 0.0198616320575515 0.0281773539057804 0.0322259881007086 0.120629926720988 0.207467080789633 0.548687292159034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.0016025641025641 0.00163398692810458 0.00231481481481481 0.00299145299145299 0.00308641975308642 0.00320512820512821 0.0114163820553273 0.0167269599656347 0.0630784207778799 0.0659580277734436 0.151883298756186 0.188236835160432 0.486476819827057
2 363.916666666667 302.25 29.75 28.5833333333333 1.5 1.41666666666667 0.416666666666667 0.435318724271614 0.0452553385158536 0.0388471246776802 0.00879693511210068 0.00499133598708985 0.276412880938021 0.0285491115393347 0.161828548958306 0 0 0 0 0 0 0 0 0 0 0.000582750582750583 0.000612745098039216 0.000859106529209622 0.000859106529209622 0.000859106529209622 0.00148809523809524 0 0 0.0014418571119602 0 0.000541125541125541 0.000868055555555556 0.00177536923860453 0.000541125541125541 0 0 0.00223214285714286 0.00128517316017316 0 0.00184698879551821 0.00370399448439169 0.0121286932361696 0.0126374965440177 0.0148500500207582 0.027789793250084 0.0301337509701774 0.0846369163217083 0.153144985061729 0.645181571803244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0.00408496732026144 0.00595238095238095 0.0183241613683127 0.00700095585006071 0.0665998678786403 0.0562836409787547 0.0780417780720648 0.134482441848844 0.622971571211577
3 254 209.75 18.4166666666667 23.4166666666667 0.916666666666667 1.33333333333333 0.166666666666667 0.471113667533129 0.0353934480592749 0.0436171296197892 0.00855882842997905 0.00303942548679391 0.309042359053165 0.0153498878718644 0.113885253946004 0 0 0 0 0 0 0 0 0.000496031746031746 0.00179811507936508 0 0 0 0 0.00238095238095238 0 0 0 0.000496031746031746 0 0 0 0.00072463768115942 0 0 0 0 0 0 0.00245290423861852 0.00376328241720322 0.00314154821627648 0.00588254625521706 0.00930016074620112 0.0549982644023793 0.0260135313415593 0.0725868892939933 0.162933927054657 0.569697844067021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00193798449612403 0 0 0 0 0 0 0.00193798449612403 0 0.00572586328400282 0 0.0188674835684802 0.00189393939393939 0.159443890425296 0.0444171223696462 0.0381359486439328 0.138863510520487 0.49841703526531
4 191.583333333333 152.5 17.1666666666667 18.5 1.41666666666667 1.83333333333333 0.166666666666667 0.509580798941518 0.036795275149212 0.0360279737935566 0.0116810928766591 0.00922296290992855 0.244559245506425 0.0190878001890828 0.133044850633618 0 0 0 0 0 0 0.000412541254125413 0.000412541254125413 0 0.00595238095238095 0 0 0 0.000412541254125413 0 0.000481695568400771 0 0 0.00378787878787879 0.000586854460093897 0 0.0115921115921116 0 0 0.000481695568400771 0 0 0 0 0.000586854460093897 0.00420504579970331 0.00322778424277881 0.0095919124250965 0.00659791341513553 0.0354572640602895 0.0148031814594834 0.068661029460888 0.162745502963667 0.670003271021221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0.000886524822695035 0.0014367816091954 0.00166666666666667 0.00166666666666667 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0.0014367816091954 0.00706074163585708 0.0109259259259259 0.0700944399636731 0.0318020014278268 0.091247994888537 0.147057143836955 0.631508499692221
5 151.916666666667 122.416666666667 12.75 15 0.833333333333333 0.833333333333333 0.0833333333333333 0.524680801084856 0.0531283488073048 0.0278161082142205 0.00821202785455765 0.00941761001738304 0.224057498435483 0.0136334380183875 0.139054167567807 0 0 0 0 0.00268817204301075 0.0036231884057971 0 0 0.00462962962962963 0 0.000730994152046784 0 0 0 0 0 0.00268817204301075 0 0.000470809792843691 0 0 0 0 0 0 0 0.00435418255784388 0.000750750750750751 0.00148174490279753 0 0.000750750750750751 0.00211988304093567 0.00771088885495665 0.00345405619714273 0.0509244980533342 0.0261827374440336 0.088750597387712 0.143954840726579 0.571400769933491 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0 0 0 0.00333333333333333 0.00219298245614035 0.00320512820512821 0.00659469185784975 0.115622469635628 0.0583845029239766 0.0660661268556005 0.1540440845704 0.490129329734593
6 125.666666666667 96 12.0833333333333 15.6666666666667 0.583333333333333 0.916666666666667 0.416666666666667 0.497811169199222 0.0279699310396684 0.0222527543942985 0.00366533861019155 0.0120315505547193 0.253868767181429 0.0202668863845334 0.162133602635938 0 0 0 0 0 0 0 0 0 0 0.000520833333333333 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.00185185185185185 0 0 0 0 0.00328341013824885 0 0.00198412698412698 0 0.00240683229813665 0.00578042328042328 0.00648313492063492 0.0223918864140638 0.029902654252964 0.0254377284977156 0.0948429936230895 0.141393962755442 0.660633741896883 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00967741935483871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.0132360152641809 0.00828853046594982 0.0711868119487282 0.0407342766454466 0.100172362365429 0.13043615361261 0.613768430342816
7 122.083333333333 95.5833333333333 12.0833333333333 12.25 0.833333333333333 1.16666666666667 0.166666666666667 0.518663445055268 0.0198123673264079 0.0286935065975758 0.00668748650007045 0.00955995273916645 0.270787966763308 0.0191071127996825 0.126688162218522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0.00252525252525253 0.000868055555555556 0 0 0 0 0 0 0 0 0.000868055555555556 0 0.0115510564341303 0 0.00339330808080808 0.00324900793650794 0.00564213564213564 0.028871583129657 0.0370014312734977 0.0139190239836792 0.0692983753608432 0.174880955976563 0.562073172687229 0 0 0 0 0 0 0 0.00185185185185185 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0.00694444444444444 0.00185185185185185 0 0.0957085236497001 0.00198412698412698 0.0760454473689768 0.0207605957605958 0.0600591784415314 0.0743678552502082 0.561352050322639
8 122.166666666667 94.5 12.75 12.5 1.08333333333333 1.25 0.0833333333333333 0.521535871085091 0.0281682548373581 0.0471144214108395 0.00491817447226804 0.0101251228736609 0.235094990055699 0.0203729737949402 0.132670191470143 0 0 0 0.00238095238095238 0 0 0 0.00238095238095238 0 0 0 0.000672043010752688 0 0 0 0 0 0 0.000672043010752688 0 0 0.0040650406504065 0 0 0 0 0.000672043010752688 0 0.00238095238095238 0.00134408602150538 0.000672043010752688 0.00532797735418703 0.0167730734767025 0.0090965821812596 0.0155126676074748 0.0449061582046514 0.0936664762042495 0.164950440159559 0.634526468954137 0 0 0 0 0 0.00189393939393939 0.00757575757575758 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.00757575757575758 0 0.00189393939393939 0.0123514557338087 0.0359105763517528 0.0304644808743169 0.0923177857001386 0.0998673653929199 0.122523369341113 0.583837693878677
9 98.75 78.0833333333333 8.66666666666667 10.5 0.5 0.833333333333333 0.166666666666667 0.520615726902471 0.0479356345741532 0.029320811529958 0.0118469498256293 0.0104977623989299 0.253980793547596 0.0177247473769352 0.108077573844328 0 0 0.00170068027210884 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.00170068027210884 0 0 0 0.00297619047619048 0.00297619047619048 0 0.00268107242897159 0.00297619047619048 0 0.00699168556311413 0.00770030234315949 0.0321097028555012 0.0358347185027857 0.0178460272998088 0.065287350371384 0.158604550017365 0.655937787896821 0 0 0 0.00320512820512821 0.00833333333333333 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0.0341970121381886 0.0189102564102564 0.0612607980255039 0.0266294979530274 0.0874560080442433 0.158587735793618 0.589881768558239
10 84.9166666666667 66.6666666666667 6.25 9.66666666666667 1.33333333333333 1 0 0.535842911574777 0.0178247595191329 0.0357078223941255 0.00757472067955939 0.00763350566739313 0.244999461027069 0.0225034220494063 0.127913397088536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0.00185185185185185 0.00166666666666667 0.00185185185185185 0.00579835154303239 0.00806968951345851 0.0108471237194641 0.0412168633010264 0.0314889308050402 0.0662549799014465 0.13153328658579 0.696491111331078 0 0.0028735632183908 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0.00347222222222222 0.00694444444444444 0.0139372278146641 0.0854581637752552 0.0603657992432355 0.0569509144237405 0.104283051926418 0.658274136741153
