"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_jo_Proportion" "Transition_eg_Proportion" "Transition_jh_Proportion" "Transition_gc_Proportion" "Transition_ie_Proportion" "Transition_hi_Proportion" "Transition_ee_Proportion" "Transition_hh_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_ih_Proportion" "Transition_oe_Proportion" "Transition_ce_Proportion" "Transition_ge_Proportion" "Transition_je_Proportion" "Transition_gj_Proportion" "Transition_oi_Proportion" "Transition_ch_Proportion" "Transition_cj_Proportion" "Transition_gh_Proportion" "Transition_jj_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_ij_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_hs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_esj_Proportion" "Transition_soo_Proportion" "Transition_ooo_Proportion" "Transition_sso_Proportion" "Transition_shs_Proportion" "Transition_gsj_Proportion" "Transition_igc_Proportion" "Transition_jgs_Proportion" "Transition_ghi_Proportion" "Transition_gee_Proportion" "Transition_igs_Proportion" "Transition_hig_Proportion" "Transition_gge_Proportion" "Transition_ggi_Proportion" "Transition_igg_Proportion" "Transition_sgi_Proportion" "Transition_iig_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_hhh_Proportion" "Transition_iii_Proportion" "Transition_gii_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_sjs_Proportion" "Transition_gig_Proportion" "Transition_sig_Proportion" "Transition_scg_Proportion" "Transition_cgg_Proportion" "Transition_igi_Proportion" "Transition_oes_Proportion" "Transition_sce_Proportion" "Transition_isg_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_ccc_Proportion" "Transition_csg_Proportion" "Transition_osi_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ggg_Proportion" "Transition_hsi_Proportion" "Transition_isi_Proportion" "Transition_gsg_Proportion" "Transition_sos_Proportion" "Transition_csi_Proportion" "Transition_ssi_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_sii_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 590.5 514.833333333333 32.5 36.1666666666667 3.58333333333333 2.83333333333333 0.583333333333333 0.553621354789046 0.0769878695104344 0.0356958483453912 0.0050134039277995 0.00980840864945711 0.195864554296003 0.0221226301199298 0.10088593036194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000457875457875458 0.000457875457875458 0.000574712643678161 0.000645994832041344 0.000905797101449275 0.00128205128205128 0.00209334244660332 0.00301287326261681 0.00391782130912566 0.00499494155235899 0.00580059719712277 0.00582933303168389 0.00620881197220934 0.0164688287961317 0.0188850984070438 0.0228115152328918 0.0254220678378875 0.0791090226215132 0.152819908698141 0.646037038106076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00114155251141553 0.00126262626262626 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00146198830409357 0.00146198830409357 0.00376768981497218 0.00376768981497218 0.00446072567783094 0.00493421052631579 0.00607817143649329 0.00650085202832374 0.00747334489049027 0.00825153215469778 0.0271582073871716 0.0328021781510643 0.043690803351751 0.0877968812604445 0.171430534943949 0.579007214257622
2 572 466.916666666667 42 53.5833333333333 4.33333333333333 3.5 1.66666666666667 0.511975467570748 0.0575739566014763 0.0345168836192849 0.00651898975018768 0.00996008210857624 0.238267710469548 0.0235583149788507 0.117628594901328 0 0 0 0 0 0 0 0 0 0 0 0 0.000285388127853881 0.000285388127853881 0.000285388127853881 0.000336021505376344 0.000336021505376344 0.000448028673835126 0.000468164794007491 0.000468164794007491 0.000468164794007491 0.00115084720347878 0 0.000906761285235561 0.00116027938608584 0.00155204954724708 0.00156325026409296 0 0.00087719298245614 0 0 0.00078405017921147 0 0.00189599791199903 0.00087719298245614 0.00114850427350427 0.00579486865064303 0.00573437413734891 0.00890551929287598 0.0059358641046783 0.0146347355871066 0.0147696257569794 0.0342905428809797 0.00907891354248164 0.0904729946391091 0.176383598249159 0.618702106692699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000700280112044818 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.00087719298245614 0.00087719298245614 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.0027601130542307 0 0.00187184578472739 0.00294061302681992 0 0 0 0.000700280112044818 0.00105485232067511 0 0.00503220697561725 0.000816993464052288 0.00459232791697423 0.00716015480721363 0.00556693889158521 0.00641283524904215 0.00898592223530432 0.00233426704014939 0.0052168478347003 0.0220082518333971 0.00757512157735538 0.0635101210196515 0.110947607153757 0.208691681645145 0.521580548936176
3 597.666666666667 520.833333333333 33.75 35.75 2.91666666666667 3.75 0.666666666666667 0.62080635782037 0.0687439454992056 0.0266121033725637 0.00498628937911212 0.00851910236964068 0.185139687837333 0.0127652491344639 0.0724272645873108 0 0 0 0 0 0 0 0 0 0.000448028673835126 0.000617283950617284 0.000809061488673139 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.000641025641025641 0.00140451266828112 0.00246908804909811 0.000617283950617284 0 0 0 0 0 0.00201460188715469 0.00739003575039635 0.000740502044111137 0.00820911078316798 0.00471841937591841 0.0118129889818131 0.00560890190000632 0.0219290166036832 0.0170461134234583 0.017812611930026 0.00790447213970002 0.0544770737656902 0.137125672732312 0.695308136912744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0.00072463768115942 0.00173611111111111 0.00173611111111111 0 0 0 0.00072463768115942 0 0 0 0 0 0 0.00173611111111111 0.00266287975098044 0 0 0.00688405797101449 0 0 0.002414077885776 0 0.00072463768115942 0 0.00072463768115942 0 0 0.0109962130843138 0.00685973965436208 0.0115400326797386 0.00419685990338164 0.000841750841750842 0.00339345595325475 0.0417863399461283 0.0110762177082997 0.0332740139298851 0.0480848609959499 0.133642730634855 0.673515247321179
4 496 421.25 31.5 35.25 3.83333333333333 2.33333333333333 1.83333333333333 0.60947058389967 0.0629302688809 0.0268571059513122 0.00671986451511152 0.0116642929294278 0.189300761287073 0.0189154397183281 0.0741416828181778 0 0 0 0 0 0 0.000223413762287757 0.00097761308720821 0.00105485232067511 0 0 0 0 0 0.000223413762287757 0 0 0.000706214689265537 0 0 0 0 0.00225225225225225 0.00182981666124185 0.00128498488755315 0.00254150942322251 0.00201072386058981 0 0 0.00295846694151779 0 0 0 0.00142777291727423 0.00433782582732714 0.00357462019660411 0.00236302390976902 0.0018397621183428 0.0127249770920296 0.00747384735691483 0.0242340278291193 0.0128362786353583 0.0194938575309357 0.0131397843738952 0.0537863236930377 0.169098950833829 0.657605686037461 0 0 0 0 0 0 0 0 0 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000793650793650794 0.000793650793650794 0.00119047619047619 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00158730158730159 0.00158730158730159 0.00178571428571429 0.00178571428571429 0.00595238095238095 0 0.00119047619047619 0 0 0.000396825396825397 0 0 0.00178571428571429 0 0 0 0 0 0 0 0.00158730158730159 0 0.000793650793650794 0.00238095238095238 0 0 0.00415169212339024 0.000793650793650794 0.00119047619047619 0 0.00238095238095238 0.00158730158730159 0.00454851752021563 0.00531233998975934 0.00332821300563236 0.00138888888888889 0.00545634920634921 0.00158730158730159 0.00134408602150538 0.0541354764694922 0.0152209602561753 0.0379222914449674 0.0551239744603776 0.17128290026208 0.603617131651729
5 368.083333333333 317.166666666667 17.75 27.5 2.25 2.33333333333333 1.08333333333333 0.650232405275684 0.0645705078706879 0.0243240716825553 0.00444737359736313 0.01137774495257 0.154731601586687 0.0163921582515287 0.073924136782924 0 0 0 0 0 0.000617283950617284 0.000445632798573975 0 0 0 0 0.000617283950617284 0 0 0 0 0.000617283950617284 0 0 0 0.000445632798573975 0 0 0.000841750841750842 0 0.00364077669902913 0.00242718446601942 0 0 0.00347222222222222 0 0 0 0.000718390804597701 0.00594795037756203 0.00202265372168285 0.0181788061810688 0.00364997001983303 0.0136444718778623 0.00293489498705566 0.0325339418979722 0.0117185119474944 0.00888102926383726 0.0102540870996279 0.0632691420873279 0.123492210156515 0.689628887899542 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0.00146198830409357 0.000730994152046784 0.00146198830409357 0.000730994152046784 0 0 0 0.000730994152046784 0.00146198830409357 0 0 0 0.00219298245614035 0 0 0 0.000730994152046784 0 0 0.00219298245614035 0 0 0 0 0 0 0 0.00657894736842105 0 0 0.00311890838206628 0 0 0 0 0 0 0.00458089668615984 0.00165692007797271 0.00238791423001949 0.0067738791423002 0.0033999728002176 0.0293007894451018 0.00425279931093885 0 0.00863876422321955 0.0691094008882338 0.00808276564090518 0.0148863986996217 0.074846339841207 0.115843765234238 0.633919705670703
6 335.083333333333 294.333333333333 16 20.6666666666667 1.91666666666667 1.75 0.416666666666667 0.722408064901041 0.0577691960041701 0.0182844673189944 0.00440328807269634 0.00695245278162304 0.123008139066728 0.011801757914734 0.0553726339400128 0 0 0 0 0.000574712643678161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043859649122807 0 0.000574712643678161 0.00122549019607843 0.00175438596491228 0.00189050211736237 0 0 0.00478778467908903 0 0 0 0.00101330913490623 0.00223879933098466 0.00087719298245614 0.0110290093048714 0.00219448244414045 0.00447776417788658 0.0038284866134864 0.0232260504234807 0.00753512362705696 0.0166279370914458 0.00766986457811486 0.0450456811566468 0.114704890842347 0.664951890222816 0 0 0 0 0 0.000859106529209622 0.00138888888888889 0.00347222222222222 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0 0 0 0 0 0.000859106529209622 0 0 0 0 0 0 0 0 0.00171821305841924 0 0 0 0 0.000859106529209622 0 0.00171821305841924 0.00171821305841924 0.00138888888888889 0.00171821305841924 0.00257731958762887 0.0103535353535354 0.00654737403408985 0.000859106529209622 0.0036231884057971 0.0433711838238956 0 0.0392064476165162 0.0492833008863111 0.116106207835225 0.625602404656314
7 354.75 310.166666666667 16.3333333333333 24.5833333333333 1.25 1.83333333333333 0.583333333333333 0.702441778918693 0.0719797884472733 0.0214183871656682 0.00540734542302861 0.00623497848279945 0.127904918571304 0.00975673998174248 0.0548560630094913 0 0 0.000502008032128514 0.000527426160337553 0 0 0.000502008032128514 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0.000677506775067751 0 0 0.00278823681192233 0 0.00150602409638554 0.00205886838493213 0 0 0 0 0 0 0.00105485232067511 0.00614118800392633 0.000502008032128514 0.00581085524953897 0.00592589615969585 0.00200803212851406 0.00529085779190805 0.0195220004117946 0.00474292780247119 0.0147901996860756 0.00684919763075443 0.0455939729376555 0.111158060320152 0.760015352906604 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00308641975308642 0 0 0 0 0.00595238095238095 0 0.00102880658436214 0 0 0 0 0 0.00102880658436214 0.00117370892018779 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0 0 0 0 0.00205761316872428 0.00277777777777778 0.00102880658436214 0 0 0.00205761316872428 0.00102880658436214 0 0.00419436530547642 0.00102880658436214 0.014232578121467 0.0389886605164383 0.00483539094650206 0.029212362653286 0.0489800547507903 0.138225025206637 0.691953855930773
8 287.833333333333 250.166666666667 15.4166666666667 19.75 0.916666666666667 1.33333333333333 0.25 0.686405316072609 0.0676934704831983 0.0214516111642877 0.003446000116432 0.0145467167946284 0.13094827604282 0.0124741341954919 0.0630344751305329 0 0.00268010291595197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00400822447992259 0 0 0.0043859649122807 0 0.00189393939393939 0.00138888888888889 0 0 0 0.00268010291595197 0.00565960204929726 0 0.00716374269005848 0.00351343624928531 0.00100401606425703 0.00676826230020138 0.0238425462940916 0.00890341722582304 0.0150697134356606 0.0142535825701083 0.0621098711727735 0.105540757682979 0.729133828758529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0.00463668699186992 0 0 0 0 0 0.00485641891891892 0 0 0.00925925925925926 0.0042847725774555 0 0.00666214995483288 0.0527625496557761 0.0199238873019361 0.0246231368563686 0.0609514130855594 0.0992495380833796 0.703530928055385
9 167 140.916666666667 8.25 15.5 0.833333333333333 1.08333333333333 0.333333333333333 0.675643149573774 0.0485801616087548 0.0262436021515058 0.00350734334180034 0.013025517835825 0.0883053785036367 0.0116954849074992 0.0496660287438708 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0.00198412698412698 0 0 0 0 0 0.00423204912532289 0 0 0 0 0.00303897930480209 0 0.0107722474965615 0.00163398692810458 0.00154320987654321 0.00154320987654321 0.0266224977635846 0.000599520383693046 0.0264078158220625 0.0132672013649585 0.0357102716109138 0.0756891085227679 0.711512736965332 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0.00423637923637924 0 0 0.00396825396825397 0.0586491603648466 0.022898086756186 0.0605384278791142 0.0375103652466837 0.0631490365632157 0.657291864893562
10 138 119.75 6.08333333333333 10.1666666666667 0.666666666666667 1.08333333333333 0.0833333333333333 0.64248421945226 0.0472701285266754 0.00820985871719479 0 0.00637985758322336 0.0900557970408864 0.00878258709524186 0.0301508849178513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00820707070707071 0 0 0 0 0.00166666666666667 0 0.00844988344988345 0 0 0 0.033202796307635 0.00390928515928516 0.00505050505050505 0.00356060606060606 0.0205349086397473 0.167277632761504 0.58147397853043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.009375 0 0 0 0.0734217171717172 0.0043859649122807 0.0116185897435897 0.0258181511470985 0.0976443218934638 0.52773625513185
