"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_eo_Proportion" "Transition_jh_Proportion" "Transition_hc_Proportion" "Transition_co_Proportion" "Transition_ih_Proportion" "Transition_ch_Proportion" "Transition_cc_Proportion" "Transition_cj_Proportion" "Transition_hg_Proportion" "Transition_cg_Proportion" "Transition_jo_Proportion" "Transition_og_Proportion" "Transition_jc_Proportion" "Transition_he_Proportion" "Transition_ho_Proportion" "Transition_ji_Proportion" "Transition_ci_Proportion" "Transition_oh_Proportion" "Transition_oo_Proportion" "Transition_oi_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_oc_Proportion" "Transition_ce_Proportion" "Transition_ei_Proportion" "Transition_hh_Proportion" "Transition_so_Proportion" "Transition_gj_Proportion" "Transition_se_Proportion" "Transition_ic_Proportion" "Transition_ie_Proportion" "Transition_sc_Proportion" "Transition_ge_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_ee_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_os_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_cs_Proportion" "Transition_sg_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hsc_Proportion" "Transition_cse_Proportion" "Transition_ose_Proportion" "Transition_ssj_Proportion" "Transition_jjs_Proportion" "Transition_jjg_Proportion" "Transition_isj_Proportion" "Transition_sjj_Proportion" "Transition_sce_Proportion" "Transition_ccs_Proportion" "Transition_oos_Proportion" "Transition_isc_Proportion" "Transition_hcs_Proportion" "Transition_sos_Proportion" "Transition_jcs_Proportion" "Transition_esg_Proportion" "Transition_gih_Proportion" "Transition_cos_Proportion" "Transition_ihs_Proportion" "Transition_gsj_Proportion" "Transition_sjc_Proportion" "Transition_gsh_Proportion" "Transition_csi_Proportion" "Transition_iig_Proportion" "Transition_gsi_Proportion" "Transition_gee_Proportion" "Transition_jso_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ccc_Proportion" "Transition_cis_Proportion" "Transition_jos_Proportion" "Transition_scs_Proportion" "Transition_osi_Proportion" "Transition_ghi_Proportion" "Transition_hie_Proportion" "Transition_eie_Proportion" "Transition_gge_Proportion" "Transition_shs_Proportion" "Transition_ese_Proportion" "Transition_esh_Proportion" "Transition_hii_Proportion" "Transition_hhe_Proportion" "Transition_shi_Proportion" "Transition_ies_Proportion" "Transition_hhh_Proportion" "Transition_esi_Proportion" "Transition_ees_Proportion" "Transition_hes_Proportion" "Transition_iee_Proportion" "Transition_eii_Proportion" "Transition_jgs_Proportion" "Transition_see_Proportion" "Transition_igi_Proportion" "Transition_csh_Proportion" "Transition_gjs_Proportion" "Transition_sig_Proportion" "Transition_ses_Proportion" "Transition_gse_Proportion" "Transition_sge_Proportion" "Transition_iei_Proportion" "Transition_ish_Proportion" "Transition_shh_Proportion" "Transition_igg_Proportion" "Transition_sii_Proportion" "Transition_gig_Proportion" "Transition_gso_Proportion" "Transition_soo_Proportion" "Transition_cso_Proportion" "Transition_ssi_Proportion" "Transition_ggi_Proportion" "Transition_iie_Proportion" "Transition_iis_Proportion" "Transition_ces_Proportion" "Transition_ics_Proportion" "Transition_eee_Proportion" "Transition_iii_Proportion" "Transition_igs_Proportion" "Transition_ges_Proportion" "Transition_gii_Proportion" "Transition_isi_Proportion" "Transition_csg_Proportion" "Transition_sgi_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_oss_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_ggg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 374.666666666667 288 40.4166666666667 33.25 6.58333333333333 3.83333333333333 2.58333333333333 0.346086198466229 0.0536156182380105 0.0518582913901203 0.00911734144603692 0.0115205599827529 0.278841891964537 0.0406659996553893 0.208294098856925 0 0 0 0 0 0 0 0 0 0.000218150087260035 0.000218150087260035 0.000218150087260035 0.000218150087260035 0.000218150087260035 0.000218150087260035 0.000387596899224806 0.000448028673835126 0.000448028673835126 0.000552822108679044 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000674953221063887 0.000674953221063887 0.00081338818249813 0.000833333333333333 0.00106255012028869 0.00116279069767442 0.00119047619047619 0.00121726643849619 0.00122322247228474 0.00129252642754928 0.00173750334135258 0.00191707652440637 0.00198059572364355 0.00229032545003162 0.00230330571148534 0.00232558139534884 0.00252404311895952 0.00398088243964311 0.00503588459969252 0.00603222358818326 0.0062015503875969 0.00738532122859901 0.0115533991548418 0.0222425361440094 0.0226869327088447 0.0228577389364319 0.0231848830573364 0.0238340169280918 0.137027408160762 0.186557462462401 0.491264777468762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000478927203065134 0.000478927203065134 0.000478927203065134 0.000478927203065134 0.000591016548463357 0.000591016548463357 0.000591016548463357 0.000591016548463357 0.000591016548463357 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000718390804597701 0.000718390804597701 0.000957854406130268 0.00109649122807018 0.00109649122807018 0.00109649122807018 0.00120830049908064 0.00123456790123457 0.00123456790123457 0.00123456790123457 0.00123456790123457 0.00157513835674755 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00168722770214578 0.0017134951042997 0.00185185185185185 0.00185185185185185 0.00203252032520325 0.00219298245614035 0.00246913580246914 0.00246913580246914 0.00267162958481773 0.00278399900460371 0.00308641975308642 0.00312873147888567 0.0036231884057971 0.00466211825860949 0.00466211825860949 0.00569453204217849 0.00584350497609812 0.00615845440889526 0.00884587952787557 0.00911053975936009 0.00934533463652402 0.0120060679605865 0.0129225123438244 0.0129749048581346 0.0131667144053514 0.0271548383319598 0.0377192172344458 0.0497781015355532 0.160280555993582 0.188367435131931 0.367307169454406
2 394.5 299.5 40.3333333333333 41.4166666666667 6.41666666666667 3.58333333333333 3.25 0.373258993194446 0.0458319647021035 0.0408692819956703 0.0098611071471467 0.00909388538919756 0.308441073018555 0.0304890772892897 0.182154617263591 0 0 0 0 0 0.000171467764060357 0.000171467764060357 0.000368731563421829 0.00304878048780488 0 0 0 0 0 0.000208855472013367 0 0 0 0.000704887218045113 0 0 0.000718390804597701 0 0 0 0 0 0.000208855472013367 0.00182475935487984 0.000864763309453575 0.000171467764060357 0 0 0.00255449926824407 0.000711667091542542 0.00310002900455998 0.000718390804597701 0.00105460261966326 0.0027327594492283 0.003663052039413 0.00562699315151184 0.00455792972937575 0.00582572183746529 0.00410814342641709 0.000749054799495552 0.0240810406617033 0.0250786793847385 0.0160979559536488 0.018259143487229 0.0121857283014028 0.127299165299994 0.212970824784627 0.520162191930731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000275027502750275 0.000275027502750275 0.000275027502750275 0.000275027502750275 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.00055005500550055 0.000825082508250825 0.00117108485042053 0.00126262626262626 0.00203252032520325 0.00203252032520325 0.0040650406504065 0 0 0 0 0 0 0 0.000275027502750275 0.000275027502750275 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000275027502750275 0.0011001100110011 0 0 0.00055005500550055 0 0.000275027502750275 0.00117108485042053 0 0 0.000481695568400771 0.00125626969476609 0.00192519251925193 0.0013067780766516 0 0 0 0.000825082508250825 0.00185683308215215 0 0.00263140720851746 0 0 0.000275027502750275 0.0033003300330033 0.0013067780766516 0.000275027502750275 0.00247524752475248 0.00192519251925193 0 0.000756723071151046 0.00158180557940187 0.00612475940862779 0.0022375118867819 0.00297638390271867 0.00443932166313526 0.00643446337383812 0.00765807574193297 0.0161429342209228 0.000896057347670251 0.00725954588208894 0.0228155553840622 0.0200264576603619 0.0507277240000026 0.0224284087074329 0.135435017493264 0.218087581147025 0.435243629622293
3 350.916666666667 272 34.9166666666667 34.75 5.08333333333333 3.33333333333333 0.833333333333333 0.400691430721506 0.0296925012063324 0.0515747979611634 0.0125913507625894 0.0128977543511663 0.259622231409988 0.0320125708478868 0.200917362739367 0 0 0 0.000243664717348928 0.000243664717348928 0 0.000345781466113416 0 0 0 0 0 0 0.000243664717348928 0.000641025641025641 0 0 0 0.000884690358374569 0 0.000641025641025641 0.000243664717348928 0 0 0 0.000243664717348928 0 0.000986807107139057 0.00123270779461583 0 0 0 0 0.00112363421765038 0 0.000345781466113416 0.00146198830409357 0 0.000777852751536962 0.00254814779427823 0.0101237943839447 0.00187045529915152 0.00375305883604639 0.0104560050442407 0.00638866645636683 0.0248906923357766 0.0152609660855765 0.0140944489125383 0.017894179187504 0.0125637048399387 0.143776002476829 0.19337521612077 0.533345043892605 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0.000980392156862745 0.00225225225225225 0 0 0 0.000641025641025641 0 0 0 0.00225225225225225 0 0.00189032378813401 0 0 0 0 0 0 0 0.00148809523809524 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0 0 0 0 0.000641025641025641 0.000641025641025641 0 0.00417532917532918 0.00128205128205128 0 0 0 0.000608272506082725 0.00128205128205128 0 0 0 0 0 0.00128205128205128 0.00189032378813401 0 0 0.000641025641025641 0.000608272506082725 0 0.000641025641025641 0.00720220208510963 0.0154874456801249 0.000641025641025641 0.00513773027459159 0.0037478944413251 0.00685476324162456 0.00792918304323414 0.00372744539411206 0.0106149617706795 0.00746144822330954 0.0264770036650458 0.043620786954777 0.0254946563101495 0.181842431713553 0.197889162946635 0.429206265635778
4 295.666666666667 230.75 27.5833333333333 32.0833333333333 2.5 2.41666666666667 0.333333333333333 0.46395257968263 0.0436265635202911 0.0509876259989353 0.0230465401919057 0.0235053904812038 0.196072207406805 0.0376374064971164 0.161171686221112 0 0 0.000645994832041344 0 0 0.000329380764163373 0 0 0.000329380764163373 0 0 0.000329380764163373 0.000968992248062015 0.000329380764163373 0 0 0 0 0 0 0.000493096646942801 0 0 0 0 0.000329380764163373 0 0 0.00119743631971893 0 0.000868055555555556 0 0 0.00221910488205114 0 0 0.00314465408805031 0 0.000484496124031008 0.000658761528326746 0.016460529280637 0.00158323878885473 0.00173611111111111 0.00526814322800945 0.00493288582056698 0.0247749664446805 0.00562482838614032 0.0015268170838823 0.0177027806414289 0.0244989399953958 0.0977245731947098 0.176489528262881 0.609349161716105 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.00170068027210884 0.00253401360544218 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0.000833333333333333 0.000833333333333333 0.0335633601964786 0 0 0 0 0.0036046511627907 0.00770897043832824 0.000833333333333333 0.00545879632962936 0.0261138296685205 0.0508323707096567 0.0491276737143123 0.124547928115466 0.217915268204731 0.382387833619527
5 253.833333333333 192.333333333333 27.75 28.4166666666667 2.33333333333333 2.16666666666667 0.833333333333333 0.489837615140939 0.0465822036193584 0.0362453468850783 0.0274157962245771 0.0237827841559199 0.18829791886556 0.0331996000405593 0.154638735068008 0.000286368843069874 0.000286368843069874 0 0 0.000537634408602151 0 0 0 0 0 0 0 0 0 0.000286368843069874 0 0 0 0.000286368843069874 0 0 0 0 0 0 0 0 0 0.000834614457104962 0 0 0.000786163522012579 0 0.00245812888834435 0 0.000736819293520324 0.0178801806160297 0 0.000286368843069874 0.000286368843069874 0.0170509011502984 0 0 0.00439121527240107 0.00936711247261648 0.0252591043480518 0.00921179042273681 0.00225584746702139 0.0201923679906876 0.0200039564215932 0.105668827341141 0.134734969496174 0.626912153373245 0 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0 0 0 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0.000816993464052288 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0.0210543658872171 0 0 0.000816993464052288 0.00163398692810458 0.00571895424836601 0.0187990498298177 0.00163398692810458 0.00686274509803922 0.0199975426949772 0.0548286010694698 0.0405684570477034 0.103359760040861 0.159910482114772 0.549351771271609
6 192.333333333333 148.5 19.75 19.9166666666667 2 1.91666666666667 0.25 0.445917230719116 0.0293165636756034 0.0954529991769747 0.0271192417343581 0.0301559508093858 0.146482303082838 0.0653076154910486 0.160248095310676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000377073906485671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00222222222222222 0 0.00193713450292398 0.00507936507936508 0 0 0.000377073906485671 0.0210678933729027 0 0 0.00269128231589532 0.0146358165398413 0.0534449354650925 0.00501889456376361 0.000608272506082725 0.027114803100826 0.0160767397377304 0.127715997489921 0.112329748575046 0.525969413382083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0272469913094913 0 0.00117370892018779 0 0 0 0.0189814814814815 0 0.00638204225352113 0.0167724542724543 0.11643378417841 0.0390472358562147 0.142107112493162 0.126595229560968 0.41010739974382
7 115.333333333333 89 10.6666666666667 13.3333333333333 1.25 0.583333333333333 0.5 0.484293562212639 0.0436327678517932 0.0648156354863476 0.0225184826360592 0.036978800412338 0.13269417236426 0.0475573336989802 0.167509245337583 0 0.0101851851851852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0.00166390499861917 0 0 0.00234204793028322 0 0.00198412698412698 0.0105855855855856 0 0.00187908496732026 0 0.0181466065821216 0 0 0.000490196078431373 0.00926444651934848 0.043339649370442 0.00422113289760349 0.000490196078431373 0.0204284116048822 0.0293712830477536 0.0952031394830345 0.0975177328347205 0.642702084666925 0 0 0 0.00378787878787879 0.00396825396825397 0.0166666666666667 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.035195380304076 0 0 0 0 0.00120772946859903 0.011559696342305 0.00120772946859903 0 0.0313722107200368 0.0888624861450948 0.0606834389443085 0.107591442374051 0.124321632473806 0.50497757073844
8 80.25 61.5833333333333 8.25 8.5 0.916666666666667 0.75 0.25 0.457302338921904 0.0580524439380802 0.074690346064224 0.0221172714116293 0.040488813279381 0.145881333501291 0.0604634880216923 0.141003964861798 0 0 0 0 0 0 0 0 0 0 0 0.00974358974358974 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00571428571428571 0 0.00641025641025641 0.000551876379690949 0.0101277584204413 0 0 0.0422185430463576 0.024349593495935 0.0292774191296239 0.00156813654229258 0.0166666666666667 0.0144407652685798 0.0258656575212867 0.0611629785172024 0.156735000359213 0.508500806117912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0132764343290659 0 0.0014367816091954 0 0 0 0.0902777777777778 0 0.00225225225225225 0.0166666666666667 0.0512328117591275 0.0492916918733616 0.0194483276379828 0.164189086999886 0.418317057983573
9 73 54.5 8.5 7.66666666666667 0.916666666666667 1.08333333333333 0.333333333333333 0.5088369511184 0.0252871107207708 0.0886805981161011 0.0614410012961668 0.0347431121159827 0.134618699983002 0.0310393846973697 0.115353141952207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0.0123456790123457 0 0 0.000508130081300813 0.000508130081300813 0 0.00845100556268721 0.00925925925925926 0 0 0.0740143889534133 0 0 0.000508130081300813 0.00511894007828967 0.0439689444931208 0.00599661930962744 0.00203252032520325 0.0130167333419366 0.0249786050492084 0.0367103215252552 0.0709121442433381 0.687284483690132 0 0.00520833333333333 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.0138888888888889 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.138862834696168 0 0 0 0 0 0.00899621212121212 0 0 0.0202616442199776 0.0739558281224948 0.0485409652076319 0.0237268518518518 0.0657617845117845 0.569494047619048
10 67.9166666666667 51.25 6.5 8.41666666666667 1.08333333333333 0.416666666666667 0.166666666666667 0.683629575084512 0.00808865212751767 0.0351611524800446 0.00680441239456409 0.00848915525426075 0.069600184320787 0.022371213442642 0.0825223215623386 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0 0 0 0 0 0.00219298245614035 0.00795650301464255 0 0 0.000694444444444444 0.00682261208576998 0.00632394940840473 0.00804263565891473 0 0.00896464646464647 0.0127314814814815 0.0308604712980478 0.0883699653159185 0.65210343968472 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0146367521367521 0 0.00213675213675214 0 0 0 0.00490196078431373 0 0.00416666666666667 0.014041514041514 0.0139705882352941 0.0242424242424242 0.0396631146631147 0.107231167525285 0.606205640764464
