"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ie_Proportion" "Transition_eh_Proportion" "Transition_gh_Proportion" "Transition_eg_Proportion" "Transition_ge_Proportion" "Transition_jh_Proportion" "Transition_cc_Proportion" "Transition_ei_Proportion" "Transition_hh_Proportion" "Transition_ic_Proportion" "Transition_oc_Proportion" "Transition_ih_Proportion" "Transition_gc_Proportion" "Transition_oh_Proportion" "Transition_oi_Proportion" "Transition_cg_Proportion" "Transition_gi_Proportion" "Transition_eo_Proportion" "Transition_jg_Proportion" "Transition_jj_Proportion" "Transition_jc_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_jo_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_co_Proportion" "Transition_ch_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_oo_Proportion" "Transition_ho_Proportion" "Transition_hi_Proportion" "Transition_es_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ehs_Proportion" "Transition_sgi_Proportion" "Transition_ieh_Proportion" "Transition_jsc_Proportion" "Transition_jhs_Proportion" "Transition_ihs_Proportion" "Transition_ges_Proportion" "Transition_hos_Proportion" "Transition_hsc_Proportion" "Transition_cgc_Proportion" "Transition_ccg_Proportion" "Transition_ggi_Proportion" "Transition_sos_Proportion" "Transition_osc_Proportion" "Transition_osj_Proportion" "Transition_hhs_Proportion" "Transition_jis_Proportion" "Transition_hhh_Proportion" "Transition_ssh_Proportion" "Transition_cso_Proportion" "Transition_soo_Proportion" "Transition_gsc_Proportion" "Transition_scc_Proportion" "Transition_gsh_Proportion" "Transition_ccs_Proportion" "Transition_csi_Proportion" "Transition_ggg_Proportion" "Transition_osh_Proportion" "Transition_shh_Proportion" "Transition_shs_Proportion" "Transition_osg_Proportion" "Transition_gis_Proportion" "Transition_igs_Proportion" "Transition_ics_Proportion" "Transition_chs_Proportion" "Transition_iis_Proportion" "Transition_ssi_Proportion" "Transition_gsg_Proportion" "Transition_isi_Proportion" "Transition_ohs_Proportion" "Transition_ggs_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_jjc_Proportion" "Transition_jcs_Proportion" "Transition_ish_Proportion" "Transition_jgs_Proportion" "Transition_isg_Proportion" "Transition_osi_Proportion" "Transition_sii_Proportion" "Transition_sgg_Proportion" "Transition_his_Proportion" "Transition_oso_Proportion" "Transition_ssg_Proportion" "Transition_cis_Proportion" "Transition_sgs_Proportion" "Transition_hoo_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_scs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 436 377.090909090909 34.7272727272727 20.7272727272727 2.63636363636364 0.818181818181818 0 0.373828177752431 0.0355953415309337 0.0540314510136546 0.0138364754635523 0.00689510976209815 0.311191275828371 0.0355690164373474 0.169053152211613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043917435221783 0.00043917435221783 0.00043917435221783 0.000693962526023595 0.00088261253309797 0.00108225108225108 0.00119617224880383 0.00119617224880383 0.00144300144300144 0.0014903129657228 0.00152142543446891 0.00162337662337662 0.00162337662337662 0.00250172532781228 0.00324675324675325 0.00476804008264766 0.0049958653843187 0.00709379265732157 0.0085476741354838 0.00900724028033011 0.0184840559766935 0.0239284583387241 0.0415388523261108 0.158424604331522 0.215035684980045 0.488357066146657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00133689839572193 0.00202020202020202 0.00202020202020202 0.00313479623824451 0.00505050505050505 0.0101010101010101 0.0101010101010101 0.0162562547255567 0.0190136660724896 0.0198842079329884 0.0243434343434343 0.0637320266435192 0.149910713309925 0.190939379012724 0.482155694032467
2 419.818181818182 356.727272727273 34.8181818181818 25.0909090909091 2.63636363636364 0.545454545454545 0 0.393134677556268 0.0398286871617794 0.0456916674522874 0.0076885792249509 0.00889858027725238 0.308345579514969 0.0320233547864601 0.164388874026033 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000522466039707419 0.000790513833992095 0.000790513833992095 0.000878348704435661 0.000918273645546373 0.000918273645546373 0.00104493207941484 0.00104493207941484 0.00104493207941484 0.00235791195311435 0.0009000900090009 0.00246748812812316 0.00315296897006042 0.000918273645546373 0 0 0 0 0 0 0 0 0 0.00043917435221783 0.00340284403252919 0.00043917435221783 0.00896665431108381 0.00156739811912226 0.0201235991946452 0.00629434418246009 0.00697217331197247 0.0250254857885836 0.0366199377485474 0.117748366487446 0.217329120210598 0.537321809261267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012453300124533 0.00156739811912226 0.00156739811912226 0.00156739811912226 0.0025974025974026 0.0025974025974026 0.0025974025974026 0.00303030303030303 0.00303030303030303 0.00346262491267503 0.00346262491267503 0.00405805814402886 0 0 0.00405805814402886 0 0.0025974025974026 0 0.00346262491267503 0.0509287499862872 0.0038427326098559 0.00748849428906818 0.0187916629461268 0.0747163515047706 0.0802961183103506 0.18091817849608 0.542115980011341
3 342.545454545455 272.363636363636 35.1818181818182 30.5454545454545 2.36363636363636 1.81818181818182 0.181818181818182 0.42081621328525 0.0305427717985121 0.0340081986438094 0.00369666791758572 0.00369880939553746 0.270748776501774 0.0197175427030939 0.125861928845346 0 0 0 0 0 0 0 0 0 0.00045004500450045 0.00045004500450045 0.00045004500450045 0.000502260170768458 0 0 0 0.000378787878787879 0 0.000849617672047578 0 0 0.000378787878787879 0.00140407837776259 0 0 0.0025954595494684 0 0.000757575757575758 0 0 0.00415881187116205 0 0.000828832883288329 0.00045004500450045 0 0.00045004500450045 0 0 0 0.0121381556348908 0 0.0321938224913033 0.00626389419711212 0.00908445512984877 0.0119829256018525 0.0348382744323022 0.100846868724776 0.170370399875443 0.517267675941229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000849617672047578 0.000849617672047578 0.00103305785123967 0.00103305785123967 0.00105708245243129 0.00105708245243129 0.00209014030367096 0.00211416490486258 0.00994052676295667 0 0 0.00105708245243129 0.00317124735729387 0 0 0 0 0.00193423597678917 0 0.000849617672047578 0.00278385364883675 0 0 0 0.000849617672047578 0.00507794748177274 0 0 0.0567879030029128 0 0.012006642465436 0.0126954566762412 0.0742433558175777 0.0651426852893182 0.135294001270418 0.517172914384859
4 333.454545454545 267.545454545455 30.4545454545455 29.9090909090909 3.27272727272727 2.18181818181818 0.0909090909090909 0.486473574214758 0.0311425214632661 0.0391033517349966 0.00334904589610437 0.00335680570816389 0.287533733003208 0.0298582998888634 0.119182668090639 0 0 0 0 0 0 0.000301023479831427 0.000352360817477097 0.000797794468405694 0 0 0.000352360817477097 0 0 0 0.000496770988574267 0 0 0.00239234449760766 0 0 0 0.00187749459272638 0 0.0061453880512934 0.00411345199679673 0 0.000301023479831427 0.000352360817477097 0 0 0 0.000653384297308523 0 0 0 0 0.000537923614846692 0 0.0025270259954076 0.00183248907182665 0.0217211220837808 0.00775819244244548 0.0086101251702483 0.0195735334325925 0.0169453358795609 0.0642782351037167 0.168475372471096 0.578695795520581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000635727908455181 0.000635727908455181 0.000635727908455181 0.000977517106549365 0.00119617224880383 0.00183190015725901 0.0181818181818182 0 0 0 0 0 0 0.000635727908455181 0.00119617224880383 0 0 0.000977517106549365 0 0 0 0 0 0 0.000977517106549365 0 0.00127145581691036 0.00336986160415702 0 0 0.00217368935535319 0 0.00433901386980566 0 0 0.0343169049913918 0 0.00302807240606284 0.00336986160415702 0.027321081449805 0.0677175819327386 0.127216206132706 0.607085654137668
5 321.181818181818 252.181818181818 28.5454545454545 33.8181818181818 3.45454545454545 2.45454545454545 0.727272727272727 0.418202155394047 0.0340683690863942 0.0390408001572173 0.0132918753280279 0.024949342436184 0.279228561819186 0.0331234294589008 0.158095466320042 0 0 0 0 0 0.000390167772142021 0.00067842605156038 0 0 0 0 0 0 0 0 0.000329380764163373 0.000531632110579479 0 0.00206611570247934 0 0.000265816055289739 0 0.000861012874742852 0 0.000329380764163373 0.00347518820082173 0 0.0154173312068049 0 0 0.000265816055289739 0 0.000720361509835194 0.00162337662337662 0.000265816055289739 0 0 0.00266952822295041 0.000531632110579479 0.00237800957691746 0.00139878756139557 0.0268837089918132 0.0150143111118254 0.000655983827431761 0.00645934182251034 0.00772162037987183 0.116272484867617 0.166199621227639 0.62659514855291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000541125541125541 0.000541125541125541 0.00168350168350168 0.00168350168350168 0 0 0.000541125541125541 0.00168350168350168 0 0 0.000783699059561128 0 0.000541125541125541 0 0 0 0 0.00186595014181221 0.000541125541125541 0.000857632933104631 0 0.00168350168350168 0 0 0 0 0 0 0 0 0.00132482460068667 0.00132482460068667 0 0 0.0021824575337913 0 0.00386803249522833 0 0.00489526197073367 0.0703782169299411 0.00198412698412698 0 0.00442089357183697 0.00894822845050561 0.0893118965662882 0.188300163414022 0.51920506539895
6 273.454545454545 213.727272727273 27.4545454545455 27 2.72727272727273 1.81818181818182 0.727272727272727 0.47663888352356 0.0396545027628628 0.0262021182358295 0.00671575889184136 0.0204104799714618 0.270158602647245 0.0305315304772876 0.129688123489912 0 0 0 0 0.0113636363636364 0.000819000819000819 0.00139075610773724 0 0.0018669053123524 0 0.000819000819000819 0 0 0.00028587764436821 0 0.00045004500450045 0.00110487846336903 0 0.00381704837150382 0 0 0 0.00028587764436821 0.00187175658873772 0.00160951465299291 0.0018794332263415 0 0.00274288010137067 0 0 0 0 0.000571755288736421 0.00045004500450045 0 0 0 0.012987012987013 0 0.00271972390410649 0.0017808547282835 0.029511448994207 0.00959648549784922 0.00045004500450045 0.0112398229845858 0.00699102946846999 0.0947109598014296 0.185018801774003 0.613665403443035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000564652738565782 0.0014903129657228 0.00202020202020202 0.00202020202020202 0 0 0 0 0 0.000564652738565782 0.0014903129657228 0 0 0.00202020202020202 0 0 0.00295699723617344 0 0 0 0 0 0.00112930547713156 0 0 0.00112930547713156 0 0.000564652738565782 0 0 0 0 0.000564652738565782 0 0 0.00177677395068699 0 0 0.00121212121212121 0.00534934173378109 0.00352164997473922 0 0 0.0784387446509966 0 0.00121212121212121 0.00895380744350996 0.0103613046742431 0.122637289350723 0.188437664131103 0.561583730529223
7 250.454545454545 199.272727272727 21.5454545454545 25.5454545454545 1.63636363636364 2.09090909090909 0.363636363636364 0.527389298791041 0.0294068210066691 0.0334505623553092 0.00619636001805164 0.00584089737940854 0.251147753057472 0.0231948303775682 0.12337347701448 0 0 0 0 0 0.000277161862527716 0.00068870523415978 0 0 0 0.00113636363636364 0 0 0 0.000965867096687496 0 0.000554323725055432 0 0.00454545454545455 0 0 0 0.00068870523415978 0 0 0.00138580931263858 0 0.000277161862527716 0 0 0 0 0 0.00182506887052342 0 0 0.00068870523415978 0.00580968155167391 0.00068870523415978 0.00288073899492968 0.00068870523415978 0.0240020498053546 0.00367107024534962 0.00372068803332661 0.0124741581804868 0.0114385643297299 0.0547224288350463 0.187096218564718 0.679773664376808 0 0 0 0 0 0 0 0 0 0 0 0.000564652738565782 0.00181818181818182 0.00181818181818182 0.00181818181818182 0 0 0 0 0 0 0 0.00181818181818182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000564652738565782 0.00185528756957328 0 0.000564652738565782 0.000564652738565782 0.00245700245700246 0 0 0 0.00245700245700246 0 0 0 0.00112930547713156 0 0 0.00112930547713156 0 0.0023828345567476 0 0.00302165519556824 0.0350770320413178 0 0.0023828345567476 0.0106495074973336 0.0178721790678312 0.0387807482605619 0.221206531913054 0.650067435246007
8 199.181818181818 161.454545454545 17.4545454545455 16.2727272727273 2 1.72727272727273 0.272727272727273 0.493108221096856 0.0443263144152799 0.046972381992703 0.00871194297473479 0.0154871513840406 0.20123816548885 0.0274202093403321 0.162735613307203 0 0 0 0.000956937799043062 0 0 0.00185543100115964 0 0 0 0 0.00454545454545455 0.0013986013986014 0 0 0.0013986013986014 0 0 0 0 0 0 0 0.000456829602558246 0 0.0023274266067178 0.00126262626262626 0.000456829602558246 0 0 0.000456829602558246 0 0 0.000777000777000777 0 0.000456829602558246 0 0.00235553919764446 0.000456829602558246 0.00246766075911805 0.00404688247190231 0.0440027808448861 0.00432309176027769 0.00983178786008725 0.00904933615856652 0.023357226980607 0.0801140385268456 0.136904136119963 0.666741291518106 0 0 0 0 0 0 0 0.00104493207941484 0.00104493207941484 0.00267379679144385 0.00267379679144385 0 0 0 0 0 0 0 0 0 0 0 0.00104493207941484 0 0 0 0.00104493207941484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104493207941484 0 0 0.00208986415882968 0 0 0.00104493207941484 0 0 0 0 0.0909640159305935 0 0.0101010101010101 0.00879286596371236 0.0375831142242723 0.0879910172448897 0.140679677162021 0.610181249155295
9 138.818181818182 108.454545454545 10.9090909090909 16.9090909090909 0.636363636363636 1.90909090909091 0 0.515200678466958 0.0411378994549307 0.0356782258202433 0.0060169742572855 0.00492557447006871 0.232485095640316 0.0240179013557201 0.140537650534477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000544365813826892 0.000544365813826892 0 0 0 0 0 0 0 0.0014903129657228 0 0 0 0.0012987012987013 0 0.0031089336478558 0.0014903129657228 0.0773050678102998 0.0055780285288482 0.00559121769612181 0.00648985332529636 0.00887728625165145 0.0741226388557529 0.119214327702811 0.603435496414471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164497285386873 0 0.00284090909090909 0.00779220779220779 0.0130254613807245 0.0852107103422893 0.135136843197484 0.500587491900421
10 147.818181818182 115.727272727273 11.8181818181818 17.4545454545455 1.18181818181818 1.54545454545455 0.0909090909090909 0.554212040891801 0.0622512881945924 0.0266340368456866 0.0100113484926802 0.00294363276260643 0.199655640340634 0.0261635039487032 0.118128508523296 0 0 0 0 0.000956937799043062 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0114051883468294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000956937799043062 0.0012987012987013 0.0141731680297923 0.000956937799043062 0.0932659902252067 0.00968992248062015 0.00364943474441357 0.0323450824860497 0.0208934782849019 0.0898498744062092 0.141135042343683 0.579423303956464 0 0 0 0 0 0 0.00233100233100233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0454545454545455 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0.0454545454545455 0 0 0 0.00699300699300699 0 0 0 0 0 0 0 0 0 0 0.00233100233100233 0.203632448469405 0 0.00233100233100233 0.00787337662337662 0.0220157559831473 0.0807295361643188 0.128926176480524 0.450980631687153
