"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_oe_Proportion" "Transition_oj_Proportion" "Transition_eo_Proportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_ch_Proportion" "Transition_hj_Proportion" "Transition_oh_Proportion" "Transition_gc_Proportion" "Transition_hg_Proportion" "Transition_cg_Proportion" "Transition_oc_Proportion" "Transition_ic_Proportion" "Transition_so_Proportion" "Transition_he_Proportion" "Transition_jg_Proportion" "Transition_gh_Proportion" "Transition_ho_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_jh_Proportion" "Transition_oi_Proportion" "Transition_ec_Proportion" "Transition_cc_Proportion" "Transition_eh_Proportion" "Transition_og_Proportion" "Transition_hh_Proportion" "Transition_ge_Proportion" "Transition_se_Proportion" "Transition_gj_Proportion" "Transition_co_Proportion" "Transition_ee_Proportion" "Transition_ij_Proportion" "Transition_jj_Proportion" "Transition_ei_Proportion" "Transition_io_Proportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_sj_Proportion" "Transition_go_Proportion" "Transition_hi_Proportion" "Transition_sh_Proportion" "Transition_ci_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_ii_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_cgs_Proportion" "Transition_ose_Proportion" "Transition_esc_Proportion" "Transition_cos_Proportion" "Transition_jjg_Proportion" "Transition_soc_Proportion" "Transition_hsc_Proportion" "Transition_jis_Proportion" "Transition_ohs_Proportion" "Transition_chc_Proportion" "Transition_jgs_Proportion" "Transition_isj_Proportion" "Transition_hcs_Proportion" "Transition_jsc_Proportion" "Transition_sge_Proportion" "Transition_eig_Proportion" "Transition_gie_Proportion" "Transition_ssc_Proportion" "Transition_ehg_Proportion" "Transition_hhi_Proportion" "Transition_sei_Proportion" "Transition_ehe_Proportion" "Transition_hgg_Proportion" "Transition_esh_Proportion" "Transition_hse_Proportion" "Transition_sih_Proportion" "Transition_hgs_Proportion" "Transition_csg_Proportion" "Transition_esg_Proportion" "Transition_hei_Proportion" "Transition_ehs_Proportion" "Transition_hig_Proportion" "Transition_ggh_Proportion" "Transition_csc_Proportion" "Transition_ssh_Proportion" "Transition_gsh_Proportion" "Transition_eis_Proportion" "Transition_ieh_Proportion" "Transition_his_Proportion" "Transition_shs_Proportion" "Transition_gse_Proportion" "Transition_gig_Proportion" "Transition_jsi_Proportion" "Transition_ghs_Proportion" "Transition_ici_Proportion" "Transition_sjj_Proportion" "Transition_eei_Proportion" "Transition_ihh_Proportion" "Transition_heh_Proportion" "Transition_hhs_Proportion" "Transition_eeh_Proportion" "Transition_hhe_Proportion" "Transition_ssj_Proportion" "Transition_shh_Proportion" "Transition_csj_Proportion" "Transition_sjs_Proportion" "Transition_sse_Proportion" "Transition_osi_Proportion" "Transition_eie_Proportion" "Transition_ese_Proportion" "Transition_hes_Proportion" "Transition_gei_Proportion" "Transition_eih_Proportion" "Transition_ehi_Proportion" "Transition_ihe_Proportion" "Transition_seh_Proportion" "Transition_eee_Proportion" "Transition_hie_Proportion" "Transition_sie_Proportion" "Transition_ish_Proportion" "Transition_hsi_Proportion" "Transition_eii_Proportion" "Transition_sig_Proportion" "Transition_ise_Proportion" "Transition_see_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_ees_Proportion" "Transition_csh_Proportion" "Transition_ehh_Proportion" "Transition_iih_Proportion" "Transition_ies_Proportion" "Transition_igi_Proportion" "Transition_igg_Proportion" "Transition_hsh_Proportion" "Transition_ses_Proportion" "Transition_iig_Proportion" "Transition_iei_Proportion" "Transition_ghi_Proportion" "Transition_ges_Proportion" "Transition_iee_Proportion" "Transition_iie_Proportion" "Transition_scs_Proportion" "Transition_ihs_Proportion" "Transition_scc_Proportion" "Transition_gsc_Proportion" "Transition_sji_Proportion" "Transition_ios_Proportion" "Transition_gjs_Proportion" "Transition_jcs_Proportion" "Transition_cis_Proportion" "Transition_gos_Proportion" "Transition_ogs_Proportion" "Transition_ois_Proportion" "Transition_shi_Proportion" "Transition_ggi_Proportion" "Transition_sgi_Proportion" "Transition_ggg_Proportion" "Transition_osc_Proportion" "Transition_gih_Proportion" "Transition_ihi_Proportion" "Transition_hii_Proportion" "Transition_esi_Proportion" "Transition_gsi_Proportion" "Transition_gis_Proportion" "Transition_ggs_Proportion" "Transition_igs_Proportion" "Transition_oss_Proportion" "Transition_ssi_Proportion" "Transition_isg_Proportion" "Transition_gii_Proportion" "Transition_iis_Proportion" "Transition_ssg_Proportion" "Transition_isi_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_sii_Proportion" "Transition_sgs_Proportion" "Transition_sgg_Proportion" "Transition_sis_Proportion" "Transition_iii_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 433.666666666667 336.583333333333 39.1666666666667 43.5833333333333 6.33333333333333 4.58333333333333 3.41666666666667 0.341777185367628 0.0644260129207554 0.0644057537255037 0.0137539771157931 0.0154782747520559 0.268350050373344 0.0430743436918828 0.188734402053037 0 0 0 0 0 0 0 0 0 0 0 0 0.000188536953242836 0.000188536953242836 0.000236742424242424 0.000377073906485671 0.000393081761006289 0.00040453074433657 0.000429553264604811 0.000429553264604811 0.000429553264604811 0.000429553264604811 0.000496031746031746 0.000534188034188034 0.000541125541125541 0.000565610859728507 0.000646412411118293 0.000754147812971342 0.000781604650822241 0.000802353283970931 0.000887428722480269 0.000921311123517006 0.000942684766214178 0.00110428786899375 0.0011463913593731 0.00134347882509647 0.00135513827524137 0.00160470656794186 0.00163730264833206 0.00201142428693494 0.00205341744975891 0.00223037034591147 0.00223467133174113 0.00313128204084844 0.00364024947118466 0.00381926347892225 0.00626191529094185 0.00651706450153951 0.00756646434843209 0.0114453506031785 0.0117843113260956 0.0174619176755106 0.0180933650381428 0.019895301359206 0.024412374428682 0.0312221883325276 0.127241627362247 0.168312505257315 0.511094015772757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.00028735632183908 0.000412541254125413 0.000412541254125413 0.000574712643678161 0.000574712643678161 0.000574712643678161 0.000574712643678161 0.000574712643678161 0.000574712643678161 0.000574712643678161 0.000699897575964493 0.000699897575964493 0.000699897575964493 0.000699897575964493 0.000801282051282051 0.000801282051282051 0.000862068965517241 0.000862068965517241 0.000905797101449275 0.000987253897803573 0.00109649122807018 0.00109649122807018 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00127461021964265 0.00127461021964265 0.00127461021964265 0.00137599469496021 0.00151284651791751 0.00151284651791751 0.00151284651791751 0.00156196654148173 0.00166335101679929 0.00184932286332081 0.00233792902616834 0.00236324859276379 0.00281734253344776 0.00338813678969096 0.00391054472763618 0.00395819974889278 0.00434560924331998 0.0044408998818291 0.00461659024772816 0.0047072173484215 0.00581667135526637 0.00585464172551556 0.00742321860775629 0.0078383336788012 0.00870553285776107 0.0106515832857028 0.0124658380380767 0.025263155371848 0.04517581249697 0.0525348225149547 0.154378954030301 0.203555147867035 0.374954003985781
2 427.25 335.083333333333 32.9166666666667 46.0833333333333 4.91666666666667 4.83333333333333 3.41666666666667 0.348845825531091 0.0530827489112193 0.0659043880439219 0.0135195622632071 0.0164042452369129 0.263519884884002 0.0403738228818534 0.198349522247792 0 0 0 0 0 0 0 0 0 0.000431778929188256 0.000433746853649766 0.00533373971350198 0 0.000252525252525253 0 0.000433746853649766 0 0.0015612856828015 0 0 0 0.000202265372168285 0.000423011844331641 0 0.000672043010752688 0.00106975907946782 0 0.000202265372168285 0.000202265372168285 0.00273987369765285 0.000231481481481481 0 0.00165508517733642 0.000202265372168285 0 0.00176420352391226 0 0.0026024811218986 0.00181446340426923 0.00175453025193958 0 0.00176420352391226 0.00352311353625352 0.00659759182686866 0.00093203540784186 0.0061772277163834 0.0076463071352927 0.00749443518183861 0.00796567499127984 0.0162101171916684 0.0182358254717541 0.0184091039246717 0.0170341447502864 0.021361534979214 0.020951713545038 0.0395542232095333 0.114488786283527 0.155908029500327 0.511763114457276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000559284116331096 0.000643122676579926 0.000643122676579926 0.000952912019826518 0.000976456009913259 0.000976456009913259 0.000976456009913259 0.00111949685534591 0.00178616352201258 0.00208852220838522 0.00302407505753231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000309789343246592 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.000619578686493185 0.000619578686493185 0.000643122676579926 0.000643122676579926 0.000976456009913259 0.001 0.001 0.00159603469640644 0.00171553155175236 0.00219190573051834 0 0 0 0 0.000309789343246592 0.000643122676579926 0.00123915737298637 0.00161957868649318 0.00192936802973978 0 0.000333333333333333 0.00164312267657993 0.00164312267657993 0 0 0 0.00130978934324659 0 0.000976456009913259 0 0 0 0 0 0 0.000946969696969697 0 0 0.000786163522012579 0.00128624535315985 0.00166666666666667 0.00257232704402516 0.0038822800495663 0 0.000333333333333333 0.000666666666666667 0.000643122676579926 0.000619578686493185 0.00401937857214213 0.00560500867108798 0.00910408545490041 0.00335865422833228 0.00372753826099551 0.00661517405516187 0.00223915737298637 0.00390582403965304 0.00609789343246592 0.00183359886705612 0.00562135559140539 0.00190582403965304 0.00816142181416832 0.00831624989629519 0.0089692720809002 0.00550204243863499 0.00973604602247563 0.00738413878562577 0.0276212038486188 0.0367827204827446 0.0729872422661313 0.150395748856865 0.206157732700242 0.347076747057837
3 326.25 246.833333333333 27.3333333333333 42.75 3.25 4.83333333333333 1.25 0.405983390142691 0.0679057216445392 0.0521737171536498 0.0189697332604796 0.0206495836633904 0.216455584849466 0.0356695488276399 0.182192720458144 0 0 0 0 0 0 0.000222222222222222 0.000314465408805031 0.000905797101449275 0 0 0.000222222222222222 0 0.000222222222222222 0.00256216529164857 0 0.00208333333333333 0 0 0 0 0.000905797101449275 0 0 0 0 0 0 0.00141242937853107 0 0 0.000316856780735108 0 0 0 0.00141242937853107 0 0.000353107344632768 0.000706214689265537 0.00535809068181102 0 0 0.000925925925925926 0.000314465408805031 0.00447873752369468 0.00211864406779661 0.00280982062051364 0.0110906030537764 0.0016346516007533 0.00384069220624867 0.0121662305887422 0.00563407121316278 0.0063781663104153 0.0174039466452819 0.0443011518882597 0.0346172482183185 0.0897363780191094 0.129559425517704 0.615992488034633 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0.000700280112044818 0.000700280112044818 0.000700280112044818 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260354081550909 0 0.00238095238095238 0.000700280112044818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0 0 0 0.00140056022408964 0 0 0 0 0 0 0 0 0 0.000700280112044818 0 0 0 0 0.000457875457875458 0 0 0 0 0 0.000700280112044818 0 0 0 0 0.000700280112044818 0 0.00140056022408964 0 0 0.00374509332692462 0 0 0 0 0 0 0 0.000612745098039216 0 0 0 0 0 0.000700280112044818 0 0 0 0 0 0.00140056022408964 0.0027750135141776 0.000457875457875458 0.00191482843137255 0.00140056022408964 0.0149792641311511 0.00228310502283105 0.0019640668767507 0.000700280112044818 0.000700280112044818 0.00107062055591467 0.00210084033613445 0.00438304141466913 0.00415185304891187 0.00455541805763401 0.00321186166774402 0.00299639086403792 0.00312222244667098 0.000700280112044818 0.0079372701236966 0.0859642483532849 0.0674075235101466 0.106641333445342 0.165686683185669 0.491233706920666
4 279.416666666667 209.916666666667 21.9166666666667 39.75 2.83333333333333 4 1 0.446999664202563 0.0706483777848759 0.0563298627276865 0.00749474203900158 0.0210976779407898 0.193755013143616 0.0365967293533412 0.167077932808126 0 0 0 0 0.000443262411347518 0.00101626016260163 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0.000595238095238095 0 0 0.00110648553900088 0 0 0 0.00110648553900088 0 0 0 0 0.00583733493397359 0 0 0.000935374149659864 0 0 0 0 0 0.00025879917184265 0.000731372361151033 0 0.000595238095238095 0.000770046615605431 0.000782472613458529 0.000595238095238095 0.00240417852924045 0.0211173034690539 0.00547294232791926 0.00256685229439869 0.00441319450999641 0.00863451980677132 0.00362291260380516 0.00437094063433506 0.0294481494743592 0.0753739830750019 0.0354217502110312 0.0792473467812987 0.116830334238211 0.59528572409862 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0.00991030092592592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0.00206347104519774 0 0 0 0 0 0.000499001996007984 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00267071490821175 0.00214804765469062 0.00239294138994738 0.00282275457887043 0.00900791548964218 0.00141242937853107 0.000499001996007984 0 0.000868055555555556 0.00141242937853107 0.00149700598802395 0.0203072390572391 0.000998003992015968 0.00149700598802395 0.00136705755156354 0.000998003992015968 0.00361768460518144 0.000998003992015968 0.0278022279171917 0.158045936155942 0.0623763659232445 0.101356398565586 0.151556401448766 0.413950135877698
5 245.666666666667 185.916666666667 16.75 37 2.33333333333333 3.33333333333333 0.333333333333333 0.511867304821504 0.0559483623482906 0.0434889190132832 0.0120052739830154 0.0159884909860126 0.182055718684885 0.0306760088759632 0.147969921287045 0 0 0.000712250712250712 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0.00417085427135678 0 0 0.000237416904083571 0 0.000527426160337553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104065101627541 0 0.00415012463378229 0.00440408357075024 0.0138753357873169 0.0148706880538507 0.00142450142450142 0.0020246054584413 0.00522031413780764 0.00189585424568356 0.00372143384781201 0.0163341338634341 0.0631308098054972 0.0357249449675872 0.0765521140964225 0.117487440136873 0.623449432860351 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00870669056152927 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00045045045045045 0 0 0 0 0 0 0.00045045045045045 0.0023023023023023 0 0 0.0176963384980205 0 0.000900900900900901 0.00045045045045045 0.00109649122807018 0.00171821305841924 0 0.0273635477582846 0.00045045045045045 0.00130955697966007 0.00130955697966007 0.00261911395932014 0.0037037037037037 0.00045045045045045 0.0195175462737008 0.131126125264036 0.070588563463139 0.106484859366896 0.122324784251834 0.471242721621334
6 225.75 173.75 16.3333333333333 30.5 1.66666666666667 3 0.5 0.492187110913304 0.0610276240546213 0.0499015055002726 0.0163542012507325 0.0269793363903788 0.170451872234897 0.0338404200397233 0.14925792961607 0.000508130081300813 0.000957854406130268 0 0.000957854406130268 0 0.00527003484320557 0.00238095238095238 0 0 0 0 0 0 0 0 0 0.00516488931123078 0 0 0 0 0 0 0 0.000957854406130268 0 0.000957854406130268 0 0 0.000508130081300813 0 0 0 0.000957854406130268 0 0 0 0 0 0.00193824656299301 0 0 0 0.000957854406130268 0.00422483526147792 0.00087719298245614 0.000505050505050505 0.0106237619948567 0.000957854406130268 0.000584795321637427 0.00484795987065241 0.00125025206694898 0.0108244722473811 0.0159682372203584 0.0637171595914454 0.026456240984808 0.0818293733798148 0.0925106531961238 0.663304651273093 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118203309692671 0.0140178721188932 0 0.000591016548463357 0 0 0 0 0 0.000591016548463357 0 0.00873015873015873 0.00118203309692671 0.00200803212851406 0 0.0207784188007575 0.133761418013274 0.0512637992771 0.0866471003126963 0.117297717605399 0.554579626917429
7 240.25 187.916666666667 15.6666666666667 31.75 1.66666666666667 2.83333333333333 0.416666666666667 0.529621970029521 0.0478254423562754 0.0475023324396459 0.00576667015050684 0.0185060029269386 0.187374760318571 0.0243973118125326 0.139005509966009 0.000712250712250712 0 0 0 0 0 0 0 0.000570776255707763 0 0 0 0 0 0 0 0.00226184749994274 0 0 0.00099283432616766 0 0 0.00128302696795847 0.00072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0 0 0 0 0.00158374421036904 0 0.00303945249597423 0.00656698917386472 0.00157599755078413 0.00072463768115942 0.0108699826632742 0.00113194348354166 0.0074086306718993 0.0167912376026072 0.0579448106579198 0.0290877091516597 0.0621676258034331 0.120898679694513 0.672991142705061 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0.00203252032520325 0 0 0 0.000534188034188034 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0.0133116883116883 0.000534188034188034 0 0 0.00119047619047619 0 0 0.00641025641025641 0 0.000534188034188034 0.00597826086956522 0 0.00208333333333333 0.000534188034188034 0.028508353563547 0.119297394594258 0.0542249664464853 0.0856681283560771 0.154578449953521 0.518133426477477
8 224.166666666667 180.083333333333 12.5833333333333 26.8333333333333 1.58333333333333 2.75 0.333333333333333 0.520338143606841 0.0672921013967834 0.04222691970348 0.00791697973554518 0.0134359374657174 0.185437024870718 0.034780177147319 0.128572716073596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0.000737463126843658 0 0 0.000801282051282051 0 0.00108225108225108 0 0.00105311969250022 0.00179698457223001 0.00185440174378227 0.000801282051282051 0.00421691992310034 0.000315656565656566 0.00209615877901757 0.0139354794859704 0.0681750786988826 0.033672740421683 0.0659349883760361 0.123922381997241 0.67225011002612 0 0 0 0 0 0 0.00225225225225225 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.00244708994708995 0 0 0.000946969696969697 0 0 0 0 0 0 0.000595238095238095 0 0.000595238095238095 0 0 0.00490608354359406 0 0.007641065830721 0.151583319846063 0.0759813479115413 0.0747921516378751 0.131491878217753 0.528179133837433
9 239.333333333333 183.333333333333 16.4166666666667 33.75 2.41666666666667 3 0.416666666666667 0.555350995669616 0.057929972939928 0.0450603158385679 0.0119409910676431 0.00982931102427352 0.177888770267731 0.0199049768533159 0.122094666338924 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0.00187694793938706 0 0.00257411681164566 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0 0 0 0 0 0 0 0 0 0 0 0.00734763332336724 0 0 0.000300842358604091 0 0.00671690694626474 0.000481695568400771 0.0154397007845284 0.0156507656286485 0 0.00275182275076095 0.00863036697913554 0.000481695568400771 0.010961358222485 0.0185371355707118 0.0457526887088028 0.0144043326731368 0.0680486045166482 0.112074552811973 0.666663974414237 0 0 0 0 0 0.00189393939393939 0 0 0 0 0.00620404411764706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0.00189393939393939 0.00265151515151515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018947083009583 0.000757575757575758 0 0 0 0 0 0.0355321202095396 0 0 0.00130208333333333 0 0.000608272506082725 0 0.00660511363636364 0.0906974372151673 0.0268319983393513 0.0868687887174877 0.136928054641477 0.579759406231499
10 269.333333333333 210.916666666667 18.0833333333333 33.6666666666667 2.25 3.91666666666667 0.5 0.555647138269112 0.0478794035692512 0.0412926568267391 0.0102684291252426 0.0170913516259552 0.187490743429746 0.0228840440136841 0.11744623314027 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.00324204939439379 0 0.000603864734299517 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0.00416666666666667 0 0 0.0015490333100396 0.00123917449788097 0.0051593622913082 0 0.00381692224912564 0.0108007753267093 0.00098899774256471 0.00098899774256471 0.003210791037039 0 0.00457199100395821 0.0174324191827774 0.0405001384333391 0.0221984034013289 0.0767506934847396 0.120195120201235 0.674505503254832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00848765432098765 0 0 0 0 0 0 0.00297619047619048 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0.00208333333333333 0.00154320987654321 0 0.000621890547263682 0.00154320987654321 0.00154320987654321 0 0.0135820344153677 0.0903058705142038 0.0472189222189222 0.107974604056694 0.144715094202034 0.549827587949479
