"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ej_Proportion" "Transition_ie_Proportion" "Transition_hc_Proportion" "Transition_ec_Proportion" "Transition_og_Proportion" "Transition_ic_Proportion" "Transition_ij_Proportion" "Transition_jo_Proportion" "Transition_ge_Proportion" "Transition_je_Proportion" "Transition_ji_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_eg_Proportion" "Transition_ce_Proportion" "Transition_cc_Proportion" "Transition_hh_Proportion" "Transition_gc_Proportion" "Transition_jc_Proportion" "Transition_cg_Proportion" "Transition_gj_Proportion" "Transition_hi_Proportion" "Transition_ch_Proportion" "Transition_co_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_so_Proportion" "Transition_jg_Proportion" "Transition_gi_Proportion" "Transition_oi_Proportion" "Transition_gg_Proportion" "Transition_oo_Proportion" "Transition_io_Proportion" "Transition_oc_Proportion" "Transition_ih_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_jj_Proportion" "Transition_gh_Proportion" "Transition_si_Proportion" "Transition_se_Proportion" "Transition_hg_Proportion" "Transition_es_Proportion" "Transition_ee_Proportion" "Transition_ii_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgj_Proportion" "Transition_sgi_Proportion" "Transition_his_Proportion" "Transition_sse_Proportion" "Transition_ccc_Proportion" "Transition_cos_Proportion" "Transition_ies_Proportion" "Transition_sso_Proportion" "Transition_gos_Proportion" "Transition_ogs_Proportion" "Transition_sij_Proportion" "Transition_ses_Proportion" "Transition_jsg_Proportion" "Transition_csc_Proportion" "Transition_ise_Proportion" "Transition_ics_Proportion" "Transition_isc_Proportion" "Transition_iii_Proportion" "Transition_osc_Proportion" "Transition_isi_Proportion" "Transition_jjs_Proportion" "Transition_jsc_Proportion" "Transition_gcs_Proportion" "Transition_jcs_Proportion" "Transition_esi_Proportion" "Transition_ijs_Proportion" "Transition_ihs_Proportion" "Transition_jos_Proportion" "Transition_ggg_Proportion" "Transition_jes_Proportion" "Transition_sos_Proportion" "Transition_sjj_Proportion" "Transition_ssc_Proportion" "Transition_jsi_Proportion" "Transition_shs_Proportion" "Transition_egs_Proportion" "Transition_isg_Proportion" "Transition_scs_Proportion" "Transition_scc_Proportion" "Transition_cgs_Proportion" "Transition_gsc_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_shi_Proportion" "Transition_csi_Proportion" "Transition_ssi_Proportion" "Transition_cis_Proportion" "Transition_ssg_Proportion" "Transition_ssj_Proportion" "Transition_ggs_Proportion" "Transition_sjs_Proportion" "Transition_hgi_Proportion" "Transition_gis_Proportion" "Transition_osi_Proportion" "Transition_ois_Proportion" "Transition_sgg_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_hse_Proportion" "Transition_hgs_Proportion" "Transition_see_Proportion" "Transition_iis_Proportion" "Transition_csg_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 412.083333333333 344.25 31.0833333333333 31.9166666666667 2.5 2.08333333333333 0.25 0.415642020692241 0.0656547281512922 0.0647342554073911 0.0104203052056517 0.010814077530838 0.24459096638688 0.0363744068533616 0.151769239772344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0.000524109014675052 0.000524109014675052 0.000527426160337553 0.000527426160337553 0.000527426160337553 0.000809061488673139 0.00117370892018779 0.00120192307692308 0.00136612021857923 0.00240384615384615 0.00248040083901068 0.00363483288946115 0.00641025641025641 0.00733832359623499 0.00739072866170128 0.00747863247863248 0.00792186091066639 0.0117708376637185 0.0123306345324849 0.0213131156665987 0.044687667302824 0.0461472619777963 0.11296304078287 0.171994564111077 0.526152044782454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.00120772946859903 0.00120772946859903 0.00157232704402516 0.00240566037735849 0.00253048079135036 0.00347883597883598 0.00465608465608466 0.0104166666666667 0.0104166666666667 0.0104166666666667 0.0104166666666667 0.0104166666666667 0.0131796901006636 0.0164528156271785 0.0176692026546923 0.0778620272289947 0.0783988209991588 0.130052722078808 0.183031904092585 0.411710636099733
2 413.083333333333 344.666666666667 27.4166666666667 35 2.5 2.91666666666667 0.583333333333333 0.422295017962447 0.0746178527519036 0.0483538571944788 0.00763063883940782 0.00403922280151147 0.247702735867845 0.0290949270383243 0.166265747544082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000315656565656566 0.000350140056022409 0.000786163522012579 0.0008209498488661 0.000992063492063492 0.00151171579743008 0.00247524752475248 0 0 0.00247371675943104 0 0 0.000350140056022409 0 0.000665796621678975 0.00164603235711692 0.00361036054431564 0 0 0.00799817545667795 0 0 0.000941619585687382 0 0.00350912189187685 0.00543992849665119 0.00839607374062543 0.0225932331510072 0.0621424091155687 0.0326032652235526 0.0805531577988709 0.178496662062147 0.581328370331966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0.000809061488673139 0.000809061488673139 0.00101626016260163 0.00101626016260163 0.00151515151515152 0.00231481481481481 0.00311771561771562 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.005701608704055 0.00494919795476272 0 0 0 0 0.000809061488673139 0.00101626016260163 0.0231329878740051 0.011709004427451 0.112700473840336 0.0485111346703798 0.11674589262119 0.150446793257735 0.428071635458897
3 435.666666666667 354.083333333333 28.8333333333333 45.3333333333333 3.33333333333333 3.16666666666667 0.916666666666667 0.517605632658407 0.0679027674331936 0.0310084731936318 0.00519992676444065 0.00276836729420301 0.244567370864877 0.0180347172404545 0.112912744550792 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000275938189845475 0.000305250305250305 0.000305250305250305 0.000359195402298851 0.000359195402298851 0.000478927203065134 0.00058118849509578 0.000946969696969697 0.000305250305250305 0 0 0.000664445707549156 0 0 0.000275938189845475 0 0 0.00124563420264494 0 0 0 0 0.00182388442370294 0.00172456140571007 0.000771604938271605 0.000305250305250305 0 0.00439000867143257 0.0006265664160401 0 0.00207112657559114 0 0.000275938189845475 0.00366862236924396 0.00604107795910879 0.00838023167787981 0.0433780881103017 0.0169747119783894 0.072285571678209 0.162601887822148 0.668577684073511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000548245614035088 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000809061488673139 0.000809061488673139 0 0.000548245614035088 0.00190555271674331 0 0.00176315789473684 0 0 0 0 0 0 0 0.00121491228070175 0 0.000548245614035088 0.000666666666666667 0.00284889920880633 0.00547662528452641 0 0 0 0 0 0.00284889920880633 0.00868910374987713 0.00462962962962963 0.081138416592036 0.0266163058387166 0.0923368498163689 0.197363327492362 0.565905460467237
4 430.25 338.25 28.3333333333333 55 3.16666666666667 4.91666666666667 0.583333333333333 0.510149740829258 0.0594022534318616 0.0298669286834718 0.00299006381418024 0.00297828534067295 0.271589842773057 0.0145638603329911 0.108459024794507 0 0 0 0 0 0 0 0 0 0 0 0.000233426704014939 0.000661375661375661 0 0 0 0 0 0.00023084025854109 0.00023084025854109 0 0 0 0 0 0.00023084025854109 0 0.000661375661375661 0 0 0.00023084025854109 0 0 0 0.000661375661375661 0.00145532337142816 0.00144488989278648 0.000334672021419009 0 0.000677506775067751 0.0050981728652144 0.000764525993883792 0 0.00504204829099333 0 0.00147687280040221 0.00251575631236869 0.00444957274494091 0.00810666493817778 0.0572137441256157 0.0127517254137182 0.053093808444361 0.163177062197655 0.679256739089662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000465549348230912 0.00203252032520325 0 0 0 0 0.000452898550724638 0.000452898550724638 0 0 0 0 0.00243143357323478 0 0.00203252032520325 0 0 0.000771604938271605 0 0 0.000452898550724638 0 0 0 0.0016452700512222 0.000786163522012579 0.00611256341861113 0.00201066701100882 0 0 0 0.00157232704402516 0 0.00878406353507979 0.0076655130594585 0.00281868384721583 0.0979994962631894 0.0172556441560722 0.0741676342175408 0.211251437683156 0.558838212029089
5 419.666666666667 330.333333333333 30.1666666666667 51.0833333333333 3.83333333333333 3.75 0.5 0.509623505048711 0.046354147566463 0.0200901890903023 0.00369111780673905 0.00290632044737332 0.283173746218074 0.0184023641953076 0.11575860962703 0 0 0 0 0 0 0 0 0.000360750360750361 0.00109649122807018 0.00133154648385822 0 0 0 0 0.000875379101185553 0 0 0 0 0 0 0 0 0 0.000306372549019608 0.00131860476688063 0.0012697494253982 0.00102787327052033 0.000306372549019608 0.000737035770380504 0 0 0 0 0.000427350427350427 0.000427350427350427 0.00148110713182594 0.000427350427350427 0 0.00392809869042411 0.00109649122807018 0 0.00243593107392697 0 0.000949774049158761 0.00114885114885115 0.0114379003014301 0.0110167594012163 0.0445320676452862 0.0155229709174411 0.0755795010772525 0.198407985074794 0.622550335473188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.000957854406130268 0.000957854406130268 0 0.000957854406130268 0 0 0 0.000957854406130268 0 0 0 0 0 0 0.000896057347670251 0 0 0.000957854406130268 0 0.000896057347670251 0 0.00145232371794872 0 0 0.000410509031198686 0.000651041666666667 0.000896057347670251 0.0019625705738129 0.0102578402160284 0.000410509031198686 0 0 0 0.000801282051282051 0 0.00201940510399562 0.0104389245014245 0 0.0843131621967112 0.0296666199552969 0.122969465360876 0.262278932963612 0.464088687505004
6 365.833333333333 285.583333333333 24.4166666666667 49 3 3.41666666666667 0.416666666666667 0.532141984335734 0.0592638710250158 0.0196441984415895 0.00488699384585778 0.00530580511390652 0.239543363172965 0.0188959633889042 0.120317820676027 0 0 0 0 0 0 0.000306372549019608 0.000306372549019608 0 0.00157232704402516 0 0 0 0 0 0 0 0.000306372549019608 0.000236742424242424 0 0 0 0 0 0.000543114973262032 0.000543114973262032 0 0.00180906946826758 0.000543114973262032 0 0.00112326724693746 0 0 0 0.000306372549019608 0.000360750360750361 0.00130138064400072 0.00238597595550016 0.000452898550724638 0 0.00344325682038175 0 0 0.00503375121795432 0 0.00132297237076649 0.00313934084272007 0.0050313782054325 0.013826156366045 0.0558953317018365 0.014410977805426 0.0645886854472853 0.193376640558451 0.627834261853388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000476190476190476 0.000476190476190476 0.000700280112044818 0.000700280112044818 0.000700280112044818 0.000992063492063492 0.00347222222222222 0 0 0 0 0 0 0 0.000778816199376947 0 0 0 0 0 0 0.000476190476190476 0.000700280112044818 0 0.00264472455648926 0.00427350427350427 0.000476190476190476 0 0 0.000476190476190476 0 0 0.000992063492063492 0.00117647058823529 0.00142857142857143 0 0.00243147726380272 0.00217937642346658 0 0 0 0.000700280112044818 0 0.000778816199376947 0.0175319241860117 0.00368023553507424 0.108916170634854 0.0202752292729708 0.0966760125973312 0.286663255482453 0.439226713210956
7 351.083333333333 278.333333333333 25.0833333333333 40.5 3.91666666666667 2.5 0.75 0.552249720277467 0.062190933666872 0.0210302004056708 0.00299924861664118 0.0039398261252438 0.222855490905548 0.0214608350071957 0.113273744995361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333938936880113 0 0.00180074169162744 0 0 0 0 0 0 0 0.000377073906485671 0 0.0016025641025641 0.000801282051282051 0 0.00464368048657862 0 0 0 0.000267094017094017 0.00106837606837607 0.00696241108392811 0.000363901018922853 0.000656167979002625 0.000267094017094017 0.00846378052260405 0.000377073906485671 0 0.000605847404627892 0 0.00106837606837607 0.0046608202096007 0.00491776758003506 0.00924646672023016 0.065970380269526 0.0168824556085788 0.0621628081465948 0.162286707376246 0.641207740395338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.00138888888888889 0.00157232704402516 0.00163398692810458 0.00370718462823726 0 0 0 0 0 0.00297619047619048 0 0 0 0.000793650793650794 0 0.000595238095238095 0 0 0 0.0082312091503268 0 0.00520833333333333 0 0.000595238095238095 0 0 0.00119047619047619 0 0.00138888888888889 0 0 0.000859106529209622 0 0 0 0 0.00218253968253968 0.00119047619047619 0.00119047619047619 0.00138888888888889 0.00364452798663325 0.000595238095238095 0 0 0 0 0 0.00132623224728488 0.0116913746630728 0.0104166666666667 0.126388185944331 0.0329946328084362 0.0929683727135347 0.184429590028492 0.498856840756884
8 335.416666666667 260.416666666667 21 46.0833333333333 3.41666666666667 3.91666666666667 0.583333333333333 0.561694996886606 0.0742319133963839 0.0169471625429804 0.0041928884403004 0.00849759187199227 0.208320787755648 0.0134682689993303 0.112646390106759 0 0 0 0 0 0.000228310502283105 0 0 0 0 0.000228310502283105 0 0 0 0 0.000283446712018141 0 0 0 0 0 0 0 0 0.000228310502283105 0.000321750321750322 0 0.000351617440225035 0.00140646976090014 0.000228310502283105 0.00045662100456621 0 0 0 0 0.00317076311651357 0.0027047396704416 0.00257400257400257 0.000321750321750322 0 0.00257580049244136 0 0 0 0 0.00206006337567684 0.00539617356757729 0.00423859950997839 0.00830210912544315 0.0590539888881994 0.0151907044494634 0.0600643001896623 0.143745314641731 0.686868542828527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000455373406193078 0.000559284116331096 0.00101465752252417 0 0.000455373406193078 0.000771604938271605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.000559284116331096 0 0 0 0.000559284116331096 0 0.000455373406193078 0.00147003092871725 0 0.000455373406193078 0 0 0 0 0.000712250712250712 0 0.000455373406193078 0.000910746812386157 0 0.00192540433491033 0.000455373406193078 0.00317719680464778 0.00215605367830192 0 0 0 0 0 0 0.00902391083917746 0.0019392290567154 0.100127488255275 0.0321784791559382 0.0845473522349869 0.215439514166445 0.534987654439968
9 294.416666666667 223.75 22.25 40.3333333333333 3.66666666666667 3.58333333333333 0.833333333333333 0.62409458860109 0.0488103405619053 0.0197622347146672 0.00578986826215338 0.00486662103503084 0.189546879862036 0.00922657649482049 0.0979028904682967 0 0 0 0 0.000202757502027575 0.000276854928017719 0 0 0.000276854928017719 0 0.000841750841750842 0 0 0 0 0.000276854928017719 0 0 0 0 0 0 0 0 0 0 0 0 0.000516040710047625 0 0.000841750841750842 0 0 0 0 0.000202757502027575 0.000792895638065344 0.00523530205080145 0 0 0.00175087963217045 0.00065763582509994 0 0 0.00031328320802005 0 0.00366311293606722 0.0169929025603342 0.00239119797845743 0.0350672817312557 0.0116730281686434 0.0671431779053898 0.130070958438727 0.720812721745311 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000603864734299517 0.000656167979002625 0.000603864734299517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000737463126843658 0 0.000603864734299517 0 0 0 0 0 0 0.000408496732026144 0 0.00274061687105165 0.000737463126843658 0 0.00134132786114317 0 0 0 0 0.00213675213675214 0 0 0 0.00320522530874483 0.00106466471102877 0 0 0.000656167979002625 0 0 0 0.00343787957660941 0 0.0680573984672577 0.0155819634255114 0.0500163005110277 0.18439920349612 0.663011314488136
10 278.666666666667 210.75 19.9166666666667 40.0833333333333 3.08333333333333 4.08333333333333 0.75 0.651663042539538 0.0492676744915965 0.0107212580385015 0.00351502953180983 0.00501010143326878 0.180613752029403 0.0059966344707028 0.0932125074651798 0 0 0.000195160031225605 0.00396825396825397 0.000304136253041363 0 0.000304136253041363 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00275511664519823 0.00080343253730833 0 0.000912408759124088 0 0 0 0 0.00327707406204475 0.00104391483369304 0.000326797385620915 0 0 0.00233478824899191 0.000326797385620915 0 0.000326797385620915 0 0.000499296284266967 0.00039032006245121 0.00540288398286328 0.00193353118041122 0.0612285504067022 0.00902390848918185 0.0660695068152498 0.129054899922992 0.707325306650956 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.000612745098039216 0.000677506775067751 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0 0 0 0 0 0 0 0.000612745098039216 0.00107058853607404 0 0 0 0 0 0 0 0.00117924528301887 0 0 0.000677506775067751 0 0 0 0 0 0 0 0 0.000393081761006289 0.000393081761006289 0.00237884484115198 0 0 0 0 0 0 0.000677506775067751 0.00246949715612583 0.000786163522012579 0.108931563236654 0.0149054570283716 0.0766075852699815 0.168203109651918 0.612989947901985
