"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hc_Proportion" "Transition_oo_Proportion" "Transition_jo_Proportion" "Transition_he_Proportion" "Transition_ch_Proportion" "Transition_cj_Proportion" "Transition_ce_Proportion" "Transition_je_Proportion" "Transition_oh_Proportion" "Transition_ij_Proportion" "Transition_ei_Proportion" "Transition_co_Proportion" "Transition_gh_Proportion" "Transition_eo_Proportion" "Transition_og_Proportion" "Transition_eg_Proportion" "Transition_ci_Proportion" "Transition_oi_Proportion" "Transition_hg_Proportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_io_Proportion" "Transition_ic_Proportion" "Transition_go_Proportion" "Transition_ii_Proportion" "Transition_ee_Proportion" "Transition_ge_Proportion" "Transition_cg_Proportion" "Transition_se_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_jj_Proportion" "Transition_jh_Proportion" "Transition_so_Proportion" "Transition_cc_Proportion" "Transition_ih_Proportion" "Transition_ig_Proportion" "Transition_hh_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_ie_Proportion" "Transition_ji_Proportion" "Transition_gc_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsj_Proportion" "Transition_jeg_Proportion" "Transition_egc_Proportion" "Transition_eig_Proportion" "Transition_ggo_Proportion" "Transition_igh_Proportion" "Transition_ghs_Proportion" "Transition_hcs_Proportion" "Transition_oig_Proportion" "Transition_hsg_Proportion" "Transition_esi_Proportion" "Transition_jis_Proportion" "Transition_gsh_Proportion" "Transition_gsj_Proportion" "Transition_egi_Proportion" "Transition_hgs_Proportion" "Transition_jog_Proportion" "Transition_csg_Proportion" "Transition_ccc_Proportion" "Transition_gjs_Proportion" "Transition_ihi_Proportion" "Transition_gee_Proportion" "Transition_gge_Proportion" "Transition_sge_Proportion" "Transition_osg_Proportion" "Transition_jhg_Proportion" "Transition_sci_Proportion" "Transition_gei_Proportion" "Transition_che_Proportion" "Transition_hii_Proportion" "Transition_geg_Proportion" "Transition_hig_Proportion" "Transition_jsg_Proportion" "Transition_csi_Proportion" "Transition_gig_Proportion" "Transition_gce_Proportion" "Transition_sgi_Proportion" "Transition_sjg_Proportion" "Transition_igi_Proportion" "Transition_jsi_Proportion" "Transition_ccs_Proportion" "Transition_csh_Proportion" "Transition_gcc_Proportion" "Transition_ehi_Proportion" "Transition_sei_Proportion" "Transition_igg_Proportion" "Transition_iij_Proportion" "Transition_ijg_Proportion" "Transition_egs_Proportion" "Transition_gii_Proportion" "Transition_ege_Proportion" "Transition_gie_Proportion" "Transition_iei_Proportion" "Transition_eis_Proportion" "Transition_shg_Proportion" "Transition_cgs_Proportion" "Transition_cgi_Proportion" "Transition_cii_Proportion" "Transition_gcg_Proportion" "Transition_iis_Proportion" "Transition_sjs_Proportion" "Transition_gic_Proportion" "Transition_eos_Proportion" "Transition_iig_Proportion" "Transition_ogs_Proportion" "Transition_igc_Proportion" "Transition_ios_Proportion" "Transition_iii_Proportion" "Transition_jgs_Proportion" "Transition_gci_Proportion" "Transition_cis_Proportion" "Transition_sse_Proportion" "Transition_shs_Proportion" "Transition_iee_Proportion" "Transition_his_Proportion" "Transition_isi_Proportion" "Transition_ses_Proportion" "Transition_sig_Proportion" "Transition_ics_Proportion" "Transition_igs_Proportion" "Transition_sio_Proportion" "Transition_isc_Proportion" "Transition_isg_Proportion" "Transition_gos_Proportion" "Transition_osi_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_sii_Proportion" "Transition_scg_Proportion" "Transition_gsi_Proportion" "Transition_ges_Proportion" "Transition_ssh_Proportion" "Transition_cgg_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_hhs_Proportion" "Transition_jjj_Proportion" "Transition_scs_Proportion" "Transition_jhs_Proportion" "Transition_esg_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_sgs_Proportion" "Transition_sih_Proportion" "Transition_hsi_Proportion" "Transition_ssi_Proportion" "Transition_sso_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ish_Proportion" "Transition_shh_Proportion" "Transition_ggi_Proportion" "Transition_ggs_Proportion" "Transition_ess_Proportion" "Transition_sis_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 394.583333333333 330.916666666667 30.0833333333333 27.5 2.83333333333333 2.75 0.5 0.402285053741733 0.0478463883258559 0.0330975177709551 0.00939110674978243 0.00815836658379439 0.327120133684746 0.0246694678537632 0.14743196528937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0.000555555555555556 0.000555555555555556 0.000651041666666667 0.000718390804597701 0.000718390804597701 0.000764525993883792 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.001171875 0.00138888888888889 0.00138888888888889 0.00194444444444444 0.0021391369047619 0.00231561302681992 0.0026706827309237 0.003067177456382 0.00729185440962589 0.00773878906035099 0.00966903277818073 0.0160234258228072 0.0174395115398045 0.0205563487856867 0.0449963381553762 0.0979282006694413 0.188902768756284 0.565835958552149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00141242937853107 0.00177304964539007 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.00213675213675214 0.0046083672518883 0.00471600331674959 0.00520833333333333 0.00608500482492418 0.00615334818194988 0.0166030468272252 0.0263495319675601 0.0391542601811532 0.0780004436288067 0.0847559540628585 0.198974424597511 0.501145381358693
2 306.583333333333 256.833333333333 24.25 21.6666666666667 2 1.08333333333333 0.75 0.422613410237981 0.0669335654947589 0.0240694924600737 0.00216296465287283 0.00807206533618843 0.343889898365065 0.0168635949274854 0.115395008525575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000551876379690949 0.000551876379690949 0.000599520383693046 0.000599520383693046 0.000641025641025641 0.00115139676338399 0.00127026718428865 0.00175960584828998 0.00238951695786228 0.00252564065688978 0 0 0.00357142857142857 0.00122549019607843 0 0 0 0.00115139676338399 0.00115740740740741 0.0036587098607559 0.00383597883597884 0.000551876379690949 0.00122549019607843 0 0 0.00252179209013741 0.000551876379690949 0.00752927796666724 0.00960601348839208 0.00234187295386019 0.00128205128205128 0.00490876664113343 0.0132760615564045 0.0105576499577222 0.026457019946608 0.0816612083983826 0.236939245082279 0.57394913946736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00163398692810458 0.00163398692810458 0.00181159420289855 0.00181159420289855 0.00264817150063052 0.00273224043715847 0.00273224043715847 0.00277777777777778 0.00277777777777778 0.00297619047619048 0.00297619047619048 0.00297619047619048 0.00462962962962963 0.00595238095238095 0 0 0 0.00683760683760684 0 0.011176599594276 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00723754348130685 0.00163398692810458 0 0 0 0.00163398692810458 0.00644568827768694 0.0205845445012566 0.0452073801346368 0.0664034906980695 0.217494809686437 0.560499295134635
3 286.583333333333 236.166666666667 24.6666666666667 20.4166666666667 2.66666666666667 2.08333333333333 0.583333333333333 0.417397997394331 0.0344188909567144 0.0158765055684183 0.00329875973693579 0.00935598102556193 0.383601045212151 0.0151957961608246 0.120855023945062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.00128205128205128 0.00173611111111111 0 0 0.000563063063063063 0.000778816199376947 0 0.00202218347379638 0.00157232704402516 0 0 0.00157232704402516 0 0 0 0 0 0.00126262626262626 0 0.00115407961152642 0 0.00291865464157456 0.00196084929630366 0 0.00177304964539007 0.00145912041073331 0.00202259729390431 0.00473989563215449 0.00124378109452736 0.00421792888679458 0.00867123079555643 0.0051184263348053 0.00233611270845313 0.0165991518295094 0.0217962717917413 0.00991401491281835 0.027894928198472 0.0831450270406561 0.245176666905366 0.546172650141968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00170068027210884 0.00213675213675214 0.00213675213675214 0.00378787878787879 0.00560897435897436 0 0 0.00427350427350427 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0 0.00130208333333333 0 0.00378787878787879 0.00213675213675214 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0.00887784090909091 0.00347222222222222 0.017542524164548 0 0 0.00300276360544218 0 0.00347222222222222 0.00347222222222222 0 0 0 0 0.00370907918077729 0.00343883547008547 0 0.00378787878787879 0.00289115646258503 0 0.0216687725660065 0.0189662323262638 0.047434020475631 0.0706936703437367 0.254197647727695 0.497387071756324
4 278.916666666667 229.5 25 20.9166666666667 1.91666666666667 1.41666666666667 0.166666666666667 0.445344927594946 0.0351146604592308 0.0140223269637107 0.003273049765319 0.0134834399864676 0.365981724510378 0.0141520217114411 0.108627849008506 0 0 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.000737463126843658 0.000764525993883792 0.000946969696969697 0.00178754734345687 0 0.00114155251141553 0 0 0 0 0.000764525993883792 0 0.00243354217549821 0 0 0 0 0.000946969696969697 0.00117370892018779 0.000718390804597701 0 0 0 0.000737463126843658 0.00492943129929431 0 0 0.00548956873526927 0.000946969696969697 0 0 0 0.000737463126843658 0.000764525993883792 0.0163252240717029 0.00672385417077025 0.0120941558441558 0.0116810519966167 0.0118361162480564 0.0178423824739424 0.0085033290619264 0.023961660586564 0.0782920929458001 0.254934252206319 0.532066871346737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00177304964539007 0.00189393939393939 0.00189393939393939 0.00252525252525253 0.00308641975308642 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0.00564814814814815 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0.00569058641975309 0.00540123456790123 0.00366698903932946 0.0159545855379189 0.015678773551114 0.0483182636906041 0.0770451389954936 0.229952951074405 0.543560374728371
5 272.083333333333 215.666666666667 24 26.6666666666667 3 2 0.75 0.443301287256267 0.0375437102500177 0.0156689854205568 0.00767209870941722 0.0132750048168852 0.355168068500368 0.0122197516036738 0.115151093442814 0 0 0 0 0 0 0 0 0 0 0.00037037037037037 0 0 0 0 0 0.000816993464052288 0 0.000841750841750842 0 0 0 0.000816993464052288 0 0.015884037476524 0 0 0.0020291146761735 0 0 0 0 0 0 0 0 0.00258275975090134 0 0.000841750841750842 0.00287421526359579 0.00037037037037037 0 0.00165874430580313 0.000841750841750842 0.00336610829257888 0.002699709513435 0.000841750841750842 0.0143987079639084 0.0108671389792334 0.00725200725200725 0.00831825672511947 0.024614375557027 0.00647216889863949 0.0198827895502804 0.0781730179127368 0.22857607989115 0.564609036955037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.00198412698412698 0.00198412698412698 0.00231481481481481 0.00231481481481481 0.0042989417989418 0.0054920116194626 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0.014828431372549 0 0.00163398692810458 0 0.00163398692810458 0 0.000833333333333333 0.00481118373275236 0 0 0 0 0.0120506535947712 0 0 0 0.00198412698412698 0 0 0 0 0 0.00268817204301075 0 0 0.0127932098765432 0.00166666666666667 0.00484386347131445 0 0 0 0 0 0.00268817204301075 0 0 0.000833333333333333 0 0.00198412698412698 0.00746592746592747 0.00154320987654321 0.0147376543209877 0.0131944444444444 0.00198412698412698 0.0108437162200603 0.0168740399385561 0.0418385101639371 0.0747476440473357 0.250683889717334 0.469508085846044
6 259.666666666667 204.583333333333 24.9166666666667 24.0833333333333 3.08333333333333 2.16666666666667 0.833333333333333 0.49273421979742 0.030589043463341 0.0161845195932872 0.00187991787728275 0.0109885709038145 0.334200267300664 0.0133298436798441 0.100093617384347 0 0 0 0 0 0 0 0 0 0.000378787878787879 0 0 0 0.00166666666666667 0 0.00196105574012551 0 0 0 0 0 0 0 0 0.00173206423206423 0 0.000992063492063492 0 0.000641025641025641 0 0 0.000617283950617284 0 0 0 0 0.00128205128205128 0 0.000617283950617284 0.00155400155400155 0 0 0 0.000378787878787879 0.00270655270655271 0.00101981351981352 0.0136930199430199 0.00628669170335837 0.00915402427030334 0.00418220668220668 0.0112899405662564 0.0149154188551373 0.0115153365153365 0.0153994924828258 0.061468373244689 0.226411043585666 0.610137013658026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0.000793650793650794 0.00163398692810458 0.00173611111111111 0.00193798449612403 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0.000793650793650794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.000793650793650794 0.00978057889822596 0 0 0.00173611111111111 0 0 0 0 0 0 0.00326797385620915 0.00333333333333333 0.00354770531400966 0.00193798449612403 0.00466961978589886 0.00466961978589886 0.00677191166321601 0.0141185927598971 0.0216486791962242 0.0313852608832873 0.0854207797949078 0.230124305671376 0.565734759701122
7 258 197 28.4166666666667 25.8333333333333 3 2.66666666666667 1.08333333333333 0.511032282473827 0.0309612829468614 0.0157319722242 0.00652734972181998 0.00920463937423072 0.318438285051274 0.0130889795837711 0.0950152086240155 0 0 0 0 0 0 0 0.000551876379690949 0.000771604938271605 0 0.000706214689265537 0.000551876379690949 0.000551876379690949 0 0 0 0 0 0 0.000706214689265537 0.000706214689265537 0.00203252032520325 0.000694444444444444 0 0.00445056608693581 0.000730994152046784 0 0 0.00143720884131232 0 0 0 0 0.00238095238095238 0.000551876379690949 0 0.00772649215631672 0.000551876379690949 0.00517819467525256 0.0018878262602112 0 0 0.000551876379690949 0.000697350069735007 0.00140065913370998 0.00404725367398006 0.00104602510460251 0.00798878294102101 0.0168812646004296 0.00197731497618218 0.0094208490604942 0.018354157668565 0.00463951388696463 0.0142008220328281 0.0721815193934014 0.207715523026022 0.606728257825175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0.00112612612612613 0.00136612021857923 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00170068027210884 0.00170068027210884 0.00225225225225225 0 0 0 0.00213675213675214 0 0 0 0 0 0 0 0 0 0.000793650793650794 0 0 0 0.00213675213675214 0 0 0 0.00427350427350427 0 0 0 0.00112612612612613 0.000793650793650794 0 0 0 0 0.00337837837837838 0 0.00555555555555556 0 0 0 0 0 0.00170068027210884 0.00112612612612613 0.00215977101223003 0 0.00191977691977692 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.00189393939393939 0.00649148802901829 0 0.00112612612612613 0.00337837837837838 0 0 0 0 0.00141242937853107 0.00427350427350427 0.00728593853593854 0.00238095238095238 0.00695266349019376 0.00112612612612613 0.00995943792553962 0.00782268578878748 0.00474449859695761 0.00633193726414065 0.00812301405521744 0.0277797531697425 0.0740932174648882 0.208545244022361 0.573864390867874
8 222.833333333333 165.583333333333 25 24.25 3.83333333333333 3 1.16666666666667 0.532805874983796 0.0293072732122456 0.0161674808595218 0.00306583784076886 0.00661811545312928 0.308088357423365 0.0136441357927621 0.0903029244344105 0 0 0 0.000487329434697856 0.000487329434697856 0.00087719298245614 0.000946969696969697 0 0 0 0.000487329434697856 0 0 0 0 0.000487329434697856 0.000487329434697856 0 0.00190925955835509 0 0.00140853124875681 0 0 0 0.00178969248518121 0.000496031746031746 0.000974658869395711 0.00608552631578947 0.00141242937853107 0 0 0 0.000455373406193078 0.000425170068027211 0.00137213976499691 0.000496031746031746 0.00364091662933029 0 0.000455373406193078 0.00320212186371228 0 0.0208333333333333 0.000946969696969697 0.000793650793650794 0.00188967253786063 0.00318944135291147 0.0024005947408203 0.00400753868798982 0.0120560653680625 0.00745766608078638 0.00373785769303606 0.0147465191164151 0.0185453212132137 0.0190062458511058 0.0627383924638432 0.211863749854461 0.587402914876099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00181159420289855 0.00268817204301075 0.00308641975308642 0 0 0 0 0 0 0 0 0.00100401606425703 0 0 0.00100401606425703 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0.00100401606425703 0 0.000764525993883792 0 0.00109649122807018 0.00109649122807018 0 0.00100401606425703 0 0.0021005072923272 0 0 0 0 0 0.00308641975308642 0 0 0 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0.00714072426610653 0.00100401606425703 0.00825727511929339 0 0 0.0021005072923272 0 0.00268817204301075 0.00268817204301075 0 0 0 0.00706018836571219 0.00109649122807018 0.00535360956019199 0.00152905198776758 0.00540252990980812 0.00415459520360534 0.00354151268785415 0.00438626974720649 0.0429352976294779 0.0433795826719765 0.0467018349096773 0.201189250967164 0.575457738858295
9 182.416666666667 136.083333333333 19.0833333333333 17.6666666666667 3.58333333333333 3.5 2.5 0.559581802096119 0.0384930744300426 0.0184576276297479 0.00787836103341583 0.0137764257593702 0.273371321529699 0.0104578295221205 0.0779835579994852 0 0 0.000508130081300813 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0.00101626016260163 0 0 0 0.00256192220477935 0 0.00043630017452007 0 0 0 0.00152166129609739 0.000850340136054422 0.00350612104828204 0 0.00043630017452007 0.000508130081300813 0 0.00043630017452007 0 0 0.00315301229935376 0.000944430255820883 0.00649700687694609 0 0.000925925925925926 0.00434230840080479 0.000886524822695035 0 0 0.00043630017452007 0.000508130081300813 0.00438174717680241 0.00322181642665428 0.0101391763074384 0.0259341498196281 0.00517542945334986 0.00866358408719609 0.0441189417949169 0.0145478299446416 0.00874352142343088 0.0576138073112597 0.178963008291335 0.607248833946613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.00102880658436214 0.00146198830409357 0.00146198830409357 0.00333333333333333 0.00595238095238095 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0.000786163522012579 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0.000764525993883792 0 0 0 0.00157232704402516 0 0 0 0 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00222651429797736 0 0 0 0.0046737060758179 0 0.000786163522012579 0.00595238095238095 0 0 0 0 0.00231481481481481 0 0.00231481481481481 0 0 0 0.00102880658436214 0.00102880658436214 0 0 0 0 0.000764525993883792 0.00983992350618627 0.00155068951589637 0.0330575542041132 0 0 0.000786163522012579 0 0.000786163522012579 0 0 0 0 0.00726844639342476 0.00436213991769547 0.00379884134200252 0.0083167825223436 0.0212435570057218 0.0195828051875355 0.00495283018867925 0.0058564545107268 0.0332301753685402 0.0201394850975564 0.0421355684847 0.203395094944674 0.53523471797384
10 209.833333333333 156.666666666667 21.3333333333333 21.5 4.25 3.5 2.58333333333333 0.55759602311211 0.0279483002656927 0.0166311440919872 0.00897384880146341 0.0153810355830317 0.282811612863954 0.011241790007009 0.079416245274752 0 0.000481695568400771 0 0 0 0.00146198830409357 0 0 0 0.000524109014675052 0.00122549019607843 0 0 0 0.000548245614035088 0.00404089267285862 0.00104166666666667 0 0.000764525993883792 0 0 0 0 0 0.00281540247678019 0 0.00122549019607843 0 0.000548245614035088 0 0 0.00182279804712811 0.000524109014675052 0 0 0 0.00572928247199083 0 0.00158151945793608 0.00291928927519829 0 0.000481695568400771 0 0 0.00217515983125388 0.0101930278594832 0.00647648010305279 0.00809979767304732 0.0354560203993406 0.00373438414991216 0.00577771882084184 0.0340937472600612 0.00507678588212701 0.00782825998320087 0.0632032022570785 0.163038376300879 0.627110593326807 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0.00151515151515152 0.00151515151515152 0.00297619047619048 0.00148809523809524 0 0 0 0 0 0 0.00297619047619048 0 0.00219298245614035 0 0 0 0 0 0.00297619047619048 0 0 0.000905797101449275 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0.00219298245614035 0.00297619047619048 0 0 0 0.00297619047619048 0 0 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0.00112612612612613 0 0 0.00624446910678795 0 0 0.00426587301587302 0 0 0.00112612612612613 0 0 0 0 0 0 0 0.000905797101449275 0.00242094861660079 0 0 0.00258458646616541 0 0.00297619047619048 0.00960958694201448 0.00936444371799063 0.0157602704930603 0 0 0.00407268170426065 0 0 0 0 0 0 0.0139215473001705 0.00337837837837838 0.00756306527187534 0.0132669889916267 0.0150753602746356 0.0181070369023268 0.00219298245614035 0.00148809523809524 0.00349038356761469 0.0160578811894601 0.0784663269431576 0.148247937626275 0.585584442847505
