"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oh_Proportion" "Transition_ic_Proportion" "Transition_ce_Proportion" "Transition_hh_Proportion" "Transition_ho_Proportion" "Transition_gj_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_he_Proportion" "Transition_ie_Proportion" "Transition_jo_Proportion" "Transition_gh_Proportion" "Transition_ge_Proportion" "Transition_se_Proportion" "Transition_eg_Proportion" "Transition_cc_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_ih_Proportion" "Transition_ei_Proportion" "Transition_ch_Proportion" "Transition_co_Proportion" "Transition_gc_Proportion" "Transition_jg_Proportion" "Transition_oc_Proportion" "Transition_sj_Proportion" "Transition_ji_Proportion" "Transition_hi_Proportion" "Transition_jc_Proportion" "Transition_ii_Proportion" "Transition_jh_Proportion" "Transition_ig_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ggh_Proportion" "Transition_osi_Proportion" "Transition_jcs_Proportion" "Transition_osg_Proportion" "Transition_iso_Proportion" "Transition_soh_Proportion" "Transition_sos_Proportion" "Transition_ics_Proportion" "Transition_sgc_Proportion" "Transition_gce_Proportion" "Transition_jis_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_esi_Proportion" "Transition_eee_Proportion" "Transition_iee_Proportion" "Transition_sie_Proportion" "Transition_scc_Proportion" "Transition_gci_Proportion" "Transition_ssc_Proportion" "Transition_hgs_Proportion" "Transition_hsg_Proportion" "Transition_ihs_Proportion" "Transition_shg_Proportion" "Transition_ish_Proportion" "Transition_egs_Proportion" "Transition_geg_Proportion" "Transition_gsh_Proportion" "Transition_ige_Proportion" "Transition_gjs_Proportion" "Transition_ghg_Proportion" "Transition_esg_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_ise_Proportion" "Transition_hsi_Proportion" "Transition_ies_Proportion" "Transition_ihe_Proportion" "Transition_heg_Proportion" "Transition_egi_Proportion" "Transition_gih_Proportion" "Transition_sge_Proportion" "Transition_igg_Proportion" "Transition_igi_Proportion" "Transition_oos_Proportion" "Transition_igh_Proportion" "Transition_ges_Proportion" "Transition_ccs_Proportion" "Transition_eis_Proportion" "Transition_sei_Proportion" "Transition_gse_Proportion" "Transition_egg_Proportion" "Transition_sjs_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_ois_Proportion" "Transition_csh_Proportion" "Transition_cis_Proportion" "Transition_jsh_Proportion" "Transition_sig_Proportion" "Transition_iii_Proportion" "Transition_eih_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_iig_Proportion" "Transition_cos_Proportion" "Transition_chs_Proportion" "Transition_jgs_Proportion" "Transition_gcs_Proportion" "Transition_gis_Proportion" "Transition_shs_Proportion" "Transition_isi_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_sii_Proportion" "Transition_ggi_Proportion" "Transition_gii_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_sgi_Proportion" "Transition_gig_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_ggg_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 440.666666666667 360.666666666667 40.6666666666667 33.25 3.25 2.25 0.583333333333333 0.386667328961041 0.0410458458285849 0.0522113140637457 0.00835629878990924 0.00399260641813415 0.298796840729821 0.0313523464378237 0.177577418770941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00031328320802005 0.00031328320802005 0.00031328320802005 0.00031328320802005 0.000380517503805175 0.000465549348230912 0.000465549348230912 0.000744047619047619 0.000744047619047619 0.000931098696461825 0.000980392156862745 0.00124438190448188 0.00128205128205128 0.00218082922824302 0.00246181095196091 0.0030629557910878 0.00437864584504877 0.00682209761913606 0.00736332989036301 0.00883654925751248 0.00962843400675435 0.0226277883872467 0.0289909030241514 0.0317123996450637 0.121858763714574 0.196172563963681 0.545412160364876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.00100401606425703 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00122549019607843 0.00167605907500972 0.00184575193094048 0.00184575193094048 0.00301946085112827 0.00301946085112827 0.00351241859760715 0.00352112676056338 0.00446710942441493 0.00603737410725184 0.00636745308452019 0.0069156337781304 0.0205583587060239 0.0233179681291826 0.0604534715621421 0.0628287680954064 0.111035276964076 0.203775035032863 0.463171546283445
2 405.25 315.75 45.75 35.5833333333333 4.75 2.33333333333333 1.08333333333333 0.392229911486932 0.0359800403689996 0.0434232939093913 0.0049030146241794 0.00521363267445236 0.30485314788526 0.0359176302675095 0.177479328783276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000263713080168776 0.000263713080168776 0.000936329588014981 0.000936329588014981 0 0 0 0 0 0 0.000315656565656566 0 0.000396825396825397 0.00602894409717704 0.000396825396825397 0.00300474275592759 0 0.00316855532953932 0.00837369088229207 0.00126525495305116 0.00197878042023612 0.0081379476298629 0.0196640886639262 0.00729443126030007 0.0155958948962177 0.014103921011734 0.0260219572931581 0.0273234201422022 0.12380220285352 0.190794207556522 0.539932567558659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000809061488673139 0.000809061488673139 0.00161812297734628 0.00238095238095238 0.00263085081046246 0.00269898230424546 0.00284366187853669 0 0 0 0 0.00259778202739368 0.000631313131313131 0 0.00196646889608055 0.00277553038475369 0.0034399122991356 0.00578978982466463 0.00596753818202464 0.000809061488673139 0.00600462554346049 0.00115740740740741 0.00203460038986355 0.00168625447112928 0.00593522825893802 0.00628357417767229 0.00470253856176186 0.0103570470011451 0.00087719298245614 0.0150306613228177 0.0128291992976459 0.00951503539728501 0.024565208177721 0.0614813929222143 0.0422262955644726 0.115142557838649 0.142552235143734 0.497956916584759
3 392.75 304.416666666667 38.75 39.1666666666667 5.33333333333333 3.58333333333333 1.5 0.383388332491761 0.0518647061965282 0.0404953085796599 0.00262932151706264 0.00619249626465516 0.303570314873371 0.0321275432953457 0.179731976781617 0 0 0 0 0 0 0 0 0 0 0.000247279920870425 0.000247279920870425 0.000247279920870425 0.000478927203065134 0.000478927203065134 0.000559919163298471 0.00068870523415978 0.00104635902528997 0 0.000202265372168285 0 0.000478927203065134 0 0 0.000247279920870425 0.00130208333333333 0 0.00142098884105822 0.000586854460093897 0 0.000478927203065134 0.003429923394434 0 0.00284892923787953 0 0.00214226659145552 0.0148300850129433 0.00188839720658019 0.00116763243722491 0.0103694652145201 0.0128703895332086 0.00160627818858844 0.0149058857951097 0.0189750768749543 0.0160936944961923 0.037864187115177 0.101553577659783 0.206264857185211 0.544477350131594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000468164794007491 0.000468164794007491 0.000470809792843691 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00136612021857923 0.00173611111111111 0.00173611111111111 0 0 0.000470809792843691 0 0.00119047619047619 0.000468164794007491 0 0.000938974586851182 0 0.00136612021857923 0 0 0 0.000468164794007491 0.0179978651920504 0 0.00165864098448368 0.000470809792843691 0.000468164794007491 0.00277061460060171 0.00213209577616357 0.00285176217379607 0.00140978437969487 0.00884574239183119 0.000941619585687382 0.00255659640905543 0.0083749325989875 0.00353923515702225 0.00494108454020852 0.00277590459827411 0.00964183062274524 0.00476087231417403 0.0103983972818481 0.013208107845634 0.00294438403079846 0.0161214331317126 0.0837727054912627 0.0282477761128927 0.0777344403443991 0.167881791803215 0.50764331108628
4 326.75 242.75 37.1666666666667 33.75 7.16666666666667 3.25 2.66666666666667 0.395137300048755 0.0403238696727634 0.038935333798293 0.00224973823881834 0.00940138132474557 0.269628284621928 0.0311573700792106 0.213166722215486 0 0 0 0 0 0 0.000170068027210884 0.000170765027322404 0.000398724082934609 0.000398724082934609 0 0.000170068027210884 0.000797448165869219 0.000341530054644809 0.000967516193080103 0 0.000992063492063492 0 0 0.00141242937853107 0.000398724082934609 0 0 0 0 0.00111111111111111 0 0 0 0 0 0.00625298809617187 0 0.00446232758631594 0.00132275132275132 0.000170068027210884 0.0118706457697281 0.00822447419030449 0 0.0113360432251206 0.0199914453287651 0.00297472925260643 0.0201871465593689 0.0235405062755327 0.0221168388636587 0.0320134384460995 0.0987307626377015 0.192589838064987 0.536886824627829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000314465408805031 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000698489986377996 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.00113954791705586 0.00152357249462882 0.00213675213675214 0 0.000825082508250825 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0 0.000628930817610063 0.000943396226415094 0 0.00272440077674405 0.000314465408805031 0.00203418959407462 0 0 0 0 0.0106192627624558 0 0.00336161039806267 0.00454784513391351 0.00299011163615275 0.00463199784894584 0.00584814657597413 0.00350072873559854 0.00270980723047965 0.0110344384937103 0.00194175807533372 0.00152357249462882 0.00457071748388646 0.00391891431630344 0.00535916466399723 0.0087415796814315 0.00964595254486328 0.00850505822374263 0.0142249488324583 0.0128496040471712 0.00772911004765843 0.0292635346967562 0.0671598567723278 0.0534893871956586 0.0957861713856109 0.167526335713051 0.43792541586626
5 298.333333333333 229.416666666667 30.8333333333333 27.5 5.66666666666667 2.91666666666667 2 0.392603654575956 0.0432871965188844 0.0262066481184048 0.00316983778072886 0.0157628656706504 0.259629384557628 0.0303261347160986 0.229014278061649 0 0 0 0 0 0.00163398692810458 0.000292397660818713 0.000217580504786771 0 0.000294464075382803 0 0 0.00088132581158432 0.000808597053250128 0.000292397660818713 0.000217580504786771 0 0.000217580504786771 0 0.000217580504786771 0.000292397660818713 0 0 0 0.000217580504786771 0.00293607026143791 0 0 0 0 0 0.00744309577173273 0 0.0077190166252375 0 0.000512044580169574 0.0130224323173164 0.00139752520401573 0.000584795321637427 0.0150960847091147 0.00889065169994278 0.00454242103281013 0.0149884028036759 0.0101693911309844 0.0192037577966329 0.0521883770710197 0.134066160954367 0.169403535593859 0.532252767751335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000603864734299517 0.00396825396825397 0 0 0.000473484848484848 0.000473484848484848 0.00185185185185185 0.000473484848484848 0 0 0 0 0 0 0 0.00101461038961039 0 0 0.000603864734299517 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0 0.00401334776334776 0.00311147186147186 0 0.00148809523809524 0 0.00108225108225108 0 0 0 0 0.00783651734738691 0 0.00746602934102934 0.00955988455988456 0.0045995670995671 0.00317911255411255 0.00162337662337662 0.0045995670995671 0.0107304279858628 0.0115421162975511 0.00209686147186147 0.00209686147186147 0.0132635882635883 0.0045544733044733 0.00282620459250894 0 0.0104647667147667 0.00120772946859903 0.00405844155844156 0.00776887665474622 0.0082972582972583 0.0114119840664463 0.112303726763109 0.0423538568919004 0.123586813432351 0.151655561416717 0.415535386831153
6 295.5 226.833333333333 33.9166666666667 25.6666666666667 5.08333333333333 2.75 1.25 0.404715476292843 0.0415785490708709 0.0324015803042161 0.00418183293556179 0.00995968644229197 0.295838844342484 0.0290570673167391 0.182266963294993 0 0 0 0 0.000189393939393939 0 0 0.000378787878787879 0 0.000189393939393939 0 0.000189393939393939 0.000189393939393939 0 0 0 0 0 0 0.000718390804597701 0 0.000189393939393939 0 0 0 0 0 0.000242248062015504 0.000960638866613205 0 0 0.00474028935041247 0 0.00632114978045211 0.00122549019607843 0 0.00833898793000637 0.00496378621378621 0.000431642001409443 0.00950050006992551 0.00723220577871741 0 0.0126583604179835 0.00499168524134324 0.0154082827260218 0.0396269051574137 0.146779702809468 0.211681318776877 0.52285265824112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000418760469011725 0.000418760469011725 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0.00420663925689051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000837520938023451 0 0.00371108415641426 0 0 0 0 0 0 0.0087747646645075 0 0.0016750418760469 0.00174647748546655 0.00293132328308208 0.00412984462542598 0.000837520938023451 0.00258399842349 0.00272686964232929 0.00293132328308208 0.00174647748546655 0.00174647748546655 0.00300275889250172 0.00596727803349145 0.00517785003448616 0.0018179130948862 0.00780853379877914 0.00198412698412698 0.00300275889250172 0.00847984084756181 0 0.0084575359379134 0.0778494573227238 0.0393079502255442 0.101518015649137 0.157847733939405 0.534680319989156
7 261.333333333333 199.833333333333 27 26.4166666666667 3.75 3.08333333333333 1.25 0.472757581474967 0.0572999360378851 0.0349922071128462 0.00182794441209908 0.00734636862434689 0.231124937424467 0.0281821574987254 0.166468867414663 0 0 0 0.000238095238095238 0 0 0 0 0 0 0 0 0.000476190476190476 0 0.000238095238095238 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0.000400641025641026 0 0 0.00377174908424908 0 0.00115270146520147 0 0 0.00285714285714286 0.0048566901508078 0.000238095238095238 0.0106192242589301 0.00270604395604396 0.0019047619047619 0.00752398616369205 0.0180242368661486 0.0223749140410757 0.0317216245903248 0.10941684024125 0.145617068042994 0.63298833594287 0 0 0 0 0 0 0 0 0 0 0.000385802469135802 0.000505050505050505 0.000505050505050505 0.00101010101010101 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000505050505050505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0 0 0 0.000505050505050505 0 0 0 0 0 0 0 0 0 0 0 0 0.00101010101010101 0.00151515151515152 0 0.00303030303030303 0 0 0 0 0 0 0.00202020202020202 0 0.00454545454545455 0.000890852974186308 0.00202020202020202 0.00291105499438833 0 0.00101010101010101 0.00240600448933782 0.00543630751964085 0.000505050505050505 0 0.00582210998877666 0 0.00127665544332211 0.00101010101010101 0.00749481999481999 0.00320512820512821 0.00151515151515152 0.00392115600448934 0.00467171717171717 0.0176499426499427 0.052038230469603 0.042667209333876 0.0751299626299626 0.123687809104476 0.628183014334975
8 219.916666666667 173.416666666667 20.8333333333333 21.75 1.5 1.91666666666667 0.5 0.465470916410913 0.0550478371243962 0.0278819693742829 0.00281238668153414 0.0108220886695269 0.205233035862272 0.0343391189166745 0.1983926469604 0 0 0.000425170068027211 0 0 0 0 0 0 0 0 0 0 0.000316856780735108 0 0 0 0 0 0 0 0 0 0 0.000425170068027211 0 0 0.000316856780735108 0 0 0 0.00212585034013605 0.00252525252525253 0.00273998488284203 0 0.00425279931093885 0.00233439383357906 0.00245360891748724 0.00494493663098314 0.00642562425371313 0.0049165120593692 0.000645994832041344 0.00930991755951017 0.0281046057624131 0.0168983315702743 0.0618872410670662 0.115144745778217 0.158049888988901 0.575756257989751 0 0 0 0 0 0 0 0 0.00108225108225108 0.00108225108225108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00216450216450216 0 0.00108225108225108 0.00347222222222222 0 0 0 0 0 0.00108225108225108 0.00612207602339181 0.00216450216450216 0.00694444444444444 0.00324675324675325 0.00216450216450216 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0 0 0.006329164662498 0.00108225108225108 0.00108225108225108 0.00216450216450216 0.00169953503286837 0 0.00324675324675325 0.00432900432900433 0 0.0217589428115744 0.140904423305739 0.034049823633157 0.110906211235159 0.163775178687459 0.473734947638456
9 212 170.25 18.25 20.75 1.66666666666667 1 0.0833333333333333 0.473605044334702 0.0522315447059177 0.0362139484449484 0.00349895680436253 0.00628152599415051 0.201640852843895 0.0340913931451399 0.192436733726884 0 0.000744047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0 0 0 0 0.00396825396825397 0 0 0.00181747600225861 0.000744047619047619 0.00277777777777778 0.00204613095238095 0.00963757332643202 0.000329380764163373 0.0132068452380952 0.00489786464688761 0.0292069128625038 0.0226015105099091 0.0460082226873955 0.106506662301934 0.154843471397844 0.599919774707021 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.003064012490242 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0.00932539682539683 0.000683060109289617 0.000683060109289617 0 0.0028735632183908 0 0 0 0 0.0256716757741348 0.10450359302465 0.0576925578974759 0.131923639440245 0.0775128332505382 0.575451528495268
10 255.25 200.5 25.5 23.6666666666667 3.08333333333333 2.16666666666667 0.333333333333333 0.471496891907456 0.0453723751444709 0.0268069055971639 0.00714212260864553 0.00667054008646982 0.242907170416418 0.0244823131016501 0.175121681137726 0.000322997416020672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00178498572011424 0 0.000322997416020672 0 0 0 0 0 0.000423011844331641 0 0.00106837606837607 0 0 0.00134408602150538 0.00623696533270373 0 0.000645994832041344 0 0.00464078931820867 0.00161498708010336 0.00566302289858179 0.00285373541187495 0.00402223918799243 0.00161498708010336 0.00355803536550431 0.00882405276524206 0.0190202723985136 0.00957659795630209 0.0333813837435184 0.11332435300155 0.182609640028986 0.597146489112405 0 0 0 0 0.000757575757575758 0.000757575757575758 0.00297619047619048 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0.000757575757575758 0.00227272727272727 0 0.000757575757575758 0 0.000757575757575758 0 0 0 0 0.000757575757575758 0.00555555555555556 0.000757575757575758 0.00151515151515152 0.00707070707070707 0.00314992025518341 0 0.000757575757575758 0.000757575757575758 0.00239234449760766 0.000757575757575758 0 0 0.00151515151515152 0.000757575757575758 0 0.00639204545454545 0 0.000757575757575758 0.00151515151515152 0.00596590909090909 0.0283333333333333 0.0836453167351696 0.022464041203442 0.094285890169297 0.18862126295751 0.520515004568071
