"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ji_Proportion" "Transition_cg_Proportion" "Transition_ho_Proportion" "Transition_jj_Proportion" "Transition_ij_Proportion" "Transition_oo_Proportion" "Transition_co_Proportion" "Transition_gh_Proportion" "Transition_ei_Proportion" "Transition_jo_Proportion" "Transition_so_Proportion" "Transition_go_Proportion" "Transition_eg_Proportion" "Transition_ih_Proportion" "Transition_jc_Proportion" "Transition_gg_Proportion" "Transition_eh_Proportion" "Transition_oc_Proportion" "Transition_cc_Proportion" "Transition_ce_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_ic_Proportion" "Transition_jh_Proportion" "Transition_es_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_sg_Proportion" "Transition_ch_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsi_Proportion" "Transition_gis_Proportion" "Transition_ocg_Proportion" "Transition_ccs_Proportion" "Transition_ssj_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_jjs_Proportion" "Transition_ijs_Proportion" "Transition_ssg_Proportion" "Transition_gsc_Proportion" "Transition_ghs_Proportion" "Transition_sos_Proportion" "Transition_sei_Proportion" "Transition_eis_Proportion" "Transition_jgs_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_ihs_Proportion" "Transition_jcs_Proportion" "Transition_isc_Proportion" "Transition_ces_Proportion" "Transition_cse_Proportion" "Transition_ses_Proportion" "Transition_hsc_Proportion" "Transition_ocs_Proportion" "Transition_sis_Proportion" "Transition_shs_Proportion" "Transition_sgs_Proportion" "Transition_igs_Proportion" "Transition_sjs_Proportion" "Transition_ess_Proportion" "Transition_gig_Proportion" "Transition_scs_Proportion" "Transition_hgs_Proportion" "Transition_chg_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 321.416666666667 259.833333333333 24.6666666666667 32.0833333333333 2 2.58333333333333 0.25 0.382419719559001 0.0495919064409217 0.0502679390367809 0.00632027785630276 0.00474614203071648 0.252065906767366 0.0404319925639438 0.214156115744967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0.000599520383693046 0.000771604938271605 0.000786163522012579 0.000786163522012579 0.00119849286515953 0.00119849286515953 0.00247341809092409 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00300982800982801 0.00321708445209644 0.00528069206230126 0.00690901859570698 0.0244054612222342 0.0328690575166004 0.0378193674818574 0.146318825330385 0.163706025497581 0.560475505684725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.0014367816091954 0.0014367816091954 0.00154320987654321 0.00154320987654321 0.00238095238095238 0.00245896079229413 0.00531817264100729 0.00925925925925926 0.00925925925925926 0.0101750101750102 0.044232640727233 0.0479594048655728 0.0712841606089864 0.154519134647285 0.181647886083808 0.454629424672104
2 210.083333333333 160 20.1666666666667 24.75 2.41666666666667 2.41666666666667 0.333333333333333 0.420913330356322 0.0376265814559807 0.0360725783257125 0.00831571846072686 0.0115964877302937 0.238747376753647 0.0409786095032927 0.205749317414024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.00104166666666667 0.00119904076738609 0.00157232704402516 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00189393939393939 0 0.000382262996941896 0 0.000636132315521628 0.00647073250490517 0 0.00157232704402516 0.00398683968359087 0 0 0 0.00051440329218107 0.00293560606060606 0.0073584805639573 0.00114678899082569 0.0379410521222679 0.0293262402931548 0.035548782773357 0.142621866290012 0.136843126630268 0.497035378645087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00120772946859903 0.00238095238095238 0.00252525252525253 0.00252525252525253 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00387596899224806 0 0.00673439581427448 0 0 0.00761798587885544 0 0.00320512820512821 0 0 0.0016025641025641 0.0813430988838412 0.0398297726596513 0.0427459474907878 0.136553921475374 0.185929105990034 0.381356219779612
3 123.583333333333 94.1666666666667 13 13.8333333333333 1.08333333333333 1.33333333333333 0.166666666666667 0.389235630249771 0.0288806724170231 0.0492938500883397 0.00821037479854742 0.0111591524580099 0.204728463243229 0.0566298175819292 0.25186203916315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00592627401837928 0 0.00124378109452736 0.00100401606425703 0 0 0 0 0.00277777777777778 0.0195429161699782 0.0030393457117595 0.0554088145851854 0.0397359782775628 0.0560433335651952 0.162503343956606 0.129190137289541 0.52358428148923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0.115017378667264 0.0175973898799986 0.15018166610844 0.121079272532362 0.131487920875793 0.451108233408005
4 117.916666666667 93.3333333333333 10.9166666666667 11.0833333333333 0.916666666666667 1.25 0.416666666666667 0.399874225070079 0.0316666812608076 0.0569782389252326 0.00968051335745636 0.0225989278204227 0.191147643369263 0.0561859980363508 0.231867772160388 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00555555555555556 0 0.00555555555555556 0 0 0 0 0 0.00245098039215686 0 0 0 0 0.0115434323456875 0 0 0 0 0 0.00662393162393162 0 0 0.00254330232206338 0.00268817204301075 0.0462972688492926 0.0317509291942017 0.0497207498612047 0.169877315981649 0.109268329418136 0.553436304814545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0242717522129287 0 0 0 0 0.00641025641025641 0.110359364515375 0.0178649237472767 0.0677661798985328 0.190135633997527 0.11424579671063 0.44811275917414
5 108.75 84.8333333333333 11 10.8333333333333 0.916666666666667 1.16666666666667 0 0.438986759816438 0.0327248254907376 0.0409673755223478 0.0115557980298062 0.0145574226536563 0.169723605611982 0.0392388623418807 0.252245350533151 0 0 0 0 0 0 0 0 0 0 0.004117742987606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00838497499456404 0 0 0.00203252032520325 0 0 0.0109703637100897 0.00297619047619048 0 0.0119036414463244 0.00862433862433862 0.048658789883105 0.0375629435475326 0.0197585978835979 0.147823984503528 0.133887709215349 0.563298202402571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00699013157894737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00959429824561404 0 0 0 0 0.0125 0.122420748576902 0.0270658891547049 0.0537907268170426 0.188630723421745 0.0963986311461156 0.482608851058929
6 115.75 90.1666666666667 9.66666666666667 13.9166666666667 0.25 1.5 0.25 0.463730924207039 0.0427991360702238 0.0364194678356084 0.0105710863875062 0.0113420408297252 0.161871054916988 0.0425421120110156 0.230724177741893 0 0 0 0 0 0 0 0.000677506775067751 0.00208333333333333 0.00252525252525253 0.00120772946859903 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0.00208333333333333 0 0 0 0 0 0.00208333333333333 0 0 0.000677506775067751 0.0119888214517371 0.0622006916582271 0.0286618314026149 0.0246003287753646 0.166246919240806 0.0817891002818643 0.611090978312065 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00260416666666667 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0141121031746032 0.14547107984608 0.0393435846560847 0.0437049062049062 0.142539983164983 0.075920664983165 0.525529100529101
7 117.25 89.3333333333333 10.0833333333333 14.9166666666667 0.75 1.75 0.416666666666667 0.497132495920555 0.0401090091620411 0.0241932315870598 0.00933662450126554 0.00966760885983605 0.162829024925734 0.049773480258687 0.206958524784821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0.000499001996007984 0 0 0 0.00352011494252874 0 0 0.00193578360520339 0 0 0.00208333333333333 0.00104166666666667 0.0028735632183908 0.00275125424826024 0.00261399371069182 0.0804095593722924 0.0303786527480474 0.0396294861827651 0.106045577561086 0.107999242650586 0.614746547541918 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0.00193798449612403 0.00193798449612403 0 0 0 0 0 0.179794269264894 0.0416190913329836 0.0788159635199109 0.0845864054516135 0.0972522310297708 0.500444959297469
8 115.833333333333 90.5833333333333 9.75 12.9166666666667 1 1.5 0.0833333333333333 0.5451335316124 0.0285535055988491 0.0263098130178844 0.0114054494032959 0.0120064489491527 0.158005839514038 0.0270915932514536 0.191493818652926 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0.00925925925925926 0 0 0 0 0 0.00368265993265993 0.00520833333333333 0.00134408602150538 0.0038693385467579 0.0118888452075689 0.0599423758188153 0.00738535731643188 0.0188715692690281 0.103575425263222 0.118180533029575 0.650397625929833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00928381962864721 0 0 0 0 0.0138888888888889 0 0 0 0 0.0128205128205128 0.128883916586756 0.00490196078431373 0.040650648840304 0.122185590403136 0.142060697359886 0.525323964687555
9 109.5 87 8.08333333333333 12.3333333333333 0.666666666666667 1.25 0.166666666666667 0.488698780998444 0.0403998795730514 0.0374184298337776 0.00605729365876373 0.0169085573870411 0.160132806538247 0.0380639786825361 0.212320273328139 0 0 0 0 0.000946969696969697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0.000946969696969697 0.00238095238095238 0 0.00462442194725659 0 0 0 0 0.0043859649122807 0.00729438514353558 0.00490196078431373 0.0559126455980122 0.0188812344777264 0.0342417170506415 0.139815886218941 0.100790529182111 0.622624110658037 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0.0016025641025641 0 0 0 0 0.0119047619047619 0.126256603702256 0.0147342995169082 0.084294097609315 0.150618976434194 0.0680214813366987 0.531705392031479
10 117.416666666667 89.75 11.8333333333333 12.9166666666667 1.41666666666667 1.41666666666667 0.0833333333333333 0.544264852287511 0.0355224107513775 0.0221657787678747 0.00215011157634108 0.0056296319437802 0.167751246743567 0.0271242966497503 0.195391671279798 0 0 0 0.00213675213675214 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0 0 0 0.000423011844331641 0 0 0.00443007662835249 0 0 0.00516426959954879 0 0 0 0 0 0.00362814004945985 0.00502440424921045 0.10663325938712 0.0157213578074181 0.0188945107187976 0.128826943276286 0.0934177071064893 0.614741712790103 0 0 0 0 0 0.00101626016260163 0.00101626016260163 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0.0105855855855856 0 0 0 0 0.0121527777777778 0.223463568132686 0.0166847041847042 0.0389872071409015 0.109376402758756 0.0579346187846905 0.516661403188484
