"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_he_Proportion" "Transition_eo_Proportion" "Transition_cg_Proportion" "Transition_so_Proportion" "Transition_ce_Proportion" "Transition_ie_Proportion" "Transition_ei_Proportion" "Transition_gc_Proportion" "Transition_ic_Proportion" "Transition_og_Proportion" "Transition_ee_Proportion" "Transition_oe_Proportion" "Transition_jo_Proportion" "Transition_sj_Proportion" "Transition_oi_Proportion" "Transition_cj_Proportion" "Transition_eg_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gsj_Proportion" "Transition_hes_Proportion" "Transition_gsi_Proportion" "Transition_seo_Proportion" "Transition_gse_Proportion" "Transition_esg_Proportion" "Transition_sjs_Proportion" "Transition_jis_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_isi_Proportion" "Transition_egs_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_ses_Proportion" "Transition_cse_Proportion" "Transition_iei_Proportion" "Transition_shs_Proportion" "Transition_gcs_Proportion" "Transition_osc_Proportion" "Transition_ics_Proportion" "Transition_ees_Proportion" "Transition_oee_Proportion" "Transition_seg_Proportion" "Transition_ssg_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_jsg_Proportion" "Transition_ggg_Proportion" "Transition_gig_Proportion" "Transition_sis_Proportion" "Transition_csc_Proportion" "Transition_scs_Proportion" "Transition_jgs_Proportion" "Transition_sgs_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 325.666666666667 275.5 25.0833333333333 22.4166666666667 1.66666666666667 0.666666666666667 0.333333333333333 0.385401655914685 0.0467014111293934 0.0469747489199097 0.0118876602703568 0.00595042040423769 0.287573772478911 0.0315025210656092 0.184007809816897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000465549348230912 0.000651041666666667 0.000886524822695035 0.000886524822695035 0.00109649122807018 0.00139664804469274 0.00152755046372068 0.00209698317176032 0.00369293094660398 0.00416160818115255 0.00592243186582809 0.00672940326271547 0.0151330797000423 0.0222660247228708 0.0346434364111671 0.0417701207514259 0.121007059321793 0.208154307213764 0.527512284054106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00134408602150538 0.00193798449612403 0.00203252032520325 0.00203252032520325 0.00260416666666667 0.00268817204301075 0.0036231884057971 0.0036231884057971 0.00520833333333333 0.00909842845326716 0.0191297363652953 0.0386667194594024 0.0655089083335531 0.0676701088915709 0.127470697508136 0.218609484470585 0.427407670474044
2 233.916666666667 187.333333333333 20.3333333333333 22.4166666666667 1.41666666666667 2.33333333333333 0 0.368066121894497 0.0554555828144736 0.0380377635983399 0.0148360902645284 0.00682923168195982 0.240554768173282 0.0247231550096778 0.168163953229908 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.00040650406504065 0.000434027777777778 0.000434027777777778 0.000434027777777778 0.00068870523415978 0.000868055555555556 0.00372503840245776 0.0833333333333333 0 0 0 0 0 0.00588982719524591 0 0.00482257511057598 0.00109520929920043 0.000434027777777778 0.0210967505548656 0.0166398236923728 0.00878898624360099 0.0689362122063735 0.0172270585557056 0.0490702499311636 0.177627849619052 0.454307872491812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00132275132275132 0.0043859649122807 0.0043859649122807 0.0277777777777778 0 0 0.00245098039215686 0 0 0.00632394940840473 0.0330687830687831 0 0 0 0 0.0183022821531713 0.00574194324194324 0.0331192129683742 0.100647109541738 0.0497246996050006 0.162919047729869 0.38184011497605
3 150.833333333333 113.916666666667 15.1666666666667 17.1666666666667 2.33333333333333 2.08333333333333 0.166666666666667 0.481445739832554 0.0374383219181341 0.027910909556366 0.00826128882170706 0.026473677828843 0.277027437982068 0.0209914740053422 0.120451150054986 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.000968992248062015 0.000968992248062015 0.00117370892018779 0 0.000636132315521628 0 0 0 0 0 0 0.000636132315521628 0 0 0 0.00139370807309739 0.00234741784037559 0.00148809523809524 0 0 0.00256741699328518 0.00789092507961926 0.00727039001686889 0.0118589988586757 0.00640977855419785 0.0365456435424126 0.0294048341827075 0.0678339253598441 0.134108198761956 0.601891111487133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00138888888888889 0.00203252032520325 0.00203252032520325 0 0 0 0 0 0 0 0 0 0.00421985815602837 0 0.00421985815602837 0.00138888888888889 0.00227541371158392 0.0151797385620915 0 0.00809940997675666 0.00366430260047281 0.051149759159848 0.081097908632403 0.0574985365818419 0.166869118659085 0.431330085886315
4 90.8333333333333 67.5833333333333 8.33333333333333 11.3333333333333 0.916666666666667 2.33333333333333 0.333333333333333 0.550593645009275 0.0581423489233747 0.0320082501439346 0.0185912748335642 0.0274372217990161 0.172674199432465 0.0176061842465332 0.122946875611837 0 0 0 0 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0 0 0 0 0 0.000750750750750751 0 0 0 0 0 0.00119047619047619 0.00119047619047619 0 0.0285285285285285 0.00491741741741742 0.00119047619047619 0.00176715176715177 0.0104538854538855 0.00331485331485331 0.0594179281679282 0.0198610698610699 0.0663520581283739 0.0913721206484365 0.625233347930716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0.0039702868852459 0.00434231069476971 0.0258406320800329 0.111642828476138 0.0681513595633508 0.101615070387152 0.593246122672176
5 57.0833333333333 39.9166666666667 5.5 9.16666666666667 0.583333333333333 1.5 0.416666666666667 0.500159788510322 0.0547926061762164 0.039071249292519 0.0113955072230971 0.033873865026372 0.202661076871204 0.0218335461629609 0.136212360737309 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0.00284223278352437 0.000786163522012579 0.000786163522012579 0.00306926854484363 0 0.00378787878787879 0 0.0156926406926407 0.00359461966604824 0.0213771062596894 0.00248684379412142 0.0736991241122547 0.0104517669987707 0.0932784807101722 0.0861583150851812 0.596762122793577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00505952380952381 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0.0328373015873016 0.00457875457875458 0.0254120879120879 0.172911689759516 0.0346382783882784 0.0659672453150714 0.569706229760577
6 34.1666666666667 22.4166666666667 4.25 5 0.583333333333333 1.66666666666667 0.25 0.476611765737405 0.0456727710718546 0.0573630250804164 0.00670553574965339 0.0245798664276925 0.24492068369839 0.0111101307073174 0.13303622152727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0.0132373107248375 0 0.0123415527827293 0 0.00136612021857923 0.00225225225225225 0.0127717002717003 0.00972918407128933 0.0462819951657173 0.0215829254417783 0.0478759474259773 0.107329327652982 0.639646098406572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00416666666666667 0 0 0.00219298245614035 0 0.0134259259259259 0.00925925925925926 0.0424046226677806 0.0861645535407145 0.0184253525971792 0.0671507199370976 0.587950267826429
7 44.6666666666667 32 3.75 7.08333333333333 0.0833333333333333 1.5 0.166666666666667 0.458455805724293 0.0528308514949191 0.0400778728218433 0.0132010253784447 0.0218478460731409 0.168222384234674 0.0183178152063481 0.143713065733003 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.00245098039215686 0.00513915243516762 0 0 0 0.00168350168350168 0.00742069821017189 0.00971196559431853 0.0128676470588235 0.0742896217841289 0.0123226589944856 0.0439734682094614 0.162307377633703 0.547949887068408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0.00320512820512821 0 0 0.0187908496732026 0.0233682081592298 0.182889216906245 0.0542653253179569 0.0634562075351549 0.478180075858094
8 48.5 36.25 3.66666666666667 7 0.5 0.833333333333333 0.25 0.554302089413229 0.0360129621649229 0.0476183393585354 0.00649305555555555 0.00528346381287558 0.221449097138118 0.02239037492883 0.106450617627933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0.00793650793650794 0.00974025974025974 0 0.000809061488673139 0.00833333333333333 0.020046232085067 0.0128879642471875 0.00540600176522507 0.0161375661375661 0.0270484154464737 0.0431198251586601 0.0724040971613787 0.179092020888137 0.588705381278197 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0.00157232704402516 0.0138888888888889 0.0138888888888889 0 0.0119047619047619 0 0 0.0324947589098533 0 0.0085167714884696 0.0138888888888889 0.0517557651991614 0.0510163971248877 0.0892108415693321 0.0914987135506003 0.486524612703858
9 68.5 48.4166666666667 5.75 11 0.75 2.33333333333333 0.25 0.531137270434073 0.0224361243520889 0.0308677313390304 0.016294142899485 0.00409821653890229 0.235470777542808 0.0271483162222455 0.132547420671367 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0.00652013797394232 0 0 0 0 0.00177304964539007 0.00623421717171717 0.0130108556832695 0.0441658108665477 0.0221246210762738 0.082102074711029 0.114912429118065 0.539139747223551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0.00173611111111111 0.00238095238095238 0.0340711607792353 0.0897482002683866 0.0752959126794531 0.130997351824215 0.495135390321726
10 70.4166666666667 51.0833333333333 7.41666666666667 9.5 0.916666666666667 1.16666666666667 0.333333333333333 0.615051375969025 0.0293908738865692 0.0153448229296332 0.00749755488714279 0.00330421146953405 0.203439419924671 0.0147905967818176 0.111181144151607 0 0 0.000801282051282051 0.000816993464052288 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.000816993464052288 0 0 0 0.00185185185185185 0.00459446599152482 0 0.00119047619047619 0.00333333333333333 0.00238095238095238 0.0176739926739927 0.00200746965452848 0.0163003663003663 0.0316686418157006 0.00377747252747253 0.0610592185592186 0.112974305106658 0.56395059733295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0.00864646399931661 0 0 0 0 0 0.00824372759856631 0.00647428782833888 0.0616303967316283 0.0698197741259214 0.112494636165856 0.563335874840694
