"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_go_Proportion" "Transition_oo_Proportion" "Transition_oc_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_ij_Proportion" "Transition_hi_Proportion" "Transition_og_Proportion" "Transition_oi_Proportion" "Transition_ji_Proportion" "Transition_io_Proportion" "Transition_ge_Proportion" "Transition_ch_Proportion" "Transition_ce_Proportion" "Transition_ic_Proportion" "Transition_gc_Proportion" "Transition_hg_Proportion" "Transition_ih_Proportion" "Transition_ei_Proportion" "Transition_cc_Proportion" "Transition_eg_Proportion" "Transition_eh_Proportion" "Transition_cg_Proportion" "Transition_jh_Proportion" "Transition_co_Proportion" "Transition_ci_Proportion" "Transition_jj_Proportion" "Transition_he_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_se_Proportion" "Transition_ee_Proportion" "Transition_ie_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_csc_Proportion" "Transition_jso_Proportion" "Transition_cse_Proportion" "Transition_jjs_Proportion" "Transition_jcs_Proportion" "Transition_hsg_Proportion" "Transition_gig_Proportion" "Transition_shh_Proportion" "Transition_eeh_Proportion" "Transition_gsc_Proportion" "Transition_iie_Proportion" "Transition_esg_Proportion" "Transition_ios_Proportion" "Transition_sjs_Proportion" "Transition_ges_Proportion" "Transition_hhs_Proportion" "Transition_gei_Proportion" "Transition_ghg_Proportion" "Transition_sso_Proportion" "Transition_ghs_Proportion" "Transition_ocs_Proportion" "Transition_jgs_Proportion" "Transition_ccs_Proportion" "Transition_cgc_Proportion" "Transition_gcs_Proportion" "Transition_shi_Proportion" "Transition_iig_Proportion" "Transition_jsg_Proportion" "Transition_ics_Proportion" "Transition_ihi_Proportion" "Transition_csh_Proportion" "Transition_geh_Proportion" "Transition_hih_Proportion" "Transition_egs_Proportion" "Transition_igg_Proportion" "Transition_ieg_Proportion" "Transition_his_Proportion" "Transition_iih_Proportion" "Transition_gii_Proportion" "Transition_hsh_Proportion" "Transition_ggi_Proportion" "Transition_jsi_Proportion" "Transition_ogs_Proportion" "Transition_isj_Proportion" "Transition_sij_Proportion" "Transition_sig_Proportion" "Transition_ehg_Proportion" "Transition_heh_Proportion" "Transition_sih_Proportion" "Transition_hse_Proportion" "Transition_ioi_Proportion" "Transition_iio_Proportion" "Transition_iei_Proportion" "Transition_oii_Proportion" "Transition_gee_Proportion" "Transition_hgs_Proportion" "Transition_eii_Proportion" "Transition_ehe_Proportion" "Transition_hes_Proportion" "Transition_iee_Proportion" "Transition_ish_Proportion" "Transition_chs_Proportion" "Transition_isg_Proportion" "Transition_eei_Proportion" "Transition_sei_Proportion" "Transition_hsi_Proportion" "Transition_ehs_Proportion" "Transition_ese_Proportion" "Transition_ihs_Proportion" "Transition_shs_Proportion" "Transition_isc_Proportion" "Transition_jsc_Proportion" "Transition_ieh_Proportion" "Transition_eee_Proportion" "Transition_sse_Proportion" "Transition_sie_Proportion" "Transition_ses_Proportion" "Transition_ggs_Proportion" "Transition_gsi_Proportion" "Transition_eis_Proportion" "Transition_osi_Proportion" "Transition_cgs_Proportion" "Transition_ssc_Proportion" "Transition_ccc_Proportion" "Transition_scc_Proportion" "Transition_seh_Proportion" "Transition_esh_Proportion" "Transition_gie_Proportion" "Transition_hso_Proportion" "Transition_jjj_Proportion" "Transition_ssj_Proportion" "Transition_sgi_Proportion" "Transition_sjj_Proportion" "Transition_eeg_Proportion" "Transition_she_Proportion" "Transition_igs_Proportion" "Transition_ssh_Proportion" "Transition_sos_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_ise_Proportion" "Transition_iis_Proportion" "Transition_ggg_Proportion" "Transition_esi_Proportion" "Transition_csi_Proportion" "Transition_iii_Proportion" "Transition_ees_Proportion" "Transition_sgg_Proportion" "Transition_ies_Proportion" "Transition_gsg_Proportion" "Transition_ssi_Proportion" "Transition_gis_Proportion" "Transition_sjg_Proportion" "Transition_ssg_Proportion" "Transition_sii_Proportion" "Transition_scs_Proportion" "Transition_isi_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 366 284.5 43.4166666666667 29.5833333333333 5.25 2.25 1 0.381678483431035 0.0490459688153462 0.060058338930126 0.0147559055037438 0.00802852171748671 0.281453905757911 0.0328395702595521 0.172139305584799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000228310502283105 0.000228310502283105 0.000228310502283105 0.00045662100456621 0.00045662100456621 0.00045662100456621 0.00045662100456621 0.00045662100456621 0.00045662100456621 0.00045662100456621 0.000684931506849315 0.00091324200913242 0.00114155251141553 0.00119997268866303 0.00134314582726125 0.00165246973358029 0.00180389079147641 0.00181245074862096 0.00194669227761696 0.00296803652968037 0.0057080171131184 0.00716212879303086 0.0135670682490753 0.0152853283528386 0.028492615983998 0.0391790074075046 0.0452685387206528 0.106343824381255 0.206614106621576 0.513031701213841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00130208333333333 0.00245098039215686 0.00249468046078216 0.00324675324675325 0.00341468875951635 0.00476866883116883 0.00782742074102368 0.0116612165372941 0.0183816494163118 0.0191440630846119 0.0229114201126586 0.066389462419011 0.0823187214543897 0.109235223609246 0.201627645471621 0.424968179272978
2 363.166666666667 271.75 44.8333333333333 35.3333333333333 6.33333333333333 3.33333333333333 1.58333333333333 0.427083996080233 0.0528336845142357 0.0422929697848861 0.013078886596173 0.0129059881543626 0.258930259975202 0.0324538315795801 0.160420383315328 0 0 0 0 0 0 0 0 0 0 0 0.000252525252525253 0.000252525252525253 0.000252525252525253 0.000252525252525253 0.00029655990510083 0.00029655990510083 0.00029655990510083 0.000375375375375375 0.000627900627900628 0.000757575757575758 0.00202020202020202 0.00348765724013998 0.000252525252525253 0.00151515151515152 0.00170068027210884 0 0 0 0 0.000505050505050505 0.000927873036413962 0.00126262626262626 0.00303030303030303 0.00303030303030303 0.00328282828282828 0.00232858090000947 0.00137865137865138 0.000924460533001458 0.00562755504263575 0.00224744279236529 0.00335444437756932 0.00352852852852853 0.00926793710298865 0.0128143103410795 0.0162592209902841 0.0198375513914007 0.0112504139616879 0.0380417041037772 0.0228457719154969 0.0991410024751953 0.185619266956615 0.540857324274806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.000744047619047619 0.000744047619047619 0.0010351966873706 0.0010351966873706 0.0010351966873706 0.0010351966873706 0.0010351966873706 0.0010351966873706 0.0010351966873706 0.00115740740740741 0.0014367816091954 0.0015527950310559 0.0015527950310559 0.0015527950310559 0.0015527950310559 0.0015527950310559 0.00181242368742369 0.00181242368742369 0.0031055900621118 0.0036231884057971 0.0036231884057971 0.00427350427350427 0.00427350427350427 0.00543091168091168 0 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.0010351966873706 0.0014367816091954 0.0015527950310559 0.0015527950310559 0.0015527950310559 0.0020703933747412 0.00235042735042735 0.0025879917184265 0 0.0010351966873706 0.0010351966873706 0.00295705703314399 0.0031055900621118 0.00426587301587302 0.00472474385517864 0.0005175983436853 0 0.00306007901116597 0.00368954716780804 0.00357353374594754 0.0015527950310559 0.00759503680699333 0.00713656068791001 0.00505399772641152 0.0233791948653268 0.0144782459587993 0.0449954986378913 0.0740921963792467 0.0787843335828257 0.161431573759671 0.483032834236503
3 353 262.75 44 36.1666666666667 5.58333333333333 3.58333333333333 0.916666666666667 0.449496685198105 0.0508546585435881 0.0388754739910312 0.0127156994915073 0.0131109093470062 0.266469012525259 0.0262907148870602 0.142186846016443 0 0 0 0 0 0 0.000283446712018141 0.000283446712018141 0.000496031746031746 0.000566893424036281 0.000681263181263181 0 0 0 0.000566893424036281 0 0 0.000934488378684807 0 0 0.000850340136054422 0.000283446712018141 0.000283446712018141 0.000603959532530961 0.000283446712018141 0 0 0 0 0.000360750360750361 0.000320512820512821 0.0011299688697318 0.00113378684807256 0.000566893424036281 0.00113378684807256 0.00170068027210884 0.00249948464234179 0.00249631321059893 0.000839677563815495 0.00289095824810111 0.00626240079365079 0.00117776515952808 0.00309214594928881 0.00801319705513784 0.0171569637401656 0.00647381418264973 0.024868073845317 0.0124776393693518 0.0419819126706534 0.0159140176769684 0.0954723201289297 0.18263095701296 0.563288875924528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000946969696969697 0.000946969696969697 0.00101626016260163 0.00119047619047619 0.00221923432801295 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0 0.00432104511884813 0 0 0 0.000636132315521628 0.000636132315521628 0.00127226463104326 0.00254452926208651 0 0.000946969696969697 0 0 0 0.000636132315521628 0.000636132315521628 0.000946969696969697 0.00748724914383079 0.000636132315521628 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.00101626016260163 0 0 0.00203252032520325 0 0 0 0 0.000636132315521628 0.00304878048780488 0.000946969696969697 0.000636132315521628 0.00127226463104326 0.00101626016260163 0.00127226463104326 0.00196322985957132 0.00127226463104326 0.00361562233769458 0.00217981863846081 0.00101626016260163 0 0.00189393939393939 0.00368491280332651 0.000946969696969697 0.00394091727176814 0.00763454745708834 0.0138256834344621 0.00589974692899978 0.0102183514231986 0.0303844915849067 0.0307025967630327 0.0875683567443063 0.0695141153286017 0.173489978486007 0.501172896074978
4 354.166666666667 258.5 44.6666666666667 39.0833333333333 5.5 4.66666666666667 1.75 0.490317103963884 0.0419117386622766 0.0346968603581668 0.011563405854725 0.0130763822547101 0.233765556466108 0.0271157090465461 0.147553243393583 0 0 0 0 0 0.000216450216450216 0 0 0.000476190476190476 0.000367107195301028 0 0 0 0.000476190476190476 0 0 0 0 0.000267094017094017 0.000367107195301028 0 0 0 0 0.000367107195301028 0.000267094017094017 0 0 0 0.000595238095238095 0.000367107195301028 0.000350140056022409 0.000734214390602056 0.0024604922732676 0.00209338507796658 0.00181856883722652 0.00206277264096647 0.0019130098975914 0.00116182836771072 0.00423236893825129 0.00209627329192547 0.00182574778163013 0.00642820163194613 0.0126413967823659 0.00630798227714527 0.0118947544454644 0.00962172854210947 0.0105229142528313 0.0416100241845166 0.0230452459668421 0.0789200642066147 0.173799861170454 0.600692338907088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.000694444444444444 0.000859106529209622 0.000859106529209622 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0 0.00436968365103322 0 0 0 0 0 0 0.000859106529209622 0 0 0 0.000859106529209622 0.00391119551455959 0 0.000859106529209622 0.00484257958801498 0.00415771764032073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213280675659503 0 0 0.00171821305841924 0.00391119551455959 0 0 0.000694444444444444 0.000859106529209622 0 0.00432237972508591 0 0.00310556592039801 0.000859106529209622 0 0.0026142704060895 0.00346327319587629 0 0.00529513888888889 0.00371474083619702 0.000936329588014981 0.00216118986254296 0.00477546026863245 0.018503715138039 0.00564338387841863 0.0189396882578892 0.00606216940994809 0.0444958983456447 0.0803008696283007 0.06592311293481 0.145767617998401 0.545321335106453
5 316.166666666667 233.5 42.1666666666667 33.1666666666667 3.83333333333333 3 0.5 0.510490596667572 0.0382237812574013 0.0301127114236903 0.00646261305689456 0.00662972975124322 0.25918839006401 0.0206097535184309 0.128282424260757 0 0 0 0.000385802469135802 0.000672043010752688 0 0 0 0 0 0 0 0.000641025641025641 0 0 0 0 0 0.000267952840300107 0 0 0 0.000641025641025641 0 0 0 0 0 0 0.00126728110599078 0 0.000761049487242908 0.000983961169146354 0 0 0 0.000685871056241427 0 0.00252525252525253 0.00180553411922433 0.00239893834218048 0.000863190935538202 0.000385802469135802 0.00800336176206204 0.0057578776502864 0.00340601225441049 0.0119675474023777 0.00911356707715977 0.0389231319670128 0.0248618009084135 0.0985038852596821 0.187228907703476 0.597949177202926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00154320987654321 0.00170068027210884 0 0.000566893424036281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0 0 0 0.00112612612612613 0 0 0 0 0 0.00279304029304029 0 0.0016025641025641 0.00112612612612613 0.00238095238095238 0 0.00238095238095238 0 0 0 0.00449372056514914 0.00219298245614035 0.00665285248618582 0.00464086535515107 0.0151777692208959 0.0616359655850104 0.0773407785226111 0.0712056169225035 0.140079652558683 0.598475755604581
6 281.833333333333 204.333333333333 33.0833333333333 34.0833333333333 5.75 3.91666666666667 0.666666666666667 0.504015250692826 0.0392194435437042 0.026008674722853 0.00768631079963628 0.0167042095632369 0.230748112823905 0.0222295982266051 0.153388399627234 0 0 0 0 0.00029868578255675 0 0 0 0 0 0 0 0.00068870523415978 0 0.00029868578255675 0 0 0.00029868578255675 0 0 0.000620945141848056 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.000620945141848056 0.00166607484344426 0 0 0.000896057347670251 0.000854893379671343 0.00073728227378482 0.000985642443088026 0.00258135000672314 0 0.00185812621402372 0.00651994522930031 0.0107079025422179 0.00619613248053419 0.0157008185459743 0.00894900069159705 0.0423218322495666 0.0167188456110452 0.102254763365211 0.177770169182478 0.598753830456035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00356125356125356 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0.000347222222222222 0 0 0.000712250712250712 0 0 0.000712250712250712 0 0 0 0 0 0.000347222222222222 0 0.00177172364672365 0.00142450142450142 0.000712250712250712 0 0.00177172364672365 0.00177172364672365 0 0.00177172364672365 0.00415064102564102 0.00667054266855657 0.00654027576197388 0.0129462664761448 0.0207229680696662 0.0364459300930615 0.0899637737455739 0.0934359797342468 0.17471708272939 0.538790442829649
7 296.916666666667 214.5 38.25 34.4166666666667 5.41666666666667 3.16666666666667 1.16666666666667 0.512849259096019 0.0411439678776727 0.0370844365340183 0.00657555269808398 0.00791997645629223 0.208670390840029 0.0267795348459394 0.158976881651946 0 0 0 0 0 0 0 0.000423011844331641 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.000737463126843658 0.000170415814587594 0 0 0 0 0 0 0 0 0 0 0.000949553015044591 0.000566893424036281 0.000340831629175187 0 0.00129654194071372 0.00208177071340582 0 0 0.0022599491621591 0.0102486055656489 0.00109358848296901 0.00155522954269287 0.0050518830854354 0.00689420310307369 0.0105107171267805 0.0173728484331884 0.00821818387145452 0.0379732566673913 0.0224592949149555 0.129275462260122 0.151757007252053 0.587062608751829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000968992248062015 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000968992248062015 0 0 0 0 0 0.000332005312084993 0 0 0 0 0 0 0 0.000332005312084993 0.00136612021857923 0.000332005312084993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000968992248062015 0 0 0 0.000332005312084993 0.00136612021857923 0 0 0.000664010624169987 0 0.000332005312084993 0 0.000332005312084993 0.0046174949325505 0.00099601593625498 0 0.00147355782350052 0.00242451247641015 0.00166666666666667 0.00494976500166267 0.00532656684006584 0.0105602568194063 0.00641407197509543 0.0144651959222682 0.0305349084381406 0.0503024196478364 0.0830337300016766 0.127027977119106 0.122694136576534 0.524075911633385
8 285.25 213.583333333333 32.0833333333333 31.5833333333333 3.91666666666667 3.58333333333333 0.5 0.52953261048594 0.0539315914855974 0.0303296922270701 0.0150439535623654 0.00895073812694863 0.194754666806692 0.0265593779063062 0.14089736939908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000365497076023392 0.000936329588014981 0 0 0.00145785586962058 0.000936329588014981 0 0 0.000957914137634766 0 0 0.00177054279386532 0.00886173751342291 0.000197472353870458 0.00211330062913999 0.0218137254901961 0.00450724155135132 0.00275181945156121 0.0285289375018522 0.0147421432006315 0.0638608801677014 0.00966799105238393 0.104190931826522 0.127159693398263 0.60517965680993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00114155251141553 0.00156494522691706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000782472613458529 0 0 0 0.00156494522691706 0 0.000391236306729264 0 0.000391236306729264 0.00270649773833258 0.000391236306729264 0 0 0.00273865414710485 0 0.00117370892018779 0.000391236306729264 0.00208333333333333 0.00519405992738731 0.00156494522691706 0.00625901377765504 0.0205255939761745 0.145875202343677 0.0799314012218958 0.0954986706300327 0.62683665358841
9 274.333333333333 203.5 29.8333333333333 31.4166666666667 4.16666666666667 4.33333333333333 1 0.480912005234226 0.0481911496209477 0.0307491701098855 0.00393761991249973 0.0117583231497422 0.177986588086495 0.021513270689585 0.141618539863286 0 0 0 0 0 0 0.000697350069735007 0.000896920648902591 0 0 0 0 0.000348675034867503 0.000697350069735007 0.00104602510460251 0 0 0 0 0.000548245614035088 0.000348675034867503 0.000697350069735007 0 0 0 0 0 0 0 0 0 0.00179766685790782 0.00168826379649779 0.00113483855688008 0.000348675034867503 0.000348675034867503 0.00139470013947001 0 0.00227712743501802 0.00224322336506832 0.00314958463992958 0.00190611633874224 0.00468990155182624 0.00737255035662053 0.00615341175839757 0.00295831475274121 0.0146303269115913 0.00629582690468969 0.0496415456277313 0.0130659544980321 0.093508902035102 0.137540525496886 0.55923994392732 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.00158730158730159 0.00158730158730159 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0.00158730158730159 0.000793650793650794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0 0 0 0 0.000793650793650794 0 0 0 0.000793650793650794 0 0 0 0 0 0 0.000793650793650794 0.000414593698175788 0.000793650793650794 0.00158730158730159 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0 0 0 0 0 0 0 0 0.000793650793650794 0.00279554607912817 0 0 0 0 0.000793650793650794 0.00219298245614035 0 0.00120824449182658 0.00268759018759019 0 0 0.00378028404344194 0.00348124098124098 0 0 0.00534057049915259 0.00848422783906655 0.00443364678439305 0.0025297619047619 0.0199602915072944 0.0243996082030285 0.0962297874335732 0.09264180331921 0.107218952207533 0.519804653468228
10 277 205.666666666667 30.1666666666667 31.3333333333333 4.5 4.16666666666667 1.16666666666667 0.549186230957879 0.0742043624828578 0.0260123812286385 0.0112952500620684 0.0180330628461939 0.174197788389499 0.0171650063896074 0.129905917643256 0 0 0 0 0 0 0.000318066157760814 0.000636132315521628 0 0.000318066157760814 0 0 0 0 0.000636132315521628 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0 0.000318066157760814 0.000318066157760814 0 0 0 0 0.000224014336917563 0 0 0.000636132315521628 0.00159033078880407 0.000318066157760814 0.00159033078880407 0.000636132315521628 0.000542080494678377 0.00278578005340466 0.00320693390442221 0.0201140362905069 0.00167099070332119 0.00181434512572163 0.00690604338806159 0.00741361534577491 0.00332927063955353 0.0110042432775829 0.013373480088 0.0446285671175886 0.01088245691841 0.0891748151042019 0.128879897282459 0.645461643669853 0 0 0 0 0 0 0 0.000666666666666667 0.000666666666666667 0.00124378109452736 0.00133333333333333 0 0 0.000666666666666667 0.00133333333333333 0 0 0 0 0.000666666666666667 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0.000666666666666667 0.000666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002 0 0.000666666666666667 0 0.000666666666666667 0.00133333333333333 0.000666666666666667 0 0 0 0 0 0 0 0 0.000448028673835126 0.00222939068100358 0.000666666666666667 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0 0 0 0.000448028673835126 0.000666666666666667 0 0.000666666666666667 0 0.000666666666666667 0.000666666666666667 0 0 0 0 0 0.00498649021229666 0.000666666666666667 0.002360346184107 0.00244802867383513 0.00133333333333333 0 0.00178136200716846 0.00111469534050179 0.000666666666666667 0.00333333333333333 0.00557347670250896 0.00778866902810682 0.00314721566570504 0.00784695960655831 0.00697505649223099 0.017920044327294 0.0988335460395661 0.0829083387867973 0.0936348523678694 0.549773227903792
