"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_ho_Proportion" "Transition_hi_Proportion" "Transition_oi_Proportion" "Transition_ej_Proportion" "Transition_gh_Proportion" "Transition_oj_Proportion" "Transition_gj_Proportion" "Transition_io_Proportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_ji_Proportion" "Transition_go_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_ge_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_ci_Proportion" "Transition_jj_Proportion" "Transition_sj_Proportion" "Transition_co_Proportion" "Transition_jg_Proportion" "Transition_gc_Proportion" "Transition_gi_Proportion" "Transition_oe_Proportion" "Transition_hg_Proportion" "Transition_so_Proportion" "Transition_ie_Proportion" "Transition_ig_Proportion" "Transition_jh_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_ee_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_soo_Proportion" "Transition_jsc_Proportion" "Transition_isg_Proportion" "Transition_shi_Proportion" "Transition_gso_Proportion" "Transition_soi_Proportion" "Transition_ghs_Proportion" "Transition_gsj_Proportion" "Transition_isc_Proportion" "Transition_osj_Proportion" "Transition_jhs_Proportion" "Transition_isi_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_hsi_Proportion" "Transition_jis_Proportion" "Transition_ssg_Proportion" "Transition_gse_Proportion" "Transition_gie_Proportion" "Transition_sij_Proportion" "Transition_hge_Proportion" "Transition_oge_Proportion" "Transition_gee_Proportion" "Transition_ijj_Proportion" "Transition_ssh_Proportion" "Transition_gsc_Proportion" "Transition_ccs_Proportion" "Transition_gsg_Proportion" "Transition_ssc_Proportion" "Transition_ccc_Proportion" "Transition_scc_Proportion" "Transition_jjs_Proportion" "Transition_jsi_Proportion" "Transition_cis_Proportion" "Transition_sso_Proportion" "Transition_sjs_Proportion" "Transition_gco_Proportion" "Transition_sgi_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_shg_Proportion" "Transition_ssi_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_gsi_Proportion" "Transition_cso_Proportion" "Transition_sgs_Proportion" "Transition_shs_Proportion" "Transition_igs_Proportion" "Transition_sis_Proportion" "Transition_ise_Proportion" "Transition_ses_Proportion" "Transition_ies_Proportion" "Transition_ggs_Proportion" "Transition_scs_Proportion" "Transition_iis_Proportion" "Transition_eee_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 275.166666666667 224.083333333333 23.3333333333333 23.5 1.91666666666667 2 0.333333333333333 0.34788215794692 0.0950419980363325 0.0684289797380644 0.0136875961236693 0.00762293940860741 0.217072664789982 0.0374647250294771 0.212798938926947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.00148774567379219 0.00148809523809524 0.0015625 0.00203252032520325 0.00212422755361687 0.00288715644820296 0.00330478495624651 0.00345480431358294 0.00367028535633187 0.00552188763066626 0.00595238095238095 0.00988912169871472 0.0104169075434004 0.0119956574619158 0.0211866664116089 0.0375412455957136 0.0788722186889275 0.123954034086732 0.15904552927934 0.511876119674417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00151515151515152 0.00163398692810458 0.00163398692810458 0.00177304964539007 0.00277777777777778 0.00281610813855252 0.00301683073991743 0.00308747855917667 0.00308747855917667 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00555555555555556 0.00653964730546307 0.00666666666666667 0.00839458413926499 0.0149372868656301 0.0151921295749666 0.0744137345511968 0.112791803305054 0.149705658698287 0.188847929206336 0.380764670491742
2 271.833333333333 217.916666666667 22.5833333333333 26.6666666666667 1.83333333333333 2.58333333333333 0.25 0.35880829657517 0.0879452403177836 0.0611948750909707 0.00837702266357589 0.0101219862907729 0.237488392027843 0.025980465246587 0.210083721787297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000527426160337553 0.000559284116331096 0.000559284116331096 0.000559284116331096 0.00196597656876906 0.0028735632183908 0.00324745615934185 0.00574712643678161 0.00720376406600459 0 0 0.000621890547263682 0 0.00364570386941752 0 0 0.00295188512317953 0.00200417186009465 0.0034328473347219 0.0037083103003501 0.00935564933769564 0 0.00164599439299975 0.0135622104326439 0.00479637496875346 0.0291744783818108 0.0360127745009282 0.088417022616059 0.123861461997817 0.152821774009861 0.500744285367786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0.000566893424036281 0.000566893424036281 0.00130208333333333 0.00130208333333333 0.00136612021857923 0.00146198830409357 0.00146198830409357 0.00694444444444444 0.00694444444444444 0.00840643274853801 0.00840643274853801 0 0 0 0.00130208333333333 0.00694444444444444 0 0.00524986709197236 0 0.00136612021857923 0.0152550091074681 0 0 0 0 0.00136612021857923 0 0 0.00273224043715847 0.0335298592281983 0.0057208924304943 0.0545833416120687 0.121233174518604 0.186680385284285 0.141372638500127 0.383367125423181
3 278.416666666667 222.083333333333 22.4166666666667 28.5 2.5 2.41666666666667 0.5 0.385150153013753 0.0831610686046804 0.0537804375585873 0.00307574288202436 0.0110571460018024 0.234438756848824 0.0407904988145516 0.188546196275777 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000544662309368192 0.000544662309368192 0.00108932461873638 0.00109290792340328 0 0 0.00128870992841581 0.00172627080521817 0 0 0 0.00128870992841581 0 0.000544662309368192 0 0.000544662309368192 0 0 0.000544662309368192 0.00108932461873638 0.00231771195475826 0.00128870992841581 0.00256952477347214 0.0122484156290615 0.000544662309368192 0.00340703657349465 0.00926644871445504 0.00276177070257664 0.0148931079988305 0.0514422734407411 0.0803250272165455 0.074759041286141 0.128440170800095 0.605437539302278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00170068027210884 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00300276360544218 0.00300276360544218 0 0.00449085884353741 0.00130208333333333 0 0.00130208333333333 0 0 0.00130208333333333 0.00170068027210884 0 0 0 0.00130208333333333 0.0167629493942297 0.00441519298397325 0.0984039478550366 0.0684662567040433 0.152915130098468 0.136265940589621 0.486737419109321
4 295.666666666667 234.916666666667 25.4166666666667 30.25 3.08333333333333 1.83333333333333 0.166666666666667 0.432850969072068 0.0738979236872552 0.037278370002914 0.00321384626331849 0.00453619506582164 0.219429499262523 0.0418681401192753 0.186925056526824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000359195402298851 0.00114155251141553 0.00114155251141553 0 0 0 0 0.000420875420875421 0 0 0 0 0 0.000511247443762781 0.000420875420875421 0.00255762755762756 0.000359195402298851 0 0.0120018662736738 0 0.00190633327136395 0.0034377829134017 0.00102249488752556 0.0201106013246196 0.016426322640341 0.098455270757482 0.121520061851509 0.135166144674852 0.583040999734662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00178571428571429 0 0.00141242937853107 0 0 0.000992063492063492 0 0 0.00350098409866474 0.0127267310293297 0.00282485875706215 0.0169963917076003 0.0803277747536075 0.250777587555065 0.129001213227424 0.498241822336406
5 277.583333333333 219.083333333333 26.5 27.6666666666667 2.5 1.66666666666667 0.166666666666667 0.432070140559846 0.0712698367807408 0.0303201441707034 0.00631011716799706 0.00496573930698441 0.231305080152517 0.0285128849776228 0.195246056883588 0 0 0 0 0 0 0 0 0 0.000319284802043423 0.000440917107583774 0.000559284116331096 0.00158705568400877 0 0 0.000881834215167548 0 0.000319284802043423 0.000559284116331096 0 0.00111096347476895 0 0.0049452490286118 0.000319284802043423 0.000319284802043423 0 0 0 0 0 0.000319284802043423 0.000440917107583774 0.00111096347476895 0.00251690670461155 0 0.000881834215167548 0.00389913817598869 0 0.00134705636972109 0.00610676952730766 0.00392018779342723 0.0210303198077345 0.0205887587849189 0.105853849406606 0.122247936471018 0.14302206308244 0.555352287325686 0 0 0 0 0 0 0 0 0 0 0.000700280112044818 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00181159420289855 0.00181159420289855 0.00283218125960061 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00251187431494337 0 0.00148809523809524 0 0 0.0026668373442567 0 0 0.00204436613355019 0.0150597873558025 0.00967741935483871 0.035586436668065 0.152941643161956 0.23474325855266 0.127845934228452 0.402326316917557
6 315.833333333333 249.5 26.8333333333333 33.9166666666667 3 2.16666666666667 0.416666666666667 0.471588791029106 0.0520917930792378 0.0279923179438836 0.00418345380968893 0.00692965196435987 0.240576643790262 0.0266495519128822 0.16998779647058 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00055005500550055 0 0.0016025641025641 0.000462962962962963 0 0 0.000947459086993971 0 0 0 0 0 0.00102880658436214 0.000452898550724638 0 0.000727926053474913 0.000275027502750275 0.0022570377192758 0.000275027502750275 0.0132440978739853 0 0.00100295355622519 0.010483929098488 0.00278555956370831 0.010961769269173 0.0149945380696007 0.08360803498272 0.0910705751199463 0.149367913655861 0.613900863738932 0 0 0 0 0 0 0 0 0.000570776255707763 0.00108225108225108 0.00102880658436214 0 0 0 0 0 0.000570776255707763 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0 0 0 0 0.00211398613225097 0 0 0 0 0 0 0 0 0.00479922970962398 0.000570776255707763 0.00382972455442628 0 0 0.00165302733795884 0 0.00245098039215686 0.0100645239534128 0 0 0 0 0.000570776255707763 0.000570776255707763 0 0.00102880658436214 0.012986734102062 0.00279457984937437 0.0321932153410845 0.116587869483609 0.165851010582319 0.155492220490277 0.48210690145968
7 299.083333333333 236.333333333333 24.9166666666667 32.4166666666667 2.58333333333333 2.58333333333333 0.25 0.467899607587445 0.0581102871933939 0.0291553211822064 0.00471536167782964 0.00182489208925463 0.242937380528385 0.0221283535707686 0.173228796170717 0 0 0 0 0 0 0 0 0.00051440329218107 0 0 0 0 0 0 0 0 0 0.000257201646090535 0 0.00175659429716858 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0.000813008130081301 0.00259003768488863 0.00158461306835291 0.000771604938271605 0.00492043534048954 0 0.00051440329218107 0.00800535013256916 0.00166913032766691 0.0176234295709726 0.0258140476550955 0.0763587825063541 0.105896527656954 0.139338433765265 0.610309370432791 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0 0 0.00171134332878994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0 0.00173611111111111 0 0 0 0 0 0.00234741784037559 0 0.00288505224897774 0.000537634408602151 0 0.00117370892018779 0 0 0.00227374551971326 0 0 0 0 0 0.00124378109452736 0 0 0.0136794910582224 0.00534037558685446 0.0529818620399156 0.0929600387750347 0.173581764846753 0.140273943339445 0.506198461064285
8 281.75 226.75 24 26.4166666666667 1.83333333333333 2.41666666666667 0.333333333333333 0.520272054898 0.0463078116703455 0.029989198098851 0.00403653588599402 0.00525806421605995 0.210593014081243 0.023382680831814 0.160160640317692 0 0 0 0 0 0 0.000380517503805175 0.000651041666666667 0 0 0 0 0 0 0 0 0.000340136054421769 0 0 0 0.00297470652040798 0 0 0.000340136054421769 0 0 0 0 0 0.000651041666666667 0 0 0.0014367816091954 0.00206311834094368 0 0.00376669186192996 0.00707861018273327 0 0.0036323584551931 0.0108466307971358 0.00689575670133604 0.0205479155939815 0.0204239108144295 0.0587461058201877 0.101824272444624 0.133414807432139 0.62398546047978 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0.000816993464052288 0.000816993464052288 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0.00881820119352089 0 0 0.0127217553688142 0 0 0 0 0 0 0 0.00154320987654321 0.0230379188712522 0.0171576109076109 0.0365966555704407 0.0821480339542999 0.125052587446023 0.159632003286095 0.526400861263393
9 288.083333333333 229.166666666667 22.4166666666667 31.9166666666667 2 2.16666666666667 0.416666666666667 0.533033205686113 0.0439701905857911 0.0256661722086574 0.00353449204486304 0.00524723644499859 0.215126825669037 0.0177369932344298 0.155684884126111 0 0 0 0 0 0.000841750841750842 0 0.000375375375375375 0 0 0 0.000841750841750842 0 0 0 0 0.000350140056022409 0 0 0.00297954204204204 0.00226968479980528 0 0 0 0 0 0 0.000350140056022409 0 0.000375375375375375 0.000375375375375375 0 0 0.000877383407503889 0 0.00151527674463454 0.00665963409487425 0 0.00580929487179487 0.00542262765863049 0.000462962962962963 0.00864665416109184 0.0196697085551364 0.0768033816587766 0.11266522215408 0.113260044257313 0.639448674709681 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0.00166666666666667 0 0 0.00242424242424242 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0 0 0.00406746031746032 0 0 0 0 0 0.00114155251141553 0 0 0 0 0.00294079493565795 0 0.00114155251141553 0 0 0 0 0 0.00104166666666667 0 0 0 0.0124242424242424 0.00104166666666667 0.0293895671091318 0.129135499939742 0.178332511695028 0.123365826238948 0.509145047151013
10 287.166666666667 232.25 20.75 30.0833333333333 1.83333333333333 2.25 0 0.516038235585959 0.0440781095323007 0.0246423035713903 0.00239500393850478 0.00514189064064075 0.226333101959849 0.022820626035413 0.158550728735942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000353107344632768 0.000963391136801541 0 0 0.000859106529209622 0 0 0 0.000694444444444444 0.00234180867551987 0 0.000859106529209622 0.000481695568400771 0.0087348721919666 0 0.00327677977378576 0.00384027566932657 0.00634784268804887 0.0102319330325662 0.0156035900809657 0.0646924741114526 0.0873522081642725 0.118500879044744 0.674866485014652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0.00650680947291117 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0.0182053673780232 0.0104166666666667 0.0259896989558007 0.0935008772186031 0.122546895672495 0.124102439279884 0.595906386598554
