"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hh_Proportion" "Transition_je_Proportion" "Transition_oh_Proportion" "Transition_hi_Proportion" "Transition_jc_Proportion" "Transition_oc_Proportion" "Transition_eh_Proportion" "Transition_ee_Proportion" "Transition_gc_Proportion" "Transition_ie_Proportion" "Transition_ji_Proportion" "Transition_ih_Proportion" "Transition_he_Proportion" "Transition_jg_Proportion" "Transition_ch_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_gh_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_jo_Proportion" "Transition_oj_Proportion" "Transition_cc_Proportion" "Transition_ce_Proportion" "Transition_go_Proportion" "Transition_og_Proportion" "Transition_io_Proportion" "Transition_ei_Proportion" "Transition_so_Proportion" "Transition_eg_Proportion" "Transition_jj_Proportion" "Transition_cg_Proportion" "Transition_ic_Proportion" "Transition_ii_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_csj_Proportion" "Transition_igi_Proportion" "Transition_shh_Proportion" "Transition_gsj_Proportion" "Transition_ccc_Proportion" "Transition_hsg_Proportion" "Transition_ssh_Proportion" "Transition_ihe_Proportion" "Transition_jis_Proportion" "Transition_ccs_Proportion" "Transition_jcs_Proportion" "Transition_ggh_Proportion" "Transition_ghs_Proportion" "Transition_iee_Proportion" "Transition_ees_Proportion" "Transition_ige_Proportion" "Transition_sji_Proportion" "Transition_iig_Proportion" "Transition_ies_Proportion" "Transition_gee_Proportion" "Transition_ihg_Proportion" "Transition_iei_Proportion" "Transition_hgg_Proportion" "Transition_ise_Proportion" "Transition_gjs_Proportion" "Transition_ish_Proportion" "Transition_sih_Proportion" "Transition_iie_Proportion" "Transition_iii_Proportion" "Transition_jsj_Proportion" "Transition_ssc_Proportion" "Transition_ggi_Proportion" "Transition_gig_Proportion" "Transition_gsh_Proportion" "Transition_gcs_Proportion" "Transition_ocs_Proportion" "Transition_gsc_Proportion" "Transition_ehs_Proportion" "Transition_ois_Proportion" "Transition_csc_Proportion" "Transition_eee_Proportion" "Transition_see_Proportion" "Transition_sig_Proportion" "Transition_esi_Proportion" "Transition_hsc_Proportion" "Transition_csg_Proportion" "Transition_osi_Proportion" "Transition_sos_Proportion" "Transition_hgs_Proportion" "Transition_igs_Proportion" "Transition_esg_Proportion" "Transition_sgi_Proportion" "Transition_jgs_Proportion" "Transition_ssj_Proportion" "Transition_jsg_Proportion" "Transition_ssi_Proportion" "Transition_gii_Proportion" "Transition_gis_Proportion" "Transition_cis_Proportion" "Transition_chs_Proportion" "Transition_shg_Proportion" "Transition_osh_Proportion" "Transition_ios_Proportion" "Transition_hsi_Proportion" "Transition_ics_Proportion" "Transition_ggg_Proportion" "Transition_sei_Proportion" "Transition_jsc_Proportion" "Transition_gse_Proportion" "Transition_scc_Proportion" "Transition_eis_Proportion" "Transition_gsi_Proportion" "Transition_iis_Proportion" "Transition_jos_Proportion" "Transition_seg_Proportion" "Transition_jso_Proportion" "Transition_isc_Proportion" "Transition_csh_Proportion" "Transition_cgs_Proportion" "Transition_gso_Proportion" "Transition_sse_Proportion" "Transition_isg_Proportion" "Transition_shs_Proportion" "Transition_sii_Proportion" "Transition_egs_Proportion" "Transition_csi_Proportion" "Transition_sjj_Proportion" "Transition_isi_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_ssg_Proportion" "Transition_sjs_Proportion" "Transition_ess_Proportion" "Transition_isj_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 496.916666666667 388.833333333333 52.8333333333333 43.3333333333333 6.25 4.25 1.41666666666667 0.392223473594481 0.0518044588358973 0.0500415435433706 0.00782364530486692 0.0075820964656886 0.309418590985593 0.0302827302646744 0.150823461005428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00025025025025025 0.00025025025025025 0.00025025025025025 0.00025025025025025 0.00025025025025025 0.000260416666666667 0.000260416666666667 0.000336021505376344 0.000336021505376344 0.000338753387533875 0.0005005005005005 0.000511247443762781 0.000566893424036281 0.000586271755626594 0.000589003637784126 0.000672043010752688 0.000672043010752688 0.000761497694013031 0.000781654303950319 0.000839253888034376 0.0010346364363581 0.00112040769148419 0.00122349815601349 0.00152146331520348 0.00186331972046258 0.00229845275326411 0.00419395585185323 0.00461840782133037 0.00744076497603549 0.00792681886664273 0.0112829433863923 0.0153330656073568 0.0174452682138678 0.0259437644797009 0.0289308164331406 0.109536316061023 0.206375202469839 0.542647608107947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000730994152046784 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.00146198830409357 0.0014675759392486 0.00169601161176322 0.00173611111111111 0.00179856115107914 0.00180724985229208 0.00182748538011696 0.00193003491943287 0.00233004385964912 0.00279809047498843 0.00294834307992203 0.00296121593291405 0.00301497932089111 0.00501493542008498 0.00574592957213177 0.00907373517342001 0.0104720723802346 0.0126699286052786 0.0174244364025496 0.0463667454284107 0.050097918135851 0.109648553859067 0.190097736142996 0.498777559104172
2 421.416666666667 327.833333333333 48.5 36.1666666666667 4.66666666666667 3.25 1 0.415444333471358 0.0705273428273627 0.0332278366702507 0.00579940600853001 0.0104435610550532 0.288370788513244 0.0258145418090931 0.150372189645109 0 0 0 0 0 0 0 0 0 0 0 0.000391236306729264 0.000440917107583774 0.000881834215167548 0 0 0 0 0.000288350634371396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000288350634371396 0.00229777938111271 0.00147691705790297 0.000960170555017607 0.00379158175252926 0.00352116910215502 0.00126540650290257 0.00180138149112917 0.00380104488986843 0.00682171797982776 0.0053771086513098 0.0109502261566189 0.0153802418026616 0.0179997979833698 0.0436177542508112 0.0274256346568807 0.0970381526791298 0.204195520168932 0.549987706039617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00106837606837607 0.00126262626262626 0.00188341750841751 0.00281471631205674 0.00342261904761905 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0.00208333333333333 0.00235580022814065 0 0 0 0 0 0 0 0 0.00104166666666667 0.00238095238095238 0.00104166666666667 0 0 0 0.00438785013253098 0.00420875420875421 0.00208333333333333 0.00208333333333333 0.00177304964539007 0.00162441724941725 0 0.00292508417508418 0.00403207903207903 0.00635117197617198 0.0063492604716009 0.0128585534835535 0.0119799182299182 0.0518861925111925 0.0719454083150892 0.0850927933374742 0.189070358817699 0.516984849764105
3 343.75 266 40.5 30.5833333333333 3.25 2.75 0.666666666666667 0.433995407924742 0.0419038832953932 0.0351102847369215 0.00416681914108722 0.00980859648507787 0.288068271375564 0.0278241400200719 0.159122597021143 0 0 0 0 0 0 0 0 0 0.000347222222222222 0.000841750841750842 0 0 0.00106837606837607 0 0 0 0.00219298245614035 0 0.000347222222222222 0.000567169016366877 0 0 0 0 0 0 0 0 0.000700280112044818 0.00219298245614035 0 0 0.00034435261707989 0.00175614208033994 0 0.00241579885542734 0.00150486768133827 0.000222816399286988 0.00345172631180934 0.0049883154653771 0.00034435261707989 0.00277500462995115 0.00541285848489238 0.0147836770655515 0.0425634692273621 0.00904098951660811 0.0310470379096886 0.0103844266053661 0.09337127033118 0.22895005830194 0.538384850504458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00101626016260163 0.00185185185185185 0.00555555555555556 0.000448028673835126 0 0 0.0043859649122807 0 0 0.0104869407405874 0 0.000448028673835126 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00495498032579845 0 0 0 0.000448028673835126 0 0 0.000886524822695035 0 0.000448028673835126 0 0.000886524822695035 0 0.00779477260027031 0.00336707382173341 0.00375463683714851 0.0404778131508892 0.0152612436841407 0.0628840001620955 0.0917241769451631 0.175821563718677 0.559639660649624
4 301.5 233.583333333333 32.6666666666667 28.8333333333333 2.75 2.83333333333333 0.833333333333333 0.482186487799835 0.0530151496548169 0.0156185311970998 0.00340821682012361 0.00811819368298017 0.269390338948308 0.0180679148071432 0.150195167089693 0 0 0 0 0 0 0 0 0.000387596899224806 0 0.00130208333333333 0 0 0.00350880794757766 0 0 0.00237320126755442 0 0 0 0 0 0 0.000387596899224806 0 0 0.000286368843069874 0 0 0.000775193798449612 0 0 0 0 0 0 0.000286368843069874 0.000572737686139748 0.00116462557030634 0 0.00112681123867465 0.00462512171372931 0.00299050579635609 0.00223630715195437 0.00605873386840802 0.0119416808619962 0.00899257256304981 0.0650973823404636 0.00591935178553545 0.112337325017606 0.181828033424013 0.585801593150262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0.000778816199376947 0.000778816199376947 0 0 0.00115740740740741 0 0.000608272506082725 0 0 0 0 0 0 0 0.00121654501216545 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0 0 0 0 0 0 0 0 0 0.000608272506082725 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0.00138708870545967 0.000778816199376947 0.00326637838843167 0.00378787878787879 0.00640980129284553 0.00556624518966465 0.0108168916580132 0.124902544145924 0.115948423736806 0.132052827511363 0.587474648447052
5 296.5 226.166666666667 36.0833333333333 26.6666666666667 3.91666666666667 3.16666666666667 0.5 0.484115026789547 0.0476021690368446 0.0254908071901703 0.00272729390869396 0.0125350266748188 0.258500300745781 0.0191434336350734 0.149885942019071 0 0 0 0 0 0 0.000286368843069874 0.000837520938023451 0 0 0 0.000418760469011725 0 0.00288217300203602 0 0 0 0.000286368843069874 0 0.000286368843069874 0.000473484848484848 0 0 0.000418760469011725 0 0 0 0 0 0.000722669017589944 0 0.00087719298245614 0 0.000286368843069874 0.000759853691554722 0.00129595345146787 0.000722669017589944 0 0.00245299489954813 0.000909785023004918 0.0011454753722795 0.00263157894736842 0.00420557610744932 0.00265787232265626 0.00713395929986434 0.0105507270761664 0.0115317480218914 0.034619980799968 0.0175400021065419 0.0845777502155095 0.198760518705296 0.61072751784295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000915750915750916 0.000915750915750916 0 0 0 0 0 0.000968992248062015 0 0 0 0 0.00154320987654321 0.00208333333333333 0 0.00174908424908425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0.000915750915750916 0.000968992248062015 0 0.000833333333333333 0 0 0.00208333333333333 0 0.000833333333333333 0 0.000915750915750916 0 0.00251220212460523 0 0.000968992248062015 0 0.00659404548939433 0.00391483516483516 0.00821258199165176 0.0079170058336725 0.0367689484646849 0.0799578737369435 0.0592850811261664 0.179912097305508 0.594353177686511
6 226 174.166666666667 23.6666666666667 22.75 2.41666666666667 2.5 0.5 0.50493761153277 0.050671699184197 0.0287125549412331 0.00586350388348193 0.018694201983508 0.229217481187987 0.0212160889139254 0.140686858372897 0 0 0 0 0 0.000841750841750842 0 0 0 0 0 0 0 0.0086260187399229 0 0 0 0.000332005312084993 0 0 0.000357653791130186 0 0 0.000357653791130186 0 0 0 0 0 0 0 0 0.000357653791130186 0.00115740740740741 0.00115740740740741 0.00109649122807018 0 0.00117375615383584 0.00626264137654554 0 0.00200803212851406 0.00117375615383584 0.00411813291227946 0.00231481481481481 0.00770157615769841 0.0191594590540982 0.0143118940200766 0.0552413768538976 0.0159952460160991 0.0822947689901818 0.150395856354496 0.623564646703593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0.000744047619047619 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0.0127223553562839 0 0.00574712643678161 0.00109649122807018 0.0176187899402185 0.00252525252525253 0.00669083422842821 0.0224296141236931 0.0296967733292576 0.108080417031933 0.0750380679044248 0.112090392940888 0.592594300741773
7 231.166666666667 174.75 26.0833333333333 23.4166666666667 3.5 2 1.41666666666667 0.48144869707259 0.0713393391189196 0.027921138577529 0.00402130617376728 0.0124799185757838 0.226380519093173 0.0217669252968829 0.154642156091355 0 0 0 0 0.000261233019853709 0 0 0.000522466039707419 0.00146198830409357 0.000261233019853709 0 0.000522466039707419 0 0.00521043771043771 0 0.000261233019853709 0.000261233019853709 0.000261233019853709 0 0 0 0 0 0 0 0 0 0 0.000522466039707419 0.000297619047619048 0.00136612021857923 0 0 0.000841750841750842 0.00156739811912226 0.000261233019853709 0.00182863113897597 0.0018650171667413 0.0109893742323416 0.00454425095766952 0.00225897736143638 0.00308226265357595 0.00560590731944604 0.00743771000123087 0.0075626410832195 0.0226899427834695 0.00729448388287756 0.0516159215754325 0.0187615983717155 0.107321791508062 0.12340656422885 0.609854815255109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000493096646942801 0.000793650793650794 0.000793650793650794 0.000986193293885602 0.0014792899408284 0.00308641975308642 0.00308641975308642 0 0 0 0 0.000793650793650794 0 0.000493096646942801 0 0 0 0 0 0.000793650793650794 0 0.002465483234714 0 0 0.00198412698412698 0 0 0.000986193293885602 0.000493096646942801 0.00128674744059359 0 0 0 0 0 0.000493096646942801 0 0.00407261304697202 0 0 0 0 0.000493096646942801 0.00257349488118719 0.000493096646942801 0 0 0 0 0 0 0 0 0.000986193293885602 0.00407261304697202 0.0014792899408284 0 0 0 0 0.00158730158730159 0.00257349488118719 0.00357951640002922 0.000493096646942801 0.00784938183723609 0 0.00407261304697202 0.000493096646942801 0.00407261304697202 0.0017798440875364 0.00649508077392693 0.0206431416693531 0.0343836157546548 0.113586562863078 0.105229991379347 0.095104515290157 0.559433099952509
8 246.166666666667 182.083333333333 29.5 27.8333333333333 2.75 3.08333333333333 0.916666666666667 0.52568363324648 0.0571875266568271 0.0249928211999873 0.00243911374861195 0.00965347306417288 0.230062454080462 0.0216882078701502 0.128292770133309 0 0 0.000285388127853881 0.000326797385620915 0 0 0 0.000326797385620915 0 0.00065359477124183 0.00065359477124183 0.000326797385620915 0 0.000896057347670251 0 0.0036231884057971 0.00065359477124183 0.000285388127853881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0.00225415923945336 0.00130718954248366 0.00389385183090125 0 0.00265541678888663 0.00492668160048403 0.00269120463032761 0.00472492384444486 0.00991431445436793 0.0155329859087773 0.0159891255910652 0.04401331575237 0.0130356535128723 0.0747533529059292 0.149654134335776 0.641066936026542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000672043010752688 0 0 0 0 0 0 0 0.000672043010752688 0.00134408602150538 0 0 0.000672043010752688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0.00446493924754794 0.000672043010752688 0.000672043010752688 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00623448622071753 0.000672043010752688 0 0 0 0 0 0 0 0 0.00252525252525253 0 0.00563931743805517 0 0 0 0.000672043010752688 0.00336021505376344 0.0038693385467579 0.000841750841750842 0 0.00387717121588089 0 0.000672043010752688 0.000672043010752688 0.00559106537367407 0.00739247311827957 0.00349792083663051 0.00936577815376319 0.0196490550086372 0.0886515593152428 0.0814852026055439 0.16278178824992 0.578659520762089
9 215.833333333333 159.583333333333 25.4166666666667 24.5833333333333 3.25 2.16666666666667 0.833333333333333 0.518199119497416 0.0582117000606809 0.0197628367183284 0.00371998126334301 0.0137800372516858 0.222790341896549 0.01984759040028 0.143688392911717 0 0 0 0 0.000253292806484296 0 0 0.000582750582750583 0 0.000582750582750583 0.000506585612968592 0 0 0.00604156638639397 0.000253292806484296 0.000850340136054422 0 0 0.000582750582750583 0 0.000506585612968592 0 0 0.00110363294253872 0 0 0 0 0 0.000506585612968592 0.000582750582750583 0 0 0 0.00116550116550117 0.00110363294253872 0.000253292806484296 0.00318134246705675 0.00464659703790139 0.00481787349888454 0.00206488700938285 0.00487794968678027 0.00463371526001505 0.00308536492747019 0.0145639069889706 0.0143917292535988 0.00837664957799598 0.0386503980646195 0.0139094036615261 0.0840949899741114 0.150007565744029 0.63382231568527 0 0 0 0 0 0 0 0 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000706214689265537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0.00440991839296924 0 0.00122549019607843 0 0.00307734204793028 0.000706214689265537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0 0 0.00122549019607843 0 0.00122549019607843 0 0.00185185185185185 0.00122549019607843 0 0 0 0.00560817547357926 0.0063143901628448 0.00652856246076585 0.019722111646339 0.0273638143871195 0.0837543680363489 0.0503879429780004 0.164756547416906 0.609213509542155
10 179.5 132.5 22.5833333333333 19.3333333333333 2.66666666666667 1.66666666666667 0.75 0.551372765564742 0.0560998617090854 0.0222103561857438 0.00336404825779742 0.0114995749451371 0.210724779198792 0.0176691583157903 0.127059455822912 0 0.00045045045045045 0 0 0.00065359477124183 0 0 0.000326797385620915 0 0 0 0.00045045045045045 0.00045045045045045 0.00423644338118022 0 0 0 0 0.00045045045045045 0 0 0 0 0.00258884203896992 0 0 0 0 0 0.00065359477124183 0.000599520383693046 0 0 0 0.000900900900900901 0.000777247836071365 0.000900900900900901 0.00122769828652182 0.0058281241961208 0.00122769828652182 0.00303929248942037 0.00045045045045045 0.0049751764148049 0.00308033382514974 0.0072964908642658 0.00578915779581623 0.0130349009355222 0.0379499493227501 0.0185394642210293 0.0711017824387889 0.138634899734055 0.674384936567159 0 0 0 0 0 0 0.000868055555555556 0.00126262626262626 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0 0 0 0.000868055555555556 0 0 0 0.00252525252525253 0 0.00126262626262626 0.00208333333333333 0 0 0.00213068181818182 0 0.00252525252525253 0 0 0 0 0 0 0 0.00193643162393162 0 0 0.00126262626262626 0.00378787878787879 0 0.00252525252525253 0 0 0 0 0 0 0 0 0.000868055555555556 0.00505050505050505 0 0 0 0.00126262626262626 0 0.00126262626262626 0.00213068181818182 0 0.00319905788655789 0 0.00208333333333333 0 0.00406711344211344 0.00126262626262626 0.00252525252525253 0.00591856060606061 0.0102770493395493 0.00441433566433566 0.0307947261072261 0.0850706585081585 0.0526138791763792 0.135538073038073 0.62183614996115
