"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_je_Proportion" "Transition_eg_Proportion" "Transition_ic_Proportion" "Transition_gh_Proportion" "Transition_eo_Proportion" "Transition_gc_Proportion" "Transition_ij_Proportion" "Transition_oh_Proportion" "Transition_cc_Proportion" "Transition_ch_Proportion" "Transition_hh_Proportion" "Transition_ih_Proportion" "Transition_ge_Proportion" "Transition_ci_Proportion" "Transition_ee_Proportion" "Transition_hi_Proportion" "Transition_eh_Proportion" "Transition_sh_Proportion" "Transition_jj_Proportion" "Transition_og_Proportion" "Transition_go_Proportion" "Transition_sj_Proportion" "Transition_hg_Proportion" "Transition_jc_Proportion" "Transition_cg_Proportion" "Transition_jg_Proportion" "Transition_oc_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_gg_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_iii_Proportion" "Transition_ics_Proportion" "Transition_jgs_Proportion" "Transition_sjs_Proportion" "Transition_cis_Proportion" "Transition_ghs_Proportion" "Transition_scc_Proportion" "Transition_ssj_Proportion" "Transition_ssi_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_csh_Proportion" "Transition_ccs_Proportion" "Transition_shh_Proportion" "Transition_osh_Proportion" "Transition_ssc_Proportion" "Transition_ehs_Proportion" "Transition_hhs_Proportion" "Transition_iis_Proportion" "Transition_isj_Proportion" "Transition_csi_Proportion" "Transition_ges_Proportion" "Transition_sii_Proportion" "Transition_gos_Proportion" "Transition_ggs_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_isi_Proportion" "Transition_shs_Proportion" "Transition_jjc_Proportion" "Transition_sse_Proportion" "Transition_csg_Proportion" "Transition_gog_Proportion" "Transition_isg_Proportion" "Transition_ses_Proportion" "Transition_ssg_Proportion" "Transition_hgs_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_gsi_Proportion" "Transition_igs_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 339.333333333333 272.833333333333 36.1666666666667 24.5833333333333 4.16666666666667 0.916666666666667 0.666666666666667 0.312515701141637 0.0633903323472516 0.0652834280099206 0.0661171248600533 0.0108191932201409 0.316758115967605 0.0244138470191216 0.14070225743427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.00040650406504065 0.000465549348230912 0.000527426160337553 0.000527426160337553 0.000786163522012579 0.000786163522012579 0.000813008130081301 0.00087719298245614 0.00110919043503313 0.00110919043503313 0.00146135638571576 0.00175021607605877 0.00204050521463476 0.00446087259277913 0.00524124788145929 0.00681959285263152 0.00771134720323357 0.0166967825073755 0.0176430161707029 0.0257149180784848 0.0268962515530858 0.0383785599353564 0.104828867993411 0.213495464795046 0.435713348601075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00128205128205128 0.00138888888888889 0.00210970464135021 0.0022285612408629 0.00438172570568802 0.00621287259497445 0.0168638086225892 0.0223296128402954 0.0238508977911392 0.0550546766819695 0.0609084672028052 0.114849225900454 0.234682508471376 0.359499715197421
2 272.166666666667 205.083333333333 32.5833333333333 26 4.75 2.83333333333333 0.833333333333333 0.352429037133996 0.0505229470260129 0.0425559400520295 0.0347196430436894 0.0215825976515097 0.259738652447621 0.0263636046172092 0.128754244694599 0 0 0 0 0 0 0 0 0 0 0.000233426704014939 0.000233426704014939 0.000269687162891046 0.000269687162891046 0.000269687162891046 0.000377073906485671 0.0010071502897347 0.00212736609795433 0.00264302093570386 0.00925925925925926 0.000233426704014939 0.000377073906485671 0.00132426784444447 0 0.00925925925925926 0 0.00148809523809524 0 0 0 0.000503113866905986 0.00972611266728914 0.00235511402707897 0.000737463126843658 0.0050758219754617 0.000269687162891046 0.00621495391392716 0.00339760221976705 0.0142486238046786 0.00495395207277583 0.027150069066582 0.0298239562273586 0.029260167506123 0.0846679241941971 0.141194814145182 0.444382049018131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.00109649122807018 0.00110034892643588 0.00110034892643588 0.00110034892643588 0.00166666666666667 0.00694444444444444 0.0277777777777778 0 0 0 0 0.0005175983436853 0.00168309950918647 0 0 0 0.0005175983436853 0 0.00276701559310255 0 0.00116550116550117 0 0.00361722630694479 0.0005175983436853 0.0356834172308335 0.0229971031172404 0.0635560315517476 0.0609847070543681 0.0786192301293946 0.114842585492764 0.40119439689287
3 206.916666666667 166.416666666667 15.3333333333333 19.6666666666667 2.33333333333333 2.58333333333333 0.583333333333333 0.433816557654452 0.0607886235806568 0.0492776061356021 0.0330896097243519 0.0273682338321036 0.226619397549668 0.0351327105477457 0.13390726097542 0 0 0 0 0 0 0 0 0.000186846038863976 0.000186846038863976 0 0.000186846038863976 0 0 0 0 0 0 0.000373692077727952 0.00641025641025641 0 0.00181159420289855 0.00544662309368192 0 0 0 0 0 0 0 0.000595238095238095 0 0.000816993464052288 0.000373692077727952 0.00137732222934017 0.000186846038863976 0.00320512820512821 0.00842322074041713 0.0148521862397976 0.00982642288694156 0.0262491302890844 0.0138257072721422 0.0202142831649491 0.0684104743073722 0.155923238113968 0.577784079640487 0 0 0 0 0 0 0 0 0 0 0 0 0.000338753387533875 0.000338753387533875 0.000338753387533875 0.000338753387533875 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.00237127371273713 0 0 0 0 0 0 0.00259100563978613 0 0.00550474254742547 0 0 0 0 0 0.016260162601626 0.000338753387533875 0 0 0.00641025641025641 0.00490196078431373 0.00292975902732 0.0211177544391318 0.0477015477015477 0.0330853250060567 0.0730054519060975 0.151531797200736 0.54265990196765
4 122.545454545455 89.7272727272727 13.1818181818182 14.8181818181818 1.81818181818182 2.63636363636364 0.363636363636364 0.476917130117641 0.0499659186373624 0.0484769014905049 0.0153135338536839 0.0494985243735146 0.191812961327668 0.0295260640701579 0.138488966129468 0 0 0 0 0 0.00122549019607843 0.00225225225225225 0.00225225225225225 0 0 0 0 0 0 0.000268817204301075 0 0 0 0.00641025641025641 0 0 0.0043859649122807 0 0 0 0 0.00225225225225225 0 0.000868055555555556 0.000268817204301075 0.00149430740037951 0 0.000268817204301075 0.000268817204301075 0.000268817204301075 0.00225225225225225 0.00620672756089423 0.00673517445339077 0.0120000141895116 0.0156963153478757 0.0327974848790384 0.0167895130013127 0.0203379440496324 0.0786357268832406 0.144270282943108 0.558460313853597 0 0 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.0005175983436853 0.0005175983436853 0 0 0.0005175983436853 0.0102639296187683 0.0145929339477727 0.0298618763774795 0.0175828876236485 0.0788587744977998 0.0201171135822258 0.0509809671297224 0.184106568591141 0.474644840510899
5 81.4545454545455 62 7.18181818181818 10.4545454545455 0.454545454545455 1 0.363636363636364 0.51658961531641 0.0719461003060643 0.0193827690680988 0.0253842700742482 0.0263010489390212 0.177459152840628 0.0164771410195424 0.146459902435987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.000641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.0043859649122807 0.0291902071563089 0.03221617199683 0.00490196078431373 0.0457824009856236 0.00503472222222222 0.0145597571040814 0.0603461510150161 0.0855725372161262 0.46157070667536 0 0 0 0 0 0 0 0.00134408602150538 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.00736559139784946 0.0720833333333333 0.0969498779836803 0.0185663082437276 0.0724090597117364 0.107944501639594 0.286531686113018
6 102.909090909091 79.8181818181818 8.72727272727273 10.5454545454545 2 1.09090909090909 0.727272727272727 0.659790607145181 0.0483442391301271 0.0165577019739354 0.00892632881336314 0.00559503028996697 0.140901731362719 0.0173256145401302 0.102558746744577 0 0 0 0 0.00757575757575758 0 0 0 0 0.00757575757575758 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0.00450626959247649 0 0 0 0.00311696536600121 0 0 0 0.00198412698412698 0 0 0 0 0.00757575757575758 0.00597290640394089 0.00667077175697865 0.00375038485221675 0 0.0382619501012196 0.0109293170311489 0.00933442069941049 0.0691419835426471 0.0821475220182117 0.489471981940222 0 0 0.00128205128205128 0.00148809523809524 0.00396825396825397 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00942460317460317 0 0 0 0 0 0.0166590354090354 0.00872252747252747 0.0692002442002442 0.0204288766788767 0.0514270451770452 0.0807844932844933 0.4370115995116
7 76.5454545454545 56.9090909090909 7.90909090909091 9.90909090909091 0.636363636363636 1 0.181818181818182 0.603708414141705 0.0597773449514211 0.0228696098520524 0.0212043673501866 0.0207954937049147 0.16100448509093 0.0257461383683596 0.0848941465404302 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0 0 0.00231481481481481 0 0 0 0.00279931093884582 0 0 0.00416666666666667 0 0.00260416666666667 0 0 0.00641025641025641 0 0.00416666666666667 0.000484496124031008 0.014481774264383 0.00425279931093885 0.0460388665046147 0.0139382960035134 0.0193512156448203 0.0506613680621517 0.117208200052298 0.618016139199152 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.00213675213675214 0.0119047619047619 0.00595238095238095 0.11016576016576 0.0388639138639139 0.0293549043549044 0.121144133644134 0.579286916786917
8 91.1818181818182 68.6363636363636 8.45454545454546 11.4545454545455 1.27272727272727 1.09090909090909 0.272727272727273 0.590310872552457 0.049434904784593 0.0253847863537532 0.0195724016498381 0.0100378913823163 0.175671656233044 0.0154170954114727 0.114170391632525 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0.000621890547263682 0 0 0 0.0043859649122807 0 0 0 0.00387596899224806 0 0 0.00120772946859903 0 0.012163189238714 0.0028735632183908 0.00198412698412698 0.0182746822186913 0.0283209671081525 0.0365431623948632 0.01931214373685 0.0249482690246916 0.0545323411663423 0.0910081446613017 0.607831035949794 0.00520833333333333 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0.0146825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.00378787878787879 0.00641025641025641 0 0 0.00641025641025641 0.0166666666666667 0.00974025974025974 0.0339481120731121 0.0676163297486827 0.0563949938949939 0.0568747224997225 0.0763909225306284 0.526424283777225
9 105.090909090909 79.0909090909091 10.0909090909091 12 2 1.45454545454545 0.454545454545455 0.627458654517341 0.043990394646447 0.0264942933409763 0.0118914083877564 0.0154162681540681 0.17555391686593 0.0202954470867304 0.0788996170007506 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0 0 0.00148809523809524 0 0 0 0.00756047143033444 0 0 0 0 0 0 0 0.00238533360594289 0 0.00471230158730159 0.000656167979002625 0.00385410406747102 0.00520011374511022 0.018949730121327 0.00860378110385456 0.0132012429667753 0.070568963170904 0.0905346303456956 0.684327309357596 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0.0155956112852665 0.00540291351650378 0.0417943379023501 0.00683969512569918 0.0976210721139727 0.0963344994911932 0.650048234201378
10 87.4545454545455 67.1818181818182 7.45454545454545 10.1818181818182 1.09090909090909 1.36363636363636 0.181818181818182 0.707085202034715 0.0422496267142712 0.0184597721141102 0.0119766015074142 0.0187606634032663 0.129286404700468 0.0186001817452151 0.0535815477805397 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.000578703703703704 0 0 0 0.00115740740740741 0 0.00245098039215686 0.0111531986531987 0.000578703703703704 0.00173611111111111 0.0398107336238986 0.00180419389978214 0.0123312656654442 0.055037093787939 0.100368242243643 0.680821648636295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.00268817204301075 0.00390625 0.00130208333333333 0 0.0843553987455197 0.0206998089983022 0.0544362207602339 0.10178253513488 0.60582953098472
