"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_ee_Proportion" "Transition_jh_Proportion" "Transition_oo_Proportion" "Transition_jc_Proportion" "Transition_cc_Proportion" "Transition_ij_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_ge_Proportion" "Transition_hh_Proportion" "Transition_co_Proportion" "Transition_hi_Proportion" "Transition_jj_Proportion" "Transition_cg_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_gi_Proportion" "Transition_so_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sse_Proportion" "Transition_jsh_Proportion" "Transition_ges_Proportion" "Transition_scs_Proportion" "Transition_sjg_Proportion" "Transition_jgs_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_sjj_Proportion" "Transition_osj_Proportion" "Transition_osh_Proportion" "Transition_csi_Proportion" "Transition_ijs_Proportion" "Transition_osg_Proportion" "Transition_gsh_Proportion" "Transition_shs_Proportion" "Transition_shh_Proportion" "Transition_igi_Proportion" "Transition_sgi_Proportion" "Transition_isi_Proportion" "Transition_ish_Proportion" "Transition_esg_Proportion" "Transition_gig_Proportion" "Transition_igg_Proportion" "Transition_his_Proportion" "Transition_isg_Proportion" "Transition_sjs_Proportion" "Transition_gsj_Proportion" "Transition_csg_Proportion" "Transition_iii_Proportion" "Transition_sig_Proportion" "Transition_iig_Proportion" "Transition_gii_Proportion" "Transition_gsi_Proportion" "Transition_hsi_Proportion" "Transition_ssg_Proportion" "Transition_ses_Proportion" "Transition_sos_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_ggg_Proportion" "Transition_igs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 455.083333333333 360.166666666667 52.6666666666667 33.6666666666667 5.16666666666667 2.25 1.16666666666667 0.341762957714433 0.0359553067063468 0.0493106353029049 0.0129069299903698 0.00986806616929045 0.312965793035929 0.038726418145641 0.198503892935085 0 0 0 0 0 0 0 0 0 0 0 0 0.000267094017094017 0.000267094017094017 0.000267094017094017 0.000267094017094017 0.000267094017094017 0.000391236306729264 0.000391236306729264 0.000636132315521628 0.00112914011666697 0.00168569894607417 0.00240003998252828 0.00307214746628206 0.00384835749213962 0.00411760577590151 0.0043214943385687 0.00445572196936711 0.00767708780976937 0.00899962491531782 0.0122202216298606 0.0142822860058217 0.0209268136229593 0.0213218964895372 0.0302261042698888 0.030757180117781 0.157583971478691 0.191628129808454 0.476592402749941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000612745098039216 0.000946969696969697 0.000946969696969697 0.00122549019607843 0.00122549019607843 0.00155971479500891 0.00155971479500891 0.00155971479500891 0.00155971479500891 0.00183823529411765 0.00183823529411765 0.00193798449612403 0.00204952670723462 0.00217245989304813 0.00217245989304813 0.00245098039215686 0.00276416122004357 0.00306372549019608 0.00339795008912656 0.00437958011487423 0.00488958209546445 0.0049366211130917 0.00553260416217227 0.00612745098039216 0.00908147349849031 0.021129509297259 0.0277449106277749 0.0506721790844273 0.0528486608530478 0.118932021967576 0.167122316045484 0.486206141444209
2 277.166666666667 212.833333333333 34.25 23.9166666666667 3.33333333333333 2.33333333333333 0.5 0.300097888396228 0.0436284307823935 0.0992700638547918 0.0273364718171003 0.023095013693531 0.222282546250802 0.0469123924507854 0.237377192754367 0 0 0 0 0 0 0 0.000268817204301075 0.000268817204301075 0.000537634408602151 0.000551876379690949 0.000551876379690949 0 0 0 0 0.00238095238095238 0 0.00641466208476518 0.000268817204301075 0.00165562913907285 0.00171821305841924 0.000744047619047619 0.0139543446244477 0.00192444634337392 0.0011279237335107 0.0202854784504102 0.0011279237335107 0 0.00380099247328628 0.00766592278324452 0.0329664969215123 0.0145354458529109 0.051136505867169 0.0126963148112055 0.0490687549270169 0.171644783550673 0.126320596038202 0.476382726826382 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0.00072463768115942 0.00126262626262626 0.00126262626262626 0.00126262626262626 0 0 0 0 0 0 0 0 0 0.00217391304347826 0 0 0 0.00126262626262626 0 0 0 0.00126262626262626 0 0.00343653930610452 0.00072463768115942 0 0.00198726394378568 0.00324989020641195 0 0.00282059727711902 0 0 0.00335858585858586 0.0126293995859213 0.00668015559319907 0.0238750190458265 0 0 0.0568034711284139 0.0293398067915884 0.0220656431215437 0.0993616841369375 0.0882427329852959 0.116675930132125 0.518812323487054
3 135.333333333333 105.083333333333 14.25 12 1.91666666666667 1.83333333333333 0.25 0.34011808369548 0.0440424831973249 0.10304455461654 0.029336524210116 0.0331996588474241 0.19700677163419 0.0578884716621874 0.195363452136737 0 0 0 0 0 0.000534188034188034 0.000833333333333333 0 0 0 0 0 0 0 0 0.000534188034188034 0 0 0 0 0.001953125 0.00136752136752137 0.00784632034632035 0.000651041666666667 0 0.000651041666666667 0.0156605658567775 0 0 0.00213675213675214 0.00786427624662919 0.0277060158999497 0.000833333333333333 0.0280489653010033 0.033060721358955 0.0688680111404296 0.116774892351539 0.102319930597784 0.582355776327963 0 0 0 0 0 0 0 0 0.00101626016260163 0.00101626016260163 0.00177304964539007 0 0 0 0.00177304964539007 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00463944856839873 0 0 0 0 0.00268817204301075 0 0.0172811059907834 0 0 0.0339877105250743 0.0405131684705883 0.0667791381471127 0.113834627841587 0.0826243048057181 0.105284510336383 0.525016144009971
4 83.3333333333333 64.25 8.58333333333333 7.75 1.16666666666667 1.5 0.0833333333333333 0.412348559946975 0.0316792845615236 0.101024406292222 0.0196120038861974 0.0478655812976328 0.158658366078942 0.0331682973828328 0.195643500553674 0 0 0.00225225225225225 0.00225225225225225 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.00225225225225225 0.00351325455126158 0.00213675213675214 0.00213675213675214 0.00396825396825397 0.00225225225225225 0 0.000825082508250825 0 0 0 0.00856782106782107 0.0086957537452587 0.00225225225225225 0.0157708676752113 0.0478988547536935 0.0775737844964929 0.127375257812818 0.121776323576867 0.565149645275803 0 0 0 0 0.00396825396825397 0.00396825396825397 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.00416666666666667 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0.0119949494949495 0.00921717171717172 0.100550144300144 0.160723304473304 0.0676316738816739 0.133008658008658 0.486715367965368
5 54.1666666666667 41.4166666666667 4.91666666666667 5.83333333333333 1.08333333333333 0.583333333333333 0.333333333333333 0.463196821758255 0.0299197607159095 0.0806127078604529 0.025259045095924 0.0228595049189414 0.147230066164071 0.0375450703186562 0.19337702316779 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00575810185185185 0.00520833333333333 0 0 0.0167240507314037 0 0 0.00641025641025641 0.01171875 0.0198578042328042 0.0183150183150183 0.0177827380952381 0.0279793701668702 0.0568695533769063 0.106378238455444 0.11430268737254 0.588788847658333 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0230263157894737 0.00813492063492064 0 0 0.0291666666666667 0.0456349206349206 0.0335735171261487 0.0975616123642439 0.180894945697577 0.124415204678363 0.434565580618212
6 53.6666666666667 44.3333333333333 4.75 3.66666666666667 0.583333333333333 0.333333333333333 0 0.576708014695364 0.0103000148015459 0.0425179407091484 0.0190323422714919 0.01340961675683 0.193834066709204 0.0182690110215576 0.125928993034858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.00238095238095238 0.00833333333333333 0 0.00320512820512821 0 0 0.00268817204301075 0 0.0452898550724638 0.0341847135741771 0.00833333333333333 0.0142266335814723 0.0367559523809524 0.0296245421245421 0.0681838125934374 0.198366370364091 0.546046248632153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0502209595959596 0.135763888888889 0.015625 0.0732638888888889 0.088415404040404 0.470044191919192
7 56.25 43.8333333333333 6.25 5 0.833333333333333 0.25 0.0833333333333333 0.599922731909608 0.016356337426288 0.0499979912557438 0.0320323653773327 0.0104016354016354 0.122026469895841 0.0288197713341693 0.140442697399382 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0.0416666666666667 0 0 0.00124378109452736 0.0063143901628448 0.0202264466245075 0.00490196078431373 0.0729575163398693 0.0174320879976463 0.0458168307670337 0.19587298751943 0.0864855969728244 0.500113750136249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0.0413995726495726 0.0543582375478927 0.099828691423519 0.0998023767420319 0.072139067828723 0.453900625236832
8 55.25 44.4166666666667 4.25 5 0.666666666666667 0.75 0.166666666666667 0.575487201995369 0.0205364025286884 0.0414691635179996 0.0422693905505285 0.0171120426958502 0.109361368445461 0.0312801568943142 0.162484273371789 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0.00308641975308642 0 0.00260416666666667 0 0.00213675213675214 0.0166666666666667 0 0.0104166666666667 0.0267650462962963 0 0 0.00555555555555556 0.0507478632478633 0.01171875 0.00390625 0.0299961419753086 0.0126112891737892 0.0279180021367521 0.0980005045109212 0.0851332502374169 0.602320008309592 0 0.00277777777777778 0.0166666666666667 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0.00277777777777778 0.0138888888888889 0.0236111111111111 0 0.0208333333333333 0 0.0222222222222222 0.0257352941176471 0.0493464052287582 0.0694444444444444 0.089520202020202 0.546509209744504
9 66 52.6666666666667 6.33333333333333 5.58333333333333 0.5 0.75 0.166666666666667 0.506187688343335 0.0190751293077335 0.0536248848652079 0.0355950621939685 0.0139618750459782 0.182020152880985 0.0327436771204793 0.156791530242313 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00378787878787879 0 0 0 0 0 0 0.0191681929181929 0 0 0.00520833333333333 0.0150500374111485 0.0388595926586123 0 0.0125 0.0208297572676658 0.0484733245149912 0.0972777843978824 0.142922381721401 0.588662615978793 0.0104166666666667 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00757575757575758 0 0 0.0160714285714286 0.0790343915343915 0.0329695767195767 0.0852843915343915 0.156749037999038 0.0535714285714286 0.545595839345839
10 66.1666666666667 53.9166666666667 7.25 4.08333333333333 0.333333333333333 0.416666666666667 0.166666666666667 0.541187929526806 0.020613160325941 0.0395588553583707 0.0255634774038084 0.0213722349571729 0.165669460415506 0.0305502715156737 0.155484610496721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014161220043573 0 0 0 0.010272536687631 0.0328616352201258 0 0.00870020964360587 0.0372072476789458 0.0574360278702676 0.125194588317507 0.158614898789705 0.555551635748639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.0404411764705882 0.0465686274509804 0.159430438842204 0.129347572362278 0.0983455882352941 0.43062850140056
