"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oh_Proportion" "Transition_cc_Proportion" "Transition_go_Proportion" "Transition_oo_Proportion" "Transition_ge_Proportion" "Transition_ec_Proportion" "Transition_ic_Proportion" "Transition_gj_Proportion" "Transition_eh_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_ci_Proportion" "Transition_ei_Proportion" "Transition_hi_Proportion" "Transition_ji_Proportion" "Transition_he_Proportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_jg_Proportion" "Transition_hh_Proportion" "Transition_og_Proportion" "Transition_sc_Proportion" "Transition_cg_Proportion" "Transition_ih_Proportion" "Transition_oi_Proportion" "Transition_eg_Proportion" "Transition_ie_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ohs_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_esi_Proportion" "Transition_esg_Proportion" "Transition_sei_Proportion" "Transition_jsc_Proportion" "Transition_oos_Proportion" "Transition_his_Proportion" "Transition_eis_Proportion" "Transition_ieh_Proportion" "Transition_gsc_Proportion" "Transition_hii_Proportion" "Transition_hes_Proportion" "Transition_jcs_Proportion" "Transition_iih_Proportion" "Transition_shg_Proportion" "Transition_egi_Proportion" "Transition_geg_Proportion" "Transition_cgs_Proportion" "Transition_ees_Proportion" "Transition_gig_Proportion" "Transition_hih_Proportion" "Transition_ecs_Proportion" "Transition_shh_Proportion" "Transition_ihh_Proportion" "Transition_ssh_Proportion" "Transition_hsh_Proportion" "Transition_sjc_Proportion" "Transition_cgj_Proportion" "Transition_eie_Proportion" "Transition_hgi_Proportion" "Transition_osg_Proportion" "Transition_iig_Proportion" "Transition_scs_Proportion" "Transition_iie_Proportion" "Transition_ehs_Proportion" "Transition_ies_Proportion" "Transition_sgi_Proportion" "Transition_eii_Proportion" "Transition_cis_Proportion" "Transition_hhh_Proportion" "Transition_sse_Proportion" "Transition_iee_Proportion" "Transition_shi_Proportion" "Transition_ise_Proportion" "Transition_iei_Proportion" "Transition_gso_Proportion" "Transition_ihg_Proportion" "Transition_ihs_Proportion" "Transition_ese_Proportion" "Transition_sie_Proportion" "Transition_ggi_Proportion" "Transition_gii_Proportion" "Transition_jis_Proportion" "Transition_ois_Proportion" "Transition_eee_Proportion" "Transition_gsi_Proportion" "Transition_gis_Proportion" "Transition_ish_Proportion" "Transition_oig_Proportion" "Transition_ssg_Proportion" "Transition_sjj_Proportion" "Transition_gsj_Proportion" "Transition_iii_Proportion" "Transition_iis_Proportion" "Transition_ogs_Proportion" "Transition_hgs_Proportion" "Transition_see_Proportion" "Transition_ses_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_egs_Proportion" "Transition_igs_Proportion" "Transition_csh_Proportion" "Transition_gse_Proportion" "Transition_ssi_Proportion" "Transition_osi_Proportion" "Transition_isg_Proportion" "Transition_shs_Proportion" "Transition_sgg_Proportion" "Transition_isi_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_sii_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 384.25 299.75 39.8333333333333 33.25 6 3.33333333333333 2.08333333333333 0.351334363343746 0.0333905159253957 0.0476751423575519 0.0144960022526506 0.0190704949745163 0.331875295542489 0.03219109247711 0.169967093126541 0 0 0 0 0.000199840127897682 0.000199840127897682 0.000199840127897682 0.000199840127897682 0.000199840127897682 0.000394944707740916 0.000399680255795364 0.000399680255795364 0.000399680255795364 0.000399680255795364 0.000530785562632696 0.000594784835638598 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000706214689265537 0.00072463768115942 0.000799360511590727 0.000817124078514966 0.000817124078514966 0.00113030594632574 0.0011895696712772 0.00131942251679802 0.00137354904808548 0.00139888089528377 0.00237848259398521 0.00277881959834976 0.00301999396643382 0.00340557464507594 0.00381825692161495 0.0044201819648051 0.00442793508856628 0.00706606851538447 0.010844673638592 0.0114413171171901 0.0123856252383147 0.0125720615497095 0.0135450388467005 0.0139525264252994 0.023618740641903 0.0396378622117016 0.111598892225268 0.232878416643115 0.469963054430642 0 0 0 0 0 0 0 0 0 0 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.00107758620689655 0.00107758620689655 0.00107758620689655 0.00112612612612613 0.00120094624404969 0.00156014164634854 0.00156014164634854 0.00156014164634854 0.00177304964539007 0.00177304964539007 0.00191933704864739 0.00213675213675214 0.00213675213675214 0.0021551724137931 0.00220371233302268 0.00225313479623824 0.00229071784862286 0.00240189248809938 0.00261233019853709 0.0026377278532451 0.0026423004251299 0.0028735632183908 0.00297399588943976 0.0030473674453096 0.00309488563798909 0.00312028329269709 0.00313697318007663 0.0040491118077325 0.00501031535514294 0.00507428165966191 0.00517770822246244 0.0054373843934543 0.00547947193554185 0.0058232409525513 0.00729732770946753 0.0155533564802979 0.0181863382141921 0.0219181890548079 0.0232734743430387 0.0732685524506833 0.108911525865992 0.228699243316823 0.390245623606563
2 241.833333333333 192.583333333333 25.0833333333333 17.6666666666667 3.58333333333333 1.83333333333333 1 0.471252819782532 0.0308351579860451 0.0336257979629116 0.0127035961144053 0.0156462625220387 0.21143721755714 0.0229343623304374 0.118231452411157 0 0 0.000478927203065134 0.0006265664160401 0 0 0 0 0.000329380764163373 0 0 0 0.0024286341677646 0.00261125189849352 0.0006265664160401 0 0 0 0 0 0 0 0 0.00284513985886984 0 0.000329380764163373 0 0 0.00131752305665349 0 0 0.000915750915750916 0.00382133200662461 0.00344100344100344 0.00250775794254055 0.00157451244407766 0.00263504611330698 0.0221148023093103 0.0208497971162691 0.00885904365440697 0.00793471562012658 0.00435675435675436 0.010371123604948 0.0159709608794311 0.0293730463845385 0.112809312395322 0.162709030910475 0.494829306026527 0 0 0 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.0016025641025641 0.00260416666666667 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000586854460093897 0.00117370892018779 0.00117370892018779 0.00176056338028169 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0 0 0 0.00117370892018779 0 0.000586854460093897 0.00117370892018779 0 0 0 0.00260416666666667 0.00308331470303301 0 0 0.002189418562658 0 0 0.000586854460093897 0.00176056338028169 0 0 0 0.00714250782472613 0.00333333333333333 0 0 0.000586854460093897 0 0 0 0 0.00234741784037559 0.000586854460093897 0.0027762730227519 0.00117370892018779 0.00634578544061303 0.00392018779342723 0.000586854460093897 0.0097466744913928 0.0363091744913928 0.0328911234501023 0.00728331527627302 0.0179365449994396 0.061857030161122 0.0982347353688992 0.13079074397718 0.462602137012748
3 196.916666666667 169.25 13.75 10.8333333333333 1.58333333333333 1.33333333333333 0.166666666666667 0.681753271282058 0.0385766334355935 0.0355675277542867 0.0182722774408414 0.0170938433531418 0.108512467673769 0.0167233435366111 0.0835006355236991 0 0.00277777777777778 0 0 0 0 0 0.00277777777777778 0 0.0016025641025641 0 0 0 0 0 0 0 0 0.00112612612612613 0 0 0 0 0.00372474747474747 0 0 0 0.00112612612612613 0 0 0 0.0039039039039039 0 0.00229983504631392 0 0 0 0.0114491450265581 0.040420589762695 0.00607216531512306 0.00148809523809524 0 0.00347222222222222 0.0197890081199423 0.0326438249946404 0.0813336155760885 0.105230874794193 0.678761600615105 0 0 0.00641025641025641 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00616039426523297 0.109782189137028 0.00899953249181861 0.0102777777777778 0.0623546764518013 0.061524902944959 0.121332575987204 0.600070087696315
4 110.583333333333 92.5 8.08333333333333 8.25 0.75 0.833333333333333 0.166666666666667 0.668277462025196 0.0395074888306232 0.0407142444063843 0.0206265842906548 0.0211347498901781 0.13355400114418 0.0156093417727046 0.0605761276400794 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0.00260416666666667 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00699013157894737 0.0291437076577044 0.00720565575999275 0 0.00282485875706215 0.00777207850133809 0.0200218737582868 0.0307111146201427 0.101815700183283 0.101734522111702 0.680822747631525 0 0.00520833333333333 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0.00245098039215686 0 0.0144675925925926 0.0604506056808688 0.0217592592592593 0.0123925008599931 0.0695562435500516 0.0976550342359166 0.0980859010270775 0.607863254951103
5 100.083333333333 82.3333333333333 7.41666666666667 8.16666666666667 1 0.916666666666667 0.25 0.687020082975883 0.0475361406868665 0.0426489297864664 0.0183451908838781 0.0159408649607075 0.104654425382002 0.0199805099721988 0.0638738553519982 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.0028735632183908 0 0 0 0 0 0 0.00166666666666667 0 0 0.00203252032520325 0.00394880174291939 0.00308641975308642 0.00666800053354675 0.0194544186238181 0.00675292700639425 0 0.00308641975308642 0.0117456305638475 0.0166744296696967 0.0462955861425227 0.0706505296898883 0.123855641068311 0.677541937989314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0.0121212121212121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0316566399286988 0.0311872909698997 0.00852514919011083 0.102325692742892 0.0722549243169448 0.106035583425289 0.622658213187305
6 135.25 119.416666666667 7.08333333333333 6.83333333333333 0.75 0.833333333333333 0.333333333333333 0.795351791732711 0.0331332051264142 0.0215274250148424 0.0137876187447185 0.00910551215318324 0.0764583172803097 0.0123363992707297 0.0382997306770915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00238095238095238 0.00966536712150747 0.015402947293139 0.00866789091523134 0.00173611111111111 0.0110323089046493 0.0174134410099322 0.011294637302476 0.0299321627058189 0.0565251109568293 0.102577838308398 0.728797297152862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0148026315789474 0.0180598555211558 0.00757575757575758 0.0201970166056853 0.0639769209119054 0.0375438596491228 0.0855186540325859 0.726886707633612
7 94.0833333333333 80.5833333333333 5.75 6.41666666666667 0.75 0.416666666666667 0.166666666666667 0.690413204810917 0.0450938825663281 0.0324461518934329 0.0309240277428076 0.00907586326105229 0.111274523872559 0.0171325642666815 0.063639781586222 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0.0116970926301555 0.0254270647653001 0.00744949494949495 0.00326797385620915 0.00757575757575758 0.0174168152109329 0.0236764193660745 0.0411375051588033 0.0740950507684788 0.113376520932302 0.565284345190532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0.0188492063492063 0.0340102707749767 0.00595238095238095 0.0168067226890756 0.102719421101774 0.0897642390289449 0.106372549019608 0.512686741363212
8 147.916666666667 129.666666666667 7.83333333333333 7.5 1.5 1 0.416666666666667 0.825444695475222 0.0319515580292802 0.0154339173620421 0.0127678713434942 0.00501167488809372 0.0655170014843177 0.00639921028117399 0.0374740711363764 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0.00141242937853107 0 0.00154320987654321 0 0.00462962962962963 0 0.002716918796731 0.0208212615832772 0.0122928789376629 0.00154320987654321 0 0.010966645796458 0.00872901826788991 0.00728784213563859 0.032652286268067 0.104242621555069 0.787061446476418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0.00333333333333333 0 0.00333333333333333 0 0 0 0 0 0 0.0208295625942685 0.0131623931623932 0.0136446886446886 0.0106837606837607 0.0152991452991453 0.0806462165285695 0.829323976676918
9 119.333333333333 102.5 6.75 8.33333333333333 0.5 0.75 0.5 0.785882605332338 0.0361668990453771 0.0184338162074631 0.0161286074503246 0.00509220380806056 0.085605575472517 0.0120761852376906 0.0406141074462292 0.00308641975308642 0 0 0 0 0 0.00252525252525253 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.00163398692810458 0 0.0106143856143856 0.0288552950317656 0.0184269162210339 0 0 0.0041592394533571 0.0166791692447923 0.0068986568986569 0.0358113442593202 0.0791547338036902 0.786931428376716 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0.00490196078431373 0.0464461342750816 0.00490196078431373 0.036369332421964 0.0180288461538462 0.0239448051948052 0.0849199615743733 0.765191183515487
10 113 99.5833333333333 5.33333333333333 6.83333333333333 0.5 0.75 0 0.765953634865083 0.0520244537414707 0.0242947330107657 0.0114841591237813 0.00779702873503362 0.090213603832412 0.0119683786558893 0.0362640080355648 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0.00757575757575758 0 0.0036231884057971 0 0.00587544065804935 0 0.00347222222222222 0.0206276929103016 0.0137304416716181 0.0045045045045045 0 0.0137012012012012 0.0196900574138426 0.0223106258432345 0.0403587003650942 0.0767162012046922 0.75633520785375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.00490196078431373 0 0 0.00757575757575758 0.0271241830065359 0.014161220043573 0.0314153439153439 0.0222630718954248 0.0627061935885465 0.0815806878306878 0.743369620575503
