"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_og_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_ee_Proportion" "Transition_io_Proportion" "Transition_hg_Proportion" "Transition_ii_Proportion" "Transition_jo_Proportion" "Transition_gc_Proportion" "Transition_sc_Proportion" "Transition_co_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_gj_Proportion" "Transition_cg_Proportion" "Transition_si_Proportion" "Transition_jg_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ogs_Proportion" "Transition_iis_Proportion" "Transition_shs_Proportion" "Transition_egs_Proportion" "Transition_gsc_Proportion" "Transition_ses_Proportion" "Transition_hgs_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_ssj_Proportion" "Transition_sii_Proportion" "Transition_jsi_Proportion" "Transition_sis_Proportion" "Transition_gcs_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_jcs_Proportion" "Transition_jgs_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 255.5 192.916666666667 28.8333333333333 26.8333333333333 3.41666666666667 2.58333333333333 0.916666666666667 0.45710951958502 0.0374962399389393 0.0503029017229427 0.0148940353106598 0.00993624049014345 0.26999428792196 0.0192100419657534 0.141056733064581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000267094017094017 0.000764525993883792 0.000764525993883792 0.000915750915750916 0.00105485232067511 0.00130208333333333 0.00150074603560151 0.00176763268156425 0.00284321421387636 0.00287997027127462 0.00417564655172414 0.0140188904643627 0.014711951106936 0.0155873050696159 0.0165155640060148 0.0322366565354924 0.0800096901382158 0.180054860916877 0.628629039433824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.00119047619047619 0.00119047619047619 0.00181159420289855 0.00320512820512821 0.00531688520818956 0.00699300699300699 0.0100782416914792 0.0134557526714389 0.0237052684969352 0.0656752573162934 0.0783905494665005 0.191770900024861 0.595430749056601
2 132.083333333333 96.5 15.3333333333333 14.8333333333333 2.66666666666667 2.25 0.5 0.495137279409675 0.0391502071774845 0.0508927006727267 0.0179495885445252 0.0112417563259318 0.219134089874196 0.02789765575047 0.13859672224499 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.0043859649122807 0 0 0.000737463126843658 0 0 0 0.00116924205603191 0.000737463126843658 0 0.00279507629556794 0.00600408788962698 0.00160102098522017 0.0116896917535026 0.0194746506005743 0.00390302184795793 0.0650979964304666 0.0749851852592516 0.135070742000044 0.666822351095039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00173611111111111 0 0 0.00189393939393939 0 0 0 0 0.014957264957265 0.00173611111111111 0.00126262626262626 0.0033993783993784 0.0354223322973323 0.0998938865715182 0.0731542762792763 0.10484422984423 0.660437217509586
3 77.25 56 9.41666666666667 8.58333333333333 1.41666666666667 1.41666666666667 0.416666666666667 0.519334399605782 0.0180162186175249 0.0432085923271999 0.0147288141161546 0.0151369032694207 0.205762820785113 0.027681438191885 0.15613081308692 0 0 0 0 0 0 0 0 0.000718390804597701 0.000718390804597701 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.00694444444444444 0.00132275132275132 0 0.0026697177726926 0.0132902298850575 0.0116085806303198 0.0186505863230001 0.0157664223443834 0.0321168116480986 0.0476576105886451 0.104099690300669 0.12567205494048 0.618045927385665 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0.00277777777777778 0 0 0.00277777777777778 0 0 0 0 0.0455026455026455 0.0342592592592593 0.0325905575905576 0.121164021164021 0.115079365079365 0.0796906796906797 0.564173789173789
4 112.166666666667 79.9166666666667 14.75 12.5833333333333 1.5 2.25 1.16666666666667 0.559985547980158 0.0159269396770233 0.0295174230602301 0.00683449864876493 0.0172005789519117 0.223845592157175 0.0174774625478561 0.129211956976881 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0.00320512820512821 0 0 0 0.00293016243556074 0.0036231884057971 0 0.00695041673302543 0.0111137623178681 0.00631136044880785 0.0089611667643568 0.007787317825681 0.0193658880186339 0.0238875673548857 0.0591107782975065 0.141433413306885 0.704129373695387 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0.00146198830409357 0 0 0.00694444444444444 0.00308641975308642 0.0246101364522417 0.00847953216374269 0.00694444444444444 0.0110375576622716 0.0377030922431866 0.0469512191117206 0.0999176235925243 0.751291214784219
5 98.6666666666667 71.75 12.0833333333333 10.4166666666667 1.25 1.83333333333333 1.33333333333333 0.542407620574377 0.0210240295499856 0.0270205945796608 0.0120536988248502 0.00844512380453068 0.201774583394997 0.0150375949988812 0.172236754272717 0 0 0 0 0 0 0.00154320987654321 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0.00561794650941938 0.000645994832041344 0 0.00450096002721272 0 0.00503195974432204 0.0103095109835925 0.017443737017316 0.0226379990664681 0.0313263032788822 0.0844216756892765 0.142041933797554 0.670855580771575 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0 0 0.00520833333333333 0 0 0.00833333333333333 0.0023578811369509 0 0 0 0 0.0186991869918699 0 0.00833333333333333 0.0102282515073213 0.0242720459804266 0.0818969979296066 0.0600672209115081 0.0804005937000123 0.69325837739786
6 91.25 65.0833333333333 11.0833333333333 10.1666666666667 2.08333333333333 2.16666666666667 0.666666666666667 0.555526110850492 0.0132278526030092 0.0238078833860974 0.018513728248716 0.0125825819228885 0.214781816027634 0.0220456184689974 0.139514408492165 0 0 0 0 0 0.000886524822695035 0 0 0 0.000886524822695035 0 0.00378787878787879 0 0 0 0 0 0 0 0 0.00268817204301075 0.00198301605076521 0 0 0.00757254205895972 0.0144444444444444 0.00543992557150452 0.0169631812360627 0.0134788997110851 0.00144208037825059 0.100600460820898 0.121736333642552 0.708090015609198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0.0166666666666667 0.00838081671415005 0.0208333333333333 0.034980288411661 0.00154320987654321 0.0954013150598681 0.0947637759358558 0.723365553351515
7 74.75 51.75 9.83333333333333 8.75 1.5 1.91666666666667 1 0.522787613372413 0.0265974760214583 0.0320040864153016 0.0152279763531429 0.00487922427204461 0.222407602906718 0.0145460895936718 0.161549931065249 0 0 0 0 0.00166666666666667 0 0 0 0 0.0108899554551728 0 0 0 0.00366680503666805 0 0 0.000886524822695035 0 0 0 0.0108695652173913 0.00114155251141553 0 0.0087329948854666 0.00238095238095238 0.0106581541595418 0.00364357864357864 0.017212870041238 0.0171092697110168 0.01710961826209 0.0663400205499548 0.104353090664089 0.723338380992062 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00378787878787879 0 0 0.00378787878787879 0 0.00185185185185185 0.00333333333333333 0.00641025641025641 0.00582039911308204 0.0181818181818182 0.0348314246140333 0.0283667781493868 0.0484221612800616 0.0934133895639728 0.749940978074594
8 75.8333333333333 54.0833333333333 8 10.1666666666667 1.41666666666667 1.75 0.416666666666667 0.583189544124889 0.018242493450837 0.026861378320638 0.0175003331345517 0.0162034959881706 0.189189595832399 0.0143713669359319 0.134441792212583 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00297619047619048 0 0 0 0 0.00126262626262626 0.00132275132275132 0 0.00278473962684489 0.0130801491146319 0.0092793021822693 0.00929322572756175 0.00738721362956369 0.0145355375618534 0.022447567505707 0.0657134079664136 0.134298215496574 0.71309382060176 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0 0 0 0.00268817204301075 0 0 0 0 0.00231481481481481 0 0 0.00445156695156695 0 0 0.0138888888888889 0.0138888888888889 0.00231481481481481 0.0250096006144393 0.0134781959378734 0.0435453510050284 0.0747022690571078 0.157997334207012 0.640343758690533
9 64.5833333333333 45.3333333333333 8.41666666666667 7.75 1.33333333333333 1.08333333333333 0.666666666666667 0.613269091450046 0.0437961306214994 0.0129236358352684 0.00881223524233922 0.0181201868921529 0.180692643761893 0.0174420729004041 0.104944003296397 0 0 0 0 0 0.00124378109452736 0 0 0 0.00520833333333333 0 0 0 0 0.00128205128205128 0 0.00124378109452736 0.00308641975308642 0 0 0.00124378109452736 0.0035929091484647 0 0.00102880658436214 0.0115785256410256 0 0.0155763428229224 0.018204546666404 0.0153071850988518 0.0121427008476138 0.0633554160813696 0.18072814227732 0.665177277179612 0 0 0 0 0 0.00252525252525253 0.00277777777777778 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0.0016025641025641 0 0 0.00277777777777778 0.00252525252525253 0.00925925925925926 0.0126262626262626 0.0122053872053872 0 0.0339290339290339 0.0103535353535354 0.0537101787101787 0.0432821807821808 0.721516446516447
10 72.8333333333333 52.3333333333333 7 8.33333333333333 2.08333333333333 1.75 1.33333333333333 0.638811021153763 0.0209109461386275 0.0167626996270116 0.0204346337707841 0.0062533694485132 0.162428808434081 0.014122739780253 0.120275781646967 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.0036231884057971 0 0 0 0 0.00320512820512821 0 0 0.0028735632183908 0.00320512820512821 0 0.0174814111691188 0.0036231884057971 0.0214991476407152 0.00611430395913155 0.00532407407407407 0.0166698989418972 0.0166577677582661 0.0519315209469406 0.0990649737370112 0.747026025060495 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.0014367816091954 0.00441297208538588 0 0 0.00441297208538588 0 0 0.00833333333333333 0.0104166666666667 0.0014367816091954 0.040719696969697 0.0111111111111111 0.0363574165298303 0.0778680371352785 0.115479180780905 0.682062669131635
