"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jh_Proportion" "Transition_oc_Proportion" "Transition_jo_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_oi_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_hg_Proportion" "Transition_ic_Proportion" "Transition_so_Proportion" "Transition_hi_Proportion" "Transition_ci_Proportion" "Transition_eg_Proportion" "Transition_og_Proportion" "Transition_ij_Proportion" "Transition_cg_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_gj_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jhs_Proportion" "Transition_ocs_Proportion" "Transition_jos_Proportion" "Transition_sso_Proportion" "Transition_his_Proportion" "Transition_isc_Proportion" "Transition_scs_Proportion" "Transition_sos_Proportion" "Transition_sii_Proportion" "Transition_jjg_Proportion" "Transition_jsg_Proportion" "Transition_hgs_Proportion" "Transition_ogs_Proportion" "Transition_isg_Proportion" "Transition_csh_Proportion" "Transition_shh_Proportion" "Transition_ois_Proportion" "Transition_shs_Proportion" "Transition_cis_Proportion" "Transition_ssi_Proportion" "Transition_sgi_Proportion" "Transition_egs_Proportion" "Transition_osg_Proportion" "Transition_gii_Proportion" "Transition_cgs_Proportion" "Transition_jcs_Proportion" "Transition_jgs_Proportion" "Transition_igg_Proportion" "Transition_csi_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_ssc_Proportion" "Transition_jsc_Proportion" "Transition_gsi_Proportion" "Transition_isi_Proportion" "Transition_ess_Proportion" "Transition_iis_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_scc_Proportion" "Transition_ggi_Proportion" "Transition_sis_Proportion" "Transition_ggs_Proportion" "Transition_iii_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 419.416666666667 332.333333333333 49.1666666666667 27.8333333333333 5.83333333333333 3.41666666666667 0.833333333333333 0.344987672052627 0.0327236991355555 0.0545897895806195 0.0147558617376203 0.0119080893105406 0.312308136690227 0.0352598854827027 0.193466866010108 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000270562770562771 0.000384024577572965 0.000541125541125541 0.000541125541125541 0.000679059502588914 0.000816993464052288 0.000839397983766043 0.00102015689309459 0.00141242937853107 0.00186780278472415 0.00221586978235587 0.00251767373616113 0.00262507848385711 0.0036867386250688 0.00497095519873161 0.00526838599900871 0.00842959784542561 0.00925554506456433 0.0107157895704888 0.0238742719418823 0.0307844686584164 0.0332753725133631 0.141605540734434 0.217144892646539 0.495257140762559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000936329588014981 0.000936329588014981 0.000980392156862745 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00109649122807018 0.00109649122807018 0.00174588284344382 0.00174588284344382 0.00187265917602996 0.00193798449612403 0.00213675213675214 0.00213675213675214 0.00219298245614035 0.0030063605645001 0.00359362859362859 0.00388263498019596 0.00397050482132728 0.00430161943319838 0.00703871292106586 0.011753887394792 0.026487626612173 0.0506865057952367 0.0800600117727503 0.114389534486387 0.162775570954091 0.502645809712468
2 251.083333333333 190 31.1666666666667 22.5833333333333 3.5 2.83333333333333 1 0.280616124252223 0.0434359007258227 0.0961822960432878 0.025628161664167 0.0359190356100796 0.177944269842744 0.066260747088525 0.27401346477315 0 0 0 0 0 0.000286368843069874 0.000286368843069874 0.000448028673835126 0.000555555555555556 0.000591016548463357 0.000591016548463357 0.000833333333333333 0.00171071872486656 0 0 0 0 0.000810477857744926 0 0.000286368843069874 0 0.0014367816091954 0.00364657210401891 0.000448028673835126 0 0 0.00957971414883124 0.00103904522229848 0.00231071943243543 0.0238111281450196 0.00822963442940589 0.0153711272521054 0.0493364876604007 0.023850045047109 0.0521081549148277 0.210290552220031 0.149147558627368 0.442995196741646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000541125541125541 0.000541125541125541 0.000541125541125541 0.00136612021857923 0.00238095238095238 0.00277854959711031 0 0 0 0 0 0 0.00337837837837838 0 0 0 0 0 0 0 0.00108225108225108 0.0145520334044924 0 0.00141242937853107 0.00527323005789246 0 0 0.00683433621311102 0.00136612021857923 0 0.00141242937853107 0.00244837130083032 0.0266279925039303 0.0482301775985328 0.120900145820171 0.0617122668681216 0.218759468927553 0.123440129691775 0.354421240357301
3 158.916666666667 125.833333333333 17 12.1666666666667 1.91666666666667 1.66666666666667 0.333333333333333 0.316885381900458 0.0447811664592287 0.0791646357531519 0.0299508224872783 0.0167914756989491 0.190158108162989 0.0538647025841567 0.268403706953789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0 0 0.00244057724957555 0 0 0 0 0.00317982456140351 0 0.00280879514750482 0.000672043010752688 0.00482804232804233 0.00119047619047619 0 0.00763458763458764 0.00712664951795387 0.0159612088083336 0.0536516134240723 0.0322799447073272 0.0517550950002784 0.178208169895905 0.165955569788429 0.471635359724605 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00157232704402516 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0105855855855856 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0.0036231884057971 0.00744776770207451 0.0352903269569936 0.0492051111807023 0.132861741495148 0.0726239250496983 0.211075503580145 0.0727776944675323 0.39195425938802
4 86.8333333333333 66.3333333333333 9.33333333333333 8.66666666666667 1.58333333333333 0.583333333333333 0.333333333333333 0.362280231465129 0.0463228644038316 0.0736992202375731 0.0248257096703715 0.0213980518555291 0.179388602708924 0.0591155968004148 0.232969722858227 0 0 0 0.00087719298245614 0.00245098039215686 0 0.000793650793650794 0 0.00520833333333333 0 0 0 0 0 0 0 0.00122549019607843 0 0 0.00122549019607843 0 0 0.0148080065359477 0 0 0 0.00122549019607843 0.00122549019607843 0.00333333333333333 0.0106156227673256 0.00201914098972923 0.0207134422594949 0.0209910806427834 0.0345390917275592 0.0401355363332917 0.150620578753319 0.123236903060819 0.564755145310486 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0.014520202020202 0 0 0 0 0 0 0 0 0.0253411306042885 0 0.00231481481481481 0 0 0 0 0 0 0 0 0.0237085769980507 0.0195212925476083 0.0666030606820081 0.0635129490392648 0.138424635793057 0.125042038857828 0.502492780124359
5 60.75 46.4166666666667 6.58333333333333 6.08333333333333 1.16666666666667 0.5 0 0.416932228140489 0.0330299671449186 0.0657148367200162 0.0207626688457254 0.0137792976900349 0.192165862905372 0.037935194289847 0.219679944263597 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00181159420289855 0.00795454545454546 0.00833333333333333 0.00297619047619048 0 0.00676406926406926 0.00181159420289855 0.0363963657310431 0.0402848928576488 0.0234007324294842 0.0299557954317772 0.174819997966036 0.130756302000166 0.529671862635572 0 0 0 0 0 0 0 0.00208333333333333 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.00595238095238095 0.00925925925925926 0 0 0 0 0 0.00595238095238095 0 0 0 0.0678240740740741 0.0244708994708995 0.050462962962963 0.0689153439153439 0.218716931216931 0.110747354497354 0.412466931216931
6 79.5 61.1666666666667 7.83333333333333 8 1.5 0.666666666666667 0.333333333333333 0.460897376132676 0.034962806567779 0.0555098648751141 0.038578463557646 0.00915788445025886 0.136023718136373 0.0385206367455871 0.226349249534566 0 0 0 0 0 0.00378787878787879 0 0.000574712643678161 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0 0 0 0.0101388888888889 0 0.00757575757575758 0.00238095238095238 0.000574712643678161 0.00203252032520325 0 0.00680555555555556 0.00890804597701149 0.0332743740933396 0.0280951849990958 0.0183594657375145 0.0555996041151634 0.153552698119561 0.108023385478179 0.559741550034864 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.00120772946859903 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0.00925925925925926 0.00416666666666667 0 0 0 0 0 0 0 0 0 0.0659722222222222 0.0254792436298191 0.102744920431941 0.0453771786492375 0.16255150610969 0.104218172776357 0.446152730415838
7 71.75 55.5833333333333 7.41666666666667 6.58333333333333 0.833333333333333 1.33333333333333 0 0.488598664686711 0.0282121117314074 0.0548459324402368 0.0529144009471656 0.0381873268340491 0.124326033311582 0.0540300262935355 0.158885503755313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0.0113805681334417 0 0.00181159420289855 0 0.00853172484964948 0 0 0.00378787878787879 0.019059233999558 0.0367183722666817 0.0193288725720846 0.021380671749895 0.0396025783118073 0.143607124716821 0.0661426866493992 0.543503766223652 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0422446976155416 0.0155228758169935 0.0815965494673934 0.0485578289286729 0.113908694791048 0.0671839882197938 0.52757272210597
8 79.75 61.25 9.5 6.58333333333333 1.16666666666667 0.833333333333333 0.416666666666667 0.495014685748977 0.0251572232894156 0.0403399577062061 0.0303783490976643 0.0208709582432849 0.164264442883111 0.042003374656548 0.181971008374793 0 0 0.00555555555555556 0 0 0 0 0 0 0 0.00315656565656566 0.000631313131313131 0 0 0 0 0 0 0 0.000631313131313131 0 0 0 0 0 0 0.00621739371739372 0 0 0.0103658536585366 0.00644599303135888 0.0188442429296088 0.00883266462534755 0.0171777296777297 0.0371031746031746 0.127521783771784 0.170482205238303 0.587034211272016 0 0 0 0 0.00198412698412698 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0240384615384615 0 0 0 0 0 0.0136111111111111 0 0 0.00320512820512821 0.00320512820512821 0.0240193833943834 0.0091765873015873 0.110367063492063 0.0399305555555556 0.101517857142857 0.161085164835165 0.502651098901099
9 55.4166666666667 39.75 7 5.83333333333333 0.833333333333333 1.66666666666667 0.333333333333333 0.499610824672399 0.0203350814963667 0.0519110689886255 0.041745701591173 0.0157604548229548 0.130185004284908 0.0447021874536633 0.195749676689909 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0.00925925925925926 0 0 0.0131944444444444 0.000563063063063063 0.0624536874536875 0.050076951951952 0.00277777777777778 0.0258946446446446 0.139028281528282 0.0968123318123318 0.593373901498901 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0.0649070065736733 0.0410654160654161 0.11513949013949 0.00757575757575758 0.0833654000320667 0.135822510822511 0.545089786756453
10 54.8333333333333 41.6666666666667 6.08333333333333 5.33333333333333 0.75 0.75 0.25 0.50642582244555 0.0202962945825834 0.0617445919856198 0.0404252930766498 0.0148512419121367 0.145869478790113 0.0316468323168752 0.178740444890473 0 0.00173611111111111 0.00277777777777778 0 0 0 0 0 0 0 0.0107962213225371 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0.00641025641025641 0 0 0.00173611111111111 0 0.0286458333333333 0.0420867070172626 0.0370493318409985 0.0154137272192828 0.021167695473251 0.0301846413414396 0.167638229014325 0.106266964773909 0.526354281142293 0 0.00347222222222222 0.00595238095238095 0.00833333333333333 0 0 0.0138888888888889 0.0138888888888889 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0.0138888888888889 0.059981684981685 0.0104166666666667 0.0531695156695157 0.0950727513227513 0.0865079365079365 0.0823412698412698 0.462807794057794
