"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_je_Proportion" "Transition_hi_Proportion" "Transition_ic_Proportion" "Transition_ig_Proportion" "Transition_hj_Proportion" "Transition_oj_Proportion" "Transition_oo_Proportion" "Transition_gc_Proportion" "Transition_ih_Proportion" "Transition_ge_Proportion" "Transition_sh_Proportion" "Transition_so_Proportion" "Transition_ij_Proportion" "Transition_gh_Proportion" "Transition_hg_Proportion" "Transition_ci_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_se_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_ie_Proportion" "Transition_ho_Proportion" "Transition_ei_Proportion" "Transition_hh_Proportion" "Transition_og_Proportion" "Transition_ii_Proportion" "Transition_jh_Proportion" "Transition_gj_Proportion" "Transition_gg_Proportion" "Transition_es_Proportion" "Transition_cg_Proportion" "Transition_hs_Proportion" "Transition_sc_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sgo_Proportion" "Transition_jos_Proportion" "Transition_sjs_Proportion" "Transition_igg_Proportion" "Transition_ogs_Proportion" "Transition_igs_Proportion" "Transition_ggg_Proportion" "Transition_esj_Proportion" "Transition_isj_Proportion" "Transition_ogi_Proportion" "Transition_ssh_Proportion" "Transition_jso_Proportion" "Transition_shs_Proportion" "Transition_gcs_Proportion" "Transition_gii_Proportion" "Transition_iii_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_sgg_Proportion" "Transition_sos_Proportion" "Transition_ges_Proportion" "Transition_ihs_Proportion" "Transition_jsg_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_ogg_Proportion" "Transition_gsc_Proportion" "Transition_hgs_Proportion" "Transition_ccc_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_iis_Proportion" "Transition_gsi_Proportion" "Transition_jis_Proportion" "Transition_ssi_Proportion" "Transition_scs_Proportion" "Transition_jse_Proportion" "Transition_ses_Proportion" "Transition_isg_Proportion" "Transition_sgi_Proportion" "Transition_csg_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_iei_Proportion" "Transition_ess_Proportion" "Transition_jgs_Proportion" "Transition_ggs_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_sis_Proportion" "Transition_jss_Proportion" "Transition_scg_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 273.25 217.25 24.25 27.0833333333333 2 2.16666666666667 0.5 0.455868716118245 0.058260341706905 0.0408813503271892 0.0214566293853629 0.0105060722101172 0.248815460903863 0.0256062774206812 0.138605151927636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043630017452007 0.000578703703703704 0.000621890547263682 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.00119047619047619 0.00182178932178932 0.00188451680988994 0.00239036462858452 0.00925925925925926 0.0103464851338702 0.0104497354497355 0.0116172609176341 0.0117582424846823 0.0137757299032891 0.0176256303664095 0.0183748931778255 0.0193194399246111 0.0973451963106928 0.185874298366403 0.581203705078278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000968992248062015 0.000968992248062015 0.00124378109452736 0.00163398692810458 0.00163398692810458 0.00166666666666667 0.00166666666666667 0.00177304964539007 0.00274204189345209 0.00300010714668381 0.00340703657349465 0.00645654705197417 0.0081490858520893 0.010746087165631 0.011660447761194 0.0211126499096724 0.0277777777777778 0.0334241729614865 0.0926179087128085 0.242319493900831 0.525030520867321
2 311.333333333333 249.833333333333 29.25 25.1666666666667 3.16666666666667 3.25 0.583333333333333 0.440872044635303 0.0658472064793072 0.0381677136945213 0.0118252134321689 0.0104212693936185 0.203045195781465 0.0242222289140078 0.122265794336275 0 0 0 0 0 0 0 0 0 0 0.000377073906485671 0.000377073906485671 0.000377073906485671 0.000530785562632696 0.000551876379690949 0.000559284116331096 0.000563063063063063 0.00109006967896379 0.00112612612612613 0.00120282857338538 0.0018794654366378 0.00246643320089954 0.000377073906485671 0.00367916590797106 0 0 0 0 0 0.000563063063063063 0.00176211268971648 0 0 0.00339568379745539 0.00183680975529499 0 0.0104493631744336 0.00399939931186465 0.00804819720382634 0.00892736256849992 0.0138845328620241 0.00916547831561749 0.0108039281348633 0.0173532650119949 0.076421562576397 0.145583195446404 0.505981985750234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.000868055555555556 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00128205128205128 0.0014367816091954 0.00146198830409357 0.00146198830409357 0.00240817740817741 0 0.000868055555555556 0 0 0 0 0.00289876991328897 0 0.00128205128205128 0 0.0024702121476315 0.00639619883040936 0.0117631396621027 0.0115695592961085 0.0028991757715162 0.0258731038299893 0 0.0326161854857419 0.074716086251805 0.131152458791048 0.50968031507394
3 297.25 236.333333333333 29.5 25 3.16666666666667 2.75 0.5 0.521841337745703 0.0516516738411462 0.0298123016519787 0.0111748687898 0.00853714156663707 0.192496317541317 0.0493046527444772 0.135181706118941 0 0 0 0 0.000402576489533011 0.000402576489533011 0.000427350427350427 0.000427350427350427 0.000677506775067751 0.00113238152075778 0 0 0 0.00376825530761151 0 0 0 0.00045045045045045 0 0 0.000524109014675052 0.00045045045045045 0.000427350427350427 0.00113238152075778 0.00113238152075778 0 0 0.000524109014675052 0 0 0.000427350427350427 0 0.000608272506082725 0.00210863036949993 0.00182926031982636 0.000853026939983462 0.0562287741168168 0.00202277749447561 0.00351991758241758 0.00895486532337952 0.0239868476736933 0.00849970083930629 0.0160997651305677 0.0117103189995874 0.0894098776415194 0.159059838293667 0.519468213172172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0.00166666666666667 0.00195945945945946 0.00641025641025641 0 0 0 0.00195945945945946 0.0022953216374269 0 0 0 0 0 0 0 0 0 0.00265246449456976 0 0 0 0 0 0 0 0.00119047619047619 0 0.00112612612612613 0.00925925925925926 0.000833333333333333 0.00789304341935921 0.0131128236391394 0.0964006039006039 0.00124378109452736 0.0453934621039884 0 0.019358098419371 0.0575051966096742 0.180192173408984 0.464547994367319
4 224 178.333333333333 19.3333333333333 20.6666666666667 2.25 2.25 1.16666666666667 0.464243978010622 0.0503524912511626 0.0490170069816718 0.0250796747045433 0.0180677472593174 0.221515519011351 0.0311153601444521 0.140608222636879 0 0 0 0 0 0.00040650406504065 0 0 0 0.00586970899470899 0 0 0.000645994832041344 0.00261474098683401 0 0 0.00040650406504065 0 0 0 0 0 0.000582750582750583 0.00315749669124598 0.001383457958885 0 0 0 0 0.000645994832041344 0.00221238938053097 0.000582750582750583 0 0.00313736650945953 0.00602134146341463 0 0.00484196873446895 0.00165063030916689 0.00676406926406926 0.00866893495081569 0.0680532932048548 0.0456925471956669 0.00993775347150276 0.0211832249574246 0.0783022366269487 0.138668185141285 0.588570155199052 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00138888888888889 0.00151515151515152 0.00303030303030303 0 0 0.00379464285714286 0 0 0 0.00260416666666667 0.000833333333333333 0.00285714285714286 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0.0147222222222222 0.00520833333333333 0.00166666666666667 0.00369047619047619 0.00424603174603175 0.00492784992784993 0.00884748102139406 0.0424521025472112 0 0.0331304556268801 0.0707396610349986 0.182336988510473 0.520731045746778
5 166.916666666667 133.916666666667 13.8333333333333 15.4166666666667 1.66666666666667 1.66666666666667 0.416666666666667 0.552571869747695 0.0552317746208364 0.0480050314341161 0.00415328343977905 0.0166750516353216 0.178173062319538 0.018246359773693 0.126943567029021 0 0 0 0.000801282051282051 0 0.00101626016260163 0 0 0 0 0 0 0 0.00108284272497897 0 0 0 0.000574712643678161 0 0 0.00173362027737924 0 0 0.00352312356239599 0 0 0 0.000574712643678161 0 0 0 0 0.000706214689265537 0.0106008750347289 0.00211864406779661 0.000508130081300813 0.00666051809220809 0 0.00122549019607843 0.00357811482848902 0.0371780315249329 0.0012809273329437 0.00933311641507177 0.0129542905714711 0.0520097826826179 0.114812616154091 0.571060027596343 0 0 0 0 0 0.00234741784037559 0.00311169341631182 0 0 0 0 0 0 0 0 0 0 0 0.00866724897186738 0 0 0 0 0.00749354005167959 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0.00387596899224806 0 0.00416666666666667 0.00284037558685446 0.00193798449612403 0.0116010593475382 0 0.0640024004092134 0 0.0213611903982032 0.0590573421313677 0.14213111472119 0.497898954716839
6 131.25 102.833333333333 11.75 12.5833333333333 1.25 1.83333333333333 1 0.541461442323428 0.0900803121168819 0.0548593335805773 0.00481200568295546 0.0050569450755834 0.211113197510843 0.0118145889733327 0.0808021747363974 0 0 0.000744047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120445277558537 0 0 0 0 0 0.000683060109289617 0 0 0 0.029158993247391 0.0024455485991607 0 0.00423282462245192 0 0.00130208333333333 0.00460000229078268 0.0274086564691611 0.00325058372796632 0.0415420150739076 0.0155508798867926 0.0787159739229723 0.152013020612445 0.553814524376379 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0426829268292683 0 0 0 0 0.00203252032520325 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0.0202099447526277 0.00753897721163446 0.00342126256760403 0 0.0383397090714164 0 0.0106932303658876 0.124266344540735 0.14112671281317 0.482042868876951
7 92.4166666666667 71.9166666666667 7.16666666666667 10.9166666666667 1.33333333333333 0.583333333333333 0.416666666666667 0.530292380964717 0.0425022989725864 0.0733895407463138 0.0161541453694961 0.00993370028318535 0.153283646061108 0.010587754061149 0.080523200208111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0.000718390804597701 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0.00961756775933021 0.000718390804597701 0 0.00562502407035897 0.0021551724137931 0.00487891737891738 0 0.0275531549032465 0.00680281909051852 0.0140453278520128 0.0174500519772582 0.0497772667619032 0.157220524423739 0.617159597059757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0191327976797874 0 0 0 0 0.0191327976797874 0.00203252032520325 0 0 0 0 0.00157232704402516 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490608354359406 0.00806907866821306 0.00157232704402516 0 0.0496828567423605 0 0.0210617439209525 0.0534143637901354 0.119022285017434 0.448828491500457
8 48.9166666666667 37.5 3.25 6.33333333333333 0.916666666666667 0.833333333333333 0.0833333333333333 0.48257182348783 0.0485925342099872 0.0270451439262277 0.019747288263331 0.0417488891939963 0.269616223633326 0.011434400384165 0.0992436969011367 0 0 0 0 0.000886524822695035 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00670077972709552 0 0 0 0 0 0 0 0 0 0.0439814814814815 0.02535093374959 0 0.0140444195595371 0.00208333333333333 0.00965845464725644 0.00252525252525253 0.0288082862970881 0.0351063829787234 0.0043859649122807 0.0207951811885183 0.0767344228290477 0.17533872021554 0.532766528399227 0 0 0.0104166666666667 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0.060906862745098 0.00757575757575758 0 0 0.0694444444444444 0.0167855020796197 0 0.0567791889483066 0 0.043484477124183 0.0617219994058229 0.202324717765894 0.383060383244207
9 39.0833333333333 27.75 3.41666666666667 5.33333333333333 0.833333333333333 1.16666666666667 0.583333333333333 0.612612531599013 0.0366342991428522 0.0446589793996744 0.0175536045206588 0.0908980442514654 0.0963124636890788 0.0234796492174371 0.0778504281798199 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.0208333333333333 0 0.0212242306101955 0.00219298245614035 0.00889300716580183 0 0.0252863108583932 0.0329719545342229 0.00450704225352113 0.0110859896219422 0.0489640070194104 0.0481060775168595 0.684761355709992 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.00181159420289855 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0.0833333333333333 0.00555555555555556 0 0 0.0174365942028985 0.0252314814814815 0 0.0527591621341621 0 0.0177838164251208 0.0613282349695393 0.0730298033287164 0.565821607941173
10 23.5833333333333 15.9166666666667 2.91666666666667 2.91666666666667 0.583333333333333 0.75 0.416666666666667 0.607286704358441 0.0136938270627295 0.0337319066616864 0.0155929252199413 0.0353535353535354 0.116652449151671 0.0112917795844625 0.0830635392742002 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00555555555555556 0 0.00763888888888889 0 0.0091235632183908 0 0.0192542821726392 0.00763888888888889 0.00661764705882353 0.0180964052287582 0.0360167342799189 0.0597970797514408 0.573275660839048 0 0.00520833333333333 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.00520833333333333 0 0 0.0190972222222222 0.0190972222222222 0 0.0391910173160173 0 0.0190972222222222 0.0615079365079365 0.0462797619047619 0.508924062049062
