"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ec_Proportion" "Transition_hh_Proportion" "Transition_jo_Proportion" "Transition_jh_Proportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_hc_Proportion" "Transition_og_Proportion" "Transition_ci_Proportion" "Transition_ij_Proportion" "Transition_gc_Proportion" "Transition_jc_Proportion" "Transition_cc_Proportion" "Transition_eg_Proportion" "Transition_ji_Proportion" "Transition_oi_Proportion" "Transition_ic_Proportion" "Transition_hg_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_ig_Proportion" "Transition_ih_Proportion" "Transition_sh_Proportion" "Transition_jg_Proportion" "Transition_so_Proportion" "Transition_cg_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_gi_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ois_Proportion" "Transition_sjh_Proportion" "Transition_gec_Proportion" "Transition_shh_Proportion" "Transition_ehs_Proportion" "Transition_jgs_Proportion" "Transition_jis_Proportion" "Transition_iso_Proportion" "Transition_ogs_Proportion" "Transition_csg_Proportion" "Transition_iis_Proportion" "Transition_sjj_Proportion" "Transition_isj_Proportion" "Transition_scs_Proportion" "Transition_gso_Proportion" "Transition_ccs_Proportion" "Transition_ssh_Proportion" "Transition_igg_Proportion" "Transition_hsg_Proportion" "Transition_iii_Proportion" "Transition_shs_Proportion" "Transition_sgi_Proportion" "Transition_hgs_Proportion" "Transition_sjs_Proportion" "Transition_sig_Proportion" "Transition_gig_Proportion" "Transition_gsj_Proportion" "Transition_iig_Proportion" "Transition_isi_Proportion" "Transition_ssi_Proportion" "Transition_igs_Proportion" "Transition_ges_Proportion" "Transition_gsi_Proportion" "Transition_sii_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_ggi_Proportion" "Transition_osj_Proportion" "Transition_gis_Proportion" "Transition_jsi_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_sis_Proportion" "Transition_cgs_Proportion" "Transition_isg_Proportion" "Transition_osg_Proportion" "Transition_gih_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 535.75 429.916666666667 54.8333333333333 42.0833333333333 5.25 3 0.666666666666667 0.406669069912595 0.0270538136893813 0.0414308139851288 0.0113944689405486 0.0050182041601171 0.334375429318916 0.0268938058584688 0.147164394134844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000268817204301075 0.000268817204301075 0.000293427230046948 0.000293427230046948 0.000293427230046948 0.000502008032128514 0.000563063063063063 0.000586854460093897 0.000631313131313131 0.000855671664394972 0.00128842358011489 0.00255085579018909 0.00257027656286208 0.00495595549066116 0.00786826570342806 0.009552974655642 0.0104019024276147 0.0166111666229658 0.0176930867463066 0.0275271858995748 0.0888599132721279 0.231862973415809 0.573700193382968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.00130208333333333 0.00138206388206388 0.0015015015015015 0.00177304964539007 0.00177304964539007 0.00213281463281463 0.00370813397129187 0.00468843265453435 0.00477750477750478 0.00535920285655455 0.00698244938603981 0.00953715489456094 0.0139480696778161 0.0140122425136914 0.0211778517559892 0.0470194766713257 0.0821543160955993 0.192349961233476 0.580274449224931
2 489.916666666667 382 54.8333333333333 43 6.41666666666667 2.83333333333333 0.833333333333333 0.331828532590773 0.0422784529829543 0.0575828477154908 0.0198820580801521 0.00968343937586694 0.315225328181274 0.0342861791445454 0.189233161928944 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000373692077727952 0.0005175983436853 0.000651041666666667 0.000757575757575758 0.00111522954870594 0.00121545121545122 0.00131027253668763 0 0.000819243156199678 0 0 0.00381847186103045 0 0.000817610062893082 0.000555555555555556 0.00163282789239124 0 0.00184026299340026 0.00608239422978076 0.00287205236695528 0.0113455003700444 0.0083051511250647 0.00977771181842183 0.0118007019714808 0.0286545195854367 0.0120208375599398 0.0402208107569161 0.134713657828461 0.215855952030436 0.502925877689092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.000570776255707763 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00114155251141553 0.00114155251141553 0.00114155251141553 0.00136612021857923 0.00148809523809524 0.00148809523809524 0.00171232876712329 0.00185185185185185 0.00185185185185185 0 0 0 0 0 0 0.00637273397519299 0 0.00114155251141553 0 0 0.000570776255707763 0.009261517893736 0.00706218441153791 0.001936896474287 0.00376994193584757 0.00422000149711805 0.0142871210842519 0.00810147841344139 0.0273935545445563 0.0169041211455038 0.06744374796299 0.160681976393706 0.218272332376146 0.431339365605791
3 380.666666666667 296.166666666667 43.5833333333333 32.0833333333333 5.16666666666667 3.08333333333333 0.583333333333333 0.338398209028993 0.0433556106755017 0.0726710075850005 0.0187161628740949 0.0120859788854727 0.302549185239074 0.0403949300509629 0.1718289156609 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0.00070323488045007 0.00105485232067511 0 0.000672043010752688 0 0 0 0 0.000563063063063063 0.000351617440225035 0.00179965653201492 0 0 0.00101626016260163 0 0.00172689533142779 0 0.00268852104295142 0.000563063063063063 0.00159216346494372 0.0032104021332233 0.0014203493966985 0.0105284870351194 0.00305214441623502 0.0142583878969996 0.026749630897402 0.0341331956810825 0.0161022667918631 0.0501662702781497 0.131821294621404 0.204988399852611 0.490486183246818 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000841750841750842 0.00163398692810458 0.00260416666666667 0.00260416666666667 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0.00161812297734628 0.0027770657096471 0.00333333333333333 0 0.00177304964539007 0.00177304964539007 0 0.000809061488673139 0 0 0 0 0 0 0.00446122168840082 0.00177304964539007 0.00100401606425703 0 0 0 0.0060396338485852 0.00343120053027645 0.00358612719832024 0.00181307755293017 0.0028170936171872 0.0440362327135423 0.00810766336519175 0.0256275913456874 0.0261004439472717 0.0971844319070655 0.130468050531042 0.197930949129453 0.421981087782833
4 304.166666666667 237.75 33 28.1666666666667 2.83333333333333 2.16666666666667 0.25 0.373911827005136 0.0431399061520172 0.0677534568100903 0.0312946571576443 0.0130600184382549 0.261659376266892 0.0348341972243033 0.174346560945663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000427350427350427 0 0 0 0 0.000744047619047619 0.00180984123570942 0.000641025641025641 0 0 0 0 0.00167175062645446 0.000641025641025641 0 0 0.000636132315521628 0.0110235225919307 0 0.0107220069558987 0.00222989655060138 0.0456106477911875 0.0266951287428316 0.0306478026246592 0.0266598078685815 0.0387471652933745 0.12298052915351 0.165682356011407 0.512429962909883 0 0 0 0 0 0 0 0 0 0.000968992248062015 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0.00731079893313936 0 0 0 0 0 0.0174316886816887 0.00189393939393939 0.0016025641025641 0 0.00292531542531543 0.0467951822029863 0.00535795713634291 0.0301292978423865 0.0999114833983227 0.0656246111168278 0.135356985687135 0.147836745935205 0.432630407858538
5 190.5 144.583333333333 21 20.0833333333333 2.91666666666667 1.41666666666667 0.5 0.354197780068634 0.0382951133292802 0.087247067582454 0.0156516792127819 0.0127356839575314 0.217678004158963 0.0448117014321664 0.229382970258189 0 0 0 0 0 0 0 0.000520833333333333 0.000591016548463357 0.00141242937853107 0 0.000541125541125541 0 0 0 0.000915750915750916 0 0 0 0 0.000591016548463357 0.000541125541125541 0 0.000915750915750916 0.00106195887445887 0 0 0.000591016548463357 0.000520833333333333 0 0.00195741758241758 0.00713238875060515 0 0.00163268321513002 0.0108552371210599 0.0146495381487959 0.0176599520617529 0.0463416845439044 0.0137299056207284 0.039967782120712 0.184272702073037 0.133712839775508 0.519885011507549 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0 0 0 0.00154320987654321 0.00112612612612613 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0.00154320987654321 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0.00112612612612613 0 0 0 0.0113604930330559 0 0 0 0.00112612612612613 0.0289335133516565 0.0177927927927928 0.0409798483350313 0.0274752461413567 0.0936768699726017 0.193757737895547 0.123136496788035 0.4471629442992
6 97.4166666666667 74.8333333333333 9.75 9.91666666666667 1.16666666666667 1.41666666666667 0.333333333333333 0.470972088829185 0.0491880582733393 0.0755604655695473 0.0282722171875813 0.00543351942986545 0.139521475198302 0.0431787941138817 0.187873381398297 0 0 0 0 0 0.00072463768115942 0.00197499097146984 0 0 0 0 0.000801282051282051 0 0 0.00490196078431373 0 0 0.000801282051282051 0 0 0 0.00152591973244147 0 0 0 0 0.00111111111111111 0.00445873307477717 0 0 0.00189834660134721 0.0157366876516493 0 0.00350091070391132 0 0.0382944648567735 0.0128384176210263 0.0242735501053825 0.00869797473058343 0.0229498087474205 0.0921290857230215 0.106145173398019 0.657235662403029 0 0 0 0 0 0.0028735632183908 0.00833333333333333 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0.0028735632183908 0 0 0.00396613190730838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0045343137254902 0 0 0 0 0 0.01875 0 0.00208333333333333 0 0 0.0125 0.00208333333333333 0.0249905665853942 0.0752427930419817 0.0312380908476243 0.0813618777361171 0.149347813838179 0.494972801032639
7 72.25 53.5 10.0833333333333 6.5 0.916666666666667 0.833333333333333 0.416666666666667 0.435467037059575 0.0450190464695855 0.0518306938063723 0.0326299566642368 0.00839583196557632 0.176385933913615 0.0478832803481544 0.202388219772885 0 0 0 0 0.00297619047619048 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0.0157543621823647 0 0 0 0 0 0.00193798449612403 0.00297619047619048 0.0337938251087343 0.0224975994079195 0.0271002182187132 0.00434491978609626 0.0547920034693327 0.197146720758344 0.136790220118169 0.494980761670404 0 0 0 0 0.00694444444444444 0 0 0 0.00416666666666667 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.0235449735449735 0.00462962962962963 0.0373860556787386 0.0816043712385176 0.0832677823531482 0.0495860169640657 0.150385680263729 0.461262156993864
8 54.0833333333333 41 5.5 6.08333333333333 0.666666666666667 0.583333333333333 0.25 0.430124955776872 0.0288438418206039 0.100126332347689 0.0296993340578486 0.0137613061433171 0.150956477708731 0.0471317842834915 0.199355967861448 0 0 0 0.0043859649122807 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.00694444444444444 0.00238095238095238 0 0 0.00490196078431373 0.00712121212121212 0 0 0.0142045454545455 0 0.00238095238095238 0 0.0365657181446655 0.0185827844651374 0.0285029580681755 0.00238095238095238 0.0784002352648873 0.0839717846096565 0.121130074387915 0.580426161954295 0 0 0 0 0 0 0 0 0.00641025641025641 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0221665589312648 0 0.0297619047619048 0.077453898225957 0.134396921161627 0.102961376858436 0.116003345782758 0.495176222198281
9 61.6666666666667 45.0833333333333 7.66666666666667 6.66666666666667 1.08333333333333 1.08333333333333 0.0833333333333333 0.509880598959305 0.0228636626698164 0.0675583352315302 0.022069417394751 0.00791068846624402 0.175948471516781 0.0328951872127237 0.160873638548848 0 0.00185185185185185 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0.00185185185185185 0 0.00185185185185185 0.0166666666666667 0 0 0 0.00185185185185185 0.00333333333333333 0.0099537037037037 0.00260416666666667 0.0256444987853216 0.0098511486169714 0.0125841750841751 0.00607638888888889 0.0308349449132677 0.137152191748711 0.131207326428845 0.5889625287687 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.0156695156695157 0 0 0 0 0 0.00520833333333333 0 0 0.00462962962962963 0.00462962962962963 0.0182291666666667 0 0.0115740740740741 0.0483217592592593 0.0445601851851852 0.114672364672365 0.177662037037037 0.53227386039886
10 60.6666666666667 44.8333333333333 8.08333333333333 6.25 0.916666666666667 0.416666666666667 0.0833333333333333 0.474816719979002 0.0198034667876601 0.0607597783185361 0.0197414316903873 0.00994154678764544 0.171462781050218 0.0258032079694385 0.13433773408378 0.00102880658436214 0 0 0 0 0 0 0.00416666666666667 0.00245098039215686 0 0 0 0 0 0 0 0 0 0.00102880658436214 0 0 0 0 0 0 0 0.00268817204301075 0.00245098039215686 0.00102880658436214 0 0.00798838053740015 0.00887021475256769 0 0.00371697862737289 0.00102880658436214 0.020671192411652 0.0157250534622451 0.0182711336227044 0.0225677495211545 0.0333675692499222 0.0830888572075584 0.118769537285245 0.484424640824072 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0243055555555556 0 0.00308641975308642 0 0.00308641975308642 0.0138888888888889 0.00595238095238095 0.00694444444444444 0.0388367805034472 0.0612934904601571 0.0970187991021324 0.109328403078403 0.466505331088664
