"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oj_Proportion" "Transition_ic_Proportion" "Transition_ho_Proportion" "Transition_ie_Proportion" "Transition_eo_Proportion" "Transition_gc_Proportion" "Transition_eg_Proportion" "Transition_gh_Proportion" "Transition_ee_Proportion" "Transition_ih_Proportion" "Transition_co_Proportion" "Transition_ei_Proportion" "Transition_ce_Proportion" "Transition_oh_Proportion" "Transition_cj_Proportion" "Transition_hg_Proportion" "Transition_jo_Proportion" "Transition_cg_Proportion" "Transition_ji_Proportion" "Transition_cc_Proportion" "Transition_se_Proportion" "Transition_jj_Proportion" "Transition_gj_Proportion" "Transition_og_Proportion" "Transition_hi_Proportion" "Transition_go_Proportion" "Transition_jc_Proportion" "Transition_ge_Proportion" "Transition_jg_Proportion" "Transition_ch_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_ij_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ics_Proportion" "Transition_gsc_Proportion" "Transition_jsc_Proportion" "Transition_ggo_Proportion" "Transition_ihs_Proportion" "Transition_gse_Proportion" "Transition_sso_Proportion" "Transition_osc_Proportion" "Transition_shs_Proportion" "Transition_egs_Proportion" "Transition_sjs_Proportion" "Transition_gos_Proportion" "Transition_ghs_Proportion" "Transition_jcs_Proportion" "Transition_jgs_Proportion" "Transition_sse_Proportion" "Transition_sih_Proportion" "Transition_chg_Proportion" "Transition_see_Proportion" "Transition_csi_Proportion" "Transition_ihi_Proportion" "Transition_scc_Proportion" "Transition_jsg_Proportion" "Transition_jjj_Proportion" "Transition_cso_Proportion" "Transition_esg_Proportion" "Transition_scg_Proportion" "Transition_hgs_Proportion" "Transition_isc_Proportion" "Transition_ssc_Proportion" "Transition_hsi_Proportion" "Transition_osi_Proportion" "Transition_cgs_Proportion" "Transition_csg_Proportion" "Transition_osh_Proportion" "Transition_gsj_Proportion" "Transition_jos_Proportion" "Transition_iis_Proportion" "Transition_iig_Proportion" "Transition_isi_Proportion" "Transition_iii_Proportion" "Transition_esc_Proportion" "Transition_jis_Proportion" "Transition_ccs_Proportion" "Transition_sjj_Proportion" "Transition_scs_Proportion" "Transition_ogs_Proportion" "Transition_igi_Proportion" "Transition_gii_Proportion" "Transition_shi_Proportion" "Transition_his_Proportion" "Transition_gis_Proportion" "Transition_ggi_Proportion" "Transition_sgi_Proportion" "Transition_isg_Proportion" "Transition_gig_Proportion" "Transition_igg_Proportion" "Transition_cis_Proportion" "Transition_gsi_Proportion" "Transition_sjc_Proportion" "Transition_sig_Proportion" "Transition_igs_Proportion" "Transition_sos_Proportion" "Transition_ssj_Proportion" "Transition_sii_Proportion" "Transition_ess_Proportion" "Transition_ssi_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_sgg_Proportion" "Transition_ggg_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 611.583333333333 476.166666666667 64.3333333333333 55.5 7.5 5.75 2.33333333333333 0.385922373699307 0.0302278209290947 0.0403287171300415 0.0105056817227111 0.00368136548545729 0.374576160748688 0.0239754460600017 0.130782434224699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000138888888888889 0.000138888888888889 0.000138888888888889 0.000264550264550265 0.000264550264550265 0.000264550264550265 0.000264550264550265 0.000265392781316348 0.000275027502750275 0.000342935528120713 0.000443262411347518 0.000443262411347518 0.000520833333333333 0.000544662309368192 0.000574712643678161 0.000574712643678161 0.000683551198257081 0.000715000715000715 0.000756851919759877 0.00098559045367556 0.00153025276304375 0.0015666335978836 0.00182611182611183 0.00220899470899471 0.00303957776730054 0.00834249505210542 0.00880225135070972 0.0111816799484065 0.0118692098209952 0.0159788510714856 0.018004858299904 0.0261765101059929 0.0845122130109908 0.249555866731327 0.546803830368247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000233426704014939 0.000233426704014939 0.000233426704014939 0.000233426704014939 0.000466853408029879 0.000466853408029879 0.000466853408029879 0.000603864734299517 0.000603864734299517 0.000603864734299517 0.000603864734299517 0.000603864734299517 0.000672043010752688 0.000700280112044818 0.000700280112044818 0.000744047619047619 0.000744047619047619 0.000837291438314456 0.000933706816059757 0.0010707181423294 0.00113889641878257 0.0011671335200747 0.0011671335200747 0.00134408602150538 0.00163398692810458 0.00177304964539007 0.00183917653082738 0.00183917653082738 0.00185185185185185 0.00194795075580489 0.0019823313940961 0.00200647634940501 0.00218752099681891 0.00325323200383586 0.00418397243955053 0.00476665859888622 0.00538731657657489 0.00549701655903773 0.00734579620095354 0.00855207674467637 0.0106286236315422 0.0113838395514149 0.0221072668368292 0.036319400787929 0.11024418249157 0.236553376305379 0.500142465226968
2 565.75 426.166666666667 67.75 54.3333333333333 9.16666666666667 5.41666666666667 2.91666666666667 0.350140531749242 0.0295015307498802 0.0528926580018757 0.0161188758149723 0.00646885392988824 0.377534470036079 0.0278375707416006 0.139505508976462 0 0 0 0 0 0 0 0 0.000162127107652399 0.000162127107652399 0.000306372549019608 0.000306372549019608 0.000353107344632768 0.000353107344632768 0.000677361559937567 0.000324254215304799 0.000389408099688474 0.00161960729100036 0.000162127107652399 0.000162127107652399 0.000599572426987483 0.00103701774632257 0 0 0.000468499656672007 0 0.00183207448815283 0 0 0.000162127107652399 0.000218722659667542 0.000218722659667542 0.000551535207340873 0.000481695568400771 0.00319034246410718 0.00120055808359692 0.00281722909305019 0.00513363446763421 0.00274735194182058 0.0028110925965823 0.0108832058718924 0.0136148516623214 0.0162223499825693 0.00845034815634604 0.0125349338160111 0.0207990668052262 0.0380185449184634 0.0919874335231726 0.253217818365311 0.505823171347186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000286368843069874 0.000286368843069874 0.000286368843069874 0.000286368843069874 0.000286368843069874 0.000286368843069874 0.000286368843069874 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000572737686139748 0.00072463768115942 0.000739267393794512 0.000841750841750842 0.000915750915750916 0.00101100652422929 0.00105485232067511 0 0.000286368843069874 0.00105485232067511 0.00143184421534937 0.000572737686139748 0.00245748045221376 0.00330195726878829 0 0 0 0.00164506449524379 0.00477924642163399 0 0.000286368843069874 0.0011454753722795 0 0.000286368843069874 0.00271186389518976 0.000286368843069874 0.000859106529209622 0.00143184421534937 0.000286368843069874 0.000859106529209622 0 0.00159837392300413 0 0.000572737686139748 0.00280512623869891 0 0.00220044649392475 0.00465325104780506 0 0.00713972985972379 0.00672347252545992 0.00516735108243429 0.00744071176739154 0.00439886760482906 0.0107078761168674 0.00619585217705907 0.00429553264604811 0.0117948652978818 0.0232002130209935 0.0166708349543493 0.0725375876462937 0.0847963398538762 0.226159544496188 0.467129783925788
3 491.916666666667 378.75 52.6666666666667 49.6666666666667 5.66666666666667 4.33333333333333 0.833333333333333 0.368446742941188 0.0368479815731292 0.0481683592206627 0.0149544459645329 0.00743238433025964 0.361329286807818 0.026037353101115 0.136783446061295 0 0 0 0 0 0.000254065040650407 0.000279642058165548 0.000586854460093897 0 0 0 0.000595238095238095 0 0 0 0.00148543545141013 0 0.000279642058165548 0 0 0.000279642058165548 0 0 0.000254065040650407 0 0.000279642058165548 0.000656641530183418 0 0.000636132315521628 0 0.00145498029785782 0.000805152979066023 0.000508130081300813 0.00124349599027731 0.00147705181626593 0.00204860638006107 0.000813349156981503 0.00198045164039831 0.000254065040650407 0.000402576489533011 0.00569108821636224 0.0127585762783893 0.0143387237431665 0.00976091709857797 0.00342058212586292 0.0156752005402923 0.0283377069025895 0.0865582930129638 0.25476703706008 0.552117014982913 0 0 0 0 0 0 0 0 0.000524109014675052 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.00146198830409357 0.00147107871164475 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00189393939393939 0 0 0 0.000595238095238095 0 0 0.000737463126843658 0 0 0 0 0 0 0 0 0 0 0.000524109014675052 0 0 0 0 0 0.000946969696969697 0 0 0 0.000946969696969697 0.00146198830409357 0.000524109014675052 0.00227967091905145 0.00379769152166717 0.00227967091905145 0.00122549019607843 0.00368271665441477 0.0022386942198263 0.00111934710991315 0.00933230734220048 0.00360852459909064 0.0010482180293501 0.0114575255350697 0.0203229114168778 0.0181808802066012 0.0482875317855616 0.0936325390827545 0.239460946812458 0.521508210935751
4 339.916666666667 267.333333333333 36.0833333333333 30.8333333333333 3.08333333333333 1.91666666666667 0.666666666666667 0.438303726374812 0.0429772043669251 0.0563076906821958 0.0137724208615541 0.0134587512790224 0.271319789408479 0.0255163688907207 0.138344048136291 0 0 0 0 0.000341530054644809 0 0.000656167979002625 0 0 0 0 0 0 0 0 0 0.00157246190353661 0 0.000341530054644809 0.000896057347670251 0 0.00277039636671022 0 0.000936329588014981 0 0 0.00177266081871345 0 0.00623794422422324 0 0.000825082508250825 0 0.000603864734299517 0 0.00431848156467795 0 0.00272404557194155 0 0 0.000771604938271605 0.00298347380220738 0.0108025585544679 0.0210598833767261 0.0354286571069792 0.00618633548969013 0.00776867075196733 0.0256173079489774 0.0835513306899741 0.204886326133535 0.576947298490873 0 0 0 0 0 0 0.00170068027210884 0.00231481481481481 0 0 0 0 0 0 0.004940424295263 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00257433169667212 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0.00716810966810967 0 0.0016025641025641 0 0.000801282051282051 0.000801282051282051 0.0108736160724933 0.000801282051282051 0 0.00268817204301075 0.0162375707575038 0.0749636830113516 0.0488708151681284 0.0638163639345394 0.180405537897782 0.575351605651607
5 240 184.666666666667 23.6666666666667 26 2.58333333333333 2.75 0.333333333333333 0.505962296687742 0.0319626453408386 0.0477927025824285 0.0137635648251471 0.0123919293743226 0.225854581312202 0.0267260643471857 0.135546215530134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0.00163398692810458 0 0.000505050505050505 0 0.00130582137161085 0 0 0 0 0.00203252032520325 0.0104295760977593 0.000816993464052288 0.00102880658436214 0 0.000548245614035088 0 0.00444166901210245 0.00971479500891266 0.0184474140960333 0.031993665670291 0.000816993464052288 0.00746918732295703 0.0238866703602537 0.106389535602459 0.158754010725872 0.619027482089313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.00120772946859903 0 0 0.00141242937853107 0 0 0 0.00245098039215686 0 0 0 0 0 0 0.00647707126035299 0 0.00245098039215686 0 0 0 0.0264440269875053 0 0 0.00716011042097999 0.0169428016064736 0.0669911072252247 0.0455703902423526 0.107785743307539 0.157164492224316 0.554318948688015
6 171.916666666667 135.416666666667 13.1666666666667 19.9166666666667 1.33333333333333 1.83333333333333 0.25 0.483302320493103 0.0392254507387324 0.0563493089781637 0.0177859910014853 0.0141100145427887 0.19053428995996 0.0302271178180658 0.168465506467701 0 0 0.000608272506082725 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00759144237405107 0 0 0 0 0 0 0 0.0111211292880709 0 0.00235690235690236 0 0 0 0.00897108899524482 0 0.0027233782129743 0 0 0.00396825396825397 0.00584270155130023 0.0181967091528421 0.00876572871463622 0.050856625399121 0.00457652647433669 0.00988072048820813 0.04048244849005 0.0931581155042879 0.119820218074287 0.609906029529162 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0.00884198343079922 0.00128205128205128 0.00256410256410256 0 0.00566801619433198 0 0.0103383458646617 0 0 0.00885780885780886 0.0315037210238449 0.110177317092952 0.0749152044421007 0.0838804659750867 0.0973257824834837 0.547102122951581
7 128.666666666667 98.5833333333333 8.5 17.6666666666667 1 2.75 0.166666666666667 0.566086735804902 0.0322912800140252 0.0401397656365711 0.0192531297077903 0.00813501405579845 0.155349330025016 0.0264843994168298 0.152260345339067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0 0.00231481481481481 0 0.00163398692810458 0 0 0 0 0.00225225225225225 0 0.000850340136054422 0 0 0 0.0100125510664726 0 0.000992063492063492 0 0 0 0.00817714590162822 0.0133984009065818 0.0184726537556683 0.0439741252353425 0.00170068027210884 0.00737231445954187 0.0196224647699163 0.0960133045451013 0.0820708647505944 0.690149973221691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0.0144476372924649 0 0.00757575757575758 0 0 0 0.0228839682281187 0 0 0 0.0304985137999813 0.0887683170292067 0.0385417662506078 0.0993479633680846 0.0810102280431537 0.611448378383687
8 115.583333333333 85.75 10.5 15.5 1.16666666666667 2.25 0.416666666666667 0.553800633298169 0.0224686612249504 0.0602400942227037 0.0192636708703636 0.0128441586896018 0.164305566441053 0.0304031246881335 0.136674090565025 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00394834633965069 0 0 0 0 0 0.00248530035764078 0.00181159420289855 0 0 0 0 0 0.0131094628655333 0.0246394159215161 0.0273856901968496 0.00166666666666667 0.0301625378498948 0.0371214171209505 0.0630879362957598 0.112237750327235 0.679010548522071 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0224019401650981 0 0 0.00595238095238095 0.0190253979839172 0.0616742789004719 0.059152829990124 0.0575891965973366 0.174458101968455 0.591923187653428
9 110.083333333333 82.25 9.83333333333333 14.25 1.16666666666667 2.25 0.333333333333333 0.59595088131484 0.0223531692044394 0.0363226109726787 0.0204544303457887 0.0104228064449472 0.150178921546553 0.0280722184607266 0.136244961710027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00277777777777778 0 0 0 0 0 0 0.00274603596421295 0 0 0 0 0 0.00565504427577483 0 0.00163398692810458 0 0 0 0.00486111111111111 0.0153717132014096 0.00859163821311709 0.0429020068096097 0 0.00982454556398218 0.0151227163211188 0.081038294107625 0.0950147420537213 0.712945236157283 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0.00595238095238095 0 0 0.00578703703703704 0.0195199275362319 0.0847565980718155 0.0303183883346927 0.0774334964552356 0.0728356285421503 0.695797911830521
10 99.0833333333333 74.5833333333333 8.25 12.8333333333333 1.41666666666667 1.75 0.25 0.605911326142877 0.0220275098817059 0.0493399592533974 0.0184593011286747 0.0130149213432462 0.146036831848916 0.0279536980212663 0.117256452379916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0.00234928198001456 0 0.00114155251141553 0 0 0.00284529320987654 0 0 0 0 0 0.0126931134855949 0 0.00716305788775961 0 0 0 0.00348119437266724 0.00778666745394426 0.0176637299307704 0.0424969867801769 0.00114155251141553 0.0106015967948294 0.0378086250154094 0.0673566633509547 0.0828998779371634 0.701429254266592 0 0 0.00225225225225225 0.00225225225225225 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0078326093951094 0 0 0 0 0 0.0274206024206024 0 0 0 0.00522844272844273 0.0846335377585378 0.0724834006084006 0.0693127583752584 0.0876877283127283 0.634139659139659
