"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jh_Proportion" "Transition_gc_Proportion" "Transition_ec_Proportion" "Transition_co_Proportion" "Transition_je_Proportion" "Transition_io_Proportion" "Transition_eh_Proportion" "Transition_oj_Proportion" "Transition_ji_Proportion" "Transition_oe_Proportion" "Transition_hh_Proportion" "Transition_cc_Proportion" "Transition_oo_Proportion" "Transition_oc_Proportion" "Transition_ic_Proportion" "Transition_ho_Proportion" "Transition_og_Proportion" "Transition_gj_Proportion" "Transition_go_Proportion" "Transition_oh_Proportion" "Transition_ce_Proportion" "Transition_he_Proportion" "Transition_ee_Proportion" "Transition_ih_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_jo_Proportion" "Transition_hj_Proportion" "Transition_oi_Proportion" "Transition_ij_Proportion" "Transition_ci_Proportion" "Transition_ie_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_gh_Proportion" "Transition_hi_Proportion" "Transition_jj_Proportion" "Transition_sc_Proportion" "Transition_ei_Proportion" "Transition_cg_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_se_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jis_Proportion" "Transition_sci_Proportion" "Transition_jjs_Proportion" "Transition_csc_Proportion" "Transition_gsc_Proportion" "Transition_ige_Proportion" "Transition_ioh_Proportion" "Transition_oho_Proportion" "Transition_gcs_Proportion" "Transition_ohs_Proportion" "Transition_jsi_Proportion" "Transition_oes_Proportion" "Transition_ccc_Proportion" "Transition_gcc_Proportion" "Transition_sgc_Proportion" "Transition_gic_Proportion" "Transition_ooc_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_osc_Proportion" "Transition_gso_Proportion" "Transition_ehs_Proportion" "Transition_shh_Proportion" "Transition_jsc_Proportion" "Transition_occ_Proportion" "Transition_ssj_Proportion" "Transition_oig_Proportion" "Transition_sjc_Proportion" "Transition_gos_Proportion" "Transition_jso_Proportion" "Transition_scc_Proportion" "Transition_hhe_Proportion" "Transition_hes_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_osi_Proportion" "Transition_ssc_Proportion" "Transition_cis_Proportion" "Transition_ijs_Proportion" "Transition_hgj_Proportion" "Transition_hig_Proportion" "Transition_ccs_Proportion" "Transition_csi_Proportion" "Transition_eis_Proportion" "Transition_goo_Proportion" "Transition_gii_Proportion" "Transition_sgo_Proportion" "Transition_ies_Proportion" "Transition_iig_Proportion" "Transition_igo_Proportion" "Transition_ihi_Proportion" "Transition_gih_Proportion" "Transition_jsg_Proportion" "Transition_ogs_Proportion" "Transition_scs_Proportion" "Transition_cgg_Proportion" "Transition_ois_Proportion" "Transition_osj_Proportion" "Transition_gse_Proportion" "Transition_sjj_Proportion" "Transition_csj_Proportion" "Transition_isj_Proportion" "Transition_hsi_Proportion" "Transition_cei_Proportion" "Transition_esg_Proportion" "Transition_eei_Proportion" "Transition_iee_Proportion" "Transition_eii_Proportion" "Transition_igi_Proportion" "Transition_iij_Proportion" "Transition_cse_Proportion" "Transition_ish_Proportion" "Transition_his_Proportion" "Transition_ihs_Proportion" "Transition_esi_Proportion" "Transition_csg_Proportion" "Transition_hgs_Proportion" "Transition_jgs_Proportion" "Transition_hii_Proportion" "Transition_cgs_Proportion" "Transition_gge_Proportion" "Transition_ssh_Proportion" "Transition_shi_Proportion" "Transition_ise_Proportion" "Transition_hsh_Proportion" "Transition_ieg_Proportion" "Transition_sos_Proportion" "Transition_jos_Proportion" "Transition_jcs_Proportion" "Transition_sig_Proportion" "Transition_ggi_Proportion" "Transition_iii_Proportion" "Transition_shs_Proportion" "Transition_gig_Proportion" "Transition_ges_Proportion" "Transition_sjs_Proportion" "Transition_ghs_Proportion" "Transition_osg_Proportion" "Transition_igg_Proportion" "Transition_gis_Proportion" "Transition_ses_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_ggs_Proportion" "Transition_isi_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 486.166666666667 353.25 64.4166666666667 51.3333333333333 8.41666666666667 5.66666666666667 3.08333333333333 0.337790661222395 0.0343525509899742 0.0494083912902581 0.0173481211501297 0.0154737737082952 0.362257582328494 0.0280901955267024 0.155278723783752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000224014336917563 0.000267952840300107 0.000267952840300107 0.000267952840300107 0.000267952840300107 0.00029655990510083 0.000378787878787879 0.000378787878787879 0.00049196717721767 0.00049196717721767 0.00049196717721767 0.000564150391339332 0.000564512745400938 0.000636695959522599 0.000636695959522599 0.000680272108843537 0.0009042864457611 0.000948224949143645 0.000948652018076983 0.00111019274486665 0.00121617778944375 0.00151280240941631 0.00173681674633388 0.0019351017226534 0.00228137859395828 0.00235782319240332 0.00480435776448864 0.00686781927450173 0.00687376166217359 0.00752793146945187 0.010879957644519 0.0122912399658085 0.0128604674184757 0.0175060444625043 0.0191833038516666 0.0272681962651953 0.028205978272546 0.100892694047481 0.234506568009663 0.48847203322239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000416666666666667 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000631313131313131 0.000694444444444444 0.000694444444444444 0.000694444444444444 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000841750841750842 0.000841750841750842 0.000946969696969697 0.000946969696969697 0.00106837606837607 0.00116071428571429 0.00137536075036075 0.00169101731601732 0.00174083342400174 0.00179202741702742 0.00189393939393939 0.0019047619047619 0.00227011494252874 0.00264575702075702 0.00292104210421042 0.00294191919191919 0.00314814814814815 0.00356902356902357 0.00425100843417675 0.00455052373369205 0.00475487634970394 0.0050268019018019 0.00515013245830077 0.0057527195027195 0.00598230954047786 0.00617481748505845 0.00816846233221276 0.00859157046657047 0.0112898492230175 0.0129388143092962 0.0152681389273713 0.0178295578942131 0.0189646210722758 0.0227148771607873 0.0391141036139998 0.10719309719346 0.228112865966381 0.4162696182445
2 346.916666666667 251.416666666667 44.9166666666667 38.5833333333333 6.66666666666667 3.41666666666667 1.91666666666667 0.31605726659369 0.0309951950235731 0.0678812783267542 0.0320665829706073 0.0154377535528783 0.299101033650535 0.0366024130015302 0.201858476880431 0 0 0 0 0 0 0 0 0 0 0 0.000253292806484296 0.000356125356125356 0.000357653791130186 0.000530785562632696 0.000757575757575758 0.00087369280826962 0.00097652535791068 0.0010699045033809 0 0 0 0 0.000715307582260372 0.0013357075840457 0 0.000357653791130186 0 0.000357653791130186 0.000759878419452888 0.000712250712250712 0.00104483059028514 0.000784078369116992 0.00103737117560129 0.000757575757575758 0 0.000610946597614482 0.000609418162609652 0.00199525970997837 0.000253292806484296 0 0.00269202630181986 0.000983110240337604 0.000253292806484296 0.000864239404098778 0.00525009467120239 0.00454865967100363 0.00381002610251081 0.00713097042923421 0.0146293653745979 0.0202452008413172 0.0141349566986423 0.0282090592599166 0.0109342069617692 0.0164572138025087 0.0350261762176422 0.14403976031069 0.205313947475836 0.468970912437343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000496031746031746 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000992063492063492 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00170068027210884 0.00186925647451963 0.00219671201814059 0 0 0 0 0.000496031746031746 0.000496031746031746 0.000992063492063492 0.00150004781028877 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0.00100401606425703 0 0.000496031746031746 0.00185185185185185 0 0 0 0 0.000496031746031746 0.000496031746031746 0.00109126984126984 0 0 0 0 0.00119047619047619 0.00109126984126984 0.000992063492063492 0.000595238095238095 0 0.00100401606425703 0 0 0.00247975708502024 0.000595238095238095 0.00209528590552687 0 0.00558709195757389 0.00458739720787913 0.00367063492063492 0.00420252438324727 0.00596433352457449 0.00717500327123028 0.00428977816026009 0.0047738573340983 0.00109126984126984 0.00710938671464987 0.000595238095238095 0.0177632721128131 0.0101486905511274 0.00355576441102757 0.00647784754927612 0.0419583930808142 0.0264060576247293 0.0262785553829297 0.0684048180774551 0.13621235242877 0.215854873730005 0.361794171646156
3 300.083333333333 218.083333333333 40.8333333333333 29.1666666666667 5.75 4.5 1.75 0.333410037827774 0.0371336919487517 0.0845707421836942 0.0338889933667306 0.0210485650049082 0.233807026177647 0.0450185234237877 0.211122420066706 0 0 0 0 0 0 0 0.000294464075382803 0.000294464075382803 0.000377073906485671 0.000520833333333333 0.000377073906485671 0 0 0 0 0.000294464075382803 0 0.000294464075382803 0.000377073906485671 0 0.000520833333333333 0.000520833333333333 0.000434027777777778 0.000955839736758465 0.000294464075382803 0 0 0.000919615981453437 0.000897907239819004 0.0012414337723525 0.00104166666666667 0.000377073906485671 0.000294464075382803 0.000520833333333333 0.000377073906485671 0.000330687830687831 0 0.00294028037594214 0.000434027777777778 0.000730764249902873 0.00229793707484806 0.000813374081005741 0.000897907239819004 0 0.00470993551251345 0.00304094394167924 0.00522150969007891 0.0124792345736555 0.00796275307970621 0.0318712843598008 0.015655792751931 0.023843385314675 0.0112196094015063 0.00989681235263765 0.0642694985416955 0.139258281393964 0.152400409996783 0.498499591966504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.000636132315521628 0.000850340136054422 0.000868055555555556 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00171839569160998 0.00171839569160998 0.00219298245614035 0 0 0 0 0.000957854406130268 0.000957854406130268 0 0 0 0.00138888888888889 0.00122549019607843 0 0 0.000957854406130268 0 0.000636132315521628 0.00304332259219477 0 0 0.000868055555555556 0.000868055555555556 0 0 0.00202502120441052 0 0 0 0 0 0 0 0 0 0.000868055555555556 0 0 0 0.000957854406130268 0.000636132315521628 0 0 0 0 0 0 0 0 0 0.000850340136054422 0 0 0.000957854406130268 0.000957854406130268 0.000868055555555556 0.000868055555555556 0 0 0 0.000868055555555556 0.00212260476709768 0.000957854406130268 0.00408285440613027 0.000868055555555556 0.00351237717309146 0.00391945571331981 0.00281947691773033 0.00378696917779225 0.0113704419167205 0.00171839569160998 0.00331238241326187 0.00305140015776425 0.00308045917322795 0.00825879661757524 0.00309817459272908 0.00267625009774024 0.00575265527214818 0.00362679263817486 0.00531057821040147 0.0614313815869511 0.0251984311575868 0.0166281002965661 0.121179182818821 0.127105685309823 0.147840720516763 0.391717613963412
4 232.916666666667 170.666666666667 28.3333333333333 26.1666666666667 3.41666666666667 2.91666666666667 1.41666666666667 0.368107957234024 0.0325743125711526 0.0858696474209195 0.0327409874108667 0.0157248853746143 0.224416282184751 0.0559311631062756 0.184634764697395 0 0 0 0 0 0.000297619047619048 0.000354609929078014 0 0 0.000354609929078014 0.000354609929078014 0.00261949630241222 0.000297619047619048 0.000968992248062015 0.000297619047619048 0 0.00235972391250624 0 0 0 0 0 0 0 0.00136144883485309 0.000297619047619048 0 0 0.000354609929078014 0.000354609929078014 0 0.00291672537691983 0 0.00490196078431373 0.00115740740740741 0.000551876379690949 0.000551876379690949 0 0.00321473439765032 0 0 0.00342664092664093 0.000709219858156028 0.000493096646942801 0 0.00746375309367798 0.0023287853681384 0.00275093430706312 0.00809674454016321 0.010246669124811 0.0304854426981454 0.0206686534274784 0.053268950094501 0.00431699369915409 0.0083073814726409 0.0417413353356768 0.129131457172031 0.156141713945275 0.496854460430131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00203252032520325 0.00219298245614035 0.0104166666666667 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0.00104166666666667 0 0.00104166666666667 0 0 0.00104166666666667 0 0 0 0.000582750582750583 0.00429050116550117 0 0 0 0 0 0 0 0.00266608391608392 0.00104166666666667 0.00359605672105672 0.00776272338772339 0.00212391774891775 0.00440219502719503 0.00104166666666667 0.00416666666666667 0.00104166666666667 0.00104166666666667 0.00116550116550117 0.00336052836052836 0.00359605672105672 0.003125 0.00243055555555556 0.00255439005439005 0.00499708624708625 0.0648552410065568 0.0421273450317096 0.036437876148242 0.0775520434137251 0.0942345677904086 0.206933034071192 0.393686382141132
5 177.833333333333 130.416666666667 21.1666666666667 20.25 2.5 2.66666666666667 0.833333333333333 0.363569754055379 0.0360469914741428 0.0823672960899608 0.0364541089574119 0.0284663645720902 0.213598360926218 0.0310038774715248 0.208493246453273 0 0 0 0.00037037037037037 0.00347222222222222 0 0 0 0.00037037037037037 0 0 0.000957854406130268 0.000612745098039216 0.000612745098039216 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.0049246387379961 0 0 0 0 0 0 0 0 0 0.00408496732026144 0 0 0.00105485232067511 0 0 0 0.0043240469717156 0.00333333333333333 0.000957854406130268 0 0.00123762376237624 0.0011954528786212 0.00189402273560689 0.0079129499556385 0.0134774723169655 0.0259064617651739 0.0215538306175778 0.01854391751215 0.00313164649798313 0.00671917601281303 0.0447670140444497 0.10938915492326 0.166264429064912 0.551972992851058 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000750750750750751 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0.000809061488673139 0 0 0 0.00366300366300366 0 0.000750750750750751 0 0.000809061488673139 0 0 0.000809061488673139 0.00225225225225225 0 0.00161812297734628 0 0.00155981223942389 0.00161812297734628 0.00155981223942389 0.00629104379104379 0.000750750750750751 0.00646505192727227 0.0053450642042875 0.000809061488673139 0.00231056299017464 0.0376392001392001 0.0295854143680231 0.0100882403330694 0.0937513605991867 0.11960936279214 0.21309040576664 0.445467121153065
6 174.666666666667 131 19.0833333333333 17.9166666666667 2.83333333333333 2.83333333333333 1 0.396815777111008 0.0397279563191851 0.0659963566706695 0.0354211068945795 0.0177868243291769 0.233170457734527 0.0347768257224308 0.176304695218424 0 0.000570776255707763 0.000641025641025641 0 0 0 0 0 0.00333333333333333 0 0 0.00114155251141553 0 0 0.00205806960465346 0 0 0 0.000850340136054422 0 0 0 0 0 0.00119266680297144 0.000850340136054422 0.000578703703703704 0 0 0 0 0 0 0 0.00467995169082126 0 0.000570776255707763 0 0.00120772946859903 0 0 0.00120772946859903 0.00149136577708006 0.000578703703703704 0 0.00186075498575499 0.00264877318448747 0.00207006948078377 0.00182962001586272 0.0112615353916639 0.0370458569878578 0.0151986693079739 0.0203783629685143 0.00494123931623932 0.012944790985295 0.0388785973995292 0.116861249255402 0.139238610563488 0.573888805667717 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0.00112612612612613 0 0 0 0 0 0.00138888888888889 0.00115740740740741 0 0 0 0 0 0 0 0 0.00138888888888889 0.00177304964539007 0.00138888888888889 0.00138888888888889 0 0.0040565831789236 0.00115740740740741 0.00393518518518518 0.00268817204301075 0.00251501501501502 0.0174350486850487 0.00541419078653121 0 0.00231481481481481 0.069540442279804 0.0289897852397852 0.0216966966966967 0.0730583567900046 0.0916280587524731 0.122168436402009 0.531803879008342
7 169 127.083333333333 20.3333333333333 15.9166666666667 2.83333333333333 2.16666666666667 0.666666666666667 0.42248102024459 0.0390268883244981 0.0686241257973829 0.0373175553771546 0.0214170551472794 0.203674605368753 0.0402030785009859 0.167255671239356 0.00462962962962963 0.00104166666666667 0 0 0 0 0 0 0 0.000859106529209622 0 0.000750750750750751 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0.00498239206991 0 0 0.00303030303030303 0 0 0 0 0.0015015015015015 0.000778816199376947 0.00151515151515152 0.00204506674696377 0.000595238095238095 0.0015015015015015 0.0122667527604387 0.00662527121305723 0.0377453300809097 0.0179748840001884 0.0294837064288498 0.00312500879511189 0.0128859265628113 0.0344486585456226 0.0978163522350937 0.135829652766965 0.586933345446644 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0.00136612021857923 0 0 0.00203252032520325 0.00173611111111111 0.00203252032520325 0 0.00203252032520325 0 0 0 0.0100291867954911 0.00794585346215781 0.00181159420289855 0.00758807588075881 0 0.00354770531400966 0.0530919194319052 0.0274255494005466 0.0257940327117529 0.0573871306605349 0.0941319945605141 0.119679999371583 0.573611127255204
8 162.083333333333 125.166666666667 17.0833333333333 15.5 2.25 1.66666666666667 0.416666666666667 0.473746710241807 0.0367410947147362 0.062223840614164 0.0419826307864654 0.0127267025035224 0.19127763006785 0.0382932713744813 0.143008119696973 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0 0 0 0.000886524822695035 0.00106837606837607 0 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00222578347578348 0 0 0.00124378109452736 0.00222578347578348 0.00115740740740741 0.000850340136054422 0.000868055555555556 0.00106837606837607 0 0.00687463622019093 0.00383791371158392 0.0461868456655988 0.0195648726233833 0.0164122396555879 0.0041023166023166 0.00334601556343578 0.0514265656142825 0.0939012235649065 0.140693467902396 0.599290418431274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0 0 0 0 0.00231481481481481 0 0 0.00449810606060606 0 0.00245098039215686 0 0 0 0.0638346434669964 0.0447950708061002 0.0106407326444091 0.0781492204102498 0.072645449593979 0.147744340262723 0.561326262760086
9 160.166666666667 118.666666666667 17.6666666666667 17.0833333333333 3.41666666666667 2.58333333333333 0.75 0.489734885891498 0.0312128311042013 0.0613321852364226 0.0390469732267335 0.0194249782709752 0.189925712763736 0.0233576955454831 0.14596473796095 0 0.00252576278035967 0 0 0 0.000524109014675052 0.00277777777777778 0 0.000505050505050505 0.000793650793650794 0 0 0 0 0 0.000524109014675052 0 0 0.00170068027210884 0.00131775980832585 0 0 0.000524109014675052 0.00641025641025641 0.000505050505050505 0.00181159420289855 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0.00181159420289855 0.00691530691530692 0 0.00726059654631083 0 0.000825082508250825 0.0033109875439356 0.000505050505050505 0.00392546955889274 0 0.00232786081842686 0.0131097878899634 0.00579001411885509 0.0399348731626914 0.0117669852422807 0.022857494895636 0.00468715335145374 0.011084895907347 0.0399688671740281 0.0839464186348296 0.143946996904666 0.574403973747563 0 0 0 0 0.000968992248062015 0.000968992248062015 0.00106837606837607 0.00106837606837607 0.00185185185185185 0.00203252032520325 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.000968992248062015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0.0028735632183908 0.00185185185185185 0 0.000968992248062015 0 0 0 0 0 0.00106837606837607 0.00106837606837607 0.00394193928676687 0.00300151257326527 0 0 0 0.000968992248062015 0 0.000968992248062015 0.00944843551011397 0.00282084409991387 0.0031517094017094 0.00310574438481415 0 0.00378983634797588 0.0707732445423958 0.0138702085785613 0.00872737585726809 0.0723271614073889 0.103318363254434 0.137332893069495 0.534976649582449
10 176.416666666667 132.333333333333 21.25 18.1666666666667 2.58333333333333 1.58333333333333 0.5 0.494695199456497 0.0325898766594956 0.0492918101174617 0.0422605626111817 0.0120140358807642 0.213903070514071 0.0269221101668395 0.128323334593689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00370907918077729 0 0 0 0 0 0 0 0 0 0.00257690305381068 0 0 0 0.00323955365622032 0 0 0.0016025641025641 0.0026706827309237 0.00157232704402516 0 0.00100401606425703 0.00154320987654321 0.000645994832041344 0.0129702254107666 0.0165837189627381 0.0388548544705179 0.00414287948381562 0.0154312300468463 0.000645994832041344 0.00701644270220643 0.022253465247654 0.0740574246378206 0.164953228232536 0.624526205431895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0.00333333333333333 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0037110341415141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00796296296296296 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00333333333333333 0.00333333333333333 0 0.00136612021857923 0 0 0 0.00193798449612403 0 0 0.0202191987906274 0 0.00333333333333333 0.00389366272824919 0.00136612021857923 0 0.0685201784786821 0.00856388766153169 0.01137917201457 0.0404328392494528 0.0569373169684379 0.139267429130524 0.613899457281251
