"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ge_Proportion" "Transition_ce_Proportion" "Transition_oe_Proportion" "Transition_ee_Proportion" "Transition_je_Proportion" "Transition_hi_Proportion" "Transition_oc_Proportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_oh_Proportion" "Transition_eg_Proportion" "Transition_oo_Proportion" "Transition_hh_Proportion" "Transition_jo_Proportion" "Transition_oj_Proportion" "Transition_gh_Proportion" "Transition_jg_Proportion" "Transition_hg_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_gc_Proportion" "Transition_hj_Proportion" "Transition_ej_Proportion" "Transition_gj_Proportion" "Transition_hc_Proportion" "Transition_cj_Proportion" "Transition_ei_Proportion" "Transition_jc_Proportion" "Transition_cg_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_oi_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_cs_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_egs_Proportion" "Transition_jsg_Proportion" "Transition_jgg_Proportion" "Transition_cgs_Proportion" "Transition_jjs_Proportion" "Transition_gji_Proportion" "Transition_jis_Proportion" "Transition_osi_Proportion" "Transition_soi_Proportion" "Transition_sos_Proportion" "Transition_hsi_Proportion" "Transition_gso_Proportion" "Transition_ssj_Proportion" "Transition_esg_Proportion" "Transition_iie_Proportion" "Transition_ies_Proportion" "Transition_eis_Proportion" "Transition_ses_Proportion" "Transition_cis_Proportion" "Transition_ihs_Proportion" "Transition_eii_Proportion" "Transition_sse_Proportion" "Transition_csi_Proportion" "Transition_jos_Proportion" "Transition_cgi_Proportion" "Transition_egi_Proportion" "Transition_jig_Proportion" "Transition_osg_Proportion" "Transition_sei_Proportion" "Transition_ise_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_hhs_Proportion" "Transition_ssc_Proportion" "Transition_iig_Proportion" "Transition_scs_Proportion" "Transition_jsi_Proportion" "Transition_ghs_Proportion" "Transition_ijg_Proportion" "Transition_gsh_Proportion" "Transition_ois_Proportion" "Transition_osj_Proportion" "Transition_shg_Proportion" "Transition_jgs_Proportion" "Transition_iis_Proportion" "Transition_sog_Proportion" "Transition_hsg_Proportion" "Transition_ejs_Proportion" "Transition_jsh_Proportion" "Transition_hsj_Proportion" "Transition_hjc_Proportion" "Transition_sej_Proportion" "Transition_hcs_Proportion" "Transition_sci_Proportion" "Transition_jse_Proportion" "Transition_gsj_Proportion" "Transition_igi_Proportion" "Transition_gii_Proportion" "Transition_ssh_Proportion" "Transition_csg_Proportion" "Transition_igg_Proportion" "Transition_sjj_Proportion" "Transition_sig_Proportion" "Transition_iii_Proportion" "Transition_sgi_Proportion" "Transition_sjs_Proportion" "Transition_shs_Proportion" "Transition_isi_Proportion" "Transition_gig_Proportion" "Transition_isj_Proportion" "Transition_ssi_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_sii_Proportion" "Transition_igs_Proportion" "Transition_gsi_Proportion" "Transition_sis_Proportion" "Transition_ggs_Proportion" "Transition_isg_Proportion" "Transition_oss_Proportion" "Transition_ggg_Proportion" "Transition_sgs_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 457.75 355.083333333333 44.5 44.6666666666667 7.08333333333333 3.58333333333333 2.83333333333333 0.385076057872183 0.0316420741668489 0.0398874622354764 0.0107212151830644 0.0149761455413168 0.323092437106531 0.028886912698619 0.165717695195961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000197472353870458 0.000197472353870458 0.000197472353870458 0.000215331610680448 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000254841997961264 0.000304136253041363 0.00045045045045045 0.000452314351831722 0.000707156349792986 0.000829554641639425 0.000847259059572638 0.000909776055124892 0.00106866224692515 0.00129817289825634 0.0014124487982047 0.00261121039361924 0.00381584667385095 0.00431338751642934 0.0075902251323027 0.00881489039790556 0.00907731286523683 0.00936359633203303 0.0132538152005759 0.0169505399770025 0.0216899765624338 0.0230307006369941 0.120303654028535 0.226243757772111 0.521814670750148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000443262411347518 0.000443262411347518 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000603864734299517 0.000603864734299517 0.000850559862187769 0.000850559862187769 0.00116279069767442 0.00120772946859903 0.00138888888888889 0.00154320987654321 0.00155038759689922 0.001670692431562 0.00185185185185185 0.00267288080628442 0.0027755111292443 0.00330400979980566 0.0038716364644661 0.00402236859194241 0.00462623332624193 0.00483696349362292 0.00486220171293209 0.00488190226454753 0.00604238647435255 0.00864571199372434 0.0111796845680739 0.0113675511502476 0.0125097847505842 0.0132719453199663 0.0152777777777778 0.0168978755448637 0.0180468960288722 0.0274335375218471 0.156020608735307 0.230332776582968 0.414680097284511
2 406.666666666667 299.833333333333 49.1666666666667 43.25 7.08333333333333 3.83333333333333 3.5 0.405351485823531 0.0285386383656573 0.0464402006846417 0.0157400247310426 0.0068496390956379 0.316088587126195 0.0306912013345124 0.150300222838782 0 0 0 0 0 0 0 0.000170068027210884 0.000170068027210884 0.000187265917602996 0.000187265917602996 0.000357333944813881 0.000477571102241635 0.000630473183748638 0.000647639129452519 0.00072463768115942 0 0.000170068027210884 0.000340136054421769 0.000527401972024765 0 0 0 0 0.000170068027210884 0.000170068027210884 0.000340136054421769 0.00104268491365266 0.000187265917602996 0.000692316422653501 0.000170068027210884 0.000680272108843537 0.000510204081632653 0.000800541210959522 0.00248199048443984 0.00203740842019053 0.00797227487833078 0.00129122301094351 0.00316432606802863 0.00685933142006958 0.0086182355317018 0.0131268657202877 0.0172025355954727 0.0182490151829991 0.00226459004654493 0.0190836759496966 0.0129482348912554 0.0412398302236679 0.0175775101607137 0.0791052138567395 0.21714591974006 0.520278265042757 0 0 0 0 0 0 0 0 0 0 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000305250305250305 0.000338753387533875 0.000338753387533875 0.000338753387533875 0.000499001996007984 0.000610500610500611 0.000610500610500611 0.000644003692784181 0.000644003692784181 0.000737463126843658 0.00104271343209396 0.00117650877107573 0.00141496990191141 0.00173611111111111 0.00173611111111111 0 0 0 0 0 0 0 0 0.000737463126843658 0 0 0 0 0 0 0 0 0.000305250305250305 0.000338753387533875 0.000338753387533875 0.000499001996007984 0.000644003692784181 0.000677506775067751 0.000305250305250305 0.000677506775067751 0.00642572031210683 0 0 0.000499001996007984 0.00122100122100122 0.000338753387533875 0 0.00254251168885315 0.00167551076708372 0.00419167553313895 0.00733560038667582 0.00317251675510767 0.00669116969179266 0.00542098449650494 0.00649101218049524 0.00243123006451303 0.0348406647463073 0.00365223128551426 0.0130705357631476 0.00987800503274223 0.0063034493201248 0.012484830306778 0.00292531542531543 0.0188427099339329 0.0456824833470332 0.0839739282370155 0.0749495976015892 0.167612630992121 0.456681787283394
3 312.5 234.916666666667 33.5 32.75 5.5 4.25 1.58333333333333 0.405353598762708 0.0318193392650759 0.0571927656031277 0.0207802580966904 0.00903997221647571 0.255776783617725 0.0363386088756133 0.183698673562584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225768321513002 0.000267094017094017 0.000267094017094017 0.000267094017094017 0 0 0 0.000208855472013367 0 0 0 0 0 0.00105561933920143 0 0.000267094017094017 0 0.000267094017094017 0.00229231961184381 0.00338624380359409 0.000267094017094017 0.00105873658505237 0.000951898978214768 0.00342576690465083 0.00220503181029497 0.00792018326388763 0.0160384213491915 0.0130452293651852 0.00378322636590846 0.0291104728059802 0.00811464352045384 0.0284491354833323 0.0170352094597992 0.111097115908245 0.182153691599739 0.481474617722385 0 0 0 0 0 0 0 0.000520833333333333 0.000520833333333333 0.00483091787439614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0 0.00070323488045007 0 0 0 0 0.000872450773558368 0.00105485232067511 0.000351617440225035 0.000351617440225035 0 0.00070323488045007 0 0.000351617440225035 0.000520833333333333 0 0 0.00174490154711674 0.000872450773558368 0.00401063642756681 0.00788608445624064 0.00336780034934894 0.00140646976090014 0.0303955331251445 0.00438862517580872 0.00831889776588607 0.00808893948629333 0.00315137130801688 0.00511270189646568 0.00406430722628439 0.0429349522687733 0.0274125769251754 0.0531356306333387 0.088378341283699 0.170734520563372 0.439425030322797
4 216.333333333333 162.333333333333 21.5833333333333 24.3333333333333 3.66666666666667 3.33333333333333 1.08333333333333 0.48693612904449 0.0349064198572463 0.0460898541476361 0.0210123215957315 0.0130726519212191 0.230504977867576 0.0233224682426744 0.144155177323427 0 0 0 0 0 0.000284414106939704 0.000608272506082725 0 0 0 0 0 0 0.00119047619047619 0.000280583613916947 0 0.00418499511241447 0.00122755331088664 0 0 0 0 0 0.000284414106939704 0 0 0 0.000608272506082725 0 0.00266536648789208 0.000946969696969697 0 0 0 0 0 0.000280583613916947 0 0.000608272506082725 0.000284414106939704 0.000849411827796356 0.0115292856150084 0.0151390301626263 0.0163400751907323 0.00327681577681578 0.0164992290337195 0.00317925790764244 0.0254432925759167 0.00812677399708116 0.107103128363472 0.142626115133071 0.636432996550578 0 0 0 0 0 0.000591016548463357 0.00356720702465383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000544662309368192 0.00297619047619048 0 0 0 0.000544662309368192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00354609929078014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000544662309368192 0 0 0 0 0 0 0 0 0 0 0.00172669540629491 0 0 0.00172669540629491 0 0 0.00187306783051464 0.00113567885783155 0.00345339081258981 0.0301114908593006 0 0.00463542390951653 0.00177304964539007 0.00108932461873638 0.00168034116719974 0.00108932461873638 0.00643689099571453 0.0381515456814659 0.0576552059949275 0.0827678828509946 0.124058590293728 0.628320900782572
5 132.416666666667 99 12.5 16.6666666666667 1.08333333333333 2.41666666666667 0.666666666666667 0.494791506778397 0.0285570193649414 0.0335722086216342 0.0167623203749395 0.0147083432842284 0.157218879868995 0.0295044060185831 0.141551982354948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00444716267642227 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00282485875706215 0 0 0 0.0277777777777778 0.000490196078431373 0.00138888888888889 0.000490196078431373 0 0 0 0.00346638655462185 0.0104607586454728 0.0193445272056678 0.00190262545696245 0.0110264437450562 0.00151925761681859 0.0480558381045623 0.00999690834698008 0.0601540614245759 0.110850225612094 0.602470553696841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0.0134263884263884 0 0.00219298245614035 0.00112612612612613 0.00109649122807018 0.00112612612612613 0.00430161943319838 0.00683779484171421 0.0444915053677652 0.123565539704957 0.0408163473952948 0.134716868815413 0.534202820107075
6 94.75 71.25 8.91666666666667 12.0833333333333 0.75 1.75 0 0.535243709525443 0.0214732197891258 0.0310574850953179 0.0151104653865194 0.0594070355019865 0.165083469324535 0.016943702099388 0.155680913277683 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00467340932267933 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.00924608085808581 0.0298326622509057 0.00901659604519774 0.0126549193380877 0.0022375118867819 0.0164007764449848 0.00325272911906575 0.0656689381861915 0.141526054169954 0.619656989044732 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0194825337623714 0 0 0 0.00157232704402516 0.00157232704402516 0.00749354005167959 0.0169300851343414 0.0721187919774869 0.0370114676174534 0.0287779186236112 0.148410849355913 0.494939088473216
7 89.6666666666667 67.9166666666667 8.41666666666667 11.0833333333333 0.5 1.58333333333333 0.0833333333333333 0.496846743552986 0.0295048784167464 0.0310958938817474 0.0213779495585917 0.0100086665022188 0.14958514663262 0.0292526757197449 0.148994712402011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0149038461538462 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.00452320136228182 0 0 0 0.000617283950617284 0 0.00359347442680776 0 0 0 0 0.00208333333333333 0.00616219667943806 0.028351486879481 0.013166891613216 0.021445152579649 0 0.0260968703362055 0.0169143190165574 0.0748169293326681 0.104049802246019 0.596965688280356 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0187908496732026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00866040169522757 0 0 0 0 0 0.0131048387096774 0.022212526079281 0.0777434512027675 0.0580832866991908 0.0818421924218251 0.0935539880015203 0.534341798850641
8 72.9166666666667 54.1666666666667 6.58333333333333 10 0.583333333333333 1.41666666666667 0.166666666666667 0.614231201152998 0.0327888879434468 0.0386602197974106 0.0163420416979315 0.0196812484296076 0.138052209788147 0.0258119474277214 0.114432243762738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00743774537608577 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0.0131361601712645 0.0197360512322099 0.0113019983895163 0.0167703245616061 0 0.0239789643283854 0.0104812763648428 0.0914280374453569 0.0984791681310682 0.617732928599966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0211711711711712 0 0.00238095238095238 0 0 0 0.017310298102981 0.0153954500071316 0.0458933672348307 0.0474615753659399 0.075974016378381 0.0933229442536246 0.593370926859374
9 60.5833333333333 45.75 4.75 7.58333333333333 1.16666666666667 1.16666666666667 0.166666666666667 0.628769336610834 0.0206234311336088 0.0369636176605514 0.020978139678139 0.0151993020523532 0.159766168918009 0.0137483922474914 0.103951611699014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0 0 0.00431034482758621 0 0 0 0 0 0 0.00543766578249337 0.0111056819768254 0.0103396265668071 0.00951867816091954 0.00260416666666667 0.0207034703801945 0.0053763440860215 0.100765571309758 0.110752383068383 0.630315068058518 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00490196078431373 0 0 0 0.00245098039215686 0.00735294117647059 0.0235539215686275 0.0226797385620915 0.0739554154995331 0.157117180205416 0.610634920634921
10 59.8333333333333 45.1666666666667 5.41666666666667 7.33333333333333 1 0.666666666666667 0.166666666666667 0.537700956807326 0.024513378278732 0.0317688508166155 0.0195473736031609 0.0118036194740959 0.158732513145155 0.0244380444415571 0.108161930100024 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0.00839460784313725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0.00378787878787879 0.00897875816993464 0.00789079520697168 0.0325267379679144 0.0154166666666667 0.0108564814814815 0.0173908199643494 0.00375 0.0912304416716181 0.0994360092521857 0.611914877061936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0173611111111111 0 0.00800653594771242 0 0.00245098039215686 0 0 0 0.00520833333333333 0.014297385620915 0.0169472394220846 0.0372753267973856 0.0815062062836831 0.0847265221878225 0.636387025570462
