"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_co_Proportion" "Transition_oi_Proportion" "Transition_je_Proportion" "Transition_oe_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_eg_Proportion" "Transition_cj_Proportion" "Transition_he_Proportion" "Transition_oo_Proportion" "Transition_hh_Proportion" "Transition_hi_Proportion" "Transition_ih_Proportion" "Transition_go_Proportion" "Transition_hj_Proportion" "Transition_ch_Proportion" "Transition_ei_Proportion" "Transition_ec_Proportion" "Transition_ij_Proportion" "Transition_jj_Proportion" "Transition_og_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_oc_Proportion" "Transition_gc_Proportion" "Transition_gh_Proportion" "Transition_ic_Proportion" "Transition_jo_Proportion" "Transition_jc_Proportion" "Transition_ee_Proportion" "Transition_gj_Proportion" "Transition_se_Proportion" "Transition_ie_Proportion" "Transition_cg_Proportion" "Transition_ge_Proportion" "Transition_ci_Proportion" "Transition_sh_Proportion" "Transition_hg_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_cos_Proportion" "Transition_jso_Proportion" "Transition_sjs_Proportion" "Transition_jgs_Proportion" "Transition_eis_Proportion" "Transition_jsj_Proportion" "Transition_osc_Proportion" "Transition_jse_Proportion" "Transition_ecg_Proportion" "Transition_ogs_Proportion" "Transition_hsj_Proportion" "Transition_jcs_Proportion" "Transition_csc_Proportion" "Transition_esi_Proportion" "Transition_jjs_Proportion" "Transition_jhs_Proportion" "Transition_his_Proportion" "Transition_hhh_Proportion" "Transition_igi_Proportion" "Transition_ocs_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_ooo_Proportion" "Transition_csi_Proportion" "Transition_soo_Proportion" "Transition_egs_Proportion" "Transition_hsi_Proportion" "Transition_gih_Proportion" "Transition_iig_Proportion" "Transition_ccs_Proportion" "Transition_hes_Proportion" "Transition_ses_Proportion" "Transition_scc_Proportion" "Transition_gog_Proportion" "Transition_ihs_Proportion" "Transition_csg_Proportion" "Transition_osg_Proportion" "Transition_ise_Proportion" "Transition_gcs_Proportion" "Transition_ssc_Proportion" "Transition_hgh_Proportion" "Transition_ccg_Proportion" "Transition_esc_Proportion" "Transition_ghj_Proportion" "Transition_sjj_Proportion" "Transition_isj_Proportion" "Transition_gii_Proportion" "Transition_sge_Proportion" "Transition_igg_Proportion" "Transition_gig_Proportion" "Transition_sig_Proportion" "Transition_cgs_Proportion" "Transition_shs_Proportion" "Transition_ics_Proportion" "Transition_gse_Proportion" "Transition_sse_Proportion" "Transition_cis_Proportion" "Transition_ssj_Proportion" "Transition_gsh_Proportion" "Transition_ges_Proportion" "Transition_ggi_Proportion" "Transition_see_Proportion" "Transition_hgs_Proportion" "Transition_osi_Proportion" "Transition_sso_Proportion" "Transition_jsi_Proportion" "Transition_jos_Proportion" "Transition_scs_Proportion" "Transition_hge_Proportion" "Transition_sgi_Proportion" "Transition_iii_Proportion" "Transition_ggg_Proportion" "Transition_isg_Proportion" "Transition_iis_Proportion" "Transition_gsi_Proportion" "Transition_isi_Proportion" "Transition_ssi_Proportion" "Transition_gis_Proportion" "Transition_sos_Proportion" "Transition_ess_Proportion" "Transition_igs_Proportion" "Transition_ggs_Proportion" "Transition_sii_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 596.833333333333 455.75 62.4166666666667 60.75 9.5 5.66666666666667 2.75 0.333008568969341 0.0302468173168176 0.0484969583161029 0.0154219762053359 0.0160314608686339 0.367761444585822 0.0311613796433752 0.157871394094572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000167000668002672 0.000320512820512821 0.000320512820512821 0.000320512820512821 0.000487513488515493 0.000539235480180362 0.000586854460093897 0.000586854460093897 0.00065518484193183 0.000739273289524546 0.000914790241724146 0.00103842159916926 0.00118046119589156 0.00122684487321207 0.00123218318755643 0.00162961303557928 0.00164991247576682 0.00167471092419581 0.00232159106964125 0.00275616210036005 0.00418940904312968 0.00502430174426958 0.0061350253961706 0.00738880514665306 0.010941558614613 0.0119612228782177 0.0123546061650952 0.0149923465097406 0.0209867593592061 0.022838836635469 0.0254595196693233 0.111223329098569 0.245798168759305 0.479188960451242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000329380764163373 0.000434027777777778 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000582750582750583 0.000672043010752688 0.000672043010752688 0.000706214689265537 0.000912131346913956 0.00112612612612613 0.00116550116550117 0.00116550116550117 0.00130453408306669 0.00137825770001822 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00158417435766664 0.00166666666666667 0.00166666666666667 0.00192890970744232 0.00199438242916504 0.00211201841636624 0.00222136620441705 0.0024963057045806 0.00278384720168066 0.00328501270284616 0.00333391833391833 0.00368906455862978 0.00471713805502761 0.00565959464264549 0.00603984694561538 0.00643874008179759 0.00792713161143266 0.00845814355532484 0.0110840531554883 0.0126782330400405 0.0170097082946969 0.0188009445478919 0.0198262971630044 0.027176743761098 0.0444345399700831 0.112864498966185 0.273647343105587 0.371889784421118
2 518.166666666667 384.25 60.6666666666667 55.6666666666667 9.08333333333333 5.41666666666667 3.08333333333333 0.341279391722584 0.0350133751749032 0.0651035164641668 0.0192118406745795 0.0192451751132542 0.333248817666312 0.0351340279744648 0.151763855209735 0 0 0 0 0 0 0.000212044105173876 0.000217580504786771 0.000330687830687831 0.000424088210347752 0.000435161009573542 0.000612525212527687 0.000685304754198524 0.000770320083116292 0 0 0 0 0 0 0.000833541198968986 0.00103675103675104 0 0.000217580504786771 0.000661375661375661 0.000212044105173876 0.000217580504786771 0.000375375375375375 0.000394944707740916 0.000394944707740916 0.000375375375375375 0.0016089484650485 0 0.000824569317701564 0.000394944707740916 0 0.00246554163839628 0.000375375375375375 0.000646071882951654 0.00115154874737774 0.0025775439516762 0.00579277657716547 0.00588979656178407 0.00896027986709271 0.00485292927759616 0.0109478221193152 0.012155396294521 0.00848591445878554 0.0168937742343568 0.0173797317860937 0.0211768528408356 0.0486068095127446 0.100663290884259 0.229203574610757 0.490539281999937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.000431778929188256 0.000431778929188256 0.000431778929188256 0.000431778929188256 0.000621890547263682 0.000621890547263682 0.000661375661375661 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000915750915750916 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00148809523809524 0.00183150183150183 0 0 0 0 0 0.000431778929188256 0.00278818143986683 0 0 0.000661375661375661 0.000661375661375661 0.000936329588014981 0.00114155251141553 0 0 0 0 0 0 0.000936329588014981 0 0.000936329588014981 0 0 0.000431778929188256 0.000621890547263682 0.000915750915750916 0.00268819314710287 0 0.00228363078104011 0.0016260162601626 0.00360118956994813 0.00358272870910303 0.00040650406504065 0.00528144578554729 0.000936329588014981 0.00428729121403867 0.00487594768524884 0 0.0148209164203445 0.00327427123784845 0.00843223736457314 0.0031889325873248 0.00881960633585183 0.0055373233466245 0.0120649242234667 0.00838445311896839 0.011646093394152 0.0112872423488071 0.0236904659099569 0.0146745149871667 0.0877463283020192 0.114630556113247 0.240464693825955 0.374085054673512
3 370.416666666667 275.916666666667 38.75 44.9166666666667 5.41666666666667 4.41666666666667 1 0.349627930453637 0.0419128051893175 0.0753955724527035 0.022749218964788 0.026618404458735 0.280317523506864 0.0357677470067863 0.167610797967169 0 0.000239463601532567 0.000611487411056377 0.000661375661375661 0.000744514106583072 0.0012346356453029 0.00037202380952381 0 0 0 0.000239463601532567 0.000239463601532567 0 0 0 0 0 0 0.000249500998003992 0.000661375661375661 0.000611487411056377 0 0.00299949419069011 0 0.000757575757575758 0 0.00037202380952381 0 0.00037202380952381 0 0 0.000661375661375661 0.000757575757575758 0.000845508658008658 0 0.000871025805531794 0.00147409924683546 0 0.000239463601532567 0.00200738944189543 0.00276221599751012 0.00172643219308509 0.00546739732581411 0.0221223281735841 0.00297902105923993 0.00818976314907702 0.0102682186063408 0.0141074841879854 0.0218039095774823 0.0260673932350358 0.0145771625047566 0.0447356192604067 0.104737636526998 0.187567563590141 0.515665507363598 0 0 0 0 0 0 0 0 0 0.000478927203065134 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.00111111111111111 0.00146198830409357 0.00186781609195402 0 0 0 0 0.000478927203065134 0.000478927203065134 0 0 0 0 0 0 0.000570776255707763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000570776255707763 0 0 0 0 0.000570776255707763 0 0 0 0 0 0.000841750841750842 0 0 0 0 0 0 0.000570776255707763 0 0 0 0.00322671156004489 0 0 0.000478927203065134 0 0.00132067804481598 0 0.00286129766167145 0 0.0024622305562315 0.00606178075345889 0 0.0220593880169356 0.00162047971448066 0.00625010934411029 0.00391100112044434 0.00435358713782771 0.00691692551399684 0.0053943293216636 0.0039665089874052 0.00756420288541214 0.0308304302386967 0.0319301863419568 0.0342018430022689 0.0795139262666109 0.121940755569952 0.231998436380906 0.379608458871857
4 218.75 162.833333333333 18.6666666666667 30.3333333333333 2.5 3.83333333333333 0.583333333333333 0.426612123101135 0.0506066437857236 0.0788061357773629 0.0282860727306703 0.0347195706006324 0.21117469874982 0.0352711042687616 0.134523650985894 0 0 0 0 0 0.000801282051282051 0.00148176291793313 0 0 0 0 0 0 0 0 0 0 0.000566893424036281 0 0.00186478100011935 0 0 0.00396485975979187 0 0 0 0 0.000375375375375375 0 0.00220379818594104 0.000886524822695035 0.0021761300835242 0 0.000985653893048006 0.000566893424036281 0 0.000595238095238095 0.00166666666666667 0.000942268799411657 0 0.00221832409332409 0.000595238095238095 0.0016025641025641 0.0213054798899881 0.00116213151927438 0.0077613949817031 0.0044546743549275 0.0212663081305063 0.0297647645997139 0.0247301152934071 0.0180227003261954 0.0479461263770556 0.0918348302680413 0.135978160398995 0.572279059069966 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00294871794871795 0 0 0 0 0 0 0 0 0 0 0.000850340136054422 0.00128205128205128 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00250754147812971 0 0 0 0 0 0.000793650793650794 0 0 0 0.000793650793650794 0.0021323914181057 0.00128205128205128 0 0 0 0.00177304964539007 0 0.0279719315414136 0.00128205128205128 0.00310259238830667 0 0.00433216297271597 0.000850340136054422 0.00246031746031746 0.00702033501572672 0.00567090359717088 0.0466798770790367 0.0557058749830677 0.0337991305492156 0.096351642400116 0.130479283833159 0.184571770358151 0.380655108981286
5 128.333333333333 94.0833333333333 11.8333333333333 18.0833333333333 1.75 2.16666666666667 0.416666666666667 0.524554039128156 0.0487818733023678 0.0544554434103225 0.0279641181513585 0.0423759186376535 0.164235997757394 0.0332826425383487 0.104349967074399 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0.000683060109289617 0.000946969696969697 0 0.00182416267942584 0 0 0 0 0.000946969696969697 0 0 0 0.000825082508250825 0 0.00430177377641146 0 0 0 0 0.00249017957351291 0.00288495419309373 0.0033003300330033 0.00193798449612403 0.000683060109289617 0.019193988762433 0 0.00193798449612403 0.00786661022161316 0.022306638766154 0.0265181637672811 0.024836005192581 0.005623368954989 0.0408719282910986 0.0742109152958184 0.122545685107602 0.631614019255463 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00648148148148148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0.00540123456790123 0.0293762884210039 0.00641025641025641 0 0 0 0 0 0 0.00566801619433198 0.0484373458532496 0.0457884557478053 0.0327630766949338 0.0869484538187257 0.0929066301097752 0.117748117714713 0.511595345925159
6 72.4166666666667 52.9166666666667 5.66666666666667 10.1666666666667 0.833333333333333 2.33333333333333 0.416666666666667 0.536955269235884 0.0360862332471192 0.0514419298777991 0.0325787194888699 0.0390718176749191 0.104187332916102 0.0292871839227816 0.0870581803031913 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326797385620915 0 0 0.00166666666666667 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00557081807081807 0.00154320987654321 0 0.0197552084806987 0 0.00551146384479718 0.00157232704402516 0.0129692348319799 0.0174017485782192 0.0207836585592782 0.0201334282521852 0.0181652008122596 0.0447419635830661 0.0782883568658633 0.660424869385284 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0.0294939335887612 0 0.00925925925925926 0 0 0 0.00297619047619048 0 0.0123973727422003 0.0233100711548987 0.0389550264550265 0.0130532369397312 0.0357418430335097 0.0760376756066411 0.106076483914128 0.555862487076568
7 83 61.5833333333333 6.08333333333333 11.6666666666667 1.08333333333333 2.08333333333333 0.5 0.63736464455576 0.0327110365001252 0.0367300603198973 0.0343672844158973 0.0282042253405172 0.152191590188099 0.0186224622571879 0.0598086964225159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0.00101626016260163 0 0.00415989159891599 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0.00101626016260163 0 0 0.00326851241485388 0 0.0119784291520303 0 0.00464541464541465 0.00388623918035683 0.00832655826558266 0.0220215050508143 0.00913585935362939 0.0168888337073416 0.0206495054624794 0.0304311253091741 0.0896849559423857 0.603573735834445 0 0 0 0.00193798449612403 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0094225523973586 0 0.00714631782945736 0 0 0 0.00520833333333333 0.00308641975308642 0.0112235912410804 0.0163899895234207 0.0381393298059965 0.0141225270301357 0.0397267372758188 0.028779013496115 0.131944553724992 0.521087043348125
8 64.3333333333333 46.75 4.75 10.1666666666667 0.833333333333333 1.41666666666667 0.416666666666667 0.655778365133089 0.0504513043102845 0.0378376347132489 0.0299000870458967 0.0270517949327574 0.116055667841329 0.012573971829987 0.0703511741934076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.00937471915732785 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0.000757575757575758 0 0 0.00398351648351648 0.0016025641025641 0 0.00703463203463203 0 0.00518925518925519 0 0.0268820910125258 0.0326272086220502 0.00378787878787879 0.0182265934753039 0.0173098303072511 0.0539215474642888 0.0870135118753394 0.645162360637674 0 0 0 0.00833333333333333 0 0 0.0028735632183908 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.00409836065573771 0 0.0028735632183908 0 0.0043859649122807 0 0 0 0.00725952813067151 0.0564399587847794 0.0509486984448952 0.00546448087431694 0.0324055616712782 0.0626913377045402 0.129725695877708 0.541391095837639
9 60.75 44.1666666666667 4.75 8.83333333333333 0.5 1.5 0.916666666666667 0.592537040645963 0.03818933105875 0.0448792986751295 0.0344293205562425 0.0189726209463052 0.0921097296925209 0.0264775351299597 0.0690717899617959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00203252032520325 0 0.00834258053103038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0.00412640901771337 0 0 0 0.00552464606940029 0 0 0 0.0225365604772746 0.00888242894056848 0.00805611842845885 0.00833618219630363 0.011719200505563 0.0425718527874912 0.0692587468935265 0.638850286192658 0 0 0.00520833333333333 0.00694444444444444 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00789650537634409 0 0 0 0 0.00396825396825397 0 0 0.00910740640342158 0.043515002154708 0.0143849206349206 0.00837418300653595 0.0228504779104624 0.0629690083447074 0.0566798917664667 0.587048941077454
10 62.75 45.9166666666667 4.83333333333333 9.58333333333333 1 1.33333333333333 0 0.560988367787846 0.0396756900235366 0.0493817480668511 0.043817256454373 0.0323638970434425 0.104776371716437 0.0161465532507222 0.0695167823234589 0 0 0 0 0 0 0.00252525252525253 0.00154320987654321 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0.00520833333333333 0 0.00796032217600845 0.00151515151515152 0.0101489028213166 0.00151515151515152 0.0144798727772866 0.0242649406505897 0.0145633780332056 0.0218833662862568 0.0185507600230386 0.0417784458986285 0.0834027628335438 0.655276162806589 0 0.0166666666666667 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0.0128735632183908 0 0.00617283950617284 0.00308641975308642 0 0 0 0 0.0310748002904866 0.0143891017454236 0.042536570183629 0.0246550472040668 0.0381604187013247 0.0519708010918288 0.095392675588754 0.55660134296375
