"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ih_Proportion" "Transition_gj_Proportion" "Transition_oi_Proportion" "Transition_hi_Proportion" "Transition_cc_Proportion" "Transition_je_Proportion" "Transition_so_Proportion" "Transition_jo_Proportion" "Transition_gc_Proportion" "Transition_gh_Proportion" "Transition_hg_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_ch_Proportion" "Transition_jh_Proportion" "Transition_ii_Proportion" "Transition_cg_Proportion" "Transition_gg_Proportion" "Transition_ig_Proportion" "Transition_ij_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_sc_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_jc_Proportion" "Transition_sj_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_shs_Proportion" "Transition_ois_Proportion" "Transition_jis_Proportion" "Transition_ggs_Proportion" "Transition_sjs_Proportion" "Transition_sos_Proportion" "Transition_jsi_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_ssc_Proportion" "Transition_jgs_Proportion" "Transition_ghs_Proportion" "Transition_ses_Proportion" "Transition_jsc_Proportion" "Transition_gsg_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_sgg_Proportion" "Transition_ess_Proportion" "Transition_jhs_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 401.333333333333 323.666666666667 41 31.4166666666667 2.75 2.08333333333333 0.416666666666667 0.429975921195841 0.0301892783661953 0.0373944013625372 0.00877431532404116 0.00542127981279742 0.30927559395905 0.0220353253011658 0.156933884678372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000354609929078014 0.000354609929078014 0.00040650406504065 0.00040650406504065 0.000771604938271605 0.000771604938271605 0.00120772946859903 0.00141242937853107 0.00170855379188713 0.00179823184766688 0.00179823184766688 0.00632000253520063 0.00941969453931822 0.0105038419742046 0.0115938031313203 0.0222754111763535 0.0293054201712078 0.10019209323646 0.221869078285368 0.577530040751436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00378787878787879 0.0079956163893362 0.0198469336545217 0.0217508417508418 0.0249261287743673 0.0750657144302573 0.116353712235576 0.139088468737491 0.588098285486644
2 267.083333333333 212.333333333333 28.0833333333333 22.25 2.16666666666667 1.83333333333333 0.416666666666667 0.337941255182218 0.0476814438758278 0.0440951918388723 0.0106014265495704 0.0179109100416275 0.258696410653524 0.0419254118190834 0.241147950039276 0 0 0 0 0 0 0 0 0 0 0 0.000511247443762781 0.000925925925925926 0.00154320987654321 0.00308641975308642 0.00439814814814815 0 0.000925925925925926 0 0 0 0 0.00718294051627385 0.00308641975308642 0.00227808484280592 0.00128285238203439 0.00272904483430799 0.00481820591738792 0.0088398639275883 0.0387418913385156 0.0124801517297101 0.0245449963859275 0.0360219046240956 0.16361526791446 0.18579156401779 0.497195934742624 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00219298245614035 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00402155887230514 0.0104166666666667 0 0 0.00340965965965966 0.00663821716453295 0.00568822553897181 0.100470280022519 0.0180578117243475 0.0275535669212024 0.0730471679283541 0.184228198788293 0.105813921694715 0.448170682271232
3 197.25 155.75 22.9166666666667 15.4166666666667 1.91666666666667 1.16666666666667 0.0833333333333333 0.359610725004641 0.04375821243666 0.053544381702381 0.00924885416582803 0.0151053123539277 0.243308045261139 0.0437108451866809 0.231713623888742 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0.00456590682249911 0 0 0 0 0 0 0 0 0.000700280112044818 0.00105485232067511 0 0.00952631894031055 0 0 0.00613121592723111 0.00985152176987828 0.0413236374660665 0.00532749678694408 0.0191931502397953 0.0333895337011957 0.159717037626268 0.193513241486287 0.51465095448013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0212752525252525 0 0 0 0.00938644688644689 0 0.00669191919191919 0.102278336435313 0.00810185185185185 0.0133928571428571 0.0815643604887791 0.140910677393236 0.135844199943037 0.480554098141307
4 164.25 128.916666666667 17.5 15.4166666666667 1.08333333333333 1.16666666666667 0.166666666666667 0.348240823339934 0.0395409015925532 0.0583965863789573 0.0118382420194245 0.0141798633442298 0.230624232206822 0.0432120672524422 0.253967283865637 0 0 0 0 0 0 0 0 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0.00268343815513627 0 0 0 0.00474560513860717 0.00254789272030651 0.00201690821256039 0.00410024154589372 0 0.00122549019607843 0.00564009661835749 0.00245098039215686 0.0401471758882676 0.00239224073550667 0.0287177785048924 0.0372602935576349 0.184948789173651 0.122367275348235 0.544866904923827 0 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0.00260416666666667 0.00268817204301075 0.0277777777777778 0 0 0 0 0 0.00245098039215686 0.00824372759856631 0 0 0 0 0.00260416666666667 0 0.0960756600520102 0 0.0232843137254902 0.0754558791207698 0.129237529359482 0.127207343933719 0.497468321879371
5 125.5 97.3333333333333 13 13 1.08333333333333 0.833333333333333 0.25 0.342537373871248 0.0375678221353564 0.0606518267472638 0.0157756619635609 0.018506560576659 0.217571036425655 0.0447097480332128 0.262679970247044 0 0 0 0 0 0.00170068027210884 0.00309539190353144 0.0138888888888889 0 0 0 0 0 0 0 0.00416666666666667 0 0.000778816199376947 0 0 0 0.00308641975308642 0.00193798449612403 0.00198248991565823 0.00330406872462947 0 0 0.00572429906542056 0.0149323839559547 0.0441247639240854 0.0138310883296633 0.0208917861170758 0.0270641176140834 0.14907031032372 0.165090899779483 0.525328944070442 0 0 0 0 0 0.00641025641025641 0.00833333333333333 0 0.00416666666666667 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0.00416666666666667 0.0871429451786595 0.0265719801434087 0.0248626373626374 0.0554813974456832 0.178416661005947 0.201340822322965 0.394773300130443
6 88.5 68.9166666666667 8.91666666666667 8.66666666666667 0.916666666666667 1 0.0833333333333333 0.38886315049681 0.0298335687952731 0.0637830512770989 0.0128335777189913 0.0173536874469038 0.213123549925117 0.0536653868822159 0.220544027457591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0.00119047619047619 0.00777990634312473 0 0.00119047619047619 0.00595998297147722 0.00796296296296296 0.0664754620645425 0.004064039408867 0.0278934044882321 0.0191724649339592 0.135802054480215 0.118324404416358 0.600712143327086 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0169011544011544 0 0 0 0 0 0.00641025641025641 0.152225552225552 0.0179924242424242 0.0159090909090909 0.0288029100529101 0.0969925907425907 0.0926635864135864 0.569126244126244
7 93.8333333333333 70.5 9.41666666666667 11.3333333333333 1.16666666666667 1.25 0.166666666666667 0.420230233658006 0.0260337677061039 0.0449167868874629 0.0122340322840283 0.0116850342476704 0.220591268472964 0.0407722160853282 0.223536660658436 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0.00873015873015873 0.00685817805383023 0 0 0 0 0.00308641975308642 0 0 0 0.00555555555555556 0.00134408602150538 0.0026380029923616 0.00468759094348408 0 0 0.00398208901386698 0.0104308703682981 0.0297290725314565 0.00134408602150538 0.0203395966836827 0.0520624031017598 0.168864346074248 0.121324684304389 0.556708045035997 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0.00861111111111111 0 0 0 0.00203252032520325 0 0 0.0669634238002172 0.0130361648444071 0.025 0.0872721113574772 0.185953322790116 0.104783283903619 0.500792506312293
8 96.6666666666667 73.6666666666667 9.91666666666667 10.8333333333333 1.08333333333333 1.08333333333333 0.0833333333333333 0.410233063656136 0.0338056627837706 0.0592480276591069 0.0141655799791097 0.0163696246924181 0.202076692832281 0.0419072317016466 0.222194116695531 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0.00189393939393939 0 0.00441576086956522 0.00749250749250749 0.00189393939393939 0 0.00326005961251863 0.00835875921688279 0.0498566225922605 0.021064303979263 0.0221984427176684 0.0531217314596937 0.150061498372062 0.115794478360841 0.557349931123413 0 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0128205128205128 0 0 0 0 0 0.0277777777777778 0.150455647885315 0.0138888888888889 0.021521164021164 0.0705659907961698 0.166478556491344 0.103324555760617 0.425920528746616
9 97.6666666666667 75.0833333333333 9.5 10.4166666666667 1.33333333333333 1.08333333333333 0.25 0.432912244620742 0.024305972293672 0.0578568316751585 0.0102848629699203 0.00970652689685239 0.226881603365353 0.0414706531849413 0.19658130499336 0 0 0.00163398692810458 0.00213675213675214 0 0 0 0 0 0 0 0 0.00564814814814815 0 0.00163398692810458 0 0 0.00213675213675214 0 0 0 0 0 0.00739375144665371 0.00231481481481481 0 0 0.00213675213675214 0.0130171933898559 0.0390159913195213 0.0122270909542715 0.0169243325178705 0.0241990312337859 0.112521226671745 0.163467916679624 0.593592272557244 0 0.00333333333333333 0 0 0 0 0 0 0 0 0.00928571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0946052631578947 0.0194152046783626 0 0.0444597605123921 0.121740462266778 0.116851155666945 0.59030910609858
10 97 77.25 8 10 0.666666666666667 1.08333333333333 0 0.495866227071356 0.0265524887836543 0.0471596570471975 0.0102195401409801 0.00994225911902945 0.185240657301184 0.027054724919667 0.197964445616932 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0.00157232704402516 0 0 0 0.00157232704402516 0 0.00166666666666667 0.00826719576719577 0 0.00189393939393939 0 0.00842592592592593 0.039610149377075 0.0144392033542977 0.0231971891100637 0.0321192035037762 0.114320084999885 0.132147300124548 0.619196160644551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0.0986975865265339 0.0135281385281385 0.0316376484139642 0.0606129981129981 0.11227244977245 0.137016285371549 0.542762671052145
11 92.5833333333333 71.5 9.66666666666667 8.83333333333333 1 1.08333333333333 0.5 0.530966712217444 0.0266344881519369 0.0404348985198147 0.011996921824737 0.0117328230041455 0.188241122699587 0.0280007233110104 0.161992310271325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0.00146198830409357 0.0093323874113471 0 0 0.00494123931623932 0.00902476826772601 0.0241839963314286 0.00870382477933965 0.0238184420592046 0.0389680529402396 0.0985572411938241 0.140034677819055 0.63945823006235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0.0466005337728483 0.019036519036519 0.0322039826115913 0.0850661531208207 0.0790142943515706 0.0722432875805638 0.662859039049896
12 91 68.75 9.25 10.1666666666667 0.916666666666667 1.66666666666667 0.25 0.508363130526132 0.0673461489950755 0.0387237364409823 0.0278761557956457 0.024740297381298 0.141835301341493 0.027650527600961 0.163464701918412 0.00185185185185185 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0117415935672515 0 0 0.00185185185185185 0.00219298245614035 0.00177304964539007 0.00170068027210884 0.00689390689390689 0 0 0 0.00317817817817818 0.0551082056516187 0.0135934454191033 0.0167791766216018 0.026834336795493 0.105451750430304 0.0948975085518239 0.570625166023902 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0.11954870808586 0 0.0156981821068508 0.0626420792829462 0.0712612129872192 0.117338712199393 0.525275811220084
13 84.0833333333333 62.75 8.33333333333333 9.83333333333333 1.08333333333333 2 0.0833333333333333 0.529822408883549 0.0176139638964922 0.0675772314912667 0.010385888617241 0.0225381488483119 0.173545111365065 0.0224499694503999 0.156067277447675 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00694444444444444 0 0 0 0 0 0 0 0.00225225225225225 0 0 0.00546208350683772 0.00940411625643165 0 0.00225225225225225 0.00384255546645282 0.00716032013056637 0.0182803021454019 0.018496413717002 0.0395784365303582 0.0211837675266488 0.0945162967462441 0.147130351373635 0.621723358006083 0.0166666666666667 0 0 0 0 0 0 0 0 0 0.00666144200626959 0 0.00378787878787879 0 0 0 0 0 0.0154105154105154 0 0.00462962962962963 0.00462962962962963 0 0 0.00983796296296296 0.0378310932479351 0.00925925925925926 0.0151098901098901 0.0333842504915886 0.0634865613313889 0.137010315382372 0.642294905084014
