"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gh_Proportion" "Transition_hc_Proportion" "Transition_jh_Proportion" "Transition_gj_Proportion" "Transition_ho_Proportion" "Transition_eg_Proportion" "Transition_oi_Proportion" "Transition_jj_Proportion" "Transition_ee_Proportion" "Transition_oh_Proportion" "Transition_oo_Proportion" "Transition_ei_Proportion" "Transition_go_Proportion" "Transition_ih_Proportion" "Transition_ji_Proportion" "Transition_so_Proportion" "Transition_jc_Proportion" "Transition_je_Proportion" "Transition_sj_Proportion" "Transition_jo_Proportion" "Transition_jg_Proportion" "Transition_ge_Proportion" "Transition_hi_Proportion" "Transition_og_Proportion" "Transition_hg_Proportion" "Transition_ij_Proportion" "Transition_ch_Proportion" "Transition_co_Proportion" "Transition_oc_Proportion" "Transition_cg_Proportion" "Transition_hh_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_gc_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_ci_Proportion" "Transition_cc_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sos_Proportion" "Transition_ges_Proportion" "Transition_eis_Proportion" "Transition_jsi_Proportion" "Transition_ssj_Proportion" "Transition_gse_Proportion" "Transition_jis_Proportion" "Transition_esg_Proportion" "Transition_hos_Proportion" "Transition_igi_Proportion" "Transition_egg_Proportion" "Transition_ish_Proportion" "Transition_shs_Proportion" "Transition_iig_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_his_Proportion" "Transition_ois_Proportion" "Transition_jjs_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_esi_Proportion" "Transition_ohs_Proportion" "Transition_ggi_Proportion" "Transition_cis_Proportion" "Transition_osc_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_gis_Proportion" "Transition_osh_Proportion" "Transition_gos_Proportion" "Transition_jog_Proportion" "Transition_joc_Proportion" "Transition_ccs_Proportion" "Transition_iii_Proportion" "Transition_jgs_Proportion" "Transition_ccc_Proportion" "Transition_scs_Proportion" "Transition_scc_Proportion" "Transition_osg_Proportion" "Transition_isi_Proportion" "Transition_gii_Proportion" "Transition_jcs_Proportion" "Transition_sig_Proportion" "Transition_jos_Proportion" "Transition_jes_Proportion" "Transition_hig_Proportion" "Transition_ogs_Proportion" "Transition_ocs_Proportion" "Transition_ssc_Proportion" "Transition_gsi_Proportion" "Transition_igg_Proportion" "Transition_hsi_Proportion" "Transition_jsg_Proportion" "Transition_hgs_Proportion" "Transition_gig_Proportion" "Transition_cgs_Proportion" "Transition_hsg_Proportion" "Transition_iis_Proportion" "Transition_ggg_Proportion" "Transition_csi_Proportion" "Transition_cos_Proportion" "Transition_ses_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_isg_Proportion" "Transition_igs_Proportion" "Transition_ggs_Proportion" "Transition_csg_Proportion" "Transition_gcs_Proportion" "Transition_hhs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_jss_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 510.75 412.833333333333 48.5 40.75 4.66666666666667 2.58333333333333 1.41666666666667 0.406618212563548 0.0212833939406314 0.0418800198084638 0.0106452911998945 0.00973163348940436 0.356365089878209 0.0201817052115101 0.133294653908339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000213128729752771 0.000213128729752771 0.000213128729752771 0.000281531531531532 0.000281531531531532 0.000281531531531532 0.000425170068027211 0.000638298797779982 0.000844594594594595 0.000868055555555556 0.00100401606425703 0.00105772332434737 0.00114155251141553 0.00129322562358277 0.00152164334976742 0.00160428285428285 0.00160428285428285 0.0018107217584041 0.00236657904268427 0.0042974048805027 0.00450177451808382 0.00540516661150134 0.00629220724519991 0.00681728585758616 0.0149243556698473 0.0188035888628183 0.0483710119889369 0.0912505361073748 0.220654444117366 0.561018096957948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000481695568400771 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000963391136801541 0.00104166666666667 0.00114836223506744 0.00122549019607843 0.00136612021857923 0.00144508670520231 0.00163005780346821 0.0018921568627451 0.00196979080649601 0.00229672447013488 0.00232951135538078 0.00252525252525253 0.00260416666666667 0.00363511560693642 0.00458005622413848 0.00459344894026975 0.00651954025711488 0.00718620692378155 0.00899264705882353 0.0091328368388604 0.0108229265052199 0.0144982096462577 0.0729513417243605 0.0865961829240354 0.255082815167679 0.486080721123578
2 490.416666666667 386.583333333333 46.4166666666667 47.0833333333333 5.08333333333333 3.33333333333333 1.91666666666667 0.358964661482218 0.0263005202382583 0.0428746735345712 0.0106229969120284 0.0150787903136816 0.380388522665926 0.0257406358923573 0.140029198960959 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000265392781316348 0.000265392781316348 0.000462962962962963 0.000699420559094126 0.000980392156862745 0.000992063492063492 0.00107009348740158 0.0022376099393595 0 0.000265392781316348 0.0005720823798627 0 0.0001906941266209 0.0003813882532418 0 0.0001906941266209 0.00100611015764048 0.000434027777777778 0.00104331516323779 0.000947459086993971 0.0001906941266209 0.000462962962962963 0.00189405366507276 0.000837475161179048 0.000912173815874497 0.00204345097446365 0.00480753074611149 0.00672238896307227 0.00846518695235435 0.0115436898120334 0.00918514165605579 0.0110025167590774 0.0197253573520586 0.0186725844258454 0.032725637768642 0.0861955135119242 0.241499463279392 0.531109686053569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000402576489533011 0.000402576489533011 0.000402576489533011 0.000402576489533011 0.000402576489533011 0.000544662309368192 0.000544662309368192 0.000544662309368192 0.000544662309368192 0.000544662309368192 0.00101626016260163 0.00114155251141553 0.00149190110826939 0.00203252032520325 0.00225225225225225 0 0 0.000402576489533011 0.000544662309368192 0.000947238798901203 0.00108932461873638 0 0 0 0 0.000402576489533011 0.000805152979066023 0.00101626016260163 0.0033863787060718 0.00114155251141553 0 0 0.00324429288623662 0.00215496826750024 0.000947238798901203 0.00134981528843421 0.00296012124656626 0 0 0 0.00474084466569489 0.0106174357728638 0.011144856493322 0.00371589073947005 0.0089405047396595 0.0241174083988527 0.0123124449722915 0.0208870484292063 0.0146927420274893 0.0733817180415082 0.0945037711248469 0.258098867841715 0.429783626845966
3 416.5 316.333333333333 44.4166666666667 42.25 7.25 4.58333333333333 1.66666666666667 0.391066124773448 0.0230427718191093 0.0403635783842304 0.0124937947901095 0.0166973667968103 0.363256595445951 0.0180719872079854 0.135007780782356 0 0 0 0 0 0 0 0 0 0.000208855472013367 0.000457875457875458 0.000551876379690949 0.000551876379690949 0 0.000208855472013367 0.000457875457875458 0 0 0.00148604520638808 0 0.00236263736263736 0.000481695568400771 0 0 0.000238095238095238 0 0 0 0.000208855472013367 0.000685045948203843 0 0 0.00316771083763067 0.000341530054644809 0.000551876379690949 0.00210559822120765 0.000238095238095238 0.000417710944026733 0.00249075804067704 0.00141653803382629 0.0127665250121673 0.00936689251792255 0.00854007968915458 0.00767481965641712 0.0110936253262426 0.0162042224273045 0.0181216066795191 0.0221615435153399 0.0826902084691658 0.230488219381899 0.56226285016017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.00040650406504065 0.00040650406504065 0.0005175983436853 0.000813008130081301 0.00114155251141553 0.00114155251141553 0.0013306064737666 0.00154320987654321 0.00154320987654321 0 0 0 0 0 0 0.0005175983436853 0.000813008130081301 0.00154320987654321 0.00172875904583222 0.00040650406504065 0 0.00040650406504065 0 0 0 0 0 0.00040650406504065 0.00343683357999371 0 0 0 0 0.000813008130081301 0.0005175983436853 0.0005175983436853 0.000813008130081301 0 0 0 0 0.00234686663636823 0.00234686663636823 0.0056178356814624 0.0018482048174519 0.00493462457053832 0.00040650406504065 0 0 0.00739003184213506 0.0161694637922987 0.0026612129475332 0.00432510225723375 0.0037696308640105 0.01582988315396 0.0161899879168026 0.0102922930604187 0.0143902843424423 0.0394318701817919 0.0833416580189307 0.250084197091702 0.497453098086147
4 279.916666666667 206.916666666667 27.8333333333333 31.8333333333333 6.91666666666667 4.66666666666667 1.75 0.487898198742365 0.0247403304100666 0.0301975763727665 0.00763264955639111 0.0134546528178552 0.285235922234348 0.0193828444222215 0.131457825443986 0 0 0 0 0 0.000212585034013605 0.000242954324586978 0.000751084405887791 0.000833333333333333 0 0 0 0 0 0.00107628765792031 0 0 0.000833333333333333 0.000242954324586978 0 0.00291545189504373 0 0.000242954324586978 0 0 0 0 0 0 0.000455539358600583 0.000212585034013605 0.00250841750841751 0.00236880466472303 0 0.000425170068027211 0.00127551020408163 0 0.000242954324586978 0.00160957240038873 0.00245784145039749 0.00382266787845095 0.0104206642198446 0.00995209025859584 0.00904068657047679 0.00695158359815132 0.00821671088583937 0.0126583596797512 0.0177817517686442 0.0811419004662384 0.154629843217144 0.666476407810333 0 0 0 0 0 0 0 0 0 0 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000384024577572965 0.000465549348230912 0.000465549348230912 0.000465549348230912 0.00252525252525253 0.00252525252525253 0 0 0 0 0 0 0 0.00153609831029186 0 0 0 0 0 0.000384024577572965 0.000465549348230912 0 0.00198070086338243 0.000465549348230912 0.000768049155145929 0.000384024577572965 0.00115207373271889 0 0 0 0 0 0 0 0.000931098696461825 0 0.000465549348230912 0 0 0 0.000465549348230912 0.000465549348230912 0 0.00115207373271889 0.000849573925803877 0 0 0.00252525252525253 0.00131512327403479 0.000384024577572965 0.000849573925803877 0.00131512327403479 0.00351670352620789 0.000465549348230912 0 0 0.00123359850337684 0.0151766610989111 0.00200164765852277 0.00560977708593417 0.00769294951511489 0.0141987706728932 0.004775262138516 0.00827716724049397 0.00237515101479237 0.0279897285198072 0.0821531025639148 0.161146797916167 0.636781270746958
5 203 146.25 20.4166666666667 27.3333333333333 2.83333333333333 4.66666666666667 1.5 0.528935523706966 0.0335833608470432 0.0446952921880089 0.0120384394319149 0.0169753625792819 0.205691165532462 0.0159940220016891 0.142086833712634 0 0 0 0 0.000305250305250305 0 0 0.0104166666666667 0 0 0 0 0 0 0 0.00103123841305154 0.000530785562632696 0 0.00193923723335488 0.000530785562632696 0.0103166656711529 0 0 0 0.000305250305250305 0 0 0 0 0.000610500610500611 0 0.000305250305250305 0.00127494631804977 0 0.00154320987654321 0.00199318233040343 0.000305250305250305 0 0.000915750915750916 0.00446758956945714 0.00395937543789422 0.00781999602717273 0.0202863760696736 0.00916318875680039 0.00368060346482054 0.00863154166898093 0.0308216305121492 0.0270955817332658 0.0548595455418677 0.148308833691687 0.64858176714449 0 0 0 0 0 0 0 0.000641025641025641 0.000641025641025641 0.000641025641025641 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.000641025641025641 0.000641025641025641 0 0 0 0.00192307692307692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000641025641025641 0 0 0.00128205128205128 0 0 0 0.00308641975308642 0.00308641975308642 0.00128205128205128 0.00128205128205128 0.00128205128205128 0 0 0 0.000641025641025641 0.00966126382793049 0.00192307692307692 0.00421254587921255 0.000641025641025641 0.0466524216524217 0.0167423610253068 0.00562821318635272 0.00480769230769231 0.0421285796285796 0.0710495012820594 0.164366218823583 0.586698021000347
6 161 116.75 17.25 19.0833333333333 3.33333333333333 3.5 1.08333333333333 0.604226149622689 0.0256714289991443 0.0295345228615359 0.0127897067740386 0.0132530133215025 0.193238389592505 0.0178625192836417 0.103424269544942 0 0 0.00120772946859903 0.00378787878787879 0 0 0 0.00268817204301075 0.000445632798573975 0 0 0.000896057347670251 0.00259673761977909 0 0.00182996539364726 0 0.00170068027210884 0 0.000896057347670251 0 0 0 0 0.0147849462365591 0.00089126559714795 0 0 0 0 0 0.000359195402298851 0.000804828200872825 0.00089126559714795 0 0 0.00392425779089065 0 0 0.00161590327830737 0 0.00557646755944666 0.0120334721518546 0.0247104892361699 0.0019688518040445 0.0117097060121025 0.00742561774299734 0.0374949501630646 0.018597446159624 0.0640015961008377 0.148428580458338 0.628732249429357 0 0 0 0 0 0.000816993464052288 0.00128205128205128 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.000816993464052288 0 0 0 0 0 0 0 0.000816993464052288 0 0.00378787878787879 0 0 0 0.00245098039215686 0 0 0 0 0 0.000816993464052288 0.000816993464052288 0.00378787878787879 0 0 0 0 0.0277777777777778 0 0 0.00252525252525253 0 0 0 0.00163398692810458 0 0 0 0.00163398692810458 0.00072463768115942 0 0 0 0.002358624609264 0.00163398692810458 0.0285024154589372 0 0 0.000816993464052288 0 0 0.00154163114521171 0.0200089126559715 0.000816993464052288 0.00308326229042342 0.00308326229042342 0.036461745531039 0.0321631234015345 0.0200869746905553 0.00072463768115942 0.0352987923320404 0.0540394591525506 0.112306004047932 0.594185836601118
7 94.8333333333333 66.3333333333333 9.25 11.75 2.41666666666667 3.41666666666667 1.66666666666667 0.703821188659116 0.020897502300935 0.0422601394108543 0.0088485403860062 0.0140058152068848 0.117918142865316 0.0109053106477679 0.0813433605231197 0 0 0 0 0 0 0 0 0 0.000423011844331641 0 0.000423011844331641 0 0 0.000980392156862745 0 0 0 0.000468164794007491 0 0.000936329588014981 0.000423011844331641 0 0 0 0 0 0 0.000423011844331641 0.000846023688663283 0.000468164794007491 0 0.00211505922165821 0 0.000468164794007491 0.0025832240156657 0 0 0.0105386984543432 0.00297619047619048 0.000891176638339132 0.00425084067163625 0.0151224986023702 0.0135438439335125 0.00487218999274837 0.00501326350422676 0.0157223321235845 0.0136896073753687 0.0569355962621163 0.0680185186065749 0.777867672928775 0 0.000712250712250712 0.000712250712250712 0.000905797101449275 0.000905797101449275 0 0 0 0 0.000712250712250712 0 0 0 0.000712250712250712 0.000905797101449275 0.000905797101449275 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0 0.00142450142450142 0 0 0 0 0 0.00142450142450142 0 0 0 0 0.000712250712250712 0 0.000712250712250712 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0 0 0.00142450142450142 0 0 0.00213675213675214 0 0 0 0.000712250712250712 0.00161804781369999 0 0.000712250712250712 0.00157232704402516 0.000712250712250712 0 0 0 0.00639550306285335 0.00161804781369999 0.0273622981956315 0.0258190883190883 0.0269577948724075 0.0031612576902432 0.00747863247863248 0.0023302985259507 0.0198862463355217 0.0387478439089773 0.0742621116062546 0.744728753293004
8 52.5 38.75 4.25 6.83333333333333 0.833333333333333 1.33333333333333 0.416666666666667 0.66032679178618 0.0164549014078047 0.0337079940665703 0.0182056864456271 0.0144828922690431 0.103839398874012 0.00889125078749976 0.0607577510299298 0 0.00102880658436214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.00205761316872428 0 0.00102880658436214 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0.00102880658436214 0 0 0.0077928758484314 0.00352091788671441 0.0186746987951807 0.00946134626690182 0.00352091788671441 0.00205761316872428 0.0262813318368874 0.0395055408644247 0.0534635732949101 0.742882159439481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00478778467908903 0 0.00181159420289855 0 0.00659937888198758 0.00181159420289855 0.0184782608695652 0.00659937888198758 0.0596560846560846 0.0350759144237405 0.079848171152519 0.700186910512997
9 37 28.0833333333333 2.75 3.25 0.916666666666667 1.33333333333333 0.583333333333333 0.685982744565822 0.0327572926589019 0.0151730327262963 0.0213714134479162 0.0183356863044363 0.0906469410921858 0.00676046545667447 0.045639090414434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0.0036231884057971 0.00550609184629803 0.0156071019473081 0.0144927536231884 0.0277777777777778 0 0.0256175606354898 0.00464698531708841 0.0170700732108173 0.0395774474914995 0.758265391476395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00757575757575758 0 0.00925925925925926 0.00925925925925926 0.0237573099415205 0.025462962962963 0.0833333333333333 0 0.00146198830409357 0.0242202729044834 0.0491205918837498 0.667865054049265
10 78.6666666666667 59.0833333333333 5.33333333333333 9.58333333333333 1.66666666666667 1.83333333333333 1.16666666666667 0.805972638570504 0.0115026582338842 0.0168482123727549 0.00820276121323441 0.00927449656960064 0.0919338290323438 0.0113181611391831 0.0449472428684949 0.000410509031198686 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000410509031198686 0.000410509031198686 0 0 0 0.000410509031198686 0.00532090329643166 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000410509031198686 0 0 0 0.00166666666666667 0.00123152709359606 0 0.00248768472906404 0.00710720572789538 0.00877387239456205 0.00769601806239737 0.000410509031198686 0.00857416529830323 0.01646004378763 0.0267507588197243 0.0530481953556203 0.858419904580917 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00253757563927386 0 0.000764525993883792 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0.00354230377166157 0 0.00643101277208131 0.00321550638604065 0.0130650579087774 0.00575308202531452 0.0100267379679144 0.000764525993883792 0.0260275058035447 0.028779954300674 0.0761654737830161 0.817417653286242
