"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ec_Proportion" "Transition_oc_Proportion" "Transition_jo_Proportion" "Transition_ce_Proportion" "Transition_io_Proportion" "Transition_hc_Proportion" "Transition_eo_Proportion" "Transition_ic_Proportion" "Transition_je_Proportion" "Transition_ch_Proportion" "Transition_go_Proportion" "Transition_eh_Proportion" "Transition_oe_Proportion" "Transition_jj_Proportion" "Transition_cc_Proportion" "Transition_gc_Proportion" "Transition_og_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_gh_Proportion" "Transition_hh_Proportion" "Transition_ih_Proportion" "Transition_ci_Proportion" "Transition_ij_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_gj_Proportion" "Transition_oi_Proportion" "Transition_sj_Proportion" "Transition_ei_Proportion" "Transition_sc_Proportion" "Transition_hi_Proportion" "Transition_sh_Proportion" "Transition_ge_Proportion" "Transition_ie_Proportion" "Transition_cg_Proportion" "Transition_se_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_es_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sos_Proportion" "Transition_sgc_Proportion" "Transition_gcc_Proportion" "Transition_sij_Proportion" "Transition_ihs_Proportion" "Transition_hcs_Proportion" "Transition_esc_Proportion" "Transition_jsi_Proportion" "Transition_ssh_Proportion" "Transition_jsg_Proportion" "Transition_jos_Proportion" "Transition_ghs_Proportion" "Transition_sjj_Proportion" "Transition_jjj_Proportion" "Transition_sih_Proportion" "Transition_ssj_Proportion" "Transition_csc_Proportion" "Transition_osh_Proportion" "Transition_cei_Proportion" "Transition_ccs_Proportion" "Transition_csh_Proportion" "Transition_jjs_Proportion" "Transition_cgh_Proportion" "Transition_chs_Proportion" "Transition_ccc_Proportion" "Transition_scc_Proportion" "Transition_ses_Proportion" "Transition_cii_Proportion" "Transition_ghg_Proportion" "Transition_soe_Proportion" "Transition_shi_Proportion" "Transition_iso_Proportion" "Transition_sci_Proportion" "Transition_hgs_Proportion" "Transition_jhs_Proportion" "Transition_jcs_Proportion" "Transition_sjs_Proportion" "Transition_gsc_Proportion" "Transition_cis_Proportion" "Transition_eei_Proportion" "Transition_hsi_Proportion" "Transition_ssc_Proportion" "Transition_gee_Proportion" "Transition_scg_Proportion" "Transition_ihi_Proportion" "Transition_ees_Proportion" "Transition_csi_Proportion" "Transition_cig_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_hsg_Proportion" "Transition_jsh_Proportion" "Transition_shh_Proportion" "Transition_cgi_Proportion" "Transition_gsh_Proportion" "Transition_ges_Proportion" "Transition_sie_Proportion" "Transition_ies_Proportion" "Transition_geg_Proportion" "Transition_eee_Proportion" "Transition_see_Proportion" "Transition_sse_Proportion" "Transition_cgs_Proportion" "Transition_his_Proportion" "Transition_csg_Proportion" "Transition_igi_Proportion" "Transition_shs_Proportion" "Transition_iig_Proportion" "Transition_gig_Proportion" "Transition_ggg_Proportion" "Transition_sgi_Proportion" "Transition_egs_Proportion" "Transition_sge_Proportion" "Transition_gsj_Proportion" "Transition_jis_Proportion" "Transition_sig_Proportion" "Transition_sei_Proportion" "Transition_eii_Proportion" "Transition_igg_Proportion" "Transition_osi_Proportion" "Transition_scs_Proportion" "Transition_iei_Proportion" "Transition_eis_Proportion" "Transition_esg_Proportion" "Transition_esi_Proportion" "Transition_ise_Proportion" "Transition_ggi_Proportion" "Transition_ish_Proportion" "Transition_iis_Proportion" "Transition_gse_Proportion" "Transition_jgs_Proportion" "Transition_isi_Proportion" "Transition_igs_Proportion" "Transition_isg_Proportion" "Transition_ess_Proportion" "Transition_gii_Proportion" "Transition_sii_Proportion" "Transition_gis_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_gsi_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_sis_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 326.583333333333 236.666666666667 39.75 36.0833333333333 7.25 4.33333333333333 2.5 0.371547627389536 0.0391068539092811 0.0395939879053141 0.0128188548189449 0.0146116329292744 0.300764142809872 0.0373716488591527 0.184185251378625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000205254515599343 0.000255623721881391 0.000357653791130186 0.000410509031198686 0.000457875457875458 0.000460878237480734 0.000460878237480734 0.000511247443762781 0.000836567646912475 0.000868901234892967 0.00102078376460499 0.00120208938702089 0.00132677669276843 0.00137662915323165 0.001399475953642 0.00153451724215422 0.00167313529382495 0.00214960315766932 0.00236629913493515 0.00321900321900322 0.00342425773460256 0.00383957644222382 0.00521471908304077 0.00688460804608467 0.0102179380871302 0.0108921587763317 0.0117959510064017 0.0120613466634015 0.0164138295497657 0.0172075986400323 0.0214743056281709 0.0224989579106507 0.10978299671427 0.198686264383611 0.527511789017212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.000396825396825397 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.00051440329218107 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000793650793650794 0.000911228689006467 0.000911228689006467 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00140092811487611 0.0014367816091954 0.0014367816091954 0.00145073288019605 0.00145073288019605 0.00146198830409357 0.00168017561634583 0.0018336070060208 0.00195118490137647 0.00212680577849117 0.00238095238095238 0.00317460317460317 0.00345638468243832 0.00384294068504595 0.0042038067916624 0.00432440189447651 0.00476697277463561 0.00487948265726044 0.00488812675088451 0.00490711756263437 0.0059224757045826 0.00627256958839454 0.00648097070752205 0.00789281325844664 0.00794245618302888 0.0130179562925956 0.0134937240749583 0.015831339555559 0.0181910769432946 0.0301193388551581 0.0374295913241589 0.104599818434206 0.160015603437744 0.495598726493683
2 253.166666666667 183.583333333333 30.1666666666667 28.5833333333333 5 4.25 1.58333333333333 0.319853908673654 0.0480629787029295 0.07329454255781 0.0127656610542622 0.0161372848492651 0.253693706506496 0.0462159410890132 0.22997597656657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.000321750321750322 0.000957854406130268 0.000957854406130268 0.00124496625170022 0.00416666666666667 0.000669964125367876 0.00445479895101528 0 0.000300842358604091 0.00309463455851289 0.000316856780735108 0.000316856780735108 0.00152557246853766 0 0 0.000994363555802858 0.000300842358604091 0.00156182303243532 0.000994363555802858 0.00938203893980067 0.000316856780735108 0.000891858907067448 0.00126742712294043 0.000907873329198465 0.00277777777777778 0.00277535923923757 0.0136824057901036 0.00519091607702678 0.0022317871578032 0.00411490779961787 0.00651967541062986 0.0239510046234329 0.0123091203527188 0.0118559092560345 0.0182134353076381 0.0220189818230798 0.057083620864723 0.153507522622319 0.150020329826209 0.47850033805477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0.000636132315521628 0.000645994832041344 0.000645994832041344 0.000645994832041344 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.0013027989821883 0.00177304964539007 0.00177304964539007 0.00194879381422964 0.00925925925925926 0.00925925925925926 0 0 0 0 0.000645994832041344 0 0 0 0 0 0 0.000636132315521628 0 0 0.000636132315521628 0.000645994832041344 0.00192812197960432 0.000636132315521628 0.000666666666666667 0 0 0 0 0 0 0.000636132315521628 0.00138505747126437 0.00128212714756297 0 0.000645994832041344 0 0.00129198966408269 0 0 0.000645994832041344 0.00326073966408269 0 0 0 0.00266718461882734 0.00391754381422964 0.0140789393452484 0.000636132315521628 0.000718390804597701 0 0.000636132315521628 0.000666666666666667 0.00419350040830102 0.00128212714756297 0.00616296605715599 0.00403157025546638 0.00196946564885496 0.0178952196437086 0.0334467297805463 0.00828619783432451 0.0177290479055302 0.0413609289741601 0.110606333075586 0.145969311722782 0.185796416573104 0.35114619084257
3 177.25 126.583333333333 20.0833333333333 22.3333333333333 4 3.58333333333333 0.666666666666667 0.443676639123652 0.0449630171498873 0.064984663036758 0.0080790527042949 0.0235919805938719 0.200473178704928 0.0404983615105975 0.17373310717601 0 0 0 0 0 0 0 0 0 0 0 0.00040650406504065 0.000425170068027211 0.000582750582750583 0.000582750582750583 0.000896057347670251 0 0 0.000425170068027211 0.000425170068027211 0 0 0.00127551020408163 0 0.00116550116550117 0.000582750582750583 0.000425170068027211 0.000425170068027211 0 0 0 0.00549188697684938 0.000425170068027211 0.00472265829408687 0.00132122741569746 0.00100792065077779 0 0 0.000850340136054422 0.00165580221214902 0.00103344257410994 0.00422054716479804 0.0135201084242896 0.00141442471581844 0.00040650406504065 0.00300324168481974 0.0032982074259828 0.0174697148760825 0.00672602043282639 0.00711025005450093 0.0135743751494936 0.0161560647046918 0.045962784398411 0.112121486614312 0.132905987128331 0.597984159962168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00119047619047619 0.00733618233618234 0.00789835164835165 0 0.00185185185185185 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00166666666666667 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000833333333333333 0 0.00333994708994709 0 0 0 0.000833333333333333 0 0 0 0 0 0.00154320987654321 0 0 0.00444444444444444 0.0100147537647538 0 0.000833333333333333 0.000833333333333333 0 0 0.00154320987654321 0.00175925925925926 0.00524691358024691 0.00175925925925926 0 0.00712962962962963 0.0168143738977072 0.0127888007054674 0.00813492063492064 0.0350735992402659 0.0812362637362637 0.117418083951772 0.151014372743096 0.507276911097833
4 150.333333333333 105.833333333333 18.25 18.75 3.5 2.83333333333333 1.16666666666667 0.405714547620661 0.0511536099805024 0.0681088015646105 0.0103132120003819 0.0326587948551162 0.211146755540636 0.0339185666676687 0.186985711770423 0 0 0 0 0 0 0 0 0 0.000282485875706215 0.000744047619047619 0 0 0.000282485875706215 0.00177058111380145 0 0.000282485875706215 0 0 0.000282485875706215 0 0 0.00102653349475383 0 0 0 0 0.000496031746031746 0 0.000282485875706215 0 0.00960827790096083 0.000778517621737961 0.0106240397741901 0 0.00134408602150538 0.000282485875706215 0.000496031746031746 0.000778517621737961 0.00105485232067511 0.00252525252525253 0 0.012318196531638 0.00155703524347592 0.000778517621737961 0.00248015873015873 0.00286605461393597 0.0308624333724924 0.0102575052096346 0.00892550682565718 0.020206157511141 0.0275138552908876 0.0461656256300668 0.111836579866637 0.166821348756577 0.524469340035996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.000612745098039216 0.000946969696969697 0.00250668449197861 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0 0 0.00250668449197861 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0.000612745098039216 0.000946969696969697 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0.000612745098039216 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.000946969696969697 0.000946969696969697 0.000612745098039216 0 0 0 0 0 0 0 0 0 0.00155971479500891 0.000612745098039216 0.0113238279746819 0 0.00284090909090909 0 0 0.000946969696969697 0.00278520499108734 0.00250668449197861 0.00245098039215686 0.00183823529411765 0.000946969696969697 0.0114082509836779 0.0238018133037108 0.019837128399747 0.00122549019607843 0.070663021618904 0.0885008339752173 0.140634215299775 0.225926323044444 0.369524409282474
5 134.333333333333 96.9166666666667 15.0833333333333 14.6666666666667 2.58333333333333 2.91666666666667 2.16666666666667 0.430083668310066 0.0537524963755221 0.066022682763702 0.0160526590951722 0.0381063554411541 0.188385476662231 0.0453023728762866 0.162294288475866 0 0 0 0 0 0 0.00109649122807018 0.00134408602150538 0.00134408602150538 0.000793650793650794 0 0 0 0.000389408099688474 0 0 0.000389408099688474 0 0 0 0 0 0 0 0.000389408099688474 0.00308641975308642 0.000473484848484848 0 0 0.000389408099688474 0 0.000778816199376947 0.000862892948173322 0.00508839572951693 0 0.00118305889333927 0 0 0.00148589932775865 0.000473484848484848 0 0.00394931270125974 0.00994364985975347 0.00134408602150538 0.000793650793650794 0.00228334749362787 0.0068534193566113 0.0192671457809498 0.0121979901111561 0.00862981196063397 0.0153021733790917 0.0173573316102038 0.0611752101244494 0.103599028148038 0.0977306285081196 0.620004815139243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793650793650794 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000793650793650794 0 0 0 0.000764525993883792 0 0 0 0 0 0.000793650793650794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0.00314547837483617 0 0.00155817678753459 0 0 0 0 0 0.000793650793650794 0 0 0.000793650793650794 0 0 0.00391000436871997 0 0.00232270278141838 0 0.00152905198776758 0.00152905198776758 0.00685763888888889 0.00314547837483617 0.00682851408912189 0 0.000793650793650794 0.00779134570494865 0.0182330403425738 0.0202920863374405 0.0122724625018203 0.0386756890223136 0.132791178956667 0.112440771578699 0.0941999113866424 0.521783844572173
6 138.25 100.166666666667 15.5833333333333 17.25 2.16666666666667 2.16666666666667 0.916666666666667 0.438066086608077 0.0591862601251232 0.0519710357388717 0.0221547381790763 0.0276112723985083 0.205692202003724 0.0395114050935259 0.155806999853094 0 0 0 0 0 0.000400641025641026 0 0.000400641025641026 0.00138103318250377 0 0 0 0 0 0.000905797101449275 0.00193798449612403 0 0 0 0 0.000905797101449275 0 0.000400641025641026 0.000980392156862745 0 0.00396004331965344 0.000400641025641026 0 0 0 0 0.0033768315018315 0 0.0033768315018315 0 0.00138103318250377 0 0 0.000400641025641026 0.0013064381270903 0.00141242937853107 0.00254882999448217 0.0183685095797156 0.00104166666666667 0.000400641025641026 0.000400641025641026 0.00930363142379142 0.0202169597546971 0.0135471148351529 0.00314938684503902 0.0327924745391665 0.0134861405202348 0.0345488086551936 0.111530434523653 0.135514823591656 0.580222120841233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0 0.000841750841750842 0 0.00208333333333333 0 0 0.00541666666666667 0 0.000841750841750842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0.0142609662153006 0 0.000841750841750842 0 0 0.000841750841750842 0.00541666666666667 0.00168350168350168 0.00541666666666667 0.00375 0 0.00537606456724104 0.0223479115197381 0.0228655603655604 0.000841750841750842 0.023312758649446 0.0685597926039102 0.159943934777526 0.153736456039088 0.495362548528183
7 120.166666666667 86 11.8333333333333 15.5 2.83333333333333 2.66666666666667 1.33333333333333 0.510312620954032 0.0425924510613437 0.0574515279846538 0.00830972434695306 0.0284336489454399 0.194942224766162 0.0226408333267377 0.135316968614678 0 0 0 0.000683060109289617 0.000683060109289617 0.000992063492063492 0 0 0.000683060109289617 0 0 0 0 0 0 0 0 0 0 0 0.000457875457875458 0 0 0 0.000683060109289617 0.000683060109289617 0 0 0.000833333333333333 0 0 0.0058381767556113 0.00165205235735163 0.00157232704402516 0.000683060109289617 0.00114093556716508 0.000992063492063492 0 0.00114093556716508 0.00151639344262295 0.00144993894993895 0.000683060109289617 0.0131821744487709 0.00239585995399949 0 0.00228937728937729 0.00384579890393844 0.0121822147784372 0.00660866910866911 0.00713196578300149 0.0177086816192802 0.00963484363403919 0.118636195759732 0.0848854945938224 0.126963027413204 0.572168180489485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000786163522012579 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000786163522012579 0 0 0 0 0 0 0 0.00163398692810458 0.00163398692810458 0 0.00136612021857923 0 0 0.00136612021857923 0 0 0 0 0 0 0 0.00136612021857923 0.00170068027210884 0 0 0 0 0.0036231884057971 0 0.00170068027210884 0 0 0 0 0 0 0 0.000786163522012579 0.00170068027210884 0.00248684379412142 0.00215228374059181 0.0165984078444245 0 0.00157232704402516 0 0.00235849056603774 0.00405917083814658 0 0.00170068027210884 0.00418752406623027 0.00418752406623027 0.000786163522012579 0.012639812085263 0.017149721265968 0.00993730825663599 0.00989626183497422 0.0181724863858587 0.0667557215846617 0.0907936434703792 0.168813408253514 0.374836459214194
8 151.833333333333 111.75 12.5 20.1666666666667 2.91666666666667 3.33333333333333 1.16666666666667 0.580897349101125 0.0475755260048017 0.0391535101556653 0.018340289892014 0.0162845195786983 0.179309693316078 0.0162848318077403 0.102154280143877 0 0 0 0 0 0 0 0 0 0 0 0.000631313131313131 0 0.00126262626262626 0.000631313131313131 0.000992063492063492 0 0 0 0.000555555555555556 0.000555555555555556 0.000631313131313131 0 0 0.000555555555555556 0.00122549019607843 0 0.000992063492063492 0 0 0 0.00203423120089787 0 0.000631313131313131 0 0.000555555555555556 0 0 0 0 0 0 0.0152911405420165 0.00189393939393939 0.000771604938271605 0 0 0.0138105376682248 0.087200176366843 0.00591138422407772 0.00638862952588443 0.00857513038885588 0.021349636966252 0.0778555109352802 0.114932359171744 0.634766000487406 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00120772946859903 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0 0.00100401606425703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0.00120772946859903 0.00100401606425703 0.0208016012937522 0 0 0 0 0.00268817204301075 0.00219298245614035 0 0 0 0 0.00319699852039738 0.0174083362609384 0.004972270032511 0.00653033185373071 0.0122124768762401 0.036816648977017 0.0847055227053193 0.14847800176771 0.475959902433478
9 145.416666666667 106.75 13.6666666666667 19.75 2.08333333333333 2 1.16666666666667 0.575867497469963 0.0436571056278821 0.0436455613664544 0.00661530144181663 0.0275087984780019 0.167963081552699 0.0159425829190526 0.11880007114413 0 0.000694444444444444 0.000712250712250712 0 0 0 0 0 0.00194805194805195 0.000757575757575758 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0 0.00142450142450142 0.000757575757575758 0 0 0 0 0 0.00119047619047619 0 0.00266030266030266 0 0.000712250712250712 0 0 0.00225225225225225 0.00211894586894587 0 0.000730994152046784 0.0185986142882695 0.00381799803969615 0.00335474710474711 0.00151515151515152 0.00588023088023088 0.0118016843175645 0.00773670773670774 0.00361629111629112 0.0125490062990063 0.00811652518305088 0.035641343354592 0.0749617398778016 0.126423602197923 0.585981152162709 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0.00417626728110599 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0.00297619047619048 0.0242723897965833 0 0.00148809523809524 0.00297619047619048 0 0 0.0066200600474794 0 0.00796414606898478 0 0.00148809523809524 0.00446428571428571 0.0170282898105479 0.0101286482334869 0.00268817204301075 0.00917874396135266 0.0592229902713774 0.0932580412419122 0.160318231908344 0.499633266647642
10 153.416666666667 113 12.0833333333333 20.4166666666667 2.91666666666667 3.75 1.16666666666667 0.556868136980546 0.029649534064043 0.0361949699638927 0.00608523387310827 0.0209933247484891 0.17303591298801 0.0100789141126319 0.0837606399359465 0 0 0 0 0 0 0 0 0 0.00111856823266219 0 0 0 0 0 0.000559284116331096 0 0 0 0 0 0 0.000730994152046784 0 0 0.000730994152046784 0 0.00111856823266219 0 0 0 0.00187713272847178 0 0.00580915120830345 0 0.000730994152046784 0 0 0.000730994152046784 0.000586854460093897 0 0 0.00446516941496714 0.00117370892018779 0.00170542269275609 0.00129027826837788 0.00153227620332883 0.00785195098531848 0.00401141060360417 0.00575688413705659 0.00428597922951185 0.00499421647275929 0.0291497941241253 0.0582058186706914 0.126451213561269 0.651799007796001 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0.00111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0.00146198830409357 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0.00126262626262626 0.00734126984126984 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00126262626262626 0.00901616252493445 0 0 0 0 0.00252525252525253 0.00260671228413164 0.00154320987654321 0.00134408602150538 0 0 0.00126262626262626 0.0100983519404572 0.0055304507058893 0.00431623931623932 0.0103243978243978 0.051372414292618 0.0634758256164595 0.177545510727477 0.555308215489294
