"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hj_Proportion" "Transition_je_Proportion" "Transition_he_Proportion" "Transition_ee_Proportion" "Transition_oo_Proportion" "Transition_gc_Proportion" "Transition_oj_Proportion" "Transition_hg_Proportion" "Transition_ie_Proportion" "Transition_jh_Proportion" "Transition_hh_Proportion" "Transition_hi_Proportion" "Transition_go_Proportion" "Transition_jg_Proportion" "Transition_cg_Proportion" "Transition_jj_Proportion" "Transition_jo_Proportion" "Transition_ec_Proportion" "Transition_ci_Proportion" "Transition_oi_Proportion" "Transition_cc_Proportion" "Transition_eg_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_jc_Proportion" "Transition_cj_Proportion" "Transition_so_Proportion" "Transition_ch_Proportion" "Transition_ji_Proportion" "Transition_og_Proportion" "Transition_ei_Proportion" "Transition_ge_Proportion" "Transition_ii_Proportion" "Transition_gj_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_sj_Proportion" "Transition_io_Proportion" "Transition_ig_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jes_Proportion" "Transition_igs_Proportion" "Transition_hes_Proportion" "Transition_cis_Proportion" "Transition_soo_Proportion" "Transition_ooo_Proportion" "Transition_seg_Proportion" "Transition_esi_Proportion" "Transition_egs_Proportion" "Transition_cse_Proportion" "Transition_ses_Proportion" "Transition_cgs_Proportion" "Transition_jgs_Proportion" "Transition_jsg_Proportion" "Transition_ojs_Proportion" "Transition_jsi_Proportion" "Transition_jcs_Proportion" "Transition_ies_Proportion" "Transition_osh_Proportion" "Transition_ios_Proportion" "Transition_shh_Proportion" "Transition_jos_Proportion" "Transition_gos_Proportion" "Transition_ssh_Proportion" "Transition_sos_Proportion" "Transition_sso_Proportion" "Transition_csi_Proportion" "Transition_esg_Proportion" "Transition_sgi_Proportion" "Transition_iii_Proportion" "Transition_gii_Proportion" "Transition_hsg_Proportion" "Transition_isg_Proportion" "Transition_gis_Proportion" "Transition_ogs_Proportion" "Transition_ggg_Proportion" "Transition_gsi_Proportion" "Transition_iis_Proportion" "Transition_sis_Proportion" "Transition_isi_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_jis_Proportion" "Transition_csg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_scs_Proportion" "Transition_sjs_Proportion" "Transition_sgg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 468.166666666667 377.916666666667 44.25 38.1666666666667 4.16666666666667 2.33333333333333 1.33333333333333 0.385487943120128 0.0444228118813496 0.0467798434360969 0.0135086219038611 0.0169441611036211 0.282008600297429 0.0376249591743361 0.173223059083178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000273224043715847 0.000273224043715847 0.000410509031198686 0.000476190476190476 0.000520833333333333 0.000527426160337553 0.000527426160337553 0.000546448087431694 0.00134356800274066 0.00153858122781927 0.00163690476190476 0.00180288461538462 0.00181159420289855 0.0024111145865916 0.00493563620180804 0.00539337683763868 0.00735700487668254 0.011023134830691 0.0113390007306071 0.0119353827511042 0.0179741281480125 0.0460216133406057 0.105159132112567 0.19079517872616 0.573966482710523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000544662309368192 0.000544662309368192 0.000544662309368192 0.00104166666666667 0.00108932461873638 0.00108932461873638 0.00108932461873638 0.00114155251141553 0.00189393939393939 0.00245544483731562 0.00272331154684096 0.00293560606060606 0.00320512820512821 0.00516191325014854 0.00552751742369623 0.00628703179837303 0.0141472872660246 0.0166107722175955 0.0204279299362546 0.0896718623179603 0.116326730916115 0.161783673008031 0.543756671859576
2 398.666666666667 310.416666666667 43.8333333333333 36.6666666666667 3.58333333333333 3.5 0.666666666666667 0.418538020214942 0.0321090429181967 0.0598463397026979 0.016467413207533 0.0224234007974708 0.25668290030398 0.0434353703405604 0.150497512514618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000194250194250194 0.00040650406504065 0.00040650406504065 0.000460405156537753 0.000612745098039216 0.000786163522012579 0.000786163522012579 0.00109649122807018 0.00135975135975136 0.00142575322812052 0.00219221835075494 0 0.00157897657897658 0 0 0.000641025641025641 0 0 0.000777000777000777 0 0.00153252772291144 0.000612745098039216 0.00197886531661845 0 0.000194250194250194 0.00474364395008124 0.00629077028053836 0.0126113329773274 0.0120030577984881 0.00974735381514442 0.0142451326215275 0.0217192053059164 0.0479823978175333 0.104018077986185 0.1971964312475 0.469066921747973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00037037037037037 0.00037037037037037 0.000740740740740741 0.00109649122807018 0.00111111111111111 0.00148148148148148 0.00219298245614035 0.00237472766884532 0 0.00037037037037037 0.00220272904483431 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00527035056446821 0 0 0.00111111111111111 0.00148148148148148 0 0 0.00564072093483858 0.0145553835569315 0.00333333333333333 0.0160079729291244 0.0203878873933548 0.0275346699133011 0.0990275137281263 0.0970136950795339 0.212400379813264 0.399479680874352
3 289.666666666667 221.583333333333 34.25 26.6666666666667 4 2.08333333333333 1 0.320906727217957 0.0363548021481176 0.0647705760711104 0.0255184088491908 0.0186022529454333 0.230541891828164 0.0467757569379982 0.173196250668695 0 0 0 0 0 0 0 0 0 0 0 0.000282485875706215 0.000484496124031008 0.00225225225225225 0 0 0.000563063063063063 0 0 0 0.00225225225225225 0 0.000282485875706215 0.00126262626262626 0.000484496124031008 0 0.0012781469176818 0 0.00193798449612403 0 0 0.00126262626262626 0.00202715225651005 0 0.00410140597369608 0.0012490221179148 0 0 0.000484496124031008 0.00329865139187173 0.00803022282673897 0.0154897013122795 0.0127502402173834 0.0126620915903063 0.0326570948834494 0.0132309877947487 0.0509879900656029 0.110659544195826 0.15975908828223 0.476936062127978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00151515151515152 0.00170068027210884 0.00219298245614035 0.00219298245614035 0.00333333333333333 0.00333333333333333 0 0 0 0 0 0.000527426160337553 0 0 0.00151515151515152 0 0.00789387251373256 0 0.00170068027210884 0.00503401360544218 0.00467804072647221 0 0.00333333333333333 0 0 0.0097618759211031 0 0.00748394789946799 0.0220491304489343 0.00491561181434599 0.0111738220008897 0.0440724364604149 0.0213411869306269 0.0925416055061043 0.0998801013813462 0.142458585367581 0.420793600348539
4 197.5 138.25 23.8333333333333 26.1666666666667 2.58333333333333 5.25 1.41666666666667 0.415479001242344 0.029928520878019 0.0647120009742404 0.0224222425196313 0.0278620613518244 0.223541420731768 0.0512845169398351 0.164770235362338 0 0 0 0 0 0 0 0 0.000816993464052288 0.00181159420289855 0.0146396396396396 0 0.000478927203065134 0.00354643914601839 0 0 0.00195848021934978 0 0 0 0 0.000816993464052288 0.000253292806484296 0.000603864734299517 0.000816993464052288 0 0 0 0 0 0 0.0138888888888889 0 0 0.0166383474929202 0.0146396396396396 0 0.0138888888888889 0.000816993464052288 0.0032511444028298 0.00238178830215049 0.0143256292075772 0.0166599004927845 0.00735449483884887 0.0250711753331595 0.020769828587105 0.0301389345609916 0.0851405566340102 0.129641445275199 0.579649125647042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.0277777777777778 0.0277777777777778 0.0295508274231678 0.00157232704402516 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0.000470809792843691 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0.0122476001324065 0.00133886534839925 0.0247455538844388 0.0139624154428327 0.0401767778898871 0.0492829825804543 0.0585557374927567 0.136205250648536 0.562269508411473
5 137.333333333333 91.25 13.0833333333333 22.9166666666667 2.75 5.66666666666667 1.66666666666667 0.48978871309699 0.0211717363043912 0.0547818576134901 0.0189391646398952 0.0294524885490953 0.197746591067107 0.0266182656266227 0.161501183102409 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0.00249174917491749 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0.00208333333333333 0 0 0.000896057347670251 0.000418760469011725 0 0.00187993482892593 0.00482517360367448 0.00692340067340067 0.0121908162690115 0.0101096197018076 0.0266307532472336 0.0312136089943358 0.0131461470750596 0.026033853215184 0.089769685530914 0.115892233883195 0.651914767806398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0.00347222222222222 0.0016025641025641 0 0 0.00163398692810458 0.000460405156537753 0 0 0.00391737891737892 0.0217592592592593 0.0262971841933492 0.00555136584548349 0.0608906883809386 0.0165158371040724 0.0491107340372046 0.0655779482033126 0.145242365501688 0.592181023110848
6 114.666666666667 76.25 12 17.1666666666667 2.58333333333333 4.66666666666667 2 0.451163892918104 0.013456498757162 0.0513224835831048 0.0213624134061794 0.0185805410354657 0.192104026816482 0.0298557738877993 0.222154369595703 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00291666666666667 0 0 0 0 0 0 0 0 0 0 0 0.00340883479828713 0.0067911877394636 0.0173611111111111 0.00985335705163291 0.0122346725407915 0.00983660130718954 0.0181313131313131 0.0207901493930906 0.0812377009900675 0.0887851753147561 0.643236563288964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0.00189393939393939 0 0 0 0 0.0203703703703704 0.00896496291233133 0.00185185185185185 0.0204661558109834 0.0236111111111111 0.045962000962001 0.0758811777051341 0.078837365871042 0.627319794169966
7 96 64.1666666666667 9.16666666666667 15 1.91666666666667 3.91666666666667 1.83333333333333 0.572998610724807 0.0204499696595951 0.0362806668725942 0.0152759179554743 0.0214736693051852 0.200862602350626 0.0183793430072546 0.114279220124464 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0.000896057347670251 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0 0 0 0 0 0 0 0 0 0 0.00835777126099707 0.00335033503350335 0.0108786490134302 0.0437489447869518 0.0298265169551667 0.00862652199285863 0.00790571435732726 0.0173105683485754 0.0546391711775992 0.0630215404559494 0.664822047653809 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0.0116666666666667 0.0116666666666667 0.0158345752608048 0.00833333333333333 0.0148717948717949 0.109452270179729 0.0334775641025641 0.0362667288691879 0.0526121396818118 0.609151593700774
8 91.5833333333333 58.75 9.75 14.75 1.58333333333333 4.91666666666667 1.75 0.500550560939883 0.018511684799678 0.0374052209870774 0.0128023891587402 0.0184214614634867 0.189045825838292 0.027660784934209 0.112268738545301 0 0 0 0 0 0.000599520383693046 0 0 0 0 0 0 0 0.00608908635224425 0.00237425804436114 0 0 0 0 0 0 0.000859106529209622 0 0.00171821305841924 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0.000859106529209622 0.00183275432885631 0.00238095238095238 0.00990984960057125 0.00501890399499068 0.0198718698719806 0.0198975485939675 0.0171193075628778 0.00743133111524887 0.081662738281734 0.138678557612252 0.598048747611284 0 0 0 0 0 0 0 0 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00472541507024266 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0.00555555555555556 0 0 0 0.000493096646942801 0 0 0 0 0 0 0.00145095105307307 0.00555555555555556 0.0162657658678879 0.00574712643678161 0.0402777777777778 0.0112338373876835 0.0145083014048531 0.0755026751910041 0.145258179492069 0.573425762560573
9 82.3333333333333 51.6666666666667 6.91666666666667 14.5833333333333 1.08333333333333 5.41666666666667 2.58333333333333 0.5772830530853 0.0109125824175171 0.0346684099607558 0.0162871614390742 0.0244982609663583 0.13652838217434 0.019000464605018 0.0974883520183038 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203355672105672 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0.0045750316493851 0.00441008644133644 0.0135795817369093 0.00680597838464218 0.0236787296286369 0.0174973942484718 0.00901976077083836 0.0273844978855755 0.0837340142297039 0.0651295583645924 0.559116095653137 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0.000868055555555556 0 0.00451388888888889 0 0 0.000868055555555556 0 0 0 0.00451388888888889 0.00815846112456282 0.0123251277912295 0.00661273754494094 0.0543006869542887 0.0128627375449409 0.0813827591899626 0.060075961988973 0.0370989934237691 0.544370034437333
10 75.6666666666667 47.8333333333333 6.58333333333333 12.6666666666667 1.83333333333333 4.91666666666667 1.83333333333333 0.613169868229848 0.027144237405107 0.0501469044743501 0.0249709569818265 0.0440274902231424 0.158830031583125 0.0231238421354971 0.0585866689671037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0 0.0110780423280423 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.00119047619047619 0 0 0.000661375661375661 0.0214111668059036 0.00595238095238095 0.0286414565826331 0.010233918128655 0.0294495587258745 0.0278899864039183 0.029123015142752 0.0762179047589264 0.0544646580056797 0.0978268270257434 0.604536481964888 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00353009259259259 0 0 0 0 0 0 0.00659277065527065 0 0 0 0 0.000925925925925926 0 0.00872952279202279 0.0130208333333333 0.00615406700678018 0.0190690289648623 0.0599537037037037 0.0251068376068376 0.102007656695157 0.0561253561253561 0.0662746182004903 0.546113575001656
