"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hj_Proportion" "Transition_og_Proportion" "Transition_oh_Proportion" "Transition_ee_Proportion" "Transition_eh_Proportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_co_Proportion" "Transition_cc_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_hi_Proportion" "Transition_ih_Proportion" "Transition_gc_Proportion" "Transition_oo_Proportion" "Transition_oi_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_ij_Proportion" "Transition_ji_Proportion" "Transition_jc_Proportion" "Transition_se_Proportion" "Transition_ci_Proportion" "Transition_ce_Proportion" "Transition_jh_Proportion" "Transition_gj_Proportion" "Transition_hh_Proportion" "Transition_jj_Proportion" "Transition_eo_Proportion" "Transition_jg_Proportion" "Transition_je_Proportion" "Transition_so_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_shs_Proportion" "Transition_sji_Proportion" "Transition_jcs_Proportion" "Transition_ssc_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_jsj_Proportion" "Transition_jos_Proportion" "Transition_egs_Proportion" "Transition_esc_Proportion" "Transition_ses_Proportion" "Transition_ges_Proportion" "Transition_jgs_Proportion" "Transition_iii_Proportion" "Transition_jgg_Proportion" "Transition_sjg_Proportion" "Transition_scs_Proportion" "Transition_isj_Proportion" "Transition_oos_Proportion" "Transition_csi_Proportion" "Transition_cgs_Proportion" "Transition_cis_Proportion" "Transition_isi_Proportion" "Transition_jgi_Proportion" "Transition_sos_Proportion" "Transition_sjs_Proportion" "Transition_jis_Proportion" "Transition_gse_Proportion" "Transition_gig_Proportion" "Transition_gsi_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_isg_Proportion" "Transition_ssg_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_jsi_Proportion" "Transition_ssi_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_igs_Proportion" "Transition_sii_Proportion" "Transition_sgg_Proportion" "Transition_hss_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 437.416666666667 346 42.5833333333333 39.8333333333333 4.41666666666667 3.33333333333333 1.25 0.424056283536195 0.048013620148088 0.0330981128797171 0.00886233745974319 0.0105693423609635 0.324662399886562 0.0201289984117081 0.130608905317023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000279642058165548 0.00029868578255675 0.00029868578255675 0.000347222222222222 0.000347222222222222 0.000347222222222222 0.000541125541125541 0.000608272506082725 0.000737463126843658 0.000741948193904268 0.000906958288639475 0.00138738932939544 0.00182663354297015 0.00221088122242563 0.00247992358540315 0.00353721607961322 0.00403970015154795 0.00405957394556307 0.00612564410140853 0.00701559775002201 0.0118314762095372 0.0142793157550361 0.0166702855579895 0.0245596950408809 0.087812752712796 0.243239126881881 0.563470340186988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000631313131313131 0.000737463126843658 0.000737463126843658 0.000737463126843658 0.000737463126843658 0.00126262626262626 0.00138888888888889 0.00147492625368732 0.00178571428571429 0.00181159420289855 0.00181159420289855 0.00193798449612403 0.00240683229813665 0.00244290733421168 0.00256929762743716 0.00308441558441558 0.00316453572267526 0.0039842163735969 0.00443437008462018 0.00461552950491004 0.00484973963234833 0.00734837859073395 0.0214687555238324 0.0431873361783292 0.0694926009367628 0.283386718980013 0.527914633301213
2 428.833333333333 331 45 41.75 4.5 5.33333333333333 1.25 0.390623760405528 0.0530017210230282 0.0374522000902749 0.0150871022200399 0.0113494711059934 0.292157069396287 0.0261030498385261 0.174225625920322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000208333333333333 0.000382262996941896 0.000416666666666667 0.000641025641025641 0.00093895548441003 0.00238742318287773 0.000416666666666667 0 0 0 0 0.00068870523415978 0 0.00110537190082645 0 0.000617283950617284 0.00068870523415978 0.000858522756332975 0.00025025025025025 0.00152955181468526 0.00191426169085979 0.00306615278697524 0.00108358358358358 0.0153692272536502 0.00191691691691692 0.0140075634400957 0.0108176159263777 0.0137422937827607 0.0200156384949846 0.0165219555926426 0.127619526331434 0.222979257152073 0.539816281934692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000418760469011725 0.00087719298245614 0.00135888855085691 0.0016025641025641 0.00181159420289855 0.00181159420289855 0.00185185185185185 0.00185185185185185 0 0 0 0 0 0 0.00255223485850304 0.00369243597110953 0.00087719298245614 0 0 0.0016025641025641 0.000481695568400771 0.00395027470722326 0.00135888855085691 0.0388231613514222 0.00087719298245614 0.00261844770515291 0.00087719298245614 0.0168170279543365 0.00261844770515291 0.00818324300578861 0.0173432008656425 0.0206424107837667 0.0282238284474901 0.131681721457341 0.186312433420223 0.518463345914257
3 376.75 291 44.25 31.75 4.5 3.83333333333333 1.41666666666667 0.390906356832472 0.0598047145567374 0.047754707775989 0.00976397011915227 0.0130400784746265 0.255072600250723 0.0299389016016628 0.193718670388637 0 0 0 0 0 0 0 0 0 0 0 0.000228937728937729 0.000520833333333333 0.000566893424036281 0.000566893424036281 0.00111111111111111 0 0.00030750307503075 0 0 0.00101626016260163 0.000505050505050505 0 0 0 0 0.000505050505050505 0 0 0.00134004884004884 0 0.00131151913928778 0.000354609929078014 0.000457875457875458 0.00150906656930753 0.00548003041164135 0.00249055811522865 0.00366572756956439 0.000583547658015743 0.0083234482828561 0.00193247384893769 0.0166292045052981 0.0208796180707682 0.0130770297242048 0.0140267867500336 0.045899612467905 0.148358983832467 0.210657200180848 0.497694125377446 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000434027777777778 0.000434027777777778 0.000434027777777778 0.000672043010752688 0.000672043010752688 0.00157232704402516 0 0 0 0 0 0 0.000672043010752688 0 0 0 0.000434027777777778 0 0.000434027777777778 0.00146198830409357 0.00146198830409357 0.00257634310828219 0.00187207161981258 0.000434027777777778 0.00421582161981258 0 0 0.00303431534811872 0.000434027777777778 0.00244205990629183 0.00639453040188216 0.000434027777777778 0.000434027777777778 0.000434027777777778 0.0127607063403782 0.00100401606425703 0.0128166513181963 0.00378614592779721 0.0412729678049698 0.0384618414777906 0.107407811752041 0.157122611788877 0.510646061725912
4 291.75 225.083333333333 32.1666666666667 27.5 3.33333333333333 2.5 1.08333333333333 0.371751178881842 0.0441649048260054 0.0417602790046771 0.0142530599555737 0.0104920412981771 0.233560472291974 0.0279490286674139 0.172735701741003 0 0 0 0 0 0 0 0.000418760469011725 0.000833333333333333 0.000968992248062015 0.00106837606837607 0 0 0 0 0 0 0.000305250305250305 0 0 0.000520833333333333 0.000968992248062015 0 0 0 0 0 0.000520833333333333 0 0.00570512820512821 0 0 0 0 0.00193798449612403 0.00785397671648322 0.00159644641942495 0.0019629477874721 0.00133451138476264 0.00697344058337716 0.00124484410759536 0.00818354260357102 0.0211847077783913 0.0158298440878714 0.0108808410706866 0.0276150672742633 0.101432357842365 0.176011256938678 0.52131439803171 0 0 0 0 0 0 0 0 0.000641025641025641 0.00106837606837607 0.00333333333333333 0.00333333333333333 0.00456706706706707 0 0 0 0 0.000641025641025641 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0.000661375661375661 0 0 0.00106837606837607 0.00249287749287749 0 0.0108333333333333 0 0 0 0 0 0.00920877399138269 0.000641025641025641 0 0.00292022792022792 0.0116141463967551 0 0.00315425315425315 0.00846321434556729 0.0386401152705501 0.0414501298324828 0.0953699736947819 0.154033418624211 0.521208512832554
5 237.75 184.833333333333 23.8333333333333 22.5 3 2.75 0.75 0.380728678568296 0.0417487872008283 0.0531903049876339 0.0102448004626431 0.00941395953724524 0.219235638623288 0.0306199891122826 0.17148450817445 0 0 0 0 0 0.000905797101449275 0.00271739130434783 0 0.000778816199376947 0.00153711023276241 0 0 0 0 0 0.000631313131313131 0.000465549348230912 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0.00481366459627329 0 0.000465549348230912 0 0 0 0.00789398444451672 0.000631313131313131 0.0029450458197167 0 0.00226206586593831 0.000631313131313131 0.00365407612941041 0.0254161980449257 0.0113694201816592 0.00467572402643915 0.0176065313197399 0.0990810787979099 0.150576655354905 0.576417592966419 0 0 0 0 0 0 0.00109649122807018 0.00208333333333333 0 0 0 0.00208333333333333 0.00570652173913043 0 0 0 0 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0 0 0 0 0 0 0 0.00478238866396761 0 0 0 0 0 0.000859106529209622 0 0 0 0.0110058639585757 0 0.000946969696969697 0.00279882154882155 0.0552488336098176 0.0250524573438537 0.0807926969541023 0.14271933138517 0.580394026114241
6 182.416666666667 137.333333333333 18 21.8333333333333 2.16666666666667 2.5 0.583333333333333 0.49295501768315 0.0415961955617898 0.0488151824930911 0.0283965791813618 0.0074077264211093 0.206641558467196 0.0247818610921916 0.14940587910011 0 0 0 0 0.000656167979002625 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0.000896057347670251 0 0 0 0 0 0 0 0 0 0 0 0 0.0022510435301133 0 0 0.000656167979002625 0.00122157818100358 0 0.0048826544871512 0 0.00122549019607843 0 0.00736245764665763 0.00131233595800525 0.00375940433508727 0.0432257789378438 0.00800931832684676 0.0263157306561302 0.0433390288628884 0.0646591781632078 0.111931736454667 0.676629204291977 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0.000656167979002625 0 0.0036231884057971 0 0 0 0 0 0.00570652173913043 0 0 0 0 0 0.00933068412030544 0 0.000656167979002625 0 0.00483091787439614 0 0 0 0.0788709505541347 0.117827940577379 0.0749071637707072 0.106212872545808 0.591670902715207
7 137 101.416666666667 14.6666666666667 15.75 1.5 2.75 0.916666666666667 0.468028825531547 0.045910331058071 0.0792062914576292 0.0109997834401 0.0175485229465121 0.188714224139375 0.0436163656108847 0.145975655815881 0 0 0.000915750915750916 0.000915750915750916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000334672021419009 0.00154706404706405 0 0 0 0.000631313131313131 0 0 0 0.00154706404706405 0.000641025641025641 0.00416666666666667 0 0 0.000641025641025641 0.0185632580489181 0.000631313131313131 0.000641025641025641 0 0.00464119214119214 0.00992860330209728 0.00426965878445711 0.0259974978724979 0.0329677406484635 0.00419612181660374 0.0109874055624449 0.0674294323505298 0.0909136240919897 0.717492793581387 0 0 0.000651041666666667 0.00138888888888889 0.00203252032520325 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0 0 0.0293425621345029 0 0 0 0 0 0.00887533875338753 0 0 0.000651041666666667 0.042650110094851 0 0.000651041666666667 0.000651041666666667 0.0469946558609349 0.0207256190758678 0.0552751925545571 0.0922983522757966 0.695129031377473
8 111 81.3333333333333 10.0833333333333 14.3333333333333 1.75 2.5 1 0.552895169808598 0.0468342267180623 0.0392349094968332 0.00875785483104839 0.00940307456690282 0.186381412714567 0.0337171362293362 0.122776215634652 0 0 0 0 0 0 0 0 0.000524109014675052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000524109014675052 0 0 0 0 0 0.00162060024274523 0 0.00277777777777778 0 0.00530313048496069 0 0.000837520938023451 0.0231225971170865 0.0372720064575044 0.00866922089111445 0.0210290293691884 0.0683103544159175 0.0939017349287396 0.652774476014258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0 0 0.00409090909090909 0 0 0 0.0679191338674097 0.00333333333333333 0.000757575757575758 0.00524904214559387 0.0399439446327588 0.0229529313318212 0.0750739275287215 0.0752149933594425 0.621173021212971
9 79.5833333333333 57 8.75 10.3333333333333 1.08333333333333 1.58333333333333 0.833333333333333 0.577391298623827 0.0769788241148716 0.0414841717711955 0.015270480604388 0.0273267838094708 0.126531717525836 0.0172398427095811 0.11777688084083 0 0.00189393939393939 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0.0016025641025641 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0.00217334035827187 0 0.00539594586204756 0 0 0 0 0.000570776255707763 0.0012769909449733 0.00238095238095238 0.00189393939393939 0 0.0067443630790121 0.00595238095238095 0.00220476318381234 0.0318572241070727 0.00534427069718456 0.0144347465675149 0.0357338177528861 0.0536548398203729 0.0857196653107437 0.73027223364926 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.00925925925925926 0 0.00130208333333333 0 0 0 0 0 0.0052703373015873 0 0 0.00925925925925926 0.00568804824561403 0 0.00462962962962963 0.00665642601126472 0.0636927780921839 0.0522720120754395 0.0462182913039768 0.116333796240152 0.671063860367765
10 66.5 45.5 7.33333333333333 9.66666666666667 1.16666666666667 2.41666666666667 0.333333333333333 0.465964367862048 0.0423760618040534 0.0274780773005291 0.00773127812427966 0.00632171098890608 0.217164790909717 0.0283845914017081 0.121245788275425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0.00072463768115942 0 0 0 0 0 0 0 0.00302287581699346 0 0.00286811201445348 0.00138888888888889 0.00185185185185185 0.0482267396449294 0.0080649008749252 0.0083482527887119 0.0131151587353633 0.0911161396517893 0.0722393853717539 0.580977501123624 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.00602150537634409 0 0.00333333333333333 0 0.0868280377151345 0.016407132939391 0.120678339629953 0.0544814169007717 0.538083567438406
