"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_se_Proportion" "Length2Transition_hg_Proportion" "Length2Transition_io_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_gj_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_ij_Proportion" "Length2Transition_gi_Proportion" "Length2Transition_ic_Proportion" "Length2Transition_cg_Proportion" "Length2Transition_co_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_si_Proportion" "Length2Transition_ie_Proportion" "Length2Transition_so_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_js_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_es_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_is_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_sh_Proportion" "Length3Transition_si_Proportion" "Length3Transition_es_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_js_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_jj_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_se_Proportion" "Length4Transition_es_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_si_Proportion" "Length4Transition_cc_Proportion" "Length4Transition_ii_Proportion" "Length4Transition_os_Proportion" "Length4Transition_js_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_is_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_ii_Proportion" "Length5Transition_si_Proportion" "Length5Transition_es_Proportion" "Length5Transition_is_Proportion" "Length5Transition_hs_Proportion" "Length5Transition_os_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_js_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_sj_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_shs_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_gsg_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_jjs_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_scs_Proportion" "Length4Transition_ses_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_css_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_scc_Proportion" "Length4Transition_jsc_Proportion" "Length4Transition_isi_Proportion" "Length4Transition_sii_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_ssi_Proportion" "Length5Transition_sii_Proportion" "Length5Transition_ess_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_hss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_sjs_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_sss_Proportion"
1 212.083333333333 178.583333333333 17.9166666666667 13.4166666666667 0.75 1.33333333333333 0.0833333333333333 0.245985354529217 0.0599998756823504 0.121047276096922 0.0382888101084029 0.0109683165056499 0.17459196366144 0.0638796934323351 0.285238709983683 0.50689198194535 0.0580269607843137 0.0418117392263502 0.0300155985817751 0.012952106518283 0.136285417974223 0.0237204802728996 0.190295714696806 0.786112625505429 0.0296168203776899 0.0701139960322868 0.0234885082711169 0 0.0376582542062302 0.00185185185185185 0.051157943755395 0.607142857142857 0.0357142857142857 0.0714285714285714 0.0357142857142857 0 0.0892857142857143 0.0178571428571429 0.142857142857143 0.887037037037037 0.0574074074074074 0.0222222222222222 0.0111111111111111 0 0.0222222222222222 0 0 0.857142857142857 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00225225225225225 0.00396825396825397 0.0060515873015873 0.0118872549019608 0.0208333333333333 0.0236519607843137 0.0416666666666667 0.0416666666666667 0.0474409605457993 0.0577789449112978 0.0775718911511132 0.0993695494762857 0.226935915313524 0.336672510474693 0 0 0 0 0.00181159420289855 0.00277777777777778 0.0352327624066755 0.0444252305665349 0.0546757871064468 0.0767369156330926 0.10517099404843 0.679168938258144 0 0 0 0 0 0 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0555555555555556 0.0694444444444444 0.277777777777778 0 0 0 0 0 0.0104166666666667 0.0208333333333333 0.0208333333333333 0.0538194444444444 0.644097222222222 0 0 0 0.0138888888888889 0.0694444444444444 0 0 0 0 0 0.0036231884057971 0.00555555555555556 0.0704655248133509 0.0888504611330698 0.105728385807096 0.153473831266185 0.210341988096861 0.361961064922084 0 0 0 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.104166666666667 0.208333333333333 0 0 0 0 0 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0717592592592592 0.608796296296296 0 0 0 0.0166666666666667 0.0666666666666667
2 134.833333333333 116.75 10.8333333333333 6.5 0.333333333333333 0.25 0.166666666666667 0.295029155107507 0.0499872266798863 0.156050701367464 0.0354362531515801 0.0243077107498813 0.152270988000614 0.0583409608133697 0.228577004129698 0.575943969047417 0.0374622271173995 0.0598506029540512 0.0133497133497133 0 0.0800248524386455 0.0658495486081693 0.167519086484604 0.736075036075036 0.0401875901875901 0.0865079365079364 0.0393939393939393 0.00505050505050504 0.042063492063492 0.0117604617604617 0.0389610389610389 0.833333333333333 0 0.0416666666666667 0 0.0416666666666667 0.0833333333333333 0 0 0.8 0.2 0 0 0 0 0 0 0.916666666666667 0 0 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0167624521072797 0.0347222222222222 0 0 0.0195402298850575 0.0190147043595319 0.0329035932484208 0.00574712643678161 0 0 0.00225225225225225 0.103961720341031 0.0244744744744745 0.0907114010562287 0.155371751061406 0.127171999585793 0.270143850747299 0 0.00208333333333333 0.00297619047619048 0.00694444444444444 0.00833333333333333 0.0161706349206349 0.0541666666666667 0.0552579365079365 0.0578373015873016 0.0535714285714286 0.118948412698413 0.540376984126984 0 0 0 0.0138888888888889 0.0138888888888889 0.0138888888888889 0 0 0 0 0 0 0 0 0.0277777777777778 0.180555555555556 0 0 0 0 0 0 0 0 0.0208333333333333 0.0625 0 0 0.00757575757575758 0 0.0757575757575758 0 0.00416666666666667 0.00595238095238095 0.0138888888888889 0.0166666666666667 0 0.0281746031746032 0.108333333333333 0.110515873015873 0.0990079365079365 0.101190476190476 0.237896825396825 0.190873015873016 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0 0 0.0416666666666667 0.145833333333333 0 0 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0.00925925925925926 0 0.0740740740740741
3 67.25 55.9166666666667 4.66666666666667 5.25 0.5 0.833333333333333 0.0833333333333333 0.255676930373118 0.0522691676139952 0.134339227429718 0.0435244617356419 0.0190093559970407 0.177623217695182 0.0746894145810402 0.242868224574264 0.493235930735931 0.0347222222222222 0.0674242424242424 0.0174242424242424 0.0166666666666667 0.133041125541126 0.0761507936507936 0.161334776334776 0.729938271604939 0.0506172839506172 0.0584876543209876 0.0177469135802469 0.0138888888888889 0.0472222222222222 0.00555555555555555 0.0765432098765431 0.833333333333333 0 0.0416666666666667 0 0 0.0833333333333333 0 0.0416666666666667 0.827777777777778 0.1 0 0 0 0.0222222222222222 0.0333333333333333 0.0166666666666667 0.857142857142857 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0327380952380952 0 0 0.0208333333333333 0 0 0.0119047619047619 0.00925925925925926 0.0300925925925926 0 0.0277777777777778 0.0277777777777778 0 0.126917989417989 0.029040404040404 0.103114478114478 0.0492424242424242 0.116576479076479 0.248057960557961 0 0 0 0.0208333333333333 0 0.00833333333333333 0.0266203703703704 0.0759259259259259 0.0708333333333333 0.114814814814815 0.0877314814814815 0.594907407407407 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0.388888888888889 0 0 0 0.0104166666666667 0.0208333333333333 0 0 0.0138888888888889 0.0625 0.392361111111111 0 0 0.0138888888888889 0 0.0694444444444444 0 0 0 0.0416666666666667 0 0 0.0166666666666667 0.0532407407407407 0.151851851851852 0.141666666666667 0.22962962962963 0.175462962962963 0.189814814814815 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.0416666666666667 0.0833333333333333 0.333333333333333 0 0 0 0.0138888888888889 0.0277777777777778 0 0 0.0185185185185185 0.0833333333333333 0.356481481481481 0 0 0.0166666666666667 0 0.0666666666666667
4 56.4166666666667 46.1666666666667 4.33333333333333 5.16666666666667 0.0833333333333333 0.666666666666667 0 0.329174661106857 0.0480594069852965 0.150758084893069 0.0376246850478825 0.0282517652585828 0.129962922435986 0.0757819581143821 0.200386516157944 0.513203463203463 0.00625 0.0274621212121212 0.0212121212121212 0.0479166666666667 0.159361471861472 0.0309523809523809 0.193641774891775 0.752537277537278 0.077032227032227 0.0807659932659932 0.0271164021164021 0.0111231361231361 0.00555555555555555 0 0.0458694083694083 0.75 0 0.25 0 0 0 0 0 0.8375 0.075 0 0.05 0 0.0125 0 0.025 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0.0270562770562771 0 0 0 0 0 0 0.0798611111111111 0 0.0104166666666667 0.0515873015873016 0.00757575757575758 0.0179924242424242 0.0602002164502164 0.265602453102453 0.285263347763348 0 0 0 0.0166847041847042 0 0 0.0406746031746032 0.115548340548341 0.00833333333333333 0.0688041125541125 0.12114898989899 0.628805916305916 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0.0104166666666667 0 0.0208333333333333 0 0.00520833333333333 0.03125 0.265625 0 0 0 0 0 0 0 0 0.0333694083694084 0 0 0 0.0813492063492063 0.231096681096681 0.0166666666666667 0.137608225108225 0.24229797979798 0.257611832611833 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0277777777777778 0 0.00694444444444444 0.0416666666666667 0.243055555555556 0 0 0 0 0
5 48.0833333333333 39.5833333333333 4.91666666666667 2.91666666666667 0.416666666666667 0.25 0 0.331622223861674 0.0610779154657032 0.137648033479464 0.0183821112986257 0.0297400965217005 0.0992654791385153 0.0651109477607468 0.257153192473571 0.601166666666667 0.0791666666666667 0.0738333333333333 0 0.02 0.0835 0.0455 0.0968333333333333 0.751736111111111 0.03125 0.079861111111111 0.0434027777777777 0.00694444444444444 0.0295138888888889 0 0.0572916666666666 0.722222222222222 0.0277777777777778 0 0 0 0.166666666666667 0 0.0833333333333333 0.933333333333333 0 0.0666666666666667 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.00333333333333333 0.00666666666666667 0.0208333333333333 0 0.00333333333333333 0 0 0 0 0 0.00333333333333333 0 0.118055555555556 0.0138888888888889 0.0333333333333333 0 0 0.0758333333333333 0 0.0955555555555556 0.202777777777778 0.105 0.151388888888889 0 0 0 0.0104166666666667 0 0 0.0651041666666667 0.046875 0.0442708333333333 0.0859375 0.119791666666667 0.627604166666667 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0.00925925925925926 0 0.0277777777777778 0 0.157407407407407 0 0 0 0 0 0 0.0208333333333333 0 0 0.229166666666667 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0.130208333333333 0.09375 0.0885416666666667 0.171875 0.239583333333333 0.255208333333333 0 0.0138888888888889 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.111111111111111 0 0 0 0 0 0 0.0277777777777778 0 0 0.222222222222222 0 0 0 0 0
6 39.25 31.5833333333333 3.08333333333333 3.5 0.416666666666667 0.5 0.0833333333333333 0.365028185866331 0.0452495111627268 0.13535716606992 0.0525633571913064 0.0274772179490873 0.121298488614113 0.048820659990434 0.204205413156081 0.655 0.015 0.065 0.0366666666666667 0 0.0833333333333333 0.0166666666666667 0.128333333333333 0.755050505050505 0.0363636363636363 0.0383838383838383 0.0575757575757575 0 0.0227272727272727 0.00606060606060605 0.0838383838383838 0.6875 0.125 0.0625 0.03125 0 0 0 0.09375 0.88 0 0.04 0 0 0.04 0 0.04 0.857142857142857 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0.1 0.00833333333333333 0 0 0.0166666666666667 0 0.0277777777777778 0.0611111111111111 0.00833333333333333 0.275 0.122222222222222 0.197222222222222 0 0 0 0 0 0.00833333333333333 0.0791666666666667 0.05 0.03125 0.115277777777778 0.0527777777777778 0.579861111111111 0.0277777777777778 0 0 0 0 0.0277777777777778 0 0 0 0 0.0138888888888889 0.0277777777777778 0 0.0416666666666667 0 0.194444444444444 0 0 0 0.0208333333333333 0 0 0.0208333333333333 0.0208333333333333 0 0.354166666666667 0 0 0 0.0138888888888889 0.0694444444444444 0 0 0 0 0 0 0.0166666666666667 0.158333333333333 0.1 0.0625 0.230555555555556 0.105555555555556 0.243055555555556 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0.0208333333333333 0.0625 0 0.125 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.0277777777777778 0 0.333333333333333 0 0 0 0.0166666666666667 0.0666666666666667
7 22 17.4166666666667 1.83333333333333 2.25 0.333333333333333 0.166666666666667 0 0.279564385521334 0.0601500584130593 0.165163532277769 0.118032299628634 0.0382716049382716 0.0707928935230726 0.031210334375296 0.236814891322564 0.4625 0.075 0.025 0.0166666666666667 0.0375 0.183333333333333 0 0.2 0.761111111111111 0 0.0753086419753086 0.0401234567901234 0 0.0123456790123457 0.0277777777777777 0.0833333333333332 0.875 0 0 0 0 0 0.0625 0.0625 0.9 0 0.1 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0.0208333333333333 0.0416666666666667 0 0 0.0277777777777778 0 0.0625 0.180555555555556 0.291666666666667 0 0 0 0 0 0.03125 0.0451388888888889 0 0.0138888888888889 0.09375 0.0847222222222222 0.48125 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0 0.277777777777778 0 0 0 0 0 0 0.0208333333333333 0 0 0.145833333333333 0 0 0 0 0 0 0 0 0 0 0 0.0625 0.0902777777777778 0 0.0277777777777778 0.1875 0.169444444444444 0.2125 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0.25 0 0 0 0 0 0 0.0277777777777778 0 0 0.138888888888889 0 0 0 0 0
8 29 22.9166666666667 2.83333333333333 2.58333333333333 0.166666666666667 0.333333333333333 0.166666666666667 0.390387636711166 0.0408460114342467 0.127577429048017 0.0656704161606122 0.0230052484954446 0.116312040331648 0.0724250895819523 0.163776128236913 0.586038961038961 0.0151515151515152 0.0269480519480519 0.0795454545454545 0 0.0838744588744589 0.0772727272727273 0.131168831168831 0.65959595959596 0.0656565656565656 0.0858585858585858 0.0262626262626262 0 0.0555555555555555 0.0252525252525252 0.0818181818181817 1 0 0 0 0 0 0 0 0.8 0.05 0 0 0.05 0.1 0 0 0.928571428571428 0 0 0.0714285714285715 0 0 0 0 0 0 0 0.0208333333333333 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0119047619047619 0 0 0 0 0 0.141666666666667 0.125 0.0166666666666667 0.206349206349206 0.10515873015873 0.219642857142857 0.0555555555555556 0 0 0 0 0.0347222222222222 0.0361111111111111 0.0347222222222222 0.0763888888888889 0.1125 0.118055555555556 0.448611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.0208333333333333 0 0 0 0 0.0416666666666667 0.0208333333333333 0.25 0 0.0138888888888889 0 0 0.152777777777778 0.111111111111111 0 0 0 0 0 0.0694444444444444 0.0722222222222222 0.0694444444444444 0.0416666666666667 0.225 0.236111111111111 0.0916666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.0277777777777778 0 0 0 0 0.0555555555555556 0.0277777777777778 0.222222222222222 0 0.0166666666666667 0 0 0.15
9 23.25 18.6666666666667 2.16666666666667 2.08333333333333 0.25 0.0833333333333333 0 0.443002798923852 0.0550832480108796 0.0903160426186742 0.0436622948136106 0.030758668587616 0.130776368111894 0.0507382780409096 0.155662300892564 0.564393939393939 0.0454545454545455 0.0340909090909091 0.0757575757575758 0.0454545454545455 0.0946969696969697 0.0681818181818182 0.071969696969697 0.737373737373738 0.0631313131313131 0.0303030303030303 0.0479797979797979 0 0.103535353535353 0 0.0176767676767677 0.833333333333333 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0.8 0 0.2 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0833333333333333 0.0416666666666667 0 0.125 0.111111111111111 0.0625 0.1875 0.131944444444444 0.104166666666667 0 0 0 0 0 0 0.0659722222222222 0.0868055555555556 0.142361111111111 0.0243055555555556 0.0416666666666667 0.555555555555556 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.194444444444444 0 0 0 0 0 0 0.0208333333333333 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 0.131944444444444 0.173611111111111 0.284722222222222 0.0486111111111111 0.0833333333333333 0.194444444444444 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0.166666666666667 0 0 0 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0 0 0 0 0
10 40.4166666666667 35 3.16666666666667 1.66666666666667 0.333333333333333 0.25 0 0.489900986625125 0.0365950731899008 0.128727579891373 0.0630971590669867 0.0527611293559569 0.0782751077147629 0.0360269918459574 0.114615972309938 0.601025641025641 0.0371794871794872 0.118333333333333 0.0455128205128205 0.0583333333333333 0.10525641025641 0.00384615384615385 0.0305128205128205 0.746031746031746 0.0555555555555555 0.119047619047619 0.0158730158730159 0 0.0357142857142857 0 0.0277777777777777 0.875 0 0.0625 0 0 0 0 0.0625 0.666666666666667 0.133333333333333 0 0 0 0.0666666666666667 0 0.133333333333333 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.0444444444444444 0.0277777777777778 0.0341880341880342 0 0.0972222222222222 0.0277777777777778 0 0.00641025641025641 0.0341880341880342 0.127777777777778 0.237820512820513 0.103205128205128 0.0508547008547009 0 0 0 0 0 0 0.0138888888888889 0.0486111111111111 0.03125 0.0243055555555556 0.104166666666667 0.361111111111111 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0.25 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0.145833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0972222222222222 0.0625 0.0486111111111111 0.208333333333333 0.138888888888889 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0 0 0 0 0 0.0416666666666667 0 0.208333333333333 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0.111111111111111 0 0 0 0 0
