"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_og_Proportion" "Length2Transition_je_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_ii_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_se_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_so_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_si_Proportion" "Length2Transition_js_Proportion" "Length2Transition_os_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_jh_Proportion" "Length2Transition_es_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_is_Proportion" "Length3Transition_sj_Proportion" "Length3Transition_eg_Proportion" "Length3Transition_es_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_ji_Proportion" "Length3Transition_js_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_so_Proportion" "Length4Transition_oo_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_sj_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_js_Proportion" "Length4Transition_os_Proportion" "Length4Transition_is_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_es_Proportion" "Length5Transition_is_Proportion" "Length5Transition_os_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ssj_Proportion" "Length3Transition_egs_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_jis_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_hso_Proportion" "Length4Transition_soo_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sjs_Proportion" "Length4Transition_css_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_ess_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sss_Proportion"
1 75.4166666666667 61.25 7.08333333333333 5.75 0.666666666666667 0.5 0.166666666666667 0.198015157056389 0.0823682496754168 0.116521434741743 0.0649112013765518 0.0351355228026286 0.25600587659716 0.0361225271919258 0.210920030558185 0.505632716049383 0.0411265432098765 0.0320987654320988 0.0215277777777778 0.0279320987654321 0.131481481481481 0.0662808641975309 0.17391975308642 0.742353569107955 0.0397335932423651 0.0600888796064234 0.045207927225471 0.00277777777777777 0.0423790958878678 0.00292397660818713 0.0645351805439524 0.78125 0.0625 0.03125 0.0625 0 0 0 0.0625 0.877777777777778 0 0.0666666666666667 0.0333333333333333 0 0 0 0.0222222222222222 0.861111111111111 0 0 0.0555555555555555 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00617283950617284 0.00694444444444444 0.00833333333333333 0.0166666666666667 0.0166666666666667 0.0239197530864198 0.0277777777777778 0.0280864197530864 0.0391975308641975 0.0416666666666667 0.0527777777777778 0.0779320987654321 0.0847222222222222 0.234876543209877 0.331172839506173 0 0 0.00416666666666667 0.0043859649122807 0.0138888888888889 0.0457115009746589 0.0635686438318017 0.0678118908382066 0.0901333194096352 0.0968027708159287 0.613530353661933 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0555555555555556 0.0555555555555556 0.0555555555555556 0.444444444444444 0 0.00694444444444444 0.0104166666666667 0.0208333333333333 0.211805555555556 0.0104166666666667 0.0166666666666667 0.139583333333333 0 0 0.00833333333333333 0.0087719298245614 0.0277777777777778 0.0914230019493177 0.127137287663603 0.135623781676413 0.16582776385408 0.18026663881927 0.254838485101643 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0833333333333333 0.0833333333333333 0.0833333333333333 0.333333333333333 0 0.00925925925925926 0.0138888888888889 0.0277777777777778 0.199074074074074 0.0119047619047619 0.0208333333333333 0.133928571428571
2 28.25 23.5 3.25 1.08333333333333 0.333333333333333 0 0 0.184814795837034 0.0801137822802098 0.122901997970147 0.0906622558057278 0.0365356562774066 0.167366058538942 0.0861450246708496 0.231460428619683 0.499090909090909 0.0370454545454545 0.114090909090909 0.05 0 0.147922077922078 0.0245454545454545 0.127305194805195 0.688888888888889 0.0388888888888888 0.0999999999999999 0 0 0.0777777777777777 0.0333333333333333 0.061111111111111 0.75 0 0 0.0625 0 0.0625 0.0625 0.0625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0.00757575757575758 0.0119047619047619 0.0166666666666667 0.0166666666666667 0 0 0.0416666666666667 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0 0.173484848484848 0 0 0.0270562770562771 0.0409090909090909 0.246536796536796 0.167532467532468 0 0 0 0.0208333333333333 0 0.0243055555555556 0.0486111111111111 0 0.0625 0.0381944444444444 0.222222222222222 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0.0277777777777778 0.0277777777777778 0.222222222222222 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0486111111111111 0.0972222222222222 0 0.0763888888888889 0.125 0.0277777777777778 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.0416666666666667 0.166666666666667 0 0 0 0 0 0 0 0
3 25.8333333333333 21.0833333333333 2.66666666666667 1.5 0.333333333333333 0.25 0 0.302895593685067 0.0715678084099137 0.120086273375747 0.0253162286057023 0.0297926975558555 0.180959610564874 0.0591334104491999 0.210248377353641 0.625 0.0396825396825397 0.00694444444444444 0.107142857142857 0 0.060515873015873 0.0119047619047619 0.148809523809524 0.8 0.00952380952380951 0.0571428571428571 0.00952380952380951 0.0476190476190476 0.00952380952380951 0 0.0666666666666666 0.833333333333333 0 0.0833333333333333 0 0 0 0 0.0833333333333333 0.9 0 0 0 0.1 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0396825396825397 0.107142857142857 0 0.00694444444444444 0 0 0.125 0.0119047619047619 0.060515873015873 0.141865079365079 0 0 0.0416666666666667 0 0 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.05 0.0583333333333333 0.408333333333333 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.194444444444444 0.0208333333333333 0 0 0 0.145833333333333 0 0 0 0 0 0.0833333333333333 0 0 0.0166666666666667 0.0166666666666667 0.0166666666666667 0.116666666666667 0.1 0.233333333333333 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.166666666666667 0.0277777777777778 0 0 0 0.138888888888889 0 0 0
4 12.4166666666667 10.5 1.33333333333333 0.333333333333333 0.166666666666667 0.0833333333333333 0 0.212537000037 0.0885149572649573 0.121164021164021 0.0618945868945869 0.0203703703703704 0.179181235431235 0.0159722222222222 0.300365606615607 0.515625 0.0625 0 0.046875 0.03125 0.177083333333333 0 0.166666666666667 0.666666666666667 0 0.111111111111111 0 0 0 0.0555555555555555 0.166666666666666 0.875 0 0 0 0 0 0 0.125 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0833333333333333 0.0625 0.0416666666666667 0 0 0.0416666666666667 0.0208333333333333 0 0.194444444444444 0.194444444444444 0 0 0 0.0208333333333333 0 0 0 0 0.0416666666666667 0.0625 0.125 0 0 0 0 0 0 0 0 0.0277777777777778 0.138888888888889 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.125 0.0833333333333333 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.125 0 0 0 0 0.0833333333333333 0 0 0
5 9.5 8 0.75 0.583333333333333 0 0.0833333333333333 0 0.325327858416094 0.0481601731601732 0.0965909090909091 0.103084415584416 0.0292207792207792 0.261379551820728 0.0132575757575758 0.122978736949325 0.433333333333333 0.1 0 0.15 0 0.0833333333333333 0.0333333333333333 0.2 0.733333333333334 0 0 0.133333333333333 0.0333333333333333 0.0999999999999999 0 0 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0416666666666667 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0694444444444444 0.0833333333333333 0 0.0208333333333333 0 0 0 0 0.0625 0.0833333333333333 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0416666666666667 0 0 0 0 0.0833333333333333 0.166666666666667 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0
6 19.25 16.1666666666667 1.33333333333333 1.16666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.371644134108964 0.0257501119570085 0.0437129919888541 0.115651589789521 0.0659799970144798 0.289937918741164 0.00537393640841917 0.0819493199915892 0.643518518518518 0.0416666666666667 0.0185185185185185 0 0.0509259259259259 0.101851851851852 0 0.143518518518519 0.814814814814815 0 0 0.074074074074074 0 0.0555555555555555 0.0555555555555555 0 0.875 0 0 0 0 0.125 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0185185185185185 0 0.00925925925925926 0.185185185185185 0 0.0185185185185185 0.143518518518519 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.0555555555555556 0 0 0.361111111111111 0 0 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0 0 0 0 0.166666666666667 0 0 0.166666666666667 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0.111111111111111 0 0 0.222222222222222 0 0 0 0.0416666666666667 0 0 0 0 0 0.125 0 0 0 0 0.166666666666667 0 0 0.166666666666667
7 13.0833333333333 10 1.75 1 0.0833333333333333 0.0833333333333333 0 0.436592029974383 0.031115580135188 0.118218954248366 0.0880884547551214 0.0202821869488536 0.146276544805957 0.0626206037970744 0.0968056453350571 0.638888888888889 0 0 0.0555555555555556 0.0277777777777778 0.0972222222222222 0.0555555555555556 0.125 0.866666666666667 0 0.0555555555555555 0.0555555555555555 0 0.0222222222222222 0 0 0.75 0 0 0 0 0 0 0.25 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0.0138888888888889 0 0 0 0.166666666666667 0.0555555555555556 0.0555555555555556 0.125 0 0 0 0 0 0 0.0138888888888889 0.0347222222222222 0.0347222222222222 0 0.333333333333333 0 0 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0694444444444444 0 0.0694444444444444 0.25 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0833333333333333 0 0 0
8 16.5833333333333 13 1.66666666666667 1.41666666666667 0.25 0.25 0 0.40407699340889 0.0183080808080808 0.0497958339553167 0.130082166396822 0.0202991452991453 0.239139177393488 0.020865987460815 0.117432615277443 0.65952380952381 0 0.0523809523809524 0.0952380952380952 0.0238095238095238 0.151190476190476 0 0.0178571428571429 0.895833333333333 0.00694444444444444 0.0104166666666667 0.0416666666666666 0 0.0451388888888888 0 0 0.833333333333333 0 0 0 0 0.166666666666667 0 0 0.933333333333333 0 0 0 0 0 0 0.0666666666666667 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0.111111111111111 0 0.0444444444444444 0 0.0277777777777778 0.186111111111111 0 0.176388888888889 0.0208333333333333 0 0 0 0 0 0.00694444444444444 0.0451388888888889 0.0416666666666667 0.0104166666666667 0 0.5625 0 0 0 0.0555555555555556 0 0 0 0 0 0.194444444444444 0 0.0208333333333333 0 0 0.229166666666667 0 0 0 0 0 0 0 0 0.0138888888888889 0.0902777777777778 0.0833333333333333 0 0.0208333333333333 0.458333333333333 0 0 0 0.0833333333333333 0 0 0 0 0 0.166666666666667 0 0.0277777777777778 0 0 0.222222222222222 0 0 0
9 10.4166666666667 7.66666666666667 0.916666666666667 1.5 0.166666666666667 0.0833333333333333 0.0833333333333333 0.379993386243386 0.0454695767195767 0.0723214285714286 0.216203703703704 0.0952380952380952 0.120535714285714 0.00833333333333333 0.0619047619047619 0.652777777777778 0.0833333333333333 0.0833333333333333 0 0 0.0972222222222222 0 0.0833333333333333 0.820634920634921 0.00952380952380951 0.0158730158730159 0 0 0.0492063492063492 0.0952380952380951 0.00952380952380951 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0833333333333333 0 0 0.152777777777778 0 0.0694444444444444 0.0833333333333333 0 0 0 0.0833333333333333 0 0.00833333333333333 0.0430555555555555 0 0.0138888888888889 0.00833333333333333 0.426388888888889 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0 0 0 0.166666666666667 0 0.0166666666666667 0.0861111111111111 0 0.0166666666666667 0.0277777777777778 0.269444444444444 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333
10 10.9166666666667 8.5 1 1.08333333333333 0.166666666666667 0.0833333333333333 0 0.447983870967742 0.0571908602150538 0.0355938416422287 0.0737597751710655 0.142137096774194 0.128958944281525 0.00284090909090909 0.111534701857283 0.742857142857143 0 0.1 0 0 0.0428571428571429 0 0.114285714285714 0.907407407407407 0.0185185185185185 0 0.074074074074074 0 0 0 0 0.5 0 0 0.25 0 0.125 0.125 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.202380952380952 0 0.0357142857142857 0.0952380952380952 0.0138888888888889 0 0 0 0 0 0 0.0555555555555556 0 0 0.430555555555556 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0.0555555555555556 0 0 0 0 0.0833333333333333 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.111111111111111 0 0 0.361111111111111 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0833333333333333 0 0 0
